"Sindhi","English"
"افسانو","abashes"
"افسوس","abashing"
"افق","abashless"
"افواهون","abashlessly"
"آفيس","abashment"
"آفيسر","abashments"
"اقتباس","abasia"
"اقتصاديات","abasias"
"اقليت","abasic"
"اک","abasing"
"اڪائونٽ","abasio"
"اڪائونٽنگ","abask"
"آڪٽوبر","abassi"
"اڪثر","Abassieh"
"اڪثريت","Abassin"
"آڪسيجن","abastard"
"اڪيڊمي","abastardize"
"اڪيلائي","abastral"
"اڪيلو","abatable"
"آگاهي","abatage"
"آگسٽ","Abate"
"اڱارو","abated"
"آڱر","abatement"
"اڳ","abatements"
"اڳڀرائي","abater"
"اڳتي","abaters"
"اڳڪٿي","abates"
"اڳواڻي","abatic"
"اڳوڻو","abating"
"اڳيان","abatis"
"الارم","abatised"
"البم","abatises"
"الزام","abatjour"
"الفا","abatjours"
"الڳ","abaton"
"الماري","abator"
"آلو","abators"
"آلودگي","ABATS"
"اليڪٽرانڪ","abattage"
"اليڪشن","abattis"
"ام","abattised"
"امتحان","abattises"
"امتياز","abattoir"
"آمد","abattoirs"
"امداد","abattu"
"آمدني","abattue"
"آمريڪي","Abatua"
"امڪان","abature"
"امڪاني","abaue"
"امن","abave"
"اميد","abaxial"
"اميدوار","abaxile"
"امير","abaze"
"اميگريشن","abb"
"انا","Abba"
"اناج","abbacy"
"انب","abbacies"
"انبار","abbacomes"
"انتظام","Abbadide"
"انتظامي","Abbai"
"انتظاميه","abbaye"
"انتهائي","abbandono"
"انٽرفيس","abbas"
"انٽرنيٽ","abbasi"
"انٽرويو","Abbasid"
"انجمن","abbassi"
"انجنيئر","Abbassid"
"انجنيئرنگ","Abbasside"
"انجڻ","Abbate"
"انجيل","abbatial"
"انچ","abbatical"
"انداز","abbatie"
"اندازو","Abbe"
"اندر","Abbey"
"اندروني","abbeys"
"اندريون","abbey's"
"اندلسي","abbeystead"
"انڊا","abbeystede"
"انڊيڪس","abbes"
"انڌو","abbess"
"انسان","abbesses"
"انسانيت","abbest"
"انسپيڪٽر","Abbevilean"
"انسٽيٽيوٽ","Abbeville"
"انسداد","Abbevillian"
"انصاف","Abbi"
"انضمام","Abby"
"انعام","Abbie"
"انفرادي","Abbye"
"انفراسٽرڪچر","Abbyville"
"انفيڪشن","abboccato"
"انقلاب","abbogada"
"انقلابي","Abbot"
"انڪار","abbotcy"
"انگريزي","abbotcies"
"انگوٺو","abbotnullius"
"اڻڄاتل","abbotric"
"آڻڻ","abbots"
"آه","abbot's"
"اُها","Abbotsen"
"اهڙو","Abbotsford"
"آهستي","abbotship"
"اهلڪار","abbotships"
"اهم","Abbotson"
"اهميت","Abbotsun"
"اهو","Abbott"
"اهي","Abbottson"
"آهيان","Abbottstown"
"او","Abboud"
"آواز","abbozzo"
"اوڀر","ABBR"
"اوپيرا","abbrev"
"اوچائي","abbreviatable"
"اوچتو","abbreviate"
"اوزار","abbreviated"
"اوک","abbreviately"
"اولمپڪ","abbreviates"
"اولمپڪس","abbreviating"
"اولهه","abbreviation"
"اونداهو","abbreviations"
"اوندهه","abbreviator"
"اونس","abbreviatory"
"اونهاري","abbreviators"
"اونهو","abbreviature"
"اوهه","abbroachment"
"اي","ABC"
"ايپ","abcess"
"آيت","abcissa"
"ايٽمي","abcoulomb"
"ايجاد","ABCs"
"ايجنٽ","abd"
"ايجنڊا","abdal"
"ايجنسي","abdali"
"ايڊونچر","abdaria"
"ايڊيٽر","abdat"
"ايڊيشن","Abdel"
"ايذاءُ","Abd-el-Kadir"
"ايراني","Abd-el-Krim"
"آئرستاني","Abdella"
"ايشيائي","Abderhalden"
"ايڪڙ","Abderian"
"آئڪن","Abderite"
"ايگزيڪيوٽو","Abderus"
"ايمان","abdest"
"ايماندار","Abdias"
"ايم-هم","abdicable"
"ايندڙ","abdicant"
"اينڊرائيڊ","abdicate"
"آئوٽليٽ","abdicated"
"ايئرپورٽ","abdicates"
"آئين","abdicating"
"آئينو","abdication"
"آئيني","abdications"
"باب","abdicative"
"بابت","abdicator"
"بادشاهت","Abdiel"
"بادشاهه","abditive"
"بار","abditory"
"بازو","abdom"
"باڙ","abdomen"
"باس","abdomens"
"باشعور","abdomen's"
"باصلاحيت","abdomina"
"باغ","abdominal"
"باغي","Abdominales"
"باقاعده","abdominalia"
"باقي","abdominalian"
"بال","abdominally"
"بالٽي","abdominals"
"بالغ","abdominoanterior"
"بانڊ","abdominocardiac"
"باني","abdominocentesis"
"باهمي","abdominocystic"
"باهه","abdominogenital"
"باوجود","abdominohysterectomy"
"بائيبل","abdominohysterotomy"
"بتھ","abdominoposterior"
"بٽ","abdominoscope"
"بٽڻ","abdominoscopy"
"بجلي","abdominothoracic"
"بجيٽ","abdominous"
"بچاءُ","abdomino-uterotomy"
"بچايو","abdominovaginal"
"بچت","abdominovesical"
"بچڻ","Abdon"
"بچيل","Abdu"
"بڇڙو","abduce"
"بحالي","abduced"
"بحث","abducens"
"بحران","abducent"
"بحري","abducentes"
"بخار","abduces"
"بدتميز","abducing"
"بدران","abduct"
"بدسلوڪي","abducted"
"بدصورت","abducting"
"بدقسمتي","abduction"
"بدلائڻ","abductions"
"بدلو","abduction's"
"برابر","abductor"
"برابري","abductores"
"براعظم","abductors"
"برآمد","abductor's"
"برانڊ","abducts"
"برائوزر","Abdul"
"بربادي","Abdul-Aziz"
"برتن","Abdul-baha"
"برش","Abdulla"
"برطانوي","Abe"
"برعڪس","a-be"
"برف","abeam"
"برقي","abear"
"برگر","abearance"
"بزرگ","Abebi"
"بس","abecedaire"
"بسترو","abecedary"
"بشپ","abecedaria"
"بصري","abecedarian"
"بصيرت","abecedarians"
"بظاهر","abecedaries"
"بغير","abecedarium"
"بقا","abecedarius"
"بقايا","abed"
"بک","abede"
"بکايل","abedge"
"بکواس","Abednego"
"بڪ","abegge"
"بڪواس","Abey"
"بگ","abeyance"
"بگھڙ","abeyances"
"بل","abeyancy"
"بلاڪ","abeyancies"
"بلاگ","abeyant"
"بلبل","abeigh"
"بلڪل","ABEL"
"بلڪه","Abelard"
"بليڊ","abele"
"بم","abeles"
"بمباري","Abelia"
"بمقابله","Abelian"
"بند","Abelicea"
"بندر","Abelite"
"بندرگاهه","Abell"
"بندوبست","Abelmoschus"
"بندوق","abelmosk"
"بنياد","abelmosks"
"بنيادي","abelmusk"
"بهادر","Abelonian"
"بهار","Abelson"
"بهتر","abeltree"
"بهترين","Abencerrages"
"بهرحال","abend"
"بو","abends"
"بوتل","Abenezra"
"بوٿ","abenteric"
"بوٽ","Abeokuta"
"بورڊ","abepithymia"
"بوري","ABEPP"
"بولڊ","Abercromby"
"بولڻ","Abercrombie"
"بوم","Aberdare"
"بونس","aberdavine"
"بيابان","Aberdeen"
"بيان","Aberdeenshire"
"بيٺل","aberdevine"
"بيٺو","Aberdonian"
"بيٽري","aberduvine"
"بيرل","Aberfan"
"بيروزگاري","Aberglaube"
"بيزار","Aberia"
"بيسمينٽ","Aberystwyth"
"بيشمار","Abernant"
"بيڪار","Abernathy"
"بيڪٽيريا","abernethy"
"بيمار","Abernon"
"بيماري","aberr"
"بيمه","aberrance"
"بينچ","aberrancy"
"بينڊ","aberrancies"
"بئنڪ","aberrant"
"بينڪر","aberrantly"
"بئنڪنگ","aberrants"
"بيهڻ","aberrate"
"بيورو","aberrated"
"بيوقوف","aberrating"
"بيئر","aberration"
"ٻار","aberrational"
"ٻارهن","aberrations"
"ٻاڦ","aberrative"
"ٻاهر","aberrator"
"ٻاهران","aberrometer"
"ٻاهرين","aberroscope"
"ٻج","Abert"
"ٻڏڻ","aberuncate"
"ٻڌ","aberuncator"
"ٻڌائڻ","abesse"
"ٻڌندڙ","abessive"
"ٻڌڻ","abet"
"ٻڌو","abetment"
"ٻڙي","abetments"
"ٻڪري","abets"
"ٻلي","abettal"
"ٻه","abettals"
"ٻوٽو","abetted"
"ٻوڏ","abetter"
"ٻوڙڻ","abetters"
"ٻولي","abetting"
"ٻيٽ","abettor"
"ٻيڙي","abettors"
"ٻيلو","Abeu"
"ٻيڻو","abevacuation"
"ٻيهر","abfarad"
"ٻيو","abfarads"
"ٻيون","ABFM"
"ٻئي","Abgatha"
"ڀاء","ABHC"
"ڀاءُ","abhenry"
"ڀاڃي","abhenries"
"ڀاڱو","abhenrys"
"ڀائيواري","abhinaya"
"ڀت","abhiseka"
"ڀڄڻ","abhominable"
"ڀڌ","abhor"
"ڀرسان","abhorred"
"ڀرڻ","abhorrence"
"ڀروسو","abhorrences"
"ڀلائي","abhorrency"
"ڀلو","abhorrent"
"ڀوت","abhorrently"
"ڀورو","abhorrer"
"ڀيڻ","abhorrers"
"پابندي","abhorrible"
"پاپ","abhorring"
"پاڇو","abhors"
"پادري","Abhorson"
"پار","ABI"
"پاران","aby"
"پارٽي","Abia"
"پارڪ","Abiathar"
"پارڪنگ","Abib"
"پارليامينٽ","abichite"
"پاڙو","abidal"
"پاڙيسري","abidance"
"پالڻهار","abidances"
"پاليسي","abidden"
"پاڻ","abide"
"پاڻي","abided"
"پائپ","abider"
"پائلٽ","abiders"
"پائن","abides"
"پائڻ","abidi"
"پائوڊر","abiding"
"پائونڊ","abidingly"
"پائي","abidingness"
"پائيدار","Abidjan"
"پبلشر","Abydos"
"پتلون","Abie"
"پتلي","abye"
"پتو","abied"
"پتي","abyed"
"پٺيان","abiegh"
"پٿر","abience"
"پٽ","abient"
"پٽي","Abies"
"پڄاڻي","abyes"
"پچ","abietate"
"پچائڻ","abietene"
"پڇڻ","abietic"
"پڌرائي","abietin"
"پڌرو","Abietineae"
"پر","abietineous"
"پراسرار","abietinic"
"پراسيڪيوٽر","abietite"
"پراسيڪيوشن","Abiezer"
"پرامن","Abigael"
"پراميد","Abigail"
"پراڻو","abigails"
"پرائمري","abigailship"
"پرت","Abigale"
"پرجوش","abigeat"
"پرچون","abigei"
"پرچي","abigeus"
"پردو","Abihu"
"پرڏيهي","abying"
"پرس","Abijah"
"پرستار","Abyla"
"پرسکون","abilao"
"پرڪشش","Abilene"
"پرنسپل","abiliment"
"پرو","Abilyne"
"پروپيگنڊا","abilitable"
"پروٽوڪول","ability"
"پروٽين","abilities"
"پروجيڪٽ","ability's"
"پروجيڪشن","abilla"
"پروسيسر","abilo"
"پروسيسنگ","abime"
"پروفائل","Abimelech"
"پروفيسر","Abineri"
"پروگرام","Abingdon"
"پروگرامنگ","Abinger"
"پري","Abington"
"پريڊ","Abinoam"
"پريشان","Abinoem"
"پريشاني","abintestate"
"پريميئم","abiogeneses"
"پڙهندڙ","abiogenesis"
"پڙهڻ","abiogenesist"
"پڙهو","abiogenetic"
"پسارڪو","abiogenetical"
"پسند","abiogenetically"
"پسنديده","abiogeny"
"پسڻ","abiogenist"
"پکي","abiogenous"
"پکيڙڻ","abiology"
"پڪڙڻ","abiological"
"پل","abiologically"
"پلاٽ","abioses"
"پلاسٽڪ","abiosis"
"پليٽ","abiotic"
"پمپ","abiotical"
"پن","abiotically"
"پناهگير","abiotrophy"
"پناهه","abiotrophic"
"پنج","Abipon"
"پنجاهه","Abiquiu"
"پنجرو","abir"
"پنجون","abirritant"
"پندرهن","abirritate"
"پنهنجو","abirritated"
"پنير","abirritating"
"پڻ","abirritation"
"پهچ","abirritative"
"پهچائڻ","abys"
"پهچڻ","Abisag"
"پهريون","Abisha"
"پہلو","Abishag"
"پہیلی","Abisia"
"پوءِ","abysm"
"پوپ","abysmal"
"پورٽريٽ","abysmally"
"پورچ","abysms"
"پورو","Abyss"
"پوز","abyssa"
"پوزيشن","abyssal"
"پوسٽ","abysses"
"پوسٽر","Abyssinia"
"پوشاڪ","Abyssinian"
"پوشيده","abyssinians"
"پوليس","abyssobenthonic"
"پويون","abyssolith"
"پيء","abyssopelagic"
"پيءُ","abyss's"
"پيار","abyssus"
"پيارا","abiston"
"پيارو","abit"
"پياري","Abitibi"
"پياز","Abiu"
"پيالو","abiuret"
"پيانو","Abixah"
"پيٽ","abject"
"پيٽنٽ","abjectedness"
"پيچ","abjection"
"پيچرو","abjections"
"پيچيدگي","abjective"
"پيچيده","abjectly"
"پيداوار","abjectness"
"پيداواري","abjectnesses"
"پيڊ","abjoint"
"پير","abjudge"
"پيراگراف","abjudged"
"پيروڪار","abjudging"
"پيزا","abjudicate"
"پئسا","abjudicated"
"پيشاب","abjudicating"
"پيشاني","abjudication"
"پيشڪش","abjudicator"
"پيشو","abjugate"
"پيغام","abjunct"
"پيڪ","abjunction"
"پيڪيج","abjunctive"
"پيلو","abjuration"
"پيمانو","abjurations"
"پين","abjuratory"
"پينشن","abjure"
"پينل","abjured"
"پيئڻ","abjurement"
"تابڪاري","abjurer"
"تاثر","abjurers"
"تاثير","abjures"
"تاج","abjuring"
"تار","abkar"
"تارو","abkari"
"تاريخ","abkary"
"تاريخي","Abkhas"
"تازو","Abkhasia"
"تازيون","Abkhasian"
"تال","Abkhaz"
"تالا","Abkhazia"
"تائين","Abkhazian"
"تباهي","abl"
"تبديلي","abl."
"تبصرو","ablach"
"تجارتي","ablactate"
"تجرباتي","ablactated"
"تجربو","ablactating"
"تجربيڪار","ablactation"
"تجزيو","ablaqueate"
"تجسس","ablare"
"تجويز","A-blast"
"تحريڪ","ablastemic"
"تحفظ","ablastin"
"تحفو","ablastous"
"تحفيل","ablate"
"تحقيق","ablated"
"تخت","ablates"
"تخليق","ablating"
"تخليقي","ablation"
"تخمينو","ablations"
"تخيل","ablatitious"
"تراشڻ","ablatival"
"تربيت","ablative"
"ترتيب","ablatively"
"ترجمان","ablatives"
"ترجمو","ablator"
"ترجيح","ablaut"
"ترسڻ","ablauts"
"ترغيب","ablaze"
"ترقي","able"
"ترڪي","able-bodied"
"ترڪيب","able-bodiedness"
"ترميم","ableeze"
"ترڻ","ablegate"
"تسلسل","ablegates"
"تشخيص","ablegation"
"تشدد","able-minded"
"تشويش","able-mindedness"
"تصور","ablend"
"تصوير","ableness"
"تعارف","ablepharia"
"تعاقب","ablepharon"
"تعاون","ablepharous"
"تعجب","Ablepharus"
"تعدد","ablepsy"
"تعريف","ablepsia"
"تعصب","ableptical"
"تعلق","ableptically"
"تعليم","abler"
"تعليمي","ables"
"تعميل","ablesse"
"تغير","ablest"
"تفسير","ablet"
"تفصيل","ablewhackets"
"تفصيلي","ably"
"تفويض","ablings"
"تقدير","ablins"
"تقريب","ablock"
"تقرير","abloom"
"تڪرار","ablow"
"تڪراري","ABLS"
"تڪڙو","ablude"
"تڪليف","abluent"
"تلاءُ","abluents"
"تلفظ","ablush"
"تلوار","ablute"
"تماڪ","abluted"
"تمام","ablution"
"تمباکو","ablutionary"
"تمدن","ablutions"
"تمنا","abluvion"
"تناسب","ABM"
"تنخواه","abmho"
"تندرستي","abmhos"
"تندور","abmodality"
"تنصيب","abmodalities"
"تنظيم","abn"
"تنقيد","Abnaki"
"تنگ","Abnakis"
"تنهنجو","abnegate"
"تنوع","abnegated"
"تہوار","abnegates"
"توازن","abnegating"
"توانائي","abnegation"
"توجهه","abnegations"
"توسيع","abnegative"
"توقع","abnegator"
"تولي","abnegators"
"تومور","Abner"
"تون","abnerval"
"توهان","abnet"
"تي","abneural"
"تيار","abnormal"
"تياري","abnormalcy"
"تير","abnormalcies"
"تيز","abnormalise"
"تيزاب","abnormalised"
"تيل","abnormalising"
"ٺاهڻ","abnormalism"
"ٺاھڻ","abnormalist"
"ٺاهيندڙ","abnormality"
"ٺڪاءُ","abnormalities"
"ٺڳي","abnormalize"
"ٺهڻ","abnormalized"
"ٺيڪ","abnormalizing"
"ٺيڪيدار","abnormally"
"ٿڪل","abnormalness"
"ٿڪڻ","abnormals"
"ٿلهو","abnormity"
"ٿورا","abnormities"
"ٿورڙو","abnormous"
"ٿورو","abnumerable"
"ٿوم","Abo"
"ٿيٽر","aboard"
"ٿيلهو","aboardage"
"ٿيڻ","Abobra"
"ٽارگيٽ","abococket"
"ٽاس","abodah"
"ٽانڪي","abode"
"ٽاور","aboded"
"ٽائر","abodement"
"ٽپ","abodes"
"ٽپال","abode's"
"ٽتو","abody"
"ٽٽل","aboding"
"ٽٽڻ","abogado"
"ٽرانزيڪشن","abogados"
"ٽرانسپورٽ","abohm"
"ٽرانسميشن","abohms"
"ٽرڪ","aboideau"
"ٽرئفڪ","aboideaus"
"ٽريڪ","aboideaux"
"ٽريلر","aboil"
"ٽريلين","aboiteau"
"ٽرين","aboiteaus"
"ٽشو","aboiteaux"
"ٽڪر","abolete"
"ٽڪرو","abolish"
"ٽڪري","abolishable"
"ٽڪيٽ","abolished"
"ٽماٽو","abolisher"
"ٽنگ","abolishers"
"ٽوائلٽ","abolishes"
"ٽوپي","abolishing"
"ٽورنامينٽ","abolishment"
"ٽوڙڻ","abolishments"
"ٽوڪري","abolishment's"
"ٽول","abolition"
"ٽوئيٽر","abolitionary"
"ٽي","abolitionise"
"ٽيب","abolitionised"
"ٽيبل","abolitionising"
"ٽيبليٽ","abolitionism"
"ٽيپ","abolitionist"
"ٽيسٽ","abolitionists"
"ٽيڪس","abolitionize"
"ٽيڪنالاجي","abolitionized"
"ٽيڪنڪ","abolitionizing"
"ٽيڪنيڪل","abolitions"
"ٽيگ","abolla"
"ٽيليفون","abollae"
"ٽيليويزن","aboma"
"ٽيم","abomas"
"ٽينس","abomasa"
"ٽيهه","abomasal"
"ٽيوب","abomasi"
"ٽيون","abomasum"
"ثانوي","abomasus"
"ثبوت","abomasusi"
"ثقافت","A-bomb"
"ثقافتي","abominability"
"جاپاني","abominable"
"جاچ","abominableness"
"جادو","abominably"
"جادوگر","abominate"
"جادوگري","abominated"
"جارحاڻي","abominates"
"جاري","abominating"
"جاز","abomination"
"جاسوس","abominations"
"جاڳڻ","abominator"
"جامع","abominators"
"جانچڻ","abomine"
"جانور","abondance"
"جاهل","Abongo"
"جائز","abonne"
"جائزو","abonnement"
"جبڙو","aboon"
"جبل","aborad"
"جبلت","aboral"
"جج","aborally"
"جدائي","abord"
"جدت","Aboriginal"
"جدوجهد","aboriginality"
"جديد","aboriginally"
"جڏهن","aboriginals"
"جذباتي","aboriginary"
"جذبو","Aborigine"
"جراب","aborigines"
"جراح","aborigine's"
"جراحي","Abor-miri"
"جرم","Aborn"
"جرمني","aborning"
"جرنل","a-borning"
"جزو","aborsement"
"جزوي","aborsive"
"جڙ","abort"
"جستجو","aborted"
"جسم","aborter"
"جسماني","aborters"
"جشن","aborticide"
"جعلي","abortient"
"جگر","abortifacient"
"جڳھ","abortin"
"جڳهه","aborting"
"جلد","abortion"
"جلدي","abortional"
"جلڻ","abortionist"
"جم","abortionists"
"جمع","abortions"
"جملو","abortion's"
"جمهوري","abortive"
"جمهوريت","abortively"
"جمهوريه","abortiveness"
"جنازي","abortogenic"
"جنت","aborts"
"جنرل","abortus"
"جنس","abortuses"
"جنسي","abos"
"جنگ","abote"
"جنگجو","Abott"
"جنگل","abouchement"
"جنوري","aboudikro"
"جهاز","abought"
"جهالت","Aboukir"
"جھٽڪو","aboulia"
"جهڙو","aboulias"
"جھنڊو","aboulic"
"جهنگلي","abound"
"جهنم","abounded"
"جھولڻ","abounder"
"جو","abounding"
"جواب","aboundingly"
"جوابدار","abounds"
"جوتا","Abourezk"
"جوري","about"
"جوڙو","about-face"
"جوسينو","about-faced"
"جوش","about-facing"
"جولاء","abouts"
"جون","about-ship"
"جونيئر","about-shipped"
"جوهر","about-shipping"
"جي","about-sledge"
"جيتوڻيڪ","about-turn"
"جيٽ","above"
"جيستائين","aboveboard"
"جيڪٽ","above-board"
"جيڪڏهن","above-cited"
"جيل","abovedeck"
"جين","above-found"
"جينس","above-given"
"جينياتي","aboveground"
"جيئرو","abovementioned"
"جيئن","above-mentioned"
"ڄاتل","above-named"
"ڄاڻ","aboveproof"
"ڄمڻ","above-quoted"
"چابڪ","above-reported"
"چاٻي","aboves"
"چاچو","abovesaid"
"چاچي","above-said"
"چادر","abovestairs"
"چار","above-water"
"چارٽ","above-written"
"چارٽر","abow"
"چارج","abox"
"چاقو","Abp"
"چاڪليٽ","ABPC"
"چال","Abqaiq"
"چاليهه","abr"
"چاندي","abr."
"چانهه","Abra"
"چانور","abracadabra"
"چاهيو","abrachia"
"چبائڻ","abrachias"
"چپ","abradable"
"چراغ","abradant"
"چربی","abradants"
"چرچ","abrade"
"چرواه","abraded"
"چريو","abrader"
"چڙهڻ","abraders"
"چڪ","abrades"
"چڪر","abrading"
"چڱو","Abraham"
"چماٽ","Abrahamic"
"چمچو","Abrahamidae"
"چمڙو","Abrahamite"
"چمڪ","Abrahamitic"
"چمگادڙ","Abraham-man"
"چمي","Abrahams"
"چنڊ","Abrahamsen"
"چهرو","Abrahan"
"چوٿون","abray"
"چوٽي","abraid"
"چوڌاري","Abram"
"چور","Abramis"
"چورس","Abramo"
"چوري","Abrams"
"چوڙو","Abramson"
"چوسڻ","Abran"
"چونڊ","abranchial"
"چونڊيل","abranchialism"
"چونڊيو","abranchian"
"چوڻ","Abranchiata"
"چوڻي","abranchiate"
"چيٽ","abranchious"
"چيرڻ","abrasax"
"چيف","abrase"
"چيڪ","abrased"
"چيلنج","abraser"
"چيمبر","abrash"
"چيمپيئن","abrasing"
"چئنل","abrasiometer"
"چيني","abrasion"
"چيئرمين","abrasions"
"ڇا","abrasion's"
"ڇانو","abrasive"
"ڇپائي","abrasively"
"ڇت","abrasiveness"
"ڇڏائڻ","abrasivenesses"
"ڇڏڻ","abrasives"
"ڇڪتاڻ","abrastol"
"ڇڪڻ","abraum"
"ڇلڻ","abraxas"
"ڇنڇر","abrazite"
"ڇهه","abrazitic"
"ڇهون","abrazo"
"ڇو","abrazos"
"ڇوڪرو","abreact"
"ڇوڪري","abreacted"
"حادثو","abreacting"
"حاصلات","abreaction"
"حاضر","abreactions"
"حاضري","abreacts"
"حالت","abreast"
"حامله","abreed"
"حامي","abrege"
"حتمي","abreid"
"حجم","abrenounce"
"حد","abrenunciate"
"حراست","abrenunciation"
"حرڪت","abreption"
"حریف","abret"
"حساس","abreuvoir"
"حساسيت","abri"
"حشر","abrico"
"حصو","abricock"
"حصول","abricot"
"حصيداري","abridgable"
"حفاظت","abridge"
"حفاظتي","abridgeable"
"حقدار","abridged"
"حقيقت","abridgedly"
"حقيقي","abridgement"
"حڪم","abridgements"
"حڪمت","abridger"
"حڪمراني","abridgers"
"حڪومت","abridges"
"حل","abridging"
"حمايت","abridgment"
"حمل","abridgments"
"حملو","abrim"
"حوالو","abrin"
"حوالي","abrine"
"حوصلو","abris"
"حياتيات","abristle"
"حياتياتي","abroach"
"حيثيت","abroad"
"حيران","Abrocoma"
"حيوان","abrocome"
"خارجي","abrogable"
"خاص","abrogate"
"خاصيت","abrogated"
"خاطر","abrogates"
"خاڪو","abrogating"
"خالص","abrogation"
"خالق","abrogations"
"خالي","abrogative"
"خام","abrogator"
"خاموش","abrogators"
"خاموشي","Abroma"
"خاندان","Abroms"
"خانگي","Abronia"
"خبر","abrood"
"خدا","abrook"
"خدائي","abrosia"
"خدمت","abrosias"
"خراب","abrotanum"
"خرابي","abrotin"
"خرچ","abrotine"
"خرگوش","abrupt"
"خريداري","abruptedly"
"خزانو","abrupter"
"خسارو","abruptest"
"خشڪ","abruptio"
"خصوصيت","abruption"
"خط","abruptiones"
"خطرناڪ","abruptly"
"خطرو","abruptness"
"خفيه","Abrus"
"خلا","Abruzzi"
"خلاصو","ABS"
"خلاف","abs-"
"خليج","Absa"
"خميس","Absalom"
"خواب","absampere"
"خواندگي","Absaraka"
"خواهش","Absaroka"
"خوبصورت","Absarokee"
"خوبصورتي","absarokite"
"خودڪار","ABSBH"
"خودڪشي","abscam"
"خوش","abscess"
"خوشگوار","abscessed"
"خوشي","abscesses"
"خوف","abscessing"
"خوفزده","abscession"
"خوفناڪ","abscessroot"
"خول","abscind"
"خوني","abscise"
"خيال","abscised"
"خيرات","abscises"
"خيمو","abscisin"
"داخلا","abscising"
"داستان","abscisins"
"داغ","abscision"
"دالان","absciss"
"دانشور","abscissa"
"دائرو","abscissae"
"دائمي","abscissas"
"دٻاءُ","abscissa's"
"دٻائڻ","abscisse"
"دٻايو","abscissin"
"دٻو","abscission"
"دراز","abscissions"
"درآمد","absconce"
