"Welsh","English"
"amheus","aband"
"amhosibl","abandon"
"amhriodol","abandonable"
"aml","abandoned"
"amlen","abandonedly"
"amlinelliad","abandonee"
"amlwg","abandoner"
"amnewid","abandoners"
"amrantiad","abandoning"
"amrywiad","abandonment"
"amrywiaeth","abandonments"
"amrywiol","abandons"
"amser","abandum"
"amserlen","abanet"
"amseru","abanga"
"amsugno","Abanic"
"amynedd","abannition"
"anabl","Abantes"
"anabledd","abapical"
"anadl","abaptiston"
"anadlu","abaptistum"
"anaf","Abarambo"
"anafedig","Abarbarea"
"anafu","Abaris"
"anaml","abarthrosis"
"anarferol","abarticular"
"android","abarticulation"
"aneglur","Abas"
"anffodus","abase"
"anfon","abased"
"angel","abasedly"
"angen","abasedness"
"angenrheidiol","abasement"
"angerdd","abasements"
"angerddol","abaser"
"anghenfil","abasers"
"anghofio","abases"
"anghredadwy","Abasgi"
"anghwrtais","abash"
"anghydfod","abashed"
"anghyfforddus","abashedly"
"anghyffredin","abashedness"
"anghyfreithlon","abashes"
"anghysbell","abashing"
"anghytuno","abashless"
"anghywir","abashlessly"
"Anghywir","abashment"
"angladd","abashments"
"angor","abasia"
"anhawster","abasias"
"anheddiad","abasic"
"anhrefn","abasing"
"anhygoel","abasio"
"anhysbys","abask"
"anialwch","abassi"
"anifail","Abassieh"
"annhebygol","Abassin"
"annheg","abastard"
"annibyniaeth","abastardize"
"annibynnol","abastral"
"annisgwyl","abatable"
"annog","abatage"
"annwyl","Abate"
"anobeithiol","abated"
"anochel","abatement"
"anodd","abatements"
"anrhydedd","abater"
"ansawdd","abaters"
"ansicrwydd","abates"
"antur","abatic"
"anweledig","abating"
"anwybodaeth","abatis"
"anwybodus","abatised"
"anwybyddu","abatises"
"ap","abatjour"
"apêl","abatjours"
"apelio","abaton"
"arab","abator"
"arae","abators"
"araf","ABATS"
"araith","abattage"
"arall","abattis"
"arbed","abattised"
"arbediad","abattises"
"arbenigedd","abattoir"
"arbenigo","abattoirs"
"arbenigwr","abattu"
"arbennig","abattue"
"arbrawf","Abatua"
"arbrofol","abature"
"archeb","abaue"
"archebu","abave"
"archif","abaxial"
"archwilio","abaxile"
"ardal","abaze"
"arddangos","abb"
"arddangosfa","Abba"
"arddangosiad","abbacy"
"ardderchog","abbacies"
"arddwrn","abbacomes"
"ardrethu","Abbadide"
"arena","Abbai"
"arestio","abbaye"
"arf","abbandono"
"arfaethedig","abbas"
"arfer","abbasi"
"arferol","Abbasid"
"arfog","abbassi"
"arfogi","Abbassid"
"arfordir","Abbasside"
"arfordirol","Abbate"
"argaeledd","abbatial"
"arglwydd","abbatical"
"argraff","abbatie"
"argyfwng","Abbe"
"argyhoeddedig","Abbey"
"argyhoeddi","abbeys"
"argyhoeddiad","abbey's"
"argymell","abbeystead"
"argymhelliad","abbeystede"
"arholiad","abbes"
"arian","abbess"
"ariannol","abbesses"
"ar-lein","abbest"
"arllwys","Abbevilean"
"arllwysiad","Abbeville"
"arloesedd","Abbevillian"
"arloesol","Abbi"
"arlunio","Abby"
"arlunydd","Abbie"
"arlywyddol","Abbye"
"arno","Abbyville"
"arnofio","abboccato"
"arogl","abbogada"
"arolwg","Abbot"
"arolygu","abbotcy"
"arolygydd","abbotcies"
"aros","abbotnullius"
"arrow","abbotric"
"arswyd","abbots"
"arsylwi","abbot's"
"arsylwr","Abbotsen"
"arth","Abbotsford"
"artiffisial","abbotship"
"artistig","abbotships"
"aruthrol","Abbotson"
"arwain","Abbotsun"
"arweiniad","Abbott"
"arweinydd","Abbottson"
"arweinyddiaeth","Abbottstown"
"arwr","Abboud"
"arwydd","abbozzo"
"arwyddocâd","ABBR"
"arwyddocaol","abbrev"
"arwystl","abbreviatable"
"ased","abbreviate"
"aseiniad","abbreviated"
"aseinio","abbreviately"
"asesiad","abbreviates"
"asesu","abbreviating"
"asgwrn","abbreviation"
"asian","abbreviations"
"asiant","abbreviator"
"asiantaeth","abbreviatory"
"asid","abbreviators"
"ass","abbreviature"
"asshole","abbroachment"
"ast","ABC"
"astudio","abcess"
"atafaelu","abcissa"
"atal","abcoulomb"
"ateb","ABCs"
"atebolrwydd","abd"
"atgoffa","abdal"
"atgyfnerthu","abdali"
"atgyweiria","abdaria"
"athletaidd","abdat"
"athletwr","Abdel"
"athrawiaeth","Abd-el-Kadir"
"athro","Abd-el-Krim"
"athroniaeth","Abdella"
"athronyddol","Abderhalden"
"athrylith","Abderian"
"atodi","Abderite"
"atwrnai","Abderus"
"atyniad","abdest"
"aur","Abdias"
"avenue","abdicable"
"awdur","abdicant"
"awdurdod","abdicate"
"awdurdodaeth","abdicated"
"awdurdodi","abdicates"
"awel","abdicating"
"awgrym","abdication"
"awgrymu","abdications"
"awr","abdicative"
"Awst","abdicator"
"awto","Abdiel"
"awtomatig","abditive"
"awydd","abditory"
"awyddus","abdom"
"awyr","abdomen"
"awyren","abdomens"
"awyrennau","abdomen's"
"awyrgylch","abdomina"
"babanod","abdominal"
"BABE","Abdominales"
"babi","abdominalia"
"bach","abdominalian"
"bachgen","abdominally"
"bachyn","abdominals"
"bacteria","abdominoanterior"
"bae","abdominocardiac"
"bag","abdominocentesis"
"baglu","abdominocystic"
"bai","abdominogenital"
"baich","abdominohysterectomy"
"balchder","abdominohysterotomy"
"balŵn","abdominoposterior"
"banana","abdominoscope"
"banc","abdominoscopy"
"bancio","abdominothoracic"
"band","abdominous"
"bang","abdomino-uterotomy"
"bar","abdominovaginal"
"bara","abdominovesical"
"bardd","Abdon"
"barddoniaeth","Abdu"
"barn","abduce"
"barnwr","abduced"
"barnwrol","abducens"
"bas","abducent"
"basged","abducentes"
"bastard","abduces"
"bath","abducing"
"batri","abduct"
"baw","abducted"
"bawd","abducting"
"bedd","abduction"
"beg","abductions"
"Beibl","abduction's"
"beic","abductor"
"beichiogi","abductores"
"beichiogrwydd","abductors"
"beiddgar","abductor's"
"beirniad","abducts"
"beirniadaeth","Abdul"
"beirniadol","Abdul-Aziz"
"beirniadu","Abdul-baha"
"bêl","Abdulla"
"bell","Abe"
"bendith","a-be"
"bendithiwch","abeam"
"bennod","abear"
"benodol","abearance"
"benthyciad","Abebi"
"benthyg","abecedaire"
"benywaidd","abecedary"
"berffaith","abecedaria"
"berwi","abecedarian"
"bet","abecedarians"
"beth","abecedaries"
"biblinell","abecedarium"
"bil","abecedarius"
"biliwn","abed"
"bilsen","abede"
"bioleg","abedge"
"biolegol","Abednego"
"biwro","abegge"
"blaen","Abey"
"blaendal","abeyance"
"blaengar","abeyances"
"blaenoriaeth","abeyancy"
"blaenorol","abeyancies"
"blaid","abeyant"
"Blaidd","abeigh"
"blanced","ABEL"
"blaned","Abelard"
"blas","abele"
"blasus","abeles"
"blawd","Abelia"
"bleidlais","Abelian"
"bloc","Abelicea"
"blodyn","Abelite"
"blog","Abell"
"blwch","Abelmoschus"
"blwyddyn","abelmosk"
"blygu","abelmosks"
"blynyddol","abelmusk"
"bob","Abelonian"
"bobl","Abelson"
"boddhad","abeltree"
"boddi","Abencerrages"
"bodloni","abend"
"bodolaeth","abends"
"bodoli","Abenezra"
"boi","abenteric"
"bol","Abeokuta"
"bom","abepithymia"
"bomio","ABEPP"
"bond","Abercromby"
"bont","Abercrombie"
"bonws","Aberdare"
"bore","aberdavine"
"bos","Aberdeen"
"bosibl","Aberdeenshire"
"bost","aberdevine"
"botwm","Aberdonian"
"bow","aberduvine"
"bownsio","Aberfan"
"bradychu","Aberglaube"
"braf","Aberia"
"braich","Aberystwyth"
"braidd","Abernant"
"braint","Abernathy"
"brand","abernethy"
"braster","Abernon"
"brathu","aberr"
"brau","aberrance"
"brawd","aberrancy"
"brawychus","aberrancies"
"brechdan","aberrant"
"brechlyn","aberrantly"
"brecwast","aberrants"
"bregus","aberrate"
"brenhines","aberrated"
"brenhinol","aberrating"
"brenin","aberration"
"brethyn","aberrational"
"breuddwyd","aberrations"
"brics","aberrative"
"briff","aberrator"
"brifo","aberrometer"
"brig","aberroscope"
"briod","Abert"
"briodferch","aberuncate"
"broblem","aberuncator"
"brodorol","abesse"
"brofi","abessive"
"bron","abet"
"broses","abetment"
"brown","abetments"
"brwdfrydedd","abets"
"brwsh","abettal"
"brwydr","abettals"
"brwydro","abetted"
"brwyn","abetter"
"bryderus","abetters"
"bryn","abetting"
"Buck","abettor"
"budd","abettors"
"buddiol","Abeu"
"Buddsoddi","abevacuation"
"buddsoddiad","abfarad"
"buddsoddwr","abfarads"
"buddugoliaeth","ABFM"
"budr","Abgatha"
"bullshit","ABHC"
"busnes","abhenry"
"buwch","abhenries"
"bwced","abhenrys"
"bwlch","abhinaya"
"bwled","abhiseka"
"bwrdd","abhominable"
"bwriad","abhor"
"bws","abhorred"
"bwth","abhorrence"
"bwyd","abhorrences"
"bwydo","abhorrency"
"bwysicach","abhorrent"
"bwystfil","abhorrently"
"bwyta","abhorrer"
"bwyty","abhorrers"
"byd","abhorrible"
"bydd","abhorring"
"byd-eang","abhors"
"bydysawd","Abhorson"
"bye","ABI"
"byg","aby"
"bygwth","Abia"
"bygythiad","Abiathar"
"byr","Abib"
"byrger","abichite"
"byrstio","abidal"
"bys","abidance"
"bysellfwrdd","abidances"
"byth","abidden"
"byw","abide"
"bywyd","abided"
"caban","abider"
"cabinet","abiders"
"cacen","abides"
"cachu","abidi"
"cadair","abiding"
"cadarn","abidingly"
"cadarnhaol","abidingness"
"cadarnhau","Abidjan"
"cadeirydd","Abydos"
"cadlywydd","Abie"
"cadw","abye"
"cadwraeth","abied"
"cadwyn","abyed"
"cael","abiegh"
"caethiwed","abience"
"caethwasiaeth","abient"
"caffael","Abies"
"caffi","abyes"
"cain","abietate"
"cais","abietene"
"caled","abietic"
"caledwedd","abietin"
"calendr","Abietineae"
"calorïau","abietineous"
"cam","abietinic"
"cam-drin","abietite"
"camera","Abiezer"
"camgymeriad","Abigael"
"Campfa","Abigail"
"campws","abigails"
"can","abigailship"
"cân","Abigale"
"canadian","abigeat"
"candy","abigei"
"canfod","abigeus"
"canfyddedig","Abihu"
"canfyddiad","abying"
"cangen","Abijah"
"caniatâd","Abyla"
"caniatáu","abilao"
"canllaw","Abilene"
"canlyniad","abiliment"
"Canlyniad","Abilyne"
"canmoliaeth","abilitable"
"cannwyll","ability"
"canol","abilities"
"canolbwyntio","ability's"
"canolig","abilla"
"canolog","abilo"
"canran","abime"
"canser","Abimelech"
"canslo","Abineri"
"cant","Abingdon"
"canu","Abinger"
"canwr","Abington"
"canys","Abinoam"
"cap","Abinoem"
"capasiti","abintestate"
"capten","abiogeneses"
"car","abiogenesis"
"carbohydrad","abiogenesist"
"carbon","abiogenetic"
"carchar","abiogenetical"
"carcharor","abiogenetically"
"caredig","abiogeny"
"cariad","abiogenist"
"cariadus","abiogenous"
"cario","abiology"
"carped","abiological"
"carreg","abiologically"
"cartref","abioses"
"cartwn","abiosis"
"cas","abiotic"
"casgen","abiotical"
"casgliad","abiotically"
"casglu","abiotrophy"
"casglwr","abiotrophic"
"casineb","Abipon"
"casino","Abiquiu"
"cast","abir"
"castell","abirritant"
"Categori","abirritate"
"cath","abirritated"
"catholig","abirritating"
"cau","abirritation"
"cawell","abirritative"
"cawl","abys"
"cawod","Abisag"
"caws","Abisha"
"cd","Abishag"
"cebl","Abisia"
"ceffyl","abysm"
"cefnder","abysmal"
"cefndir","abysmally"
"cefnffyrdd","abysms"
"cefnfor","Abyss"
"cefnogaeth","abyssa"
"cefnogol","abyssal"
"cefnogwr","abysses"
"ceg","Abyssinia"
"cegin","Abyssinian"
"ceidwadol","abyssinians"
"ceirw","abyssobenthonic"
"ceisio","abyssolith"
"ceisiwch","abyssopelagic"
"celf","abyss's"
"cell","abyssus"
"celwydd","abiston"
"celwyddog","abit"
"cemeg","Abitibi"
"cemegol","Abiu"
"cenedl","abiuret"
"cenedlaethol","Abixah"
"cenfigennus","abject"
"cenhadaeth","abjectedness"
"cenhedlaeth","abjection"
"ceo","abjections"
"cerbyd","abjective"
"cerdd","abjectly"
"cerdded","abjectness"
"cerddor","abjectnesses"
"cerddoriaeth","abjoint"
"cerddorol","abjudge"
"cerdyn","abjudged"
"cerflun","abjudging"
"cerflunwaith","abjudicate"
"cert","abjudicated"
"chwaer","abjudicating"
"chwaith","abjudication"
"chwarae","abjudicator"
"chwaraeon","abjugate"
"chwaraewr","abjunct"
"chwarter","abjunction"
"chwech","abjunctive"
"chweched","abjuration"
"chwedl","abjurations"
"Chwefror","abjuratory"
"chwerthin","abjure"
"chwerthinllyd","abjured"
"chwerw","abjurement"
"chwilfrydedd","abjurer"
"chwilfrydig","abjurers"
"chwilio","abjures"
"chwip","abjuring"
"chwith","abkar"
"chwyddiant","abkari"
"chwyldro","abkary"
"chwyldroadol","Abkhas"
"chwyn","Abkhasia"
"chwys","Abkhasian"
"chwyth","Abkhaz"
"chwythu","Abkhazia"
"chyngaws","Abkhazian"
"ci","abl"
"cic","abl."
"cig","ablach"
"cilfach","ablactate"
"cinio","ablactated"
"cit","ablactating"
"ciw","ablactation"
"ciwt","ablaqueate"
"claddu","ablare"
"claf","A-blast"
"clai","ablastemic"
"clasurol","ablastin"
"clawr","ablastous"
"cleddyf","ablate"
"cleient","ablated"
"clerc","ablates"
"cliciwch","ablating"
"clinig","ablation"
"clinigol","ablations"
"clip","ablatitious"
"cliw","ablatival"
"clo","ablative"
"cloc","ablatively"
"cloch","ablatives"
"cloddio","ablator"
"clogwyn","ablaut"
"closet","ablauts"
"cludiant","ablaze"
"cludo","able"
"cludwr","able-bodied"
"clun","able-bodiedness"
"clwb","ableeze"
"clwstwr","ablegate"
"clwt","ablegates"
"clwyf","ablegation"
"clyfar","able-minded"
"clyw","able-mindedness"
"clywed","ablend"
"cnau","ableness"
"cnawd","ablepharia"
"cnoi","ablepharon"
"cnwd","ablepharous"
"Coch","Ablepharus"
"côd","ablepsy"
"codi","ablepsia"
"coeden","ableptical"
"coedwig","ableptically"
"coes","abler"
"coesyn","ables"
"cof","ablesse"
"cofeb","ablest"
"coffi","ablet"
"cofiwch","ablewhackets"
"cofleidio","ably"
"cofrestru","ablings"
"coginio","ablins"
"cogydd","ablock"
"coleg","abloom"
"coler","ablow"
"colesterol","ABLS"
"colled","ablude"
"colli","abluent"
"collwr","abluents"
"colofn","ablush"
"colofnydd","ablute"
"colur","abluted"
"comedi","ablution"
"comic","ablutionary"
"comisiwn","ablutions"
"comisiynydd","abluvion"
"comiwnyddol","ABM"
"Compel","abmho"
"concrid","abmhos"
"condemnio","abmodality"
"confensiwn","abmodalities"
"confensiynol","abn"
"consensws","Abnaki"
"contract","Abnakis"
"cop","abnegate"
"copa","abnegated"
"copi","abnegates"
"Corea","abnegating"
"corff","abnegation"
"corfflu","abnegations"
"corfforaethol","abnegative"
"corfforol","abnegator"
"coridor","abnegators"
"corn","Abner"
"cornel","abnerval"
"corwynt","abnet"
"cosb","abneural"
"cosbi","abnormal"
"cost","abnormalcy"
"cot","abnormalcies"
"cotwm","abnormalise"
"cowboi","abnormalised"
"cownter","abnormalising"
"crac","abnormalism"
"craff","abnormalist"
"crafu","abnormality"
"cragen","abnormalities"
"crai","abnormalize"
"craidd","abnormalized"
"crap","abnormalizing"
"crash","abnormally"
"creadigol","abnormalness"
"creadigrwydd","abnormals"
"creadur","abnormity"
"crebachu","abnormities"
"cred","abnormous"
"credu","abnumerable"
"credyd","Abo"
"crefft","aboard"
"crefydd","aboardage"
"crefyddol","Abobra"
"creu","abococket"
"Creu","abodah"
"creulon","abode"
"crëwr","aboded"
"crib","abodement"
"crio","abodes"
"cristian","abode's"
"Cristnogaeth","abody"
"criw","aboding"
"croen","abogado"
"croes","abogados"
"croeso","abohm"
"cromlin","abohms"
"cronicl","aboideau"
"cronig","aboideaus"
"cropian","aboideaux"
"crwban","aboil"
"crwydro","aboiteau"
"cryf","aboiteaus"
"cryfhau","aboiteaux"
"crynodeb","abolete"
"crynodiad","abolish"
"crys-t","abolishable"
"cuddio","abolished"
"cudd-wybodaeth","abolisher"
"cul","abolishers"
"curo","abolishes"
"cusan","abolishing"
"cwantwm","abolishment"
"cwch","abolishments"
"cwci","abolishment's"
"cwestiwn","abolition"
"cwl","abolitionary"
"cwm","abolitionise"
"cwmni","abolitionised"
"cwmpas","abolitionising"
"cwmwl","abolitionism"
"cwningen","abolitionist"
"cwnsela","abolitionists"
"cwnsler","abolitionize"
"cwpan","abolitionized"
"cwpl","abolitionizing"
"cwrdd","abolitions"
"cwricwlwm","abolla"
"cwrs","abollae"
"cwrteisi","aboma"
"cwrw","abomas"
"cwsmer","abomasa"
"cwymp","abomasal"
"cwympo","abomasi"
"cwyno","abomasum"
"cy","abomasus"
"cychwyn","abomasusi"
"cychwynnol","A-bomb"
"cyd","abominability"
"cydberthynas","abominable"
"cydbwysedd","abominableness"
"cyd-destun","abominably"
"cydfuddiannol","abominate"
"cyd-fynd","abominated"
"cydio","abominates"
"cydlynydd","abominating"
"cydnabod","abomination"
"Cydnabod","abominations"
"cydnabyddiaeth","abominator"
"cydosod","abominators"
"Cydraddoldeb","abomine"
"cydran","abondance"
"cydweithiwr","Abongo"
"cydweithredu","abonne"
"cydwybod","abonnement"
"cydymaith","aboon"
"cydymdeimlad","aborad"
"cydymffurfiaeth","aboral"
"cydymffurfio","aborally"
"cyfaddawd","abord"
"cyfaddef","Aboriginal"
"cyfadran","aboriginality"
"cyfagos","aboriginally"
"cyfaint","aboriginals"
"cyfalaf","aboriginary"
"cyfalafiaeth","Aborigine"
"cyfamser","aborigines"
"cyfan","aborigine's"
"cyfandir","Abor-miri"
"cyfansawdd","Aborn"
"cyfansoddi","aborning"
"cyfansoddiad","a-borning"
"cyfansoddiadol","aborsement"
"cyfanswm","aborsive"
"cyfarch","abort"
"cyfarfod","aborted"
"cyfartal","aborter"
"cyfartaledd","aborters"
"cyfarwydd","aborticide"
"cyfarwyddiadol","abortient"
"cyfarwyddo","abortifacient"
"cyfarwyddwr","abortin"
"cyfarwyddyd","aborting"
"cyfatebol","abortion"
"cyfathrebu","abortional"
"cyfeillgarwch","abortionist"
"cyfeiriad","abortionists"
"cyfeiriadedd","abortions"
"cyfeirio","abortion's"
"cyfeiriwch","abortive"
"cyferbyniad","abortively"
"cyffredin","abortiveness"
"cyffredinol","abortogenic"
"cyffro","aborts"
"cyffroi","abortus"
"cyffrous","abortuses"
"cyffur","abos"
"cyffwrdd","abote"
"cyfiawnder","Abott"
"cyfiawnhau","abouchement"
"cyfieithu","aboudikro"
"cyflawn","abought"
"cyflawni","Aboukir"
"cyflawniad","aboulia"
"cyfle","aboulias"
"cyflenwad","aboulic"
"cyfleu","abound"
"cyfleuster","abounded"
"cyfleustodau","abounder"
"cyflog","abounding"
"cyflogaeth","aboundingly"
"cyflogi","abounds"
"cyflogwr","Abourezk"
"cyflwr","about"
"cyflwyniad","about-face"
"cyflwyno","about-faced"
"cyflym","about-facing"
"cyflymder","abouts"
"cyfnewid","about-ship"
"cyfnod","about-shipped"
"cyfnodolyn","about-shipping"
"cyfoedion","about-sledge"
"cyfoes","about-turn"
"cyfoeth","above"
"cyfoethog","aboveboard"
"cyfradd","above-board"
"cyfran","above-cited"
"cyfraniad","abovedeck"
"cyfrannu","above-found"
"cyfrannwr","above-given"
"cyfranogiad","aboveground"
"cyfranogwr","abovementioned"
"cyfredol","above-mentioned"
"cyfreithiol","above-named"
"cyfreithiwr","aboveproof"
"cyfreithlon","above-quoted"
"cyfres","above-reported"
"cyfrif","aboves"
"cyfrifiad","abovesaid"
"cyfrifiadur","above-said"
"cyfrifo","abovestairs"
"cyfrifol","above-water"
"cyfrifoldeb","above-written"
"cyfryngau","abow"
"cyfuniad","abox"
"cyfuno","Abp"
"cyfunol","ABPC"
"cyfweliad","Abqaiq"
"cyfwng","abr"
"cyfyngedig","abr."
"cyfyngiad","Abra"
"cyfyngu","abracadabra"
"cyhoeddi","abrachia"
"cyhoeddiad","abrachias"
"cyhoeddus","abradable"
"cyhoeddwr","abradant"
"cyhuddiad","abradants"
"cyhuddo","abrade"
"cyhyrau","abraded"
"cylch","abrader"
"cylched","abraders"
"cylchgrawn","abrades"
"cyllell","abrading"
"cyllid","Abraham"
"cyllideb","Abrahamic"
"cyllidol","Abrahamidae"
"cymal","Abrahamite"
"cymar","Abrahamitic"
"cymdeithas","Abraham-man"
"cymdeithasol","Abrahams"
"cymdogaeth","Abrahamsen"
"cymedrig","Abrahan"
"cymedrol","abray"
"cymell","abraid"
"cymeradwyaeth","Abram"
"cymeradwyo","Abramis"
"cymeriad","Abramo"
"cymhareb","Abrams"
"cymhariaeth","Abramson"
"cymharu","Abran"
"cymhelliad","abranchial"
"cymhelliant","abranchialism"
"cymhellol","abranchian"
"cymhleth","Abranchiata"
"cymhlethdod","abranchiate"
"cymhorthdal","abranchious"
"cymhorthion","abrasax"
"cymorth","abrase"
"cymrawd","abrased"
"cymryd","abraser"
"cymydog","abrash"
"cymysg","abrasing"
"cymysgedd","abrasiometer"
"cymysgu","abrasion"
"cynaliadwy","abrasions"
"cynefin","abrasion's"
"cynfas","abrasive"
"cynffon","abrasively"
"cyn-filwr","abrasiveness"
"cyngerdd","abrasivenesses"
"cynghori","abrasives"
"cynghorydd","abrastol"
"cynghrair","abraum"
"cyngor","abraxas"
"cyngresol","abrazite"
"cyngreswr","abrazitic"
"cynhadledd","abrazo"
"cynhenid","abrazos"
"cynhesu","abreact"
"cynhwysfawr","abreacted"
"cynhwysydd","abreacting"
"cynhwysyn","abreaction"
"cynhyrchiant","abreactions"
"cynhyrchiol","abreacts"
"cynhyrchu","abreast"
"cynhyrchydd","abreed"
"cynhyrfu","abrege"
"cynllun","abreid"
"cynllunio","abrenounce"
"cynnal","abrenunciate"
"cynnes","abrenunciation"
"cynnig","abreption"
"cynnil","abret"
"cynnwys","abreuvoir"
"cynnydd","abri"
"cynnyrch","abrico"
"cynorthwyo","abricock"
"cynorthwyydd","abricot"
"cynorthwy-ydd","abridgable"
"cynradd","abridge"
"cynrychiolaeth","abridgeable"
"cynrychioli","abridged"
"cynrychiolydd","abridgedly"
"cyntaf","abridgement"
"cyntedd","abridgements"
"cynulleidfa","abridger"
"cynulliad","abridgers"
"cynyddu","abridges"
"cyrchfan","abridging"
"cyrraedd","abridgment"
"cysefin","abridgments"
"cysegru","abrim"
"cysgod","abrin"
"cysgu","abrine"
"cyson","abris"
"cystadleuaeth","abristle"
"cystadleuydd","abroach"
"cysur","abroad"
"cyswllt","Abrocoma"
"cysylltiad","abrocome"
"cysylltiedig","abrogable"
"cysylltiol","abrogate"
"cysylltu","abrogated"
"cysyniad","abrogates"
"cytundeb","abrogating"
"cytuniad","abrogation"
"cytuno","abrogations"
"cywilydd","abrogative"
"cywir","abrogator"
"cywirdeb","abrogators"
"cywiro","Abroma"
"da","Abroms"
"dad","Abronia"
"dadansoddi","abrood"
"dadansoddiad","abrook"
"dadansoddwr","abrosia"
"dadi","abrosias"
"dadl","abrotanum"
"dadlau","abrotin"
"dadleuol","abrotine"
"dadleuon","abrupt"
"daeargryn","abruptedly"
"daer","abrupter"
"dail","abruptest"
"daioni","abruptio"
"dal","abruption"
"damcaniaethol","abruptiones"
"damn","abruptly"
"damwain","abruptness"
"dan","Abrus"
"dangos","Abruzzi"
"dangosydd","ABS"
"dant","abs-"
"Dare","Absa"
"darganfod","Absalom"
"darganfyddiad","absampere"
"darling","Absaraka"
"darlith","Absaroka"
"darlledu","Absarokee"
"darllen","absarokite"
"darllenydd","ABSBH"
"darlunio","abscam"
"darn","abscess"
"darpariaeth","abscessed"
"darparu","abscesses"
"darparwr","abscessing"
"Darperir","abscession"
"data","abscessroot"
"datblygiadol","abscind"
"datblygu","abscise"
"datblygwr","abscised"
"datganiad","abscises"
"datgeliad","abscisin"
"datgelu","abscising"
"Datgelwch","abscisins"
"datguddiad","abscision"
"dathlu","absciss"
"datrys","abscissa"
"datrysiad","abscissae"
"dau","abscissas"
"dawel","abscissa's"
"dawns","abscisse"
"dawnsio","abscissin"
"dawnsiwr","abscission"
"dawnus","abscissions"
"ddaear","absconce"
"ddalfa","abscond"
"ddall","absconded"
"ddatgan","abscondedly"
"ddeddfu","abscondence"
"ddefnyddiol","absconder"
"ddelfrydol","absconders"
"ddewr","absconding"
"ddibynnu","absconds"
"ddiddiwedd","absconsa"
"ddig","abscoulomb"
"ddihun","abscound"
"ddilys","Absecon"
"ddim","absee"
"ddinas","absey"
"ddiog","abseil"
"ddiolchgar","abseiled"
"ddirprwy","abseiling"
"ddiwerth","abseils"
"ddoe","absence"
"ddol","absences"
"ddramatig","absence's"
"ddwbl","absent"
"ddwyfol","absentation"
"ddwyreiniol","absented"
"ddwywaith","absentee"
"ddyfais","absenteeism"
"ddyledus","absentees"
"ddyletswydd","absentee's"
"de","absenteeship"
"deall","absenter"
"deallus","absenters"
"deallusol","absentia"
"debyg","absenting"
"dec","absently"
"dechnegol","absentment"
"dechrau","absentminded"
"deddfwrfa","absent-minded"
"deddfwriaeth","absentmindedly"
"deddfwriaethol","absent-mindedly"
"de-ddwyrain","absentmindedness"
"dedfryd","absent-mindedness"
"Deem","absentmindednesses"
"defaid","absentness"
"deffro","absents"
"defnydd","absfarad"
"defnyddio","abshenry"
"Defnyddio","Abshier"
"defnyddiwr","Absi"
"defodol","absinth"
"deg","absinthe"
"degawd","absinthes"
"deheuol","absinthial"
"dehongli","absinthian"
"deialog","absinthiate"
"deigryn","absinthiated"
