"Sinhala","English"
"ආශ්වාදයක්","abdomina"
"ආසනය","abdominal"
"ආසන්න","Abdominales"
"ආසාදනය","abdominalia"
"ආසියානු","abdominalian"
"ආහ්","abdominally"
"ඇකඩමිය","abdominals"
"ඇගයීම","abdominoanterior"
"ඇගේ","abdominocardiac"
"ඇඟවීම","abdominocentesis"
"ඇඟිල්ල","abdominocystic"
"ඇත","abdominogenital"
"ඇති","abdominohysterectomy"
"ඇතිවේ","abdominohysterotomy"
"ඇතුල්වීම","abdominoposterior"
"ඇතුළුව","abdominoscope"
"ඇත්ත","abdominoscopy"
"ඇත්තටම","abdominothoracic"
"ඇදහිලිවන්තයා","abdominous"
"ඇඳ","abdomino-uterotomy"
"ඇඳීම","abdominovaginal"
"ඇඳුම","abdominovesical"
"ඇඳුම්","Abdon"
"ඇපකරය","Abdu"
"ඇපල්","abduce"
"ඇමැති","abduced"
"ඇමෙරිකානු","abducens"
"ඇය","abducent"
"ඇයි","abducentes"
"ඇල්බමය","abduces"
"ඇල්ෆා","abducing"
"ඇවිදිනවා","abduct"
"ඇවිදින්න","abducted"
"ඇස","abducting"
"ඇසීම","abduction"
"ඇසුරුම","abductions"
"ඇස්තමේන්තු","abduction's"
"ඈ","abductor"
"ඉංග්රීසි","abductores"
"ඉංජිනේරු","abductors"
"ඉංජීනේරු","abductor's"
"ඉක්මනින්","abducts"
"ඉක්මන්","Abdul"
"ඉක්මවයි","Abdul-Aziz"
"ඉගැන්වීම","Abdul-baha"
"ඉඞම්","Abdulla"
"ඉඟිය","Abe"
"ඉටිපන්දම","a-be"
"ඉටු","abeam"
"ඉඩ","abear"
"ඉතාම","abearance"
"ඉතාලි","Abebi"
"ඉතිරි","abecedaire"
"ඉතිහාසඥයා","abecedary"
"ඉතිහාසය","abecedaria"
"ඉදිකිරීම","abecedarian"
"ඉදිරි","abecedarians"
"ඉදිරිදර්ශනය","abecedaries"
"ඉදිරිපස","abecedarium"
"ඉදිරියට","abecedarius"
"ඉදිරියෙන්","abed"
"ඉන්දීය","abede"
"ඉන්ද්රජාලික","abedge"
"ඉන්ධන","Abednego"
"ඉන්න","abegge"
"ඉඳහිට","Abey"
"ඉඳිකටුවක්","abeyance"
"ඉපැයීම්","abeyances"
"ඉරණම","abeyancy"
"ඉරාක","abeyancies"
"ඉරාන","abeyant"
"ඉරි","abeigh"
"ඉරිඟු","ABEL"
"ඉරිතැලීම","Abelard"
"ඉරිදා","abele"
"ඉරියව්","abeles"
"ඉරීම","Abelia"
"ඉලක්කය","Abelian"
"ඉලෙක්ට්රොනික","Abelicea"
"ඉල්ලීම","Abelite"
"ඉල්ලුම","Abell"
"ඉවත්","Abelmoschus"
"ඉවරයි","abelmosk"
"ඉවසනවා","abelmosks"
"ඉවසීම","abelmusk"
"ඉස්ලාමීය","Abelonian"
"ඉස්ලාම්","Abelson"
"ඉහත","abeltree"
"ඉහල","Abencerrages"
"ඉහළ","abend"
"ඊතලය","abends"
"ඊනියා","Abenezra"
"ඊයේ","abenteric"
"ඊර්ෂ්යාව","Abeokuta"
"ඊශ්රායල","abepithymia"
"ඊසානදිග","ABEPP"
"ඊළඟ","Abercromby"
"උකස්","Abercrombie"
"උකුල","Aberdare"
"උගන්වනවා","aberdavine"
"උගුර","Aberdeen"
"උගුල","Aberdeenshire"
"උච්ච","aberdevine"
"උච්චාරණය","Aberdonian"
"උඩුමහලේ","aberduvine"
"උණ","Aberfan"
"උණුසුම්","Aberglaube"
"උණ්ඩය","Aberia"
"උතුරු","Aberystwyth"
"උත්තරීතර","Abernant"
"උත්තේජනය","Abernathy"
"උත්පාතය","abernethy"
"උත්ප්රාසය","Abernon"
"උත්සවය","aberr"
"උත්සාහය","aberrance"
"උදව්","aberrancy"
"උදාහරණයක්","aberrancies"
"උදෑසන","aberrant"
"උද්ඝෝෂණය","aberrantly"
"උද්ධමනය","aberrants"
"උද්යානය","aberrate"
"උද්යෝගය","aberrated"
"උද්යෝගිමත්","aberrating"
"උද්වේගය","aberration"
"උනන්දුයි","aberrational"
"උනන්දුව","aberrations"
"උනු","aberrative"
"උඳුන්","aberrator"
"උප","aberrometer"
"උපකරණ","aberroscope"
"උපකරණය","Abert"
"උපකල්පනය","aberuncate"
"උපක්රමය","aberuncator"
"උපත","abesse"
"උපදෙස්","abessive"
"උපදේශක","abet"
"උපදේශකයා","abetment"
"උපදේශනය","abetments"
"උපදේශාත්මක","abets"
"උපයනවා","abettal"
"උපයෝගීතාව","abettals"
"උපරිම","abetted"
"උපස්ථ","abetter"
"උපාංගය","abetters"
"උපාධිධාරියා","abetting"
"උපාධිය","abettor"
"උමග","abettors"
"උමතුයි","Abeu"
"උයන්න","abevacuation"
"උරහිස","abfarad"
"උරුමය","abfarads"
"උල්ලංඝනය","ABFM"
"උෂ්ණත්වය","Abgatha"
"උස","ABHC"
"උසස්","abhenry"
"ඌරා","abhenries"
"ඌරුමස්","abhenrys"
"එක","abhinaya"
"එකඟයි","abhiseka"
"එකතු","abhominable"
"එකතුව","abhor"
"එකම","abhorred"
"එකවරම","abhorrence"
"එකොළොස්","abhorrences"
"එක්","abhorrency"
"එක්කෝ","abhorrent"
"එක්ව","abhorrently"
"එක්සත්","abhorrer"
"එඩිතරයි","abhorrers"
"එතන","abhorrible"
"එතුම","abhorring"
"එදිරිව","abhors"
"එනවා","Abhorson"
"එන්ජිම","ABI"
"එන්න","aby"
"එන්නත්","Abia"
"එබැවින්","Abiathar"
"එම","Abib"
"එමගින්","abichite"
"එය","abidal"
"එරෙහි","abidance"
"එලෙසම","abidances"
"එල්ලෙනවා","abidden"
"එවැනි","abide"
"එවිට","abided"
"එහෙයින්","abider"
"එළවළු","abiders"
"එළිදරව්","abides"
"එළිපත්ත","abidi"
"එළිමහන්","abiding"
"එළුවා","abidingly"
"ඒ","abidingness"
"ඒකකය","Abidjan"
"ඒකලනය","Abydos"
"ඒකාබද්ධ","Abie"
"ඒත්","abye"
"ඓතිහාසික","abied"
"ඔක්තෝම්බර්","abyed"
"ඔක්සිජන්","abiegh"
"ඔටුන්න","abience"
"ඔපෙරා","abient"
"ඔබ","Abies"
"ඔබගේ","abyes"
"ඔබන්න","abietate"
"ඔබම","abietene"
"ඔබ්බට","abietic"
"ඔයා","abietin"
"ඔරලෝසුව","Abietineae"
"ඔලිම්පික්","abietineous"
"ඔලිව්","abietinic"
"ඔවුන්","abietite"
"ඔවුන්ගේ","Abiezer"
"ඔවුන්ට","Abigael"
"ඔව්","Abigail"
"ඔසවන්න","abigails"
"ඔසු","abigailship"
"ඔහු","Abigale"
"ඔහුගේ","abigeat"
"ඔහුව","abigei"
"ඔහ්","abigeus"
"ඕක්","Abihu"
"ඖෂධ","abying"
"ඖෂධය","Abijah"
"කකුල","Abyla"
"කක්ෂය","abilao"
"කටකතාව","Abilene"
"කටයුතු","abiliment"
"කට්ටලය","Abilyne"
"කඩදාසි","abilitable"
"කඩවසම්","ability"
"කඩුව","abilities"
"කඩේ","ability's"
"කණ්ඩායම","abilla"
"කතාව","abilo"
"කතාවක","abime"
"කතුහිමිකම","Abimelech"
"කතෝලික","Abineri"
"කථකයා","Abingdon"
"කථාංගය","Abinger"
"කථානායක","Abington"
"කථාව","Abinoam"
"කදම්භය","Abinoem"
"කන","abintestate"
"කනවා","abiogeneses"
"කනස්සල්ල","abiogenesis"
"කනස්සල්ලෙන්","abiogenesist"
"කනිෂ්ඨ","abiogenetic"
"කන්ද","abiogenetical"
"කන්න","abiogenetically"
"කඳ","abiogeny"
"කඳවුරේ","abiogenist"
"කඳුකරය","abiogenous"
"කපා","abiology"
"කපිතාන්","abiological"
"කපු","abiologically"
"කබාය","abioses"
"කමිසය","abiosis"
"කම්කරු","abiotic"
"කම්පනය","abiotical"
"කම්බි","abiotically"
"කම්මැලි","abiotrophy"
"කම්මැලියි","abiotrophic"
"කම්මුල","Abipon"
"කඹය","Abiquiu"
"කරත්තය","abir"
"කරදර","abirritant"
"කරන්න","abirritate"
"කරපටිය","abirritated"
"කරුණාකර","abirritating"
"කරුණාව","abirritation"
"කර්තෘ","abirritative"
"කර්නල්","abys"
"කර්මාන්තය","Abisag"
"කලකිරීම","Abisha"
"කලකිරීමෙන්","Abishag"
"කලත්රයා","Abisia"
"කලබලය","abysm"
"කලවා","abysmal"
"කලාකරු","abysmally"
"කලාතුරකින්","abysms"
"කලාත්මක","Abyss"
"කලාපය","abyssa"
"කලාපයේ","abyssal"
"කලාපීය","abysses"
"කලාව","Abyssinia"
"කලින්","Abyssinian"
"කලිසම්","abyssinians"
"කල්ලිය","abyssobenthonic"
"කවචය","abyssolith"
"කවදාවත්","abyssopelagic"
"කවය","abyss's"
"කවිය","abyssus"
"කවියා","abiston"
"කවුද","abit"
"කවුද?","Abitibi"
"කවුන්ටරය","Abiu"
"කවුරුහරි","abiuret"
"කවුළුව","Abixah"
"කව්බෝයි","abject"
"කසළ","abjectedness"
"කහ","abjection"
"කළමනාකරණය","abjections"
"කළමනාකරු","abjective"
"කළඹ","abjectly"
"කළු","abjectness"
"කළුකුමා","abjectnesses"
"කාංසාව","abjoint"
"කාගේ","abjudge"
"කාච","abjudged"
"කාටද","abjudging"
"කාටූන්","abjudicate"
"කාඩ්පත","abjudicated"
"කාණු","abjudicating"
"කාන්තාරය","abjudication"
"කාන්තාව","abjudicator"
"කාන්තාවක්","abjugate"
"කාන්දුව","abjunct"
"කාපට්","abjunction"
"කාබනික","abjunctive"
"කාබන්","abjuration"
"කාබෝහයිඩ්රේට්","abjurations"
"කාමරය","abjuratory"
"කාරණය","abjure"
"කාරුණික","abjured"
"කාර්තුවේ","abjurement"
"කාර්මික","abjurer"
"කාර්ය","abjurers"
"කාර්යක්ෂම","abjures"
"කාර්යක්ෂමතාව","abjuring"
"කාර්යබහුලයි","abkar"
"කාර්යය","abkari"
"කාර්යාංශය","abkary"
"කාර්යාල","Abkhas"
"කාලගුණය","Abkhasia"
"කාලය","Abkhasian"
"කාලසටහන","Abkhaz"
"කාසිය","Abkhazia"
"කැටුව","Abkhazian"
"කැඩපත","abl"
"කැඩුණු","abl."
"කැතයි","ablach"
"කැනේඩියානු","ablactate"
"කැන්වස්","ablactated"
"කැපවීම","ablactating"
"කැමති","ablactation"
"කැමරා","ablaqueate"
"කැමැත්ත","ablare"
"කැමැත්තෙන්","A-blast"
"කැම්පස්","ablastemic"
"කැරකෙනවා","ablastin"
"කැරලිකාර","ablastous"
"කැලරි","ablate"
"කැලේ","ablated"
"කැසිනෝ","ablates"
"කැස්බෑවා","ablating"
"කැෆේ","ablation"
"කෑගහනවා","ablations"
"කෑම","ablatitious"
"කෑමක්","ablatival"
"කෑල්ලක්","ablative"
"කියනවා","ablatively"
"කියන්න","ablatives"
"කියවන්න","ablator"
"කියවීම","ablaut"
"කිරණ","ablauts"
"කිරි","ablaze"
"කිසියම්","able"
"කිසිවක්","able-bodied"
"කිහිපය","able-bodiedness"
"කිහිපයක්","ableeze"
"කීර්තිමත්","ablegate"
"කීර්තිය","ablegates"
"කුකීස්","ablegation"
"කුටිය","able-minded"
"කුට්ටිය","able-mindedness"
"කුඩා","ablend"
"කුඩු","ableness"
"කුණාටුව","ablepharia"
"කුණු","ablepharon"
"කුතුහලය","ablepharous"
"කුතුහලයෙන්","Ablepharus"
"කුමන","ablepsy"
"කුමන්ත්රණය","ablepsia"
"කුමරිය","ableptical"
"කුමාරයා","ableptically"
"කුරුල්ලා","abler"
"කුලියට","ables"
"කුසගින්න","ablesse"
"කුසලාන","ablest"
"කුසල්","ablet"
"කුස්සිය","ablewhackets"
"කුහරය","ably"
"කුළුණ","ablings"
"කූඩය","ablins"
"කූඩාරම","ablock"
"කූඩුව","abloom"
"කෘතිම","ablow"
"කෘමියා","ABLS"
"කෘෂි","ablude"
"කෘෂිකර්ම","abluent"
"කෙටි","abluents"
"කෙටියෙන්","ablush"
"කෙටුම්පත","ablute"
"කෙට්ටු","abluted"
"කෙනෙක්","ablution"
"කෙලින්ම","ablutionary"
"කෙසෙල්","ablutions"
"කෙසේද","abluvion"
"කෙළවරේ","ABM"
"කේක්","abmho"
"කේතය","abmhos"
"කේන්ද්රය","abmodality"
"කේබල්","abmodalities"
"කොක්ක","abn"
"කොටවනවා","Abnaki"
"කොටස","Abnakis"
"කොටස්","abnegate"
"කොටළුවා","abnegated"
"කොටියා","abnegates"
"කොට්ටය","abnegating"
"කොන්ක්රීට්","abnegation"
"කොන්ග්රස්","abnegations"
"කොන්ග්රස්කාරයා","abnegative"
"කොන්ත්රාත්කරු","abnegator"
"කොන්දේසි","abnegators"
"කොඳුරන්න","Abner"
"කොමසාරිස්","abnerval"
"කොමියුනිස්ට්","abnet"
"කොමිසම","abneural"
"කොරිඩෝව","abnormal"
"කොරියානු","abnormalcy"
"කොලෙස්ටරෝල්","abnormalcies"
"කොල්ලකනවා","abnormalise"
"කොල්ලා","abnormalised"
"කොහෙද","abnormalising"
"කොළ","abnormalism"
"කෝණය","abnormalist"
"කෝපය","abnormality"
"කෝපයෙන්","abnormalities"
"කෝපි","abnormalize"
"කෝලාහල","abnormalized"
"කෞතුකාගාරය","abnormalizing"
"කෲස්","abnormally"
"ක්රමය","abnormalness"
"ක්රමයෙන්","abnormals"
"ක්රියාකරු","abnormity"
"ක්රියාකාරිත්වය","abnormities"
"ක්රියාකාරී","abnormous"
"ක්රියාවලිය","abnumerable"
"ක්රියාශීලීව","Abo"
"ක්රිස්තියානි","aboard"
"ක්රීඩකයා","aboardage"
"ක්රීඩාංගනය","Abobra"
"ක්රීඩාව","abococket"
"ක්රීම්","abodah"
"ක්ලිප්","abode"
"ක්වොන්ටම්","aboded"
"ක්ෂණික","abodement"
"ක්ෂණිකව","abodes"
"ක්ෂිතිජය","abode's"
"ක්ෂේත්රය","abody"
"ඛේදනීය","aboding"
"ඛේදවාචකය","abogado"
"ගංගාව","abogados"
"ගංවතුර","abohm"
"ගඟ","abohms"
"ගඩොල්","aboideau"
"ගණන","aboideaus"
"ගණිතය","aboideaux"
"ගතානුගතික","aboil"
"ගතික","aboiteau"
"ගතිකත්වය","aboiteaus"
"ගනුදෙනුව","aboiteaux"
"ගන්නවා","abolete"
"ගබඞා","abolish"
"ගබඩා","abolishable"
"ගම","abolished"
"ගමන","abolisher"
"ගමනාගමනය","abolishers"
"ගමනාන්තය","abolishes"
"ගමන්","abolishing"
"ගම්බද","abolishment"
"ගම්මිරිස්","abolishments"
"ගම්යතාව","abolishment's"
"ගයනවා","abolition"
"ගරාජය","abolitionary"
"ගරුත්වය","abolitionise"
"ගලනවා","abolitionised"
"ගල්","abolitionising"
"ගල්ෆ්","abolitionism"
"ගවයන්","abolitionist"
"ගවයා","abolitionists"
"ගවේෂණය","abolitionize"
"ගස","abolitionized"
"ගසාකනවා","abolitionizing"
"ගායකයා","abolitions"
"ගාස්තු","abolla"
"ගැට","abollae"
"ගැටලුව","aboma"
"ගැටුම","abomas"
"ගැති","abomasa"
"ගැනුම්කරු","abomasal"
"ගැබිනි","abomasi"
"ගැඹුර","abomasum"
"ගැඹුරින්","abomasus"
"ගැඹුරු","abomasusi"
"ගැලපීම","A-bomb"
"ගැලරිය","abominability"
"ගැලවීම","abominable"
"ගැලුම්","abominableness"
"ගැහැණු","abominably"
"ගැහුවා","abominate"
"ගෑස්","abominated"
"ගිටාරය","abominates"
"ගිණුම","abominating"
"ගිණුම්කරණය","abomination"
"ගිනි","abominations"
"ගිනිකොනදිග","abominator"
"ගිම්හානය","abominators"
"ගියර්","abomine"
"ගිලෙන්න","abondance"
"ගිවිසුම","Abongo"
"ගිහි","abonne"
"ගුණධර්ම","abonnement"
"ගුණාංගය","aboon"
"ගුරු","aborad"
"ගුරුත්වාකර්ෂණය","aboral"
"ගුවන්","aborally"
"ගුහාව","abord"
"ගෘහභාණ්ඞ","Aboriginal"
"ගෘහස්ත","aboriginality"
"ගෙඩිය","aboriginally"
"ගෙඩියක්","aboriginals"
"ගෙදර","aboriginary"
"ගෙවත්ත","Aborigine"
"ගෙවනවා","aborigines"
"ගෙවීම","aborigine's"
"ගේට්ටුව","Abor-miri"
"ගේනවා","Aborn"
"ගොඩක්","aborning"
"ගොඩගැසීම","a-borning"
"ගොඩනඟනවා","aborsement"
"ගොඩනැගිල්ල","aborsive"
"ගොඩනැගීම","abort"
"ගොඩබෑම","aborted"
"ගොඩවල්","aborter"
"ගොදුරක්","aborters"
"ගොනා","aborticide"
"ගොනුව","abortient"
"ගොල්ෆ්","abortifacient"
"ගොවිපල","abortin"
"ගොවියා","aborting"
"ගොළු","abortion"
"ගෝත්රය","abortional"
"ගෝත්රික","abortionist"
"ගෝනි","abortionists"
"ගෝලය","abortions"
"ගෝලීය","abortion's"
"ගෞරවය","abortive"
"ග්රහනය","abortively"
"ග්රහලෝකය","abortiveness"
"ග්රාහකයා","abortogenic"
"ග්රැෆික්","aborts"
"ග්රෑම්","abortus"
"ග්රීක","abortuses"
"ඝණ","abos"
"ඝන","abote"
"ඝනත්වය","Abott"
"ඝාතකයා","abouchement"
"ඝාතනය","aboudikro"
"චක්රය","abought"
"චන්ද්රිකාව","Aboukir"
"චමත්කාරය","aboulia"
"චර්යාත්මක","aboulias"
"චර්යාව","aboulic"
"චලනය","abound"
"චාරිත්රය","abounded"
"චිකිත්සක","abounder"
"චිකිත්සාව","abounding"
"චිත්තවේගීය","aboundingly"
"චිත්තවේගීයව","abounds"
"චිත්රපටය","Abourezk"
"චිප","about"
"චීන","about-face"
"චීස්","about-faced"
"චෙෆ්","about-facing"
"චේතනාව","abouts"
"චොකලට්","about-ship"
"චොප්සි","about-shipped"
"චෝදනාව","about-shipping"
"ඡන්දදායකයා","about-sledge"
"ඡන්දය","about-turn"
"ඡායාරූපය","above"
"ඡේදය","aboveboard"
"ජන","above-board"
"ජනගහනය","above-cited"
"ජනපදය","abovedeck"
"ජනප්රිය","above-found"
"ජනප්රියත්වය","above-given"
"ජනරජය","aboveground"
"ජනරජවාදී","abovementioned"
"ජනවරම","above-mentioned"
"ජනවාරි","above-named"
"ජනවිකාස","aboveproof"
"ජනාධිපති","above-quoted"
"ජනාධිපතිකම","above-reported"
"ජපන්","aboves"
"ජයගන්නවා","abovesaid"
"ජයග්රහණය","above-said"
"ජයග්රාහකයා","abovestairs"
"ජරාව","above-water"
"ජර්මානු","above-written"
"ජලය","abow"
"ජාතික","abox"
"ජාතිය","Abp"
"ජාතිවාදය","ABPC"
"ජාතිවාදී","Abqaiq"
"ජානමය","abr"
"ජානය","abr."
"ජාල","Abra"
"ජාලකය","abracadabra"
"ජැකට්","abrachia"
"ජෑස්","abrachias"
"ජිම්","abradable"
"ජීන්ස්","abradant"
"ජීවන","abradants"
"ජීවමානයි","abrade"
