"Marathi","English"
"इस्लामिक","abdominocardiac"
"ईमेल","abdominocentesis"
"ई-मेल","abdominocystic"
"ईशान्य","abdominogenital"
"उंच","abdominohysterectomy"
"उंची","abdominohysterotomy"
"उंदीर","abdominoposterior"
"उंबरठा","abdominoscope"
"उकळणे","abdominoscopy"
"उग्र","abdominothoracic"
"उघड","abdominous"
"उघडणे","abdomino-uterotomy"
"उघडपणे","abdominovaginal"
"उघडा","abdominovesical"
"उघडे","Abdon"
"उच्च","Abdu"
"उच्चारण","abduce"
"उडणे","abduced"
"उडी","abducens"
"उड्डाण","abducent"
"उतरणे","abducentes"
"उतार","abduces"
"उत्कट","abducing"
"उत्कृष्ट","abduct"
"उत्क्रांती","abducted"
"उत्तर","abducting"
"उत्तीर्ण","abduction"
"उत्तेजन","abductions"
"उत्तेजित","abduction's"
"उत्पन्न","abductor"
"उत्पादक","abductores"
"उत्पादकता","abductors"
"उत्पादन","abductor's"
"उत्सर्जन","abducts"
"उत्सव","Abdul"
"उत्साह","Abdul-Aziz"
"उत्साहवर्धक","Abdul-baha"
"उत्साहित","Abdulla"
"उत्सुक","Abe"
"उथळ","a-be"
"उदय","abeam"
"उदयोन्मुख","abear"
"उदार","abearance"
"उदारमतवादी","Abebi"
"उदास","abecedaire"
"उदाहरण","abecedary"
"उद्देश","abecedaria"
"उद्धट","abecedarian"
"उद्भवू","abecedarians"
"उद्भासन","abecedaries"
"उद्या","abecedarium"
"उद्योग","abecedarius"
"उद्योगधंदा","abed"
"उद्योजक","abede"
"उन्हाळा","abedge"
"उप","Abednego"
"उपकरणे","abegge"
"उपक्रम","Abey"
"उपग्रह","abeyance"
"उपचार","abeyances"
"उपदेश","abeyancy"
"उपनगर","abeyancies"
"उपनगरी","abeyant"
"उपयुक्त","abeigh"
"उपयुक्तता","ABEL"
"उपरा","Abelard"
"उपलब्ध","abele"
"उपलब्धता","abeles"
"उपलब्धी","Abelia"
"उपस्थित","Abelian"
"उपस्थिती","Abelicea"
"उपहारगृह","Abelite"
"उपाय","Abell"
"उबदार","Abelmoschus"
"उभे","abelmosk"
"उमेदवार","abelmosks"
"उर्वरित","abelmusk"
"उलगडणे","Abelonian"
"उलट","Abelson"
"उल्लंघन","abeltree"
"उल्लेख","Abencerrages"
"उल्लेखनीय","abend"
"उशी","abends"
"उशीरा","Abenezra"
"उष्णकटिबंधीय","abenteric"
"उष्णता","Abeokuta"
"उसळी","abepithymia"
"उसासा","ABEPP"
"उह","Abercromby"
"उह-हह","Abercrombie"
"ऊर्जा","Aberdare"
"ऍथलेटिक","aberdavine"
"एक","Aberdeen"
"एकंदरीत","Aberdeenshire"
"एकटा","aberdevine"
"एकतर","Aberdonian"
"एकत्र","aberduvine"
"एकत्रित","Aberfan"
"एकदा","Aberglaube"
"एकमत","Aberia"
"एकमेव","Aberystwyth"
"एकर","Abernant"
"एकसमान","Abernathy"
"एकसारखे","abernethy"
"एकाकी","Abernon"
"एकाग्रता","aberr"
"एकाधिक","aberrance"
"एकीकरण","aberrancy"
"एकूण","aberrancies"
"एकूणच","aberrant"
"एजंट","aberrantly"
"एजन्सी","aberrants"
"एप्रिल","aberrate"
"एह","aberrated"
"ऐकणारा","aberrating"
"ऐकणे","aberration"
"ऐका","aberrational"
"ऐक्य","aberrations"
"ऐतिहासिक","aberrative"
"ऐतिहासिकदृष्ट्या","aberrator"
"ऑक्टोबर","aberrometer"
"ऑक्सिजन","aberroscope"
"ऑगस्ट","Abert"
"ऑटो","aberuncate"
"ऑनलाइन","aberuncator"
"ऑपरेट","abesse"
"ऑपरेटर","abessive"
"ऑपरेशन","abet"
"ऑपेरा","abetment"
"ऑफर","abetments"
"ऑर्डर","abets"
"ऑलिंपिक","abettal"
"ऑलिम्पिक","abettals"
"ऑलिव्ह","abetted"
"ओंगळ","abetter"
"ओक","abetters"
"ओझे","abetting"
"ओठ","abettor"
"ओढणे","abettors"
"ओतणे","Abeu"
"ओरडणे","abevacuation"
"ओलांडून","abfarad"
"ओलीस","abfarads"
"ओले","ABFM"
"ओळ","Abgatha"
"ओळख","ABHC"
"ओळखणे","abhenry"
"ओव्हन","abhenries"
"ओह","abhenrys"
"औंस","abhinaya"
"औद्योगिक","abhiseka"
"औपचारिक","abhominable"
"औषध","abhor"
"औषधोपचार","abhorred"
"कँडी","abhorrence"
"कंटाळवाणा","abhorrences"
"कंटेनर","abhorrency"
"कंत्राटदार","abhorrent"
"कंपनी","abhorrently"
"कंपाऊंड","abhorrer"
"कक्षा","abhorrers"
"कचरा","abhorrible"
"कच्चा","abhorring"
"कट","abhors"
"कठीण","Abhorson"
"कठोर","ABI"
"कडक","aby"
"कडू","Abia"
"कण","Abiathar"
"कथा","Abib"
"कथित","abichite"
"कथितपणे","abidal"
"कदाचित","abidance"
"कधी","abidances"
"कधीतरी","abidden"
"कधीही","abide"
"कनिष्ठ","abided"
"कनेक्शन","abider"
"कप","abiders"
"कपडे","abides"
"कपाट","abidi"
"कपात","abiding"
"कपाळ","abidingly"
"कबर","abidingness"
"कमकुवत","Abidjan"
"कमतरता","Abydos"
"कमवा","Abie"
"कमांडर","abye"
"कमाई","abied"
"कमिशन","abyed"
"कमी","abiegh"
"कम्युनिस्ट","abience"
"कर","abient"
"करण्यासाठी","Abies"
"करदाता","abyes"
"करा","abietate"
"करार","abietene"
"करिअर","abietic"
"करुणा","abietin"
"करेल","Abietineae"
"कर्करोग","abietineous"
"कर्ज","abietinic"
"कर्णधार","abietite"
"कर्तव्य","Abiezer"
"कर्नल","Abigael"
"कर्मचारी","Abigail"
"कल","abigails"
"कला","abigailship"
"कलाकार","Abigale"
"कलात्मक","abigeat"
"कलेक्टर","abigei"
"कल्पना","abigeus"
"कल्पनारम्य","Abihu"
"कल्याण","abying"
"कवच","Abijah"
"कवटी","Abyla"
"कविता","abilao"
"कवी","Abilene"
"कव्हर","abiliment"
"कव्हरेज","Abilyne"
"कसे","abilitable"
"का","ability"
"काँग्रेस","abilities"
"काँग्रेसमन","ability's"
"कांदा","abilla"
"काउंटर","abilo"
"काउंटी","abime"
"काका","Abimelech"
"काकू","Abineri"
"कागद","Abingdon"
"काच","Abinger"
"काटा","Abington"
"काटेकोरपणे","Abinoam"
"काठी","Abinoem"
"काढणे","abintestate"
"काढा","abiogeneses"
"कादंबरी","abiogenesis"
"कान","abiogenesist"
"कापड","abiogenetic"
"कापूस","abiogenetical"
"काम","abiogenetically"
"कामगार","abiogeny"
"कामगिरी","abiogenist"
"काय","abiogenous"
"कायदा","abiology"
"कायदेमंडळ","abiological"
"कायदेशीर","abiologically"
"कायदेशीररित्या","abioses"
"कायम","abiosis"
"कायमचे","abiotic"
"कारकून","abiotical"
"कारखाना","abiotically"
"कारण","abiotrophy"
"कार्ट","abiotrophic"
"कार्ड","Abipon"
"कार्पेट","Abiquiu"
"कार्बन","abir"
"कार्बोहायड्रेट","abirritant"
"कार्य","abirritate"
"कार्यकर्ता","abirritated"
"कार्यकारी","abirritating"
"कार्यक्रम","abirritation"
"कार्यक्षम","abirritative"
"कार्यक्षमता","abys"
"कार्यरत","Abisag"
"कार्यवाही","Abisha"
"कार्यशाळा","Abishag"
"कार्यशील","Abisia"
"कार्यालय","abysm"
"काल","abysmal"
"कालावधी","abysmally"
"काळजी","abysms"
"काळजीत","Abyss"
"काळजीपूर्वक","abyssa"
"काळा","abyssal"
"कासव","abysses"
"कास्ट","Abyssinia"
"काही","Abyssinian"
"काहीतरी","abyssinians"
"काहीसा","abyssobenthonic"
"काहीसे","abyssolith"
"काहीही","abyssopelagic"
"किंचाळणे","abyss's"
"किंचित","abyssus"
"किंमत","abiston"
"किंवा","abit"
"किट","Abitibi"
"किडा","Abiu"
"किनारा","abiuret"
"किमतीची","Abixah"
"किमान","abject"
"किरकोळ","abjectedness"
"किरण","abjection"
"किराणा","abjections"
"किलर","abjective"
"किल्ला","abjectly"
"किशोर","abjectness"
"किशोरवयीन","abjectnesses"
"की","abjoint"
"कीटक","abjudge"
"कीबोर्ड","abjudged"
"कुंपण","abjudging"
"कुकी","abjudicate"
"कुजबुजणे","abjudicated"
"कुटुंब","abjudicating"
"कुठे","abjudication"
"कुठेतरी","abjudicator"
"कुठेही","abjugate"
"कुतूहल","abjunct"
"कुत्रा","abjunction"
"कुत्री","abjunctive"
"कुरण","abjuration"
"कुरुप","abjurations"
"कुलूप","abjuratory"
"कूक","abjure"
"कृतज्ञ","abjured"
"कृती","abjurement"
"कृत्रिम","abjurer"
"कृपया","abjurers"
"कृपा","abjures"
"कृषी","abjuring"
"कॅथोलिक","abkar"
"कॅनव्हास","abkari"
"कॅनेडियन","abkary"
"कॅफे","Abkhas"
"कॅमेरा","Abkhasia"
"कॅम्पस","Abkhasian"
"कॅलरी","Abkhaz"
"कॅलेंडर","Abkhazia"
"कॅसिनो","Abkhazian"
"केंद्र","abl"
"केक","abl."
"केबल","ablach"
"केबिन","ablactate"
"केळी","ablactated"
"केवळ","ablactating"
"केव्हाही","ablactation"
"केस","ablaqueate"
"कैदी","ablare"
"कॉन्ट्रास्ट","A-blast"
"कॉपी","ablastemic"
"कॉपीराइट","ablastin"
"कॉफी","ablastous"
"कॉमिक","ablate"
"कॉरिडॉर","ablated"
"कॉर्न","ablates"
"कॉर्पोरेट","ablating"
"कॉर्प्स","ablation"
"कॉल","ablations"
"कॉलर","ablatitious"
"कॉलेज","ablatival"
"कोट","ablative"
"कोड","ablatively"
"कोडे","ablatives"
"कोणतेही","ablator"
"कोणीतरी","ablaut"
"कोणीही","ablauts"
"कोन","ablaze"
"कोपर","able"
"कोपरा","able-bodied"
"कोमेजणे","able-bodiedness"
"कोर","ableeze"
"कोरडे","ablegate"
"कोरणे","ablegates"
"कोरियन","ablegation"
"कोर्टरूम","able-minded"
"कोलेस्टेरॉल","able-mindedness"
"कोळसा","ablend"
"कोशिंबीर","ableness"
"कोसळणे","ablepharia"
"कौशल्य","ablepharon"
"क्रम","ablepharous"
"क्रश","Ablepharus"
"क्रांतिकारी","ablepsy"
"क्रांती","ablepsia"
"क्रिया","ableptical"
"क्रियाकलाप","ableptically"
"क्रिस्टल","abler"
"क्रूर","ables"
"क्रॅक","ablesse"
"क्रेडिट","ablest"
"क्रॉनिकल","ablet"
"क्रॉल","ablewhackets"
"क्लब","ably"
"क्लस्टर","ablings"
"क्लासिक","ablins"
"क्लिनिकल","ablock"
"क्लिप","abloom"
"क्लिष्ट","ablow"
"क्वचितच","ABLS"
"क्वांटम","ablude"
"क्वार्टरबॅक","abluent"
"क्षण","abluents"
"क्षमता","ablush"
"क्षितीज","ablute"
"क्षेत्र","abluted"
"क्षेपणास्त्र","ablution"
"खंड","ablutionary"
"खंडपीठ","ablutions"
"खंडित","abluvion"
"खगोलशास्त्रज्ञ","ABM"
"खजिना","abmho"
"खटला","abmhos"
"खडक","abmodality"
"खड्डा","abmodalities"
"खरंच","abn"
"खरा","Abnaki"
"खरे","Abnakis"
"खरेदी","abnegate"
"खरेदीदार","abnegated"
"खरोखर","abnegates"
"खर्च","abnegating"
"खांदा","abnegation"
"खांब","abnegations"
"खाजगी","abnegative"
"खाडी","abnegator"
"खाणे","abnegators"
"खाते","Abner"
"खात्री","abnerval"
"खात्रीने","abnet"
"खाली","abneural"
"खालील","abnormal"
"खिडकी","abnormalcy"
"खिसा","abnormalcies"
"खुनी","abnormalise"
"खुर्ची","abnormalised"
"खून","abnormalising"
"खूप","abnormalism"
"खेद","abnormalist"
"खेळ","abnormality"
"खेळणी","abnormalities"
"खेळणे","abnormalize"
"खेळपट्टी","abnormalized"
"खेळाडू","abnormalizing"
"खोटे","abnormally"
"खोड","abnormalness"
"खोदणे","abnormals"
"खोल","abnormity"
"खोलवर","abnormities"
"खोली","abnormous"
"ख्रिश्चन","abnumerable"
"ख्रिसमस","Abo"
"गंतव्यस्थान","aboard"
"गंभीर","aboardage"
"गंभीरपणे","Abobra"
"गजर","abococket"
"गट","abodah"
"गडद","abode"
"गणना","aboded"
"गणित","abodement"
"गतिमान","abodes"
"गतिशीलता","abode's"
"गती","abody"
"गप्पा","aboding"
"गमावणे","abogado"
"गरज","abogados"
"गरम","abohm"
"गरिबी","abohms"
"गरीब","aboideau"
"गरुड","aboideaus"
"गर्दी","aboideaux"
"गर्भधारणा","aboil"
"गर्भपात","aboiteau"
"गर्भवती","aboiteaus"
"गलिच्छ","aboiteaux"
"गल्ली","abolete"
"गळती","abolish"
"गवत","abolishable"
"गस्त","abolished"
"गहन","abolisher"
"गहाण","abolishers"
"गहाळ","abolishes"
"गहू","abolishing"
"गांजा","abolishment"
"गाडी","abolishments"
"गाढव","abolishment's"
"गाणे","abolition"
"गाय","abolitionary"
"गायक","abolitionise"
"गाल","abolitionised"
"गाव","abolitionising"
"गिटार","abolitionism"
"गियर","abolitionist"
"गिरणी","abolitionists"
"गिळणे","abolitionize"
"गीत","abolitionized"
"गुंतणे","abolitionizing"
"गुंतवणूक","abolitions"
"गुंतवणूकदार","abolla"
"गुंतवणे","abollae"
"गुंतागुंत","aboma"
"गुडघा","abomas"
"गुणवत्ता","abomasa"
"गुन्हा","abomasal"
"गुन्हेगार","abomasi"
"गुप्त","abomasum"
"गुप्तहेर","abomasus"
"गुराखी","abomasusi"
"गुरुत्व","A-bomb"
"गुरुवारी","abominability"
"गुलाब","abominable"
"गुलाबी","abominableness"
"गुलाम","abominably"
"गुलामगिरी","abominate"
"गुळगुळीत","abominated"
"गुहा","abominates"
"गृहनिर्माण","abominating"
"गृहपाठ","abomination"
"गृहस्थ","abominations"
"गृहीत","abominator"
"गृहीतक","abominators"
"गॅरेज","abomine"
"गॅलन","abondance"
"गॅलरी","Abongo"
"गॅस","abonne"
"गेट","abonnement"
"गैरवर्तन","aboon"
"गॉस्पेल","aborad"
"गोंडस","aboral"
"गोंधळ","aborally"
"गोठलेले","abord"
"गोड","Aboriginal"
"गोणी","aboriginality"
"गोप","aboriginally"
"गोपनीयता","aboriginals"
"गोमांस","aboriginary"
"गोल","Aborigine"
"गोल्फ","aborigines"
"गोळा","aborigine's"
"गोळी","Abor-miri"
"गोषवारा","Aborn"
"गोष्ट","aborning"
"गौरव","a-borning"
"ग्रह","aborsement"
"ग्राफिक","aborsive"
"ग्रामीण","abort"
"ग्राहक","aborted"
"ग्रिड","aborter"
"ग्रीक","aborters"
"ग्रेड","aborticide"
"ग्लोब","abortient"
"घंटा","abortifacient"
"घट","abortin"
"घटक","aborting"
"घटना","abortion"
"घटनात्मक","abortional"
"घटस्फोट","abortionist"
"घट्ट","abortionists"
"घट्टपणे","abortions"
"घड","abortion's"
"घडणे","abortive"
"घड्याळ","abortively"
"घन","abortiveness"
"घनता","abortogenic"
"घबराट","aborts"
"घर","abortus"
"घरगुती","abortuses"
"घरटे","abos"
"घराबाहेर","abote"
"घसा","Abott"
"घाई","abouchement"
"घाण","aboudikro"
"घाबरलेला","abought"
"घाबरवणे","Aboukir"
"घाम","aboulia"
"घालणे","aboulias"
"घाला","aboulic"
"घासणे","abound"
"घेणे","abounded"
"घेरणे","abounder"
"घोंगडी","abounding"
"घोटा","aboundingly"
"घोटाळा","abounds"
"घोडा","Abourezk"
"घोषणा","about"
"चंद्र","about-face"
"चक्रीवादळ","about-faced"
"चढणे","about-facing"
"चमकणे","abouts"
"चमचे","about-ship"
"चमत्कार","about-shipped"
"चरबी","about-shipping"
"चर्च","about-sledge"
"चर्चा","about-turn"
"चर्वण","above"
"चल","aboveboard"
"चलन","above-board"
"चव","above-cited"
"चहा","abovedeck"
"चांगले","above-found"
"चांगुलपणा","above-given"
"चांदी","aboveground"
"चाक","abovementioned"
"चाकू","above-mentioned"
"चाचणी","above-named"
"चाबूक","aboveproof"
"चामडे","above-quoted"
"चार","above-reported"
"चालक","aboves"
"चालणे","abovesaid"
"चालना","above-said"
"चालू","abovestairs"
"चाळीस","above-water"
"चावणे","above-written"
"चिंता","abow"
"चिंताग्रस्त","abox"
"चिकणमाती","Abp"
"चिकन","ABPC"
"चिकित्सालय","Abqaiq"
"चिखल","abr"
"चित्र","abr."
"चित्रकला","Abra"
"चित्रकार","abracadabra"
"चित्रण","abrachia"
"चित्रपट","abrachias"
"चिन्ह","abradable"
"चिप","abradant"
"चीज","abradants"
"चीनी","abrade"
"चुंबन","abraded"
"चुकणे","abrader"
"चुकीचे","abraders"
"चूक","abrades"
"चॅनल","abrading"
"चॅम्पियन","Abraham"
"चॅम्पियनशिप","Abrahamic"
"चेंडू","Abrahamidae"
"चेंबर","Abrahamite"
"चेटकीण","Abrahamitic"
"चेतावणी","Abraham-man"
"चेहरा","Abrahams"
"चॉकलेट","Abrahamsen"
"चोखणे","Abrahan"
"चोर","abray"
"चोरी","abraid"
"चौकशी","Abram"
"चौथा","Abramis"
"चौरस","Abramo"
"च्या","Abrams"
"छप्पर","Abramson"
"छळ","Abran"
"छाती","abranchial"
"छान","abranchialism"
"छाप","abranchian"
"छापणे","Abranchiata"
"छायाचित्र","abranchiate"
"छायाचित्रकार","abranchious"
"छायाचित्रण","abrasax"
"छिद्र","abrase"
"जंक","abrased"
"जंगल","abraser"
"जंगली","abrash"
"जखम","abrasing"
"जग","abrasiometer"
"जगणे","abrasion"
"जगभरात","abrasions"
"जटिल","abrasion's"
"जड","abrasive"
"जनगणना","abrasively"
"जनुक","abrasiveness"
"जन्म","abrasivenesses"
"जन्मभुमी","abrasives"
"जपानी","abrastol"
"जप्त","abraum"
"जबडा","abraxas"
"जबरदस्त","abrazite"
"जबाबदार","abrazitic"
"जबाबदारी","abrazo"
"जमीन","abrazos"
"जर","abreact"
"जरी","abreacted"
"जर्नल","abreacting"
"जर्मन","abreaction"
"जलद","abreactions"
"जवळ","abreacts"
"जवळजवळ","abreast"
"जवळपास","abreed"
"जवळून","abrege"
"जसे","abreid"
"जहाज","abrenounce"
"जा","abrenunciate"
"जांभळा","abrenunciation"
"जाकीट","abreption"
"जागतिक","abret"
"जागरूकता","abreuvoir"
"जागा","abri"
"जागे","abrico"
"जाझ","abricock"
"जाड","abricot"
"जाणणे","abridgable"
"जाणीव","abridge"
"जादुई","abridgeable"
"जादू","abridged"
"जानेवारी","abridgedly"
"जाळणे","abridgement"
"जास्त","abridgements"
"जाहिरात","abridger"
"जिंकणे","abridgers"
"जिना","abridges"
"जिल्हा","abridging"
"जिवंत","abridgment"
"जिवाणू","abridgments"
"जीन्स","abrim"
"जीभ","abrin"
"जीव","abrine"
"जीवन","abris"
"जीवनशैली","abristle"
"जीवनसत्व","abroach"
"जीवशास्त्र","abroad"
"जीवाश्म","Abrocoma"
"जुनाट","abrocome"
"जुन्या","abrogable"
"जुलै","abrogate"
"जुळणी","abrogated"
"जुळे","abrogates"
"जून","abrogating"
"जूरी","abrogation"
"जे","abrogations"
"जेट","abrogative"
"जेमतेम","abrogator"
"जेवण","abrogators"
"जेवणाचे","Abroma"
"जैविक","Abroms"
"जोडले","Abronia"
"जोडा","abrood"
"जोडी","abrook"
"जोडीदार","abrosia"
"जोपर्यंत","abrosias"
"जोर","abrotanum"
"जोरदार","abrotin"
"जोरदारपणे","abrotine"
"जोरात","abrupt"
"ज्ञात","abruptedly"
"ज्ञान","abrupter"
"ज्ञानी","abruptest"
"ज्या","abruptio"
"ज्याचे","abruption"
"ज्यू","abruptiones"
"ज्योत","abruptly"
