"Shona","English"
"bhaketi","abator"
"bhandi","abators"
"bhasikoro","ABATS"
"bhatani","abattage"
"bhatiri","abattis"
"bhavhdhe","abattised"
"bhazi","abattises"
"bheji","abattoir"
"bhenji","abattoirs"
"bhero","abattu"
"bhinzi","abattue"
"bhiriyoni","Abatua"
"bhishopi","abature"
"bhiza","abaue"
"bhodhoro","abave"
"bhomba","abaxial"
"bhonasi","abaxile"
"bhora","abaze"
"bhuku","abb"
"bhurawuni","Abba"
"bhuruu","abbacy"
"bid","abbacies"
"bill","abbacomes"
"biological","Abbadide"
"biology","Abbai"
"bite","abbaye"
"bizarre","abbandono"
"blade","abbas"
"blank","abbasi"
"blend","Abbasid"
"block","abbassi"
"blog","Abbassid"
"board","Abbasside"
"bofu","Abbate"
"boil","abbatial"
"boka","abbatical"
"bold","abbatie"
"bond","Abbe"
"bone","Abbey"
"bongozozo","abbeys"
"boom","abbey's"
"boost","abbeystead"
"boot","abbeystede"
"booth","abbes"
"border","abbess"
"born","abbesses"
"bother","abbest"
"bounce","Abbevilean"
"bow","Abbeville"
"box","Abbevillian"
"brain","Abbi"
"brand","Abby"
"break","Abbie"
"breakfast","Abbye"
"bright","Abbyville"
"brilliant","abboccato"
"bring","abbogada"
"british","Abbot"
"broadcast","abbotcy"
"browser","abbotcies"
"brush","abbotnullius"
"bubble","abbotric"
"buck","abbots"
"budiriro","abbot's"
"buditsa","Abbotsen"
"bug","Abbotsford"
"building","abbotship"
"bullet","abbotships"
"bullshit","Abbotson"
"bunch","Abbotsun"
"bundu","Abbott"
"burger","Abbottson"
"buruka","Abbottstown"
"business","Abboud"
"busy","abbozzo"
"butt","ABBR"
"buy","abbrev"
"buyer","abbreviatable"
"bvisa","abbreviate"
"Bvisa","abbreviated"
"bvudzi","abbreviately"
"bvuma","abbreviates"
"bvumira","abbreviating"
"bvunza","abbreviation"
"bvunzo","abbreviations"
"by","abbreviator"
"cab","abbreviatory"
"cabin","abbreviators"
"cabinet","abbreviature"
"cable","abbroachment"
"cafe","ABC"
"cake","abcess"
"calculation","abcissa"
"calendar","abcoulomb"
"call","ABCs"
"caller","abd"
"calorie","abdal"
"camp","abdali"
"canadian","abdaria"
"candidate","abdat"
"candy","Abdel"
"canvas","Abd-el-Kadir"
"cap","Abd-el-Krim"
"capital","Abdella"
"capitalism","Abderhalden"
"carbohydrate","Abderian"
"care","Abderite"
"cartoon","Abderus"
"case","abdest"
"cash","Abdias"
"cast","abdicable"
"castle","abdicant"
"casual","abdicate"
"casualty","abdicated"
"category","abdicates"
"cd","abdicating"
"cease","abdication"
"ceiling","abdications"
"celebrate","abdicative"
"census","abdicator"
"cent","Abdiel"
"centre","abditive"
"ceo","abditory"
"chai","abdom"
"chair","abdomen"
"chaiye","abdomens"
"chaiyo","abdomen's"
"chaizvo","abdomina"
"chaizvoizvo","abdominal"
"chakavanzika","Abdominales"
"chamber","abdominalia"
"chamhembe","abdominalian"
"Championship","abdominally"
"chando","abdominals"
"changamire","abdominoanterior"
"channel","abdominocardiac"
"chaos","abdominocentesis"
"chapupu","abdominocystic"
"character","abdominogenital"
"characterize","abdominohysterectomy"
"charge","abdominohysterotomy"
"charm","abdominoposterior"
"charter","abdominoscope"
"chase","abdominoscopy"
"chat","abdominothoracic"
"chati","abdominous"
"chaunga","abdomino-uterotomy"
"cheap","abdominovaginal"
"cheat","abdominovesical"
"chechi","Abdon"
"chechina","Abdu"
"check","abduce"
"cheek","abduced"
"cheer","abducens"
"cheese","abducent"
"chef","abducentes"
"cheka","abduces"
"chekutanga","abducing"
"chemistry","abduct"
"chena","abducted"
"chengeta","abducting"
"chengetedza","abduction"
"chengetedzo","abductions"
"cheni","abduction's"
"chenomwe","abductor"
"Chepiri","abductores"
"cherechedza","abductors"
"chero","abductor's"
"chesere","abducts"
"cheshanu","Abdul"
"chest","Abdul-Aziz"
"chetanhatu","Abdul-baha"
"chetatu","Abdulla"
"chete","Abe"
"chew","a-be"
"chibage","abeam"
"chibayiro","abear"
"chibhakera","abearance"
"chibharumu","Abebi"
"chibvumirano","abecedaire"
"chichemo","abecedary"
"ChiChinese","abecedaria"
"chidhori","abecedarian"
"chidimbu","abecedarians"
"chido","abecedaries"
"ChiDutch","abecedarium"
"chidya","abecedarius"
"chidzidzo","abed"
"chiedza","abede"
"chifananidzo","abedge"
"ChiFrench","Abednego"
"chigadzirwa","abegge"
"chigamba","Abey"
"chigaro","abeyance"
"chigayo","abeyances"
"ChiGiriki","abeyancy"
"chigunwe","abeyancies"
"chii","abeyant"
"ChiIrish","abeigh"
"chiIslam","ABEL"
"ChiIslram","Abelard"
"ChiItalian","abele"
"chiitiko","abeles"
"chiito","Abelia"
"ChiJapanese","Abelian"
"ChiJerimani","Abelicea"
"chikafu","Abelite"
"chikamu","Abell"
"chikepe","Abelmoschus"
"Chikirisitu","abelmosk"
"chikomborero","abelmosks"
"chikomo","abelmusk"
"chikonzero","Abelonian"
"chikopokopo","Abelson"
"ChiKorean","abeltree"
"chikoro","Abencerrages"
"chikumbaridzo","abend"
"chikumbiro","abends"
"Chikumi","Abenezra"
"Chikunguru","abenteric"
"chikuru","Abeokuta"
"chikwama","abepithymia"
"chikwapuro","ABEPP"
"chikwata","Abercromby"
"chikwereti","Abercrombie"
"chimbuzi","Aberdare"
"chimiro","aberdavine"
"chimurenga","Aberdeen"
"chin","Aberdeenshire"
"China","aberdevine"
"chinangwa","Aberdonian"
"chingwa","aberduvine"
"chinhambwe","Aberfan"
"chinhu","Aberglaube"
"chinja","Aberia"
"chinyararire","Aberystwyth"
"chinyorwa","Abernant"
"chinzvimbo","Abernathy"
"chip","abernethy"
"chipangamazano","Abernon"
"chipatara","aberr"
"chipembenene","aberrance"
"chipenyu","aberrancy"
"chipfeko","aberrancies"
"chipikiri","aberrant"
"chipingamupinyi","aberrantly"
"Chipiri","aberrants"
"chipo","aberrate"
"chipoko","aberrated"
"chipunu","aberrating"
"chirango","aberration"
"chiratidzo","aberrational"
"chiremba","aberrations"
"chiremera","aberrative"
"chiremerera","aberrator"
"chirevo","aberrometer"
"chiridzwa","aberroscope"
"chirimo","Abert"
"chirimwa","aberuncate"
"chirongo","aberuncator"
"chirongwa","abesse"
"chiropa","abessive"
"Chirungu","abet"
"ChiRussian","abetment"
"chirwere","abetments"
"chisarai","abets"
"chisarudzo","abettal"
"chishamiso","abettals"
"Chishanu","abetted"
"chisikwa","abetter"
"chisimbiso","abetters"
"ChiSpanish","abetting"
"chitambi","abettor"
"chitarisiko","abettors"
"Chitatu","Abeu"
"chitendero","abevacuation"
"chiteshi","abfarad"
"chitima","abfarads"
"chitsauko","ABFM"
"chitsitsinho","Abgatha"
"chitsuwa","ABHC"
"chitubu","abhenry"
"chitupa","abhenries"
"Chivabvu","abhenrys"
"chivi","abhinaya"
"chivimbo","abhiseka"
"chiyero","abhominable"
"chiyeuchidzo","abhor"
"chizaruro","abhorred"
"chiziviso","abhorrence"
"chokoreti","abhorrences"
"chokwadi","abhorrency"
"Chokwadi","abhorrent"
"cholesterol","abhorrently"
"chombo","abhorrer"
"chop","abhorrers"
"christian","abhorrible"
"chronic","abhorring"
"chubhu","abhors"
"chuckle","Abhorson"
"chunk","ABI"
"circuit","aby"
"cite","Abia"
"citizen","Abiathar"
"civic","Abib"
"civil","abichite"
"class","abidal"
"classic","abidance"
"classical","abidances"
"classify","abidden"
"clause","abide"
"clear","abided"
"clever","abider"
"client","abiders"
"clip","abides"
"club","abidi"
"clue","abiding"
"cluster","abidingly"
"coach","abidingness"
"coalition","Abidjan"
"coast","Abydos"
"coastal","Abie"
"code","abye"
"coin","abied"
"collection","abyed"
"college","abiegh"
"colonel","abience"
"colonial","abient"
"color","Abies"
"column","abyes"
"comedy","abietate"
"comfort","abietene"
"comfortable","abietic"
"comic","abietin"
"command","Abietineae"
"comment","abietineous"
"commentary","abietinic"
"commerce","abietite"
"commercial","Abiezer"
"commission","Abigael"
"commit","Abigail"
"commodity","abigails"
"common","abigailship"
"communication","Abigale"
"communist","abigeat"
"community","abigei"
"competition","abigeus"
"competitor","Abihu"
"complain","abying"
"compose","Abijah"
"composition","Abyla"
"compound","abilao"
"comprehensive","Abilene"
"comprise","abiliment"
"compromise","Abilyne"
"concentrate","abilitable"
"concentration","ability"
"confront","abilities"
"confuse","ability's"
"congress","abilla"
"congressional","abilo"
"congressman","abime"
"connect","Abimelech"
"conscious","Abineri"
"Conservative","Abingdon"
"consist","Abinger"
"constitute","Abington"
"Constitution","Abinoam"
"constraint","Abinoem"
"consult","abintestate"
"consultant","abiogeneses"
"contact","abiogenesis"
"contain","abiogenesist"
"conte","abiogenetic"
"contemporary","abiogenetical"
"content","abiogenetically"
"contest","abiogeny"
"context","abiogenist"
"continuous","abiogenous"
"contract","abiology"
"control","abiological"
"convert","abiologically"
"cookie","abioses"
"coordinator","abiosis"
"cope","abiotic"
"copyright","abiotical"
"core","abiotically"
"corporate","abiotrophy"
"corporation","abiotrophic"
"correct","Abipon"
"corridor","Abiquiu"
"costume","abir"
"count","abirritant"
"counter","abirritate"
"County","abirritated"
"cover","abirritating"
"coverage","abirritation"
"cowboy","abirritative"
"crack","abys"
"craft","Abisag"
"crap","Abisha"
"crawl","Abishag"
"cream","Abisia"
"critique","abysm"
"cross","abysmal"
"crucial","abysmally"
"cruise","abysms"
"cue","Abyss"
"curious","abyssa"
"current","abyssal"
"curriculum","abysses"
"curtain","Abyssinia"
"curve","Abyssinian"
"cute","abyssinians"
"cycle","abyssobenthonic"
"dai","abyssolith"
"dambudziko","abyssopelagic"
"damn","abyss's"
"danda","abyssus"
"danidzira","abiston"
"dare","abit"
"data","Abitibi"
"database","Abiu"
"date","abiuret"
"deadline","Abixah"
"deal","abject"
"debut","abjectedness"
"decent","abjection"
"deck","abjections"
"dedicate","abjective"
"deem","abjectly"
"default","abjectness"
"defender","abjectnesses"
"deficit","abjoint"
"define","abjudge"
"degree","abjudged"
"dehenya","abjudging"
"dehwe","abjudicate"
"delay","abjudicated"
"delete","abjudicating"
"delicate","abjudication"
"deliver","abjudicator"
"delivery","abjugate"
"democracy","abjunct"
"democrat","abjunction"
"denderedzwa","abjunctive"
"denga","abjuration"
"density","abjurations"
"department","abjuratory"
"depend","abjure"
"dependent","abjured"
"depic","abjurement"
"deploy","abjurer"
"deposit","abjurers"
"desert","abjures"
"design","abjuring"
"desk","abkar"
"dessert","abkari"
"destination","abkary"
"destiny","Abkhas"
"detect","Abkhasia"
"develop","Abkhasian"
"developer","Abkhaz"
"development","Abkhazia"
"developmental","Abkhazian"
"devote","abl"
"dhadha","abl."
"dhimoni","ablach"
"dhinda","ablactate"
"dhiragoni","ablactated"
"dhirowa","ablactating"
"dhiyabhorosi","ablactation"
"dhonza","ablaqueate"
"dhora","ablare"
"diamond","A-blast"
"diary","ablastemic"
"dig","ablastin"
"digital","ablastous"
"diki","ablate"
"dimension","ablated"
"dimikira","ablates"
"diminish","ablating"
"dingindira","ablation"
"dining","ablations"
"diplomatic","ablatitious"
"direction","ablatival"
"director","ablative"
"disappear","ablatively"
"discount","ablatives"
"discover","ablator"
"dish","ablaut"
"disk","ablauts"
"disorder","ablaze"
"divide","able"
"division","able-bodied"
"dna","able-bodiedness"
"doc","ableeze"
"document","ablegate"
"documentary","ablegates"
"domain","ablegation"
"dombo","able-minded"
"dominant","able-mindedness"
"donate","ablend"
"donation","ableness"
"Donhedza","ablepharia"
"donje","ablepharon"
"donor","ablepharous"
"doorway","Ablepharus"
"doro","ablepsy"
"dose","ablepsia"
"dot","ableptical"
"download","ableptically"
"downtown","abler"
"draft","ables"
"drain","ablesse"
"drama","ablest"
"dramatic","ablet"
"draw","ablewhackets"
"drawing","ably"
"dress","ablings"
"drill","ablins"
"drink","ablock"
"drive","abloom"
"dry","ablow"
"dude","ABLS"
"dudzira","ablude"
"dudziro","abluent"
"dumbu","abluents"
"dump","ablush"
"dunhu","ablute"
"dutu","abluted"
"dynamic","ablution"
"dynamics","ablutionary"
"dzidza","ablutions"
"dzidzisa","abluvion"
"dzidziso","ABM"
"dzidzo","abmho"
"dzinga","abmhos"
"dzinopisa","abmodality"
"dziva","abmodalities"
"dzokorora","abn"
"dzorera","Abnaki"
"early","Abnakis"
"ease","abnegate"
"echo","abnegated"
"economic","abnegates"
"economics","abnegating"
"economist","abnegation"
"ecosystem","abnegations"
"edit","abnegative"
"edition","abnegator"
"effect","abnegators"
"ego","Abner"
"eh","abnerval"
"Ehe","abnet"
"elegant","abneural"
"element","abnormal"
"elevator","abnormalcy"
"elite","abnormalcies"
"email","abnormalise"
"e-mail","abnormalised"
"embassy","abnormalising"
"emergency","abnormalism"
"emission","abnormalist"
"empire","abnormality"
"enable","abnormalities"
"enact","abnormalize"
"end","abnormalized"
"enda","abnormalizing"
"enderera","abnormally"
"endorse","abnormalness"
"enforcement","abnormals"
"engage","abnormity"
"engineering","abnormities"
"enjoy","abnormous"
"enterprise","abnumerable"
"entitle","Abo"
"entrepreneur","aboard"
"envelope","aboardage"
"enzanisa","Abobra"
"enzanisira","abococket"
"episode","abodah"
"equation","abode"
"equip","aboded"
"equity","abodement"
"essence","abodes"
"estate","abode's"
"estimate","abody"
"et","aboding"
"ethnic","abogado"
"european","abogados"
"evaluate","abohm"
"evaluation","abohms"
"ever","aboideau"
"evolution","aboideaus"
"evolve","aboideaux"
"exchange","aboil"
"excite","aboiteau"
"exclusive","aboiteaus"
"excuse","aboiteaux"
"execute","abolete"
"executive","abolish"
"experiment","abolishable"
"experimental","abolished"
"exploit","abolisher"
"expose","abolishers"
"express","abolishes"
"extended","abolishing"
"extension","abolishment"
"extent","abolishments"
"external","abolishment's"
"extract","abolition"
"face","abolitionary"
"facilitate","abolitionise"
"factor","abolitionised"
"fade","abolitionising"
"fair","abolitionism"
"fakaroti","abolitionist"
"fake","abolitionists"
"famba","abolitionize"
"fambisa","abolitionized"
"familiar","abolitionizing"
"fan","abolitions"
"fancy","abolla"
"fantastic","abollae"
"fantasy","aboma"
"farm","abomas"
"fashion","abomasa"
"fast","abomasal"
"faster","abomasi"
"fate","abomasum"
"favorite","abomasus"
"favour","abomasusi"
"feature","A-bomb"
"federal","abominability"
"feed","abominable"
"fekitari","abominableness"
"fema","abominably"
"fenzi","abominate"
"ferefeta","abominated"
"fiber","abominates"
"fiction","abominating"
"file","abomination"
"fill","abominations"
"film","abominator"
"find","abominators"
"finish","abomine"
"firm","abondance"
"fiscal","Abongo"
"fit","abonne"
"fixed","abonnement"
"flash","aboon"
"flat","aborad"
"flavour","aboral"
"fleet","aborally"
"flexibility","abord"
"flexible","Aboriginal"
"flip","aboriginality"
"float","aboriginally"
"fly","aboriginals"
"focus","aboriginary"
"fodya","Aborigine"
"foni","aborigines"
"footage","aborigine's"
"foreign","Abor-miri"
"fork","Aborn"
"form","aborning"
"formal","a-borning"
"format","aborsement"
"formula","aborsive"
"foromani","abort"
"forum","aborted"
"fossil","aborter"
"foster","aborters"
"foundation","aborticide"
"framework","abortient"
"franchise","abortifacient"
"freak","abortin"
"freeze","aborting"
"frequency","abortion"
"fresh","abortional"
"freshman","abortionist"
"fuck","abortionists"
"fucking","abortions"
"functional","abortion's"
"fund","abortive"
"fundamental","abortively"
"funeral","abortiveness"
"funga","abortogenic"
"fungidzira","aborts"
"fungidziro","abortus"
"furemu","abortuses"
"furniture","abos"
"gadza","abote"
"gadzira","Abott"
"Gadzira","abouchement"
"gadzirira","aboudikro"
"gadzirisa","abought"
"galaxy","Aboukir"
"gallery","aboulia"
"gallon","aboulias"
"gamuchira","aboulic"
"gandanga","abound"
"gap","abounded"
"garaji","abounder"
"garandi","abounding"
"garden","aboundingly"
"garlic","abounds"
"gasi","Abourezk"
"gear","about"
"gedhi","about-face"
"gehena","about-faced"
"gene","about-facing"
"general","abouts"
"generation","about-ship"
"genetic","about-shipped"
"genre","about-shipping"
"gentleman","about-sledge"
"gesture","about-turn"
"get","above"
"girazi","aboveboard"
"giredhi","above-board"
"gireyi","above-cited"
"girinhi","abovedeck"
"girosari","above-found"
"girovhosi","above-given"
"gitare","aboveground"
"give","abovementioned"
"global","above-mentioned"
"globe","above-named"
"gobvu","aboveproof"
"goddamn","above-quoted"
"godo","above-reported"
"goho","aboves"
"gokora","abovesaid"
"gomba","above-said"
"gomera","abovestairs"
"gomo","above-water"
"gondo","above-written"
"gonhi","abow"
"gop","abox"
"gore","Abp"
"goridhe","ABPC"
"gorofu","Abqaiq"
"gorosi","abr"
"gosh","abr."
"govera","Abra"
"govern","abracadabra"
"graduate","abrachia"
"gram","abrachias"
"grand","abradable"
"grant","abradant"
"graph","abradants"
"graphic","abrade"
"great","abraded"
"grid","abrader"
"gross","abraders"
"guard","abrades"
"guardian","abrading"
"guess","Abraham"
"guide","Abrahamic"
"guideline","Abrahamidae"
"gulf","Abrahamite"
"gumbeze","Abrahamitic"
"gumbo","Abraham-man"
"gumi","Abrahams"
"Gumiguru","Abrahamsen"
"gungwa","Abrahan"
"Gunyana","abray"
"gut","abraid"
"guta","Abram"
"gutsa","Abramis"
"gutsikana","Abramo"
"guva","Abrams"
"gwenzi","Abramson"
"Gweta","Abran"
"gym","abranchial"
"ha","abranchialism"
"habitat","abranchian"
"hafu","Abranchiata"
"halloween","abranchiate"
"hama","abranchious"
"hameno","abrasax"
"hana","abrase"
"hang","abrased"
"hanya","abraser"
"hanyanisi","abrash"
"hapana","abrasing"
"harbor","abrasiometer"
"hardware","abrasion"
"harsh","abrasions"
"hasha","abrasion's"
"hat","abrasive"
"have","abrasively"
"hazvigoneki","abrasiveness"
"hazvo","abrasivenesses"
"heavy","abrasives"
"heck","abrastol"
"help","abraum"
"hembe","abraxas"
"her","abrazite"
"herb","abrazitic"
"here","abrazo"
"hero","abrazos"
"hesitate","abreact"
"hey","abreacted"
"hide","abreacting"
"high","abreaction"
"highlight","abreactions"
"highway","abreacts"
"hint","abreast"
"hip","abreed"
"hire","abrege"
"hispanic","abreid"
"hit","abrenounce"
"hmm","abrenunciate"
"hockey","abrenunciation"
"hofisi","abreption"
"Hofisi","abret"
"hofori","abreuvoir"
"holiday","abri"
"hombe","abrico"
"hondo","abricock"
"hongu","abricot"
"hook","abridgable"
"hope","abridge"
"Horaiti","abridgeable"
"horizon","abridged"
"hormone","abridgedly"
"horo","abridgement"
"horror","abridgements"
"host","abridger"
"hotel","abridgers"
"housing","abridges"
"hove","abridging"
"hug","abridgment"
"hugandanga","abridgments"
"huh","abrim"
"huku","abrin"
"hukuru","abrine"
"huma","abris"
"hunde","abristle"
"hunhu","abroach"
"huni","abroad"
"hunt","Abrocoma"
"hunyanzvi","abrocome"
"huori","abrogable"
"hupenyu","abrogate"
"hupfumi","abrogated"
"hure","abrogates"
"hurema","abrogating"
"huro","abrogation"
"hurukuro","abrogations"
"hurumende","abrogative"
"huruva","abrogator"
"husiku","abrogators"
"hutsinye","Abroma"
"hwai","Abroms"
"hwaro","Abronia"
"hwindo","abrood"
"hypothesis","abrook"
"i","abrosia"
"ibva","abrosias"
"ibvi","abrotanum"
"ibwe","abrotin"
"ice","abrotine"
"ichangopfuura","abrupt"
"icon","abruptedly"
"ideal","abrupter"
"identification","abruptest"
"identity","abruptio"
"ideological","abruption"
"ideology","abruptiones"
"idiot","abruptly"
"ignore","abruptness"
"ikoko","Abrus"
"ikozvino","Abruzzi"
"illusion","ABS"
"imagination","abs-"
"imagine","Absa"
"imba","Absalom"
"imbwa","absampere"
"immigrant","Absaraka"
"immigration","Absaroka"
"immune","Absarokee"
"impact","absarokite"
"import","ABSBH"
"impress","abscam"
"ina","abscess"
"incentive","abscessed"
"inch","abscesses"
"incorporate","abscessing"
"incredible","abscession"
"index","abscessroot"
"indian","abscind"
"indigenous","abscise"
"induce","abscised"
"industrial","abscises"
"industry","abscisin"
"inflation","abscising"
"info","abscisins"
"infrastructure","abscision"
"ingredient","absciss"
"ingwe","abscissa"
"ini","abscissae"
"inishuwarenzi","abscissas"
"injini","abscissa's"
"injiniya","abscisse"
"innovation","abscissin"
"innovative","abscission"
"inofadza","abscissions"
"inokosha","absconce"
"inokwanisika","abscond"
"inopisa","absconded"
"inoshanda","abscondedly"
"inotevera","abscondence"
"input","absconder"
"inspector","absconders"
"install","absconding"
"Institute","absconds"
"institution","absconsa"
"instruction","abscoulomb"
"integrate","abscound"
"intelligent","Absecon"
"intense","absee"
"intensity","absey"
"interact","abseil"
"interface","abseiled"
"international","abseiling"
"internet","abseils"
"interval","absence"
"intimate","absences"
"introduce","absence's"
"invade","absent"
"inventory","absentation"
"invest","absented"
"investment","absentee"
"investor","absenteeism"
"inzwa","absentees"
"inzwi","absentee's"
"ipad","absenteeship"
"iphone","absenter"
"Iranian","absenters"
"iraqi","absentia"
"iripo","absenting"
"iron","absently"
"irony","absentment"
"ishe","absentminded"
"isolate","absent-minded"
"israeli","absentmindedly"
"isu","absent-mindedly"
"it","absentmindedness"
"ita","absent-mindedness"
"iti","absentmindednesses"
"itsva","absentness"
"ivhu","absents"
"ivo","absfarad"
"iwe","abshenry"
"iye","Abshier"
"izvi","Absi"
"izvo","absinth"
"izwi","absinthe"
"jar","absinthes"
"jasi","absinthial"
"jazz","absinthian"
"jeans","absinthiate"
"jecha","absinthiated"
"jekesa","absinthiating"
"jeri","absinthic"
"jet","absinthiin"
"jira","absinthin"
"join","absinthine"
"joint","absinthism"
"joke","absinthismic"
"junior","absinthium"
"juror","absinthol"
"jury","absinthole"
"just","absinths"
"justify","Absyrtus"
"kabhoni","absis"
"kadhi","absist"
"kakawanda","absistos"
"kambani","absit"
"kambasi","absmho"
"kamera","absohm"
"kamwe","absoil"
"kana","absolent"
"kanda","Absolute"
"kanganwa","absolutely"
"kanzura","absoluteness"
"kanzuru","absoluter"
"kapeti","absolutes"
"kare","absolutest"
"kashoma","absolution"
"kasino","absolutions"
"katorike","absolutism"
"katsi","absolutist"
"kaviri","absolutista"
"kazhinji","absolutistic"
"keji","absolutistically"
"kenduru","absolutists"
"kenza","absolutive"
"kero","absolutization"
"key","absolutize"
"keyboard","absolutory"
"kicheni","absolvable"
"kick","absolvatory"
"kid","absolve"
"kinda","absolved"
"kiriniki","absolvent"
"Kisimusi","absolver"
"kiss","absolvers"
"kit","absolves"
"kliniki","absolving"
"knock","absolvitor"
"kofi","absolvitory"
"koka","absonant"
"koloni","absonous"
"komberedza","absorb"
"kombiyuta","absorbability"
"komishina","absorbable"
"komiti","absorbance"
"kona","absorbancy"
"kondinendi","absorbant"
"kongiri","absorbed"
"kontrakta","absorbedly"
"konzati","absorbedness"
"kopi","absorbefacient"
"kora","absorbency"
"korona","absorbencies"
"kristaro","absorbent"
"ku","absorbents"
"kuba","absorber"
"kubasa","absorbers"
"kubata","absorbing"
"kubatana","absorbingly"
"kubatanidzwa","absorbition"
"kubatsirwa","absorbs"
"kubereka","absorbtion"
"kuberekwa","absorpt"
"kubhadhara","absorptance"
"kubhomba","absorptiometer"
"kubhuroka","absorptiometric"
"kubika","absorption"
"kubuda","absorptional"
"kubudirira","absorptions"
"kuburikidza","absorption's"
"kuburitsa","absorptive"
"kubva","absorptively"
"kubvira","absorptiveness"
"kubvisa","absorptivity"
"kubviswa","absquatulate"
"Kubvumbi","absquatulation"
"kubvumirana","abstain"
"kubvumirwa","abstained"
"kubvunza","abstainer"
"kubvunzurudza","abstainers"
"kuchema","abstaining"
"kuchengetedza","abstainment"
"kuchengetedzwa","abstains"
"kuchengeteka","abstemious"
"kuchinja","abstemiously"
"kuda","abstemiousness"
"kudada","abstention"
"kudai","abstentionism"
"kudarika","abstentionist"
"kudenga","abstentions"
"kuderedza","abstentious"
"kudurura","absterge"
"kudya","absterged"
"kudyidzana","abstergent"
"kudzidza","absterges"
"kudzidzisa","absterging"
"kudzika","absterse"
"kudzikama","abstersion"
"kudzikira","abstersive"
"kudzivirira","abstersiveness"
"kudziya","abstertion"
"kuedza","abstinence"
"kuenzana","abstinences"
"kuenzanisa","abstinency"
"kufa","abstinent"
"kufamba","abstinential"
"kufanana","abstinently"
"kufanotaura","abstort"
"kufara","abstr"
"kufarira","abstract"
