"Lao","English"
"ການສົ່ງເສີມ","abastard"
"ການສົນທະນາ","abastardize"
"ການສັງເກດການ","abastral"
"ການສໍ້ໂກງ","abatable"
"ການສໍາພາດ","abatage"
"ການສໍາຫຼວດ","Abate"
"ການຊ່ວຍເຫຼືອ","abated"
"ການຊື້ຂາຍ","abatement"
"ການຍອມຮັບ","abatements"
"ການຍົກຍ້ອງ","abater"
"ການດູແລ","abaters"
"ການດຳເນີນຄະດີ","abates"
"ການດໍາເນີນຄະດີ","abatic"
"ການດໍາເນີນງານ","abating"
"ການຕ້ອນຮັບ","abatis"
"ການຕະຫຼາດ","abatised"
"ການຕາຍ","abatises"
"ການຕິດຕັ້ງ","abatjour"
"ການຕີຄວາມໝາຍ","abatjours"
"ການຕັ້ງຄ່າ","abaton"
"ການຕັ້ງຖິ່ນຖານ","abator"
"ການຕັດສິນໂທດ","abators"
"ການຕັດສິນໃຈ","ABATS"
"ການຕໍ່ສູ້","abattage"
"ການຕໍ່ຕ້ານ","abattis"
"ການຖ່າຍຮູບ","abattised"
"ການຖືພາ","abattises"
"ການທ່ອງທ່ຽວ","abattoir"
"ການທົດສອບ","abattoirs"
"ການທົດລອງ","abattu"
"ການທົດແທນ","abattue"
"ການທໍາລາຍ","Abatua"
"ການນັດພົບ","abature"
"ການນໍາສະເຫນີ","abaue"
"ການບາດເຈັບ","abave"
"ການບິນ","abaxial"
"ການບຸກລຸກ","abaxile"
"ການບັງຄັບໃຊ້","abaze"
"ການບັນຊີ","abb"
"ການບັນທຶກ","Abba"
"ການບັນເທົາທຸກ","abbacy"
"ການບໍລິການ","abbacies"
"ການບໍລິຈາກ","abbacomes"
"ການບໍລິຫານ","Abbadide"
"ການບໍລິໂພກ","Abbai"
"ການປ່ອຍອາຍພິດ","abbaye"
"ການປ່ຽນແປງ","abbandono"
"ການປ່ຽນໃຈເຫລື້ອມໃສ","abbas"
"ການປ້ອງກັນ","abbasi"
"ການປະກອບ","Abbasid"
"ການປະກອບສ່ວນ","abbassi"
"ການປະກົດຕົວ","Abbassid"
"ການປະສົມປະສານ","Abbasside"
"ການປະຕິບັດ","Abbate"
"ການປະຕິບັດຕາມ","abbatial"
"ການປະຕິຮູບ","abbatical"
"ການປະຕິເສດ","abbatie"
"ການປະທ້ວງ","Abbe"
"ການປະພຶດ","Abbey"
"ການປິ່ນປົວ","abbeys"
"ການປຸງແຕ່ງ","abbey's"
"ການປູກພືດ","abbeystead"
"ການປົກຄອງ","abbeystede"
"ການປົກປ້ອງ","abbes"
"ການປຽບທຽບ","abbess"
"ການປັບຕົວ","abbesses"
"ການປັບປຸງ","abbest"
"ການຜ່າຕັດ","Abbevilean"
"ການຜະລິດ","Abbeville"
"ການຝຶກອົບຮົມ","Abbevillian"
"ການພິຈາລະນາ","Abbi"
"ການພິມເຜີຍແຜ່","Abby"
"ການພັດທະນາ","Abbie"
"ການຟື້ນຕົວ","Abbye"
"ການມອບໝາຍ","Abbyville"
"ການມີສ່ວນພົວພັນ","abboccato"
"ການມີສ່ວນຮ່ວມ","abbogada"
"ການຢ່າຮ້າງ","Abbot"
"ການລ່ວງລະເມີດ","abbotcy"
"ການລ່າສັດ","abbotcies"
"ການລະບຸຕົວຕົນ","abbotnullius"
"ການລະເບີດ","abbotric"
"ການລະເມີດ","abbots"
"ການລິເລີ່ມ","abbot's"
"ການລົງຄະແນນສຽງ","Abbotsen"
"ການລົງທະບຽນ","Abbotsford"
"ການລົງທຶນ","abbotship"
"ການລົງໂທດ","abbotships"
"ການລັກ","Abbotson"
"ການວາງລະເບີດ","Abbotsun"
"ການວາງແຜນ","Abbott"
"ການວິນິດໄສ","Abbottson"
"ການວິພາກວິຈານ","Abbottstown"
"ການວິເຄາະ","Abboud"
"ການຫວ່າງງານ","abbozzo"
"ການຫາປາ","ABBR"
"ການຫຼຸດລົງ","abbrev"
"ການຫັນປ່ຽນ","abbreviatable"
"ການອ່ານ","abbreviate"
"ການອອກເດີນທາງ","abbreviated"
"ການອະນຸຍາດ","abbreviately"
"ການອະນຸມັດ","abbreviates"
"ການອະນຸລັກ","abbreviating"
"ການຮ່ວມມື","abbreviation"
"ການຮູ້ຫນັງສື","abbreviations"
"ການຮຽນຮູ້","abbreviator"
"ການຮັບຮອງເອົາ","abbreviatory"
"ການຮັບຮູ້","abbreviators"
"ການາດາ","abbreviature"
"ການເກັບກໍາ","abbroachment"
"ການເກັບຮັກສາ","ABC"
"ການເຂົ້າຮ່ວມ","abcess"
"ການເຂົ້າຮຽນ","abcissa"
"ການເຂົ້າເຖິງ","abcoulomb"
"ການເຄື່ອນຍ້າຍ","ABCs"
"ການເຄື່ອນໄຫວ","abd"
"ການເງິນ","abdal"
"ການເຈລະຈາ","abdali"
"ການເສຍສະລະ","abdaria"
"ການເສຍຊີວິດ","abdat"
"ການເຊື່ອມຕໍ່","Abdel"
"ການເດີນທາງ","Abd-el-Kadir"
"ການເປີດເຜີຍ","Abd-el-Krim"
"ການເປັນຂ້າທາດ","Abdella"
"ການເປັນຕົວແທນ","Abderhalden"
"ການເຜົາໄຫມ້","Abderian"
"ການເຝົ້າລະວັງ","Abderite"
"ການເມືອງ","Abderus"
"ການເລືອກຕັ້ງ","abdest"
"ການເລືອກຕັ້ງຄືນໃໝ່","Abdias"
"ການເອົາລູກອອກ","abdicable"
"ການແກ້ໄຂ","abdicant"
"ການແຂ່ງຂັນ","abdicate"
"ການແຊກແຊງ","abdicated"
"ການແຕ່ງງານ","abdicates"
"ການແຕ່ງຕັ້ງ","abdicating"
"ການແປ","abdication"
"ການໂຄສະນາ","abdications"
"ການໂຄສະນາເຜີຍແຜ່","abdicative"
"ການໂຈມຕີ","abdicator"
"ການໂຍກຍ້າຍ","Abdiel"
"ການໂດຍສານ","abditive"
"ການໂຕ້ຕອບ","abditory"
"ການໂຕ້ຖຽງ","abdom"
"ການໂຕ້ວາທີ","abdomen"
"ການໄດ້ຍິນ","abdomens"
"ການໄດ້ມາ","abdomen's"
"ການໃຊ້ຈ່າຍ","abdomina"
"ການໃຫ້ຄໍາປຶກສາ","abdominal"
"ກາລອນ","Abdominales"
"ກາລັກຊີ","abdominalia"
"ກາໂຕລິກ","abdominalian"
"ກິດ​ຈະ​ກໍາ​","abdominally"
"ກິນ","abdominals"
"ກິນເຂົ້າ","abdominoanterior"
"ກິນເບັ້ຍບໍານານ","abdominocardiac"
"ກິລາ","abdominocentesis"
"ກີຕ້າ","abdominocystic"
"ກືນ","abdominogenital"
"ກຸ່ມ","abdominohysterectomy"
"ກູ້​ໄພ","abdominohysterotomy"
"ກົ້ນ","abdominoposterior"
"ກົງກັນ","abdominoscope"
"ກົງກັນຂ້າມ","abdominoscopy"
"ກົງໄປກົງມາ","abdominothoracic"
"ກົດ","abdominous"
"ກົດບັດ","abdomino-uterotomy"
"ກົດລະບຽບ","abdominovaginal"
"ກົດໝາຍ","abdominovesical"
"ກົນ​ໄກ","Abdon"
"ກົນຈັກ","Abdu"
"ກົບ","abduce"
"ກຽດ","abduced"
"ກຽດສັກສີ","abducens"
"ກຳນົດເວລາ","abducent"
"ກຳນົດເອງ","abducentes"
"ກຳປັ້ນ","abduces"
"ກຳມະຈອນ","abducing"
"ກຳລັງໃຈ","abduct"
"ກຳໄລ","abducted"
"ກັດ","abducting"
"ກັນຊາ","abduction"
"ກັນຍາ","abductions"
"ກັບ","abduction's"
"ກັບຄືນ","abductor"
"ກັບດັກ","abductores"
"ກໍ່ສ້າງ","abductors"
"ກໍ່ສ້າງຄືນໃໝ່","abductor's"
"ກໍລະກົດ","abducts"
"ກໍລະນີ","Abdul"
"ກໍາຈັດ","Abdul-Aziz"
"ກໍານົດ","Abdul-baha"
"ກໍາມະການ","Abdulla"
"ຂ່າວ","Abe"
"ຂ່າວລື","a-be"
"ຂ້ອຍ","abeam"
"ຂ້ອນຂ້າງ","abear"
"ຂ້າ","abearance"
"ຂ້າ​ຕົວ​ຕາຍ","Abebi"
"ຂ້າງ","abecedaire"
"ຂ້າງລຸ່ມນີ້","abecedary"
"ຂ້າງເທິງ","abecedaria"
"ຂ້າມ","abecedarian"
"ຂວດ","abecedarians"
"ຂອງ","abecedaries"
"ຂອງຂ້ອຍ","abecedarium"
"ຂອງຂວັນ","abecedarius"
"ຂອງຕົນເອງ","abed"
"ຂອງນາງ","abede"
"ຂອງພວກເຮົາ","abedge"
"ຂອງມັນ","Abednego"
"ຂອງຫຼິ້ນ","abegge"
"ຂອງເຂົາເຈົ້າ","Abey"
"ຂອງເຈົ້າ","abeyance"
"ຂອງແທ້","abeyances"
"ຂອບ","abeyancy"
"ຂອບຟ້າ","abeyancies"
"ຂອບເຂດ","abeyant"
"ຂອບໃຈ","abeigh"
"ຂະ​ແໜງ","ABEL"
"ຂະບວນການ","Abelard"
"ຂະບວນແຫ່","abele"
"ຂະຫຍາຍ","abeles"
"ຂະຫນາດກາງ","Abelia"
"ຂະຫນາດນ້ອຍ","Abelian"
"ຂະໜາດ","Abelicea"
"ຂາ","Abelite"
"ຂາຍ","Abell"
"ຂາຍ​ຍ່ອຍ","Abelmoschus"
"ຂາຍເຄື່ອງແຫ້ງ","abelmosk"
"ຂາດ","abelmosks"
"ຂາດແຄນ","abelmusk"
"ຂີ່","Abelonian"
"ຂີ້ຄ້ານ","Abelson"
"ຂີ້ຕົມ","abeltree"
"ຂີ້ຕົວະ","Abencerrages"
"ຂີ້ຝຸ່ນ","abend"
"ຂີ້ຮ້າຍ","abends"
"ຂີ້ເທົ່າ","Abenezra"
"ຂີ້ເຫຍື້ອ","abenteric"
"ຂຶ້ນ","Abeokuta"
"ຂຶ້ນກັບ","abepithymia"
"ຂຸດ","ABEPP"
"ຂຸມ","Abercromby"
"ຂູດຮີດ","Abercrombie"
"ຂົ່ມຂູ່","Aberdare"
"ຂົມ","aberdavine"
"ຂົວ","Aberdeen"
"ຂຽນ","Aberdeenshire"
"ຂັ້ນ​ຕອນ​","aberdevine"
"ຂັ້ນ​ຕອນ​ການ​","Aberdonian"
"ຂັ້ນສູງ","aberduvine"
"ຂັ້ນໄດ","Aberfan"
"ຂັດຂ້ອງ","Aberglaube"
"ຂັດຂວາງ","Aberia"
"ຂັບ","Aberystwyth"
"ຂັບລົດ","Abernant"
"ຂໍ​ໂທດ","Abernathy"
"ຂໍ້","abernethy"
"ຂໍ້​ຄວາມ","Abernon"
"ຂໍ້​ຍົກ​ເວັ້ນ","aberr"
"ຂໍ້ຂັດແຍ່ງ","aberrance"
"ຂໍ້ຄວາມ","aberrancy"
"ຂໍ້ຄຶດ","aberrancies"
"ຂໍ້ຈຳກັດ","aberrant"
"ຂໍ້ສະເໜີ","aberrantly"
"ຂໍ້ສັງເກດ","aberrants"
"ຂໍ້ຕີນ","aberrate"
"ຂໍ້ຕົກລົງ","aberrated"
"ຂໍ້ບົກພ່ອງ","aberrating"
"ຂໍ້ມື","aberration"
"ຂໍ້ມູນ","aberrational"
"ຂໍ້ແກ້ຕົວ","aberrations"
"ຂໍໂທດ","aberrative"
"ຄ່ອຍໆ","aberrator"
"ຄ່າ","aberrometer"
"ຄ່າຈ້າງ","aberroscope"
"ຄ່າຊົດເຊີຍ","Abert"
"ຄ່າທຳນຽມ","aberuncate"
"ຄ່ານິຍົມ","aberuncator"
"ຄ່າບໍລິການ","abesse"
"ຄ່າເລີ່ມຕົ້ນ","abessive"
"ຄ່າໃຊ້ຈ່າຍ","abet"
"ຄ່ໍາ","abetment"
"ຄ້ອຍ","abetments"
"ຄ້ອນຕີ","abets"
"ຄ້າຍ","abettal"
"ຄ້າຍຄື","abettals"
"ຄ້າຍຄືກັນ","abetted"
"ຄຣິສຕຽນ","abetter"
"ຄຣິສມາດ","abetters"
"ຄລາສສິກ","abetting"
"ຄລາສິກ","abettor"
"ຄລິກ","abettors"
"ຄລິບ","Abeu"
"ຄລີນິກ","abevacuation"
"ຄວນ","abfarad"
"ຄວບຄຸມ","abfarads"
"ຄວາມ​ສໍາ​ເລັດ","ABFM"
"ຄວາມ​ຕື່​ນ​ຕົກ​ໃຈ","Abgatha"
"ຄວາມ​ທ່ຽງ​ທໍາ","ABHC"
"ຄວາມ​ຫນາ​ແຫນ້ນ","abhenry"
"ຄວາມ​ຫມາຍ","abhenries"
"ຄວາມ​ຮຸນ​ແຮງ","abhenrys"
"ຄວາມກ້າຫານ","abhinaya"
"ຄວາມກະຕືລືລົ້ນ","abhiseka"
"ຄວາມກົດດັນ","abhominable"
"ຄວາມກຽດຊັງ","abhor"
"ຄວາມກັງວົນ","abhorred"
"ຄວາມຄ້າຍຄືກັນ","abhorrence"
"ຄວາມຄາດຫວັງ","abhorrences"
"ຄວາມຄິດ","abhorrency"
"ຄວາມຄິດສ້າງສັນ","abhorrent"
"ຄວາມຄິດເຫັນ","abhorrently"
"ຄວາມຄືບຫນ້າ","abhorrer"
"ຄວາມງາມ","abhorrers"
"ຄວາມງຽບ","abhorrible"
"ຄວາມຈິງ","abhorring"
"ຄວາມຈໍາເປັນ","abhors"
"ຄວາມສ່ຽງ","Abhorson"
"ຄວາມສະດວກສະບາຍ","ABI"
"ຄວາມສະເໝີພາບ","aby"
"ຄວາມສາມາດ","Abia"
"ຄວາມສຸກ","Abiathar"
"ຄວາມສູງ","Abib"
"ຄວາມສົດໃສດ້ານ","abichite"
"ຄວາມສົນໃຈ","abidal"
"ຄວາມສຳຄັນ","abidance"
"ຄວາມສຳພັນ","abidances"
"ຄວາມສຳເລັດ","abidden"
"ຄວາມສັດຊື່","abide"
"ຄວາມສັບສົນ","abided"
"ຄວາມສໍາຄັນ","abider"
"ຄວາມສໍາພັນ","abiders"
"ຄວາມຊື່ສັດ","abides"
"ຄວາມຊົງຈໍາ","abidi"
"ຄວາມຊໍານານ","abiding"
"ຄວາມຍາວ","abidingly"
"ຄວາມຍືດຫຍຸ່ນ","abidingness"
"ຄວາມຍຸດຕິທໍາ","Abidjan"
"ຄວາມດີ","Abydos"
"ຄວາມດຶ່ງດູດ","Abie"
"ຄວາມຕ້ອງການ","abye"
"ຄວາມຕື່ນເຕັ້ນ","abied"
"ຄວາມຕັ້ງໃຈ","abyed"
"ຄວາມຖີ່","abiegh"
"ຄວາມຖືກຕ້ອງ","abience"
"ຄວາມທະເຍີທະຍານ","abient"
"ຄວາມທຸກຍາກ","Abies"
"ຄວາມທຸກທໍລະມານ","abyes"
"ຄວາມນິຍົມ","abietate"
"ຄວາມບໍ່ຮູ້","abietene"
"ຄວາມບໍ່ເປັນລະບຽບ","abietic"
"ຄວາມບໍ່ແນ່ນອນ","abietin"
"ຄວາມປອດໄພ","Abietineae"
"ຄວາມປະທັບໃຈ","abietineous"
"ຄວາມປາຖະຫນາ","abietinic"
"ຄວາມຜິດ","abietite"
"ຄວາມຜິດພາດ","Abiezer"
"ຄວາມຜິດຫວັງ","Abigael"
"ຄວາມຜູກພັນ","Abigail"
"ຄວາມພ້ອມ","abigails"
"ຄວາມພະຍາຍາມ","abigailship"
"ຄວາມພາກພູມໃຈ","Abigale"
"ຄວາມພິການ","abigeat"
"ຄວາມພໍໃຈ","abigei"
"ຄວາມມືດ","abigeus"
"ຄວາມມັກ","Abihu"
"ຄວາມຢ້ານກົວ","abying"
"ຄວາມຢາກຮູ້ຢາກເຫັນ","Abijah"
"ຄວາມຢູ່ລອດ","Abyla"
"ຄວາມລະອຽດ","abilao"
"ຄວາມລຶກລັບ","Abilene"
"ຄວາມລົ້ມເຫຼວ","abiliment"
"ຄວາມລັບ","Abilyne"
"ຄວາມວຸ່ນວາຍ","abilitable"
"ຄວາມຫຍຸ້ງຍາກ","ability"
"ຄວາມຫນ້າເຊື່ອຖື","abilities"
"ຄວາມຫມັ້ນໃຈ","ability's"
"ຄວາມຫວັງ","abilla"
"ຄວາມຫຼາກຫຼາຍ","abilo"
"ຄວາມໝາຍ","abime"
"ຄວາມອ່ອນໄຫວ","Abimelech"
"ຄວາມອາດສາມາດ","Abineri"
"ຄວາມອຶດຫິວ","Abingdon"
"ຄວາມອຸກອັ່ງ","Abinger"
"ຄວາມອົດທົນ","Abington"
"ຄວາມອົບອຸ່ນ","Abinoam"
"ຄວາມອັບອາຍ","Abinoem"
"ຄວາມຮ້ອນ","abintestate"
"ຄວາມຮູ້","abiogeneses"
"ຄວາມຮູ້ສຶກ","abiogenesis"
"ຄວາມຮັ່ງມີ","abiogenesist"
"ຄວາມຮັບຜິດຊອບ","abiogenetic"
"ຄວາມຮັບຮູ້","abiogenetical"
"ຄວາມເຂົ້າໃຈ","abiogenetically"
"ຄວາມເຂັ້ມຂຸ້ນ","abiogeny"
"ຄວາມເຂັ້ມແຂງ","abiogenist"
"ຄວາມເສຍຫາຍ","abiogenous"
"ຄວາມເຊື່ອ","abiology"
"ຄວາມເຕັມໃຈ","abiological"
"ຄວາມເປັນຈິງ","abiologically"
"ຄວາມເປັນສ່ວນຕົວ","abioses"
"ຄວາມເປັນຜູ້ນໍາ","abiosis"
"ຄວາມເປັນຫ່ວງ","abiotic"
"ຄວາມເປັນເຈົ້າຂອງ","abiotical"
"ຄວາມເປັນໄປໄດ້","abiotically"
"ຄວາມເມດຕາ","abiotrophy"
"ຄວາມເລິກ","abiotrophic"
"ຄວາມເຫັນດີເຫັນພ້ອມ","Abipon"
"ຄວາມເຫັນອົກເຫັນໃຈ","Abiquiu"
"ຄວາມແຕກຕ່າງ","abir"
"ຄວາມໂສກເສົ້າ","abirritant"
"ຄວາມໂລແມນຕິກ","abirritate"
"ຄວາມໄວ","abirritated"
"ຄວາມໃຈຮ້າຍ","abirritating"
"ຄວັນຢາສູບ","abirritation"
"ຄອກ","abirritative"
"ຄອນເສີດ","abys"
"ຄອບຄອງ","Abisag"
"ຄອບຄົວ","Abisha"
"ຄອມ​ພິວ​ເຕີ","Abishag"
"ຄອມມິວນິດ","Abisia"
"ຄະດີອາຍາ","abysm"
"ຄະນະກໍາມະ","abysmal"
"ຄະນະກໍາມະການ","abysmally"
"ຄະນະລູກຂຸນ","abysms"
"ຄະນະວິຊາ","Abyss"
"ຄະນິດສາດ","abyssa"
"ຄະແນນ","abyssal"
"ຄາ​ວຽກ","abysses"
"ຄາງ","Abyssinia"
"ຄາງກະໄຕ","Abyssinian"
"ຄາສິໂນ","abyssinians"
"ຄາດ","abyssobenthonic"
"ຄາດການ","abyssolith"
"ຄາດຄະເນ","abyssopelagic"
"ຄາດຕະກອນ","abyss's"
"ຄາດຫວັງ","abyssus"
"ຄາບອຍ","abiston"
"ຄາວຕີ້","abit"
"ຄາໂບໄຮເດດ","Abitibi"
"ຄິດ","Abiu"
"ຄິດໄລ່","abiuret"
"ຄິວ","Abixah"
"ຄີກ","abject"
"ຄີມ","abjectedness"
"ຄື້ນ","abjection"
"ຄືກັນ","abjections"
"ຄືຊິ","abjective"
"ຄືນນີ້","abjectly"
"ຄຸ","abjectness"
"ຄຸ້ນເຄີຍ","abjectnesses"
"ຄຸ້ມຄອງດູແລ","abjoint"
"ຄຸ້ມບ້ານ","abjudge"
"ຄຸກ","abjudged"
"ຄຸກກີ","abjudging"
"ຄຸນ​ສົມ​ບັດ","abjudicate"
"ຄຸນ​ນະ​ສົມ​ບັດ","abjudicated"
"ຄຸນ​ລັກ​ສະ​ນະ","abjudicating"
"ຄຸນງາມຄວາມດີ","abjudication"
"ຄຸນນະພາບ","abjudicator"
"ຄູ່","abjugate"
"ຄູ່ສົມລົດ","abjunct"
"ຄູ່ມື","abjunction"
"ຄູ່ຮ່ວມ","abjunctive"
"ຄູ່ຮ່ວມງານ","abjuration"
"ຄູ່ແຂ່ງ","abjurations"
"ຄູສອນ","abjuratory"
"ຄູຝຶກ","abjure"
"ຄູຝຶກສອນ","abjured"
"ຄົ້ນພົບ","abjurement"
"ຄົ້ນຫາ","abjurer"
"ຄົງຈະບໍ່ເປັນ","abjurers"
"ຄົງທີ່","abjures"
"ຄົງຢູ່","abjuring"
"ຄົນ","abkar"
"ຄົນຂີ້ຄ້ານ","abkari"
"ຄົນຂີ້ຕົວະ","abkary"
"ຄົນຂັບ","Abkhas"
"ຄົນງານ","Abkhasia"
"ຄົນດຽວ","Abkhasian"
"ຄົນດັງ","Abkhaz"
"ຄົນພິການ","Abkhazia"
"ຄົນອັບເດດ:","Abkhazian"
"ຄົນຮັກ","abl"
"ຄົນຮັບໃຊ້","abl."
"ຄົນເຂົ້າເມືອງ","ablach"
"ຄົນເຈັບ","ablactate"
"ຄົນແປກໜ້າ","ablactated"
"ຄົນໂງ່","ablactating"
"ຄົວເຮືອນ","ablactation"
"ຄຽງຂ້າງ","ablaqueate"
"ຄຳຂໍໂທດ","ablare"
"ຄຳສອນ","A-blast"
"ຄຳສັບ","ablastemic"
"ຄຳບັນຍາຍ","ablastin"
"ຄຳຮ້ອງທຸກ","ablastous"
"ຄຳເວົ້າ","ablate"
"ຄຳເຫັນ","ablated"
"ຄຳແນະນຳ","ablates"
"ຄຳໃບ້","ablating"
"ຄັ້ງດຽວ","ablation"
"ຄັງຮູບ","ablations"
"ຄັງເງິນ","ablatitious"
"ຄັດ","ablatival"
"ຄັດຄ້ານ","ablative"
"ຄໍ","ablatively"
"ຄໍາ","ablatives"
"ຄໍາຄຶດຄໍາເຫັນ","ablator"
"ຄໍາສັ່ງ","ablaut"
"ຄໍາຕອບ","ablauts"
"ຄໍາຕັດສິນ","ablaze"
"ຄໍາຖາມ","able"
"ຄໍານິຍາມ","able-bodied"
"ຄໍາຫມັ້ນສັນຍາ","able-bodiedness"
"ຄໍາອະທິບາຍ","ableeze"
"ຄໍາອຸປະມາ","ablegate"
