"Khmer","English"
"ការបាញ់ប្រហារ","abbacomes"
"ការបាត់បង់","Abbadide"
"ការបើក","Abbai"
"ការបើកបរ","abbaye"
"ការបៀតបៀន","abbandono"
"ការបែងចែក","abbas"
"ការបោះឆ្នោត","abbasi"
"ការបោះឆ្នោតឡើងវិញ","Abbasid"
"ការបោះពុម្ពផ្សាយ","abbassi"
"ការប្តេជ្ញាចិត្ត","Abbassid"
"ការប្រកួត","Abbasside"
"ការប្រកួតប្រជែង","Abbate"
"ការប្រគុំតន្ត្រី","abbatial"
"ការប្រឆាំង","abbatical"
"ការប្រជុំ","abbatie"
"ការប្រណាំង","Abbe"
"ការប្រតិបត្តិ","Abbey"
"ការប្រព្រឹត្ត","abbeys"
"ការប្រមូល","abbey's"
"ការប្រមូលផ្តុំ","abbeystead"
"ការប្រយុទ្ធ","abbeystede"
"ការប្រយុទ្ធគ្នា។","abbes"
"ការប្រឡង","abbess"
"ការប្រារព្ធពិធី","abbesses"
"ការប្រឹក្សាយោបល់","abbest"
"ការប្រើប្រាស់","Abbevilean"
"ការប្រៀបធៀប","Abbeville"
"ការប្រែចិត្តជឿ","Abbevillian"
"ការបំបែក","Abbi"
"ការបំផុសគំនិត","Abby"
"ការបំផ្លិចបំផ្លាញ","Abbie"
"ការបំពាន","Abbye"
"ការបំពុល","Abbyville"
"ការបំភាន់","abboccato"
"ការបំភាយ","abbogada"
"ការផលិត","Abbot"
"ការផ្គត់ផ្គង់","abbotcy"
"ការផ្តន្ទាទោស","abbotcies"
"ការផ្តល់","abbotnullius"
"ការផ្តល់ជូន","abbotric"
"ការផ្តោតអារម្មណ៍","abbots"
"ការផ្ទុក","abbot's"
"ការផ្ទុះ","Abbotsen"
"ការផ្លាស់ប្តូរ","Abbotsford"
"ការផ្សព្វផ្សាយ","abbotship"
"ការផ្សាយពាណិជ្ជកម្ម","abbotships"
"ការពង្រីក","Abbotson"
"ការពន្យល់","Abbotsun"
"ការពារ","Abbott"
"ការពិចារណា","Abbottson"
"ការពិត","Abbottstown"
"ការពិនិត្យ","Abboud"
"ការពិពណ៌នា","abbozzo"
"ការពិភាក្សា","ABBR"
"ការពេញចិត្ត","abbrev"
"ការព្យាករ","abbreviatable"
"ការព្យាករណ៍","abbreviate"
"ការព្យាបាល","abbreviated"
"ការព្រមាន","abbreviately"
"ការភ័យខ្លាច","abbreviates"
"ការមកដល់","abbreviating"
"ការមើលឃើញ","abbreviation"
"ការយកចិត្តទុកដាក់","abbreviations"
"ការយល់ឃើញ","abbreviator"
"ការយល់ដឹង","abbreviatory"
"ការយល់ព្រម","abbreviators"
"ការរកឃើញ","abbreviature"
"ការរចនា","abbroachment"
"ការរញ្ជួយដី","ABC"
"ការរស់រានមានជីវិត","abcess"
"ការរិះគន់","abcissa"
"ការរុករក","abcoulomb"
"ការរួមចំណែក","ABCs"
"ការរួមបញ្ចូល","abd"
"ការរួមបញ្ចូលគ្នា","abdal"
"ការរួមភេទ","abdali"
"ការរើសអើង","abdaria"
"ការរើសអើងជាតិសាសន៍","abdat"
"ការរៀន","Abdel"
"ការរៀបចំ","Abd-el-Kadir"
"ការរំពឹងទុក","Abd-el-Krim"
"ការរំលូតកូន","Abdella"
"ការរំលោភ","Abderhalden"
"ការរំលោភបំពាន","Abderian"
"ការលក់","Abderite"
"ការលុកលុយ","Abderus"
"ការលួងលោម","abdest"
"ការលើកទឹកចិត្ត","Abdias"
"ការលើកលែង","abdicable"
"ការលែងលះ","abdicant"
"ការលំបាក","abdicate"
"ការលះបង់","abdicated"
"ការវាយតម្លៃ","abdicates"
"ការវាយប្រហារ","abdicating"
"ការវាស់វែង","abdication"
"ការវិនិច្ឆ័យ","abdications"
"ការវិនិយោគ","abdicative"
"ការវិភាគ","abdicator"
"ការវិវត្តន៍","Abdiel"
"ការវះកាត់","abditive"
"ការសង្កត់ធ្ងន់","abditory"
"ការសង្កត់សំឡេង","abdom"
"ការសង្កេត","abdomen"
"ការសង្គ្រោះ","abdomens"
"ការសង្ស័យ","abdomen's"
"ការសន្ទនា","abdomina"
"ការសន្និដ្ឋាន","abdominal"
"ការសន្មត់","Abdominales"
"ការសមគំនិត","abdominalia"
"ការសម្តែង","abdominalian"
"ការសម្របខ្លួន","abdominally"
"ការសម្របសម្រួល","abdominals"
"ការសម្រេចចិត្ត","abdominoanterior"
"ការសម្លាប់","abdominocardiac"
"ការសរសេរ","abdominocentesis"
"ការសរសេរកម្មវិធី","abdominocystic"
"ការស៊ើបអង្កេត","abdominogenital"
"ការសាកល្បង","abdominohysterectomy"
"ការសាកសួរ","abdominohysterotomy"
"ការសុំទោស","abdominoposterior"
"ការស្តាប់","abdominoscope"
"ការស្ទង់មតិ","abdominoscopy"
"ការស្រមើស្រមៃ","abdominothoracic"
"ការស្លាប់","abdominous"
"ការស្វែងរក","abdomino-uterotomy"
"ការស្អប់","abdominovaginal"
"ការហោះហើរ","abdominovesical"
"ការឡើងកំដៅផែនដី","Abdon"
"ការឯកភាព","Abdu"
"ការអញ្ជើញ","abduce"
"ការអត់ធ្មត់","abduced"
"ការអធិស្ឋាន","abducens"
"ការអនុញ្ញាត","abducent"
"ការអនុលោមតាម","abducentes"
"ការអនុវត្ត","abduces"
"ការអប់រំ","abducing"
"ការអភិរក្ស","abduct"
"ការអភិវឌ្ឍន៍","abducted"
"ការអាណិតអាសូរ","abducting"
"ការអាន","abduction"
"ការ៉េ","abductions"
"ការិយាល័យ","abduction's"
"ការិយាល័យ​ក​ណ្តា​ល","abductor"
"កាលបរិច្ឆេទ","abductores"
"កាលប្បវត្តិ","abductors"
"កាលវិភាគ","abductor's"
"កាលៈទេសៈ","abducts"
"កាស៊ីណូ","Abdul"
"កាសែត","Abdul-Aziz"
"កាហ្វេ","Abdul-baha"
"កាឡាក់ស៊ី","Abdulla"
"កាឡូរី","Abe"
"កាំជ្រួច","a-be"
"កាំបិត","abeam"
"កាំភ្លើង","abear"
"កាំរស្មី","abearance"
"កិច្ចការ","Abebi"
"កិច្ចការ​ផ្ទះ","abecedaire"
"កិច្ចប្រជុំកំពូល","abecedary"
"កិច្ចព្រមព្រៀង","abecedaria"
"កិច្ចសន្យា","abecedarian"
"កិច្ចសហប្រតិបត្តិការ","abecedarians"
"កិត្តិនាម","abecedaries"
"កិត្តិយស","abecedarium"
"កីឡដ្ឋាន","abecedarius"
"កីឡា","abed"
"កីឡាបេស្បល។","abede"
"កីឡាវាយកូនបាល់","abedge"
"កីឡាវាយកូនហ្គោល។","Abednego"
"កុបកម្ម","abegge"
"កុមារភាព","Abey"
"កុម្មុយនិស្ត","abeyance"
"កុលសម្ព័ន្ធ","abeyances"
"កុសល","abeyancy"
"កុហក","abeyancies"
"កុំព្យូទ័រ","abeyant"
"កុំព្យូទ័រយួរដៃ","abeigh"
"កូដ","ABEL"
"កូដកម្ម","Abelard"
"កូន","abele"
"កូនក្រមុំ","abeles"
"កូនចិញ្ចឹម","Abelia"
"កូនប្រុស","Abelian"
"កូនស្រី","Abelicea"
"កូរ","Abelite"
"កូរ៉េ","Abell"
"កូលេស្តេរ៉ុល","Abelmoschus"
"កើត","abelmosk"
"កើតឡើង","abelmosks"
"កើនឡើង","abelmusk"
"កេងប្រវ័ញ្ច","Abelonian"
"កេរដំណែល","Abelson"
"កេរ្តិ៍ឈ្មោះ","abeltree"
"កេះ","Abencerrages"
"កែងជើង","abend"
"កែងដៃ","abends"
"កែប្រែ","Abenezra"
"កែសម្រួល","abenteric"
"កោតសរសើរ","Abeokuta"
"កោស","abepithymia"
"កោះ","ABEPP"
"កៅអី","Abercromby"
"ក្តាប់","Abercrombie"
"ក្តារ","Aberdare"
"ក្តារចុច","aberdavine"
"ក្តីសង្ឃឹម","Aberdeen"
"ក្តៅ","Aberdeenshire"
"ក្នុង","aberdevine"
"ក្នុងចំណោម","Aberdonian"
"ក្នុងនាម","aberduvine"
"ក្នុងពេលដំណាលគ្នា។","Aberfan"
"ក្នុងពេលនេះ","Aberglaube"
"ក្នុងមួយ","Aberia"
"ក្នុងស្រុក","Aberystwyth"
"ក្បត់","Abernant"
"ក្បាល","Abernathy"
"ក្បួន","abernethy"
"ក្បួនដង្ហែ","Abernon"
"ក្មេង","aberr"
"ក្មេងជំទង់","aberrance"
"ក្មេងប្រុស","aberrancy"
"ក្មេងស្រី","aberrancies"
"ក្រចក","aberrant"
"ក្រដាស","aberrantly"
"ក្រណាត់","aberrants"
"ក្របខ័ណ្ឌ","aberrate"
"ក្រពះ","aberrated"
"ក្រមសីលធម៌","aberrating"
"ក្រសួង","aberration"
"ក្រហម","aberrational"
"ក្រឡា","aberrations"
"ក្រឡាចត្រង្គ","aberrative"
"ក្រឡេកមើល","aberrator"
"ក្រាម","aberrometer"
"ក្រាស់","aberroscope"
"ក្រាហ្វ","Abert"
"ក្រាហ្វិក","aberuncate"
"ក្រិក","aberuncator"
"ក្រីក្រ","abesse"
"ក្រុម","abessive"
"ក្រុមតន្រ្តី","abet"
"ក្រុមប្រឹក្សា","abetment"
"ក្រុមហ៊ុន","abetments"
"ក្រុមហ៊ុនដឹកជញ្ជូន","abets"
"ក្រុមហ៊ុនផលិត","abettal"
"ក្រុមហ៊ុនអាកាសចរណ៍","abettals"
"ក្រូចឆ្មា","abetted"
"ក្រែម","abetter"
"ក្រោកឡើង","abetters"
"ក្រោម","abetting"
"ក្រោយមក","abettor"
"ក្រៅ","abettors"
"ក្រៅពី","Abeu"
"ក្លាយជា","abevacuation"
"ក្លាហាន","abfarad"
"ក្លិន","abfarads"
"ក្លឹប","ABFM"
"ក្លែងក្លាយ","Abgatha"
"ក្ស័យធន","ABHC"
"ក្អម","abhenry"
"ក្អែក","abhenries"
"កំដៅ","abhenrys"
"កំណត់","abhinaya"
"កំណត់ត្រា","abhiseka"
"កំណត់ទីតាំង","abhominable"
"កំណត់ហេតុ","abhor"
"កំណត់ហេតុប្រចាំថ្ងៃ","abhorred"
"កំណត់អត្តសញ្ញាណ","abhorrence"
"កំណប់","abhorrences"
"កំណាត់","abhorrency"
"កំណាព្យ","abhorrent"
"កំណើត","abhorrently"
"កំណើន","abhorrer"
"កំណែ","abhorrers"
"កំណែទម្រង់","abhorrible"
"កំប្លែង","abhorring"
"កំពង់ផែ","abhors"
"កំពប់","Abhorson"
"កំពុងបន្ត","ABI"
"កំពុងរត់","aby"
"កំពុងអភិវឌ្ឍ","Abia"
"កំពូល","Abiathar"
"កំរាលព្រំ","Abib"
"កំហឹង","abichite"
"កំហុស","abidal"
"កំឡុងពេល","abidance"
"ក៏មិន","abidances"
"ខ","abidden"
"ខកចិត្ត","abide"
"ខណៈពេលដែល","abided"
"ខាងកើត","abider"
"ខាងក្នុង","abiders"
"ខាងក្រោម","abides"
"ខាងក្រៅ","abidi"
"ខាងជើង","abiding"
"ខាងត្បូង","abidingly"
"ខាងមុខ","abidingness"
"ខាងលិច","Abidjan"
"ខាងលើ","Abydos"
"ខាងលោកិយ","Abie"
"ខាងវិញ្ញាណ","abye"
"ខាំ","abied"
"ខិតខំ","abyed"
"ខឹង","abiegh"
"ខុស","abience"
"ខុសគ្នា","abient"
"ខុសច្បាប់","Abies"
"ខូគី","abyes"
"ខូច","abietate"
"ខូវប៊យ","abietene"
"ខួង","abietic"
"ខួប","abietin"
"ខួរក្បាល","Abietineae"
"ខៀវ","abietineous"
"ខេត្ត","abietinic"
"ខែ","abietite"
"ខែកក្កដា","Abiezer"
"ខែកញ្ញា","Abigael"
"ខែកុម្ភៈ","Abigail"
"ខែតុលា","abigails"
"ខែធ្នូ","abigailship"
"ខែមករា","Abigale"
"ខែមិថុនា","abigeat"
"ខែមីនា","abigei"
"ខែល","abigeus"
"ខែវិច្ឆិកា","Abihu"
"ខោ","abying"
"ខោ​ខូ​វ​ប៊​យ","Abijah"
"ខ្ចី","Abyla"
"ខ្ជិល","abilao"
"ខ្ញុំ","Abilene"
"ខ្ទាស់","abiliment"
"ខ្ទឹម","Abilyne"
"ខ្ទឹមបារាំង","abilitable"
"ខ្ទើយ","ability"
"ខ្ទះ","abilities"
"ខ្នើយ","ability's"
"ខ្ពស់","abilla"
"ខ្មាស់","abilo"
"ខ្មាស់អៀន","abime"
"ខ្មោច","Abimelech"
"ខ្មៅ","Abineri"
"ខ្យល់","Abingdon"
"ខ្យល់ព្យុះ","Abinger"
"ខ្លា","Abington"
"ខ្លាឃ្មុំ","Abinoam"
"ខ្លាច","Abinoem"
"ខ្លាញ់","abintestate"
"ខ្លាំង","abiogeneses"
"ខ្លាំងណាស់","abiogenesis"
"ខ្លី","abiogenesist"
"ខ្លឹមសារ","abiogenetic"
"ខ្លួនខ្ញុំផ្ទាល់","abiogenetical"
"ខ្លួនគាត់","abiogenetically"
"ខ្លួនគេ","abiogeny"
"ខ្លួននាងផ្ទាល់","abiogenist"
"ខ្លួនយើង","abiogenous"
"ខ្លួនវាផ្ទាល់","abiology"
"ខ្លួនឯង","abiological"
"ខ្លះ","abiologically"
"ខ្វះខាត","abioses"
"ខ្សាច់","abiosis"
"ខ្សឹប","abiotic"
"ខ្សែ","abiotical"
"ខ្សែការពារ","abiotically"
"ខ្សែកោង","abiotrophy"
"ខ្សែក្រវាត់","abiotrophic"
"ខ្សែពួរ","Abipon"
"ខ្សែភាពយន្ត","Abiquiu"
"ខ្សែសង្វាក់","abir"
"ខ្សែស្រឡាយ","abirritant"
"ខ្សែអក្សរ","abirritate"
"ខ្សោយ","abirritated"
"គណនា","abirritating"
"គណនី","abirritation"
"គណនេយ្យ","abirritative"
"គណនេយ្យភាព","abys"
"គណិតវិទ្យា","Abisag"
"គណៈកម្មាការ","Abisha"
"គណៈកម្មាធិការ","Abishag"
"គណៈរដ្ឋមន្ត្រី","Abisia"
"គណៈវិនិច្ឆ័យ","abysm"
"គន្លង","abysmal"
"គម្ពីរ","abysmally"
"គម្រប","abysms"
"គម្រោង","Abyss"
"គម្លាត","abyssa"
"គាត់","abyssal"
"គាំង","abysses"
"គាំទ្រ","Abyssinia"
"គិត","Abyssinian"
"គិតថ្លៃ","abyssinians"
"គិលានុបដ្ឋាយិកា","abyssobenthonic"
"គីមី","abyssolith"
"គីមីវិទ្យា","abyssopelagic"
"គុក","abyss's"
"គុណធម៌","abyssus"
"គុណភាព","abiston"
"គុណលក្ខណៈ","abit"
"គូ","Abitibi"
"គូទ","Abiu"
"គូប្រជែង","abiuret"
"គូរ","Abixah"
"គូស្នេហ៍","abject"
"គួរ","abjectedness"
"គួរ​ឱ្យ​ចាប់អារម្មណ៍","abjection"
"គួរ​ឱ្យ​ភ្ញាក់ផ្អើល","abjections"
"គួរតែ","abjective"
"គួរសម","abjectly"
"គួរឱ្យកត់សម្គាល់","abjectness"
"គួរឱ្យខ្លាច","abjectnesses"
"គួរឱ្យចាប់អារម្មណ៍","abjoint"
"គួរឱ្យទាក់ទាញអារម្មណ៍","abjudge"
"គួរឱ្យធុញ","abjudged"
"គួរឱ្យភ្ញាក់ផ្អើល","abjudging"
"គួរឱ្យរំភើប","abjudicate"
"គួរឱ្យសង្ស័យ","abjudicated"
"គួរឱ្យស្រលាញ់","abjudicating"
"គួរឱ្យស្រឡាញ់","abjudication"
"គួរឱ្យអស់សំណើច","abjudicator"
"គេង","abjugate"
"គេហទំព័រ","abjunct"
"គែម","abjunction"
"គោ","abjunctive"
"គោក្របី","abjuration"
"គោរព","abjurations"
"គោលការណ៍","abjuratory"
"គោលដៅ","abjure"
"គោលនយោបាយ","abjured"
"គោលបំណង","abjurement"
"គោលលទ្ធិ","abjurer"
"គោះ","abjurers"
"គ្នា","abjures"
"គ្មាន","abjuring"
"គ្មានកន្លែងណាទេ។","abkar"
"គ្មានខ្លាញ់","abkari"
"គ្មានទីបញ្ចប់","abkary"
"គ្មាននរណាម្នាក់","Abkhas"
"គ្មានប្រយោជន៍","Abkhasia"
"គ្មានផ្ទះសម្បែង","Abkhasian"
"គ្មានអ្វីទេ។","Abkhaz"
"គ្រប​ដ​ណ្ត​ប់","Abkhazia"
"គ្រប់គ្នា","Abkhazian"
"គ្រប់គ្រង","abl"
"គ្រប់គ្រាន់","abl."
"គ្រប់ទីកន្លែង","ablach"
"គ្រប់ពេលវេលា","ablactate"
"គ្រវីក្បាល","ablactated"
"គ្រាន់​តែ​","ablactating"
"គ្រាន់តែ","ablactation"
"គ្រាប់","ablaqueate"
"គ្រាប់កាំភ្លើង","ablare"
"គ្រាប់ធញ្ញជាតិ","A-blast"
"គ្រាប់បែក","ablastemic"
"គ្រាប់ពូជ","ablastin"
"គ្រាអាសន្ន","ablastous"
"គ្រីស្តាល់","ablate"
"គ្រីស្ទាន","ablated"
"គ្រឹះ","ablates"
"គ្រឹះស្ថាន","ablating"
"គ្រុន","ablation"
"គ្រូ","ablations"
"គ្រូគង្វាល","ablatitious"
"គ្រូបង្វឹក","ablatival"
"គ្រូពេទ្យ","ablative"
"គ្រូពេទ្យវះកាត់","ablatively"
"គ្រួសារ","ablatives"
"គ្រឿងទេស","ablator"
"គ្រឿងបរិក្ខារ","ablaut"
"គ្រឿងសង្ហារិម","ablauts"
"គ្រឿងអលង្ការ","ablaze"
"គ្រែ","able"
"គ្រោង","able-bodied"
"គ្រោងការណ៍","able-bodiedness"
"គ្រោះថ្នាក់","ableeze"
"គ្រោះមហន្តរាយ","ablegate"
"គ្លីនិក","ablegates"
"គំនរ","ablegation"
"គំនិត","able-minded"
"គំនិតផ្តួចផ្តើម","able-mindedness"
"គំនូរ","ablend"
"គំរាមកំហែង","ableness"
"គំរូ","ablepharia"
"ឃាតកម្ម","ablepharon"
"ឃាតករ","ablepharous"
"ឃើញ","Ablepharus"
"ឃោរឃៅ","ablepsy"
"ឃោសនា","ablepsia"
"ឃ្មុំ","ableptical"
"ឃ្លា","ableptically"
"ឃ្លាន","abler"
"ងក់ក្បាល","ables"
"ងងឹត","ablesse"
"ងប់ងល់","ablest"
"ងាយរងគ្រោះ","ablet"
"ងាយស្រួល","ablewhackets"
"ងូតទឹក","ably"
"ងើបឡើងវិញ","ablings"
"ចក្ខុវិស័យ","ablins"
"ចក្រភព","ablock"
"ចង","abloom"
"ចងចាំ","ablow"
"ចង្កា","ABLS"
"ចង្កៀង","ablude"
"ចង្កោម","abluent"
"ចង្វាក់","abluents"
"ចង្អុលបង្ហាញ","ablush"
"ចង្អៀត","ablute"
"ចង់ដឹងចង់ឃើញ","abluted"
"ចង់បាន","ablution"
"ចចក","ablutionary"
"ចន្លោះពេល","ablutions"
"ចប់","abluvion"
"ចម្ងាយ","ABM"
"ចម្រុះ","abmho"
"ចម្រូង​ចម្រាស់","abmhos"
"ចម្រៀក","abmodality"
"ចម្រៀង","abmodalities"
"ចម្លង","abn"
"ចម្លើយ","Abnaki"
"ចម្លែក","Abnakis"
"ចម្លែក","abnegate"
"ចម្អិន","abnegated"
"ចម្អិនអាហារ","abnegates"
"ចរចា","abnegating"
"ចរន្តសំខាន់","abnegation"
"ចរាចរណ៍","abnegations"
"ចលនា","abnegative"
"ចល័ត","abnegator"
"ចាកចេញ","abnegators"
"ចាក់","Abner"
"ចាក់សោ","abnerval"
"ចាញ់","abnet"
"ចាត់តាំង","abneural"
"ចាត់ថ្នាក់","abnormal"
"ចាន","abnormalcy"
"ចាប់","abnormalcies"
"ចាប់តាំងពី","abnormalise"
"ចាប់ផ្ដើម","abnormalised"
"ចាប់ផ្តើម","abnormalising"
"ចាប់យក","abnormalism"
"ចាប់អារម្មណ៍","abnormalist"
"ចារកម្ម","abnormality"
"ចាស់","abnormalities"
"ចាំបាច់","abnormalize"
"ចិញ្ចឹម","abnormalized"
"ចិញ្ចើម","abnormalizing"
"ចិញ្ចើមផ្លូវ","abnormally"
"ចិញ្ចៀន","abnormalness"
"ចិត្ត","abnormals"
"ចិត្តវិទ្យា","abnormity"
"ចិន","abnormities"
"ចុងក្រោយ","abnormous"
"ចុងចោទ","abnumerable"
"ចុងភៅ","Abo"
"ចុងសប្តាហ៍","aboard"
"ចុច","aboardage"
"ចុះ","Abobra"
"ចុះឈ្មោះ","abococket"
"ចុះមក","abodah"
"ចូល","abode"
"ចូលចិត្ត","aboded"
"ចូលទៅក្នុង","abodement"
"ចូលនិវត្តន៍","abodes"
"ចូលរួម","abode's"
"ចៀម","abody"
"ចេក","aboding"
"ចេញ","abogado"
"ចេតនា","abogados"
"ចែកចាយ","abohm"
"ចែករំលែក","abohms"
"ចៃដន្យ","aboideau"
"ចោត","aboideaus"
"ចោទប្រកាន់","aboideaux"
"ចោរ","aboil"
"ចោរកម្ម","aboiteau"
"ចោរសមុទ្រ","aboiteaus"
