"Greek","English"
"άδης","Abbey"
"αέρι","abbeys"
"αθώα","abbey's"
"αίγα","abbeystead"
"αίμα","abbeystede"
"αίρω","abbes"
"ακμή","abbess"
"ακοή","abbesses"
"άκρα","abbest"
"άκρη","Abbevilean"
"άκρο","Abbeville"
"ακτή","Abbevillian"
"άκων","Abbi"
"άλας","Abby"
"αλέα","Abbie"
"αλκή","Abbye"
"αλλά","Abbyville"
"άλμα","abboccato"
"άλμη","abbogada"
"αλόη","Abbot"
"άλφα","abbotcy"
"άλως","abbotcies"
"αμάν","abbotnullius"
"αμήν","abbotric"
"αμόκ","abbots"
"άναξ","abbot's"
"άνευ","Abbotsen"
"άνθι","Abbotsford"
"ανθώ","abbotship"
"ανία","abbotships"
"άντε","Abbotson"
"αντί","Abbotsun"
"αξία","Abbott"
"άξια","Abbottson"
"άουτ","Abbottstown"
"άπαξ","Abboud"
"άπας","abbozzo"
"άπλα","ABBR"
"απών","abbrev"
"αργώ","abbreviatable"
"άρης","abbreviate"
"άρια","abbreviated"
"αρκώ","abbreviately"
"άρμα","abbreviates"
"άρμη","abbreviating"
"αρνί","abbreviation"
"άρπα","abbreviations"
"άρση","abbreviator"
"αρύς","abbreviatory"
"αρχή","abbreviators"
"άρχω","abbreviature"
"ασκί","abbroachment"
"ασκώ","ABC"
"άσμα","abcess"
"άσος","abcissa"
"αστή","abcoulomb"
"άστυ","ABCs"
"ατός","abd"
"ατού","abdal"
"αυγή","abdali"
"αυγό","abdaria"
"αυλή","abdat"
"αύρα","Abdel"
"αυτί","Abd-el-Kadir"
"αφού","Abd-el-Krim"
"αχλή","Abdella"
"άχνα","Abderhalden"
"άχνη","Abderian"
"αχός","Abderite"
"άχτι","Abderus"
"αψιά","abdest"
"αψύς","Abdias"
"βαβά","abdicable"
"βάβω","abdicant"
"βάζο","abdicate"
"βάζω","abdicated"
"βαμπ","abdicates"
"βάνα","abdicating"
"βάνω","abdication"
"βάση","abdications"
"βάτα","abdicative"
"βαφή","abdicator"
"βάφω","Abdiel"
"βέλο","abditive"
"βέρα","abditory"
"βέτο","abdom"
"βήμα","abdomen"
"βήτα","abdomens"
"βήχω","abdomen's"
"βίδα","abdomina"
"βίζα","abdominal"
"βίλα","Abdominales"
"βίος","abdominalia"
"βιπς","abdominalian"
"βίρα","abdominally"
"βόας","abdominals"
"βόδι","abdominoanterior"
"βολέ","abdominocardiac"
"βολή","abdominocentesis"
"βόλι","abdominocystic"
"βολτ","abdominogenital"
"βορά","abdominohysterectomy"
"βουή","abdominohysterotomy"
"βρύο","abdominoposterior"
"βυζί","abdominoscope"
"βύνη","abdominoscopy"
"γάζα","abdominothoracic"
"γαζί","abdominous"
"γαία","abdomino-uterotomy"
"γάλα","abdominovaginal"
"γάμα","abdominovesical"
"γάτα","Abdon"
"γατί","Abdu"
"γεια","abduce"
"γένι","abduced"
"γίδα","abducens"
"γίδι","abducent"
"γιος","abducentes"
"γιοτ","abduces"
"γκέι","abducing"
"γκελ","abduct"
"γκολ","abducted"
"γκρι","abducting"
"γκρο","abduction"
"γόβα","abductions"
"γόης","abduction's"
"γόμα","abductor"
"γόος","abductores"
"γόπα","abductors"
"γριά","abductor's"
"γύρα","abducts"
"γύρη","Abdul"
"γύρω","Abdul-Aziz"
"δάδα","Abdul-baha"
"δαδί","Abdulla"
"δέκα","Abe"
"δέμα","a-be"
"δένω","abeam"
"δέον","abear"
"δέος","abearance"
"δέων","Abebi"
"δίας","abecedaire"
"δίδω","abecedary"
"δίκη","abecedaria"
"δίνη","abecedarian"
"δίνω","abecedarians"
"δίψα","abecedaries"
"δομή","abecedarium"
"δομώ","abecedarius"
"δόνα","abed"
"δονώ","abede"
"δόξα","abedge"
"δορά","Abednego"
"δόρυ","abegge"
"δόση","Abey"
"δρυς","abeyance"
"δρων","abeyances"
"δύνη","abeyancy"
"δύση","abeyancies"
"δώθε","abeyant"
"δώμα","abeigh"
"δώρο","ABEL"
"έβγα","Abelard"
"εδέμ","abele"
"έδρα","abeles"
"ειδή","Abelia"
"είθε","Abelian"
"εική","Abelicea"
"είτε","Abelite"
"έιτζ","Abell"
"εκεί","Abelmoschus"
"εκών","abelmosk"
"ελεώ","abelmosks"
"ελέω","abelmusk"
"ελιά","Abelonian"
"ελίτ","Abelson"
"έλκω","abeltree"
"έλξη","Abencerrages"
"έλος","abend"
"έμπα","abends"
"ένας","Abenezra"
"ένθα","abenteric"
"εξής","Abeokuta"
"εξόν","abepithymia"
"έπος","ABEPP"
"επτά","Abercromby"
"έργο","Abercrombie"
"έριο","Aberdare"
"έρμα","aberdavine"
"έρπω","Aberdeen"
"έρως","Aberdeenshire"
"έστω","aberdevine"
"έτος","Aberdonian"
"έτσι","aberduvine"
"εύγε","Aberfan"
"ευρώ","Aberglaube"
"ευχή","Aberia"
"έχων","Aberystwyth"
"ζάλη","Abernant"
"ζάλο","Abernathy"
"ζάρα","abernethy"
"ζάρι","Abernon"
"ζελέ","aberr"
"ζέον","aberrance"
"ζερό","aberrancy"
"ζέση","aberrancies"
"ζετέ","aberrant"
"ζεύω","aberrantly"
"ζηλώ","aberrants"
"ζήση","aberrate"
"ζήτα","aberrated"
"ζήτω","aberrating"
"ζίνα","aberration"
"ζόρι","aberrational"
"ζουμ","aberrations"
"ζύγι","aberrative"
"ζύμη","aberrator"
"ζώνη","aberrometer"
"ζώνω","aberroscope"
"ήθος","Abert"
"ήλιο","aberuncate"
"ήλος","aberuncator"
"ηνίο","abesse"
"ήπαρ","abessive"
"ήπια","abet"
"ηρώο","abetment"
"ήτοι","abetments"
"ήττα","abets"
"ήχος","abettal"
"θάβω","abettals"
"θάμα","abetted"
"θεία","abetter"
"θείο","abetters"
"θέλω","abetting"
"θέμα","abettor"
"θεός","abettors"
"θέση","Abeu"
"θέτω","abevacuation"
"θήκη","abfarad"
"θηλή","abfarads"
"θήρα","ABFM"
"θήτα","Abgatha"
"θίγω","ABHC"
"θίνα","abhenry"
"θύμα","abhenries"
"θύρα","abhenrys"
"θωρώ","abhinaya"
"ίαση","abhiseka"
"ιαχή","abhominable"
"ιδέα","abhor"
"ιδία","abhorred"
"ίδια","abhorrence"
"ιδού","abhorrences"
"ιερό","abhorrency"
"ιλύς","abhorrent"
"ινίο","abhorrently"
"ίσια","abhorrer"
"ίσος","abhorrers"
"ίσως","abhorrible"
"ιτιά","abhorring"
"ίωση","abhors"
"κάβα","Abhorson"
"κάδη","ABI"
"κάζο","aby"
"κάθε","Abia"
"καίω","Abiathar"
"κακά","Abib"
"καλώ","abichite"
"κάμα","abidal"
"κανί","abidance"
"κανό","abidances"
"κάνω","abidden"
"κάπα","abide"
"καπό","abided"
"κάρα","abider"
"καρέ","abiders"
"καρό","abides"
"κάρο","abidi"
"κάσα","abiding"
"κασέ","abidingly"
"καστ","abidingness"
"κατά","Abidjan"
"κάτι","Abydos"
"κατς","Abie"
"κάτω","abye"
"καφέ","abied"
"κάψα","abyed"
"κέικ","abiegh"
"κελί","abience"
"κενό","abient"
"κερί","Abies"
"κέφι","abyes"
"κήλη","abietate"
"κιλό","abietene"
"κινώ","abietic"
"κιτς","abietin"
"κλακ","Abietineae"
"κλικ","abietineous"
"κλιπ","abietinic"
"κλου","abietite"
"κόβω","Abiezer"
"κόκα","Abigael"
"κόλα","Abigail"
"κόλο","abigails"
"κόμη","abigailship"
"κομό","Abigale"
"κοπή","abigeat"
"κόρα","abigei"
"κόρη","abigeus"
"κόρο","Abihu"
"κόσα","abying"
"κότα","Abijah"
"κουπ","Abyla"
"κόφα","abilao"
"κόχη","Abilene"
"κόψη","abiliment"
"κρακ","Abilyne"
"κραχ","abilitable"
"κρεμ","ability"
"κρεπ","abilities"
"κρύα","ability's"
"κρύο","abilla"
"κύμα","abilo"
"κυρά","abime"
"κύων","Abimelech"
"κώμα","Abineri"
"κώμη","Abingdon"
"λάβα","Abinger"
"λαβή","Abington"
"λαδί","Abinoam"
"λάδι","Abinoem"
"λάκα","abintestate"
"λαλώ","abiogeneses"
"λάμα","abiogenesis"
"λαμέ","abiogenesist"
"λαός","abiogenetic"
"λάσο","abiogenetical"
"λάφι","abiogenetically"
"λέβα","abiogeny"
"λέγω","abiogenist"
"λεία","abiogenous"
"λέξη","abiology"
"λέπι","abiological"
"λέρα","abiologically"
"λέσι","abioses"
"λέων","abiosis"
"λήγω","abiotic"
"λήθη","abiotical"
"λήξη","abiotically"
"λήψη","abiotrophy"
"λίαν","abiotrophic"
"λίγο","Abipon"
"λιλά","Abiquiu"
"λίμα","abir"
"λίρα","abirritant"
"λιτή","abirritate"
"λόγω","abirritated"
"λόξα","abirritating"
"λότο","abirritation"
"λουξ","abirritative"
"λύμα","abys"
"λύνω","Abisag"
"λύπη","Abisha"
"λυπώ","Abishag"
"λύρα","Abisia"
"λύση","abysm"
"μάζα","abysmal"
"μαζί","abysmally"
"μαία","abysms"
"μακό","Abyss"
"μάλη","abyssa"
"μαμά","abyssal"
"μαμή","abysses"
"μάνα","Abyssinia"
"μάπα","Abyssinian"
"μάρα","abyssinians"
"μαρς","abyssobenthonic"
"μάτι","abyssolith"
"ματς","abyssopelagic"
"μάχη","abyss's"
"μέθη","abyssus"
"μέλι","abiston"
"μελό","abit"
"μένω","Abitibi"
"μέρα","Abiu"
"μερί","abiuret"
"μέσα","Abixah"
"μέση","abject"
"μέσο","abjectedness"
"μέσω","abjection"
"μετά","abjections"
"μετρ","abjective"
"μηδέ","abjectly"
"μήλο","abjectness"
"μηνώ","abjectnesses"
"μηρί","abjoint"
"μήτε","abjudge"
"μίζα","abjudged"
"μίλι","abjudging"
"μίνα","abjudicate"
"μίνι","abjudicated"
"μισώ","abjudicating"
"μόδα","abjudication"
"μόκα","abjudicator"
"μόλο","abjugate"
"μονή","abjunct"
"μόνο","abjunction"
"μόρα","abjunctive"
"μορς","abjuration"
"μότο","abjurations"
"μους","abjuratory"
"μπακ","abjure"
"μπαμ","abjured"
"μπαρ","abjurement"
"μπεζ","abjurer"
"μπιτ","abjurers"
"μπλα","abjures"
"μπλε","abjuring"
"μποά","abkar"
"μπόι","abkari"
"μπολ","abkary"
"μποξ","Abkhas"
"μπορ","Abkhasia"
"μπρε","Abkhasian"
"μύγα","Abkhaz"
"μύδι","Abkhazia"
"μύλη","Abkhazian"
"μύξα","abl"
"μύρο","abl."
"μύτη","ablach"
"μωρό","ablactate"
"ναζί","ablactated"
"νάζι","ablactating"
"ναΐφ","ablactation"
"νάμα","ablaqueate"
"νάνι","ablare"
"ναός","A-blast"
"νένα","ablastemic"
"νενέ","ablastin"
"νέον","ablastous"
"νέος","ablate"
"νερό","ablated"
"νεύω","ablates"
"νήμα","ablating"
"νησί","ablation"
"νίβω","ablations"
"νίκη","ablatitious"
"νίλα","ablatival"
"νομή","ablative"
"νονά","ablatively"
"νόνα","ablatives"
"νοσώ","ablator"
"νότα","ablaut"
"νους","ablauts"
"νοών","ablaze"
"ντιπ","able"
"ντοκ","able-bodied"
"ντον","able-bodiedness"
"ντου","ableeze"
"νύξη","ablegate"
"νύφη","ablegates"
"νύχι","ablegation"
"νώτα","able-minded"
"ξανά","able-mindedness"
"ξένη","ablend"
"ξένο","ableness"
"ξέρα","ablepharia"
"ξερή","ablepharon"
"ξέρω","ablepharous"
"ξηρά","Ablepharus"
"ξίδι","ablepsy"
"ξόδι","ablepsia"
"ξύλο","ableptical"
"ξύνω","ableptically"
"όαση","abler"
"οβάλ","ables"
"οδός","ablesse"
"όζον","ablest"
"όζος","ablet"
"οίδα","ablewhackets"
"οκέι","ably"
"οκτώ","ablings"
"ολκή","ablins"
"όλος","ablock"
"όλως","abloom"
"όμμα","ablow"
"ομού","ABLS"
"όμως","ablude"
"όνος","abluent"
"οξιά","abluents"
"όξος","ablush"
"οξύς","ablute"
"όπερ","abluted"
"όπιο","ablution"
"οπλή","ablutionary"
"όπλο","ablutions"
"οπός","abluvion"
"όπου","ABM"
"όπως","abmho"
"οργή","abmhos"
"ορδή","abmodality"
"ορθό","abmodalities"
"όριο","abn"
"ορμή","Abnaki"
"ορός","Abnakis"
"όρος","abnegate"
"όσια","abnegated"
"οσμή","abnegates"
"όσος","abnegating"
"οστό","abnegation"
"όταν","abnegations"
"ότου","abnegative"
"ουδέ","abnegator"
"ούζο","abnegators"
"ουλή","Abner"
"ούλο","abnerval"
"ουρά","abnet"
"ουρί","abneural"
"ούρο","abnormal"
"ουρώ","abnormalcy"
"ούτε","abnormalcies"
"ούτι","abnormalise"
"ούφο","abnormalised"
"ουχί","abnormalising"
"όφις","abnormalism"
"όχθη","abnormalist"
"οχιά","abnormality"
"παζλ","abnormalities"
"παις","abnormalize"
"πάκο","abnormalized"
"πάλα","abnormalizing"
"πάλε","abnormally"
"πάλη","abnormalness"
"πάλι","abnormals"
"παμπ","abnormity"
"πάνα","abnormities"
"πανί","abnormous"
"πανκ","abnumerable"
"πανό","Abo"
"πάνω","aboard"
"παπί","aboardage"
"παρά","Abobra"
"πάρα","abococket"
"πάσα","abodah"
"πάσο","abode"
"πατέ","aboded"
"πατώ","abodement"
"παύω","abodes"
"πεζή","abode's"
"πένα","abody"
"πέος","aboding"
"πέρα","abogado"
"περί","abogados"
"πέτο","abohm"
"πέψη","abohms"
"πηγή","aboideau"
"πήζω","aboideaus"
"πήξη","aboideaux"
"πήχη","aboil"
"πίκα","aboiteau"
"πίνα","aboiteaus"
"πίνω","aboiteaux"
"πίπα","abolete"
"πιπί","abolish"
"πίσω","abolishable"
"πίτα","abolished"
"πλαζ","abolisher"
"πλάι","abolishers"
"πλέω","abolishes"
"πλην","abolishing"
"πνέω","abolishment"
"πνοή","abolishments"
"πόδι","abolishment's"
"πόζα","abolition"
"ποθώ","abolitionary"
"ποιώ","abolitionise"
"πόκα","abolitionised"
"πόλη","abolitionising"
"πόλο","abolitionism"
"πολύ","abolitionist"
"ποπό","abolitionists"
"πόση","abolitionize"
"ποσό","abolitionized"
"πόσο","abolitionizing"
"ποτέ","abolitions"
"πότε","abolla"
"ποτό","abollae"
"πουά","aboma"
"πουφ","abomas"
"πριμ","abomasa"
"πριν","abomasal"
"προς","abomasi"
"πρωί","abomasum"
"πτοώ","abomasus"
"πτύο","abomasusi"
"πτύω","A-bomb"
"πύλη","abominability"
"πυρά","abominable"
"πύρα","abominableness"
"πωλώ","abominably"
"πώμα","abominate"
"ραβί","abominated"
"ράβω","abominates"
"ράγα","abominating"
"ράδα","abomination"
"ράιχ","abominations"
"ρακή","abominator"
"ρακί","abominators"
"ράλι","abomine"
"ραμί","abondance"
"ράσο","Abongo"
"ραφή","abonne"
"ράφι","abonnement"
"ράχη","aboon"
"ρέλι","aborad"
"ρέμα","aboral"
"ρεπό","aborally"
"ρέπω","abord"
"ρεύω","Aboriginal"
"ρέων","aboriginality"
"ρήμα","aboriginally"
"ρήξη","aboriginals"
"ρήση","aboriginary"
"ρητό","Aborigine"
"ρίγα","aborigines"
"ριγέ","aborigine's"
"ριγώ","Abor-miri"
"ριζά","Aborn"
"ρίζα","aborning"
"ρίμα","a-borning"
"ρίνα","aborsement"
"ριπή","aborsive"
"ρίφι","abort"
"ρίψη","aborted"
"ρόγα","aborter"
"ρόδα","aborters"
"ρόδι","aborticide"
"ρόδο","abortient"
"ροζέ","abortifacient"
"ρόκα","abortin"
"ρολό","aborting"
"ροπή","abortion"
"ρότα","abortional"
"ρουζ","abortionist"
"ρους","abortionists"
"ρύζι","abortions"
"ρύμη","abortion's"
"ρύση","abortive"
"ρώγα","abortively"
"ρώμη","abortiveness"
"ρωτώ","abortogenic"
"σάκα","aborts"
"σακί","abortus"
"σάλα","abortuses"
"σαλέ","abos"
"σάλι","abote"
"σανό","Abott"
"σάρα","abouchement"
"σαρξ","aboudikro"
"σασί","abought"
"σείω","Aboukir"
"σέλα","aboulia"
"σέξι","aboulias"
"σέρα","aboulic"
"σερί","abound"
"σήμα","abounded"
"σήτα","abounder"
"σήψη","abounding"
"σιγά","aboundingly"
"σιγή","abounds"
"σιγώ","Abourezk"
"σιέλ","about"
"σικέ","about-face"
"σιλό","about-faced"
"σιμά","about-facing"
"σινί","abouts"
"σκιά","about-ship"
"σκορ","about-shipped"
"σόδα","about-shipping"
"σόλα","about-sledge"
"σόλο","about-turn"
"σόου","above"
"σοτέ","aboveboard"
"σουτ","above-board"
"σπάω","above-cited"
"σπορ","abovedeck"
"σποτ","above-found"
"σταρ","above-given"
"στιλ","aboveground"
"στοά","abovementioned"
"στοκ","above-mentioned"
"στοπ","above-named"
"στορ","aboveproof"
"συζώ","above-quoted"
"συκή","above-reported"
"σύκο","aboves"
"συλώ","abovesaid"
"σύρω","above-said"
"σώζω","abovestairs"
"σώμα","above-water"
"σώνω","above-written"
"σώος","abow"
"ταγή","abox"
"τάδε","Abp"
"τάζω","ABPC"
"τακτ","Abqaiq"
"ταλκ","abr"
"τάμα","abr."
"τάξη","Abra"
"ταξί","abracadabra"
"τάπα","abrachia"
"ταπί","abrachias"
"τάρα","abradable"
"τάση","abradant"
"τάσι","abradants"
"ταφή","abrade"
"τάχα","abraded"
"ταψί","abrader"
"τέζα","abraders"
"τέιο","abrades"
"τέλι","abrading"
"τελώ","Abraham"
"τεστ","Abrahamic"
"τέως","Abrahamidae"
"τζαζ","Abrahamite"
"τζετ","Abrahamitic"
"τζιν","Abraham-man"
"τζιπ","Abrahams"
"τήκω","Abrahamsen"
"τήξη","Abrahan"
"τηρώ","abray"
"τιμή","abraid"
"τιμώ","Abram"
"τόκα","Abramis"
"τομή","Abramo"
"τόξο","Abrams"
"τόπι","Abramson"
"τόσο","Abran"
"τοστ","abranchial"
"τότε","abranchialism"
"τους","abranchian"
"τρακ","Abranchiata"
"τραμ","abranchiate"
"τρικ","abranchious"
"τρίο","abrasax"
"τρις","abrase"
"τσάι","abrased"
"τσακ","abraser"
"τσεκ","abrash"
"τσιπ","abrasing"
"τσιφ","abrasiometer"
"τυρί","abrasion"
"τύχη","abrasions"
"τύψη","abrasion's"
"τώρα","abrasive"
"ύβρη","abrasively"
"ύδρα","abrasiveness"
"ύδωρ","abrasivenesses"
"υιός","abrasives"
"υμνώ","abrastol"
"υπέρ","abraum"
"ύφος","abraxas"
"ύψος","abrazite"
"φάβα","abrazitic"
"φάκα","abrazo"
"φακή","abrazos"
"φάπα","abreact"
"φάρα","abreacted"
"φαρί","abreacting"
"φάσα","abreaction"
"φάση","abreactions"
"φελί","abreacts"
"φέξη","abreast"
"φέρω","abreed"
"φέσι","abrege"
"φέτα","abreid"
"φήμη","abrenounce"
"φίδι","abrenunciate"
"φίλη","abrenunciation"
"φιλί","abreption"
"φιλμ","abret"
"φίνα","abreuvoir"
"φλας","abri"
"φλιτ","abrico"
"φλος","abricock"
"φλου","abricot"
"φόλα","abridgable"
"φορά","abridge"
"φόρα","abridgeable"
"φουλ","abridged"
"φτου","abridgedly"
"φυγή","abridgement"
"φύκι","abridgements"
"φυλή","abridger"
"φύλο","abridgers"
"φύμα","abridges"
"φύρα","abridging"
"φύση","abridgment"
"φυτό","abridgments"
"φώλι","abrim"
"φωνή","abrin"
"χάδι","abrine"
"χάζι","abris"
"χακί","abristle"
"χαλί","abroach"
"χάλι","abroad"
"χαλώ","Abrocoma"
"χάμω","abrocome"
"χάνι","abrogable"
"χάνω","abrogate"
"χάος","abrogated"
"χάπι","abrogates"
"χαρά","abrogating"
"χάρη","abrogation"
"χάση","abrogations"
"χέζω","abrogative"
"χέλι","abrogator"
"χέρι","abrogators"
"χήνα","Abroma"
"χήρα","Abroms"
"χθες","Abronia"
"χλόη","abrood"
"χολή","abrook"
"χούι","abrosia"
"χρίω","abrosias"
"χύμα","abrotanum"
"χύνω","abrotin"
"χώμα","abrotine"
"χωνί","abrupt"
"χώνω","abruptedly"
"χώρα","abrupter"
"ψάθα","abruptest"
"ψαθί","abruptio"
"ψάρι","abruption"
"ψαύω","abruptiones"
"ψέγω","abruptly"
"ψέμα","abruptness"
"ψηλά","Abrus"
"ψήνω","Abruzzi"
"ψιλά","ABS"
"ψιλή","abs-"
"ψίχα","Absa"
"ψύξη","Absalom"
"ψυχή","absampere"
"ψύχω","Absaraka"
"ψωλή","Absaroka"
"ψωμί","Absarokee"
"ψώρα","absarokite"
"ωμός","ABSBH"
"ώμος","abscam"
"ώνια","abscess"
"ωσάν","abscessed"
"ωσεί","abscesses"
"ώστε","abscessing"
"ωχρά","abscession"
"ώχρα","abscessroot"
"αβάνς","abscind"
"αβρός","abscise"
"αγαθή","abscised"
"αγαθό","abscises"
"αγάλι","abscisin"
"αγάπη","abscising"
"αγέλη","abscisins"
"αγέρι","abscision"
"άγημα","absciss"
"άγιος","abscissa"
"αγνός","abscissae"
"αγνοώ","abscissas"
"αγορά","abscissa's"
"αγόρι","abscisse"
"άγρια","abscissin"
"αγρός","abscission"
"άγχος","abscissions"
"αγωγή","absconce"
"αγώγι","abscond"
"αδαής","absconded"
"άδεια","abscondedly"
"άδικο","abscondence"
"αδικώ","absconder"
"αδρός","absconders"
"αέρας","absconding"
"αέριο","absconds"
"αετός","absconsa"
"αζούρ","abscoulomb"
"άζωτο","abscound"
"αηδής","Absecon"
"αηδία","absee"
"αήθης","absey"
"άηχος","abseil"
"αθεΐα","abseiled"
"άθεος","abseiling"
"αθετώ","abseils"
"άθλια","absence"
"άθλος","absences"
"αθρόα","absence's"
"αθυμώ","absent"
"αθώος","absentation"
"αίγλη","absented"
"αιδώς","absentee"
"αίνος","absenteeism"
"αίσια","absentees"
"αιτία","absentee's"
"αίτιο","absenteeship"
"αϊτός","absenter"
"αιτών","absenters"
"αιχμή","absentia"
"αιώρα","absenting"
"ακίδα","absently"
"ακόμα","absentment"
"ακόνι","absentminded"
"ακούω","absent-minded"
"άκρια","absentmindedly"
"άκρος","absent-mindedly"
"αλάνα","absentmindedness"
"αλάνι","absent-mindedness"
"αλάτι","absentmindednesses"
"άλγος","absentness"
"αλέθω","absents"
"άλεση","absfarad"
"άλλος","abshenry"
"αλλού","Abshier"
"άλλως","Absi"
"αλόγα","absinth"
"άλογο","absinthe"
"άλσος","absinthes"
"άλτης","absinthial"
"αλυκή","absinthian"
"αλώνι","absinthiate"
"αλώνω","absinthiated"
"άλωση","absinthiating"
"αμάδα","absinthic"
"άμαξα","absinthiin"
"αμάξι","absinthin"
"αμάχη","absinthine"
"αμελώ","absinthism"
"αμέτι","absinthismic"
"άμμος","absinthium"
"αμνός","absinthol"
"αμόνι","absinthole"
"αμόρε","absinths"
"αμπέρ","Absyrtus"
"αμπρί","absis"
"άμυλο","absist"
"άμυνα","absistos"
"αμυχή","absit"
"άμφιο","absmho"
"ανάβω","absohm"
"ανάγω","absoil"
"ανάσα","absolent"
"ανέμη","Absolute"
"άνεση","absolutely"
"άνετα","absoluteness"
"άνηθο","absoluter"
"ανήκω","absolutes"
"ανθός","absolutest"
"άνθος","absolution"
"ανίψι","absolutions"
"ανιών","absolutism"
"άνοια","absolutist"
"άνους","absolutista"
"ανοχή","absolutistic"
"αντίο","absolutistically"
"αντλώ","absolutists"
"άντρο","absolutive"
"ανφάς","absolutization"
"ανώγι","absolutize"
"άνωση","absolutory"
"αξίζω","absolvable"
"αξίνα","absolvatory"
"άξιος","absolve"
"αορτή","absolved"
"απάγω","absolvent"
