"Bosnian","English"
"blagoslovi","abating"
"blagostanje","abatis"
"blagotvorno","abatised"
"blast","abatises"
"blato","abatjour"
"blend","abatjours"
"blic","abaton"
"blijed","abator"
"blisko","abators"
"blizanac","ABATS"
"blizu","abattage"
"blog","abattis"
"blok","abattised"
"board","abattises"
"boca","abattoir"
"bogat","abattoirs"
"bogati","abattu"
"bogatstvo","abattue"
"boja","Abatua"
"bol","abature"
"bold","abaue"
"bolest","abave"
"bolestan","abaxial"
"bolje","abaxile"
"bolnica","abaze"
"bolno","abb"
"bomba","Abba"
"bombardovanje","abbacy"
"bombone","abbacies"
"bonus","abbacomes"
"boot","Abbadide"
"bor","Abbai"
"borac","abbaye"
"borba","abbandono"
"božanstveno","abbas"
"bože","abbasi"
"Božić","Abbasid"
"br","abbassi"
"brada","Abbassid"
"brak","Abbasside"
"brand","Abbate"
"braniti","abbatial"
"braon","abbatical"
"brašno","abbatie"
"brate","Abbe"
"brdo","Abbey"
"break","abbeys"
"brief","abbey's"
"briga","abbeystead"
"briljantno","abbeystede"
"Britanski","abbes"
"brod","abbess"
"broj","abbesses"
"brojne","abbest"
"brucoš","Abbevilean"
"brutalno","Abbeville"
"bruto","Abbevillian"
"brže","Abbi"
"brzina","Abby"
"brzo","Abbie"
"bs","Abbye"
"bubanj","Abbyville"
"buck","abboccato"
"budalo","abbogada"
"budan","Abbot"
"budućnost","abbotcy"
"Budžet","abbotcies"
"bug","abbotnullius"
"buka","abbotric"
"bukvalno","abbots"
"bulji","abbot's"
"bum","Abbotsen"
"buntovnik","Abbotsford"
"bure","abbotship"
"burger","abbotships"
"burn","Abbotson"
"bus","Abbotsun"
"bush","Abbott"
"bušilica","Abbottson"
"butina","Abbottstown"
"by","Abboud"
"cafe","abbozzo"
"čaj","ABBR"
"čak","abbrev"
"čamac","abbreviatable"
"ćao","abbreviate"
"cara","abbreviated"
"čarapa","abbreviately"
"čarolija","abbreviates"
"carstvo","abbreviating"
"casino","abbreviation"
"časopis","abbreviations"
"cast","abbreviator"
"čast","abbreviatory"
"castle","abbreviators"
"casual","abbreviature"
"cd","abbroachment"
"će","ABC"
"ćebe","abcess"
"čekaj","abcissa"
"čekati","abcoulomb"
"čekić","ABCs"
"ćelija","abd"
"čelika","abdal"
"čelo","abdali"
"cent","abdaria"
"centar","abdat"
"centralno","Abdel"
"ceremonija","Abd-el-Kadir"
"cesta","Abd-el-Krim"
"česte","Abdella"
"čestica","Abderhalden"
"često","Abderian"
"četiri","Abderite"
"četka","Abderus"
"četrdeset","abdest"
"četvrtak","Abdias"
"četvrto","abdicable"
"charter","abdicant"
"chat","abdicate"
"cheat","abdicated"
"cheer","abdicates"
"chop","abdicating"
"christian","abdication"
"chuckle","abdications"
"cigareta","abdicative"
"cigla","abdicator"
"cijeli","Abdiel"
"Cijena","abditive"
"cijeniti","abditory"
"cijev","abdom"
"čiji","abdomen"
"ciklus","abdomens"
"cilj","abdomen's"
"čin","abdomina"
"činjenica","abdominal"
"čip","Abdominales"
"cipela","abdominalia"
"čista","abdominalian"
"cisto","abdominally"
"čitaj","abdominals"
"čitalac","abdominoanterior"
"čitanje","abdominocardiac"
"citat","abdominocentesis"
"citirati","abdominocystic"
"civil","abdominogenital"
"civilizacija","abdominohysterectomy"
"cjevovod","abdominohysterotomy"
"član","abdominoposterior"
"članak","abdominoscope"
"članstvo","abdominoscopy"
"club","abdominothoracic"
"cokolada","abdominous"
"combat","abdomino-uterotomy"
"comic","abdominovaginal"
"commerce","abdominovesical"
"cool","Abdon"
"count","Abdu"
"counter","abduce"
"covece","abduced"
"čovječanstvo","abducens"
"čovjek","abducent"
"crack","abducentes"
"craft","abduces"
"crash","abducing"
"creek","abduct"
"crijeva","abducted"
"crkva","abducting"
"crna","abduction"
"crtač","abductions"
"crtani","abduction's"
"crtanje","abductor"
"crush","abductores"
"crvena","abductors"
"čudno","abductor's"
"čudo","abducts"
"čudovište","Abdul"
"cue","Abdul-Aziz"
"čuj","Abdul-baha"
"cup","Abdulla"
"curenje","Abe"
"cut","a-be"
"cvijet","abeam"
"čvrsto","abear"
"da","abearance"
"dah","Abebi"
"dakle","abecedaire"
"daleko","abecedary"
"daljinski","abecedaria"
"dan","abecedarian"
"danas","abecedarians"
"dare","abecedaries"
"dati","abecedarium"
"dato","abecedarius"
"datum","abed"
"đavola","abede"
"debata","abedge"
"debelo","Abednego"
"debeo","abegge"
"debi","Abey"
"decembar","abeyance"
"decenija","abeyances"
"dečko","abeyancy"
"defanzivca","abeyancies"
"defanzivni","abeyant"
"default","abeigh"
"deficit","ABEL"
"definicija","Abelard"
"definisati","abele"
"definitivno","abeles"
"deklaracija","Abelia"
"delikatan","Abelian"
"demografski","Abelicea"
"demokrata","Abelite"
"demokratija","Abell"
"demokratski","Abelmoschus"
"demon","abelmosk"
"demonstracija","abelmosks"
"demonstrirati","abelmusk"
"depozit","Abelonian"
"depresija","Abelson"
"depresivan","abeltree"
"desert","Abencerrages"
"deset","abend"
"desiti","abends"
"detalj","Abenezra"
"detaljan","abenteric"
"detektiv","Abeokuta"
"detektovati","abepithymia"
"developer","ABEPP"
"devet","Abercromby"
"dig","Abercrombie"
"digitalni","Aberdare"
"dijabetes","aberdavine"
"dijagnosticirati","Aberdeen"
"dijagnoza","Aberdeenshire"
"dijalog","aberdevine"
"dijamant","Aberdonian"
"dijeliti","aberduvine"
"dijeta","Aberfan"
"dijete","Aberglaube"
"diler","Aberia"
"dim","Aberystwyth"
"dimenzija","Abernant"
"dinamičan","Abernathy"
"dinamika","abernethy"
"dio","Abernon"
"dionica","aberr"
"diplomatski","aberrance"
"diplomiranje","aberrancy"
"diplomirati","aberrancies"
"direktno","aberrant"
"direktor","aberrantly"
"disanje","aberrants"
"disati","aberrate"
"disciplina","aberrated"
"disk","aberrating"
"diskriminacija","aberration"
"diskurs","aberrational"
"diskusija","aberrations"
"Diskusija","aberrative"
"displej","aberrator"
"distribucija","aberrometer"
"distribuirati","aberroscope"
"div","Abert"
"divan","aberuncate"
"divizije","aberuncator"
"divlji","abesse"
"divljina","abessive"
"divno","abet"
"dizajn","abetment"
"dizajner","abetments"
"djed","abets"
"djelimično","abettal"
"djelomično","abettals"
"djetinjstvo","abetted"
"djevojka","abetter"
"dlan","abetters"
"dna","abetting"
"dnevnik","abettor"
"dnevno","abettors"
"dnu","Abeu"
"do","abevacuation"
"Dob","abfarad"
"dobitak","abfarads"
"dobiti","ABFM"
"dobro","Abgatha"
"dobrodošli","ABHC"
"dobrotu","abhenry"
"doc","abhenries"
"dodano","abhenrys"
"dodatak","abhinaya"
"dodati","abhiseka"
"dodatno","abhominable"
"dođi","abhor"
"dodijeliti","abhorred"
"dodir","abhorrence"
"događaj","abhorrences"
"dogovor","abhorrency"
"dogovoriti","abhorrent"
"dojenče","abhorrently"
"dojke","abhorrer"
"dok","abhorrers"
"dokaz","abhorrible"
"dokazati","abhorring"
"dokazi","abhors"
"doktore","Abhorson"
"doktrina","ABI"
"dokument","aby"
"dokumentarac","Abia"
"dolar","Abiathar"
"dolazak","Abib"
"dolazi","abichite"
"dolina","abidal"
"dolje","abidance"
"Dom","abidances"
"domaći","abidden"
"domaćin","abide"
"domaćinstvo","abided"
"domena","abider"
"domet","abiders"
"dominantan","abides"
"dominirati","abidi"
"domovina","abiding"
"donacija","abidingly"
"donator","abidingness"
"donekle","Abidjan"
"donesi","Abydos"
"doneti","Abie"
"donirati","abye"
"dopisnik","abied"
"doprinijeti","abyed"
"doprinos","abiegh"
"dopustiti","abience"
"doručak","abient"
"dosadan","Abies"
"doseg","abyes"
"dosljedan","abietate"
"dosljedno","abietene"
"dosta","abietic"
"dostaviti","abietin"
"dostojan","Abietineae"
"dostojanstvo","abietineous"
"dostupan","abietinic"
"dostupnost","abietite"
"dot","Abiezer"
"dovesti","Abigael"
"doviđenja","Abigail"
"dovoljno","abigails"
"dovraga","abigailship"
"doza","Abigale"
"dozvola","abigeat"
"dozvolu","abigei"
"drag","abigeus"
"draga","Abihu"
"dragi","abying"
"drago","Abijah"
"drama","Abyla"
"dramaticno","abilao"
"dramatično","Abilene"
"drevni","abiliment"
"drift","Abilyne"
"drop","abilitable"
"drugačije","ability"
"drugdje","abilities"
"drugi","ability's"
"društveni","abilla"
"društveno","abilo"
"društvo","abime"
"druže","Abimelech"
"drveni","Abineri"
"drvo","Abingdon"
"državljanstvo","Abinger"
"dubina","Abington"
"duboko","Abinoam"
"dug","Abinoem"
"dugme","abintestate"
"dugo","abiogeneses"
"dugoročno","abiogenesis"
"dugujem","abiogenesist"
"duh","abiogenetic"
"duhovni","abiogenetical"
"dump","abiogenetically"
"duplo","abiogeny"
"dušo","abiogenist"
"duvan","abiogenous"
"dužina","abiology"
"dužnost","abiological"
"dva","abiologically"
"dvadeset","abioses"
"dvanaest","abiosis"
"dvaput","abiotic"
"dvorište","abiotical"
"džep","abiotically"
"džungla","abiotrophy"
"echo","abiotrophic"
"edit","Abipon"
"edukator","Abiquiu"
"efekat","abir"
"efektivno","abirritant"
"efektivnost","abirritate"
"efikasan","abirritated"
"efikasnost","abirritating"
"ego","abirritation"
"eh","abirritative"
"ekonomija","abys"
"ekonomista","Abisag"
"ekonomski","Abisha"
"ekosistema","Abishag"
"ekran","Abisia"
"ekskluzivno","abysm"
"ekspanzija","abysmal"
"eksperiment","abysmally"
"eksperimentalni","abysms"
"ekspert","Abyss"
"eksplicitno","abyssa"
"eksplodirati","abyssal"
"eksplozija","abysses"
"eksponat","Abyssinia"
"ekstrakt","Abyssinian"
"ekstremno","abyssinians"
"ekvivalentan","abyssobenthonic"
"elect","abyssolith"
"elegantan","abyssopelagic"
"električni","abyss's"
"elektronski","abyssus"
"element","abiston"
"eliminisati","abit"
"elita","Abitibi"
"email","Abiu"
"e-mail","abiuret"
"emerge","Abixah"
"emisija","abject"
"emitovanje","abjectedness"
"emocija","abjection"
"emocionalno","abjections"
"energije","abjective"
"engleski","abjectly"
"enormno","abjectness"
"enter","abjectnesses"
"enterijer","abjoint"
"entiteta","abjudge"
"entuzijazam","abjudged"
"epizoda","abjudging"
"era","abjudicate"
"esej","abjudicated"
"esencija","abjudicating"
"esencijalno","abjudication"
"et","abjudicator"
"etično","abjugate"
"etika","abjunct"
"etiketa","abjunction"
"etnički","abjunctive"
"evaluacija","abjuration"
"evaluirati","abjurations"
"evidentno","abjuratory"
"evolucija","abjure"
"evoluirati","abjured"
"evropski","abjurement"
"exploit","abjurer"
"express","abjurers"
"extra","abjures"
"fabrika","abjuring"
"fade","abkar"
"fajl","abkari"
"faktor","abkary"
"fakultet","Abkhas"
"fan","Abkhasia"
"fancy","Abkhasian"
"fantastično","Abkhaz"
"fantazija","Abkhazia"
"farma","Abkhazian"
"farmer","abl"
"farmerke","abl."
"fascinantno","ablach"
"favorit","ablactate"
"faza","ablactated"
"februar","ablactating"
"federalni","ablactation"
"fenomen","ablaqueate"
"fer","ablare"
"festival","A-blast"
"figure","ablastemic"
"fikcija","ablastin"
"fiksno","ablastous"
"film","ablate"
"filozofija","ablated"
"filozofski","ablates"
"filter","ablating"
"final","ablation"
"finansije","ablations"
"finansijski","ablatitious"
"finansiranje","ablatival"
"fiskalni","ablative"
"fit","ablatively"
"fitness","ablatives"
"fizički","ablator"
"fizike","ablaut"
"fleksibilan","ablauts"
"fleksibilnost","ablaze"
"flip","able"
"float","able-bodied"
"flota","able-bodiedness"
"fokus","ableeze"
"fold","ablegate"
"folk","ablegates"
"fond","ablegation"
"formalno","able-minded"
"formatu","able-mindedness"
"formiranje","ablend"
"formu","ableness"
"formula","ablepharia"
"forum","ablepharon"
"fosil","ablepharous"
"fotograf","Ablepharus"
"fotografija","ablepsy"
"frakcija","ablepsia"
"francuski","ableptical"
"franšiza","ableptically"
"fraza","abler"
"freak","ables"
"frekvencija","ablesse"
"front","ablest"
"frustracija","ablet"
"fuck","ablewhackets"
"fucking","ably"
"fudbal","ablings"
"fundamentalno","ablins"
"funkcija","ablock"
"funkcionalan","abloom"
"funta","ablow"
"gadno","ABLS"
"galaksija","ablude"
"galerija","abluent"
"galon","abluents"
"garancija","ablush"
"garaža","ablute"
"gas","abluted"
"gasp","ablution"
"gay","ablutionary"
"gdje","ablutions"
"gen","abluvion"
"generacije","ABM"
"general","abmho"
"generirati","abmhos"
"genetski","abmodality"
"genije","abmodalities"
"gentleman","abn"
"gest","Abnaki"
"gitara","Abnakis"
"glad","abnegate"
"Gladan","abnegated"
"glas","abnegates"
"glasanje","abnegating"
"glasina","abnegation"
"glasno","abnegations"
"glatko","abnegative"
"glava","abnegator"
"glavobolja","abnegators"
"gledalac","Abner"
"gledati","abnerval"
"gležanj","abnet"
"glina","abneural"
"globalno","abnormal"
"globus","abnormalcy"
"glumac","abnormalcies"
"glumica","abnormalise"
"glup","abnormalised"
"glupo","abnormalising"
"gluposti","abnormalism"
"gnijezdo","abnormalist"
"god","abnormality"
"godine","abnormalities"
"godišnje","abnormalize"
"godišnjica","abnormalized"
"gol","abnormalizing"
"golf","abnormally"
"goli","abnormalness"
"gomila","abnormals"
"goniti","abnormity"
"gop","abnormities"
"gore","abnormous"
"gori","abnumerable"
"gorivo","Abo"
"gorko","aboard"
"gornji","aboardage"
"gospodine","Abobra"
"gospođo","abococket"
"gost","abodah"
"gotovina","abode"
"gotovo","aboded"
"goveda","abodement"
"govedina","abodes"
"govor","abode's"
"govoriti","abody"
"grace","aboding"
"grad","abogado"
"građanin","abogados"
"građanski","abohm"
"graditi","abohms"
"gradonačelnik","aboideau"
"graf","aboideaus"
"grafički","aboideaux"
"grafikon","aboil"
"gram","aboiteau"
"grana","aboiteaus"
"grand","aboiteaux"
"granica","abolete"
"grant","abolish"
"gravitacija","abolishable"
"grčki","abolished"
"greben","abolisher"
"greda","abolishers"
"greet","abolishes"
"greška","abolishing"
"grid","abolishment"
"grijeh","abolishments"
"grip","abolishment's"
"grlo","abolition"
"grob","abolitionary"
"grozno","abolitionise"
"grubo","abolitionised"
"grupa","abolitionising"
"guard","abolitionism"
"gubitak","abolitionist"
"gubitnik","abolitionists"
"guma","abolitionize"
"gurnuti","abolitionized"
"gusar","abolitionizing"
"gustina","abolitions"
"guverner","abolla"
"guza","abollae"
"gvožđe","aboma"
"ha","abomas"
"haljina","abomasa"
"hall","abomasal"
"hang","abomasi"
"haos","abomasum"
"hardver","abomasus"
"hej","abomasusi"
"helikopter","A-bomb"
"hemija","abominability"
"hemijski","abominable"
"heroj","abominableness"
"highlight","abominably"
"hiljada","abominate"
"hip","abominated"
"hipoteka","abominates"
"hipoteza","abominating"
"hire","abomination"
"hirurg","abominations"
"Hispanic","abominator"
"hit","abominators"
"hladno","abomine"
"hljeb","abondance"
"hmm","Abongo"
"hoda","abonne"
"hodanje","abonnement"
"hodnik","aboon"
"hokej","aborad"
"holandski","aboral"
"holesterol","aborally"
"horizont","abord"
"hormona","Aboriginal"
"horor","aboriginality"
"hotel","aboriginally"
"hrabar","aboriginals"
"hrabrost","aboriginary"
"hram","Aborigine"
"hrana","aborigines"
"hraniti","aborigine's"
"hrast","Abor-miri"
"hronično","Aborn"
"hronika","aborning"
"hrpa","a-borning"
"humor","aborsement"
"hvala","aborsive"
"i","abort"
"i/ili","aborted"
"iako","aborter"
"idealan","aborters"
"ideja","aborticide"
"identičan","abortient"
"identifikaciju","abortifacient"
"identifikovati","abortin"
"identitet","aborting"
"ideologija","abortion"
"ideološki","abortional"
"idi","abortionist"
"idiote","abortionists"
"igla","abortions"
"ignore","abortion's"
"igra","abortive"
"igrač","abortively"
"igračka","abortiveness"
"igrati","abortogenic"
"ikada","aborts"
"ikona","abortus"
"ilegalno","abortuses"
"ili","abos"
"ilustracija","abote"
"ilustrirati","Abott"
"iluzija","abouchement"
"imati","aboudikro"
"ime","abought"
"imenovati","Aboukir"
"imigracija","aboulia"
"imigrant","aboulias"
"imovine","aboulic"
"imperija","abound"
"implementacija","abounded"
"implementirati","abounder"
"implicirati","abounding"
"implikacija","aboundingly"
"impresionirati","abounds"
"impresivno","Abourezk"
"imun","about"
"in","about-face"
"inače","about-faced"
"inat","about-facing"
"inch","abouts"
"incident","about-ship"
"incorporate","about-shipped"
"index","about-shipping"
"indijanac","about-sledge"
"indikacija","about-turn"
"indikator","above"
"inducirati","aboveboard"
"industrija","above-board"
"industrijski","above-cited"
"infekcija","abovedeck"
"inflacija","above-found"
"info","above-given"
"informacije","aboveground"
"informisati","abovementioned"
"infrastrukture","above-mentioned"
"inicijativa","above-named"
"inicirati","aboveproof"
"inovacija","above-quoted"
"inovativan","above-reported"
"insane","aboves"
"insekt","abovesaid"
"insert","above-said"
"insistirati","abovestairs"
"inspekcija","above-water"
"inspektor","above-written"
"inspiracija","abow"
"inspirisati","abox"
"instalacija","Abp"
"instalirati","ABPC"
"instance","Abqaiq"
"instant","abr"
"instinkt","abr."
"institucija","Abra"
"institucionalno","abracadabra"
"institut","abrachia"
"instrukcijski","abrachias"
"instruktor","abradable"
"instrument","abradant"
"integracija","abradants"
"integrisati","abrade"
"integritet","abraded"
"intelektualac","abrader"
"inteligencija","abraders"
"inteligentan","abrades"
"intenzitet","abrading"
"intenzivan","Abraham"
"interakcija","Abrahamic"
"interakciju","Abrahamidae"
"interes","Abrahamite"
"interfejs","Abrahamitic"
"internet","Abraham-man"
"interni","Abrahams"
"interpretacija","Abrahamsen"
"interpretirati","Abrahan"
"interval","abray"
"intervencija","abraid"
"intervju","Abram"
"intimno","Abramis"
"into","Abramo"
"invalidnost","Abrams"
"invazija","Abramson"
"inventar","Abran"
"investirati","abranchial"
"investitor","abranchialism"
"inženjer","abranchian"
"inženjering","Abranchiata"
"ipad","abranchiate"
"ipak","abranchious"
"iphone","abrasax"
"irački","abrase"
"iranski","abrased"
"ironija","abraser"
"irski","abrash"
"ishod","abrasing"
"ishrana","abrasiometer"
"isječak","abrasion"
"isključeno","abrasions"
"isključiti","abrasion's"
"isključivo","abrasive"
"iskoristiti","abrasively"
"iskra","abrasiveness"
"iskreno","abrasivenesses"
"iskusan","abrasives"
"iskustvo","abrastol"
"islam","abraum"
"islamski","abraxas"
"ispit","abrazite"
"ispitanik","abrazitic"
"ispitati","abrazo"
"ispod","abrazos"
"isporuka","abreact"
"ispravan","abreacted"
"ispravno","abreacting"
"ispuniti","abreaction"
"istaknuti","abreactions"
"istina","abreacts"
"isto","abreast"
"istočno","abreed"
"istok","abrege"
"istoričar","abreid"
"istorija","abrenounce"
"istorijski","abrenunciate"
"istovremeno","abrenunciation"
"istrage","abreption"
"istražitelj","abret"
"istražiti","abreuvoir"
"istraživač","abri"
"istraživanja","abrico"
"istraživanje","abricock"
"itd","abricot"
"its","abridgable"
"iza","abridge"
"izaberite","abridgeable"
"izabrati","abridged"
"izazov","abridgedly"
"izazovno","abridgement"
"izbjegavati","abridgements"
"izbjeglica","abridger"
"izbor","abridgers"
"izbori","abridges"
"izborni","abridging"
"izbrisati","abridgment"
"izdanje","abridgments"
"izdati","abrim"
"izdavač","abrin"
"izdavaštvo","abrine"
"izdržati","abris"
"izgled","abristle"
"izgleda","abroach"
"izgovor","abroad"
"izgradnja","Abrocoma"
"izgubiti","abrocome"
"izgubljen","abrogable"
"izjašnjavanje","abrogate"
"izjava","abrogated"
"izlaz","abrogates"
"Izlaz","abrogating"
"izliječiti","abrogation"
"izložba","abrogations"
"izloženost","abrogative"
"izložiti","abrogator"
"između","abrogators"
"iznad","Abroma"
"iznenada","Abroms"
"iznenađen","Abronia"
"iznenađenje","abrood"
"iznenađujuće","abrook"
"iznos","abrosia"
"izolacija","abrosias"
"izolirati","abrotanum"
"izostaviti","abrotin"
"izračunati","abrotine"
"izraelski","abrupt"
"izraz","abruptedly"
"izum","abrupter"
"izumiti","abruptest"
"izuzetak","abruptio"
"izvan","abruption"
"izvanredan","abruptiones"
"izvanredno","abruptly"
"izvini","abruptness"
"izvinjenje","Abrus"
"izvještaj","Abruzzi"
"izvještavanje","ABS"
"izvođač","abs-"
"izvoditi","Absa"
"izvor","Absalom"
"izvoz","absampere"
"izvršenje","Absaraka"
"izvršiti","Absaroka"
"izvršni","Absarokee"
"izvuci","absarokite"
"ja","ABSBH"
"jabuka","abscam"
"jadan","abscess"
"jahač","abscessed"
"jaje","abscesses"
"jaka","abscessing"
"jakna","abscession"
"jako","abscessroot"
"Januar","abscind"
"japanski","abscise"
"jar","abscised"
"jasno","abscises"
"jastuk","abscisin"
"javno","abscising"
"javnosti","abscisins"
"jaz","abscision"
"jazz","absciss"
"jedan","abscissa"
"jedanaest","abscissae"
"jedenje","abscissas"
"jedinica","abscissa's"
"jedinstven","abscisse"
"jedinstvo","abscissin"
"jednačina","abscission"
"jednaka","abscissions"
"jednako","absconce"
"jednakost","abscond"
"jednom","absconded"
"jednostavno","abscondedly"
"jedva","abscondence"
"jeftino","absconder"
"jelen","absconders"
"jelo","absconding"
"jer","absconds"
"jesti","absconsa"
"jet","abscoulomb"
"jetra","abscound"
"jevanđelje","Absecon"
"jevrejski","absee"
"jezero","absey"
"jezgro","abseil"
"jezik","abseiled"
"joint","abseiling"
"još","abseils"
"journal","absence"
"juče","absences"
"jug","absence's"
"jugoistočno","absent"
"jugozapadno","absentation"
"jul","absented"
"jun","absentee"
"junior","absenteeism"
"juriti","absentees"
"jutro","absentee's"
"južni","absenteeship"
"kabel","absenter"
"kabina","absenters"
"kabinet","absentia"
"kabl","absenting"
"kaciga","absently"
"kada","absentment"
"kafa","absentminded"
"kako","absent-minded"
"kalendar","absentmindedly"
"kalorija","absent-mindedly"
"kamen","absentmindedness"
"kamera","absent-mindedness"
"kamion","absentmindednesses"
"kamp","absentness"
"kampanja","absents"
"kampus","absfarad"
"kanadski","abshenry"
"kanal","Abshier"
"kandidat","Absi"
"kanta","absinth"
"kapa","absinthe"
"kapacitet","absinthes"
"kapetane","absinthial"
"kapija","absinthian"
"kapital","absinthiate"
"kapitalizam","absinthiated"
"kaput","absinthiating"
"karakter","absinthic"
"karakteristika","absinthiin"
"karakterizirati","absinthin"
"karijera","absinthine"
"kartica","absinthism"
"kašičica","absinthismic"
"kašika","absinthium"
"kasnije","absinthol"
"kašnjenje","absinthole"
"kasno","absinths"
"kat","Absyrtus"
"katastrofa","absis"
"kategorija","absist"
"katolički","absistos"
"kauboj","absit"
"kauč","absmho"
"kavez","absohm"
"kazna","absoil"
"kazniti","absolent"
"kćer","Absolute"
"kikiriki","absolutely"
"kineski","absoluteness"
"kip","absoluter"
"kiša","absolutes"
"kiselina","absolutest"
"kiseonik","absolution"
"kit","absolutions"
"klasa","absolutism"
"klasična","absolutist"
"klasifikovati","absolutista"
"klaster","absolutistic"
"klauzula","absolutistically"
"klavir","absolutists"
"klijent","absolutive"
"kliknite","absolutization"
"klima","absolutize"
"klinac","absolutory"
"klinički","absolvable"
"klinika","absolvatory"
"ključ","absolve"
"klupa","absolved"
"knjiga","absolvent"
"književni","absolver"
"književnost","absolvers"
"koalicija","absolves"
"kod","absolving"
"koga","absolvitor"
"kognitivni","absolvitory"
"koji","absonant"
"kolač","absonous"
"kolačić","absorb"
"kolaps","absorbability"
"koledž","absorbable"
"kolega","absorbance"
"kolektivno","absorbancy"
"kolektora","absorbant"
"koleno","absorbed"
"kolica","absorbedly"
"količina","absorbedness"
"kolo","absorbefacient"
"kolona","absorbency"
"kolonija","absorbencies"
"kolonijalni","absorbent"
"kolumnista","absorbents"
"komad","absorber"
"komanda","absorbers"
"komandant","absorbing"
"kombi","absorbingly"
"kombinacija","absorbition"
"kombinovano","absorbs"
"kombinovati","absorbtion"
"komedija","absorpt"
"komentar","absorptance"
"komercijalno","absorptiometer"
"komesar","absorptiometric"
"komitet","absorption"
"komora","absorptional"
"kompanija","absorptions"
"kompenzacija","absorption's"
"kompjuter","absorptive"
"kompleks","absorptively"
"komplet","absorptiveness"
"kompletan","absorptivity"
"komplikovano","absquatulate"
"komponenta","absquatulation"
"komponovati","abstain"
"kompozicija","abstained"
"kompromis","abstainer"
"komšija","abstainers"
"komunicirati","abstaining"
"komunikacija","abstainment"
"komunistički","abstains"
"konačno","abstemious"
