"Macedonian","English"
"датотека","Abyla"
"датум","abilao"
"два","Abilene"
"дваесет","abiliment"
"дванаесет","Abilyne"
"двапати","abilitable"
"двете","ability"
"движење","abilities"
"двојка","ability's"
"двојно","abilla"
"двор","abilo"
"дебата","abime"
"дебели","Abimelech"
"деби","Abineri"
"дебитант","Abingdon"
"девет","Abinger"
"девојка","Abington"
"девојче","Abinoam"
"Дедо","Abinoem"
"дејствуваат","abintestate"
"декада","abiogeneses"
"декември","abiogenesis"
"декларација","abiogenesist"
"дел","abiogenetic"
"деликатна","abiogenetical"
"делумно","abiogenetically"
"демографски","abiogeny"
"демократ","abiogenist"
"демократијата","abiogenous"
"демократски","abiology"
"демон","abiological"
"демонстрант","abiologically"
"демонстрација","abioses"
"демонстрираат","abiosis"
"ден","abiotic"
"денес","abiotical"
"депозит","abiotically"
"депресивни","abiotrophy"
"депресија","abiotrophic"
"десерт","Abipon"
"десет","Abiquiu"
"десетина","abir"
"дестинација","abirritant"
"детал","abirritate"
"детално","abirritated"
"дете","abirritating"
"детектив","abirritation"
"детството","abirritative"
"дефанзивна","abys"
"Дефинирај","Abisag"
"дефинитивно","Abisha"
"дефиниција","Abishag"
"дефицит","Abisia"
"дечко","abysm"
"диви","abysmal"
"дивината","abysmally"
"дигитален","abysms"
"дизајн","Abyss"
"дизајнер","abyssa"
"дијабетес","abyssal"
"дијагноза","abysses"
"дијагностицираат","Abyssinia"
"дијалог","Abyssinian"
"дијамант","abyssinians"
"дилер","abyssobenthonic"
"димензија","abyssolith"
"динамика","abyssopelagic"
"динамичен","abyss's"
"дипломатски","abyssus"
"дипломира","abiston"
"дипломирање","abit"
"директно","Abitibi"
"директор","Abiu"
"диск","abiuret"
"дискриминација","Abixah"
"дискурс","abject"
"дискусија","abjectedness"
"дистинкција","abjection"
"дистрибуирате","abjections"
"дистрибуција","abjective"
"дисциплина","abjectly"
"дише","abjectness"
"дишењето","abjectnesses"
"длабока","abjoint"
"длабоко","abjudge"
"длабочина","abjudged"
"дланка","abjudging"
"дневник","abjudicate"
"дневно","abjudicated"
"ДНК","abjudicating"
"дното","abjudication"
"до","abjudicator"
"доаѓање","abjugate"
"добивка","abjunct"
"добие","abjunction"
"доблест","abjunctive"
"добредојде","abjuration"
"добрина","abjurations"
"добро","abjuratory"
"доброто","abjure"
"доверба","abjured"
"доверливост","abjurement"
"доволно","abjurer"
"договор","abjurers"
"додавање","abjures"
"додадена","abjuring"
"додадете","abkar"
"додека","abkari"
"додели","abkary"
"доенче","Abkhas"
"дожд","Abkhasia"
"доза","Abkhasian"
"дозвола","Abkhaz"
"дозволи","Abkhazia"
"дојди","Abkhazian"
"доказ","abl"
"доктор","abl."
"доктрина","ablach"
"документ","ablactate"
"долар","ablactated"
"долг","ablactating"
"долго","ablactation"
"долгорочни","ablaqueate"
"должам","ablare"
"должина","A-blast"
"должност","ablastemic"
"долина","ablastin"
"дома","ablastous"
"домаќин","ablate"
"домаќинство","ablated"
"домат","ablates"
"домашни","ablating"
"домен","ablation"
"доминантна","ablations"
"доминираат","ablatitious"
"домување","ablatival"
"донатор","ablative"
"донација","ablatively"
"донекаде","ablatives"
"донесе","ablator"
"донира","ablaut"
"допаѓа","ablauts"
"допир","ablaze"
"дописник","able"
"дополнителни","able-bodied"
"дополнително","able-bodiedness"
"допрете","ableeze"
"досадно","ablegate"
"доследно","ablegates"
"доста","ablegation"
"достапни","able-minded"
"достапност","able-mindedness"
"достигнување","ablend"
"достоен","ableness"
"Достоинство","ablepharia"
"дофаќа","ablepharon"
"дофат","ablepharous"
"доц","Ablepharus"
"доцна","ablepsy"
"драма","ablepsia"
"драматичен","ableptical"
"драматично","ableptically"
"дрвено","abler"
"дрво","ables"
"држава","ablesse"
"државјанство","ablest"
"држете","ablet"
"дрога","ablewhackets"
"дропка","ably"
"друг","ablings"
"другар","ablins"
"други","ablock"
"друго","abloom"
"дупка","ablow"
"дури","ABLS"
"дух","ablude"
"духовно","abluent"
"душа","abluents"
"душо","ablush"
"ебам","ablute"
"ебате","abluted"
"евалуација","ablution"
"евентуално","ablutionary"
"евидентно","ablutions"
"еволуираат","abluvion"
"еволуција","ABM"
"еврејски","abmho"
"европски","abmhos"
"евтини","abmodality"
"егото","abmodalities"
"едвај","abn"
"еден","Abnaki"
"единаесет","Abnakis"
"единица","abnegate"
"единствена","abnegated"
"единствено","abnegates"
"единство","abnegating"
"еднакви","abnegation"
"еднаквост","abnegations"
"еднаш","abnegative"
"едноставно","abnegator"
"едукативни","abnegators"
"едуцираат","Abner"
"езеро","abnerval"
"езерцето","abnet"
"еј","abneural"
"еквивалент","abnormal"
"екипажот","abnormalcy"
"еколошки","abnormalcies"
"Економија","abnormalise"
"економијата","abnormalised"
"економист","abnormalising"
"економски","abnormalism"
"екосистем","abnormalist"
"екран","abnormality"
"ексклузивен","abnormalities"
"експеримент","abnormalize"
"експериментален","abnormalized"
"експерт","abnormalizing"
"експертиза","abnormally"
"експлицитна","abnormalness"
"експлицитно","abnormals"
"експлоатираат","abnormity"
"експлодираат","abnormities"
"експлозија","abnormous"
"екстра","abnumerable"
"екстракт","Abo"
"екстремен","aboard"
"екстремитет","aboardage"
"елегантен","Abobra"
"електрични","abococket"
"електронски","abodah"
"елемент","abode"
"елементарен","aboded"
"елен","abodement"
"елиминира","abodes"
"елита","abode's"
"емисија","abody"
"емитување","aboding"
"емотивно","abogado"
"емоција","abogados"
"емоционална","abohm"
"енергија","abohms"
"ентитет","aboideau"
"ентузијазам","aboideaus"
"епизода","aboideaux"
"епископ","aboil"
"е-пошта","aboiteau"
"ера","aboiteaus"
"есеј","aboiteaux"
"етика","abolete"
"етикета","abolish"
"етички","abolishable"
"етнички","abolished"
"ефект","abolisher"
"ефективни","abolishers"
"ефективно","abolishes"
"ефективноста","abolishing"
"ефикасна","abolishment"
"ефикасност","abolishments"
"ех","abolishment's"
"ехо","abolition"
"жалба","abolitionary"
"жалење","abolitionise"
"жанр","abolitionised"
"желба","abolitionising"
"железница","abolitionism"
"железо","abolitionist"
"желка","abolitionists"
"желни","abolitionize"
"жена","abolitionized"
"женски","abolitionizing"
"жешко","abolitions"
"жив","abolla"
"живеалиште","abollae"
"живеење","aboma"
"животно","abomas"
"животот","abomasa"
"жирито","abomasal"
"жител","abomasi"
"жито","abomasum"
"жица","abomasus"
"жолта","abomasusi"
"жртва","A-bomb"
"за","abominability"
"заб","abominable"
"забава","abominableness"
"Забава","abominably"
"забелешка","abominate"
"Забелешка","abominated"
"заболување","abominates"
"заборави","abominating"
"забрана","abomination"
"забрани","abominations"
"завеса","abominator"
"зависат","abominators"
"зависни","abomine"
"зависност","abondance"
"завиткајте","Abongo"
"завртка","abonne"
"заврши","abonnement"
"завршување","aboon"
"загадувањето","aborad"
"загатка","aboral"
"заговор","aborally"
"загрижени","abord"
"загриженост","Aboriginal"
"загуба","aboriginality"
"задача","aboriginally"
"задебелен","aboriginals"
"задник","aboriginary"
"задоволен","Aborigine"
"задоволство","aborigines"
"задоволува","aborigine's"
"задржат","Abor-miri"
"задржи","Aborn"
"заедница","aborning"
"заеднички","a-borning"
"заедно","aborsement"
"заем","aborsive"
"заземаат","abort"
"заинтересирани","aborted"
"зајакне","aborter"
"зајакот","aborters"
"зајдисонце","aborticide"
"закана","abortient"
"заклучи","abortifacient"
"заклучок","abortin"
"заклучување","aborting"
"закон","abortion"
"законодавна","abortional"
"законодавството","abortionist"
"законски","abortionists"
"закопа","abortions"
"закрепнување","abortion's"
"залак","abortive"
"залив","abortively"
"заливот","abortiveness"
"залог","abortogenic"
"заложник","aborts"
"замав","abortus"
"замена","abortuses"
"замени","abos"
"заменик","abote"
"заминување","Abott"
"замисли","abouchement"
"замокот","aboudikro"
"замрзнати","abought"
"замрзнете","Aboukir"
"занает","aboulia"
"занимање","aboulias"
"запад","aboulic"
"западна","abound"
"заплени","abounded"
"заплет","abounder"
"запомнете","abounding"
"започне","aboundingly"
"започнете","abounds"
"запре","Abourezk"
"заработи","about"
"заработка","about-face"
"засегнати","about-faced"
"засекогаш","about-facing"
"засили","abouts"
"заслуги","about-ship"
"заслужуваат","about-shipped"
"засолниште","about-shipping"
"заспана","about-sledge"
"засрамен","about-turn"
"застапеност","above"
"застапник","aboveboard"
"застрелан","above-board"
"затвор","above-cited"
"затворена","abovedeck"
"затвореник","above-found"
"затвори","above-given"
"затоа","aboveground"
"затоплување","abovementioned"
"зафат","above-mentioned"
"зафатен","above-named"
"зачне","aboveproof"
"зачнувањето","above-quoted"
"зачувај","above-reported"
"зачувува","aboves"
"зачудувачки","abovesaid"
"заштита","above-said"
"заштити","abovestairs"
"заштитни","above-water"
"збогум","above-written"
"збор","abow"
"зборуваат","abox"
"зборување","Abp"
"збуни","ABPC"
"звук","Abqaiq"
"звучник","abr"
"зглоб","abr."
"згоден","Abra"
"зголемена","abracadabra"
"зголемување","abrachia"
"зграда","abrachias"
"зграпчи","abradable"
"згрижувачки","abradant"
"здив","abradants"
"здолниште","abrade"
"здрав","abraded"
"здравје","abrader"
"здраво","abraders"
"Здраво","abrades"
"здроби","abrading"
"зелена","Abraham"
"зеленчук","Abrahamic"
"земам","Abrahamidae"
"земете","Abrahamite"
"земја","Abrahamitic"
"земјата","Abraham-man"
"земјиште","Abrahams"
"земјоделец","Abrahamsen"
"земјоделски","Abrahan"
"земјоделството","abray"
"земјотрес","abraid"
"зима","Abram"
"зјапа","Abramis"
"златна","Abramo"
"злато","Abrams"
"злото","Abramson"
"злоупотреба","Abran"
"змеј","abranchial"
"змија","abranchialism"
"знае","abranchian"
"знаење","Abranchiata"
"знак","abranchiate"
"знаме","abranchious"
"значајни","abrasax"
"значајно","abrase"
"значење","abrased"
"значи","abraser"
"значителен","abrash"
"значително","abrasing"
"зона","abrasiometer"
"зората","abrasion"
"зошто","abrasions"
"зрак","abrasion's"
"ѕвезда","abrasive"
"ѕвер","abrasively"
"ѕвонче","abrasiveness"
"ѕид","abrasivenesses"
"и","abrasives"
"и/или","abrastol"
"иако","abraum"
"игла","abraxas"
"игнорирај","abrazite"
"игра","abrazitic"
"играјте","abrazo"
"играч","abrazos"
"играчка","abreact"
"идеален","abreacted"
"идеја","abreacting"
"идентитет","abreaction"
"идентификација","abreactions"
"идентификуваат","abreacts"
"идентични","abreast"
"идеологијата","abreed"
"идеолошки","abrege"
"идиот","abreid"
"иднината","abrenounce"
"избегнувајте","abrenunciate"
"изберете","abrenunciation"
"избираат","abreption"
"избледуваат","abret"
"избор","abreuvoir"
"изборен","abri"
"избори","abrico"
"избришете","abricock"
"избриши","abricot"
"изведат","abridgable"
"изведба","abridge"
"изведуваат","abridgeable"
"изведувач","abridged"
"известување","abridgedly"
"известувач","abridgement"
"извештај","abridgements"
"извидник","abridger"
"извини","abridgers"
"извинување","abridges"
"извоз","abridging"
"извонреден","abridgment"
"извонредна","abridgments"
"извор","abrim"
"изврши","abrin"
"извршна","abrine"
"извршување","abris"
"изглед","abristle"
"изгледа","abroach"
"изговор","abroad"
"изгори","Abrocoma"
"изгради","abrocome"
"изгубени","abrogable"
"изгуби","abrogate"
"издавач","abrogated"
"издание","abrogates"
"издлаби","abrogating"
"издржи","abrogation"
"изјава","abrogations"
"изјавуваат","abrogative"
"излез","abrogator"
"изложба","abrogators"
"изложеност","Abroma"
"изложуваат","Abroms"
"измама","Abronia"
"измамник","abrood"
"измени","abrook"
"измери","abrosia"
"измет","abrosias"
"измешајте","abrotanum"
"измешани","abrotin"
"измисли","abrotine"
"изнајмување","abrupt"
"изневерува","abruptedly"
"изненаден","abrupter"
"изненадување","abruptest"
"изненадувачки","abruptio"
"износ","abruption"
"изолација","abruptiones"
"изолираат","abruptly"
"израелски","abruptness"
"изразуваат","Abrus"
"изразување","Abruzzi"
"изрод","ABS"
"изум","abs-"
"икона","Absa"
"или","Absalom"
"илјада","absampere"
"илузија","Absaraka"
"илустрација","Absaroka"
"илустрираат","Absarokee"
"имаат","absarokite"
"имагинација","ABSBH"
"име","abscam"
"имигрант","abscess"
"имиграција","abscessed"
"имот","abscesses"
"империја","abscessing"
"имплементација","abscession"
"импликација","abscessroot"
"имплицираат","abscind"
"импресивно","abscise"
"импресионира","abscised"
"имуни","abscises"
"инает","abscisin"
"инвазија","abscising"
"инвалидност","abscisins"
"инвентар","abscision"
"инвестираат","absciss"
"инвеститор","abscissa"
"инвестиција","abscissae"
"индекс","abscissas"
"индивидуална","abscissa's"
"индикатор","abscisse"
"индикација","abscissin"
"индиски","abscission"
"индустријата","abscissions"
"индустриски","absconce"
"инженер","abscond"
"инженеринг","absconded"
"иницијатива","abscondedly"
"иницираат","abscondence"
"инкорпорираат","absconder"
"иновативни","absconders"
"иновации","absconding"
"инсект","absconds"
"инсистираат","absconsa"
"инспектор","abscoulomb"
"инспекција","abscound"
"инспирација","Absecon"
"инспирира","absee"
"инсталација","absey"
"инсталирај","abseil"
"инстант","abseiled"
"инстинкт","abseiling"
"институт","abseils"
"институција","absence"
"институционална","absences"
"инструктор","absence's"
"инструкција","absent"
"инструмент","absentation"
"интеграција","absented"
"интегрираат","absentee"
"интегритет","absenteeism"
"интелектуална","absentees"
"интелигентни","absentee's"
"интелигенција","absenteeship"
"интензивна","absenter"
"интензитет","absenters"
"интеракција","absentia"
"интервал","absenting"
"интервенција","absently"
"интервју","absentment"
"интерес","absentminded"
"интересен","absent-minded"
"интернет","absentmindedly"
"интерфејс","absent-mindedly"
"интимно","absentmindedness"
"инфекција","absent-mindedness"
"инфлација","absentmindednesses"
"инфо","absentness"
"информации","absents"
"информираат","absfarad"
"инфраструктура","abshenry"
"инцидент","Abshier"
"инчи","Absi"
"ирански","absinth"
"ирачки","absinthe"
"иронија","absinthes"
"ирски","absinthial"
"исецка","absinthian"
"исклучен","absinthiate"
"исклучиво","absinthiated"
"исклучително","absinthiating"
"исклучок","absinthic"
"исклучува","absinthiin"
"искра","absinthin"
"искраде","absinthine"
"искрвари","absinthism"
"искрен","absinthismic"
"искрено","absinthium"
"искусни","absinthol"
"Искуство","absinthole"
"исламот","absinths"
"исламски","Absyrtus"
"иследник","absis"
"испит","absist"
"испитаник","absistos"
"испитува","absit"
"испитување","absmho"
"исплашен","absohm"
"исплаши","absoil"
"испорака","absolent"
"испорача","Absolute"
"испрати","absolutely"
"испушти","absoluteness"
"истакнати","absoluter"
"истекување","absolutes"
"исто","absolutest"
"истовремено","absolution"
"исток","absolutions"
"историја","absolutism"
"историски","absolutist"
"историчар","absolutista"
"источна","absolutistic"
"истрага","absolutistically"
"Истражува","absolutists"
"истражуваат","absolutive"
"истражување","absolutization"
"истражувач","absolutize"
"истурете","absolutory"
"истури","absolvable"
"исходот","absolvatory"
"исхрана","absolve"
"исцеди","absolved"
"исцели","absolvent"
"исчезнати","absolver"
"исчезне","absolvers"
"италијански","absolves"
"итн","absolving"
"јаболко","absolvitor"
"јавач","absolvitory"
"јавен","absonant"
"јавно","absonous"
"јаглен","absorb"
"јаглерод","absorbability"
"јадење","absorbable"
"јадете","absorbance"
"јадро","absorbancy"
"јаже","absorbant"
"јаз","absorbed"
"јазик","absorbedly"
"јазикот","absorbedness"
"јајце","absorbefacient"
"јака","absorbency"
"јакна","absorbencies"
"јама","absorbent"
"јамка","absorbents"
"јануари","absorber"
"јапонски","absorbers"
"јас","absorbing"
"јасно","absorbingly"
"југ","absorbition"
"југозапад","absorbs"
"југоисточен","absorbtion"
"јужна","absorpt"
"јули","absorptance"
"јуни","absorptiometer"
"јурисдикција","absorptiometric"
"кабел","absorption"
"кабелот","absorptional"
"кабина","absorptions"
"кабинет","absorption's"
"каде","absorptive"
"кажи","absorptively"
"казино","absorptiveness"
"казна","absorptivity"
"казнуваат","absquatulate"
"како","absquatulation"
"кал","abstain"
"календар","abstained"
"калории","abstainer"
"камен","abstainers"
"камера","abstaining"
"камион","abstainment"
"кампања","abstains"
"кампот","abstemious"
"кампусот","abstemiously"
"камшик","abstemiousness"
"канадски","abstention"
"канал","abstentionism"
"кандидат","abstentionist"
"канцеларија","abstentions"
"капа","abstentious"
"капацитет","absterge"
"капетан","absterged"
"капитал","abstergent"
"капитализмот","absterges"
"капка","absterging"
