"Azerbaijani","English"
"absorbsiyaedici","absorptive"
"abstinensiya","abstinence"
"abstraksionizm","abstractionism"
"abstraksiya","abstraction"
"abstrakt","abstract"
"abstraktlaşdırılma","being abstracted"
"abstraktlaşdırılmaq","be abstracted"
"abstraktlaşdırma","abstraction"
"abstraktlaşdırmaq","abstract"
"abstraktlaşma","abstraction process"
"abstraktlaşmaq","become abstract"
"abstraktlıq","abstractness"
"absurd","absurd"
"absurdluq","absurdity"
"abuliya","abulia"
"abunə","subscription"
"abunəçi","subscriber"
"abzas","paragraph"
"abzaslama","paragraphing"
"abzaslamaq","paragraph"
"abzaslanma","being paragraphed"
"abzaslanmaq","be paragraphed"
"ac","hungry"
"acar","key"
"acarca","like a key"
"acdırma","causing hunger"
"acdırmaq","make hungry"
"acgödən","greedy person"
"acgözacgözcəsinə","greedily"
"acgözlük","greed"
"acı","bitter"
"acıağacı","bitter tree"
"acıbaldırğan","hemlock"
"acıbiyan","stinging nettle"
"acıca","bitterly"
"acıçiçək","bitter flower"
"acıdil","sharp-tongued"
"acıdilli","sharp-tongued"
"acıdillilik","sharp-tonguedness"
"acıxəmrə","bitter dough"
"acıq","angry"
"acıqca","angrily"
"acıqıcı","irritating"
"acıqlandırma","irritation"
"acıqlandırmaq","irritate"
"acıqlanma","being irritated"
"acıqlanmaq","become irritated"
"acıqlı","angry"
"acıqlılıq","anger"
"acıquşəppəyi","bitter rose"
"acılama","bittering"
"acılamaq","become bitter"
"acılandırma","causing bitterness"
"acılandırmaq","make bitter"
"acılanma","being embittered"
"acılanmaq","become embittered"
"acılaşdırma","bittering"
"acılaşdırmaq","make bitter"
"acılaşma","bittering process"
"acılaşmaq","become bitter"
"acılatma","causing bitterness"
"acılatmaq","make bitter"
"acılıca","bitterly"
"acılıq","bitterness"
"acılıqotu","bitter herb"
"acıma","pity"
"acımaq","pity"
"acımsov","bitterish"
"acımtıl","bitterish"
"acımtıllıq","bitterishness"
"acınacaq","pitiful"
"acınacaqlı","pitiful"
"acındırıcı","pitiful"
"acındırma","pitying"
"acındırmaq","cause pity"
"acınma","being pitied"
"acınmaq","be pitied"
"acıotu","bitter herb"
"acıpaxla","bitter pea"
"acıpaxlalı","with bitter peas"
"acıpencər","open window"
"acıpencərli","with open window"
"acışdırıcı","irritating"
"acışdırma","irritation"
"acışdırmaq","irritate"
"acışma","feeling hungry"
"acışmaq","feel hungry"
"acıtəhər","carelessly"
"acıtərə","careless"
"acıtərəli","careless"
"acıtərəsiz","careful"
"acıtma","causing pain"
"acıtmaq","cause pain"
"acıtmalı","painful"
"acıtmalıq","painfulness"
"acıtmasız","painless"
"acıyonca","bitter wormwood"
"acıyovşan","bitter wormwood"
"acika","ajika"
"aciz","helpless"
"acizanə","helplessly"
"acizcə","helplessly"
"acizcəsinə","helplessly"
"acizlənmə","becoming helpless"
"acizlənmək","become helpless"
"acizləşdirmə","making helpless"
"acizləşdirmək","make helpless"
"acizləşmə","becoming helpless"
"acizləşmək","become helpless"
"acizlik","helplessness"
"acqalma","starvation"
"acqarına","on an empty stomach"
"acqursaq","hungry"
"acqursaqlıq","hunger"
"aclıq","hunger"
"acma","opening"
"acmaq","open"
"açar","key"
"açarçı","locksmith"
"açarçılıq","locksmithing"
"açarqayıran","key cutter"
"açarlama","keying"
"açarlamaq","key"
"açarlanma","being keyed"
"açarlanmaq","be keyed"
"açarlı","with key"
"açarsız","without key"
"açdırılmaaçdırılmaq","causing to be opened"
"açdırma","causing to open"
"açdırmaq","cause to open"
"açdırtma","causing to open"
"açdırtmaq","cause to open"
"açıcı","opener"
"açıq","open"
"açıqbəniz","open forehead"
"açıqbənizli","with open forehead"
"açıqbənizlik","open forehead quality"
"açıqca","openly"
"açıqcasına","openly"
"açıqça","openly"
"açıqdan","openly"
"açıqfikirli","open-minded"
"açıqfikirlilik","open-mindedness"
"açıqgözaçıqgözlü","sharp-eyed"
"açıqgözlülük","sharp-eyedness"
"açıqqəlbli","open-hearted"
"açıqlama","explanation"
"açıqlamaq","explain"
"açıqlanma","being explained"
"açıqlanmaq","be explained"
"açıqlıq","openness"
"açıqraq","more open"
"açıqrəngli","light-colored"
"açıqtəhər","carelessly"
"açıqürək","open-hearted"
"açıqürəkli","open-hearted"
"açıqürəklilik","open-heartedness"
"açılıqalmaq","stay open"
"açılım","opening"
"açılımlı","with opening"
"açılış","opening"
"açılışma","opening ceremony"
"açılışmaq","be opened"
"açılma","opening"
"açılmaq","open"
"açılmaz","unopenable"
"açılsabah","open morning"
"açım","opening"
"açırım","opening"
"açış","opening"
"açma","opening"
"açmaq","open"
"ad","name"
"ada","island"
"adacıq","small island"
"adaçayı","sage"
"adadovşanı","island rabbit"
"adaətrafı","island surroundings"
"adax","bride"
"adaxlama","nominating"
"adaxlamaq","nominate"
"adaxlandırma","nomination"
"adaxlandırmaq","nominate"
"adaxlanma","being nominated"
"adaxlanmaq","be nominated"
"adaxlı","with bride"
"adaxlıbazlıq","bridal quality"
"adaxlılıq","bridal state"
"adaiçi","island interior"
"adajio","adagio"
"adaq","nomination"
"adalı","islander"
"adam","man"
"adamağladan","tearful"
"adamaldadan","deceptive"
"adamaoxşamaz","inhuman"
"qızılyunlu","golden fleece"
"qızılzanbaq","golden lily"
"qızındırma","incitement"
"qızındırmaq","incite"
"qızınma","heating"
"qızınmaq","heat"
"qızırqalama","agitation"
"qızırqalamaq","agitate"
"qızırqalanma","being agitated"
"qızırqalanmaq","be agitated"
"qızırqama","provocation"
"qızırqamaq","provoke"
"qızırqanmaqızırqanmaq","be provoked"
"qızışdırıcı","stimulating"
"qızışdırıcılıq","stimulation"
"qızışdırılma","being stimulated"
"qızışdırılmaq","be stimulated"
"qızışdırma","stimulation"
"qızışdırmaq","stimulate"
"qızışqan","jealous"
"qızışqanlıq","jealousy"
"qızışma","heating"
"qızışmaq","heat up"
"qızqarğası","girl crow"
"qızquşu","girl bird"
"qızlarağası","girls' leader"
"qızlarquşu","girls' bird"
"qızlıq","virginity"
"qızma","fever"
"qızmaq","become hot"
"qızmar","hot"
"qızmarlıq","hotness"
"qiblə","qibla"
"qibləgah","qibla place"
"qibtə","envy"
"qibtəedici","enviable"
"qibtəedilməz","unenviable"
"qibti","Copt"
"qida","food"
"qidalandırıcı","nourishing"
"qidalandırılma","being nourished"
"qidalandırılmaq","be nourished"
"qidalandırma","nourishment"
"qidalandırmaq","nourish"
"qidalanma","feeding"
"qidalanmaq","feed"
"qidalı","nutritious"
"qidalılıq","nutritiousness"
"qidasızqidasızlıq","malnutrition"
"qidaverici","nutrient"
"qidavermə","feeding"
"qiraət","recitation"
"qiraətçi","reciter"
"qiraətxana","recitation room"
"qiraətxanaçı","recitation room worker"
"qisas","retribution"
"qisasçı","avenger"
"qisasçılıq","vengeance"
"qisim","part"
"qismən","partially"
"qismət","fate"
"qismətli","lucky"
"qismətsiz","unlucky"
"qismətsizlik","unluckiness"
"qissə","story"
"qissəxan","storyteller"
"qişa","membrane"
"qişalı","with membrane"
"qişasız","without membrane"
"qişaaltı","submembrane"
"qişaüstü","supramembrane"
"qitə","continent"
"qitəaşırı","intercontinental"
"qitədaxili","intracontinental"
"qitələrarası","intercontinental"
"qiyabi","absentee"
"qiyabiçi","absentee worker"
"qiyabilik","absence"
"qiyafə","appearance"
"qiyafəli","with appearance"
"qiyafəsiz","without appearance"
"qiyafət","figure"
"qiyafətli","with figure"
"qiyaq","brave"
"qiyal","brave"
"qiyam","revolt"
"qiyamçı","rebel"
"qiyamçılıq","rebellion"
"qiyamət","apocalypse"
"qiymə","value"
"qiyməbalıq","valued fish"
"qiyməçəkmə","evaluation"
"qiyməçığırtma","price shouting"
"qiyməxəngəl","price deception"
"qiyməkeş","evaluator"
"qiyməqovurma","price chasing"
"qiymələmə","valuation"
"qiymələmək","value"
"qiymələndirmə","assessment"
"qiymələndirmək","assess"
"qiymələnmə","being valued"
"qiymələnmək","be valued"
"qiymələtmə","valuation"
"qiymələtmək","value"
"qiyməli","valuable"
"qiyməlik","valuableness"
"qiyməplov","price increase"
"qiymət","price"
"qiymətdəndüşmə","price drop"
"qiymətəminmə","price assurance"
"qiymətkəsən","price cutter"
"qiymətkəsmə","price cutting"
"qiymətqoyan","price setter"
"qiymətqoyma","price setting"
"qiymətləndirici","appraiser"
"qiymətləndirilmə","being appraised"
"qiymətləndirilmək","be appraised"
"qiymətləndirmə","appraisal"
"qiymətləndirmək","appraise"
"qiymətlənmə","being evaluated"
"qiymətlənmək","be evaluated"
"qiymətləşmə","valuation"
"qiymətləşmək","become valuable"
"qiymətlətdirmə","causing valuation"
"qiymətlətdirmək","cause to value"
"qiymətli","precious"
"qiymətsiz","worthless"
"qiymətsizləşdirilmə","being devalued"
"qiymətsizləşdirilmək","be devalued"
"qiymətsizləşdirmə","devaluation"
"qiymətsizləşdirmək","devalue"
"qiymətsizləşmə","devaluation"
"qiymətsizləşmək","become worthless"
"qiymətsizlik","worthlessness"
"qiymətşünas","connoisseur"
"qiymətverən","valuer"
"qiymətverici","valuating"
"qiymətvermə","valuation"
"qladiator","gladiator"
"qladiatorluq","gladiatorism"
"qladiolus","gladiolus"
"qlaqolisa","glagolitsa"
"qlamur","glamour"
"qlasial","glacial"
"qlasiologiya","glaciology"
"qlasioloq","glaciologist"
"qlaukodod","glaucodot"
"qlaukofan","glaucophane"
"qlaukoma","glaucoma"
"qlaukomalı","with glaucoma"
"qlaukonit","glaukonite"
"qlaukonitli","with glauconite"
"qlaukopirit","glaucopyrite"
"qlikol","glycol"
"qlikoldinitrat","glycoldinitrate"
"qlikoliz","glycolysis"
"qlikoprotein","glycoprotein"
"qlipt","glyph"
"qliptika","glyptika"
"qliptoteka","glyptotheca"
"qliserid","glyceride"
"qliserin","glycerin"
"qliserinli","with glycerin"
"qlisin","glycine"
"qlisserqlobal","global glycerol"
"qlobalizasiya","globalization"
"qloballaşdırma","globalization"
"qloballaşdırmaq","globalize"
"qloballaşma","globalization process"
"qloballaşmaq","become global"
"qloballıq","globality"
"qlobigerin","globigerin"
"qlobigerinli","with globigerin"
"qlobulin","globulin"
"qlobulyar","globular"
"qlobus","globe"
"qlobusabənzər","globe-like"
"qlobuslu","with globe"
"qlobusşəkilli","globe-shaped"
"qlobusvari","globular"
"qloksiniya","gloxinia"
"qlossa","gloss"
"qlossari","glossary"
"qlossem","glosseme"
"qlossematikməktəb","glossematic school"
"qlossematika","glossematics"
"qlossolaliya","glossolalia"
"qlossologiya","glossology"
"qlottal","glottal"
"qlottis","glottis"
"qlottogenez","glottogenesis"
"qlottoxronologiya","glottochronology"
"qlottoqonik","glottochronic"
"qlottoqoniya","glottochrony"
"qlutamin","glutamine"
"qlutation","glutathione"
"qlükoza","glucose"
"qlükozid","glucoside"
"qlükozuriya","glucosuria"
"qlyasiologiya","glaciology"
"qlyasioloji","glaciological"
"qlyasioloq","glaciologist"
"qneseologiya","gnoseology"
"qneseoloji","gnoseological"
"qnostik","gnostic"
"qnostisizm","gnosticism"
"qnoziofobiya","gnosiophobia"
"qnu","gnu"
"qobelen","gobelin"
"qobelençi","gobelin maker"
"qoboy","goboy"
"qoboyçu","goboy player"
"qobu","hunchback"
"qobulu","hunchbacked"
"qobuluq","hunchback condition"
"qobur","hump"
"qoburlu","with hump"
"qobursuz","without hump"
"qobustan","Gobustan"
"qoca","old"
"qocafəndi","old gentleman"
"qocalaşdırma","aging"
"qocalaşdırmaq","age"
"qocalaşma","aging process"
"qocalaşmaq","grow old"
"qocalıq","old age"
"qocalma","aging"
"qocalmaq","grow old"
"qocaltma","causing to age"
"qocaltmaq","make old"
"qocaman","elderly"
"qocasayağı","old-fashioned"
"qocasayaq","old-fashioned"
"qocayana","old woman"
"qocayemişi","old fruit"
"qocayerişi","old place"
"qoç","ram"
"qoçaq","brave"
"qoçaqcasına","bravely"
"qoçaqlanma","becoming brave"
"qoçaqlanmaq","become brave"
"qoçaqlaşmaqoçaqlaşmaq","become braver"
"qoçaqlıq","bravery"
"qoçbaşı","ram head"
"qoçbaz","ram enthusiast"
"qoçbazlıq","ram enthusiasm"
"qoçbuynuz","ram horn"
"qoçbuynuzu","ram horn"
"qoçluq","ram quality"
"qoçu","brave man"
"qoçubaşı","brave leader"
"qoçubazlıq","brave enthusiasm"
"qoçuluq","bravery"
"qoduq","well"
"qoduqlama","well digging"
"qoduqlamaq","dig a well"
"qoduqlanma","being dug as a well"
"qoduqlanmaq","be dug as a well"
"qoduqluq","well condition"
"qoğal","roll"
"qoğalbişirən","roll baker"
"qohum","relative"
"qohumarası","interrelative"
"qohumbaz","relative enthusiast"
"qohumbazlıq","relative enthusiasm"
"qohumcanlı","related soul"
"qohumcanlılıq","related soul quality"
"qohumlaşdırma","relating"
"qohumlaşdırmaq","make related"
"qohumlaşma","becoming related"
"qohumlaşmaq","become related"
"qohumlu","with relatives"
"qohumluq","relationship"
