"Thai","English"
"ซึ่งเกี่ยวข้องกับเสียง","Abbasid"
"กระบวนการทางคณิตศาสตร์","abbassi"
"โครมาโทกราฟีแบบคอลัมน์","Abbassid"
"การประกอบขึ้นเป็นหน่วย","Abbasside"
"สารละลายฟอสเฟตบัฟเฟอร์","Abbate"
"สิ่งที่เหมือนดวงจันทร์","abbatial"
"ปรากฏการณ์น้ำขึ้นน้ำลง","abbatical"
"การประกาศอย่างหนักแน่น","abbatie"
"การจ่ายเงินเรียกค่าไถ่","Abbe"
"การตั้งชื่อสิ่งมีชีวิต","Abbey"
"ที่เติบโตในดินเป็นด่าง","abbeys"
"เขตการปกครองของเจ้าคณะ","abbey's"
"ผู้เป็นกลางทางการเมือง","abbeystead"
"การทำธุรกรรมทางการเงิน","abbeystede"
"สัญลักษณ์แบบเลขยกกำลัง","abbes"
"คอมพิวเตอร์แบบตั้งโต๊ะ","abbess"
"สารประกอบโคออร์ดิเนชัน","abbesses"
"ที่เป็นหมวดสิ่งมีชีวิต","abbest"
"การดูแลรักษามือและเล็บ","Abbevilean"
"เจ้าชายแห่งราชวงศ์ซาร์","Abbeville"
"กลุ่มที่ได้รับคัดเลือก","Abbevillian"
"วันเลี้ยงขอบคุณพระเจ้า","Abbi"
"กลุ่มที่มียี่สิบสมาชิก","Abby"
"ความสามารถในการปรับตัว","Abbie"
"การทำให้เป็นอุตสาหกรรม","Abbye"
"เข้าร่วมพิธีศีลมหาสนิท","Abbyville"
"บุคคลอันเป็นที่รักยิ่ง","abboccato"
"ผู้เชียวชาญเศรษฐศาสตร์","abbogada"
"เล่นเป็นควอร์เตอร์แบ็ก","Abbot"
"เครื่องคอมพิวเตอร์เสีย","abbotcy"
"ความสนุกสนานเพลิดเพลิน","abbotcies"
"ตู้ลิ้นชักใส่เสื้อผ้า","abbotnullius"
"พื้นที่ราบบนดวงจันทร์","abbotric"
"ภาคตะวันออกเฉียงเหนือ","abbots"
"อาการกล้ามเนื้อกระตุก","abbot's"
"กลไกในการป้องกันตนเอง","Abbotsen"
"ธุรกิจรับเหมาก่อสร้าง","Abbotsford"
"สมาชิกพรรคคอมมิวนิสต์","abbotship"
"แลกเปลี่ยนความคิดเห็น","abbotships"
"การกระทำซึ่งกันและกัน","Abbotson"
"ความเชื่อมั่นในตัวเอง","Abbotsun"
"เขตสงวนพันธุ์สัตว์ป่า","Abbott"
"อย่างเป็นที่เข้าใจได้","Abbottson"
"การขับร้องประสานเสียง","Abbottstown"
"เครื่องรับประทานอาหาร","Abboud"
"ซึ่งกินเนื้อเป็นอาหาร","abbozzo"
"ความผิดปกติในการทำงาน","ABBR"
"งานที่เขียนด้วยลายมือ","abbrev"
"เครื่องหมายอะโพสโทรฟี","abbreviatable"
"บันไดขึ้นลงเครื่องบิน","abbreviate"
"จำนวนที่นับได้ทั้งหมด","abbreviated"
"ซึ่งไม่เปลี่ยนจากเดิม","abbreviately"
"การใช้ให้เป็นประโยชน์","abbreviates"
"ทำให้ถูกต้องตามกฎหมาย","abbreviating"
"แผลชนิดเนื้อปูดขึ้นมา","abbreviation"
"การฟื้นคืนสู่สภาพปกติ","abbreviations"
"ข้อเสนอแนะที่มีเหตุผล","abbreviator"
"สถานพักฟื้นผู้สูงอายุ","abbreviatory"
"ที่ปกครองระบบกษัตริย์","abbreviators"
"รอยเลื่อนของเปลือกโลก","abbreviature"
"อะซีทิลซาลิไซลิกแอซิด","abbroachment"
"เลียบคลองผดุงกรุงเกษม","ABC"
"อาการปวดจากความเครียด","abcess"
"ร้านขายเสื้อผ้าผู้ชาย","abcissa"
"การสร้างความประหลาดใจ","abcoulomb"
"ใช้ในความหมายเดียวกัน","ABCs"
"ความรู้สึกที่เกิดขึ้น","abd"
"ซึ่งไม่เตรียมล่วงหน้า","abdal"
"ทางเดินระหว่างที่นั่ง","abdali"
"ตั้งชื่อในพิธีล้างบาป","abdaria"
"อย่างเป็นรอยแตกแยกลึก","abdat"
"เครื่องฉายภาพและเสียง","Abdel"
"สามเหลี่ยมเบอร์มิวด้า","Abd-el-Kadir"
"ค่าธรรมเนียมในการเข้า","Abd-el-Krim"
"ที่ไม่เกรงกลัวอันตราย","Abdella"
"รัฐสภาของสหรัฐอเมริกา","Abderhalden"
"สถานีสับเปลี่ยนขบวนรถ","Abderian"
"การระริกของกล้ามเนื้อ","Abderite"
"เทคโนโลยีชีวภาพศาสตร์","Abderus"
"มอลเดเวียพรีดเนสโตรวี","abdest"
"องค์คณะผู้ปกครองสามคน","Abdias"
"ที่ไม่เป็นประชาธิปไตย","abdicable"
"ให้อาหารผ่านเส้นเลือด","abdicant"
"เป็นคนแรกและคนสุดท้าย","abdicate"
"ผู้เชี่ยวชาญเฉพาะด้าน","abdicated"
"หนังสือเรื่องยูโทเปีย","abdicates"
"แบบเกี่ยวเอาแต่ยอดนาน","abdicating"
"สิ่งมีชีวิตที่กินแมลง","abdication"
"ร่างที่ปราศจากลมหายใจ","abdications"
"เข้าแบบไม่ได้่รับเชิญ","abdicative"
"เปลี่ยนแปลงตัวเองเป็น","abdicator"
"คณะนักร้องประสานเสียง","Abdiel"
"คันชักไม้แขวนไมโครโฟน","abditive"
"ความเข้มของคลื่นวิทยุ","abditory"
"คนพื้นเมืองอินเดียแดง","abdom"
"การเสด็จมาครั้งที่สอง","abdomen"
"การนับถืออย่างแรงกล้า","abdomens"
"ซึ่งไม่มีอารมณ์ทางเพศ","abdomen's"
"ปีนขึ้นอย่างทุลักทุเล","abdomina"
"พ่อครัวทำอาหารในฟาร์ม","abdominal"
"ความผิดปกติของร่างกาย","Abdominales"
"ความรู้สึกเป็นปรปักษ์","abdominalia"
"เนการาบรูไนดารุสซาลาม","abdominalian"
"ติดตั้งระบบระบายอากาศ","abdominally"
"พวกเอ็กซ์เพรสชันนิสม์","abdominals"
"ประกอบเป็นรูปเป็นร่าง","abdominoanterior"
"การทดสอบระดับสติปัญญา","abdominocardiac"
"ความสัมพันธ์ทางธุรกิจ","abdominocentesis"
"ปฏิเสธอย่างเป็นทางการ","abdominocystic"
"การแข่งขันรอบเพลย์ออฟ","abdominogenital"
"ประกาศอย่างเป็นทางการ","abdominohysterectomy"
"การขาดออกซิเจนในเลือด","abdominohysterotomy"
"ยุคฟื้นฟูศิลปวิทยาการ","abdominoposterior"
"ผู้ที่นิยมลัทธิมาร์กซ","abdominoscope"
"ทะเลสาบน้ำเค็มชายฝั่ง","abdominoscopy"
"ซึ่งไม่เสียเลือดเนื้อ","abdominothoracic"
"กระบวนการเติบโตของพืช","abdominous"
"นักเต้นระบำเปลื้องผ้า","abdomino-uterotomy"
"การแข่งขันวิ่งมาราธอน","abdominovaginal"
"รับผิดชอบด้วยการลาออก","abdominovesical"
"ใส่เครื่องหมายวรรคตอน","Abdon"
"ควบคุมด้วยคอมพิวเตอร์","Abdu"
"เกี่ยวกับหอเก็บเอกสาร","abduce"
"นักคณิตศาสตร์เรขาคณิต","abduced"
"บิดตัวด้วยความเจ็บปวด","abducens"
"ภาพวาดด้วยถ่านชาร์โคล","abducent"
"สิ่งมีชีวิตกลายพันธุ์","abducentes"
"โรคผิวหนังเป็นเม็ดพอง","abduces"
"ที่ไม่เป็นวิทยาศาสตร์","abducing"
"เชือกผูกเสากระโดงเรือ","abduct"
"ลงคะแนนเสียงเลือกตั้ง","abducted"
"ที่มีโครโมโซมหนึ่งชุด","abducting"
"งานเขียนที่ถูกแอบอ้าง","abduction"
"พยัญชนะเสียงดูดลมเข้า","abductions"
"ทิศตะวันออกเฉียงเหนือ","abduction's"
"ซึ่งแสดงความรับผิดชอบ","abductor"
"อวัยวะสืบพันธุ์ภายนอก","abductores"
"ที่สอดคล้องกับความคิด","abductors"
"ต่อสู้ให้เกิดสันติภาพ","abductor's"
"ความแปรปรวนร่วมเกี่ยว","abducts"
"ส่วนผสมที่เพิ่มเข้าไป","Abdul"
"สปอนเทเนียสเจเนอเรชัน","Abdul-Aziz"
"เยื่อหุ้มเอ็มบริโอนิก","Abdul-baha"
"เกี่ยวกับกระเพาะอาหาร","Abdulla"
"ประกาศว่าไม่มีความผิด","Abe"
"ชนพื้นเมืองออสเตรเลีย","a-be"
"ความไม่สามารถชำระหนี้","abeam"
"การต้อนรับอย่างอบอุ่น","abear"
"ภูมิอากาศบรรพกาลวิทยา","abearance"
"การฉายรังสีตรวจเต้านม","Abebi"
"ความไม่มีระเบียบวินัย","abecedaire"
"ความเป็นบุตรนอกกฎหมาย","abecedary"
"การซึมผ่านเครื่องกรอง","abecedaria"
"โรคติดต่อจากการสัมผัส","abecedarian"
"ของใช้ในชีวิตประจำวัน","abecedarians"
"วงจรมัลติเพล็กซ์เซอร์","abecedaries"
"การดำเนินคดีตามกฏหมาย","abecedarium"
"นักเดินทางไกลด้วยเท้า","abecedarius"
"หนังสือพิมพ์แท็บลอยด์","abed"
"ชนพื้นเมืองอินเดียแดง","abede"
"วาระครบรอบหนึ่งร้อยปี","abedge"
"เสื้อรัดทรงสำหรับสตรี","Abednego"
"การทำลายความซื่อสัตย์","abegge"
"สุนัขพันธุ์บลัดเฮานด์","Abey"
"ซึ่งเข้าเกียร์ถอยหลัง","abeyance"
"การประชุมทางโทรคมนาคม","abeyances"
"การเดินทางไกลด้วยเท้า","abeyancy"
"การปกครองโดยข้าราชการ","abeyancies"
"พฤติกรรมที่ไร้ศีลธรรม","abeyant"
"ผู้พิทักษ์สันติราษฎร์","abeigh"
"ร้านขายอาหารสำเร็จรูป","ABEL"
"ประธานาธิบดีคลีฟแลนด์","Abelard"
"ทำให้เคลื่อนที่ไม่ได้","abele"
"สถานีวิทยุกระจายเสียง","abeles"
"เครื่องหมายกุญแจเสียง","Abelia"
"การสวมกอดอย่างรักใคร่","Abelian"
"เสียงเคาเตอร์เทอเนอร์","Abelicea"
"เพชฌฆาตที่แขนคนนักโทษ","Abelite"
"การไม่ประพฤติผิดในกาม","Abell"
"ความสำเร็จที่ดีเยี่ยม","Abelmoschus"
"หุ้นกู้ที่แปลงสภาพได้","abelmosk"
"ครอบคลุมขอบเขตทั้งหมด","abelmosks"
"เปลี่ยนเป็นอุตสาหกรรม","abelmusk"
"โรงงานอุตสาหกรรมเหล็ก","Abelonian"
"อาณานิคมนอร์ทแคโรไลนา","Abelson"
"ช่างเครื่องปั้นดินเผา","abeltree"
"บังคับใช้ได้ตามกฎหมาย","Abencerrages"
"ของรัฐสภาสหรัฐอเมริกา","abend"
"การมีหนี้สินล้นพ้นตัว","abends"
"ซึ่งมีความใจบุญสุนทาน","Abenezra"
"การเคารพนับถือประเพณี","abenteric"
"หมวกที่มีผ้าผูกใต้คาง","Abeokuta"
"การรวมกับก๊าซออกซิเจน","abepithymia"
"เพื่อนที่รักษาความลับ","ABEPP"
"ไม่ว่าด้วยวิธีใดก็ตาม","Abercromby"
"สี่เหลี่ยมขนมเปียกปูน","Abercrombie"
"พิจารณาอย่างเป็นไปได้","Aberdare"
"การสำรวจสำมะโนประชากร","aberdavine"
"สุนัขพันธุ์สปริงเกอร์","Aberdeen"
"ความสัมพันธ์ฉันชู้สาว","Aberdeenshire"
"คอกที่อยู่ติดโรงเรือน","aberdevine"
"สุนัขพันธุ์พอยน์เตอร์","Aberdonian"
"การแสดงตนในที่สาธารณะ","aberduvine"
"เกี่ยวกับพันธุ์ศาสตร์","Aberfan"
"การแปลภาษาด้วยเครื่อง","Aberglaube"
"ความเป็นคู่ตรงกันข้าม","Aberia"
"แส้ทำความสะอาดลำกล้อง","Aberystwyth"
"ภาษาศาสตร์เชิงประวัติ","Abernant"
"ผู้ร่วมรับประทานอาหาร","Abernathy"
"สารประกอบไฮโดรคาร์บอน","abernethy"
"รูปสี่เหลี่ยมด้านเท่า","Abernon"
"นักร้องเสียงคอนตราลโต","aberr"
"การหาปริมาณโดยชีววิธี","aberrance"
"สุนัขพันธุ์เกรย์ฮาวด์","aberrancy"
"กระชุ่มกระชวยอีกครั้ง","aberrancies"
"อย่างสนุกสนานรื่นเริง","aberrant"
"การเปลี่ยนเป็นน้ำแข็ง","aberrantly"
"ภาวะเศรษฐกิจรุ่งเรือง","aberrants"
"ความสามารถทางสติปัญญา","aberrate"
"อย่างไม่เป็นธรรมชาิติ","aberrated"
"ซึ่งเป็นผู้กระทำกริยา","aberrating"
"การเปลี่ยนเป็นของเหลว","aberration"
"การเปิดฟิล์มให้โดนแสง","aberrational"
"การต่อต้านความคิดใหม่","aberrations"
"อย่างหลีกเลี่ยงไม่ได้","aberrative"
"ที่มีคุณสมบัติเหมาะสม","aberrator"
"การตัดสินผลการแข่งขัน","aberrometer"
"ใช้ความพยายามอย่างมาก","aberroscope"
"สถานที่ที่ไปเป็นประจำ","Abert"
"เงินเดือนที่เพิ่มขึ้น","aberuncate"
"การดำรงชีพขั้นพื้นฐาน","aberuncator"
"ยุคฟื้นฟูระบบกษัตริย์","abesse"
"หนังสือเรียนเบื้องต้น","abessive"
"ผลผลิตในฤดูเก็บเกี่ยว","abet"
"นักร้องเสียงคอนทรัลโต","abetment"
"ทหารปืนใหญ่ชั้นประทวน","abetments"
"เกี่ยวกับความสัมพันธ์","abets"
"ความรู้สึกเป็นคนสำคัญ","abettal"
"ความหลากหลายทางชีวภาพ","abettals"
"การติดต่อกันทางจดหมาย","abetted"
"ศิลปินเซอร์เรียลลิสม์","abetter"
"ชื่อและนามสกุลของไฟล์","abetters"
"เม็ดเลือดขาวลิมโฟไซต์","abetting"
"ชุดเสื้อกระโปรงติดกัน","abettor"
"สัตว์หรือพืชแคระแกร็น","abettors"
"เสียงร้องแสดงความโกรธ","Abeu"
"อาการวิตกกังวลฉับพลัน","abevacuation"
"งานเลี้ยงฉลองมงคลสมรส","abfarad"
"เสื้อผ้าเครื่องประดับ","abfarads"
"อะมิโนอัลคาโนอิกแอซิด","ABFM"
"โดยปราศจากสัญญาณเตือน","Abgatha"
"อย่างเสร็จสิ้นสมบูรณ์","ABHC"
"การเดินทางเป็นหมู่คณะ","abhenry"
"เจ้าหน้าที่สถานีตำรวจ","abhenries"
"นักกีฬาอเมริกันฟุตบอล","abhenrys"
"รายชื่อหนังสืออ้างอิง","abhinaya"
"ทางตะวันออกเฉียงเหนือ","abhiseka"
"ช่างปั้นเครื่องดินเผา","abhominable"
"ความสามารถที่ติดตัวมา","abhor"
"ที่บอกเล่าสืบต่อกันมา","abhorred"
"กระบวนการสร้างและสลาย","abhorrence"
"บริษัทรับเหมาก่อสร้าง","abhorrences"
"เนื้อไก่ป่าและนกกระทา","abhorrency"
"ผู้ชมการแข่งขันเทนนิส","abhorrent"
"ซึ่งมีคุณสมบัติเป็นยา","abhorrently"
"อุปกรณ์เก็บกระแสไฟฟ้า","abhorrer"
"ที่รู้สึกเห็นอกเห็นใจ","abhorrers"
"การทำให้เป็นเมืองขึ้น","abhorrible"
"ความตั้งใจทำให้สำเร็จ","abhorring"
"เครื่องวัดความกดอากาศ","abhors"
"การอัดแก๊สเข้าของเหลว","Abhorson"
"ความสิ้นเนื้อประดาตัว","ABI"
"คำจารึกเหนือหลุมฝังศพ","aby"
"งานออกร้านทางการเกษตร","Abia"
"ปล่อยให้เวลาผ่านไปช้า","Abiathar"
"คำสั่งอย่างเป็นทางการ","Abib"
"ศิลปะการเขียนตัวอักษร","abichite"
"ทำให้เกิดเสียงดังป๊อป","abidal"
"การเขียนประวัติศาสตร์","abidance"
"อย่างไม่เอาจริงเอาจัง","abidances"
"แล่นเรือตามกระแสลมแรง","abidden"
"การทำให้แห้งเยือกแข็ง","abide"
"นวนิยายแห่งจินตนาการ","abided"
"ที่ได้รับจากการศึกษา","abider"
"ความตระหนี่ถี่เหนียว","abiders"
"พนักงานเดินขายสินค้า","abides"
"การคิดเชิงสังเคราะห์","abidi"
"เส้นเลือดวาซาวาโซรัม","abiding"
"มีพัฒนาการทางร่างกาย","abidingly"
"จัดเก็บในคอมพิวเตอร์","abidingness"
"คำตัดสินของคณะลูกขุน","Abidjan"
"พนักงานเก็บค่าโดยสาร","Abydos"
"ทำให้ชื่อเสียงป่นปี้","Abie"
"เครื่องแต่งตัวของม้า","abye"
"การเลี่ยงการชำระเงิน","abied"
"สมาชิกพรรครีพับลิกัน","abyed"
"ที่เกิดจากความรุนแรง","abiegh"
"ความรู้สึกหนาวสะท้าน","abience"
