"Pashto","English"
"پیرود","abilla"
"پیرودونکي","abilo"
"پیرودونکی","abime"
"پیروونکی","Abimelech"
"پیړۍ","Abineri"
"پیزا","Abingdon"
"پیژندل","Abinger"
"پیژندنه","Abington"
"پیښه","Abinoam"
"پیسې","Abinoem"
"پیښیږي","abintestate"
"پیشو","abiogeneses"
"پیغام","abiogenesis"
"پیغمبر","abiogenesist"
"پیل","abiogenetic"
"پیلوټ","abiogenetical"
"پیمانه","abiogenetically"
"پین","abiogeny"
"پینل","abiogenist"
"پیوستون","abiogenous"
"تابعیت","abiology"
"تاثر","abiological"
"تاج","abiologically"
"تادیه","abioses"
"تار","abiosis"
"تاریخ","abiotic"
"تاریخي","abiotical"
"تازه","abiotically"
"تاسیس","abiotrophy"
"تاکتیک","abiotrophic"
"تال","Abipon"
"تالا","Abiquiu"
"تالار","abir"
"تاوان","abirritant"
"تاوتریخوالی","abirritate"
"تایید","abirritated"
"تائید","abirritating"
"تبادله","abirritation"
"تبصره","abirritative"
"تبعه","abys"
"تبعیض","Abisag"
"تبلیغ","Abisha"
"تبه","Abishag"
"تثبیت","Abisia"
"تجارت","abysm"
"تجارتي","abysmal"
"تجربه","abysmally"
"تجربوي","abysms"
"تجسس","Abyss"
"تجهیزات","abyssa"
"تحرک","abyssal"
"تحقیق","abysses"
"تحلیل","Abyssinia"
"تخت","Abyssinian"
"تخته","abyssinians"
"تخریب","abyssobenthonic"
"تخصص","abyssolith"
"تخفیف","abyssopelagic"
"تخلیقی","abyss's"
"تخم","abyssus"
"تخنیک","abiston"
"تخنیکي","abit"
"تخیل","Abitibi"
"تر","Abiu"
"تراژیدي","abiuret"
"ترافیک","Abixah"
"ترانسپورت","abject"
"ترتیب","abjectedness"
"ترخه","abjection"
"ترکیب","abjections"
"ترکیه","abjective"
"ترمیم","abjectly"
"تره","abjectness"
"ترهګر","abjectnesses"
"ترهګري","abjoint"
"تروریزم","abjudge"
"ترویج","abjudged"
"تړاو","abjudging"
"تړل","abjudicate"
"تړلی","abjudicated"
"تړون","abjudicating"
"تسلط","abjudication"
"تشخیص","abjudicator"
"تشریح","abjugate"
"تشکیل","abjunct"
"تشناب","abjunction"
"تشه","abjunctive"
"تصادفي","abjuration"
"تصدۍ","abjurations"
"تصفیه","abjuratory"
"تصور","abjure"
"تصویب","abjured"
"تضمین","abjurement"
"تطابق","abjurer"
"تطبيق","abjurers"
"تطبیق","abjures"
"تعامل","abjuring"
"تعدیل","abkar"
"تعریف","abkari"
"تعصب","abkary"
"تعقیب","Abkhas"
"تعلیم","Abkhasia"
"تعلیمي","Abkhasian"
"تغذیه","Abkhaz"
"تغیر","Abkhazia"
"تفتیش","Abkhazian"
"تفریح","abl"
"تفسیر","abl."
"تفصیل","ablach"
"تفصيلي","ablactate"
"تقاعد","ablactated"
"تقدیر","ablactating"
"تقریبا","ablactation"
"تقویم","ablaqueate"
"تګ","ablare"
"تکامل","A-blast"
"تکرار","ablastemic"
"تکړه","ablastin"
"تل","ablastous"
"تلفات","ablate"
"تلفظ","ablated"
"تلو","ablates"
"تلویزیون","ablating"
"تلیفون","ablation"
"تمایل","ablations"
"تمباکو","ablatitious"
"تمدن","ablatival"
"تمدید","ablative"
"تمرکز","ablatively"
"تمرين","ablatives"
"تمرین","ablator"
"تمه","ablaut"
"تمویل","ablauts"
"تناسب","ablaze"
"تندی","able"
"تنظیم","able-bodied"
"تنظیمول","able-bodiedness"
"تنظیمي","ableeze"
"تنفس","ablegate"
"تنګ","ablegates"
"تنور","ablegation"
"تنوع","able-minded"
"تڼۍ","able-mindedness"
"ته","ablend"
"توازن","ableness"
"توبه","ablepharia"
"توپ","ablepharon"
"توپک","ablepharous"
"توپیر","Ablepharus"
"تودوخه","ablepsy"
"تور","ablepsia"
"تورن","ableptical"
"توره","ableptically"
"تورول","abler"
"توضیحات","ables"
"توغندی","ablesse"
"توقیف","ablest"
"توکي","ablet"
"تولید","ablewhackets"
"تولیه","ably"
"تومور","ablings"
"تونل","ablins"
"تویول","ablock"
"تېر","abloom"
"تېروتنه","ablow"
"تېرېدل","ABLS"
"تېښته","ablude"
"تېل","abluent"
"تیاتر","abluents"
"تیاره","ablush"
"تیاری","ablute"
"تیر","abluted"
"تیریدل","ablution"
"تیریدونکی","ablutionary"
"تیز","ablutions"
"تیزاب","abluvion"
"تیغ","ABM"
"تیل","abmho"
"ټابلیټ","abmhos"
"ټاپ","abmodality"
"ټاپو","abmodalities"
"ټاټو","abn"
"ټاس","Abnaki"
"ټاکل","Abnakis"
"ټاکنې","abnegate"
"ټال","abnegated"
"ټانک","abnegates"
"ټایر","abnegating"
"ټب","abnegation"
"ټپ","abnegations"
"ټرانسپورټ","abnegative"
"ټرک","abnegator"
"ټریس","abnegators"
"ټریلر","Abner"
"ټریلیون","abnerval"
"ټرین","abnet"
"ټګ","abneural"
"ټکان","abnormal"
"ټکټ","abnormalcy"
"ټکر","abnormalcies"
"ټوپ","abnormalise"
"ټوپک","abnormalised"
"ټوټه","abnormalising"
"ټورنمنټ","abnormalism"
"ټوک","abnormalist"
"ټوکر","abnormality"
"ټوکرۍ","abnormalities"
"ټوکه","abnormalize"
"ټول","abnormalized"
"ټولپوښتنه","abnormalizing"
"ټولګه","abnormally"
"ټولګي","abnormalness"
"ټولنه","abnormals"
"ټولنیز","abnormity"
"ټون","abnormities"
"ټویټر","abnormous"
"ټیپ","abnumerable"
"ټيټ","Abo"
"ټیټ","aboard"
"ټیکنالوژي","aboardage"
"ټیلیفون","Abobra"
"ټیم","abococket"
"ټینس","abodah"
"ټینګار","abode"
"ټیوب","aboded"
"ثابت","abodement"
"ثابتول","abodes"
"ثانوي","abode's"
"ثبات","abody"
"ثبوت","aboding"
"جاپاني","abogado"
"جادو","abogados"
"جادوګر","abohm"
"جادويي","abohms"
"جاذبه","aboideau"
"جار","aboideaus"
"جاز","aboideaux"
"جاسوس","aboil"
"جاکټ","aboiteau"
"جال","aboiteaus"
"جامد","aboiteaux"
"جامې","abolete"
"جایزه","abolish"
"جبلت","abolishable"
"جټ","abolished"
"جدي","abolisher"
"جذابیت","abolishers"
"جذب","abolishes"
"جذبه","abolishing"
"جذبول","abolishment"
"جرابې","abolishments"
"جرات","abolishment's"
"جراح","abolition"
"جراحي","abolitionary"
"جرم","abolitionise"
"جرمني","abolitionised"
"جریان","abolitionising"
"جریبه","abolitionism"
"جرئت","abolitionist"
"جز","abolitionists"
"جزا","abolitionize"
"جزوی","abolitionized"
"جشن","abolitionizing"
"جعلي","abolitions"
"جګړه","abolla"
"جلا","abollae"
"جلال","aboma"
"جم","abomas"
"جمع","abomasa"
"جمعه","abomasal"
"جمله","abomasi"
"جمهوریت","abomasum"
"جنازه","abomasus"
"جنت","abomasusi"
"جنتيکي","A-bomb"
"جندر","abominability"
"جنرال","abominable"
"جنس","abominableness"
"جنسي","abominably"
"جنګیالی","abominate"
"جنوبي","abominated"
"جنوري","abominates"
"جهيل","abominating"
"جوار","abomination"
"جواز","abominations"
"جوري","abominator"
"جوړجاړی","abominators"
"جوړښت","abomine"
"جوړه","abondance"
"جوړول","Abongo"
"جوړونکی","abonne"
"جوس","abonnement"
"جوش","aboon"
"جولای","aborad"
"جون","aboral"
"جوهر","aborally"
"جیب","abord"
"جین","Aboriginal"
"جینس","aboriginality"
"چا","aboriginally"
"چاپ","aboriginals"
"چاپیریال","aboriginary"
"چاچی","Aborigine"
"چارټ","aborigines"
"چارج","aborigine's"
"چاقو","Abor-miri"
"چاکلیټ","Aborn"
"چال","aborning"
"چانس","a-borning"
"چاودنه","aborsement"
"چاى","aborsive"
"چپ","abort"
"چپک","aborted"
"چپنه","aborter"
"چت","aborters"
"چټک","aborticide"
"چټل","abortient"
"چرس","abortifacient"
"چرګه","abortin"
"چک","aborting"
"چلند","abortion"
"چلول","abortional"
"چلوونکی","abortionist"
"چمتو","abortionists"
"چمچ","abortions"
"چمک","abortion's"
"چهارشنبه","abortive"
"چوپتیا","abortively"
"چوٹی","abortiveness"
"چورلکه","abortogenic"
"چوس","aborts"
"چوکاټ","abortus"
"چیپ","abortuses"
"چیټ","abos"
"چیرته","abote"
"چیغه","Abott"
"چینایی","abouchement"
"چینل","aboudikro"
"حادثه","abought"
"څارنه","Aboukir"
"څارنوال","aboulia"
"څارونکی","aboulias"
"څاروي","aboulic"
"څاروی","abound"
"حاشیه","abounded"
"حاضر","abounder"
"حاضری","abounding"
"حافظه","aboundingly"
"حالت","abounds"
"ځاله","Abourezk"
"حامله","about"
"ځان","about-face"
"ځانګړتیا","about-faced"
"ځانګړنه","about-facing"
"ځانګړې","abouts"
"ځانګړی","about-ship"
"څانګه","about-shipped"
"ځانمرګی","about-shipping"
"ځای","about-sledge"
"ځايي","about-turn"
"ځایی","above"
"څپرکی","aboveboard"
"څپې","above-board"
"حتمي","above-cited"
"حتی","abovedeck"
"څټک","above-found"
"حجره","above-given"
"حجم","aboveground"
"څخه","abovementioned"
"حد","above-mentioned"
"حرارت","above-named"
"څراغ","aboveproof"
"څرخ","above-quoted"
"څرګند","above-reported"
"حرکت","aboves"
"څرمن","abovesaid"
"ځړول","above-said"
"حساب","abovestairs"
"حساس","above-water"
"حساسیت","above-written"
"څښاک","abow"
"څښتن","abox"
"حسد","Abp"
"حشره","ABPC"
"حق","Abqaiq"
"حقدار","abr"
"حقیقت","abr."
"حکم","Abra"
"حکمت","abracadabra"
"ځکه","abrachia"
"څکول","abrachias"
"حکومت","abradable"
"حل","abradant"
"حلقه","abradants"
"څلور","abrade"
"څلورم","abraded"
"څلویښت","abrader"
"حمام","abraders"
"ځمکه","abrades"
"حمل","abrading"
"ځنډ","Abraham"
"څنډه","Abrahamic"
"ځنډول","Abrahamidae"
"ځنګل","Abrahamite"
"څه","Abrahamitic"
"څو","Abraham-man"
"ځواب","Abrahams"
"ځواک","Abrahamsen"
"ځواکمن","Abrahan"
"حواله","abray"
"ځوان","abraid"
"ځورول","Abram"
"ځورونکی","Abramis"
"ځورونې","Abramo"
"حوض","Abrams"
"څوک","Abramson"
"څوکۍ","Abran"
"څېره","abranchial"
"حیاتي","abranchialism"
"حیران","abranchian"
"حیرانتیا","Abranchiata"
"حیرانوونکی","abranchiate"
"څیړنه","abranchious"
"څیړونکی","abrasax"
"ځيګر","abrase"
"ځینې","abrased"
"حیوان","abraser"
"خاطر","abrash"
"خاکه","abrasing"
"خالص","abrasiometer"
"خالي","abrasion"
"خام","abrasions"
"خامخا","abrasion's"
"خاموش","abrasive"
"خاوره","abrasively"
"خاوند","abrasiveness"
"خبر","abrasivenesses"
"خبرتیا","abrasives"
"خبرداری","abrastol"
"خبرونه","abraum"
"خبرې","abraxas"
"خبریال","abrazite"
"خپراوی","abrazitic"
"خپرول","abrazo"
"خپرونکی","abrazos"
"خپرونه","abreact"
"خپګان","abreacted"
"خپل","abreacting"
"خپلواک","abreaction"
"خپلواکي","abreactions"
"خپلوان","abreacts"
"خپه","abreast"
"ختم","abreed"
"ختیځ","abrege"
"خټه","abreid"
"خدای","abrenounce"
"خدایه","abrenunciate"
"خدمت","abrenunciation"
"خرڅلاو","abreption"
"خرڅول","abret"
"خړ","abreuvoir"
"خزانه","abri"
"خښته","abrico"
"خصوصي","abricock"
"خطا","abricot"
"خطر","abridgable"
"خطرناک","abridge"
"خفه","abridgeable"
"خلاص","abridged"
"خلاصول","abridgedly"
"خلاف","abridgement"
"خلاقیت","abridgements"
"خلک","abridger"
"خلیج","abridgers"
"خندا","abridges"
"خنډ","abridging"
"خواخوږي","abridgment"
"خواږه","abridgments"
"خواړه","abrim"
"خوب","abrin"
"خور","abrine"
"خوراک","abris"
"خوړل","abristle"
"خوښ","abroach"
"خوښه","abroad"
"خوښي","Abrocoma"
"خوشبختانه","abrocome"
"خوشبینه","abrogable"
"خوشحاله","abrogate"
"خوګ","abrogated"
"خوله","abrogates"
"خولۍ","abrogating"
"خوند","abrogation"
"خوندور","abrogations"
"خوندي","abrogative"
"خوندیتوب","abrogator"
"خونړی","abrogators"
"خونه","Abroma"
"خیال","Abroms"
"خیانت","Abronia"
"خیټه","abrood"
"خیرات","abrook"
"خیمه","abrosia"
"د","abrosias"
"دا","abrotanum"
"داخله","abrotin"
"داخلول","abrotine"
"داخلي","abrupt"
"دارو","abruptedly"
"داستان","abrupter"
"داستوګنې","abruptest"
"داسې","abruptio"
"دالان","abruption"
"داوطلبۍ","abruptiones"
"دائره","abruptly"
"دايمي","abruptness"
"دراز","Abrus"
"درجن","Abruzzi"
"درجه","ABS"
"درجې","abs-"
"درد","Absa"
"دردناک","Absalom"
"درس","absampere"
"درغلۍ","Absaraka"
"درمل","Absaroka"
"درملنه","Absarokee"
"درناوی","absarokite"
"درنښت","ABSBH"
"دره","abscam"
"دروازه","abscess"
"دروغ","abscessed"
"دروغجن","abscesses"
"دروند","abscessing"
"درې","abscession"
"درېدل","abscessroot"
"دریځ","abscind"
"دریم","abscise"
"دستکشې","abscised"
"دسمبر","abscises"
"دښمن","abscisin"
"دښمني","abscising"
"دسیسه","abscisins"
"دعا","abscision"
"دفاع","absciss"
"دفاعي","abscissa"
"دفتر","abscissae"
"دقت","abscissas"
"دقیق","abscissa's"
"دقیقا","abscisse"
"دقیقه","abscissin"
"دکان","abscission"
"دلته","abscissions"
"دلچسپي","absconce"
"دلیل","abscond"
"دمخه","absconded"
"دنده","abscondedly"
"دندې","abscondence"
"دننه","absconder"
"دهلیز","absconders"
"دواړه","absconding"
"دوام","absconds"
"دوامداره","absconsa"
"دوتنه","abscoulomb"
"دود","abscound"
"دودیز","Absecon"
"دوران","absee"
"دوربین","absey"
"دوره","abseil"
"دوړې","abseiled"
"دوزخ","abseiling"
"دوستانه","abseils"
"دوشنبه","absence"
"دولس","absences"
"دوه","absence's"
"دوهم","absent"
"دوی","absentation"
"دیرش","absented"
"دیموکرات","absentee"
"دیموکراتیک","absenteeism"
"دیوال","absentees"
"ډاټا","absentee's"
"ډاډمن","absenteeship"
"ډاډه","absenter"
"ډار","absenters"
"ډارول","absentia"
"ډارونکی","absenting"
"ډارېدل","absently"
"ډاکټر","absentment"
"ډال","absentminded"
"ډالر","absent-minded"
"ډالۍ","absentmindedly"
"ډایرکټر","absent-mindedly"
"ڈائری","absentmindedness"
"ډبره","absent-mindedness"
"ډډ","absentmindednesses"
"ډراماتيک","absentness"
"ډرامه","absents"
"ډرل","absfarad"
"ډریگن","abshenry"
"ډزې","Abshier"
"ډګرمن","Absi"
"ډګروال","absinth"
"ډک","absinthe"
"ډکول","absinthes"
"ډله","absinthial"
"ډمپ","absinthian"
"ډوب","absinthiate"
"ډوډۍ","absinthiated"
