"Tatar","English"
"ачуланган","abatised"
"ачуны","abatises"
"ачы","abatjour"
"ачыгу","abatjours"
"ачык","abaton"
"ачыкларга","abator"
"ачыклау","abators"
"ачыклык","ABATS"
"ачылу","abattage"
"ачылыш","abattis"
"ачыш","abattised"
"аша","abattises"
"ашамлык","abattoir"
"ашамлыклар","abattoirs"
"ашау","abattu"
"ашказаны","abattue"
"ашыгып","Abatua"
"ашык","abature"
"ашыру","abaue"
"аэропорт","abave"
"аю","abaxial"
"аягы","abaxile"
"аяк","abaze"
"бабай","abb"
"бавыр","Abba"
"багана","abbacy"
"багышлау","abbacies"
"базар","abbacomes"
"базасы","Abbadide"
"бай","Abbai"
"байлык","abbaye"
"бактериялар","abbandono"
"бакча","abbas"
"бал","abbasi"
"бала","Abbasid"
"балага","abbassi"
"баланс","Abbassid"
"балачак","Abbasside"
"баллон","Abbate"
"балчык","abbatial"
"балык","abbatical"
"банан","abbatie"
"банда","Abbe"
"банк","Abbey"
"банкир","abbeys"
"бар","abbey's"
"барабан","abbeystead"
"барлау","abbeystede"
"Барлыгы","abbes"
"бармак","abbess"
"бару","abbesses"
"Барыбер","abbest"
"барырга","Abbevilean"
"баскетбол","Abbeville"
"басма","Abbevillian"
"басмасы","Abbi"
"бассейн","Abby"
"бастыру","Abbie"
"Бастыру","Abbye"
"бастырылу","Abbyville"
"басыгыз","abboccato"
"басым","abbogada"
"басымчан","Abbot"
"басып","abbotcy"
"батарея","abbotcies"
"бату","abbotnullius"
"батудан","abbotric"
"батырлык","abbots"
"батырмас","abbot's"
"батыру","Abbotsen"
"бау","Abbotsford"
"баш","abbotship"
"башваткыч","abbotships"
"башка","Abbotson"
"башкаласы","Abbotsun"
"башкару","Abbott"
"башкаручы","Abbottson"
"башкарыр","Abbottstown"
"башлангыч","Abboud"
"башлап","abbozzo"
"башларга","ABBR"
"башлау","abbrev"
"башмак","abbreviatable"
"башта","abbreviate"
"башы","abbreviated"
"башына","abbreviately"
"БДИ","abbreviates"
"без","abbreviating"
"безнеке","abbreviation"
"безнең","abbreviations"
"бел","abbreviator"
"белан","abbreviatory"
"белгеч","abbreviators"
"белдерү","abbreviature"
"белем","abbroachment"
"белешмә","ABC"
"белешмәсе","abcess"
"белә","abcissa"
"белән","abcoulomb"
"Белозёрка","ABCs"
"белый","abd"
"беляликля","abdal"
"бензин","abdali"
"бер","abdaria"
"бераз","abdat"
"бергә","Abdel"
"бердәй","Abd-el-Kadir"
"бердәйлек","Abd-el-Krim"
"бердәмлек","Abdella"
"беренчел","Abderhalden"
"берәмлек","Abderian"
"берәү","Abderite"
"беркетмә","Abderus"
"беркетү","abdest"
"берлек","Abdias"
"берләшкән","abdicable"
"берләшмә","abdicant"
"берләштерә","abdicate"
"берникадәр","abdicated"
"берничә","abdicates"
"бетенләй","abdicating"
"бетермәсләр","abdication"
"бетерү","abdications"
"бетон","abdicative"
"бетте","abdicator"
"бетү","Abdiel"
"бәби","abditive"
"бәйле","abditory"
"бәйләнеш","abdom"
"бәйләү","abdomen"
"бәйрәм","abdomens"
"бәйсез","abdomen's"
"бәйсезлек","abdomina"
"бәла-каза","abdominal"
"бәлки","Abdominales"
"бәрдәмләү","abdominalia"
"бәрәңге","abdominalian"
"бәхет","abdominally"
"бәхетле","abdominals"
"бәхәс","abdominoanterior"
"бәхәсле","abdominocardiac"
"бәхәсләшү","abdominocentesis"
"бәя","abdominocystic"
"бәяләү","abdominogenital"
"бәялибез","abdominohysterectomy"
"бәян","abdominohysterotomy"
"бәясе","abdominoposterior"
"биек","abdominoscope"
"биеклек","abdominoscopy"
"биергә","abdominothoracic"
"бизгәк","abdominous"
"Бизнес","abdomino-uterotomy"
"бик","abdominovaginal"
"билге","abdominovesical"
"билгеле","Abdon"
"Билгеле","Abdu"
"билгеләнү","abduce"
"билгеләү","abduced"
"билгесез","abducens"
"билгесезлек","abducent"
"билет","abducentes"
"биләмә","abduces"
"били","abducing"
"бина","abduct"
"биологик","abducted"
"биология","abducting"
"бир","abduction"
"бирегез","abductions"
"бирелгән","abduction's"
"бирем","abductor"
"бирергә","abductores"
"бирмандатлы","abductors"
"Бирюков","abductor's"
"бистә","abducts"
"бит","Abdul"
"биш","Abdul-Aziz"
"бишенче","Abdul-baha"
"бию","Abdulla"
"биюче","Abe"
"блог","a-be"
"блок","abeam"
"бодай","abear"
"боерык","abearance"
"боҗра","Abebi"
"боз","abecedaire"
"бозу","abecedary"
"бозык","abecedaria"
"болан","abecedarian"
"Болар","abecedarians"
"болыт","abecedaries"
"больница","abecedarium"
"бомба","abecedarius"
"бомбардировка","abed"
"борау","abede"
"бормалы-сырмалы","abedge"
"бору","Abednego"
"борчу","abegge"
"борчулы","Abey"
"борчыл","abeyance"
"борчыла","abeyances"
"борчылган","abeyancy"
"борчылу","abeyancies"
"борылу","abeyant"
"борын","abeigh"
"борынгы","ABEL"
"борыч","Abelard"
"бот","abele"
"ботинка","abeles"
"бөҗәк","Abelia"
"бөккән","Abelian"
"бөкләү","Abelicea"
"бөлү","Abelite"
"бөркет","Abell"
"бөртеге","Abelmoschus"
"бөтенләй","abelmosk"
"бөя","abelmosks"
"браузер","abelmusk"
"бренд","Abelonian"
"бриз","Abelson"
"бронь","abeltree"
"бу","Abencerrages"
"буа","abend"
"буенча","abends"
"буйларында","Abenezra"
"бук","abenteric"
"бул","Abeokuta"
"була","abepithymia"
"буламы","ABEPP"
"булачак","Abercromby"
"булды","Abercrombie"
"булдырма","Aberdare"
"булдырмау","aberdavine"
"булдыру","Aberdeen"
"булмаган","Aberdeenshire"
"булмаса","aberdevine"
"булу","Aberdonian"
"булышу","aberduvine"
"булышуче","Aberfan"
"бум","Aberglaube"
"бундан","Aberia"
"бургер","Aberystwyth"
"бурыч","Abernant"
"бусага","Abernathy"
"бухгалтерлык","abernethy"
"бухта","Abernon"
"буш","aberr"
"бушлай","aberrance"
"бушлыгында","aberrancy"
"буын","aberrancies"
"буяу","aberrant"
"Бүген","aberrantly"
"бүлек","aberrants"
"Бүленү","aberrate"
"бүлешү","aberrated"
"бүләк","aberrating"
"бүлмә","aberration"
"бүлү","aberrational"
"бүре","aberrations"
"бүтән","aberrative"
"бюджет","aberrator"
"бюллетень","aberrometer"
"бюро","aberroscope"
"вак","Abert"
"ваклап","aberuncate"
"вакцина","aberuncator"
"вакыйга","abesse"
"вакыт","abessive"
"вакыт-вакыт","abet"
"вакытлы","abetment"
"вакытлыча","abetments"
"вакытта","abets"
"вакытында","abettal"
"валюта","abettals"
"вампир","abetted"
"вариант","abetter"
"васыять","abetters"
"ватылган","abetting"
"веб","abettor"
"велосипед","abettors"
"велосипедта","Abeu"
"венчур","abevacuation"
"вербовкалау","abfarad"
"вердикт","abfarads"
"версиясе","ABFM"
"вертолет","Abgatha"
"ветеран","ABHC"
"вәгазь","abhenry"
"вәгъдә","abhenries"
"вәкил","abhenrys"
"вәкиле","abhinaya"
"вәкиллеге","abhiseka"
"вәкиллек","abhominable"
"видео","abhor"
"видеоматериалларны","abhorred"
"визуаль","abhorrence"
"винт","abhorrences"
"винтовка","abhorrency"
"виртуаль","abhorrent"
"вирус","abhorrently"
"витамин","abhorrer"
"вице","abhorrers"
"вокал","abhorrible"
"вөҗдан","abhorring"
"габилиййятли","abhors"
"гавань","Abhorson"
"гадел","ABI"
"гаделлек","aby"
"гадәт","Abia"
"гадәти","Abiathar"
"гадәттә","Abib"
"гадәттәге","abichite"
"гадәттәгечә","abidal"
"гади","abidance"
"гаеп","abidances"
"гаепле","abidden"
"гаепләү","abide"
"гаепләүләргә","abided"
"гаепсез","abider"
"гаҗәеп","abiders"
"гаҗәп","abides"
"гаҗәпләнү","abidi"
"газ","abiding"
"газаплан","abidingly"
"газапларны","abidingness"
"газет","Abidjan"
"газон","Abydos"
"гайка","Abie"
"гаилә","abye"
"галактика","abied"
"галерея","abyed"
"Галәм","abiegh"
"галим","abience"
"гамәлдәге","abient"
"гараж","Abies"
"гарантия","abyes"
"гарәп","abietate"
"гаршылыглы","abietene"
"гасыр","abietic"
"гауга","abietin"
"гафу","Abietineae"
"гачылмаздыр","abietineous"
"гашыйк","abietinic"
"гашыьы","abietite"
"гей","Abiezer"
"гел","Abigael"
"ген","Abigail"
"генетик","abigails"
"генә","abigailship"
"герой","Abigale"
"гәпләшү","abigeat"
"гәүдәүләндерү","abigei"
"гигант","abigeus"
"гипотеза","Abihu"
"гитара","abying"
"глобаль","Abijah"
"глобус","Abyla"
"гольф","abilao"
"гомергә","Abilene"
"Гомумән","abiliment"
"гомуми","Abilyne"
"гонорар","abilitable"
"гоп","ability"
"горизонт","abilities"
"горур","ability's"
"горурлык","abilla"
"госпел","abilo"
"гөнаһ","abime"
"гражданин","Abimelech"
"гражданлык","Abineri"
"грамм","Abingdon"
"грамоталык","Abinger"
"грант","Abington"
"граф","Abinoam"
"график","Abinoem"
"губернатор","abintestate"
"гыйбадәтханәгә","abiogeneses"
"гыйбарә","abiogenesis"
"Гыйрак","abiogenesist"
"гына","abiogenetic"
"гябул","abiogenetical"
"ґәзаб","abiogenetically"
"давраныш","abiogeny"
"давыл","abiogenist"
"дайанан","abiogenous"
"даим","abiology"
"даими","abiological"
"дан","abiologically"
"даһилык","abioses"
"дару","abiosis"
"дарулар","abiotic"
"дата","abiotical"
"двигатель","abiotically"
"дебют","abiotrophy"
"демографик","abiotrophic"
"демократ","Abipon"
"демократик","Abiquiu"
"демократия","abir"
"демон","abirritant"
"депрессия","abirritate"
"депутат","abirritated"
"десерт","abirritating"
"деталь","abirritation"
"детектив","abirritative"
"дефицит","abys"
"дә","Abisag"
"дәвалау","Abisha"
"дәвам","Abishag"
"дәгъва","Abisia"
"дәгъвалау","abysm"
"дәлелсез","abysmal"
"дәлил","abysmally"
"дәлилләр","abysms"
"дәресе","Abyss"
"дәрәҗә","abyssa"
"дәрәҗәдә","abyssal"
"дәрәҗәсе","abysses"
"дәртләндер","Abyssinia"
"дәртләндереп","Abyssinian"
"дәртләндерәбез","abyssinians"
"дәртләндерү","abyssobenthonic"
"дәүләт","abyssolith"
"джаз","abyssopelagic"
"джентельмен","abyss's"
"джунгли","abyssus"
"диабет","abiston"
"диагноз","abit"
"диаграмма","Abitibi"
"диалог","Abiu"
"диапазоны","abiuret"
"дивана","Abixah"
"дивар","abject"
"диета","abjectedness"
"дизайн","abjection"
"дилер","abjections"
"дин","abjective"
"динамик","abjectly"
"динамика","abjectness"
"дини","abjectnesses"
"диңгез","abjoint"
"дипломатик","abjudge"
"директоры","abjudged"
"диск","abjudging"
"дискриминация","abjudicate"
"дискуссия","abjudicated"
"дисплей","abjudicating"
"дистә","abjudication"
"дияргә","abjudicator"
"диярлек","abjugate"
"ДНК","abjunct"
"дога","abjunction"
"дозасын","abjunctive"
"доклад","abjuration"
"докладчы","abjurations"
"документ","abjuratory"
"документаль","abjure"
"доллар","abjured"
"домен","abjurement"
"донор","abjurer"
"дошман","abjurers"
"дошманлы","abjures"
"дөге","abjuring"
"дөнья","abkar"
"дөньяви","abkari"
"дөньясы","abkary"
"дөрес","Abkhas"
"Дөрес","Abkhasia"
"Дөресен","Abkhasian"
"дөреслек","Abkhaz"
"драма","Abkhazia"
"драматик","Abkhazian"
"дрейф","abl"
"дренаж","abl."
"дулкын","ablach"
"дулкынланган","ablactate"
"дулкынландыргыч","ablactated"
"дунгыз","ablactating"
"дус","ablactation"
"дуслык","ablaqueate"
"душ","ablare"
"дүрт","A-blast"
"дүртенче","ablastemic"
"дүшәмбе","ablastin"
"дым","ablastous"
"дюйм","ablate"
"ебать","ablated"
"Европа","ablates"
"егерме","ablating"
"егет","ablation"
"егылу","ablations"
"ел","ablatitious"
"елан","ablatival"
"елга","ablative"
"еллыгына","ablatively"
"еллык","ablatives"
"ендирмяк","ablator"
"епископ","ablaut"
"ерак","ablauts"
"ераклашу","ablaze"
"ерактан","able"
"ерткыч","able-bodied"
"етика","able-bodiedness"
"ефак","ableeze"
"еш","ablegate"
"ешлык","ablegates"
"ещтималыны","ablegation"
"ә","able-minded"
"әби","able-mindedness"
"әбиемне","ablend"
"әгъза","ableness"
"әгъзалык","ablepharia"
"әгъзасы","ablepharon"
"әдәби","ablepharous"
"әдәбият","Ablepharus"
"әдәпле","ablepsy"
"әҗерен","ablepsia"
"әзер","ableptical"
"әзерлек","ableptically"
"әзерлән","abler"
"Әзрәк","ables"
"әйберләр","ablesse"
"әйбәт","ablest"
"әйдәүче","ablet"
"әйе","ablewhackets"
"Әйе","ably"
"әйләнеш","ablings"
"әйләнү","ablins"
"әйт","ablock"
"әйтегез","abloom"
"әйтү","ablow"
"әкрен","ABLS"
"әлбәттә","ablude"
"Әлбәттә","abluent"
"әле","abluents"
"әни","ablush"
"Әнкәм","ablute"
"әңгәмә","abluted"
"әһәмият","ablution"
"әһәмиятле","ablutionary"
"әти","ablutions"
"әтисе","abluvion"
"әфлисун","ABM"
"әфсен","abmho"
"жалоба","abmhos"
"жанр","abmodality"
"жирәбә","abmodalities"
"журнал","abn"
"журналист","Abnaki"
"журналистика","Abnakis"
"жюри","abnegate"
"җавап","abnegated"
"җаваплы","abnegates"
"җаваплылык","abnegating"
"җаваплылыкны","abnegation"
"җавапчы","abnegations"
"җайланма","abnegative"
"җайлаштыру","abnegator"
"җайлылык","abnegators"
"җан","Abner"
"җанатар","abnerval"
"җаным","abnet"
"җеназа","abneural"
"җенси","abnormal"
"җентекләп","abnormalcy"
"җепсел","abnormalcies"
"җәелдеру","abnormalise"
"җәелдерү","abnormalised"
"җәелу","abnormalising"
"җәза","abnormalism"
"җәй","abnormalist"
"җәймә","abnormality"
"җәлеп","abnormalities"
"җәмгыять","abnormalize"
"җәмәгать","abnormalized"
"җәрәхәт","abnormalizing"
"җәрәхәтләү","abnormally"
"җәя","abnormalness"
"җәяүле","abnormals"
"җибәрү","abnormity"
"Җиде","abnormities"
"җиденче","abnormous"
"җил","abnumerable"
"җилкә","Abo"
"җилкәләрен","aboard"
"җимерү","aboardage"
"җимеш","Abobra"
"җинаять","abococket"
"җинаятьче","abodah"
"җиң","abode"
"җиңел","aboded"
"җиңелү","abodement"
"җиңелчә","abodes"
"җиңәргә","abode's"
"җиңү","abody"
"җиңүче","aboding"
"җиһаз","abogado"
"җиһазланачак","abogados"
"җиһазлар","abohm"
"җир","abohms"
"җирәнеч","aboideau"
"җирле","aboideaus"
"җитди","aboideaux"
"җитешмәүчелек","aboil"
"җитешсезлек","aboiteau"
"җитештермә","aboiteaus"
"җитештерү","aboiteaux"
"җитештерүче","abolete"
"җитештерүчәнлек","abolish"
"җитәкләү","abolishable"
"җитәкче","abolished"
"җитәкчелек","abolisher"
"җитәрлек","abolishers"
"җитмәү","abolishes"
"җомга","abolishing"
"җөмлә","abolishment"
"җуймас","abolishments"
"җылы","abolishment's"
"җылылык","abolition"
"җыр","abolitionary"
"җырла","abolitionise"
"җырчы","abolitionised"
"җыю","abolitionising"
"җыючы","abolitionism"
"завод","abolitionist"
"заем","abolitionists"
"заказ","abolitionize"
"закон","abolitionized"
"законлы","abolitionizing"
"законсыз","abolitions"
"закъон","abolla"
"зал","abollae"
"заложница","aboma"
"заманча","abomas"
"замок","abomasa"
"запас","abomasal"
"зарар","abomasi"
"зарарсыз","abomasum"
"зарлану","abomasus"
"заряд","abomasusi"
"зат","A-bomb"
"зәгыйфь","abominability"
"зәйтүн","abominable"
"зәңгәр","abominableness"
"зиннәтле","abominably"
"зиннәтләнгән","abominate"
"зинһар","abominated"
"зирәклек","abominates"
"злоупотреблений","abominating"
"зона","abomination"
"зоракы","abominations"
"зур","abominator"
"зурайту","abominators"
"зурлыгы","abomine"
"зыян","abondance"
"йанашы","Abongo"
"игезәк","abonne"
"игелекле","abonnement"
"игълан","aboon"
"игътибар","aborad"
"идарә","aboral"
"идеаль","aborally"
"идеологик","abord"
"идеологиясе","Aboriginal"
"идея","aboriginality"
"идән","aboriginally"
"иелү","aboriginals"
"йениляшдирилмяси","aboriginary"
"иҗади","Aborigine"
"иҗат","aborigines"
"иҗтимагый","aborigine's"
"изге","Abor-miri"
"изоляция","Aborn"
"ике","aborning"
"икеләнмичә","a-borning"
"икеләтә","aborsement"
"икенче","aborsive"
"Икеяклы","abort"
"икмәк","aborted"
"икърар","aborter"
"икътисад","aborters"
"икътисадчы","aborticide"
"икътисадый","abortient"
"ил","abortifacient"
"илле","abortin"
"иллюзия","aborting"
"иллюстрация","abortion"
"илһам","abortional"
"илһамландыру","abortionist"
"илче","abortionists"
"илчелек","abortions"
"иман","abortion's"
"имән","abortive"
"имза","abortively"
"имин","abortiveness"
"иминлеге","abortogenic"
"иминлек","aborts"
"имкан","abortus"
"иммграция","abortuses"
"иммигрант","abos"
"император","abote"
"империя","Abott"
"импорт","abouchement"
"имү","aboudikro"
"инанырга","abought"
"инвалидлар","Aboukir"
"инвентаризация","aboulia"
"инвентарь","aboulias"
"инвестицияләр","aboulic"
"инвесторы","abound"
"Инглиз","abounded"
"ингредиент","abounder"
"инде","abounding"
"индексы","aboundingly"
"индивидуаль","abounds"
"Индия","Abourezk"
"инә","about"
"инженер","about-face"
"инициатива","about-faced"
"инкарь","about-facing"
"инкяр","abouts"
"инновацион","about-ship"
"инновация","about-shipped"
"инспектор","about-shipping"
"инстинкт","about-sledge"
"институт","about-turn"
"институциональ","above"
"инструктор","aboveboard"
"инструкторлык","above-board"
"инсульт","above-cited"
"интеллектуаль","abovedeck"
"интеллетуаль","above-found"
"интенсив","above-given"
"интенсивлык","aboveground"
"интервал","abovementioned"
"Интернет","above-mentioned"
"интерпретация","above-named"
"интерфейсын","aboveproof"
"интерьер","above-quoted"
"инфляция","above-reported"
"информ","aboves"
"инфраструктура","abovesaid"
"инцидент","above-said"
"йогынты","abovestairs"
"йогынтылы","above-water"
"йогыш","above-written"
"йозак","abow"
"йоклый","abox"
"йокы","Abp"
"йолдыз","ABPC"
"йомаш","Abqaiq"
"йомсыннар","abr"
"йомшак","abr."
"йомырка","Abra"
"йомычка","abracadabra"
"йорт","abrachia"
"йортсыз-җирсез","abrachias"
"йөгер","abradable"
"йөгерешчесе","abradant"
"йөз","abradants"
"йөзу","abrade"
"йөк","abraded"
"йөклелек","abrader"
"йөкләнеш","abraders"
"йөрергә","abrades"
"йөрәк","abrading"
"йөртү","Abraham"
"ипотека","Abrahamic"
"иптәшен","Abrahamidae"
"ир","Abrahamite"
"ирек","Abrahamitic"
"ирекле","Abraham-man"
"ирен","Abrahams"
"ирешү","Abrahamsen"
"иркен","Abrahan"
"ирле","abray"
"ирония","abraid"
"иртә","Abram"
"иртәгә","Abramis"
"ис","Abramo"
"исбатлау","Abrams"
"исем","Abramson"
"исеменнән","Abran"
"исемлеге","abranchial"
"исерек","abranchialism"
"исән","abranchian"
"исәпкә","Abranchiata"
"исәпләү","abranchiate"
"исәпне","abranchious"
"исәп-хисап","abrasax"
"Искәрмә","abrase"
"искиткеч","abrased"
"ислам","abraser"
"Ислам","abrash"
"Исрафил","abrasing"
"истифадя","abrasiometer"
"ит","abrasion"
"итәк","abrasions"
"ифтира","abrasion's"
"ихтималлык","abrasive"
"ихтирамлык","abrasively"
"ихтыйлаф","abrasiveness"
"ихтыяҗ","abrasivenesses"
"ихтыяр","abrasives"
"ишарә","abrastol"
"ишегалды","abraum"
"ишек","abraxas"
"ишет","abrazite"
"ишәк","abrazitic"
"иърааты","abrazo"
"июль","abrazos"
"июнь","abreact"
"ия","abreacted"
"ияк","abreacting"
"иярегез","abreaction"
"иярчен","abreactions"
"кабалану","abreacts"
"кабатлау","abreast"
"кабатлы","abreed"
"кабель","abrege"
"кабер","abreid"
"кабилә","abrenounce"
"кабина","abrenunciate"
"кабул","abrenunciation"
"кабык","abreption"
"кабырга","abret"
"кагыйдә","abreuvoir"
"кагылу","abri"
"кагылышлы","abrico"
"кадак","abricock"
"кадерле","abricot"
"кадерлем","abridgable"
"кадәр","abridge"
"каеш","abridgeable"
"казино","abridged"
"казналык","abridgedly"
"казначылык","abridgement"
"казу","abridgements"
"казылма","abridger"
"кайберләре","abridgers"
"кайвакыт","abridges"
"кайгы","abridging"
"кайгылы","abridgment"
"кайгырту","abridgments"
"кайгыртучан","abrim"
"каймак","abrin"
"кайнар","abrine"
"кайнату","abris"
"Кайсы","abristle"
"кайтавыз","abroach"
"кайту","abroad"
"кайчан","Abrocoma"
"калган","abrocome"
"календарь","abrogable"
"каләм","abrogate"
"калканы","abrogated"
"калкулык","abrogates"
"калория","abrogating"
"калпак","abrogation"
"калыгыз","abrogations"
"калын","abrogative"
"камера","abrogator"
"камил","abrogators"
"кампаниясе","Abroma"
"камыр","Abroms"
"кан","Abronia"
"канал","abrood"
"канат","abrook"
"кандидат","abrosia"
"канәгать","abrosias"
"канәгатьләндерү","abrotanum"
"канлы","abrotin"
"капитализм","abrotine"
"капитан","abrupt"
"Капка","abruptedly"
"каплау","abrupter"
"каптырма","abruptest"
"капчык","abruptio"
"кар","abruption"
"кара","abruptiones"
"карават","abruptly"
"караганда","abruptness"
"карак","Abrus"
"каралту","Abruzzi"
"карамастан","ABS"
"караңгы","abs-"
"караңгылык","Absa"
"карап","Absalom"
"карар","absampere"
"карарга","Absaraka"
"карата","Absaroka"
"карау","Absarokee"
"караш","absarokite"
"карбощидроэен","ABSBH"
"карикатура","abscam"
"каркасы","abscess"
"карт","abscessed"
"карта","abscesses"
"карточка","abscessing"
"каршы","abscession"
"каршылык","abscessroot"
"каршылыкларга","abscind"
"карышу","abscise"
"карьера","abscised"
"каска","abscises"
"кат","abscisin"
"катгый","abscising"
"категория","abscisins"
"катлам","abscision"
"катлаулы","absciss"
"катнаш","abscissa"
"катнаша","abscissae"
"катнашма","abscissas"
"катнашу","abscissa's"
"катнашучы","abscisse"
"католик","abscissin"
"каты","abscission"
"кафе","abscissions"
"кафедрасы","absconce"
"качак","abscond"
"качу","absconded"
"качып","abscondedly"
"каш","abscondence"
"кая","absconder"
"квадрат","absconders"
"квалификация","absconding"
"квант","absconds"
"квартал","absconsa"
"кебек","abscoulomb"
"келәм","abscound"
"кем","Absecon"
"кемдер","absee"
"керегез","absey"
"керем","abseil"
"керемнең","abseiled"
"керерлек","abseiling"
"кертегез","abseils"
"кертем","absence"
"кертү","absences"
"керү","absence's"
"Керү","absent"
"кесә","absentation"
"кече","absented"
"кечерәйт-ү","absentee"
"кечерәк","absenteeism"
"кечид","absentees"
"кечкенә","absentee's"
"кеше","absenteeship"
"кешелек","absenter"
"кешеләр","absenters"
"кәгазь","absentia"
"кәеф","absenting"
"кәкре","absently"
"кәләш","absentment"
"кәнфит","absentminded"
"кәһвә","absent-minded"
"кәрзин","absentmindedly"
"кәсәбәче","absent-mindedly"
"кибет","absentmindedness"
"кием","absent-mindedness"
"киеренкелек","absentmindednesses"
"кий","absentness"
"кил","absents"
"килешү","absfarad"
"киләсе","abshenry"
"киләчәк","Abshier"
"киллер","Absi"
"килү","absinth"
"килүе","absinthe"
"килүче","absinthes"
"киметү","absinthial"
"кими","absinthian"
"кимү","absinthiate"
"кимүе","absinthiated"
"киндер","absinthiating"
"кинәт","absinthic"
"кино","absinthiin"
"киң","absinthin"
"киңейткән","absinthine"
"киңәйтелгән","absinthism"
"киңәйтү","absinthismic"
"киңәш","absinthium"
"киңәшче","absinthol"
"киңлек","absinthole"
"кип","absinths"
"кире","Absyrtus"
"Киресенчә","absis"
"кирәк","absist"
"кирәклек","absistos"
"кирпеч","absit"
"киртә","absmho"
"киселми","absohm"
"кисәк","absoil"
"кисәкчә","absolent"
"кисәтү","Absolute"
"кискен","absolutely"
"кислород","absoluteness"
"кислота","absoluter"
"кисү","absolutes"
"китап","absolutest"
"китапханә","absolution"
"китерсеннәр","absolutions"
"китрә","absolutism"
"китү","absolutist"
"китүе","absolutista"
"киты","absolutistic"
"кич","absolutistically"
"кичектергесез","absolutists"
"кичер","absolutive"
"кичә","absolutization"
"киштә","absolutize"
"клавиатура","absolutory"
"класс","absolvable"
"классик","absolvatory"
