"Bulgarian","English"
"макар","abandonedly"
"винаги","abandonee"
"съм","abandoner"
"невероятно","abandoners"
"американски","abandoning"
"между","abandonment"
"количество","abandonments"
"а","abandons"
"анализ","abandum"
"анализатор","abanet"
"анализирам","abanga"
"древен","Abanic"
"и","abannition"
"гняв","Abantes"
"ъгъл","abapical"
"ядосан","abaptiston"
"животно","abaptistum"
"годишнина","Abarambo"
"обявявам","Abarbarea"
"годишен","Abaris"
"друг","abarthrosis"
"отговор","abarticular"
"предвиждам","abarticulation"
"тревожност","Abas"
"всякакви","abase"
"никой","abased"
"вече","abasedly"
"всеки","abasedness"
"каквото","abasement"
"така","abasements"
"навсякъде","abaser"
"на","abasers"
"апартамент","abases"
"привидно","Abasgi"
"очевидно","abash"
"обжалване","abashed"
"се","abashedly"
"външен","abashedness"
"ябълка","abashes"
"приложение","abashing"
"Приложи","abashless"
"назначават","abashlessly"
"уговорка","abashment"
"оценявам","abashments"
"Приближаване","abasia"
"подходящ","abasias"
"одобрение","abasic"
"одобрявам","abasing"
"приблизително","abasio"
"арабски","abask"
"архитект","abassi"
"са","Abassieh"
"спорят","Abassin"
"аргумент","abastard"
"възникват","abastardize"
"ръка","abastral"
"въоръжен","abatable"
"армия","abatage"
"наоколо","Abate"
"подреди","abated"
"подреждане","abatement"
"арест","abatements"
"пристигане","abater"
"пристигат","abaters"
"изкуство","abates"
"статия","abatic"
"художник","abating"
"артистичен","abatis"
"като","abatised"
"Азиатски","abatises"
"настрана","abatjour"
"питам","abatjours"
"заспал","abaton"
"аспект","abator"
"нападение","abators"
"утвърждавам","ABATS"
"оценявам","abattage"
"Оценяване","abattis"
"актив","abattised"
"възлагат","abattises"
"възлагане","abattoir"
"съдейства","abattoirs"
"помощ","abattu"
"асистент","abattue"
"сътрудник","Abatua"
"асоциация","abature"
"предполагам","abaue"
"предположение","abave"
"уверявам","abaxial"
"при","abaxile"
"спортист","abaze"
"атлетичен","abb"
"атмосфера","Abba"
"атом","abbacy"
"прикрепете","abbacies"
"атака","abbacomes"
"опит","Abbadide"
"присъстват","Abbai"
"внимание","abbaye"
"поведение","abbandono"
"адвокат","abbas"
"привличат","abbasi"
"атрактивен","Abbasid"
"атрибут","abbassi"
"публика","Abbassid"
"автор","Abbasside"
"власт","Abbate"
"Автоматичен","abbatial"
"на","abbatical"
"средно","abbatie"
"да","Abbe"
"награда","Abbey"
"наясно","abbeys"
"осъзнаване","abbey's"
"далеч","abbeystead"
"ужасно","abbeystede"
"бебе","abbes"
"обратно","abbess"
"заден","abbesses"
"лошо","abbest"
"зле","Abbevilean"
"чанта","Abbeville"
"печем","Abbevillian"
"баланс","Abbi"
"топка","Abby"
"забрана","Abbie"
"банда","Abbye"
"банка","Abbyville"
"бар","abboccato"
"едва","abbogada"
"барел","Abbot"
"бариера","abbotcy"
"база","abbotcies"
"бейзбол","abbotnullius"
"основен","abbotric"
"основно","abbots"
"основа","abbot's"
"кошница","Abbotsen"
"баскетбол","Abbotsford"
"прилеп","abbotship"
"баня","abbotships"
"батерия","Abbotson"
"битка","Abbotsun"
"бъда","Abbott"
"плаж","Abbottson"
"боб","Abbottstown"
"мечка","Abboud"
"ритъм","abbozzo"
"красив","ABBR"
"красота","abbrev"
"защото","abbreviatable"
"да","abbreviate"
"легло","abbreviated"
"спалня","abbreviately"
"е","abbreviates"
"Бира","abbreviating"
"преди","abbreviation"
"започна","abbreviations"
"започнете","abbreviator"
"начало","abbreviatory"
"поведение","abbreviators"
"отзад","abbreviature"
"битие","abbroachment"
"вяра","ABC"
"вярвам","abcess"
"звънец","abcissa"
"принадлежат","abcoulomb"
"колан","ABCs"
"пейка","abd"
"извивам","abdal"
"отдолу","abdali"
"полза","abdaria"
"до","abdat"
"Освен","Abdel"
"най","Abd-el-Kadir"
"залагам","Abd-el-Krim"
"между","Abdella"
"отвъд","Abderhalden"
"Библия","Abderian"
"голям","Abderite"
"колело","Abderus"
"сметката","abdest"
"милиард","Abdias"
"обвързвам","abdicable"
"биологичен","abdicant"
"птица","abdicate"
"раждане","abdicated"
"рожден","abdicates"
"малко","abdicating"
"хапя","abdication"
"черен","abdications"
"острие","abdicative"
"обвинявам","abdicator"
"одеяло","Abdiel"
"сляп","abditive"
"блок","abditory"
"кръв","abdom"
"удар","abdomen"
"син","abdomens"
"дъска","abdomen's"
"лодка","abdomina"
"тяло","abdominal"
"бомба","Abdominales"
"бомбардиране","abdominalia"
"връзка","abdominalian"
"костен","abdominally"
"Книга","abdominals"
"бум","abdominoanterior"
"обувка","abdominocardiac"
"граница","abdominocentesis"
"роден","abdominocystic"
"взимам","abdominogenital"
"шеф","abdominohysterectomy"
"и","abdominohysterotomy"
"притеснявам","abdominoposterior"
"бутилка","abdominoscope"
"дъно","abdominoscopy"
"купен","abdominothoracic"
"граница","abdominous"
"купа","abdomino-uterotomy"
"кутия","abdominovaginal"
"момче","abdominovesical"
"гадже","Abdon"
"мозък","Abdu"
"клон","abduce"
"марка","abduced"
"хляб","abducens"
"прекъсване","abducent"
"закуска","abducentes"
"гърда","abduces"
"дъх","abducing"
"дишай","abduct"
"тухла","abducted"
"мост","abducting"
"кратко","abduction"
"за","abductions"
"ярък","abduction's"
"брилянтен","abductor"
"донесе","abductores"
"Британски","abductors"
"широк","abductor's"
"счупи","abducts"
"счупен","Abdul"
"брат","Abdul-Aziz"
"донесе","Abdul-baha"
"кафяво","Abdulla"
"четка","Abe"
"долар","a-be"
"бюджет","abeam"
"изграждане","abear"
"сграда","abearance"
"куршум","Abebi"
"куп","abecedaire"
"тежест","abecedary"
"горя","abecedaria"
"погребвам","abecedarian"
"автобус","abecedarians"
"бизнес","abecedaries"
"зает","abecedarium"
"но","abecedarius"
"масло","abed"
"бутон","abede"
"Купува","abedge"
"купувач","Abednego"
"от","abegge"
"кабина","Abey"
"шкаф","abeyance"
"кабел","abeyances"
"торта","abeyancy"
"изчисли","abeyancies"
"повикване","abeyant"
"дойде","abeigh"
"камера","ABEL"
"лагер","Abelard"
"кампания","abele"
"кампус","abeles"
"мога","Abelia"
"канадски","Abelian"
"рак","Abelicea"
"кандидат","Abelite"
"шапка","Abell"
"способност","Abelmoschus"
"способен","abelmosk"
"капацитет","abelmosks"
"капитал","abelmusk"
"капитан","Abelonian"
"улавяне","Abelson"
"кола","abeltree"
"въглерод","Abencerrages"
"карта","abend"
"грижи","abends"
"кариера","Abenezra"
"внимателен","abenteric"
"внимателно","Abeokuta"
"носител","abepithymia"
"носят","ABEPP"
"случай","Abercromby"
"пари","Abercrombie"
"гласове","Aberdare"
"котка","aberdavine"
"улов","Aberdeen"
"категория","Aberdeenshire"
"Католик","aberdevine"
"хванат","Aberdonian"
"причина","aberduvine"
"таван","Aberfan"
"празнуват","Aberglaube"
"празненство","Aberia"
"знаменитост","Aberystwyth"
"клетка","Abernant"
"цент","Abernathy"
"център","abernethy"
"централна","Abernon"
"век","aberr"
"изпълнителен","aberrance"
"церемония","aberrancy"
"сигурен","aberrancies"
"със","aberrant"
"верига","aberrantly"
"Председател","aberrants"
"председател","aberrate"
"предизвикателство","aberrated"
"камера","aberrating"
"шампион","aberration"
"шампионат","aberrational"
"шанс","aberrations"
"промяна","aberrative"
"променящ","aberrator"
"канал","aberrometer"
"глава","aberroscope"
"характер","Abert"
"Характеристика","aberuncate"
"характеризират","aberuncator"
"зареждане","abesse"
"благотворителност","abessive"
"диаграма","abet"
"преследване","abetment"
"евтино","abetments"
"проверка","abets"
"буза","abettal"
"сирене","abettals"
"готвач","abetted"
"химически","abetter"
"гръден","abetters"
"мацка","abetting"
"пиле","abettor"
"главен","abettors"
"дете","Abeu"
"детство","abevacuation"
"деца","abfarad"
"Китайски","abfarads"
"чип","ABFM"
"шоколад","Abgatha"
"избор","ABHC"
"холестерол","abhenry"
"избирам","abhenries"
"акорд","abhenrys"
"Кристиян","abhinaya"
"Коледа","abhiseka"
"църква","abhominable"
"цигара","abhor"
"кръг","abhorred"
"обстоятелство","abhorrence"
"цитирам","abhorrences"
"гражданин","abhorrency"
"град","abhorrent"
"граждански","abhorrently"
"цивилен","abhorrer"
"иск","abhorrers"
"клас","abhorrible"
"класически","abhorring"
"класна","abhors"
"чист","Abhorson"
"ясно","ABI"
"ясно","aby"
"клиент","Abia"
"климат","Abiathar"
"изкачвам","Abib"
"клиника","abichite"
"клинична","abidal"
"часовник","abidance"
"близо","abidances"
"отблизо","abidden"
"по","abide"
"облечете","abided"
"дрехи","abider"
"облекло","abiders"
"облак","abides"
"клуб","abidi"
"улика","abiding"
"клъстер","abidingly"
"треньор","abidingness"
"въглища","Abidjan"
"коалиция","Abydos"
"крайбрежие","Abie"
"палто","abye"
"код","abied"
"кафе","abyed"
"когнитивни","abiegh"
"студ","abience"
"колапс","abient"
"колега","Abies"
"събирайте","abyes"
"колекция","abietate"
"колективен","abietene"
"колеж","abietic"
"колониален","abietin"
"колония","Abietineae"
"цвят","abietineous"
"колона","abietinic"
"комбинация","abietite"
"комбинирай","Abiezer"
"идвам","Abigael"
"комедия","Abigail"
"комфорт","abigails"
"удобно","abigailship"
"команда","Abigale"
"командир","abigeat"
"коментар","abigei"
"търговски","abigeus"
"комисионна","Abihu"
"ангажирам","abying"
"ангажираност","Abijah"
"комисия","Abyla"
"често","abilao"
"общуват","Abilene"
"комуникация","abiliment"
"общност","Abilyne"
"търговско","abilitable"
"сравни","ability"
"сравнение","abilities"
"състезавам","ability's"
"конкуренция","abilla"
"конкурентен","abilo"
"състезател","abime"
"оплакват","Abimelech"
"оплакване","Abineri"
"завършен","Abingdon"
"напълно","Abinger"
"комплекс","Abington"
"сложен","Abinoam"
"съставна","Abinoem"
"композирайте","abintestate"
"композиция","abiogeneses"
"изчерпателен","abiogenesis"
"компютър","abiogenesist"
"концентрат","abiogenetic"
"концентрация","abiogenetical"
"концепция","abiogenetically"
"загриженост","abiogeny"
"обезпокоен","abiogenist"
"концерт","abiogenous"
"заключи","abiology"
"заключение","abiological"
"бетон","abiologically"
"състояние","abioses"
"поведение","abiosis"
"конференция","abiotic"
"увереност","abiotical"
"уверен","abiotically"
"потвърди","abiotrophy"
"конфликт","abiotrophic"
"конфронтира","Abipon"
"объркване","Abiquiu"
"конгрес","abir"
"конгресен","abirritant"
"свържете","abirritate"
"Връзка","abirritated"
"съзнание","abirritating"
"консенсус","abirritation"
"следствие","abirritative"
"консервативен","abys"
"обмисли","Abisag"
"значителен","Abisha"
"съображение","Abishag"
"състоя","Abisia"
"последователен","abysm"
"съгласен","abysmal"
"постоянен","abysmally"
"постоянно","abysms"
"съставляват","Abyss"
"конституционен","abyssa"
"конструкция","abyssal"
"строителство","abysses"
"консултант","Abyssinia"
"консумират","Abyssinian"
"консуматор","abyssinians"
"потребление","abyssobenthonic"
"контакт","abyssolith"
"съдържат","abyssopelagic"
"контейнер","abyss's"
"съвременен","abyssus"
"съдържание","abiston"
"състезание","abit"
"контекст","Abitibi"
"континент","Abiu"
"продължи","abiuret"
"продължи","Abixah"
"договор","abject"
"контраст","abjectedness"
"допринасят","abjection"
"принос","abjections"
"контрол","abjective"
"спорен","abjectly"
"противоречия","abjectness"
"конвенция","abjectnesses"
"конвенционален","abjoint"
"разговор","abjudge"
"конвертиране","abjudged"
"убеждение","abjudging"
"убеждавам","abjudicate"
"готвач","abjudicated"
"бисквитка","abjudicating"
"готвене","abjudication"
"готино","abjudicator"
"сътрудничество","abjugate"
"ченге","abjunct"
"справя","abjunction"
"копие","abjunctive"
"ядро","abjuration"
"царевица","abjurations"
"ъгъл","abjuratory"
"корпоративна","abjure"
"корпорация","abjured"
"правилно","abjurement"
"кореспондент","abjurer"
"цена","abjurers"
"памук","abjures"
"диван","abjuring"
"бих","abkar"
"съвет","abkari"
"съветник","abkary"
"броя","Abkhas"
"брояч","Abkhasia"
"страна","Abkhasian"
"окръг","Abkhaz"
"двойка","Abkhazia"
"кураж","Abkhazian"
"разбира","abl"
"съдебна","abl."
"братовчед","ablach"
"Покрийте","ablactate"
"покритие","ablactated"
"крава","ablactating"
"пукнатина","ablactation"
"правя","ablaqueate"
"катастрофа","ablare"
"луд","A-blast"
"крем","ablastemic"
"гънка","ablastin"
"създават","ablastous"
"създаване","ablate"
"творчески","ablated"
"създание","ablates"
"кредит","ablating"
"екипаж","ablation"
"престъпление","ablations"
"престъпен","ablatitious"
"криза","ablatival"
"критерии","ablative"
"критик","ablatively"
"критичен","ablatives"
"критика","ablator"
"критикувам","ablaut"
"реколта","ablauts"
"кръст","ablaze"
"тълпа","able"
"от","able-bodied"
"плача","able-bodiedness"
"културни","ableeze"
"култура","ablegate"
"чаша","ablegates"
"любопитен","ablegation"
"текущ","able-minded"
"понастоящем","able-mindedness"
"учебна","ablend"
"персонализиран","ableness"
"клиент","ablepharia"
"разрез","ablepharon"
"цикъл","ablepharous"
"татко","Ablepharus"
"ежедневно","ablepsy"
"щета","ablepsia"
"танц","ableptical"
"опасност","ableptically"
"опасно","abler"
"осмелявам","ables"
"тъмно","ablesse"
"мрак","ablest"
"данни","ablet"
"дата","ablewhackets"
"дъщеря","ably"
"ден","ablings"
"мъртъв","ablins"
"сделка","ablock"
"дилър","abloom"
"скъпи","ablow"
"смърт","ABLS"
"дебат","ablude"
"дълг","abluent"
"десетилетие","abluents"
"реши","ablush"
"десетичен","ablute"
"решение","abluted"
"палуба","ablution"
"декларирам","ablutionary"
"спад","ablutions"
"намаляват","abluvion"
"Дълбок","ABM"
"дълбоко","abmho"
"елен","abmhos"
"поражение","abmodality"
"защитавам","abmodalities"
"ответник","abn"
"защита","Abnaki"
"отбранителен","Abnakis"
"дефицит","abnegate"
"дефинирай","abnegated"
"определено","abnegates"
"определение","abnegating"
"степен","abnegation"
"забавяне","abnegations"
"доставям","abnegative"
"доставка","abnegator"
"търсенето","abnegators"
"демокрация","Abner"
"демократ","abnerval"
"демократичен","abnet"
"демонстрирам","abneural"
"демонстрация","abnormal"
"отричам","abnormalcy"
"отдел","abnormalcies"
"зависи","abnormalise"
"зависим","abnormalised"
"в","abnormalising"
"изобразявам","abnormalism"
"депресия","abnormalist"
"дълбочина","abnormality"
"депутат","abnormalities"
"извличам","abnormalize"
"описвам","abnormalized"
"описание","abnormalizing"
"пустинен","abnormally"
"заслужават","abnormalness"
"дизайн","abnormals"
"дизайнер","abnormity"
"желание","abnormities"
"бюро","abnormous"
"отчаян","abnumerable"
"въпреки","Abo"
"унищожи","aboard"
"унищожаване","aboardage"
"детайл","Abobra"
"подробно","abococket"
"откривам","abodah"
"определи","abode"
"развиват","aboded"
"развиващи","abodement"
"развитие","abodes"
"устройство","abode's"
"посвещавам","abody"
"диалог","aboding"
"речник","abogado"
"Направих","abogados"
"умират","abohm"
"диета","abohms"
"различават","aboideau"
"разлика","aboideaus"
"различен","aboideaux"
"различно","aboil"
"трудно","aboiteau"
"трудност","aboiteaus"
"копая","aboiteaux"
"дигитален","abolete"
"измерение","abolish"
"трапезария","abolishable"
"вечеря","abolished"
"директен","abolisher"
"посока","abolishers"
"директно","abolishes"
"директор","abolishing"
"мръсотия","abolishment"
"мръсен","abolishments"
"увреждане","abolishment's"
"не","abolition"
"изчезва","abolitionary"
"бедствие","abolitionise"
"дисциплина","abolitionised"
"дискурс","abolitionising"
"откривам","abolitionism"
"откритие","abolitionist"
"дискриминация","abolitionists"
"обсъждам","abolitionize"
"дискусия","abolitionized"
"болест","abolitionizing"
"чиния","abolitions"
"уволнявам","abolla"
"разстройство","abollae"
"дисплей","aboma"
"спор","abomas"
"разстояние","abomasa"
"далечни","abomasal"
"различен","abomasi"
"разграничение","abomasum"
"различавам","abomasus"
"разпределете","abomasusi"
"разпределение","A-bomb"
"област","abominability"
"разнообразен","abominable"
"разнообразие","abominableness"
"разделям","abominably"
"разделение","abominate"
"развод","abominated"
"ДНК","abominates"
"направете","abominating"
"лекар","abomination"
"документ","abominations"
"прави","abominator"
"куче","abominators"
"долар","abomine"
"битови","abondance"
"доминантен","Abongo"
"упражнявам","abonne"
"недей","abonnement"
"Свършен","aboon"
"врата","aborad"
"двойно","aboral"
"съмнение","aborally"
"надолу","abord"
"в","Aboriginal"
"дузина","aboriginality"
"чернова","aboriginally"
"плъзнете","aboriginals"
"драма","aboriginary"
"драматичен","Aborigine"
"драматично","aborigines"
"рисувам","aborigine's"
"чертеж","Abor-miri"
"мечта","Aborn"
"рокля","aborning"
"напитка","a-borning"
"шофиране","aborsement"
"шофьор","aborsive"
"изпускайте","abort"
"лекарство","aborted"
"суха","aborter"
"патица","aborters"
"в","aborticide"
"по","abortient"
"прах","abortifacient"
"задължение","abortin"
"всеки","aborting"
"нетърпелив","abortion"
"ухо","abortional"
"рано","abortionist"
"печелете","abortionists"
"печалби","abortions"
"земя","abortion's"
"лекота","abortive"
"лесно","abortively"
"изток","abortiveness"
"източен","abortogenic"
"лесно","aborts"
"Яжте","abortus"
"икономически","abortuses"
"икономика","abos"
"икономист","abote"
"икономика","Abott"
"ръб","abouchement"
"издание","aboudikro"
"редактор","abought"
"възпитавам","Aboukir"
"образование","aboulia"
"образователен","aboulias"
"възпитател","aboulic"
"ефект","abound"
"ефективен","abounded"
"ефективно","abounder"
"ефективност","abounding"
"ефективен","aboundingly"
"усилие","abounds"
"яйце","Abourezk"
"осем","about"
"или","about-face"
"възрастен","about-faced"
"избират","about-facing"
"избори","abouts"
"електрически","about-ship"
"електричество","about-shipped"
"електронни","about-shipping"
"елемент","about-sledge"
"елементарен","about-turn"
"премахване","above"
"елит","aboveboard"
"иначе","above-board"
"другаде","above-cited"
"електронна","abovedeck"
"прегръдка","above-found"
"изникват","above-given"
"спешен","aboveground"
"емисия","abovementioned"
"емоция","above-mentioned"
"емоционален","above-named"
"акцент","aboveproof"
"подчертават","above-quoted"
"наемам","above-reported"
"служител","aboves"
"работодател","abovesaid"
"наемане","above-said"
"празна","abovestairs"
"активирайте","above-water"
"сблъскване","above-written"
"насърчават","abow"
"край","abox"
"враг","Abp"
"енергия","ABPC"
"изпълнение","Abqaiq"
"ангажирайте","abr"
"двигател","abr."
"инженер","Abra"
"инженерство","abracadabra"
"Английски","abrachia"
"засилване","abrachias"
"наслади","abradable"
"огромен","abradant"
"достатъчно","abradants"
"гарантира","abrade"
"влезте","abraded"
"предприятие","abrader"
"забавление","abraders"
"цяла","abrades"
"изцяло","abrading"
"вход","Abraham"
"влизане","Abrahamic"
"заобикаляща","Abrahamidae"
"екологична","Abrahamite"
"епизод","Abrahamitic"
"равни","Abraham-man"
"по","Abrahams"
"приравнявам","Abrahamsen"
"оборудване","Abrahan"
"епоха","abray"
"грешка","abraid"
"бягство","Abram"
"особено","Abramis"
"есе","Abramo"
"съществено","Abrams"
"по","Abramson"
"установяват","Abran"
"заведение","abranchial"
"имоти","abranchialism"
"оценка","abranchian"
"и","Abranchiata"
"етика","abranchiate"
"етнически","abranchious"
"европейски","abrasax"
"оценявам","abrase"
"оценка","abrased"
"дори","abraser"
"вечер","abrash"
"събитие","abrasing"
"в","abrasiometer"
"някога","abrasion"
"всеки","abrasions"
"всички","abrasion's"
"всеки","abrasive"
"всеки","abrasively"
"всичко","abrasiveness"
"навсякъде","abrasivenesses"
"доказателства","abrasives"
"еволюция","abrastol"
"развиват","abraum"
"точен","abraxas"
"точно","abrazite"
"Преглед","abrazitic"
"прегледайте","abrazo"
"пример","abrazos"
"надвишава","abreact"
"отлично","abreacted"
"с","abreacting"
"изключение","abreaction"
"обмен","abreactions"
"възбуждам","abreacts"
"вълнуващо","abreast"
"изпълнителна","abreed"
"упражнение","abrege"
"експонат","abreid"
"изложба","abrenounce"
"съществуват","abrenunciate"
"съществуване","abrenunciation"
"съществуващи","abreption"
"разширяване","abret"
"експанзия","abreuvoir"
"очаквам","abri"
"очакване","abrico"
"разход","abricock"
"скъпо","abricot"
"опит","abridgable"
"експеримент","abridge"
"експерт","abridgeable"
"обясни","abridged"
"обяснение","abridgedly"
"избухвам","abridgement"
"изследвайте","abridgements"
"експлозия","abridger"
"изложи","abridgers"
"излагане","abridges"
"експресно","abridging"
"израз","abridgment"
"разшири","abridgments"
"разширение","abrim"
"обширен","abrin"
"степен","abrine"
"външен","abris"
"допълнително","abristle"
"извънредно","abroach"
"екстремни","abroad"
"изключително","Abrocoma"
"око","abrocome"
"плат","abrogable"
"лице","abrogate"
"съоръжение","abrogated"
"факт","abrogates"
"фактор","abrogating"
"фабрика","abrogation"
"факултет","abrogations"
"избледняват","abrogative"
"провалят","abrogator"
"провал","abrogators"
"справедлив","Abroma"
"справедливо","Abroms"
"вяра","Abronia"
"падне","abrood"
"познат","abrook"
"семейство","abrosia"
"известен","abrosias"
"вентилатор","abrotanum"
"фантазия","abrotin"
"далеч","abrotine"
"ферма","abrupt"
"земеделски","abruptedly"
"мода","abrupter"
"бърз","abruptest"
"дебел","abruptio"
"съдба","abruption"
"баща","abruptiones"
"грешка","abruptly"
"услуга","abruptness"
"любима","Abrus"
"страх","Abruzzi"
"отличителен","ABS"
"федерален","abs-"
"такса","Absa"
"фураж","Absalom"
"Усещам","absampere"
"усещане","Absaraka"
"крака","Absaroka"
"падна","Absarokee"
"Колега","absarokite"
"чувствах","ABSBH"
"женски","abscam"
"ограда","abscess"
"малцина","abscessed"
"фибри","abscesses"
"измислица","abscessing"
"поле","abscession"
"петнадесет","abscessroot"
"пети","abscind"
"петдесет","abscise"
"фиг","abscised"
"битка","abscises"
"боец","abscisin"
"бой","abscising"
"фигура","abscisins"
"файл","abscision"
"попълнете","absciss"
"филм","abscissa"
"финал","abscissae"
"накрая","abscissas"
"финанси","abscissa's"
"финансови","abscisse"
"намирам","abscissin"
"намиране","abscission"
"глоба","abscissions"
"пръст","absconce"
"завършек","abscond"
"пожар","absconded"
"твърд","abscondedly"
"първо","abscondence"
"риба","absconder"
"риболов","absconders"
"подходящ","absconding"
"фитнес","absconds"
"пет","absconsa"
"поправям","abscoulomb"
"флаг","abscound"
"пламък","Absecon"
"апартамент","absee"
"аромат","absey"
"бягай","abseil"
"плът","abseiled"
"полет","abseiling"
"плува","abseils"
"етаж","absence"
"поток","absences"
"цвете","absence's"
"летя","absent"
"фокус","absentation"
"народни","absented"
"последвам","absentee"
"следване","absenteeism"
"храна","absentees"
"крак","absentee's"
"футбол","absenteeship"
"за","absenter"
"сила","absenters"
"чуждестранен","absentia"
"гора","absenting"
"завинаги","absently"
"забрави","absentment"
"форма","absentminded"
"официален","absent-minded"
"формация","absentmindedly"
"бивш","absent-mindedly"
"формула","absentmindedness"
"напред","absent-mindedness"
"богатство","absentmindednesses"
"напред","absentness"
"намерени","absents"
"фондация","absfarad"
"основател","abshenry"
"четири","Abshier"
"четвърти","Absi"
"фракция","absinth"
"кадър","absinthe"
"рамка","absinthes"
"Безплатно","absinthial"
"свобода","absinthian"
"замръзвам","absinthiate"
"Френски","absinthiated"
"честота","absinthiating"
"често","absinthic"
"често","absinthiin"
"прясно","absinthin"
"приятел","absinthine"
"приятелски","absinthism"
"приятелство","absinthismic"
"от","absinthium"
"отпред","absinthol"
"плод","absinthole"
"разочарование","absinths"
"гориво","Absyrtus"
"пълен","absis"
"напълно","absist"
"забавно","absistos"
"функция","absit"
"фонд","absmho"
"фундаментален","absohm"
"финансиране","absoil"
"погребение","absolent"
"забавен","Absolute"
"мебели","absolutely"
"освен","absoluteness"
"бъдеще","absoluter"
"печалба","absolutes"
"галактика","absolutest"
"галерия","absolution"
"игра","absolutions"
"банда","absolutism"
"празнина","absolutist"
"гараж","absolutista"
"градина","absolutistic"
"чесън","absolutistically"
"газ","absolutists"
"порта","absolutive"
"събирам","absolutization"
"даде","absolutize"
"гей","absolutory"
"поглед","absolvable"
"предавка","absolvatory"
"пол","absolve"
"ген","absolved"
"общ","absolvent"
"в","absolver"
"генерират","absolvers"
"поколение","absolves"
"генетични","absolving"
"лек","absolvitor"
"джентълмен","absolvitory"
"нежно","absonant"
"Немски","absonous"
"жест","absorb"
"получи","absorbability"
"призрак","absorbable"
"гигант","absorbance"
"подарък","absorbancy"
"надарен","absorbant"
"момиче","absorbed"
"приятелка","absorbedly"
"дайте","absorbedness"
"дадено","absorbefacient"
"радвам","absorbency"
"поглед","absorbencies"
"стъклена","absorbent"
"глобален","absorbents"
"ръкавица","absorber"
"отивам","absorbers"
"цел","absorbing"
"Бог","absorbingly"
"злато","absorbition"
"златен","absorbs"
"голф","absorbtion"
"си","absorpt"
"добре","absorptance"
"има","absorptiometer"
"управлява","absorptiometric"
"правителство","absorption"
"Губернатор","absorptional"
"грабнете","absorptions"
"клас","absorption's"
"постепенно","absorptive"
"завършвам","absorptively"
"зърно","absorptiveness"
"грандиозен","absorptivity"
"дядо","absquatulate"
"баба","absquatulation"
"грант","abstain"
"трева","abstained"
"гроб","abstainer"
"сиво","abstainers"
"страхотен","abstaining"
"най","abstainment"
"зелено","abstains"
"нарасна","abstemious"
"хранителни","abstemiously"
"земята","abstemiousness"
"група","abstention"
"растат","abstentionism"
"нарастващ","abstentionist"
"растеж","abstentions"
"гаранция","abstentious"
"охрана","absterge"
"предполагам","absterged"
"гост","abstergent"
"ръководство","absterges"
"насока","absterging"
"виновен","absterse"
"пистолет","abstersion"
"човек","abstersive"
"навик","abstersiveness"
"среда","abstertion"
"имаше","abstinence"
"коса","abstinences"
"половината","abstinency"
"зала","abstinent"
"ръка","abstinential"
"шепа","abstinently"
"дръжка","abstort"
"виси","abstr"
"се","abstract"
"щастлив","abstractable"
"трудно","abstracted"
"едва","abstractedly"
"има","abstractedness"
