"Myanmar","English"
"ကြွေကျ","Abarbarea"
"ကြားကာလ","Abaris"
"ကြားထဲက","abarthrosis"
"ကြားနေ","abarticular"
"ကြားလား။","abarticulation"
"ကြာပွတ်","Abas"
"ကြာသပတေးနေ့","abase"
"ကြိတ်","abased"
"ကြိမ်လုံး","abasedly"
"ကြိုး","abasedness"
"ကြိုးစားပါ","abasement"
"ကြိုးစားပါ။","abasements"
"ကြိုးစားအားထုတ်မှု","abaser"
"ကြိုးတစ်ချောင်း","abasers"
"ကြိုးပမ်းမှု","abases"
"ကြိုက်တယ်။","Abasgi"
"ကြိုဆိုပါတယ်။","abash"
"ကြိုတင်","abashed"
"ကြိုတင်မှာထား","abashedly"
"ကြီးကြပ်","abashedness"
"ကြီးတယ်။","abashes"
"ကြီးထွား","abashing"
"ကြီးထွားမှု","abashless"
"ကြီးထွားလာသည်။","abashlessly"
"ကြီးမားသည်။","abashment"
"ကြီးမားသော","abashments"
"ကြုံတွေ့ရသည်။","abasia"
"ကြေးမုံ","abasias"
"ကြေကွဲစရာ","abasic"
"ကြေကွဲဖွယ်","abasing"
"ကြေငြာ","abasio"
"ကြေငြာချက်","abask"
"ကြေညာချက်","abassi"
"ကြော့","Abassieh"
"ကြောက်စရာ","Abassin"
"ကြောက်စရာကောင်းတဲ့","abastard"
"ကြောက်စရာကောင်းသော","abastardize"
"ကြောက်တယ်။","abastral"
"ကြောက်မက်ဖွယ်ကောင်းသော","abatable"
"ကြောက်ရွံ့ခြင်း။","abatage"
"ကြောင်","Abate"
"ကြော်ငြာ","abated"
"ကလပ်","abatement"
"ကလေး","abatements"
"ကလေးဘဝ","abater"
"ကွက်","abaters"
"ကွင်း","abates"
"ကွင်းဆက်","abatic"
"ကွတ်ကီး","abating"
"ကွန်ကရစ်","abatis"
"ကွန်တိန်နာ","abatised"
"ကွန်ပျူတာ","abatises"
"ကွန်မြူနစ်","abatjour"
"ကွန်ရက်","abatjours"
"ကွမ်တမ်","abaton"
"ကွယ်ပျောက်","abator"
"ကွာ","abators"
"ကွာခြားချက်","ABATS"
"ကွာတား","abattage"
"ကွာရှင်းခြင်း။","abattis"
"ကွာဟချက်","abattised"
"ကွဲ","abattises"
"ကွဲပြားမှု","abattoir"
"ကွဲပြားသည်။","abattoirs"
"ကား","abattu"
"ကားဂိုဒေါင်","abattue"
"ကားပါကင်","Abatua"
"ကားသမား","abature"
"ကာကွယ်ဆေး","abaue"
"ကာကွယ်ရေး","abave"
"ကာကွယ်သည်","abaxial"
"ကာကွယ်သည်။","abaxile"
"ကာတွန်း","abaze"
"ကာဗွန်","abb"
"ကာဗာ","Abba"
"ကာလ","abbacy"
"ကာလအတွင်း","abbacies"
"ကိစ္စ","abbacomes"
"ကိတ်မုန့်","Abbadide"
"ကိရိယာ","Abbai"
"ကိုး","abbaye"
"ကိုးကား","abbandono"
"ကိုးရီးယား","abbas"
"ကိုက်တယ်။","abbasi"
"ကိုင်","Abbasid"
"ကိုင်း","abbassi"
"ကိုင်တွယ်","Abbassid"
"ကိုင်တွယ်ဖြေရှင်း","Abbasside"
"ကိုယ့်ကိုယ်ကို","Abbate"
"ကိုယ့်ကိုယ်ကို","abbatial"
"ကိုယ်ကျင့်တရား","abbatical"
"ကိုယ်ခံအား","abbatie"
"ကိုယ်ချင်းစာ","Abbe"
"ကိုယ်စား","Abbey"
"ကိုယ်စားပြုမှု","abbeys"
"ကိုယ်စားပြုသည်။","abbey's"
"ကိုယ်စားလှယ်","abbeystead"
"ကိုယ်စားလှယ်လောင်း","abbeystede"
"ကိုယ်တိုင်","abbes"
"ကိုယ်ပိုင်","abbess"
"ကိုယ်ရံတော်","abbesses"
"ကိုယ်ရည်ကိုယ်သွေး","abbest"
"ကိုယ်ရေးကိုယ်တာ","Abbevilean"
"ကိုယ်ရေးအကျဉ်း","Abbeville"
"ကိုယ်လုံးတီး","Abbevillian"
"ကိုယ်ဝန်","Abbi"
"ကိုယ်ဝန်ဖျက်ချခြင်း။","Abby"
"ကိုယ်ဟန်ပြ","Abbie"
"ကိုယ်အလေးချိန်","Abbye"
"ကိုရှောင်ရှား","Abbyville"
"ကိုလက်စထရော","abboccato"
"ကိုလည်း","abbogada"
"ကိုလိုနီ","Abbot"
"ကိုလိုနီခေတ်","abbotcy"
"ကိုိ","abbotcies"
"ကီးဘုတ်","abbotnullius"
"ကုစားပါ။","abbotric"
"ကုထုံး","abbots"
"ကုထုံးဆရာ","abbot's"
"ကုဒ်","Abbotsen"
"ကုန်းစောင်း","Abbotsford"
"ကုန်ကျစရိတ်","abbotship"
"ကုန်ကြမ်း","abbotships"
"ကုန်စည်","Abbotson"
"ကုန်စုံ","Abbotsun"
"ကုန်တိုက်","Abbott"
"ကုန်ထုတ်စွမ်းအား","Abbottson"
"ကုန်ထုတ်လုပ်မှု","Abbottstown"
"ကုန်သည်","Abboud"
"ကုန်သွယ်မှု","abbozzo"
"ကုမ္ပဏီ","ABBR"
"ကုလားကာ","abbrev"
"ကုလားထိုင်","abbreviatable"
"ကုသမှု","abbreviate"
"ကုသိုလ်","abbreviated"
"ကုို","abbreviately"
"ကူးစက်ခြင်း","abbreviates"
"ကူးစက်ပျံ့နှံ့သည်","abbreviating"
"ကူးစက်မှု","abbreviation"
"ကူးသန်းရောင်းဝယ်ရေး","abbreviations"
"ကူညီကြပါ","abbreviator"
"ကူညီပေးပါ။","abbreviatory"
"ကေဘယ်လ်","abbreviators"
"ကောက်","abbreviature"
"ကောက်ကြောင်း","abbroachment"
"ကောက်ကိုင်လိုက်သည်","ABC"
"ကောက်ချက်ချ","abcess"
"ကောင်းကင်","abcissa"
"ကောင်းချီး","abcoulomb"
"ကောင်းတယ်","ABCs"
"ကောင်းတဲ့","abd"
"ကောင်းပြီ","abdal"
"ကောင်းဘွိုင်","abdali"
"ကောင်းမြတ်ခြင်း","abdaria"
"ကောင်စီ","abdat"
"ကောင်လေး","Abdel"
"ကောလဟာလ","Abd-el-Kadir"
"ကောလိပ်","Abd-el-Krim"
"ကော်ဇော","Abdella"
"ကော်ပိုရေးရှင်း","Abderhalden"
"ကော်ပီ","Abderian"
"ကော်ဖီ","Abderite"
"ကော်မတီ","Abderus"
"ကော်မရှင်","abdest"
"ကော်မရှင်နာ","Abdias"
"ကော်လံ","abdicable"
"ကော်လာ","abdicant"
"ခံစစ်","abdicate"
"ခံစားချက်","abdicated"
"ခံစားနေရသည်။","abdicates"
"ခံစားမှု","abdicating"
"ခံယူချက်","abdication"
"ခံရတဲ့","abdications"
"ခက်ခဲသော","abdicative"
"ခက်တယ်။","abdicator"
"ခင်ပွန်း","Abdiel"
"ခင်ဗျာ။","abditive"
"ခင်မင်မှု","abditory"
"ခဏ","abdom"
"ခန့်မှန်း","abdomen"
"ခန့်မှန်းချက်","abdomens"
"ခန့်မှန်းခြေ","abdomen's"
"ခန့်အပ်","abdomina"
"ခန္ဓာကိုယ်","abdominal"
"ခန်းမ","Abdominales"
"ခပ်ဆင်ဆင်","abdominalia"
"ခပ်အေးအေး","abdominalian"
"ချက်ချင်း","abdominally"
"ချက်ပြုတ်","abdominals"
"ချစ်စရာ","abdominoanterior"
"ချစ်စရာကောင်းတဲ့","abdominocardiac"
"ချစ်ပ်ပြား","abdominocentesis"
"ချစ်လှစွာသော","abdominocystic"
"ချစ်လေး","abdominogenital"
"ချစ်သူ","abdominohysterectomy"
"ချစ်သော","abdominohysterotomy"
"ချဉ်းကပ်","abdominoposterior"
"ချည်","abdominoscope"
"ချတယ်။","abdominoscopy"
"ချန်နယ်","abdominothoracic"
"ချန်ပီယံ","abdominous"
"ချန်လှပ်","abdomino-uterotomy"
"ချမ်းသာတယ်။","abdominovaginal"
"ချွတ်","abdominovesical"
"ချွေး","Abdon"
"ချိတ်","Abdu"
"ချိတ်ဆက်ပါ။","abduce"
"ချိတ်ဆက်မှု","abduced"
"ချို့ယွင်းချက်","abducens"
"ချိုး","abducent"
"ချိုးဖောက်","abducentes"
"ချိုးဖောက်မှု","abduces"
"ချိုင့်ဝှမ်း","abducing"
"ချိုမြိန်","abduct"
"ချီးမွမ်း","abducted"
"ချီတက်","abducting"
"ချီတက်ပွဲ","abduction"
"ချုံ","abductions"
"ချုပ်","abduction's"
"ချုပ်ကိုင်","abductor"
"ချုပ်နှောင်ထားသည်။","abductores"
"ချေး","abductors"
"ချေးငွေ","abductor's"
"ချေးပါ။","abducts"
"ချေမှုန်းခြင်း။","Abdul"
"ချောကလက်","Abdul-Aziz"
"ချောက်","Abdul-baha"
"ချောက်ကမ်းပါး","Abdulla"
"ချောင်","Abe"
"ချောင်း","a-be"
"ချောမွေ့","abeam"
"ချော်","abear"
"ချဲ့ထွင်ခြင်း။","abearance"
"ချဲ့ထွင်ပါ။","Abebi"
"ခရစ္စမတ်","abecedaire"
"ခရစ်ယာန်","abecedary"
"ခရစ်ယာန်ဘာသာ","abecedaria"
"ခရမ်းချဉ်သီး","abecedarian"
"ခရမ်းရောင်","abecedarians"
"ခရိုင်","abecedaries"
"ခရီး","abecedarium"
"ခရီးသည်","abecedarius"
"ခရီးသွား","abed"
"ခြံ","abede"
"ခြံစည်းရိုး","abedge"
"ခြင်္သေ့","Abednego"
"ခြစ်","abegge"
"ခြယ်လှယ်သည်။","Abey"
"ခြွင်းချက်","abeyance"
"ခြိမ်းခြောက်","abeyances"
"ခြိမ်းခြောက်မှု","abeyancy"
"ခြုံ","abeyancies"
"ခြုံငုံ","abeyant"
"ခြေ","abeigh"
"ခြေချင်းဝတ်","ABEL"
"ခြေချောင်း","Abelard"
"ခြေထောက်","abele"
"ခြေလက်","abeles"
"ခြေအိတ်","Abelia"
"ခြောက်","Abelian"
"ခြောက်သွေ့","Abelicea"
"ခလုတ်","Abelite"
"ခွက်","Abell"
"ခွင့်ပြုချက်","Abelmoschus"
"ခွင့်ပြုပါ။","abelmosk"
"ခွင့်လွှတ်ပါ။","abelmosks"
"ခွင့်ပြု","abelmusk"
"ခွန်အား","Abelonian"
"ခွေး","Abelson"
"ခွေးကောင်","abeltree"
"ခွေးမ","Abencerrages"
"ခွဲခြမ်းစိတ်ဖြာ","abend"
"ခွဲခြမ်းစိတ်ဖြာခြင်း","abends"
"ခွဲခြား","Abenezra"
"ခွဲခြားဆက်ဆံခံရမှု","abenteric"
"ခွဲခြားသတ်မှတ်","Abeokuta"
"ခွဲခွာခြင်း","abepithymia"
"ခွဲစိတ်ဆရာဝန်","ABEPP"
"ခွဲစိတ်မှု","Abercromby"
"ခါး","Abercrombie"
"ခါးပတ်","Aberdare"
"ခိုး","aberdavine"
"ခိုးကြောင်ခိုးဝှက်","Aberdeen"
"ခိုးမှု","Aberdeenshire"
"ခိုင်မာတယ်။","aberdevine"
"ခုံတန်းရှည်","Aberdonian"
"ခုံထောက်","aberduvine"
"ခုခံ","Aberfan"
"ခုခံမှု","Aberglaube"
"ခုတ်","Aberia"
"ခုနှစ်","Aberystwyth"
"ခုန်","Abernant"
"ခုန်လွှား","Abernathy"
"ခေတ္တရပ်ပါ။","abernethy"
"ခေတ်","Abernon"
"ခေတ်ပြိုင်","aberr"
"ခေတ်မီ","aberrance"
"ခေတ်မီသည်။","aberrancy"
"ခေါ","aberrancies"
"ခေါက်","aberrant"
"ခေါင်","aberrantly"
"ခေါင်း","aberrants"
"ခေါင်းကိုက်ခြင်း။","aberrate"
"ခေါင်းစဉ်တပ်သည်","aberrated"
"ခေါင်းစဥ်","aberrating"
"ခေါင်းစီး","aberration"
"ခေါင်းဆောင်","aberrational"
"ခေါင်းဆောင်မှု","aberrations"
"ခေါင်းညိတ်","aberrative"
"ခေါင်းလောင်း","aberrator"
"ခေါင်းအုံး","aberrometer"
"ခေါင်မိုး","aberroscope"
"ခေါ်ဆိုပါ။","Abert"
"ခဲ","aberuncate"
"ဂစ်တာ","aberuncator"
"ဂန္ထဝင်","abesse"
"ဂယက်","abessive"
"ဂျက်","abet"
"ဂျက်ဇ်","abetment"
"ဂျင်းဘောင်းဘီ","abetments"
"ဂျပန်","abets"
"ဂျာနယ်","abettal"
"ဂျာမန်","abettals"
"ဂျုံ","abetted"
"ဂျူး","abetter"
"ဂျူရီလူကြီးစု","abetters"
"ဂရပ်","abetting"
"ဂရပ်ဖစ်","abettor"
"ဂရမ်","abettors"
"ဂရိ","Abeu"
"ဂရုစိုက်ပါ။","abevacuation"
"ဂရုတစိုက်","abfarad"
"ဂြိုလ်","abfarads"
"ဂြိုလ်တု","ABFM"
"ဂြိုလ်သား","Abgatha"
"ဂလက်ဆီ","ABHC"
"ဂါလံ","abhenry"
"ဂိတ်","abhenries"
"ဂိမ်း","abhenrys"
"ဂိုဏ်း","abhinaya"
"ဂီတ","abhiseka"
"ဂီတပညာရှင်","abhominable"
"ဂီယာ","abhor"
"ဂုဏ်","abhorred"
"ဂုဏ်ယူတယ်။","abhorrence"
"ဂုဏ်ရည်","abhorrences"
"ဂုဏ်သတင်း","abhorrency"
"ဂုဏ်သိက္ခာ","abhorrent"
"ဂူ","abhorrently"
"ဂေး","abhorrer"
"ဂေဟစနစ်","abhorrers"
"ဂေါ့ဖ်","abhorrible"
"ငံပြာရည်","abhorring"
"ငတုံး","abhors"
"ငရုတ်ကောင်း","Abhorson"
"ငရဲ","ABI"
"ငြင်း","aby"
"ငြင်းခုန်ပါ။","Abia"
"ငြင်းဆို","Abiathar"
"ငြင်းဆိုခြင်း။","Abib"
"ငြင်းပယ်","abichite"
"ငြိမ်းချမ်းစွာအိပ်စက်နိုင်စေသော်ဝ်","abidal"
"ငြိမ်းချမ်းရေး","abidance"
"ငြိမ်းချမ်းသော","abidances"
"ငလျင်","abidden"
"ငွေ","abide"
"ငွေကြေး","abided"
"ငွေကြေးဖောင်းပွမှု","abider"
"ငွေပေးချေမှု","abiders"
"ငွေပေးငွေယူ","abides"
"ငွေသား","abidi"
"ငှက်","abiding"
"ငှက်ပျောသီး","abidingly"
"ငှား","abidingness"
"ငါ","Abidjan"
"ငါ့","Abydos"
"ငါ့ကို","Abie"
"ငါး","abye"
"ငါးဆယ်","abied"
"ငါးဖမ်း","abyed"
"ငါးမန်း","abiegh"
"ငါတို့","abience"
"ငါတို့ရဲ့","abient"
"ငိုပါ။","Abies"
"ငဲ့","abyes"
"စံ","abietate"
"စံပြ","abietene"
"စကင်န်","abietic"
"စကတ်","abietin"
"စကြဝဠာ","Abietineae"
"စကားစပ်","abietineous"
"စကားစမြည်","abietinic"
"စကားစု","abietite"
"စကားပြော","Abiezer"
"စကားပြောပါ။","Abigael"
"စကားမပြောနိုင်","Abigail"
"စကားရည်လုပွဲ","abigails"
"စကားလုံး","abigailship"
"စကားဝိုင်း","Abigale"
"စကားအပြောအဆို","abigeat"
"စက္ကူ","abigei"
"စက်","abigeus"
"စက်ကိရိယာ","Abihu"
"စက်တင်ဘာ","abying"
"စက်ပြင်","Abijah"
"စက်ပိုင်းဆိုင်ရာ","Abyla"
"စက်ဘီး","abilao"
"စက်မှု","Abilene"
"စက်မှုလုပ်ငန်း","abiliment"
"စက်ရုံ","Abilyne"
"စက်ရုပ်","abilitable"
"စက်လုံး","ability"
"စက်ဝိုင်း","abilities"
"စခန်း","ability's"
"စင်","abilla"
"စင်းလုံးငှား","abilo"
"စင်မြင့်","abime"
"စင်္ကြံ","Abimelech"
"စစ်ဆင်ရေး","Abineri"
"စစ်ဆေးပါ။","Abingdon"
"စစ်ဆေးရေး","Abinger"
"စစ်ဆေးရေးမှူး","Abington"
"စစ်တပ်","Abinoam"
"စစ်တမ်း","Abinoem"
"စစ်ပွဲ","abintestate"
"စစ်မှန်သော","abiogeneses"
"စစ်သည်တော်","abiogenesis"
"စစ်သား","abiogenesist"
"စစ်အုပ်စု","abiogenetic"
"စဉ်းစားနေသည်။","abiogenetical"
"စဉ်းစားပါ။","abiogenetically"
"စဉ်ဆက်မပြတ်","abiogeny"
"စဉ်တွင်","abiogenist"
"စည်","abiogenous"
"စည်း","abiology"
"စည်းကမ်း","abiological"
"စည်းကြပ်သည်။","abiologically"
"စည်းစိမ်ဥစ္စာ","abioses"
"စည်းမျဉ်း","abiosis"
"စည်းရုံး","abiotic"
"စည်းရုံးသိမ်းသွင်းပါ။","abiotical"
"စည်းလုံးညီညွတ်","abiotically"
"စည်းလုံးညီညွတ်မှု","abiotrophy"
"စည်းလုံးတယ်။","abiotrophic"
"စည်းဝေးပွဲ","Abipon"
"စတင်","Abiquiu"
"စတင်ပါ။","abir"
"စတင်သူ","abirritant"
"စတိုးဆိုင်","abirritate"
"စတိုင်","abirritated"
"စတုတ္ထ","abirritating"
"စတုရန်း","abirritation"
"စတူဒီယို","abirritative"
"စတော့","abys"
"စထရိ","Abisag"
"စနစ်","Abisha"
"စနစ်တကျ","Abishag"
"စနေနေ့","Abisia"
"စန္ဒယား","abysm"
"စန်း","abysmal"
"စပွန်ဆာ","abysmally"
"စပါး","abysms"
"စပါးကျီ","Abyss"
"စပိန်","abyssa"
"စပီကာ","abyssal"
"စပ်စု","abysses"
"စမတ်","Abyssinia"
"စမ်းသပ်","Abyssinian"
"စမ်းသပ်ခန်း","abyssinians"
"စမ်းသပ်ခြင်း","abyssobenthonic"
"စမ်းသပ်မှု","abyssolith"
"စျေးကွက်","abyssopelagic"
"စျေးကွက်ရှာဖွေရေး","abyss's"
"စျေးနှုန်း","abyssus"
"စျေးပေါတယ်။","abiston"
"စျေးဝယ်","abit"
"စရိုက်","Abitibi"
"စွန့်စားမှု","Abiu"
"စွန့်လွှတ်","abiuret"
"စွပ်","Abixah"
"စွပ်စွဲချက်","abject"
"စွပ်စွဲသည်။","abjectedness"
"စွမ်းဆောင်ရည်","abjection"
"စွမ်းရည်","abjections"
"စွမ်းအင်","abjective"
"စွဲလမ်းခြင်း။","abjectly"
"စသည်တို့","abjectness"
"စာ","abjectnesses"
"စားပွဲ","abjoint"
"စားပွဲခုံ","abjudge"
"စားဖိုမှူး","abjudged"
"စားသည်","abjudging"
"စားသုံးပါ။","abjudicate"
"စားသုံးမှု","abjudicated"
"စားသုံးသူ","abjudicating"
"စားသောက်ခြင်း။","abjudication"
"စားသောက်ဆိုင်","abjudicator"
"စာကြည့်တိုက်","abjugate"
"စာချုပ်","abjunct"
"စာစီစာကုံး","abjunction"
"စာတတ်မြောက်ခြင်း။","abjunctive"
"စာနယ်ဇင်း","abjuration"
"စာပိုဒ်","abjurations"
"စာပေ","abjuratory"
"စာဖတ်ခြင်း။","abjure"
"စာဖတ်သူကို","abjured"
"စာမျက်နှာ","abjurement"
"စာမေးပွဲ","abjurer"
"စာရင်း","abjurers"
"စာရင်းကိုင်","abjures"
"စာရင်းဇယား","abjuring"
"စာရင်းသွင်းပါ။","abkar"
"စာရင်းအင်း","abkari"
"စာရွက်","abkary"
"စာရွက်စာတမ်း","Abkhas"
"စာရေး","Abkhasia"
"စာရေးဆရာ","Abkhasian"
"စာရေးသူ","Abkhaz"
"စာလုံးပေါင်း","Abkhazia"
"စာသင်ခန်း","Abkhazian"
"စာသား","abl"
"စာအိတ်","abl."
"စာအုပ်","ablach"
"စိစစ်ခြင်း။","ablactate"
"စိစစ်ပါ။","ablactated"
"စိတ္တဇ","ablactating"
"စိတ္ပညာ","ablactation"
"စိတ်","ablaqueate"
"စိတ်ကြိုက်","ablare"
"စိတ်ကူး","A-blast"
"စိတ်ကူးစိတ်သန်း","ablastemic"
"စိတ်ကူးပါ။","ablastin"
"စိတ်ကူးယဉ်","ablastous"
"စိတ်ခံစားချက်","ablate"
"စိတ်ခံစားမှု","ablated"
"စိတ်ချပါ။","ablates"
"စိတ်ချရသော","ablating"
"စိတ်စော","ablation"
"စိတ်ညစ်","ablations"
"စိတ်ညစ်စရာ","ablatitious"
"စိတ်ဒဏ်ရာ","ablatival"
"စိတ်ဓာတ်ကျ","ablative"
"စိတ်ဓာတ်ကျခြင်း။","ablatively"
"စိတ်ဓာတ်တွေ","ablatives"
"စိတ်ပညာရှင်","ablator"
"စိတ်ပျက်","ablaut"
"စိတ်ပျက်စရာ","ablauts"
"စိတ်ပိုင်းဆိုင်ရာ","ablaze"
"စိတ်ဖိစီးမှု","able"
"စိတ်မကောင်းဖြစ်သည်","able-bodied"
"စိတ်မပူနဲ့","able-bodiedness"
"စိတ်လှုပ်ရှား","ableeze"
"စိတ်လှုပ်ရှားစရာ","ablegate"
"စိတ်လှုပ်ရှားမှု","ablegates"
"စိတ်ဝင်စားခဲ့သည်","ablegation"
"စိတ်ဝင်စားစရာ","able-minded"
"စိတ်ဝိညာဉ်","able-mindedness"
"စိတ်သည်","ablend"
"စိတ်အနှောက်အယှက်","ableness"
"စိတ်အားထက်သန်","ablepharia"
"စိတ်အားထက်သန်မှု","ablepharon"
"စိန်","ablepharous"
"စိန်ခေါ်မှု","Ablepharus"
"စိုးမိုး","ablepsy"
"စိုးရိမ်စရာ","ablepsia"
"စိုးရိမ်သည်။","ableptical"
"စိုက်ကြည့်","ableptically"
"စိုက်ပျိုးရေး","abler"
"စိုစွတ်သော","ables"
"စီး","ablesse"
"စီးကရက်","ablest"
"စီးဆင်းမှု","ablet"
"စီးပွားဖြစ်","ablewhackets"
"စီးပွားရေး","ably"
"စီးပွားရေးလုပ်ငန်း","ablings"
"စီးပွားရေးသမား","ablins"
"စီးရီး","ablock"
"စီစဉ်ခြင်း။","abloom"
"စီစဉ်ပါ။","ablow"
"စီနီယာ","ABLS"
"စီမံကိန်း","ablude"
"စီမံခန့်ခွဲ","abluent"
"စီမံခန့်ခွဲမှု","abluents"
"စီမံခန့်ခွဲသူ","ablush"
"စီမံပါ။","ablute"
"စီရင်ချက်","abluted"
"စီအီးအို","ablution"
"စုံစမ်းစစ်ဆေးရေး","ablutionary"
"စုံစမ်းစစ်ဆေးသူ","ablutions"
"စုံစမ်းပါ။","abluvion"
"စုံစမ်းရေး","ABM"
"စုံတွဲ","abmho"
"စုံလင်စွာ","abmhos"
"စုစုပေါင်း","abmodality"
"စုဆောင်း","abmodalities"
"စုဆောင်းခြင်း။","abn"
"စုဆောင်းပါ။","Abnaki"
"စုဆောင်းမှု","Abnakis"
"စုဆောင်းသူ","abnegate"
"စုတ်","abnegated"
"စုန်း","abnegates"
"စုပေါင်း","abnegating"
"စုပ်ယူ","abnegation"
"စုပ်သည်။","abnegations"
"စုဝေး","abnegative"
"စူးစမ်းပါ။","abnegator"
"စူပါ","abnegators"
"စေ့ဆော်မှု","Abner"
"စေး","abnerval"
"စေတနာ","abnet"
"စေတနာ့ဝန်ထမ်း","abneural"
"စောင့်ကြည့်","abnormal"
"စောင့်ကြည့်ပါ။","abnormalcy"
"စောင့်ကြည့်ရေး","abnormalcies"
"စောင့်ပါ","abnormalise"
"စောင့်ရှောက်","abnormalised"
"စောင်","abnormalising"
"စောစော","abnormalism"
"စော်ကား","abnormalist"
"ဆံပင်","abnormality"
"ဆက်စပ်","abnormalities"
"ဆက်စပ်မှု","abnormalize"
"ဆက်ဆံပါ။","abnormalized"
"ဆက်ဆံရေး","abnormalizing"
"ဆက်တင်","abnormally"
"ဆက်တိုက်","abnormalness"
"ဆက်နေပါ။","abnormals"
