"Armenian","English"
"երկրորդ","second"
"բավական","enough"
"պարզ","plain"
"աղջիկ","girl"
"սովորական","usual"
"երիտասարդ","young"
"պատրաստ","ready"
"վեր","above"
"որ","ever"
"կարմիր","red"
"ցուցակ","list"
"սակայն","though"
"զգալ","feel"
"խոսել","talk"
"թռչուն","bird"
"շուտով","soon"
"մարմին","body"
"շուն","dog"
"ընտանիք","family"
"ուղղակի","direct"
"ստեղծում","pose"
"լքել","leave"
"երգ","song"
"չափել","measure"
"դուռը","door"
"արդյունք","product"
"Սեւ","black"
"կարճ","short"
"թվական","numeral"
"դաս","class"
"քամի","wind"
"հարց","question"
"պատահել","happen"
"ամբողջական","complete"
"նավ","ship"
"շրջան","area"
"կես","half"
"ժայռ","rock"
"կարգը","order"
"կրակ","fire"
"հարավ","south"
"խնդիր","problem"
"կտոր","piece"
"ասել","told"
"գիտեր","knew"
"անցնել","pass"
"հետո","since"
"Վերեւ","top"
"ամբողջություն","whole"
"թագավորը","king"
"փողոց","street"
"դյույմ","inch"
"բազմապատկել","multiply"
"ոչինչ","nothing"
"դասընթաց","course"
"մնալ","stay"
"անիվ","wheel"
"լրիվ","full"
"ուժ","force"
"կապույտ","blue"
"օբյեկտ","object"
"որոշել","decide"
"մակերեւույթ","surface"
"խոր","deep"
"լուսին","moon"
"կղզի","island"
"ոտքով","foot"
"համակարգ","system"
"զբաղված","busy"
"փորձարկում","test"
"գրառումը","record"
"նավակ","boat"
"ընդհանուր","common"
"ոսկի","gold"
"հնարավոր","possible"
"ինքնաթիռ","plane"
"նույնիսկ","stead"
"չոր","dry"
"զարմանում","wonder"
"ծիծաղել","laugh"
"հազար","thousand"
"առաջ","ago"
"վազում","ran"
"ստուգում","check"
"խաղ","game"
"ձեւը","shape"
"հավասարեցնել","equate"
"տաք","hot"
"վրիպել","miss"
"բերեց","brought"
"շոգ","heat"
"ձյուն","snow"
"անվադող","tire"
"բերել","bring"
"այո","yes"
"հեռավոր","distant"
"լրացնել","fill"
"արեւելք","east"
"նկարել","paint"
"լեզու","language"
"մեջ","among"
"միավոր","unit"
"իշխանություն","power"
"քաղաքի","town"
"տուգանք","fine"
"որոշակի","certain"
"թռչել","fly"
"անկում","fall"
"հանգեցնել","lead"
"լաց","cry"
"մութ","dark"
"մեքենա","machine"
"նշում","note"
"սպասել","wait"
"պլան","plan"
"գործիչ","figure"
"աստղ","star"
"տուփ","box"
"noun","noun"
"դաշտ","field"
"մնացածը","rest"
"ճիշտ","correct"
"կարող","able"
"ֆունտ","pound"
"կատարած","done"
"գեղեցկություն","beauty"
"Տեղերի","drive"
"կանգնած","stood"
"պարունակել","contain"
"ճակատ","front"
"սովորեցնել","teach"
"շաբաթ","week"
"եզրափակիչ","final"
"տվեց","gave"
"կանաչ","green"
"ախ","oh"
"արագ","quick"
"զարգանալ","develop"
"օվկիանոս","ocean"
"քսան","twenty"
"մաշկի","skin"
"ժպիտը","smile"
"ծալել","fold"
"փոս","hole"
"Անցնել","jump"
"երեխա","baby"
"ութ","eight"
"գյուղ","village"
"հանդիպում","meet"
"արմատ","root"
"գնել","buy"
"բարձրացնել","raise"
"լուծել","solve"
"մետաղ","metal"
"արդյոք","whether"
"հրում","push"
"յոթ","seven"
"պարբերություն","paragraph"
"երրորդ","third"
"պետք","shall"
"հերոս","hero"
"մազերը","hair"
"նկարագրել","describe"
"խոհարար","cook"
"հարկ","floor"
"կամ","either"
"արդյունք","result"
"այրել","burn"
"բլուր","hill"
"ապահով","safe"
"կատու","cat"
"դար","century"
"համարում","consider"
"տիպ","type"
"օրենք","law"
"բիտ","bit"
"ափ","coast"
"օրինակ","copy"
"արտահայտություն","phrase"
"լռակյաց","silent"
"բարձրահասակ","tall"
"ավազ","sand"
"հող","soil"
"գլորում","roll"
"ջերմաստիճան","temperature"
"մատ","finger"
"արդյունաբերություն","industry"
"արժեք","value"
"կռիվ","fight"
"սուտ","lie"
"ծեծել","beat"
"հարուցել","excite"
"բնական","natural"
"դիտել","view"
"իմաստ","sense"
"կապիտալ","capital"
"չի","not"
"աթոռ","chair"
"վտանգ","danger"
"միրգ","fruit"
"հարուստ","rich"
"հաստ","thick"
"զինվոր","soldier"
"ընթացք","process"
"գործել","operate"
"պրակտիկա","practice"
"առանձին","separate"
"դժվար","difficult"
"բժիշկ","doctor"
"խնդրում","please"
"պաշտպանել","protect"
"կեսօր","noon"
"Բուսաբուծություն","crop"
"ժամանակակից","modern"
"տարր","element"
"հարվածել","hit"
"ուսանող","student"
"անկյուն","corner"
"կուսակցություն","party"
"մատակարարում","supply"
"ում","whose"
"տեղադրել","place"
"մատանի","ring"
"բնավորությունը","character"
"միջատ","insect"
"բռնել","caught"
"ժամկետը","period"
"ցույց տալ","show"
"ռադիո","radio"
"խոսեց","spoke"
"ատոմ","atom"
"մարդկային","human"
"պատմություն","history"
"ազդեցություն","effect"
"էլեկտրական","electric"
"ակնկալում","expect"
"Ոսկրածուծի","bone"
"երկաթուղի","railroad"
"պատկերացնել","imagine"
"ապահովել","provide"
"համաձայն","agree"
"այսպիսով","thus"
"մեղմ","gentle"
"կին","woman"
"կապիտան","captain"
"ենթադրություն","guess"
"անհրաժեշտ","necessary"
"սուր","sharp"
"թեւը","wing"
"ստեղծել","create"
"հարեւանը","neighbor"
"լվանալը","wash"
"խփել","strike"
"այլ","else"
"ամբոխ","crowd"
"եգիպտացորեն","corn"
"համեմատել","compare"
"բանաստեղծություն","poem"
"լարային","string"
"զանգ","call"
"կախված","depend"
"միս","meat"
"շփում","rub"
"խողովակ","pipe"
"հայտնի","famous"
"դոլար","dollar"
"հոսք","stream"
"վախ","fear"
"տեսարան","sight"
"բարակ","thin"
"եռանկյունի","triangle"
"մոլորակ","planet"
"շտապել","hurry"
"գլխավոր","chief"
"գաղութ","colony"
"ժամացույց","clock"
"իմ","mine"
"ոքի","leg"
"մտնել","enter"
"հիմնական","major"
"թարմ","fresh"
"որոնում","search"
"ուղարկել","send"
"դեղին","yellow"
"ատրճանակ","gun"
"թույլ տալ","allow"
"տպել","print"
"մեռած","dead"
"տեղում","spot"
"անապատ","desert"
"կոստյում","suit"
"ընթացիկ","current"
"Վերելակների","lift"
"վարդ","rose"
"ժամանել","arrive"
"վարպետ","master"
"շավիղ","track"
"ծնող","parent"
"ափը","shore"
"բաժին","division"
"թերթ","sheet"
"նյութ","substance"
"կողմ","favor"
"միացնել","join"
"հաղորդագրություն","message"
"ծախսել","spend"
"կապան","bar"
"ճարպ","fat"
"ուրախ","glad"
"օրիգինալ","original"
"բաժնետոմս","share"
"կայան","station"
"հայրիկ","dad"
"հաց","bread"
"անվճար","free"
"ճիշտ","proper"
"բար","bar"
"առաջարկ","offer"
"հատված","section"
"ստրուկ","slave"
"բադ","duck"
"ակնթարթ","instant"
"շուկա","market"
"աստիճան","degree"
"բնակեցնել","populate"
"Չիկ","chick"
"սիրելի","dear"
"թշնամի","enemy"
"պատասխանել","reply"
"խմել","drink"
"տեղի ունենալ","occur"
"աջակցություն","support"
"խոսք","speech"
"բնություն","nature"
"շարք","range"
"գոլորշի","steam"
"միջնորդությունը","motion"
"ճանապարհը","road"
"հեղուկ","liquid"
"մուտք","log"
"նշանակում","appoint"
"քանորդ","hunter"
"ատամիկ","teeth"
"վահանակ","shield"
"պարանոց","neck"
"թթվածին","oxygen"
"շաքար","sugar"
"մահվան","death"
"բավականին","pretty"
"հմտություն","skill"
"կանայք","women"
"սեզոն","season"
"լուծում","solution"
"մագնիս","magnet"
"արծաթ","silver"
"thank","thank"
"մասնաճյուղ","branch"
"զույգ","match"
"վերջածանց","suffix"
"հատկապես","especially"
"թուզ","fig"
"վախենում","afraid"
"հսկայական","huge"
"քույր","sister"
"պողպատ","steel"
"քննարկել","discuss"
"առաջ","forward"
"նման","similar"
"ուղեցույց","guide"
"փորձառություն","experience"
"հաշիվը","score"
"խնձոր","apple"
"գնել","bought"
"առաջնորդվում","led"
"սկիպիդար","pitch"
"վերարկու","coat"
"զանգված","mass"
"Հարցաթերթիկ","card"
"խումբ","group"
"պարան","rope"
"բլանկ","blank"
"հաղթանակ","victory"
"երազ","dream"
"երեկո","evening"
"վիճակ","condition"
"Վարդեր","rose"
"գործիք","tool"
"ընդհանուր","total"
"հիմնական","basic"
"հոտ","smell"
"հովիտ","valley"
"ոչ","nor"
"կրկնակի","double"
"օջախ","hearth"
"շարունակել","continue"
"թաղամաս","neighborhood"
"աղյուսակը","table"
"գլխարկը","hat"
"վաճառել","sell"
"հաջողություն","success"
"ընկերությունը","company"
"հանել","remove"
"իրադարձություն","event"
"մասնավորապես","particularly"
"զբաղվել","deal"
"լողալը","swim"
"ժամկետ","term"
"հակադիր","opposite"
"կին","wife"
"պայտ","spar"
"բոթել","bottle"
"տարածումը","spread"
"դասավորել","arrange"
"ճամբար","camp"
"հնարել","invent"
"բամբակ","cotton"
"ծնված","born"
"որոշել","determine"
"կվարտա","quart"
"ինը","nine"
"բեռնատար մեքենա","truck"
"աղմուկ","noise"
"մակարդակ","level"
"շանս","chance"
"հավաքել","gather"
"խանութ","shop"
"ձգվել","stretch"
"նետել","throw"
