"Afrikaans","English"
"avontuur","adventure"
"baadjie","jacket"
"baai","bay"
"baan","track"
"baas","boss"
"baba","baby"
"bad","bath"
"badkamer","bathroom"
"baie","many"
"bak","bake"
"baklei","fight"
"baksteen","brick"
"bakterieë","bacteria"
"bal","ball"
"balans","balance"
"balju","sheriff"
"balk","beam"
"ballon","balloon"
"band","band"
"bang","afraid"
"bank","bank"
"bankier","banker"
"bankrotskap","bankruptcy"
"bankwese","banking"
"bars","burst"
"basies","basic"
"basiese","basic"
"basis","basis"
"basketbal","basketball"
"bate","asset"
"battery","battery"
"beampte","officer"
"bed","bed"
"bedank","thank"
"bedien","serve"
"bediende","servant"
"bediener","server"
"bediening","service"
"bedrag","amount"
"bedreiging","threat"
"bedrieg","deceive"
"bedrog","deception"
"bedryf","industry"
"beeld","image"
"beeldhouwerk","sculpture"
"beeldmateriaal","visuals"
"been","leg"
"beer","bear"
"beeste","cattle"
"beesvleis","beef"
"befondsing","funding"
"begaafd","gifted"
"begeerte","desire"
"begin","begin"
"beginsel","principle"
"begrafnis","funeral"
"begrawe","bury"
"begrip","understanding"
"begroting","budget"
"behalwe","except"
"behandel","treat"
"behandeling","treatment"
"beheer","control"
"behels","involve"
"behoefte","need"
"behoorlik","properly"
"behoort","belong"
"behou","retain"
"behuising","housing"
"behulpsaam","helpful"
"beïndruk","impress"
"bejaardes","elderly"
"bekend","known"
"bekendstelling","introduction"
"beklemtoon","emphasize"
"bekommer","concern"
"bekommerd","worried"
"bekostig","afford"
"bekostigbaar","affordable"
"bekwaam","capable"
"bel","call"
"belaglik","ridiculous"
"belangrik","important"
"belangrikheid","importance"
"belangstel","interest"
"belangstelling","interest"
"belasting","tax"
"belastingbetaler","taxpayer"
"belê","invest"
"belegger","investor"
"belegging","investment"
"beleid","policy"
"beller","caller"
"belofte","promise"
"beloning","reward"
"belowend","promising"
"bely","confess"
"belyn","align"
"bemanning","crew"
"bemarking","marketing"
"bemoedigend","encouraging"
"benadering","approach"
"bende","gang"
"benoeming","appointment"
"benoud","anxious"
"beoog","intend"
"bepaal","determine"
"beperk","limit"
"beperking","restriction"
"beplan","plan"
"beplanning","planning"
"beraad","consultation"
"berader","counselor"
"berading","counseling"
"bereidwilligheid","willingness"
"bereik","reach"
"bereken","calculate"
"berekening","calculation"
"berg","mountain"
"berging","storage"
"beroemde","famous"
"beroep","profession"
"beroerte","stroke"
"beroof","rob"
"beseer","injure"
"besef","realize"
"besering","injury"
"beset","occupy"
"besig","busy"
"besigheid","business"
"besit","possess"
"beskawing","civilization"
"beskeie","modest"
"beskerm","protect"
"beskermend","protective"
"beskerming","protection"
"beskikbaar","available"
"beskikbaarheid","availability"
"beskou","consider"
"beskryf","describe"
"beskrywing","description"
"beskuldig","accuse"
"beskuldiging","accusation"
"beslis","decide"
"besluit","decision"
"besoedeling","pollution"
"besoek","visit"
"besoeker","visitor"
"besonderhede","details"
"besonders","particularly"
"bespeur","detect"
"bespreek","discuss"
"bespreking","discussion"
"bestaan","exist"
"bestaande","existing"
"bestanddeel","component"
"beste","best"
"besteding","expenditure"
"bestemming","destination"
"bestendig","steady"
"bestraling","radiation"
"bestuur","manage"
"bestuurder","manager"
"beswaar","objection"
"betaal","pay"
"betaling","payment"
"beteken","mean"
"betekenis","meaning"
"betekenisvol","meaningful"
"beter","better"
"betoger","protester"
"beton","concrete"
"betrek","involve"
"betrokke","involved"
"betrokkenheid","involvement"
"betroubaar","reliable"
"betroubaarheid","reliability"
"beurs","scholarship"
"beursie","wallet"
"bevat","contain"
"bevel","command"
"bevelvoerder","commander"
"bevestig","confirm"
"bevinding","finding"
"bevolking","population"
"bevorder","promote"
"bevordering","promotion"
"bevredig","satisfy"
"bewaar","keep"
"bewaring","preservation"
"beweeg","move"
"beweer","claim"
"beweging","movement"
"bewering","assertion"
"bewonder","admire"
"bewus","aware"
"bewussyn","consciousness"
"bewustheid","awareness"
"bewys","proof"
"bewyse","evidence"
"biblioteek","library"
"bid","pray"
"bied","offer"
"bier","beer"
"bietjie","bit"
"billikheid","fairness"
"bind","bind"
"binne","inside"
"binnekant","interior"
"binnekort","soon"
"biologie","biology"
"biologiese","biological"
"bisar","bizarre"
"biskop","bishop"
"bitter","bitter"
"blaaier","browser"
"blaar","leaf"
"blaas","blow"
"blad","blade"
"bladsy","page"
"blameer","blame"
"bleek","pale"
"bliksem","lightning"
"blind","blind"
"bloed","blood"
"bloederig","bloody"
"bloei","bloom"
"blog","blog"
"blok","block"
"blom","flower"
"bloot","expose"
"blootstelling","exposure"
"blou","blue"
"bly","stay"
"blyk","appear"
"blykbaar","apparently"
"bobeen","thigh"
"boedel","estate"
"boek","book"
"boer","farmer"
"bofbal","baseball"
"bok","goat"
"boks","box"
"bom","bomb"
"bombardering","bombardment"
"bondgenoot","ally"
"bons","bounce"
"bonus","bonus"
"boodskap","message"
"boom","tree"
"boonste","upper"
"boontjie","bean"
"boontoe","upward"
"boor","drill"
"boot","boat"
"bord","plate"
"borg","bail"
"borrel","bubble"
"bors","chest"
"bossie","bush"
"bottel","bottle"
"botter","butter"
"bou","build"
"boude","buttocks"
"bowendien","moreover"
"brand","burn"
"brandstof","fuel"
"breed","wide"
"breek","break"
"brein","brain"
"breuk","fracture"
"brief","letter"
"briesie","breeze"
"briljant","brilliant"
"bring","bring"
"Britse","British"
"broer","brother"
"bron","source"
"brood","bread"
"brug","bridge"
"bruid","bride"
"bruin","brown"
"brutaal","brutal"
"bruto","gross"
"bui","mood"
"buig","bend"
"buigsaam","flexible"
"buigsaamheid","flexibility"
"buis","tube"
"buite","outside"
"buitelandse","foreign"
"buitelug","outdoor"
"buitelyn","outline"
"buitendien","besides"
"buitengewoon","extraordinary"
"buitensporig","excessive"
"buitenste","outer"
"bul","bull"
"burgemeester","mayor"
"burger","citizen"
"burgerlike","civil"
"burgerskap","citizenship"
"Buro","bureau"
"bus","bus"
"buurman","neighbor"
"buurt","neighborhood"
"by","by"
"bybel","bible"
"bydra","contribute"
"bydrae","contribution"
"bydraer","contributor"
"bygevoeg","added"
"bykomende","additional"
"bymekaarmaak","gather"
"bystaan","assist"
"byt","bite"
"byvoeg","add"
"bywoning","attendance"
"bywoon","attend"
"casino","casino"
"cd","CD"
"celebrity","celebrity"
"chaos","chaos"
"chemie","chemistry"
"chemiese","chemical"
"Chinees","Chinese"
"chip","chip"
"chirurg","surgeon"
"chirurgie","surgery"
"cholesterol","cholesterol"
"christen","Christian"
"christendom","Christianity"
"chroniese","chronic"
"cluster","cluster"
"cowboy","cowboy"
"cruise","cruise"
"daad","act"
"daagliks","daily"
"daar","there"
"daardeur","through"
"daardie","that"
"daarna","afterwards"
"daarom","therefore"
"daaropvolgende","subsequent"
"dag","day"
"dagboek","diary"
"dagbreek","dawn"
"dagga","cannabis"
"dagvaar","subpoena"
"dak","roof"
"dam","dam"
"dame","lady"
"dan","then"
"dankbaar","grateful"
"dankie","thanks"
"danksegging","thanksgiving"
"dans","dance"
"danser","dancer"
"dapper","brave"
"das","tie"
"data","data"
"databasis","database"
"datum","date"
"debat","debate"
"debuut","debut"
"deeg","dough"
"deeglik","thorough"
"deel","part"
"deelname","participation"
"deelneem","participate"
"deelnemer","participant"
"deeltjie","particle"
"deernis","compassion"
"definieer","define"
"definisie","definition"
"dek","cover"
"dekade","decade"
"dekking","coverage"
"delikaat","delicate"
"demografiese","demographic"
"demokraat","democrat"
"demokrasie","democracy"
"demokratiese","democratic"
"demonstrasie","demonstration"
"demonstreer","demonstrate"
"demoon","demon"
"denne","pine"
"departement","department"
"deposito","deposit"
"depressie","depression"
"depressief","depressive"
"derde","third"
"dertig","thirty"
"Desember","December"
"desperaat","desperate"
"deug","virtue"
"deuntjie","tune"
"deur","door"
"deurgaans","throughout"
"deurlopend","continuous"
"deuropening","doorway"
"deurslaggewend","decisive"
"diagnose","diagnosis"
"diagnoseer","diagnose"
"dialoog","dialogue"
"diamant","diamond"
"die","the"
"dié","this"
"dieet","diet"
"dief","thief"
"diefstal","theft"
"dien","serve"
"diens","service"
"diep","deep"
"diepgaande","profound"
"diepte","depth"
"dier","animal"
"dieselfde","same"
"digitale","digital"
"digter","poet"
"digtheid","density"
"dik","thick"
"dikwels","often"
"dimensie","dimension"
"dinamies","dynamic"
"dinamika","dynamics"
"ding","thing"
"dink","think"
"dinsdag","Tuesday"
"diplomaties","diplomatic"
"direk","direct"
"direkteur","director"
"diskoers","discourse"
"diskriminasie","discrimination"
"dispuut","dispute"
"dissipline","discipline"
"distrik","district"
"Dit","it"
"diversiteit","diversity"
"dna","DNA"
"dodelik","deadly"
"doek","cloth"
"doel","goal"
"doelbewus","deliberate"
"doeltreffend","effective"
"doeltreffendheid","effectiveness"
"doelwit","target"
"doen","do"
"dogter","daughter"
"dok","dock"
"dokter","doctor"
"dokument","document"
"dokumentêr","documentary"
"dollar","dollar"
"domein","domain"
"dominant","dominant"
"donderdag","Thursday"
"donker","dark"
"dood","death"
"doodmaak","kill"
"dop","shell"
"dorp","village"
"dorpie","small village"
"dosis","dose"
"dosyn","dozen"
"dra","carry"
"draad","wire"
"draai","turn"
"draak","dragon"
"draer","carrier"
"drama","drama"
"dramaties","dramatic"
"drang","urge"
"dreig","threaten"
"dreineer","drain"
"drie","three"
"drink","drink"
"drom","drum"
"dronk","drunk"
"droog","dry"
"droom","dream"
"druk","pressure"
"drukkie","hug"
"drumpel","threshold"
"dryf","drive"
"dubbel","double"
"duidelik","clear"
"duim","thumb"
"duisend","thousand"
"duisternis","darkness"
"duits","German"
"duiwel","devil"
"dun","thin"
"dus","thus"
"duur","expensive"
"dwaal","wander"
"dwelm","drug"
"dwing","force"
"een","one"
"eend","duck"
"eendag","one day"
"eenders","similar"
"eenheid","unit"
"eenkant","aside"
"eensaam","lonely"
"eenvoudig","simple"
"eer","honor"
"eerder","earlier"
"eerlik","honest"
"eerlikwaar","honestly"
"eerste","first"
"eerstejaars","freshman"
"eet","eat"
"eetlepel","tablespoon"
"eeu","century"
"effek","effect"
"effektief","effective"
"effens","slightly"
"eg","genuine"
"eggenoot","spouse"
"eggo","echo"
"ego","ego"
"egskeiding","divorce"
"egter","however"
"eh","eh"
"eie","own"
"Eienaar","owner"
"eienaarskap","ownership"
"eiendom","property"
"eienskap","attribute"
"eier","egg"
"eikehout","oak"
"eiland","island"
"einde","end"
"eindeloos","endless"
"eintlik","actually"
"eis","claim"
"ek","I"
"ekonomie","economy"
"ekonomiese","economic"
"ekonoom","economist"
"ekosisteem","ecosystem"
"eksamen","exam"
"eksklusief","exclusive"
"eksperimenteer","experiment"
"eksperimentele","experimental"
"eksplisiet","explicit"
"eksplisiete","explicit"
"eksplorasie","exploration"
"ekstern","external"
"ekstra","extra"
"ekwivalent","equivalent"
"elders","elsewhere"
"elegant","elegant"
"elektriese","electric"
"elektrisiteit","electricity"
"elektronies","electronic"
"element","element"
"elementêr","elementary"
"elf","eleven"
"elimineer","eliminate"
"elite","elite"
"elk","each"
"elke","every"
"elmboog","elbow"
"emissie","emission"
"emmer","bucket"
"emosie","emotion"
"emosioneel","emotional"
"en","and"
"en/of","and/or"
"energie","energy"
"engel","angel"
"Engels","English"
"enige","any"
"enigiemand","anyone"
"enigiets","anything"
"enigste","only"
"enjin","engine"
"enkel","single"
"enkellopend","single"
"enorm","enormous"
"ens","etc."
"entiteit","entity"
"entoesiasme","enthusiasm"
"entrepreneur","entrepreneur"
"entstof","vaccine"
"episode","episode"
"e-pos","email"
"era","era"
"erf","inherit"
"erfenis","inheritance"
"erg","serious"
"erken","acknowledge"
"erkenning","recognition"
"ernstig","serious"
"ervaar","experience"
"essensie","essence"
"et","meal"
"ete","meal"
"etiek","ethics"
"eties","ethical"
"etiket","label"
"etniese","ethnic"
"europees","European"
"evalueer","evaluate"
"evaluering","evaluation"
"evangelie","gospel"
"evolusie","evolution"
"ewe","even"
"ewekansig","random"
"eweknie","peer"
"eweneens","likewise"
"ewige","eternal"
"fabriek","factory"
"faktor","factor"
"Fakulteit","faculty"
"familie","family"
"familielid","family member"
"fancy","fancy"
"fantasie","fantasy"
"fantasties","fantastic"
"fase","phase"
"fasiliteer","facilitate"
"fasiliteit","facility"
"fassinerend","fascinating"
"Februarie","February"
"federale","federal"
"fees","festival"
"feit","fact"
"ferm","firm"
"fiets","bicycle"
"figuur","figure"
"fiksheid","fitness"
"fiksie","fiction"
"film","film"
"filosofie","philosophy"
"filosofies","philosophical"
"filter","filter"
"finaal","final"
"finansieel","financial"
"finansies","finances"
"fisies","physical"
"fisika","physics"
"fiskale","fiscal"
"Fliek","movie"
"flip","flip"
"flits","flash"
"floreer","flourish"
"flous","cheat"
"fluister","whisper"
"fok","focus"
"fokken","fucking"
"fokus","focus"
"fonds","fund"
"fooi","fee"
"foon","phone"
"formaat","format"
"formeel","formal"
"formule","formula"
"fortuin","fortune"
"forum","forum"
"fossiel","fossil"
"foto","photo"
"fotograaf","photographer"
"fotografie","photography"
"fout","mistake"
"franchise","franchise"
"frans","French"
"frase","phrase"
"frats","prank"
"frekwensie","frequency"
"frustrasie","frustration"
"fundamenteel","fundamental"
"funksie","function"
"funksioneel","functional"
"gaan","go"
"galery","gallery"
"gang","corridor"
"gaping","yawn"
"gas","gas"
"gasheer","host"
"gaskoeldrank","soda"
"gat","hole"
"gay","gay"
"geassosieer","associated"
"gebaar","gesture"
"gebed","prayer"
"gebeur","happen"
"gebeurtenis","event"
"gebied","area"
"geboorte","birth"
"gebore","born"
"gebou","building"
"gebrek","lack"
"gebruik","use"
"gebruiker","user"
"gedeel","shared"
"gedeelte","portion"
"gedeeltelik","partially"
"gedenkteken","memorial"
"gedetailleerd","detailed"
"gedig","poem"
"gedink","thought"
"gedra","behaved"
"gedrag","behavior"
"gedragsmatige","behavioral"
"geduld","patience"
"gee","give"
"geel","yellow"
"geen","none"
"gees","spirit"
"geestelik","spiritual"
"geestelike","mental"
"gegee","given"
"gegradueerde","graduate"
"gehalte","quality"
"geheel","whole"
"geheim","secret"
"geheimsinnig","mysterious"
"geheue","memory"
"gehoor","hearing"
"gek","crazy"
"gekombineer","combined"
"geld","money"
"geldeenheid","currency"
"geldelike","monetary"
"geldig","valid"
"geldigheid","validity"
"gelede","ago"
"geleentheid","occasion"
"geleerde","scholar"
"geleidelik","gradually"
"geletterdheid","literacy"
"geliefde","beloved"
"geloof","faith"
"geloofwaardigheid","credibility"
"gelowige","believer"
"geluk","luck"
"gelukkig","happy"
"gelyk","equal"
"gelykheid","equality"
"gelyktydig","simultaneous"
"gemak","comfort"
"gemaklik","comfortable"
"gemeenskap","community"
"gemeng","mixed"
"gemiddeld","average"
"gemors","mess"
"genade","grace"
"genees","heal"
"geneesheer","physician"
"generasie","generation"
"genereer","generate"
"genetiese","genetic"
"genie","genius"
"geniet","enjoy"
"genoeg","enough"
"genomineerde","nominee"
"genre","genre"
"geraas","noise"
"geredelik","readily"
"gereed","ready"
"gereedskap","tool"
"gereeld","regular"
"gereelde","regular"
"gereg","prepared"
"geregtelik","judicial"
"geregtigheid","justice"
"gering","slight"
"gerug","rumor"
"gesag","authority"
"gesels","chat"
"gesig","face"
"geskat","estimated"
"geskenk","gift"
"geskiedenis","history"
"geskiet","shot"
"geskryf","written"
"geslag","sex"
"gesluit","closed"
"gesofistikeerde","sophisticated"
"gesond","healthy"
"gesondheid","health"
"gesondheidssorg","healthcare"
"gesprek","conversation"
"gestremd","disabled"
"gestremdheid","disability"
"getref","hit"
"getrou","faithful"
"getroud","married"
"getuie","witness"
"getuienis","testimony"
"getuig","testify"
"gety","tide"
"geur","scent"
"gevaar","danger"
"gevaarlik","dangerous"
"geval","case"
"gevangene","prisoner"
"geveg","fight"
"gevind","found"
"gevoel","feeling"
"gevolg","consequence"
"gevolglik","consequently"
"gevorderd","advanced"
"gevries","frozen"
"gewapen","armed"
"gewas","crop"
"geweer","gun"
"geweld","violence"
"gewelddadig","violent"
"geweldig","tremendous"
"gewete","conscience"
"gewig","weight"
"gewild","popular"
"gewildheid","popularity"
"gewillig","willing"
"gewone","ordinary"
"gewoonlik","usually"
"gewoonte","habit"
"gewrig","joint"
"gholf","golf"
"gids","guide"
"giftig","poisonous"
"giggel","giggle"
"gil","scream"
"gimnasium","gym"
"gister","yesterday"
"glad","smooth"
"glas","glass"
"glimlag","smile"
"glip","slip"
"glo","believe"
"glorie","glory"
"gly","slide"
"God","God"
"goddelike","divine"
"godsdiens","religion"
"godsdienstig","religious"
"goed","good"
"goedheid","goodness"
"goedkeur","approve"
"goedkeuring","approval"
"goedkoop","cheap"
"goewerneur","governor"
"goh","gosh"
"golf","golf"
"gooi","throw"
"gop","gap"
"gordel","belt"
"gordyn","curtain"
"goud","gold"
"goue","golden"
"graad","degree"
"graafskap","county"
"graan","grain"
"gradeplegtigheid","graduation"
"gradering","grading"
"gradiënt","gradient"
"graf","grave"
"grafiek","graph"
"grafiese","graphic"
"gram","gram"
"grap","joke"
"gras","grass"
"grasperk","lawn"
"grawe","dig"
"greep","grip"
"grens","border"
"gretig","eager"
"Grieks","Greek"
"grimering","makeup"
"groei","grow"
"groen","green"
"groente","vegetable"
"groep","group"
"groet","greet"
"grond","ground"
"grondboontjiebotter","peanut butter"
"grondgebied","territory"
"grondslag","foundation"
"grondwet","constitution"
"grondwetlik","constitutional"
"groot","large"
"grootliks","largely"
"groots","grand"
"grootte","size"
"grot","cave"
"gruwel","horror"
"gryp","grab"
"grys","grey"
"guns","favor"
"gunsteling","favorite"
"gyselaar","hostage"
"ha","ha"
"haai","shark"
"haak","hook"
"haal","fetch"
"haar","hair"
"haarself","herself"
"haas","rabbit"
"haastig","hurried"
"haat","hate"
"habitat","habitat"
"hakskeen","heel"
"halfpad","halfway"
"hallo","hello"
"halloween","Halloween"
"hamer","hammer"
"hand","hand"
"handboek","manual"
"handdoek","towel"
"handel","trade"
"handelaar","merchant"
"handelsmerk","brand"
"handhaaf","maintain"
"handhawing","enforcement"
"handskoen","glove"
"handtekening","signature"
"handves","charter"
"handvol","handful"
"handwerk","craft"
"hang","hang"
"hanteer","handle"
"hard","hard"
"hardeware","hardware"
"hardloop","run"
"hardloper","runner"
"hare","hair"
"hart","heart"
"hartseer","sad"
"hawe","harbor"
"haweloos","homeless"
"heelal","universe"
"heeltemal","entirely"
"heer","lord"
"heerlik","delicious"
"hef","lift"
"heg","attach"
"heilig","holy"
"heilige","saint"
"heining","fence"
"hek","gate"
"heks","witch"
"hel","hell"
"held","hero"
"helder","bright"
"hele","whole"
"helfte","half"
"helikopter","helicopter"
"helm","helmet"
"help","help"
"hemel","heaven"
"hemp","shirt"
"her","again"
"herbou","rebuild"
"herdenking","commemoration"
"herhaal","repeat"
"herhaaldelik","repeatedly"
"herinner","remind"
"herinnering","reminder"
"herken","recognize"
"herroep","repeal"
"herstel","restore"
"hervat","resume"
"herverkiesing","reelection"
"hervorming","reform"
"het","have"
"heuning","honey"
"heup","hip"
"heuwel","hill"
"hey","hey"
"Hi","hi"
"hier","here"
"hierbo","above"
"hierdie","this"
"hieronder","below"
"hindernis","obstacle"
"hipotese","hypothesis"
"histories","historical"
"historiese","historic"
"historikus","historian"
"hitte","heat"
"hmm","hmm"
"hoe","how"
"hoed","hat"
"hoek","corner"
"hoekom","why"
"hoender","chicken"
"hoeveelheid","quantity"
"hof","court"
"hoflikheid","courtesy"
"hofsaal","courtroom"
"hok","cage"
"hokkie","hockey"
"hom","him"
"homself","himself"
"hond","dog"
"honderd","hundred"
"honger","hungry"
"hoof","head"
"hoofkwartier","headquarters"
"hoofpyn","headache"
"hoofsaaklik","mainly"
"hoofstroom","mainstream"
"hoofstuk","chapter"
"hoofvak","major"
"hoog","high"
"hoogs","highly"
"hoogste","highest"
"hoogte","height"
"hoogtepunt","highlight"
"hoop","hope"
"Hoor","hear"
"hopelik","hopefully"
"horing","horn"
"horison","horizon"
"horlosie","clock"
"hormoon","hormone"
"hospitaal","hospital"
"hotel","hotel"
"hou","keep"
"houding","attitude"
"houer","container"
"hout","wood"
"huh","huh"
"huidige","current"
"huil","cry"
"huis","house"
"huishoudelike","household"
"huishouding","household"
"huiswerk","homework"
"huiwer","hesitate"
"hulle","they"
"hulp","help"
"hulpbron","resource"
"hulpmiddels","tools"
"hulself","themselves"
"humor","humor"
"huppel","skip"
"hupstoot","boost"
"huur","rent"
"huwelik","marriage"
"hy","he"
"hyg","pant"
"hysbak","elevator"
"i","i"
"ideale","ideal"
"idee","idea"
"identies","identical"
"identifikasie","identification"
"identifiseer","identify"
"identiteit","identity"
"ideologie","ideology"
"ideologiese","ideological"
"idioot","idiot"
"iemand","someone"
"iers","Irish"
"iets","something"
"ietwat","somewhat"
"iewers","somewhere"
"ignoreer","ignore"
"ikoon","icon"
"illusie","illusion"
"illustrasie","illustration"
"illustreer","illustrate"
"immigrant","immigrant"
"immigrasie","immigration"
"immuun","immune"
"impak","impact"
"implementeer","implement"
"implementering","implementation"
"implikasie","implication"
"impliseer","imply"
"in","in"
"indeks","index"
"inderdaad","indeed"
"Indien","if"
"indiensneming","employment"
"Indiër","Indian"
"individu","individual"
"indruk","impression"
"indrukwekkend","impressive"
"induseer","induce"
"industriële","industrial"
"infeksie","infection"
"inflasie","inflation"
"infrastruktuur","infrastructure"
"ingaan","enter"
"ingang","entrance"
"ingenieur","engineer"
"ingenieurswese","engineering"
"ingewande","intestines"
"ingewikkeld","complicated"
"ingryping","intervention"
"inheems","indigenous"
"inhoud","content"
"inisiatief","initiative"
"inkomste","income"
"Inkopies","shopping"
"inkorporeer","incorporate"
"inleiding","introduction"
"inlig","inform"
"inligting","information"
"inmeng","interfere"
"innerlike","inner"
"innovasie","innovation"
"innoverende","innovative"
"insek","insect"
"insette","inputs"
"insig","insight"
"inskryf","register"
"inskrywing","registration"
"insluit","include"
"insluitend","including"
"inspeksie","inspection"
"inspekteur","inspector"
"inspirasie","inspiration"
"inspireer","inspire"
"installasie","installation"
"installeer","install"
"instansie","instance"
"instelling","institution"
"instink","instinct"
"institusionele","institutional"
"instituut","institute"
"instruksie","instruction"
"instruksioneel","instructional"
"instrukteur","instructor"
"instrument","instrument"
"integrasie","integration"
"integreer","integrate"
"integriteit","integrity"
"intellektueel","intellectual"
"intelligensie","intelligence"
"intelligent","intelligent"
"intens","intense"
"intensiteit","intensity"
"interaksie","interaction"
"interessant","interesting"
"intern","internal"
"internasionaal","international"
"internet","internet"
"interpretasie","interpretation"
"interpreteer","interpret"
"interval","interval"
"intiem","intimate"
"intussen","meanwhile"
"Intussen","meanwhile"
"inval","invasion"
"invloed","influence"
"invloedryk","influential"
"invoeg","insert"
"invoer","import"
"inwoner","resident"
"ipad","iPad"
"iphone","iPhone"
"Irakse","Iraqi"
"iraniese","Iranian"
"ironie","irony"
"islam","Islam"
"Islamitiese","Islamic"
"isolasie","isolation"
"isoleer","isolate"
"Israeliese","Israeli"
"Italiaans","Italian"
"item","item"
"ja","yes"
"jaag","chase"
"jaar","year"
"jaarliks","annual"
"jag","hunt"
"jagter","hunter"
"jaloers","jealous"
"jammer","sorry"
"Januarie","January"
"Japannese","Japanese"
"Jas","coat"
"jazz","jazz"
"jeans","jeans"
"jeug","youth"
"joernaal","journal"
"joernalis","journalist"
"joernalistiek","journalism"
"jonk","young"
"Joods","Jewish"
"jou","you"
"joune","yours"
"jouself","yourself"
"jubel","jubilate"
"Julie","July"
"Junie","June"
"junior","junior"
"jurie","jury"
"jurielid","juror"
"jurisdiksie","jurisdiction"
"juweliersware","jewelry"
"jy","you"
"kaak","jaw"
"kaal","naked"
"kaart","map"
"kaartjie","ticket"
"kaas","cheese"
"kabel","cable"
"kabinet","cabinet"
"kafee","café"
"kajuit","cabin"
"kak","shit"
"kalender","calendar"
"kalkoen","turkey"
"kalm","calm"
"kalorie","calorie"
"kamer","room"
"kamera","camera"
"kamp","camp"
"kampioen","champion"
"kampioenskap","championship"
"kampus","campus"
"kan","can"
"kanaal","channel"
"Kanadese","Canadian"
"kandidaat","candidate"
