"Estonian","English"
"android","Abarambo"
"andur","Abarbarea"
"ankur","Abaris"
"annetada","abarthrosis"
"annetus","abarticular"
"annust","abarticulation"
"anonüümne","Abas"
"antud","abase"
"apellatsioonkaebus","abased"
"aprill","abasedly"
"ära","abasedness"
"araablane","abasement"
"ärahoidmine","abasements"
"äratada","abaser"
"äratus","abasers"
"äravool","abases"
"areenil","Abasgi"
"arendaja","abash"
"arendav","abashed"
"areneda","abashedly"
"arenev","abashedness"
"arengut","abashes"
"ärevus","abashing"
"argument","abashless"
"arhiiv","abashlessly"
"arhitekt","abashment"
"arhitektuur","abashments"
"äri","abasia"
"ärimees","abasias"
"ärkvel","abasic"
"arm","abasing"
"armas","abasio"
"armastaja","abask"
"armastatud","abassi"
"armastav","Abassieh"
"armastus","Abassin"
"armee","abastard"
"armu","abastardize"
"armukade","abastral"
"arreteerimine","abatable"
"ärritunud","abatage"
"arst","Abate"
"art","abated"
"artiklit","abatement"
"aruandlus","abatements"
"aruanne","abater"
"arusaam","abaters"
"arutada","abates"
"arutelu","abatic"
"arvama","abating"
"arvamus","abatis"
"arvan","abatised"
"arvasin","abatises"
"arvatavasti","abatjour"
"arve","abatjours"
"arvesse","abaton"
"arvestades","abator"
"arvukad","abators"
"arvustus","ABATS"
"arvutama","abattage"
"arvuti","abattis"
"arvutus","abattised"
"asendada","abattises"
"asendamine","abattoir"
"asetäitja","abattoirs"
"asi","abattu"
"asja","abattue"
"äsja","Abatua"
"asjakohane","abature"
"asjaolu","abaue"
"asjatundja","abave"
"asjatundlikkus","abaxial"
"asjatundmatu","abaxile"
"asju","abaze"
"aspekt","abb"
"assistent","Abba"
"assotsiatsioon","abbacy"
"astronoom","abbacies"
"asukoht","abbacomes"
"asula","Abbadide"
"asutaja","Abbai"
"asutamine","abbaye"
"asutus","abbandono"
"atraktiivne","abbas"
"atraktsioon","abbasi"
"atribuut","Abbasid"
"au","abbassi"
"august","Abbassid"
"auhind","Abbasside"
"auk","Abbate"
"aur","abbatial"
"aus","abbatical"
"ausalt","abbatie"
"auto","Abbe"
"autojuht","Abbey"
"automaatne","abbeys"
"automaatselt","abbey's"
"autor","abbeystead"
"autoriõigus","abbeystede"
"avaldada","abbes"
"avaldus","abbess"
"avalik","abbesses"
"avalikult","abbest"
"avalikustada","Abbevilean"
"avalikustamine","Abbeville"
"avamine","Abbevillian"
"avastada","Abbi"
"avastus","Abby"
"avatud","Abbie"
"avenüü","Abbye"
"baar","Abbyville"
"bakterid","abboccato"
"banaan","abbogada"
"bänd","Abbot"
"barjäär","abbotcy"
"bassein","abbotcies"
"beebi","abbotnullius"
"bensiin","abbotric"
"betoonist","abbots"
"bioloogia","abbot's"
"bioloogiline","Abbotsen"
"blokk","Abbotsford"
"boonus","abbotship"
"bränd","abbotships"
"brauser","Abbotson"
"Briti","Abbotsun"
"burger","Abbott"
"büroo","Abbottson"
"buss","Abbottstown"
"buum","Abboud"
"cd","abbozzo"
"daam","ABBR"
"debüüt","abbrev"
"deemon","abbreviatable"
"deklaratsiooni","abbreviate"
"demograafiline","abbreviated"
"demokraat","abbreviately"
"demokraatia","abbreviates"
"demokraatlik","abbreviating"
"demonstratsioon","abbreviation"
"demonstreerida","abbreviations"
"depressioon","abbreviator"
"detail","abbreviatory"
"detektiiv","abbreviators"
"detsember","abbreviature"
"diabeet","abbroachment"
"diagnoos","ABC"
"diagnoosida","abcess"
"diagramm","abcissa"
"dialoogi","abcoulomb"
"dieeti","ABCs"
"digitaalne","abd"
"diivan","abdal"
"dimensioon","abdali"
"diplomaatiline","abdaria"
"direktor","abdat"
"disain","Abdel"
"diskrimineerimine","Abd-el-Kadir"
"diskursus","Abd-el-Krim"
"distsipliini","Abdella"
"DNA","Abderhalden"
"dok","Abderian"
"doktriin","Abderite"
"dokument","Abderus"
"dokumentaalfilm","abdest"
"dollarit","Abdias"
"domeeni","abdicable"
"domineerima","abdicant"
"domineeriv","abdicate"
"doonor","abdicated"
"draakon","abdicates"
"draama","abdicating"
"dramaatiline","abdication"
"dramaatiliselt","abdications"
"dünaamika","abdicative"
"dünaamiline","abdicator"
"dušš","Abdiel"
"džungel","abditive"
"eakaaslane","abditory"
"ebakindlus","abdom"
"ebamugav","abdomen"
"ebaõiglane","abdomens"
"ebaõnnestuda","abdomen's"
"ebaõnnestumine","abdomina"
"ebaselge","abdominal"
"ebatavaline","Abdominales"
"ebatõenäoline","abdominalia"
"ebaviisakas","abdominalian"
"edasi","abdominally"
"edasijõudnud","abdominals"
"edasikandumine","abdominoanterior"
"edasimüüja","abdominocardiac"
"edasipüüdlik","abdominocentesis"
"edelasse","abdominocystic"
"edendada","abdominogenital"
"edendamine","abdominohysterectomy"
"edu","abdominohysterotomy"
"edukalt","abdominoposterior"
"edukas","abdominoscope"
"edusamme","abdominoscopy"
"eelarvamus","abdominothoracic"
"eelarve","abdominous"
"eeldus","abdomino-uterotomy"
"eelis","abdominovaginal"
"eelistada","abdominovesical"
"eelistus","Abdon"
"eelkõige","Abdu"
"eelmine","abduce"
"eelnev","abduced"
"eemaldada","abducens"
"eemaldus","abducent"
"ees","abducentes"
"eesistumine","abduces"
"eesmärk","abducing"
"eespool","abduct"
"eetika","abducted"
"eetiline","abducting"
"ega","abduction"
"ego","abductions"
"eh","abduction's"
"ehitada","abductor"
"Ehitus","abductores"
"ehk","abductors"
"ehted","abductor's"
"ehtne","abducts"
"ei","Abdul"
"eile","Abdul-Aziz"
"einestamine","Abdul-baha"
"eitama","Abdulla"
"eitamine","Abe"
"ekraan","a-be"
"eksam","abeam"
"eksklusiivne","abear"
"eksperimentaalne","abearance"
"eksportida","Abebi"
"elada","abecedaire"
"elamu","abecedary"
"elanik","abecedaria"
"elanikkonnast","abecedarian"
"elavad","abecedarians"
"elegantne","abecedaries"
"elektriline","abecedarium"
"elektrit","abecedarius"
"elektrooniline","abed"
"element","abede"
"elementaarne","abedge"
"elevant","Abednego"
"eliit","abegge"
"ellujääja","Abey"
"ellujäämine","abeyance"
"elu","abeyances"
"eluaeg","abeyancy"
"eluase","abeyancies"
"elujõuline","abeyant"
"elukoht","abeigh"
"elukutse","ABEL"
"elupaik","Abelard"
"elus","abele"
"elusloodus","abeles"
"elustiil","Abelia"
"elutähtis","Abelian"
"ema","Abelicea"
"e-mail","Abelite"
"emakeelena","Abell"
"embama","Abelmoschus"
"emissioon","abelmosk"
"emme","abelmosks"
"emotsionaalne","abelmusk"
"emotsionaalselt","Abelonian"
"emotsioon","Abelson"
"enam","abeltree"
"enamasti","Abencerrages"
"enamus","abend"
"endine","abends"
"energiat","Abenezra"
"enesekindel","abenteric"
"enesekindlus","Abeokuta"
"enesetapp","abepithymia"
"enne","ABEPP"
"enneolematu","Abercromby"
"ennustada","Abercrombie"
"ennustus","Aberdare"
"entusiasmi","aberdavine"
"episood","Aberdeen"
"erakordne","Aberdeenshire"
"eraldamine","aberdevine"
"eraldi","Aberdonian"
"erand","aberduvine"
"eranditult","Aberfan"
"eriline","Aberglaube"
"erinev","Aberia"
"erinevad","Aberystwyth"
"erinevalt","Abernant"
"erinevus","Abernathy"
"eristama","abernethy"
"eristatav","Abernon"
"eriti","aberr"
"erutada","aberrance"
"erutatud","aberrancy"
"esialgne","aberrancies"
"esialgu","aberrant"
"esik","aberrantly"
"esile","aberrants"
"esimees","aberrate"
"esindaja","aberrated"
"esindama","aberrating"
"esindus","aberration"
"esineda","aberrational"
"esineja","aberrations"
"esinema","aberrative"
"Esita","aberrator"
"esiteks","aberrometer"
"esitlus","aberroscope"
"esitus","Abert"
"esivanem","aberuncate"
"esmakursuslane","aberuncator"
"esmane","abesse"
"esmaspäev","abessive"
"esmatähtis","abet"
"essee","abetment"
"et","abetments"
"etapp","abets"
"etniline","abettal"
"ettemaks","abettals"
"ettepanek","abetted"
"ettepanekut","abetter"
"ettevaatlik","abetters"
"ettevalmistus","abetting"
"ettevõte","abettor"
"ettevõtja","abettors"
"ettevõtmine","Abeu"
"ettevõtte","abevacuation"
"euroopalik","abfarad"
"evolutsioon","abfarads"
"faasis","ABFM"
"faili","Abgatha"
"fakt","ABHC"
"faktor","abhenry"
"fänn","abhenries"
"fantaasia","abhenrys"
"fantastiline","abhinaya"
"festival","abhiseka"
"fikseeritud","abhominable"
"film","abhor"
"Film","abhorred"
"filosoofia","abhorrence"
"filosoofiline","abhorrences"
"filter","abhorrency"
"fiskaalne","abhorrent"
"föderaalne","abhorrently"
"fond","abhorrer"
"foorum","abhorrers"
"fossiil","abhorrible"
"foto","abhorring"
"fotograaf","abhors"
"fotograafia","Abhorson"
"fraas","ABI"
"frantsiis","aby"
"frustratsioon","Abia"
"fuajees","Abiathar"
"funktsionaalne","Abib"
"funktsiooni","abichite"
"Füüsika","abidal"
"füüsiline","abidance"
"füüsiliselt","abidances"
"gaas","abidden"
"galaktika","abide"
"galerii","abided"
"gallonit","abider"
"garaaž","abiders"
"garantii","abides"
"geen","abidi"
"geenius","abiding"
"gei","abidingly"
"geneetiline","abidingness"
"genereerida","Abidjan"
"geniaalne","Abydos"
"giid","Abie"
"globaalne","abye"
"golf","abied"
"gop","abyed"
"graafik","abiegh"
"graafiline","abience"
"grammi","abient"
"gravitatsiooni","Abies"
"Grupp","abyes"
"ha","abietate"
"hääl","abietene"
"häälestada","abietic"
"hääletada","abietin"
"hääletamine","Abietineae"
"hääletussedel","abietineous"
"haamer","abietinic"
"haarata","abietite"
"haare","Abiezer"
"haav","Abigael"
"haavatav","Abigail"
"häbelik","abigails"
"häbi","abigailship"
"hädaolukord","Abigale"
"hädas","abigeat"
"hädavajalik","abigei"
"hai","abigeus"
"haige","Abihu"
"haiglasse","abying"
"haigus","Abijah"
"häire","Abyla"
"häirima","abilao"
"häiriv","Abilene"
"hajutada","abiliment"
"hakkima","Abilyne"
"halastust","abilitable"
"halb","ability"
"hall","abilities"
"hallata","ability's"
"Halloween","abilla"
"halvasti","abilo"
"hammas","abime"
"hämmastav","Abimelech"
"hammustada","Abineri"
"hape","Abingdon"
"hapnikku","Abinger"
"hari","Abington"
"haridust","Abinoam"
"harima","Abinoem"
"hariv","abintestate"
"harjumus","abiogeneses"
"harjutada","abiogenesis"
"harjutus","abiogenesist"
"härra","abiogenetic"
"härrasmees","abiogenetical"
"harta","abiogenetically"
"haru","abiogeny"
"haruldane","abiogenist"
"harva","abiogenous"
"hästi","abiology"
"haud","abiological"
"hävitada","abiologically"
"hävitama","abioses"
"hävitamine","abiosis"
"hea","abiotic"
"headus","abiotical"
"heakskiit","abiotically"
"heaolu","abiotrophy"
"heategevus","abiotrophic"
"hei","Abipon"
"heidutada","Abiquiu"
"helde","abir"
"heli","abirritant"
"helikopter","abirritate"
"helikõrgus","abirritated"
"helistaja","abirritating"
"helistama","abirritation"
"hetk","abirritative"
"higistama","abys"
"hiiglane","Abisag"
"hiilgus","Abisha"
"hiilima","Abishag"
"hiir","Abisia"
"hilja","abysm"
"hiljem","abysmal"
"hiljuti","abysmally"
"hiljutine","abysms"
"hind","Abyss"
"hindamine","abyssa"
"hindan","abyssal"
"hing","abysses"
"hingamine","Abyssinia"
"hingata","Abyssinian"
"hingeldama","abyssinians"
"hingetõmme","abyssobenthonic"
"hinnang","abyssolith"
"hinnanguline","abyssopelagic"
"hinnata","abyss's"
"hinne","abyssus"
"hirm","abiston"
"hirmunud","abit"
"hirmutama","Abitibi"
"hirmutav","Abiu"
"hirved","abiuret"
"hispaanlane","Abixah"
"hmm","abject"
"hõbedane","abjectedness"
"hobune","abjection"
"hoia","abjections"
"hoiak","abjective"
"hoiatama","abjectly"
"hoiatus","abjectness"
"hoida","abjectnesses"
"hõim","abjoint"
"hõimu","abjudge"
"hõivata","abjudged"
"hõivatud","abjudging"
"hoki","abjudicate"
"hõlbustada","abjudicated"
"hollandlane","abjudicating"
"homme","abjudication"
"hommikul","abjudicator"
"hommikusöök","abjugate"
"hooaeg","abjunct"
"hoogu","abjunction"
"hoogustada","abjunctive"
"hooldaja","abjuration"
"hooldus","abjurations"
"hooldusõigus","abjuratory"
"hoolikalt","abjure"
"hoolitseda","abjured"
"hoone","abjurement"
"hõõruda","abjurer"
"hormoon","abjurers"
"hotell","abjures"
"hukata","abjuring"
"hukkamine","abkar"
"hülgama","abkari"
"hulkuma","abkary"
"hull","Abkhas"
"hulluks","Abkhasia"
"hunnik","Abkhasian"
"hunt","Abkhaz"
"hüpata","Abkhazia"
"hüpe","Abkhazian"
"hüpoteek","abl"
"hüpotees","abl."
"huule","ablach"
"huumor","ablactate"
"hüvasti","ablactated"
"huvi","ablactating"
"huvides","ablactation"
"huvitatud","ablaqueate"
"huvitav","ablare"
"hüvitis","A-blast"
"i","ablastemic"
"idapoolne","ablastin"
"ideaalne","ablastous"
"idee","ablate"
"identiteet","ablated"
"identsed","ablates"
"ideoloogia","ablating"
"ideoloogiline","ablation"
"idioot","ablations"
"iga","ablatitious"
"iga-aastane","ablatival"
"igakuine","ablative"
"iganädalane","ablatively"
"igatahes","ablatives"
"igatsema","ablator"
"igav","ablaut"
"igavene","ablauts"
"igavesti","ablaze"
"ignoreerida","able"
"iidne","able-bodied"
"iirlane","able-bodiedness"
"iisraeli","ableeze"
"ikka","ablegate"
"ikooni","ablegates"
"illegaalne","ablegation"
"illusioon","able-minded"
"illustratsioon","able-mindedness"
"illustreerima","ablend"
"ilm","ableness"
"ilma","ablepharia"
"ilmalik","ablepharon"
"ilmne","ablepharous"
"ilmselge","Ablepharus"
"ilmselgelt","ablepsy"
"ilmselt","ablepsia"
"ilmutus","ableptical"
"ilmuvad","ableptically"
"ilu","abler"
"ilukirjandus","ables"
"ilus","ablesse"
"ime","ablest"
"imeda","ablet"
"imelik","ablewhackets"
"imeline","ably"
"imestama","ablings"
"imetleda","ablins"
"imik","ablock"
"immigrant","abloom"
"immigratsioon","ablow"
"immuunne","ABLS"
"impeerium","ablude"
"implikatsioon","abluent"
"importida","abluents"
"indeks","ablush"
"indiaanlane","ablute"
"indikaator","abluted"
"individuaalne","ablution"
"infektsioon","ablutionary"
"inflatsiooni","ablutions"
"info","abluvion"
"infrastruktuuri","ABM"
"ingel","abmho"
"Inglise","abmhos"
"inimene","abmodality"
"inimesed","abmodalities"
"inimkond","abn"
"innukas","Abnaki"
"insener","Abnakis"
"inseneritöö","abnegate"
"inspektor","abnegated"
"inspiratsiooni","abnegates"
"inspireerima","abnegating"
"installida","abnegation"
"instinkt","abnegations"
"institutsionaalsed","abnegative"
"institutsioon","abnegator"
"instituut","abnegators"
"instrument","Abner"
"insult","abnerval"
"integratsiooni","abnet"
"integreerida","abneural"
"intellektuaalne","abnormal"
"intelligentne","abnormalcy"
"intelligentsus","abnormalcies"
"intensiivne","abnormalise"
"intensiivsusega","abnormalised"
"interaktsiooni","abnormalising"
"interjöör","abnormalism"
"internet","abnormalist"
"intervall","abnormality"
"intervjuu","abnormalities"
"intiimne","abnormalize"
"intsident","abnormalized"
"invasioon","abnormalizing"
"inventar","abnormally"
"investeerida","abnormalness"
"investeering","abnormals"
"investor","abnormity"
"ipad","abnormities"
"iphone","abnormous"
"iraaklane","abnumerable"
"iraanlane","Abo"
"iroonia","aboard"
"isa","aboardage"
"isand","Abobra"
"ise","abococket"
"isegi","abodah"
"iseloom","abode"
"iseloomu","aboded"
"iseloomulik","abodement"
"iseloomustama","abodes"
"iseseisvus","abode's"
"isik","abody"
"isiklik","aboding"
"isiklikult","abogado"
"islam","abogados"
"islami","abohm"
"isolatsioon","abohms"
"isoleerida","aboideau"
"issand","aboideaus"
"issi","aboideaux"
"iste","aboil"
"istuda","aboiteau"
"istungil","aboiteaus"
"ja","aboiteaux"
"ja/või","abolete"
"jää","abolish"
"jaam","abolishable"
"jääma","abolished"
"jaanuar","abolisher"
"jaapanlane","abolishers"
"jäätmed","abolishes"
"jaemüüja","abolishing"
"jaemüük","abolishment"
"jagada","abolishments"
"jagama","abolishment's"
"jagatud","abolition"
"jah","abolitionary"
"jahimees","abolitionise"
"jahipidamine","abolitionised"
"jahtima","abolitionising"
"jahu","abolitionism"
"jäik","abolitionist"
"jalg","abolitionists"
"jälg","abolitionize"
"jälgima","abolitionized"
"jalgpall","abolitionizing"
"Jalgpall","abolitions"
"jalgratas","abolla"
"jälitama","abollae"
"jälitamine","aboma"
"jama","abomas"
"jäme","abomasa"
"jämedalt","abomasal"
"Jänes","abomasi"
"jaoks","abomasum"
"jaotus","abomasus"
"järeldada","abomasusi"
"järeldus","A-bomb"
"järelevalve","abominability"
"järelikult","abominable"
"järgi","abominableness"
"järgija","abominably"
"järgima","abominate"
"järgmiseks","abominated"
"järgnev","abominates"
"järjekindel","abominating"
"järjekindlalt","abomination"
"järjestikused","abominations"
"järjestus","abominator"
"järk-järgult","abominators"
"järsk","abomine"
"järv","abondance"
"jäseme","Abongo"
"jätka","abonne"
"Jätka","abonnement"
"jätkates","aboon"
"jätkus","aborad"
"jätkusuutlik","aboral"
"jätkuv","aborally"
"jazz","abord"
"jet","Aboriginal"
"jne","aboriginality"
"jõgi","aboriginally"
"jõhker","aboriginals"
"jooksja","aboriginary"
"jooksma","Aborigine"
"jooksmine","aborigines"
"joomine","aborigine's"
"joondada","Abor-miri"
"joonistada","Aborn"
"joonistamine","aborning"
"jootraha","a-borning"
"jope","aborsement"
"jõuda","aborsive"
"jõudu","abort"
"jõuk","aborted"
"jõukas","aborter"
"jõulud","aborters"
"Jõusaal","aborticide"
"jõustada","abortient"
"jõustamine","abortifacient"
"juba","abortin"
"jube","aborting"
"juhatus","abortion"
"juhe","abortional"
"juhendaja","abortionist"
"juhendama","abortionists"
"juhendamine","abortions"
"juhised","abortion's"
"juht","abortive"
"juhtima","abortively"
"juhtimine","abortiveness"
"juhtiv","abortogenic"
"juhtnöör","aborts"
"juhtum","abortus"
"juhtuma","abortuses"
"juhus","abos"
"juhuslik","abote"
"julge","Abott"
"julgust","abouchement"
"julgustada","aboudikro"
"julgustav","abought"
"julm","Aboukir"
"jumal","aboulia"
"jumalik","aboulias"
"jurisdiktsiooni","aboulic"
"jutlustada","abound"
"jutustaja","abounded"
"juua","abounder"
"juuksed","abounding"
"juuli","aboundingly"
"juuni","abounds"
"juunior","Abourezk"
"juur","about"
"juurde","about-face"
"juurdepääs","about-faced"
"juures","about-facing"
"juurvilja","abouts"
"juust","about-ship"
"juut","about-shipped"
"ka","about-shipping"
"kaabel","about-sledge"
"kaadrid","about-turn"
"kaal","above"
"kaaluma","aboveboard"
"kaalumist","above-board"
"kaamera","above-cited"
"kaardile","abovedeck"
"kaart","above-found"
"kaas","above-given"
"kaasa","aboveground"
"kaasaegne","abovementioned"
"kaasama","above-mentioned"
"kaasamine","above-named"
"kaasata","aboveproof"
"kaasatud","above-quoted"
"kaaslane","above-reported"
"kaastööline","aboves"
"kaastunnet","abovesaid"
"kabinet","above-said"
"kaduma","abovestairs"
"kadunud","above-water"
"kaebus","above-written"
"kaela","abow"
"käepide","abox"
"kaevama","Abp"
"kagusse","ABPC"
"kahanema","Abqaiq"
"kahekordne","abr"
"kaheksa","abr."
"kaheksas","Abra"
"kahetsema","abracadabra"
"kahju","abrachia"
"kahjuks","abrachias"
"kahtlane","abradable"
"kahtlema","abradant"
"kahtlus","abradants"
"kahtlustatav","abrade"
"kahvatu","abraded"
"kahvel","abrader"
"käik","abraders"
"kaitse","abrades"
"kaitsev","abrading"
"kaitsja","Abraham"
"kaitsta","Abrahamic"
"kaitstav","Abrahamidae"
"käituma","Abrahamite"
"käitumine","Abrahamitic"
"käitumuslikud","Abraham-man"
"käivitada","Abrahams"
"kaja","Abrahamsen"
"kajut","Abrahan"
"kaks","abray"
"kaksik","abraid"
"kakskümmend","Abram"
"kaksteist","Abramis"
"kala","Abramo"
"kalapüük","Abrams"
"kaldal","Abramson"
"kalduvus","Abran"
"kalender","abranchial"
"kalju","abranchialism"
"kalkun","abranchian"
"kalle","Abranchiata"
"kallis","abranchiate"
"kallistama","abranchious"
"kaloreid","abrasax"
"kamber","abrase"
"kamp","abrased"
"kampaania","abraser"
"kana","abrash"
"kanadalane","abrasing"
"kanal","abrasiometer"
"kand","abrasion"
"kandidaat","abrasions"
"kandma","abrasion's"
"kangast","abrasive"
"kangelane","abrasively"
"kann","abrasiveness"
"kannatama","abrasivenesses"
"kannatanu","abrasives"
"kannatlikkust","abrastol"
"kannatused","abraum"
"kaos","abraxas"
"kaotada","abrazite"
"kaotaja","abrazitic"
"kaotus","abrazo"
"kapitali","abrazos"
"kapitalism","abreact"
"kapp","abreacted"
"kapten","abreacting"
"käputäis","abreaction"
"kardan","abreactions"
"kardin","abreacts"
"karistama","abreast"
"karistus","abreed"
"karjääri","abrege"
"karjuda","abreid"
"karm","abrenounce"
"kartul","abrenunciate"
"karu","abrenunciation"
"käru","abreption"
"kas","abret"
"käsi","abreuvoir"
"kasiino","abri"
"käsitöö","abrico"
"käsk","abricock"
"kass","abricot"
"kaste","abridgable"
"kasti","abridge"
"kasu","abridgeable"
"kasuks","abridged"
"kasulik","abridgedly"
"kasulikkust","abridgement"
"kasumit","abridgements"
"kasutada","abridger"
"kasutaja","abridgers"
"kasutamine","abridges"
"kasutatud","abridging"
"kasutu","abridgment"
"kasvaja","abridgments"
"kasvama","abrim"
"kasvatada","abrin"
"kasvataja","abrine"
"kasvav","abris"
"kasvu","abristle"
"katastroofi","abroach"
"kategooria","abroad"
"katki","Abrocoma"
"katoliiklane","abrocome"
"katse","abrogable"
"katsetada","abrogate"
"kättemaks","abrogated"
"kättesaadavus","abrogates"
"katus","abrogating"
"katvus","abrogation"
"kaubandus","abrogations"
"kaubanduskeskus","abrogative"
"kaubanduslik","abrogator"
"kaubik","abrogators"
"kauboi","Abroma"
"kaudu","Abroms"
"kauge","Abronia"
"kaugele","abrood"
"kaugemale","abrook"
"kaugjuhtimispult","abrosia"
"kaup","abrosias"
"kauplemine","abrotanum"
"kaupmees","abrotin"
"kaussi","abrotine"
"kaval","abrupt"
"kavatsema","abruptedly"
"kavatsus","abrupter"
"keda","abruptest"
"keegi","abruptio"
"keel","abruption"
"keelama","abruptiones"
"keelata","abruptly"
"keelduda","abruptness"
"keema","Abrus"
"keemia","Abruzzi"
"keemiline","ABS"
"keerata","abs-"
"keerukus","Absa"
"keeruline","Absalom"
"keerutada","absampere"
"keha","Absaraka"
"kehtestada","Absaroka"
"kehtestama","Absarokee"
"kehtiv","absarokite"
"kehtivus","ABSBH"
"keiser","abscam"
"kelder","abscess"
"kell","abscessed"
"kella","abscesses"
"kelle","abscessing"
"kelluke","abscession"
"kena","abscessroot"
"kepp","abscind"
"kerge","abscise"
"kergelt","abscised"
"kergendust","abscises"
"kergesti","abscisin"
"kergus","abscising"
"kerjama","abscisins"
"keset","abscision"
"keskel","absciss"
"keskenduda","abscissa"
"keskkond","abscissae"
"keskkonna","abscissas"
"kesklinna","abscissa's"
"keskmine","abscisse"
"keskne","abscissin"
"kesköö","abscission"
"keskpäeval","abscissions"
"Keskus","absconce"
"kest","abscond"
"kett","absconded"
"kettale","abscondedly"
"kevad","abscondence"
"kibe","absconder"
"kiht","absconders"
"kiik","absconding"
"kiip","absconds"
"kiir","absconsa"
"kiire","abscoulomb"
"kiiremini","abscound"
"kiiresti","Absecon"
"kiirgust","absee"
"kiirust","absey"
"kiirusta","abseil"
"kiirustada","abseiled"
"kiitust","abseiling"
"kiiver","abseils"
"kilp","absence"
"kilpkonn","absences"
"kindel","absence's"
"kindlalt","absent"
"kindlasti","absentation"
"kindlustama","absented"
"kindlustus","absentee"
"kinga","absenteeism"
"kingitus","absentees"
"kinnas","absentee's"
"kinni","absenteeship"
"kinnipeetav","absenter"
"kinnitada","absenters"
"kinnitama","absentia"
"kipuvad","absenting"
"kirg","absently"
"kirglik","absentment"
"kiri","absentminded"
"kirik","absent-minded"
"kirikulaul","absentmindedly"
"kirjanduslik","absent-mindedly"
"kirjandust","absentmindedness"
"kirjanik","absent-mindedness"
"kirjaoskus","absentmindednesses"
"kirjastaja","absentness"
"kirjastamine","absents"
"kirjeldada","absfarad"
"kirjeldus","abshenry"
"kirjutada","Abshier"
"kirjutamine","Absi"
"kirjutatud","absinth"
"kirurg","absinthe"
"kirurgia","absinthes"
"kiskja","absinthial"
"kitarr","absinthian"
"kits","absinthiate"
"kitsas","absinthiated"
"kiudaineid","absinthiating"
"kius","absinthic"
"kivi","absinthiin"
"kivisüsi","absinthin"
"klaasist","absinthine"
"klapp","absinthism"
"klass","absinthismic"
"klassifitseerida","absinthium"
"klassikaline","absinthol"
"klassiruumi","absinthole"
"klaster","absinths"
"klausel","Absyrtus"
"klaver","absis"
"klaviatuur","absist"
"kleit","absistos"
"klient","absit"
"kliima","absmho"
"kliinik","absohm"
"kliiniline","absoil"
"klipp","absolent"
"klõps","Absolute"
"klõpsa","absolutely"
"klubi","absoluteness"
"koalitsioon","absoluter"
"kodakondsus","absolutes"
"kodanik","absolutest"
"kodanlik","absolution"
