"Turkish","English"
"abramak","Abarambo"
"abrasion","Abarbarea"
"abraş","Abaris"
"abril","abarthrosis"
"abrul","abarticular"
"absorban","abarticulation"
"absorbe","Abas"
"absorbsiyon","abase"
"absorpsiyon","abased"
"abstraksiyon","abasedly"
"abstraksiyonizm","abasedness"
"abstre","abasement"
"absürd","abasements"
"absürt","abaser"
"abşar","abasers"
"abu","abases"
"abuhava","Abasgi"
"abuk","abash"
"abula","abashed"
"abuli","abashedly"
"abullabut","abashedness"
"abullabutluk","abashes"
"abur","abashing"
"abus","abashless"
"abuse","abashlessly"
"abuş","abashment"
"aca","abashments"
"acaba","abasia"
"acaip","abasias"
"acar","abasic"
"acara","abasing"
"acaralp","abasio"
"acarkan","abask"
"acarlaşmak","abassi"
"acarlık","Abassieh"
"acayibine","Abassin"
"acayip","abastard"
"acayipleşmek","abastardize"
"acayiplik","abastral"
"accelerando","abatable"
"accık","abatage"
"ace","Abate"
"acebe","abated"
"acele","abatement"
"aceleci","abatements"
"acelecilik","abater"
"aceleleştirmek","abaters"
"aceleten","abates"
"aceleye","abatic"
"aceleyle","abating"
"acem","abatis"
"acemaşiran","abatised"
"acemborusu","abatises"
"acembuselik","abatjour"
"acemce","abatjours"
"acemi","abaton"
"acemice","abator"
"acemileşmek","abators"
"acemilik","ABATS"
"acemkürdi","abattage"
"acemlalesi","abattis"
"acemleşmek","abattised"
"acemleştirmek","abattises"
"acenta","abattoir"
"acente","abattoirs"
"acentelik","abattu"
"acep","abattue"
"aceze","Abatua"
"acı","abature"
"acıbadem","abaue"
"acıca","abave"
"acıçektirmek","abaxial"
"acıdaş","abaxile"
"acıduymak","abaze"
"acık","abb"
"acıkara","Abba"
"acıkılmak","abbacy"
"acıklanmak","abbacies"
"acıklı","abbacomes"
"acıkmak","Abbadide"
"acıkmış","Abbai"
"acıktırmak","abbaye"
"acılan","abbandono"
"acılanmak","abbas"
"acılar","abbasi"
"acılaşmak","Abbasid"
"acılaştırmak","abbassi"
"acılı","Abbassid"
"acılık","Abbasside"
"acılılık","Abbate"
"acıma","abbatial"
"acımadan","abbatical"
"acımak","abbatie"
"acımalık","Abbe"
"acımamak","Abbey"
"acımasız","abbeys"
"acımasızca","abbey's"
"acımasızlık","abbeystead"
"acımaz","abbeystede"
"acımazlık","abbes"
"acımığ","abbess"
"acımıh","abbesses"
"acımık","abbest"
"acımsı","Abbevilean"
"acımtırak","Abbeville"
"acımuk","Abbevillian"
"acınacak","Abbi"
"acınan","Abby"
"acınarak","Abbie"
"acınası","Abbye"
"acından","Abbyville"
"acındıracak","abboccato"
"acındırıcı","abbogada"
"acındırmak","Abbot"
"acınılacak","abbotcy"
"acınılmak","abbotcies"
"acınmak","abbotnullius"
"acırak","abbotric"
"acırga","abbots"
"acısı","abbot's"
"acısına","Abbotsen"
"acısını","Abbotsford"
"acısız","abbotship"
"acıtış","abbotships"
"acıtmak","Abbotson"
"acıvermek","Abbotsun"
"acıya","Abbott"
"acıyan","Abbottson"
"acıyarak","Abbottstown"
"acıyı","Abboud"
"acıyıcı","abbozzo"
"acıyış","ABBR"
"acıyonca","abbrev"
"acibe","abbreviatable"
"acil","abbreviate"
"acilen","abbreviated"
"acimik","abbreviately"
"acin","abbreviates"
"acip","abbreviating"
"aciyo","abbreviation"
"aciz","abbreviations"
"acizler","abbreviator"
"acizlik","abbreviatory"
"aclan","abbreviators"
"acu","abbreviature"
"acube","abbroachment"
"acul","ABC"
"acun","abcess"
"acur","abcissa"
"acurlu","abcoulomb"
"acuze","ABCs"
"acür","abd"
"acyo","abdal"
"acyocu","abdali"
"acze","abdaria"
"acz","abdat"
"açacak","Abdel"
"aç","Abd-el-Kadir"
"açalya","Abd-el-Krim"
"açan","Abdella"
"açar","Abderhalden"
"açelya","Abderian"
"açgöz","Abderite"
"açgözlü","Abderus"
"açgözlülük","abdest"
"açı","Abdias"
"açıcı","abdicable"
"açığa","abdicant"
"açığı","abdicate"
"açığını","abdicated"
"açık","abdicates"
"açıkağız","abdicating"
"açıkağızlı","abdication"
"açıkartırma","abdications"
"açıkça","abdicative"
"açıkçası","abdicator"
"açıkçı","Abdiel"
"açıkgöz","abditive"
"açıkgözlük","abditory"
"açıkgözlükle","abdom"
"açıkgözlülük","abdomen"
"açıklama","abdomens"
"açıklamak","abdomen's"
"açıklamalar","abdomina"
"açıklamalı","abdominal"
"açıklamaya","Abdominales"
"açıklanan","abdominalia"
"açıklanma","abdominalian"
"açıklanmak","abdominally"
"açıklanmış","abdominals"
"açıklar","abdominoanterior"
"açıklaşma","abdominocardiac"
"açıklaşmak","abdominocentesis"
"açıklaştırma","abdominocystic"
"açıklaştırmak","abdominogenital"
"açıklatma","abdominohysterectomy"
"açıklatmak","abdominohysterotomy"
"açıklayan","abdominoposterior"
"açıklayıcı","abdominoscope"
"açıklayış","abdominoscopy"
"açıklığa","abdominothoracic"
"açıklık","abdominous"
"açıklıkla","abdomino-uterotomy"
"açıklıkölçer","abdominovaginal"
"açıkta","abdominovesical"
"açıktan","Abdon"
"açıkyürekli","Abdu"
"açıkyüreklilik","abduce"
"açıl","abduced"
"açılama","abducens"
"açılan","abducent"
"açılım","abducentes"
"açılıp","abduces"
"açılış","abducing"
"açılma","abduct"
"açılmak","abducted"
"açılmamış","abducting"
"açılması","abduction"
"açılmış","abductions"
"açım","abduction's"
"açımlama","abductor"
"açımlamak","abductores"
"açımlanma","abductors"
"açımlanmak","abductor's"
"açındırma","abducts"
"açındırmak","Abdul"
"açınık","Abdul-Aziz"
"açınım","Abdul-baha"
"açınımsız","Abdulla"
"açınma","Abe"
"açınmak","a-be"
"açınsama","abeam"
"açınsamak","abear"
"açıortay","abearance"
"açıölçer","Abebi"
"açısal","abecedaire"
"açış","abecedary"
"açıt","abecedaria"
"açkı","abecedarian"
"açkıcı","abecedarians"
"açkılama","abecedaries"
"açkılamak","abecedarium"
"açkılanma","abecedarius"
"açkılanmak","abed"
"açkılatma","abede"
"açkılatmak","abedge"
"açkılı","Abednego"
"açkısız","abegge"
"açkıyapılmak","Abey"
"açlığınıgidermek","abeyance"
"açlığı","abeyances"
"açlık","abeyancy"
"açlıktan","abeyancies"
"açma","abeyant"
"açmacı","abeigh"
"açmak","ABEL"
"açmalık","Abelard"
"açması","abele"
"açmaz","abeles"
"açmaza","Abelia"
"açmazlık","Abelian"
"açtırma","Abelicea"
"açtırmak","Abelite"
"ada","Abell"
"adabımuaşeret","Abelmoschus"
"adacık","abelmosk"
"adacılık","abelmosks"
"adacyo","abelmusk"
"adaçayı","Abelonian"
"adagio","Abelson"
"adak","abeltree"
"adaklama","Abencerrages"
"adaklamak","abend"
"adaklanma","abends"
"adaklanmak","Abenezra"
"adaklı","abenteric"
"adaklık","Abeokuta"
"adaksız","abepithymia"
"adal","ABEPP"
"adalan","Abercromby"
"adalarda","Abercrombie"
"adaldı","Aberdare"
"adale","aberdavine"
"adaleli","Aberdeen"
"adalesiz","Aberdeenshire"
"adalet","aberdevine"
"adalete","Aberdonian"
"adaletin","aberduvine"
"adaletine","Aberfan"
"adaletli","Aberglaube"
"adaletlilik","Aberia"
"adaletsiz","Aberystwyth"
"adaletsizlik","Abernant"
"adaletten","Abernathy"
"adalı","abernethy"
"adalır","Abernon"
"adali","aberr"
"ad","aberrance"
"adalmış","aberrancy"
"adam","aberrancies"
"adama","aberrant"
"adamak","aberrantly"
"adamakıllı","aberrants"
"adamakıllıazarlanmak","aberrate"
"adamakıllıdövmek","aberrated"
"adamakla","aberrating"
"adamca","aberration"
"adamcağız","aberrational"
"adamcasına","aberrations"
"adamcık","aberrative"
"adamcıl","aberrator"
"adamcıllık","aberrometer"
"adamdan","aberroscope"
"adamet","Abert"
"adamı","aberuncate"
"adamım","aberuncator"
"adamına","abesse"
"adamını","abessive"
"adamkökü","abet"
"adamlığa","abetment"
"adamlık","abetments"
"adamlıksız","abets"
"adamotu","abettal"
"adamsende","abettals"
"adamsendeci","abetted"
"adamsendecilik","abetter"
"adamsız","abetters"
"adamsızlık","abetting"
"adan","abettor"
"adana","abettors"
"adanır","Abeu"
"adanma","abevacuation"
"adanmak","abfarad"
"adanmış","abfarads"
"adap","ABFM"
"adaptasyon","Abgatha"
"adapte","ABHC"
"adaptör","abhenry"
"adaş","abhenries"
"adaşlık","abhenrys"
"adatepe","abhinaya"
"adatma","abhiseka"
"adatmak","abhominable"
"aday","abhor"
"adayavrusu","abhorred"
"adaylığını","abhorrence"
"adaylık","abhorrences"
"adbilim","abhorrency"
"adcı","abhorrent"
"adcılık","abhorrently"
"adçekimi","abhorrer"
"addan","abhorrers"
"addedilen","abhorrible"
"addedilme","abhorring"
"addedilmek","abhors"
"addetme","Abhorson"
"addetmek","ABI"
"addolunma","aby"
"addolunmak","Abia"
"adedi","Abiathar"
"adedimürettep","Abib"
"adele","abichite"
"adelesiz","abidal"
"adem","abidance"
"ademci","abidances"
"ademcilik","abidden"
"ademi","abide"
"ademimerkeziyet","abided"
"ademimerkeziyetçi","abider"
"ademimerkeziyetçilik","abiders"
"ademoğulları","abides"
"ademotu","abidi"
"adenit","abiding"
"adese","abidingly"
"adeta","abidingness"
"adetçe","Abidjan"
"adet","Abydos"
"adetimürettep","Abie"
"adetler","abye"
"adezyon","abied"
"adha","abyed"
"adı","abiegh"
"adıanılmamak","abience"
"adıduyulmak","abient"
"adıgeçmek","Abies"
"adıkaynak","abyes"
"adıktı","abietate"
"adıkutlu","abietene"
"adıkutluğ","abietic"
"adıl","abietin"
"adım","Abietineae"
"adımını","abietineous"
"adımlama","abietinic"
"adımlamak","abietite"
"adımlarını","Abiezer"
"adımlarınısıklaştırmak","Abigael"
"adımlık","Abigail"
"adımsayar","abigails"
"adın","abigailship"
"adına","Abigale"
"adınçığ","abigeat"
"adından","abigei"
"adını","abigeus"
"adıolmak","Abihu"
"adıvar","abying"
"adıyakşı","Abijah"
"adıyazılmak","Abyla"
"adıyeke","abilao"
"adıyla","Abilene"
"adi","abiliment"
"adil","Abilyne"
"adilane","abilitable"
"adileşme","ability"
"adileştirme","abilities"
"adileştirmek","ability's"
"adisyon","abilla"
"adiyabatik","abilo"
"adjoint","abime"
"adjonction","Abimelech"
"adkır","Abineri"
"adl","Abingdon"
"adlandırılma","Abinger"
"adlandırılmak","Abington"
"adlandırma","Abinoam"
"adlandırmak","Abinoem"
"adlanma","abintestate"
"adlanmak","abiogeneses"
"adlar","abiogenesis"
"adları","abiogenesist"
"adlaşma","abiogenetic"
"adlaşmak","abiogenetical"
"adlaştırma","abiogenetically"
"adlaştırmak","abiogeny"
"adlı","abiogenist"
"adlık","abiogenous"
"adli","abiology"
"adliye","abiological"
"adliyeci","abiologically"
"adliyede","abioses"
"admış","abiosis"
"adonis","abiotic"
"adrenalin","abiotical"
"adres","abiotically"
"adriya","abiotrophy"
"adriyatik","abiotrophic"
"adsız","Abipon"
"adsorban","Abiquiu"
"adsorpsiyon","abir"
"aerobik","abirritant"
"aerodinamik","abirritate"
"aerometre","abirritated"
"aerosol","abirritating"
"aet","abirritation"
"afacan","abirritative"
"afacanlaşma","abys"
"afacanlaşmak","Abisag"
"afacanlık","Abisha"
"afak","Abishag"
"afakan","Abisia"
"afal","abysm"
"afallama","abysmal"
"afallamak","abysmally"
"afallaşma","abysms"
"afallaşmak","Abyss"
"afallaştırma","abyssa"
"afallaştırmak","abyssal"
"afallatma","abysses"
"afallatmak","Abyssinia"
"afar","Abyssinian"
"afaroz","abyssinians"
"afat","abyssobenthonic"
"afazi","abyssolith"
"af","abyssopelagic"
"afdaha","abyss's"
"aferin","abyssus"
"aferist","abiston"
"afet","abit"
"afetler","Abitibi"
"afetzede","Abiu"
"affan","abiuret"
"affa","Abixah"
"affeden","abject"
"affedersiniz","abjectedness"
"affedilme","abjection"
"affedilmek","abjections"
"affedilmiş","abjective"
"affetme","abjectly"
"affetmek","abjectness"
"affetmemek","abjectnesses"
"affetmişsin","abjoint"
"affettirme","abjudge"
"affettirmek","abjudged"
"affettuoso","abjudging"
"affeyleme","abjudicate"
"affeylemek","abjudicated"
"affını","abjudicating"
"affınıza","abjudication"
"affinity","abjudicator"
"affolunma","abjugate"
"affolunmak","abjunct"
"affolunmuş","abjunction"
"afgan","abjunctive"
"afganistan","abjuration"
"afganlı","abjurations"
"afi","abjuratory"
"afif","abjure"
"afife","abjured"
"afili","abjurement"
"afilli","abjurer"
"afis","abjurers"
"afiş","abjures"
"afişçi","abjuring"
"afişçilik","abkar"
"afişe","abkari"
"afişleme","abkary"
"afişlemek","Abkhas"
"afişler","Abkhasia"
"afişte","Abkhasian"
"afiyet","Abkhaz"
"afiyetle","Abkhazia"
"afkurma","Abkhazian"
"afoni","abl"
"aforizm","abl."
"aforizma","ablach"
"aforoz","ablactate"
"aforozlama","ablactated"
"aforozlamak","ablactating"
"aforozlanmak","ablactation"
"aforozlu","ablaqueate"
"afralı","ablare"
"afra","A-blast"
"afrika","ablastemic"
"afrikalı","ablastin"
"afrikalılık","ablastous"
"afsiyon","ablate"
"afsun","ablated"
"afsuncu","ablates"
"afsunculuk","ablating"
"afsuncuya","ablation"
"afsunlama","ablations"
"afsunlamak","ablatitious"
"afsunlanma","ablatival"
"afsunlanmak","ablative"
"afsunlu","ablatively"
"afşar","ablatives"
"afşarı","ablator"
"afşın","ablaut"
"afşin","ablauts"
"aft","ablaze"
"aftafa","able"
"aftaka","able-bodied"
"aftos","able-bodiedness"
"afur","ableeze"
"afyon","ablegate"
"afyonkarahisar","ablegates"
"afyonkeş","ablegation"
"afyonkeşlik","able-minded"
"afyonlama","able-mindedness"
"afyonlamak","ablend"
"afyonlanma","ableness"
"afyonlanmak","ablepharia"
"afyonlu","ablepharon"
"afyonu","ablepharous"
"afyonunu","Ablepharus"
"aga","ablepsy"
"agaçtan","ablepsia"
"agah","ableptical"
"agami","ableptically"
"aganigi","abler"
"aganta","ables"
"agaragar","ablesse"
"agel","ablest"
"agitato","ablet"
"aglomerasyon","ablewhackets"
"aglütinasyon","ably"
"aglütinin","ablings"
"agnosi","ablins"
"agnostik","ablock"
"agnostisizm","abloom"
"agnostiszm","ablow"
"agnozi","ABLS"
"agola","ablude"
"agora","abluent"
"agorafobi","abluents"
"agraf","ablush"
"agrafi","ablute"
"agrandise","abluted"
"agrandisman","ablution"
"agrandisor","ablutionary"
"agrandisör","ablutions"
"agrega","abluvion"
"agreje","ABM"
"agreman","abmho"
"agresif","abmhos"
"agronom","abmodality"
"agronomi","abmodalities"
"agu","abn"
"agucuk","Abnaki"
"agulama","Abnakis"
"agulamak","abnegate"
"agun","abnegated"
"agunmuş","abnegates"
"aguş","abnegating"
"ağa","abnegation"
"ağababa","abnegations"
"ağabey","abnegative"
"ağabeylik","abnegator"
"ağacımsı","abnegators"
"ağaç","Abner"
"ağaçbaskı","abnerval"
"ağaçcık","abnet"
"ağaççık","abneural"
"ağaççılık","abnormal"
"ağaçdelen","abnormalcy"
"ağaçkakan","abnormalcies"
"ağaçkakanları","abnormalise"
"ağaçkesen","abnormalised"
"ağaçlama","abnormalising"
"ağaçlamak","abnormalism"
"ağaçlandırılma","abnormalist"
"ağaçlandırılmak","abnormality"
"ağaçlandırma","abnormalities"
"ağaçlandırmak","abnormalize"
"ağaçlanma","abnormalized"
"ağaçlanmak","abnormalizing"
"ağaçlaşmak","abnormally"
"ağaçlı","abnormalness"
"ağaçlık","abnormals"
"ağaçlıklı","abnormity"
"ağaçsı","abnormities"
"ağaçsız","abnormous"
"ağaçta","abnumerable"
"ağaçtan","Abo"
"ağalanma","aboard"
"ağalanmak","aboardage"
"ağalbay","Abobra"
"ağalık","abococket"
"ağan","abodah"
"ağanın","abode"
"ağar","aboded"
"ağarık","abodement"
"ağarma","abodes"
"ağarmak","abode's"
"ağarmış","abody"
"ağartı","aboding"
"ağartılma","abogado"
"ağartılmak","abogados"
"ağartma","abohm"
"ağartmak","abohms"
"ağartmış","aboideau"
"ağat","aboideaus"
"ağ","aboideaux"
"ağaya","aboil"
"ağaz","aboiteau"
"ağbeneklilik","aboiteaus"
"ağcı","aboiteaux"
"ağcık","abolete"
"ağcılık","abolish"
"ağda","abolishable"
"ağdacı","abolished"
"ağdalanma","abolisher"
"ağdalanmak","abolishers"
"ağdalanmış","abolishes"
"ağdalaşma","abolishing"
"ağdalaşmak","abolishment"
"ağdalaştırma","abolishments"
"ağdalaştırmak","abolishment's"
"ağdalı","abolition"
"ağdalık","abolitionary"
"ağdaş","abolitionise"
"ağdırma","abolitionised"
"ağdırmak","abolitionising"
"ağduk","abolitionism"
"ağı","abolitionist"
"ağıcı","abolitionists"
"ağıç","abolitionize"
"ağıl","abolitionized"
"ağılama","abolitionizing"
"ağılamak","abolitions"
"ağılandırma","abolla"
"ağılandırmak","abollae"
"ağılanma","aboma"
"ağılanmak","abomas"
"ağılaşma","abomasa"
"ağılaşmak","abomasal"
"ağılgat","abomasi"
"ağılı","abomasum"
"ağıllanma","abomasus"
"ağıllanmak","abomasusi"
"ağım","A-bomb"
"ağımlı","abominability"
"ağına","abominable"
"ağıncık","abominableness"
"ağınma","abominably"
"ağınmak","abominate"
"ağır","abominated"
"ağırbaş","abominates"
"ağırbaşlı","abominating"
"ağırbaşlılık","abomination"
"ağırca","abominations"
"ağırcanlı","abominator"
"ağırcık","abominators"
"ağırdan","abomine"
"ağırkanlı","abondance"
"ağırkanlılık","Abongo"
"ağırlama","abonne"
"ağırlamak","abonnement"
"ağırlanma","aboon"
"ağırlanmak","aborad"
"ağırlaşma","aboral"
"ağırlaşmak","aborally"
"ağırlaştıran","abord"
"ağırlaştırıcı","Aboriginal"
"ağırlaştırma","aboriginality"
"ağırlaştırmak","aboriginally"
"ağırlatma","aboriginals"
"ağırlatmak","aboriginary"
"ağırlayan","Aborigine"
"ağırlık","aborigines"
"ağırlıklı","aborigine's"
"ağırsama","Abor-miri"
"ağırsamak","Aborn"
"ağırşak","aborning"
"ağırşaklanma","a-borning"
"ağırşaklanmak","aborsement"
"ağış","aborsive"
"ağıt","abort"
"ağıtçı","aborted"
"ağıtçılık","aborter"
"ağıtlama","aborters"
"ağız","aborticide"
"ağızcıl","abortient"
"ağızda","abortifacient"
"ağızdan","abortin"
"ağızlak","aborting"
"ağızlama","abortion"
"ağızlamak","abortional"
"ağızlara","abortionist"
"ağızlaşma","abortionists"
"ağızlaşmak","abortions"
"ağızlı","abortion's"
"ağızlık","abortive"
"ağızlıkçı","abortively"
"ağızotu","abortiveness"
"ağızsıl","abortogenic"
"ağızsız","aborts"
"ağladı","abortus"
"ağlama","abortuses"
"ağlamak","abos"
"ağlamaklı","abote"
"ağlamalı","Abott"
"ağlamsı","abouchement"
"ağlanacak","aboudikro"
"ağlanç","abought"
"ağlanılası","Aboukir"
"ağlanma","aboulia"
"ağlanmak","aboulias"
"ağlantı","aboulic"
"ağlaşma","abound"
"ağlaşmak","abounded"
"ağlata","abounder"
"ağlatı","abounding"
"ağlatıcı","aboundingly"
"ağlatış","abounds"
"ağlatma","Abourezk"
"ağlatmak","about"
"ağlaya","about-face"
"ağlayan","about-faced"
"ağlayarak","about-facing"
"ağlayıcı","abouts"
"ağlayıp","about-ship"
"ağlayış","about-shipped"
"ağlı","about-shipping"
"ağma","about-sledge"
"ağmak","about-turn"
"ağmık","above"
"ağnam","aboveboard"
"ağnama","above-board"
"ağnamak","above-cited"
"ağnamcı","abovedeck"
"ağnanmak","above-found"
"ağrak","above-given"
"ağrandisman","aboveground"
"ağraz","abovementioned"
"ağreb","above-mentioned"
"ağrı","above-named"
"ağrıdan","aboveproof"
"ağrık","above-quoted"
"ağrıkesen","above-reported"
"ağrıkesici","aboves"
"ağrılı","abovesaid"
"ağrıma","above-said"
"ağrımak","abovestairs"
"ağrına","above-water"
"ağrısı","above-written"
"ağrısız","abow"
"ağrıtma","abox"
"ağrıtmak","Abp"
"ağrıyan","ABPC"
"ağrıyı","Abqaiq"
"ağsı","abr"
"ağu","abr."
"ağul","Abra"
"ağulamak","abracadabra"
"ağulu","abrachia"
"ağustos","abrachias"
"ağustosböceği","abradable"
"ağutur","abradant"
"ağvun","abradants"
"ağyar","abrade"
"ağza","abraded"
"ağzı","abrader"
"ağzıbozuk","abraders"
"ağzın","abrades"
"ağzına","abrading"
"ağzında","Abraham"
"ağzından","Abrahamic"
"ağzını","Abrahamidae"
"ağzınıhayra","Abrahamite"
"ağzının","Abrahamitic"
"ağzıoynamak","Abraham-man"
"ağzısulanmak","Abrahams"
"aha","Abrahamsen"
"ahacık","Abrahan"
"ah","abray"
"ahali","abraid"
"ahan","Abram"
"ahar","Abramis"
"aharlama","Abramo"
"aharlamak","Abrams"
"aharlı","Abramson"
"ahbap","Abran"
"ahbapça","abranchial"
"ahbaplığa","abranchialism"
"ahbaplık","abranchian"
"ahbun","Abranchiata"
"ahcar","abranchiate"
"ahçı","abranchious"
"ahçıbaşı","abrasax"
"ahçılık","abrase"
"ahd","abrased"
"ahdetme","abraser"
"ahdetmek","abrash"
"ahde","abrasing"
"ahdi","abrasiometer"
"ahdiatik","abrasion"
"ahdicedit","abrasions"
"ahdinden","abrasion's"
"ahengi","abrasive"
"ahenk","abrasively"
"ahenkleştirme","abrasiveness"
"ahenkleştirmek","abrasivenesses"
"ahenkli","abrasives"
"ahenklilik","abrastol"
"ahenksiz","abraum"
"ahenksizlik","abraxas"
"ahenktar","abrazite"
"aheste","abrazitic"
"ahfat","abrazo"
"ahı","abrazos"
"ahım","abreact"
"ahır","abreacted"
"ahıra","abreacting"
"ahırdan","abreaction"
"ahırlama","abreactions"
"ahırlamak","abreacts"
"ahıska","abreast"
"ahi","abreed"
"ahibba","abrege"
"ahid","abreid"
"ahilik","abrenounce"
"ahir","abrenunciate"
"ahiren","abrenunciation"
"ahiretlik","abreption"
"ahiret","abret"
"ahit","abreuvoir"
"ahitleşme","abri"
"ahitleşmek","abrico"
"ahitname","abricock"
"ahiz","abricot"
"ahize","abridgable"
"ahkam","abridge"
"ahlaf","abridgeable"
"ahlak","abridged"
"ahlakça","abridgedly"
"ahlakçı","abridgement"
"ahlakçılık","abridgements"
"ahlaken","abridger"
"ahlakı","abridgers"
"ahlakıbozulmak","abridges"
"ahlakıyat","abridging"
"ahlaki","abridgment"
"ahlaklı","abridgments"
"ahlaklılık","abrim"
"ahlaksız","abrin"
"ahlaksızlık","abrine"
"ahlama","abris"
"ahlamak","abristle"
"ahmak","abroach"
"ahmakça","abroad"
"ahmakıslatan","Abrocoma"
"ahmaklaşma","abrocome"
"ahmaklaşmak","abrogable"
"ahmaklaştırma","abrogate"
"ahmaklaştırmak","abrogated"
"ahmaklık","abrogates"
"ahmallık","abrogating"
"ahmet","abrogation"
"ahraz","abrogations"
"ahret","abrogative"
"ahreti","abrogator"
"ahretini","abrogators"
"ahretlik","Abroma"
"ahşa","Abroms"
"ahşap","Abronia"
"ahtapot","abrood"
"ahu","abrook"
"ahududu","abrosia"
"ahuvah","abrosias"
"ahuzar","abrotanum"
"ahval","abrotin"
"ahzan","abrotine"
"ahzetme","abrupt"
"ahzetmek","abruptedly"
"ahzüita","abrupter"
"ahzükabz","abruptest"
"aidat","abruptio"
"aidiyet","abruption"
"ailat","abruptiones"
"aile","abruptly"
"ailece","abruptness"
"ailecek","Abrus"
"aileden","Abruzzi"
"aileler","ABS"
"ailelere","abs-"
"ailelik","Absa"
"ailesiz","Absalom"
"ailevi","absampere"
"aişe","Absaraka"
"ait","Absaroka"
"aitlik","Absarokee"
"ajan","absarokite"
"ajanda","ABSBH"
"ajanlık","abscam"
"ajans","abscess"
"ajitasyon","abscessed"
"ajitatör","abscesses"
"ajite","abscessing"
"ajur","abscession"
"ajurlu","abscessroot"
"aka","abscind"
"akaba","abscise"
"akabe","abscised"
"akabinde","abscises"
"akaç","abscisin"
"akaçlama","abscising"
"akaçlamak","abscisins"
"akaçlatma","abscision"
"akaçlatmak","absciss"
"akademi","abscissa"
"akademici","abscissae"
"akademicilik","abscissas"
"akademik","abscissa's"
"akademisyen","abscisse"
"akağa","abscissin"
"ak","abscission"
"akağaç","abscissions"
"akait","absconce"
"akaju","abscond"
"akak","absconded"
"akala","abscondedly"
"akalan","abscondence"
"akalliyet","absconder"
"akam","absconders"
"akamber","absconding"
"akamet","absconds"
"akamete","absconsa"
"akan","abscoulomb"
"akanyıldız","abscound"
"akar","Absecon"
"akarap","absee"
"akarca","absey"
"akaret","abseil"
"akarlar","abseiled"
"akarsu","abseiling"
"akaryakıt","abseils"
"akasma","absence"
"akasya","absences"
"akata","absence's"
"akbaba","absent"
"akbacı","absentation"
"akbakla","absented"
"akbala","absentee"
"akbalık","absenteeism"
"akbalıkçıl","absentees"
"akbasma","absentee's"
"akbaş","absenteeship"
"akbaşlı","absenter"
"akbay","absenters"
"akbergü","absentia"
"akbuğday","absenting"
"akbuğra","absently"
"akburçak","absentment"
"akciğer","absentminded"
"akciğerin","absent-minded"
"akciğerli","absentmindedly"
"akciğerliler","absent-mindedly"
"akça","absentmindedness"
