"Gujarati","English"
"આર્કાઇવ","Abbott"
"આર્કિટેક્ટ","Abbottson"
"આર્થિક","Abbottstown"
"આલિંગન","Abboud"
"આલ્ફા","abbozzo"
"આલ્બમ","ABBR"
"આવક","abbrev"
"આવજો","abbreviatable"
"આવતા","abbreviate"
"આવતીકાલે","abbreviated"
"આવરણ","abbreviately"
"આવર્તન","abbreviates"
"આવવું","abbreviating"
"આવશ્યક","abbreviation"
"આવશ્યકતા","abbreviations"
"આવાસ","abbreviator"
"આવૃત્તિ","abbreviatory"
"આવો","abbreviators"
"આશરે","abbreviature"
"આશા","abbroachment"
"આશાવાદી","ABC"
"આશાસ્પદ","abcess"
"આશીર્વાદ","abcissa"
"આશ્ચર્ય","abcoulomb"
"આશ્ચર્યજનક","ABCs"
"આશ્રય","abd"
"આશ્રિત","abdal"
"આસપાસ","abdali"
"આસપાસના","abdaria"
"આસ્તિક","abdat"
"આહ","Abdel"
"આહાર","Abd-el-Kadir"
"આળસુ","Abd-el-Krim"
"ઇંચ","Abdella"
"ઇંડા","Abderhalden"
"ઇકોસિસ્ટમ","Abderian"
"ઇક્વિટી","Abderite"
"ઇચ્છા","Abderus"
"ઇજનેર","abdest"
"ઇજા","Abdias"
"ઇઝરાયેલ","abdicable"
"ઇટાલિયન","abdicant"
"ઇતિહાસ","abdicate"
"ઇતિહાસકાર","abdicated"
"ઇનકાર","abdicates"
"ઇનપુટ","abdicating"
"ઇનામ","abdication"
"ઇન્ટરનેટ","abdications"
"ઇન્ટરવ્યુ","abdicative"
"ઇન્વેન્ટરી","abdicator"
"ઇમિગ્રન્ટ","Abdiel"
"ઇમિગ્રેશન","abditive"
"ઇમેઇલ","abditory"
"ઇરાકી","abdom"
"ઇરાદાપૂર્વક","abdomen"
"ઇરાદો","abdomens"
"ઇલેક્ટ્રિક","abdomen's"
"ઇલેક્ટ્રોનિક","abdomina"
"ઇસ્લામ","abdominal"
"ઇસ્લામિક","Abdominales"
"ઈંટ","abdominalia"
"ઈચ્છા","abdominalian"
"ઈચ્છુક","abdominally"
"ઈજા","abdominals"
"ઈન્ટરફેસ","abdominoanterior"
"ઈન્ફ્રાસ્ટ્રક્ચર","abdominocardiac"
"ઈ-મેલ","abdominocentesis"
"ઈરાદો","abdominocystic"
"ઈરાની","abdominogenital"
"ઈર્ષ્યા","abdominohysterectomy"
"ઈશારો","abdominohysterotomy"
"ઉંદર","abdominoposterior"
"ઉંમર","abdominoscope"
"ઉકાળો","abdominoscopy"
"ઉકેલ","abdominothoracic"
"ઉઘાડી","abdominous"
"ઉઘાડું","abdomino-uterotomy"
"ઉચ્ચ","abdominovaginal"
"ઉચ્ચાર","abdominovesical"
"ઉજવણી","Abdon"
"ઉડી","Abdu"
"ઉતરવું","abduce"
"ઉતરાણ","abduced"
"ઉતાવળ","abducens"
"ઉત્ક્રાંતિ","abducent"
"ઉત્તમ","abducentes"
"ઉત્તર","abduces"
"ઉત્તરપૂર્વ","abducing"
"ઉત્તરીય","abduct"
"ઉત્તેજક","abducted"
"ઉત્તેજના","abducting"
"ઉત્તેજિત","abduction"
"ઉત્પાદક","abductions"
"ઉત્પાદકતા","abduction's"
"ઉત્પાદન","abductor"
"ઉત્સર્જન","abductores"
"ઉત્સાહ","abductors"
"ઉત્સાહિત","abductor's"
"ઉદઘાટન","abducts"
"ઉદાર","Abdul"
"ઉદાસ","Abdul-Aziz"
"ઉદાસી","Abdul-baha"
"ઉદાહરણ","Abdulla"
"ઉદ્દેશ","Abe"
"ઉદ્દેશ્ય","a-be"
"ઉદ્યોગ","abeam"
"ઉદ્યોગસાહસિક","abear"
"ઉધાર","abearance"
"ઉનાળો","Abebi"
"ઉપકરણ","abecedaire"
"ઉપગ્રહ","abecedary"
"ઉપચાર","abecedaria"
"ઉપજ","abecedarian"
"ઉપદેશ","abecedarians"
"ઉપનગર","abecedaries"
"ઉપનગરીય","abecedarium"
"ઉપભોક્તા","abecedarius"
"ઉપયોગ","abed"
"ઉપયોગિતા","abede"
"ઉપયોગી","abedge"
"ઉપર","Abednego"
"ઉપરાંત","abegge"
"ઉપલબ્ધ","Abey"
"ઉપલબ્ધતા","abeyance"
"ઉપલા","abeyances"
"ઉપાય","abeyancy"
"ઉભરતા","abeyancies"
"ઉમેદવાર","abeyant"
"ઉમેરો","abeigh"
"ઉમેર્યું","ABEL"
"ઉલ્લંઘન","Abelard"
"ઉલ્લેખ","abele"
"ઉષ્ણકટિબંધીય","abeles"
"ઉહ","Abelia"
"ઉહ-હહ","Abelian"
"ઊંઘ","Abelicea"
"ઊંચાઈ","Abelite"
"ઊંચું","Abell"
"ઊંડા","Abelmoschus"
"ઊંડાઈ","abelmosk"
"ઊંડાણપૂર્વક","abelmosks"
"ઊગવું","abelmusk"
"ઊર્જા","Abelonian"
"ઋણી","Abelson"
"એક","abeltree"
"એકંદરે","Abencerrages"
"એકતા","abend"
"એકદમ","abends"
"એકમ","Abenezra"
"એકમાત્ર","abenteric"
"એકર","Abeokuta"
"એકલા","abepithymia"
"એકલુ","ABEPP"
"એકવાર","Abercromby"
"એકસાથે","Abercrombie"
"એકાઉન્ટ","Aberdare"
"એકાગ્રતા","aberdavine"
"એકી","Aberdeen"
"એકીકરણ","Aberdeenshire"
"એકીકૃત","aberdevine"
"એક્ઝિક્યુટિવ","Aberdonian"
"એજન્ટ","aberduvine"
"એજન્સી","Aberfan"
"એથલેટિક","Aberglaube"
"એન્કર","Aberia"
"એન્જિન","Aberystwyth"
"એન્જિનિયરિંગ","Abernant"
"એન્ટરપ્રાઇઝ","Abernathy"
"એન્ટિટી","abernethy"
"એન્ડ્રોઇડ","Abernon"
"એપાર્ટમેન્ટ","aberr"
"એપિસોડ","aberrance"
"એપ્રિલ","aberrancy"
"એપ્લિકેશન","aberrancies"
"એરપોર્ટ","aberrant"
"એરલાઇન","aberrantly"
"એરે","aberrants"
"એલાર્મ","aberrate"
"એલિયન","aberrated"
"એલિવેટર","aberrating"
"એશિયન","aberration"
"એસેમ્બલી","aberrational"
"એસ્ટેટ","aberrations"
"ઐતિહાસિક","aberrative"
"ઓક","aberrator"
"ઓક્ટોબર","aberrometer"
"ઓગસ્ટ","aberroscope"
"ઓગળવું","Abert"
"ઓછા","aberuncate"
"ઓછું","aberuncator"
"ઓટો","abesse"
"ઓનલાઇન","abessive"
"ઓપરેટર","abet"
"ઓપેરા","abetment"
"ઓફર","abetments"
"ઓફિસ","abets"
"ઓરડો","abettal"
"ઓરિએન્ટેશન","abettals"
"ઓર્ડર","abetted"
"ઓલિમ્પિક","abetter"
"ઓલિમ્પિક્સ","abetters"
"ઓલિવ","abetting"
"ઓશીકું","abettor"
"ઓહ","abettors"
"ઓળખ","Abeu"
"ઓળખવા","abevacuation"
"ઓળખો","abfarad"
"ઔંસ","abfarads"
"ઔદ્યોગિક","ABFM"
"ઔપચારિક","Abgatha"
"ઔષધિ","ABHC"
"કંઈક","abhenry"
"કંઈપણ","abhenries"
"કંટાળાજનક","abhenrys"
"કંપની","abhinaya"
"કંપોઝ","abhiseka"
"કચરો","abhominable"
"કચુંબર","abhor"
"કટારલેખક","abhorred"
"કટોકટી","abhorrence"
"કઠણ","abhorrences"
"કઠિન","abhorrency"
"કઠોર","abhorrent"
"કઠોળ","abhorrently"
"કડક","abhorrer"
"કડવું","abhorrers"
"કણ","abhorrible"
"કણક","abhorring"
"કથા","abhors"
"કદ","Abhorson"
"કદર","ABI"
"કદાચ","aby"
"કન્ટેનર","Abia"
"કન્યા","Abiathar"
"કપ","Abib"
"કપડાં","abichite"
"કપાસ","abidal"
"કપાળ","abidance"
"કબજો","abidances"
"કબર","abidden"
"કબાટ","abide"
"કબૂલ","abided"
"કબ્જો","abider"
"કમનસીબ","abiders"
"કમનસીબે","abides"
"કમાઓ","abidi"
"કમાણી","abiding"
"કમાન્ડર","abidingly"
"કમિશન","abidingness"
"કમિશનર","Abidjan"
"કમ્પ્યુટર","Abydos"
"કર","Abie"
"કરતાં","abye"
"કરદાતા","abied"
"કરવું","abyed"
"કરશે","abiegh"
"કરાર","abience"
"કરિયાણા","abient"
"કરુણા","Abies"
"કરેક્શન","abyes"
"કર્નલ","abietate"
"કર્મચારી","abietene"
"કર્મચારીઓ","abietic"
"કલમ","abietin"
"કલા","Abietineae"
"કલાક","abietineous"
"કલાકાર","abietinic"
"કલાત્મક","abietite"
"કલેક્ટર","Abiezer"
"કલ્પના","Abigael"
"કલ્યાણ","Abigail"
"કવરેજ","abigails"
"કવાયત","abigailship"
"કવિ","Abigale"
"કવિતા","abigeat"
"કશું","abigei"
"કસરત","abigeus"
"કસ્ટડીમાં","Abihu"
"કસ્ટમ","abying"
"કહો","Abijah"
"કાંટો","Abyla"
"કાંડા","abilao"
"કાઉન્ટર","Abilene"
"કાઉન્ટી","abiliment"
"કાઉન્સિલ","Abilyne"
"કાઉબોય","abilitable"
"કાકા","ability"
"કાકી","abilities"
"કાગળ","ability's"
"કાચ","abilla"
"કાચબો","abilo"
"કાચું","abime"
"કાદવ","Abimelech"
"કાન","Abineri"
"કાનૂન","Abingdon"
"કાપડ","Abinger"
"કાપલી","Abington"
"કાપવું","Abinoam"
"કાફલો","Abinoem"
"કાફે","abintestate"
"કાબુ","abiogeneses"
"કામ","abiogenesis"
"કામગીરી","abiogenesist"
"કામચલાઉ","abiogenetic"
"કાયદાકીય","abiogenetical"
"કાયદેસર","abiogenetically"
"કાયદો","abiogeny"
"કાયમ","abiogenist"
"કાયમી","abiogenous"
"કાર","abiology"
"કારકિર્દી","abiological"
"કારકુન","abiologically"
"કારખાનું","abioses"
"કારણ","abiosis"
"કાર્ટ","abiotic"
"કાર્ટૂન","abiotical"
"કાર્ડ","abiotically"
"કાર્પેટ","abiotrophy"
"કાર્બન","abiotrophic"
"કાર્બનિક","Abipon"
"કાર્બોહાઇડ્રેટ","Abiquiu"
"કાર્ય","abir"
"કાર્યકર","abirritant"
"કાર્યક્રમ","abirritate"
"કાર્યક્ષમ","abirritated"
"કાર્યક્ષમતા","abirritating"
"કાર્યવાહી","abirritation"
"કાર્યસૂચિ","abirritative"
"કાર્યસ્થળ","abys"
"કાર્યાત્મક","Abisag"
"કાલ્પનિક","Abisha"
"કાવતરું","Abishag"
"કાસ્ટ","Abisia"
"કાળજી","abysm"
"કાળજીપૂર્વક","abysmal"
"કાળો","abysmally"
"કિંમત","abysms"
"કિંમતી","Abyss"
"કિટ","abyssa"
"કિનારો","abyssal"
"કિરણ","abysses"
"કિલ્લો","Abyssinia"
"કિશોર","Abyssinian"
"કીબોર્ડ","abyssinians"
"કીર્તિ","abyssobenthonic"
"કુંદો","abyssolith"
"કુચ","abyssopelagic"
"કુટુંબ","abyss's"
"કુદરતી","abyssus"
"કુલ","abiston"
"કુશળતા","abit"
"કૂકી","Abitibi"
"કૂતરી","Abiu"
"કૂતરો","abiuret"
"કૂદકો","Abixah"
"કૂદી","abject"
"કૃત્રિમ","abjectedness"
"કૃષિ","abjection"
"કૅલેન્ડર","abjections"
"કે","abjective"
"કેક","abjectly"
"કેઝ્યુઅલ","abjectness"
"કેટલાક","abjectnesses"
"કેથોલિક","abjoint"
"કેદી","abjudge"
"કેનવાસ","abjudged"
"કેનેડિયન","abjudging"
"કેન્ડી","abjudicate"
"કેન્દ્ર","abjudicated"
"કેન્દ્રીય","abjudicating"
"કેન્સર","abjudication"
"કેપ્ચર","abjudicator"
"કેપ્ટન","abjugate"
"કેબ","abjunct"
"કેબલ","abjunction"
"કેબિન","abjunctive"
"કેબિનેટ","abjuration"
"કેમેરા","abjurations"
"કેમ્પસ","abjuratory"
"કેલરી","abjure"
"કેસ","abjured"
"કેસિનો","abjurement"
"કેળા","abjurer"
"કૉપિરાઇટ","abjurers"
"કૉલ","abjures"
"કૉલમ","abjuring"
"કોંક્રિટ","abkar"
"કોંગ્રેસ","abkari"
"કોંગ્રેસમેન","abkary"
"કોંગ્રેસી","Abkhas"
"કોઈ","Abkhasia"
"કોઈપણ","Abkhasian"
"કોચ","Abkhaz"
"કોટ","Abkhazia"
"કોઠાર","Abkhazian"
"કોડ","abl"
"કોણ","abl."
"કોણી","ablach"
"કોતરવું","ablactate"
"કોથળો","ablactated"
"કોન્ટ્રાક્ટર","ablactating"
"કોન્સર્ટ","ablactation"
"કોપ","ablaqueate"
"કોફી","ablare"
"કોમિક","A-blast"
"કોમેડી","ablastemic"
"કોમોડિટી","ablastin"
"કોયડો","ablastous"
"કોર","ablate"
"કોરિયન","ablated"
"કોરીડોર","ablates"
"કોર્ટ","ablating"
"કોર્ટરૂમ","ablation"
"કોર્પોરેટ","ablations"
"કોર્પોરેશન","ablatitious"
"કોર્પ્સ","ablatival"
"કોલર","ablative"
"કોલસો","ablatively"
"કોલેજ","ablatives"
"કોલેસ્ટ્રોલ","ablator"
"કોષ","ablaut"
"કૌભાંડ","ablauts"
"કૌશલ્ય","ablaze"
"ક્યાંક","able"
"ક્યારે","able-bodied"
"ક્યારેક","able-bodiedness"
"ક્યારેય","ableeze"
"ક્રમ","ablegate"
"ક્રાંતિ","ablegates"
"ક્રાંતિકારી","ablegation"
"ક્રિયા","able-minded"
"ક્રિયાપ્રતિક્રિયા","able-mindedness"
"ક્રીમ","ablend"
"ક્રુઝ","ableness"
"ક્રૂ","ablepharia"
"ક્રૂર","ablepharon"
"ક્રેક","ablepharous"
"ક્રેશ","Ablepharus"
"ક્રોનિક","ablepsy"
"ક્રોનિકલ","ablepsia"
"ક્રોલ","ableptical"
"ક્રોસ","ableptically"
"ક્લબ","abler"
"ક્લસ્ટર","ables"
"ક્લાસિક","ablesse"
"ક્લિનિક","ablest"
"ક્લિનિકલ","ablet"
"ક્લિપ","ablewhackets"
"ક્વાર્ટર","ably"
"ક્વાર્ટરબેક","ablings"
"ક્વોન્ટમ","ablins"
"ક્ષણ","ablock"
"ક્ષમતા","abloom"
"ક્ષિતિજ","ablow"
"ક્ષેત્ર","ABLS"
"ખંડ","ablude"
"ખગોળશાસ્ત્રી","abluent"
"ખજાનો","abluents"
"ખડક","ablush"
"ખતરનાક","ablute"
"ખબર","abluted"
"ખભા","ablution"
"ખરાબ","ablutionary"
"ખરીદનાર","ablutions"
"ખરીદી","abluvion"
"ખરીદો","ABM"
"ખરેખર","abmho"
"ખર્ચ","abmhos"
"ખર્ચાળ","abmodality"
"ખસેડો","abmodalities"
"ખાંડ","abn"
"ખાડી","Abnaki"
"ખાડો","Abnakis"
"ખાણ","abnegate"
"ખાતર","abnegated"
"ખાતરી","abnegates"
"ખાતે","abnegating"
"ખાધ","abnegation"
"ખાનગી","abnegations"
"ખામી","abnegative"
"ખાલી","abnegator"
"ખાવું","abnegators"
"ખાસ","Abner"
"ખિસ્સા","abnerval"
"ખીણ","abnet"
"ખીલવું","abneural"
"ખીલી","abnormal"
"ખુરશી","abnormalcy"
"ખુલ્લા","abnormalcies"
"ખુલ્લેઆમ","abnormalise"
"ખુશ","abnormalised"
"ખુશીથી","abnormalising"
"ખૂંટો","abnormalism"
"ખૂણો","abnormalist"
"ખૂની","abnormality"
"ખૂબ","abnormalities"
"ખૂબસૂરત","abnormalize"
"ખેંચો","abnormalized"
"ખેડૂત","abnormalizing"
"ખેતર","abnormally"
"ખેલાડી","abnormalness"
"ખોટા","abnormals"
"ખોટું","abnormity"
"ખોદવું","abnormities"
"ખોપરી","abnormous"
"ખોરાક","abnumerable"
"ખોળો","Abo"
"ખ્યાતિ","aboard"
"ખ્યાલ","aboardage"
"ખ્રિસ્તી","Abobra"
"ગંતવ્ય","abococket"
"ગંદકી","abodah"
"ગંદા","abode"
"ગંધ","aboded"
"ગંભીર","abodement"
"ગંભીરતાથી","abodes"
"ગઇકાલે","abode's"
"ગઠબંધન","abody"
"ગડબડ","aboding"
"ગણતરી","abogado"
"ગણત્રી","abogados"
"ગણિત","abohm"
"ગતિ","abohms"
"ગતિશીલ","aboideau"
"ગતિશીલતા","aboideaus"
"ગધેડો","aboideaux"
"ગભરાટ","aboil"
"ગરદન","aboiteau"
"ગરમ","aboiteaus"
"ગરમી","aboiteaux"
"ગરીબ","abolete"
"ગરીબી","abolish"
"ગરુડ","abolishable"
"ગર્ભધારણ","abolished"
"ગર્ભપાત","abolisher"
"ગર્ભવતી","abolishers"
"ગર્ભાવસ્થા","abolishes"
"ગર્લફ્રેન્ડ","abolishing"
"ગર્વ","abolishment"
"ગલી","abolishments"
"ગવર્નર","abolishment's"
"ગહન","abolition"
"ગળું","abolitionary"
"ગાંજો","abolitionise"
"ગાંઠ","abolitionised"
"ગાઓ","abolitionising"
"ગામ","abolitionism"
"ગાય","abolitionist"
"ગાયક","abolitionists"
"ગાયબ","abolitionize"
"ગાલ","abolitionized"
"ગિટાર","abolitionizing"
"ગિયર","abolitions"
"ગીત","abolla"
"ગીતો","abollae"
"ગીરો","aboma"
"ગુણવત્તા","abomas"
"ગુણોત્તર","abomasa"
"ગુનેગાર","abomasal"
"ગુનો","abomasi"
"ગુપ્ત","abomasum"
"ગુફા","abomasus"
"ગુમાવવું","abomasusi"
"ગુરુત્વાકર્ષણ","A-bomb"
"ગુરુવાર","abominability"
"ગુલાબ","abominable"
"ગુલાબી","abominableness"
"ગુલામ","abominably"
"ગુલામી","abominate"
"ગુસ્સો","abominated"
"ગૂઢ","abominates"
"ગે","abominating"
"ગેરંટી","abomination"
"ગેરકાયદે","abominations"
"ગેરહાજરી","abominator"
"ગેરેજ","abominators"
"ગેલન","abomine"
"ગેલેરી","abondance"
"ગેસ","Abongo"
"ગેસોલિન","abonne"
"ગોઠવણ","abonnement"
"ગોઠવો","aboon"
"ગોપ","aborad"
"ગોપનીયતા","aboral"
"ગોલ્ફ","aborally"
"ગોસ્પેલ","abord"
"ગોળા","Aboriginal"
"ગોળાકાર","aboriginality"
"ગોળી","aboriginally"
"ગૌણ","aboriginals"
"ગૌમાંસ","aboriginary"
"ગૌરવ","Aborigine"
"ગ્રહ","aborigines"
"ગ્રાફ","aborigine's"
"ગ્રાફિક","Abor-miri"
"ગ્રામ","Aborn"
"ગ્રામીણ","aborning"
"ગ્રાહક","a-borning"
"ગ્રીક","aborsement"
"ગ્રીડ","aborsive"
"ગ્રેડ","abort"
"ગ્રેસ","aborted"
"ગ્લોબ","aborter"
"ઘંટડી","aborters"
"ઘઉં","aborticide"
"ઘટક","abortient"
"ઘટના","abortifacient"
"ઘટવું","abortin"
"ઘટાડવા","aborting"
"ઘટાડો","abortion"
"ઘડા","abortional"
"ઘડિયાળ","abortionist"
"ઘણા","abortionists"
"ઘણીવાર","abortions"
"ઘણું","abortion's"
"ઘનતા","abortive"
"ઘનિષ્ઠ","abortively"
"ઘર","abortiveness"
"ઘરગથ્થુ","abortogenic"
"ઘરેલું","aborts"
"ઘસવું","abortus"
"ઘા","abortuses"
"ઘાતકી","abos"
"ઘાસ","abote"
"ઘૂંટણ","Abott"
"ઘેટાં","abouchement"
"ઘોડો","aboudikro"
"ચંદ્ર","abought"
"ચંદ્રક","Aboukir"
"ચકાસો","aboulia"
"ચક્ર","aboulias"
"ચટણી","aboulic"
"ચડિયાતું","abound"
"ચઢવું","abounded"
"ચમકવું","abounder"
"ચમચી","abounding"
"ચમત્કાર","aboundingly"
"ચરબી","abounds"
"ચર્ચ","Abourezk"
"ચર્ચા","about"
"ચલ","about-face"
"ચલણ","about-faced"
"ચલાવો","about-facing"
"ચહેરો","abouts"
"ચળવળ","about-ship"
"ચા","about-shipped"
"ચાંચિયો","about-shipping"
"ચાંદીના","about-sledge"
"ચાબુક","about-turn"
"ચામડું","above"
"ચાર","aboveboard"
"ચાર્જ","above-board"
"ચાર્ટ","above-cited"
"ચાર્ટર","abovedeck"
"ચાલવું","above-found"
"ચાલાકી","above-given"
"ચાલીસ","aboveground"
"ચાલુ","abovementioned"
"ચાવવું","above-mentioned"
"ચાવી","above-named"
"ચાહક","aboveproof"
"ચિંતા","above-quoted"
"ચિંતિત","above-reported"
"ચિકન","aboves"
"ચિકિત્સક","abovesaid"
"ચિત્ર","above-said"
"ચિત્રકાર","abovestairs"
"ચિત્રણ","above-water"
"ચિની","above-written"
"ચિપ","abow"
"ચિહ્ન","abox"
"ચીઝ","Abp"
"ચીસો","ABPC"
"ચુંબન","Abqaiq"
"ચુકવણી","abr"
"ચુકાદો","abr."
"ચુસ્ત","Abra"
"ચૂંટણી","abracadabra"
"ચૂંટણીલક્ષી","abrachia"
"ચૂંટવું","abrachias"
"ચૂકવણી","abradable"
"ચૂકી","abradant"
"ચૂસવું","abradants"
"ચેટ","abrade"
"ચેતના","abraded"
"ચેતવણી","abrader"
"ચેનલ","abraders"
"ચેપ","abrades"
"ચેમ્પિયન","abrading"
