"Yoruba","English"
"arosinu","abdominoposterior"
"arosọ","abdominoscope"
"arrow","abdominoscopy"
"article","abdominothoracic"
"arufin","abdominous"
"aruwo","abdomino-uterotomy"
"asa","abdominovaginal"
"aṣa","abdominovesical"
"aṣalẹ","Abdon"
"aṣálẹ","Abdu"
"aṣamubadọgba","abduce"
"asasala","abduced"
"aṣawari","abducens"
"aṣayan","abducent"
"ase","abducentes"
"aṣẹ","abduces"
"asekale","abducing"
"aṣẹkikọ","abduct"
"aseye","abducted"
"aseyori","abducting"
"asia","abduction"
"Asia","abductions"
"aṣikiri","abduction's"
"asiko","abductor"
"Asin","abductores"
"asiri","abductors"
"asise","abductor's"
"aṣiṣe","abducts"
"asitun","Abdul"
"asiwaju","Abdul-Aziz"
"aṣiwere","Abdul-baha"
"aso","Abdulla"
"asọ","Abe"
"aṣọ","a-be"
"asofin","abeam"
"aṣofin","abear"
"aṣọ-ikele","abearance"
"asoju","Abebi"
"aṣoju","abecedaire"
"asopọ","abecedary"
"àsopọ","abecedaria"
"asọtẹlẹ","abecedarian"
"asọye","abecedarians"
"àsọyé","abecedaries"
"astronomer","abecedarium"
"Ata","abecedarius"
"ataja","abed"
"atako","abede"
"atanpako","abedge"
"ategun","Abednego"
"atẹgun","abegge"
"àtẹgùn","Abey"
"atejade","abeyance"
"atẹle","abeyances"
"atelese","abeyancy"
"ati","abeyancies"
"atijo","abeyant"
"atijọ","abeigh"
"atilẹba","ABEL"
"atilẹyin","Abelard"
"atimole","abele"
"àtinúdá","abeles"
"Àtọgbẹ","Abelia"
"atọka","Abelian"
"atọwọdọwọ","Abelicea"
"atuko","Abelite"
"atunse","Abell"
"atunṣe","Abelmoschus"
"àtúnse","abelmosk"
"Atupa","abelmosks"
"auto","abelmusk"
"awa","Abelonian"
"awada","Abelson"
"awako","abeltree"
"awaoko","Abencerrages"
"Awari","abend"
"awawi","abends"
"awin","Abenezra"
"awo","abenteric"
"awọ","Abeokuta"
"awokose","abepithymia"
"awon","ABEPP"
"awọn","Abercromby"
"awonya","Abercrombie"
"awo-orin","Aberdare"
"aworan","aberdavine"
"awọsanma","Aberdeen"
"awoṣe","Aberdeenshire"
"awotẹlẹ","aberdevine"
"awqn","Aberdonian"
"awujo","aberduvine"
"ayaba","Aberfan"
"ayabo","Aberglaube"
"ayafi","Aberia"
"ayanfẹ","Aberystwyth"
"ayanmọ","Abernant"
"aye","Abernathy"
"ayelujara","abernethy"
"ayeraye","Abernon"
"ayewo","aberr"
"ayẹwo","aberrance"
"ayeye","aberrancy"
"ayidayida","aberrancies"
"ayika","aberrant"
"ayo","aberrantly"
"ayọ","aberrants"
"ayokele","aberrate"
"ba","aberrated"
"baba","aberrating"
"bajẹ","aberration"
"bakan","aberrational"
"bakanna","aberrations"
"bãlẹ","aberrative"
"balogun","aberrator"
"baluwe","aberrometer"
"bang","aberroscope"
"banki","Abert"
"banuje","aberuncate"
"baraku","aberuncator"
"baramu","abesse"
"baseball","abessive"
"bata","abet"
"batiri","abetment"
"Bawo","abetments"
"bay","abets"
"bayi","abettal"
"be","abettals"
"bẹ","abetted"
"bean","abetter"
"bẹbẹ","abetters"
"beeni","abetting"
"beere","abettor"
"Beere","abettors"
"beki","Abeu"
"bẹni","abevacuation"
"berè","abfarad"
"bẹrẹ","abfarads"
"bẹru","ABFM"
"besi","Abgatha"
"besikale","ABHC"
"bẹwẹ","abhenry"
"bi","abhenries"
"bia","abhenrys"
"bibajẹ","abhinaya"
"bibẹ","abhiseka"
"Bibeli","abhominable"
"bíbí","abhor"
"bii","abhorred"
"biinu","abhorrence"
"bilionu","abhorrences"
"bìlísì","abhorrency"
"bimo","abhorrent"
"binrin","abhorrently"
"binu","abhorrer"
"Biotilejepe","abhorrers"
"bishi","abhorrible"
"Bishop","abhorring"
"Bleed","abhors"
"bọ","Abhorson"
"boga","ABI"
"bojumu","aby"
"bombu","Abia"
"bori","Abiathar"
"boṣewa","Abib"
"bosipo","abichite"
"Bọsipọ","abidal"
"bota","abidance"
"bọtini","abidances"
"boya","abidden"
"Boya","abide"
"brand","abided"
"brown","abider"
"buburu","abiders"
"bugbamu","abides"
"bulọọgi","abidi"
"buluu","abiding"
"bura","abidingly"
"burujai","abidingness"
"buruju","Abidjan"
"bye","Abydos"
"candle","Abie"
"capeti","abye"
"carbohydrate","abied"
"carve","abyed"
"Catholic","abiegh"
"cd","abience"
"chart","abient"
"Chase","Abies"
"chef","abyes"
"chocolate","abietate"
"Chronicle","abietene"
"chuckle","abietic"
"chunk","abietin"
"commonly","Abietineae"
"Congressman","abietineous"
"considering","abietinic"
"continent","abietite"
"counterpart","Abiezer"
"criticize","Abigael"
"cute","Abigail"
"da","abigails"
"dá","abigailship"
"daada","Abigale"
"daakọ","abigeat"
"dààmú","abigei"
"daba","abigeus"
"dabaa","Abihu"
"dabaru","abying"
"dabi","Abijah"
"dabobo","Abyla"
"dada","abilao"
"dagba","Abilene"
"daju","abiliment"
"dajudaju","Abilyne"
"dan","abilitable"
"dandan","ability"
"dani","abilities"
"dapo","ability's"
"dapọ","abilla"
"dara","abilo"
"daradara","abime"
"darale","Abimelech"
"darapọ","Abineri"
"darí","Abingdon"
"dárí","Abinger"
"darukọ","Abington"
"data","Abinoam"
"database","Abinoem"
"dayato","abintestate"
"de","abiogeneses"
"dè","abiogenesis"
"dede","abiogenesist"
"dédé","abiogenetic"
"deede","abiogenetical"
"deedee","abiogenetically"
"dekini","abiogeny"
"dẹkun","abiogenist"
"dẹrọ","abiogenous"
"deruba","abiology"
"desaati","abiological"
"desperate","abiologically"
"developer","abioses"
"di","abiosis"
"dì","abiotic"
"dialogue","abiotical"
"diary","abiotically"
"dibọn","abiotrophy"
"didara","abiotrophic"
"didasilẹ","Abipon"
"dide","Abiquiu"
"dídùn","abir"
"diẹ","abirritant"
"die-die","abirritate"
"diėdiė","abirritated"
"digi","abirritating"
"dije","abirritation"
"dimu","abirritative"
"din","abys"
"dín","Abisag"
"dinku","Abisha"
"dipo","Abishag"
"Dipo","Abisia"
"dípò","abysm"
"discipline","abysmal"
"disk","abysmally"
"distract","abysms"
"dna","Abyss"
"doc","abyssa"
"dogba","abyssal"
"dọgbadọgba","abysses"
"dokita","Abyssinia"
"dola","Abyssinian"
"domain","abyssinians"
"dopin","abyssobenthonic"
"download","abyssolith"
"dragoni","abyssopelagic"
"drown","abyss's"
"du","abyssus"
"dubulẹ","abiston"
"dudu","abit"
"dukia","Abitibi"
"dun","Abiu"
"dùn","abiuret"
"duna","Abixah"
"dupe","abject"
"duro","abjectedness"
"Duro","abjection"
"duroa","abjections"
"Dutch","abjective"
"ebe","abjectly"
"ẹbẹ","abjectness"
"ebi","abjectnesses"
"ẹbi","abjoint"
"ebo","abjudge"
"ẹbọ","abjudged"
"ebun","abjudging"
"ẹbun","abjudicate"
"eda","abjudicated"
"ẹda","abjudicating"
"ede","abjudication"
"edidi","abjudicator"
"ẹdọ","abjugate"
"ẹdọfóró","abjunct"
"ẹdọfu","abjunction"
"Eedi","abjunctive"
"eedu","abjuration"
"eefin","abjurations"
"eemọ","abjuratory"
"eeru","abjure"
"eerun","abjured"
"eewu","abjurement"
"efe","abjurer"
"ẹfin","abjurers"
"egan","abjures"
"egbe","abjuring"
"ẹgbẹ","abkar"
"ẹgbẹrun","abkari"
"egbin","abkary"
"ẹgbin","Abkhas"
"egbo","Abkhasia"
"egbogi","Abkhasian"
"egbon","Abkhaz"
"ego","Abkhazia"
"egungun","Abkhazian"
"eh","abl"
"eh-ah","abl."
"ehin","ablach"
"ehinkunle","ablactate"
"Ehoro","ablactated"
"eiyan","ablactating"
"ẹja","ablactation"
"ẹjẹ","ablaqueate"
"ejika","ablare"
"ejo","A-blast"
"ẹjọ","ablastemic"
"eka","ablastin"
"ẹka","ablastous"
"ekan","ablate"
"ekaro","ablated"
"eke","ablates"
"Eke","ablating"
"eko","ablation"
"ẹkọ","ablations"
"eku","ablatitious"
"ekun","ablatival"
"ẹkùn","ablative"
"ekunwo","ablatively"
"ekuru","ablatives"
"ẹlẹbi","ablator"
"Eleda","ablaut"
"elede","ablauts"
"ẹlẹdẹ","ablaze"
"elegbe","able"
"ẹlẹgbẹ","able-bodied"
"elege","able-bodiedness"
"elekeji","ableeze"
"elere","ablegate"
"ẹlẹri","ablegates"
"ẹlẹrọ","ablegation"
"ẹlẹsin","able-minded"
"eleso","able-mindedness"
"ẹlẹwà","ablend"
"ẹlẹyamẹya","ableness"
"emi","ablepharia"
"engine","ablepharon"
"eni","ablepharous"
"ẹnikan","Ablepharus"
"enikeni","ablepsy"
"ẹnikẹni","ablepsia"
"ẹnipe","ableptical"
"eniyan","ableptically"
"enu","abler"
"ẹnu","ables"
"epa","ablesse"
"epo","ablest"
"Equip","ablet"
"Eran","ablewhackets"
"ẹran","ably"
"eranko","ablings"
"ẹranko","ablins"
"ere","ablock"
"Ere","abloom"
"eré","ablow"
"ère","ABLS"
"èrè","ablude"
"ẹrẹkẹ","abluent"
"erekusu","abluents"
"eri","ablush"
"ẹri","ablute"
"ẹrí","abluted"
"erin","ablution"
"ẹrin","ablutionary"
"ẹrín","ablutions"
"ero","abluvion"
"ẹrọ","ABM"
"erogba","abmho"
"eroja","abmhos"
"eru","abmodality"
"ẹru","abmodalities"
"ẹrú","abn"
"ẹrù","Abnaki"
"ërún","Abnakis"
"esan","abnegate"
"ese","abnegated"
"ẹsẹ","abnegates"
"ẹṣẹ","abnegating"
"esee","abnegation"
"esi","abnegations"
"esin","abnegative"
"ẹṣin","abnegator"
"esiperimenta","abnegators"
"eso","Abner"
"esufulawa","abnerval"
"ẹsun","abnet"
"ẹsùn","abneural"
"et","abnormal"
"ete","abnormalcy"
"ète","abnormalcies"
"ethics","abnormalise"
"eti","abnormalised"
"etikun","abnormalising"
"eto","abnormalism"
"ètò","abnormalist"
"ẹtọ","abnormality"
"ẹwa","abnormalities"
"ewadun","abnormalize"
"ewe","abnormalized"
"Ewebe","abnormalizing"
"eweko","abnormally"
"Ewi","abnormalness"
"ewon","abnormals"
"ewu","abnormity"
"ewure","abnormities"
"ewurẹ","abnormous"
"extraordinary","abnumerable"
"eya","Abo"
"ẹya","aboard"
"ẹyà","aboardage"
"ẹya-ara","Abobra"
"eye","abococket"
"eyebrow","abodah"
"eyi","abode"
"eyikeyi","aboded"
"ẹyin","abodement"
"ẹyọkan","abodes"
"fa","abode's"
"Fa","abody"
"faagun","aboding"
"faaji","abogado"
"fadaka","abogados"
"fafa","abohm"
"fagilee","abohms"
"faili","aboideau"
"famọra","aboideaus"
"fanfa","aboideaux"
"fanimọra","aboil"
"Fanpaya","aboiteau"
"farabalẹ","aboiteaus"
"farada","aboiteaux"
"faragba","abolete"
"farahan","abolish"
"faramọ","abolishable"
"Faranse","abolished"
"farapa","abolisher"
"farasin","abolishers"
"fe","abolishes"
"fẹ","abolishing"
"fẹlẹ","abolishment"
"fẹnuko","abolishments"
"fẹran","abolishment's"
"fere","abolition"
"ferese","abolitionary"
"fesi","abolitionise"
"feyinti","abolitionised"
"fẹyìntì","abolitionising"
"fi","abolitionism"
"Fi","abolitionist"
"fidio","abolitionists"
"fifa","abolitionize"
"fifehan","abolitionized"
"fifipamọ","abolitionizing"
"fifo","abolitions"
"fifọ","abolla"
"fifunni","abollae"
"fifuye","aboma"
"figagbaga","abomas"
"fiimu","abomasa"
"fikun","abomasal"
"fila","abomasi"
"filasi","abomasum"
"finifini","abomasus"
"fiofinsi","abomasusi"
"fipamọ","A-bomb"
"firanṣẹ","abominability"
"fireemu","abominable"
"fiseete","abominableness"
"fisiksi","abominably"
"fo","abominate"
"fọ","abominated"
"foju","abominates"
"fojuhan","abominating"
"fojuinu","abomination"
"fojusi","abominations"
"fokabulari","abominator"
"fokansi","abominators"
"fokii","abomine"
"foo","abondance"
"fọọmu","Abongo"
"foonu","abonne"
"Fortune","abonnement"
"forukọsilẹ","aboon"
"forum","aborad"
"fosaili","aboral"
"fọtoyiya","aborally"
"fọwọkan","abord"
"fọwọsi","Aboriginal"
"fowosowopo","aboriginality"
"Friday","aboriginally"
"fun","aboriginals"
"funfun","aboriginary"
"funny","Aborigine"
"funrararẹ","aborigines"
"funwon","aborigine's"
"ga","Abor-miri"
"gaasi","Aborn"
"gafara","aborning"
"galaxy","a-borning"
"gallery","aborsement"
"galonu","aborsive"
"gangan","abort"
"garawa","aborted"
"gareji","aborter"
"gba","aborters"
"gbà","aborticide"
"gbadun","abortient"
"gbadura","abortifacient"
"Gbaga","abortin"
"gbagbe","aborting"
"gbagbọ","abortion"
"gbagede","abortional"
"gbajugbaja","abortionist"
"gbajumo","abortionists"
"Gbajumo","abortions"
"gbako.leyin","abortion's"
"gbale","abortive"
"gbamabinu","abortively"
"gbamu","abortiveness"
"gbangba","abortogenic"
"gbarale","aborts"
"gbarare","abortus"
"gbaṣẹ","abortuses"
"gbe","abos"
"gbẹ","abote"
"Gbẹhin","Abott"
"gbeja","abouchement"
"gbejade","aboudikro"
"gbekele","abought"
"gbẹkẹle","Aboukir"
"gbemigbemi","aboulia"
"gbese","aboulias"
"gbesele","aboulic"
"gbigba","abound"
"gbigbasilẹ","abounded"
"gbigbe","abounder"
"gbigbọn","abounding"
"gbimo","aboundingly"
"gbiyanju","abounds"
"gbo","Abourezk"
"gbode","about"
"gbọdọ","about-face"
"gbọgán","about-faced"
"gbogbo","about-facing"
"gbogboogbo","abouts"
"gbojufo","about-ship"
"gbólóhùn","about-shipped"
"gbona","about-shipping"
"gbongbo","about-sledge"
"gbóògì","about-turn"
"gbooro","above"
"gbowolori","aboveboard"
"gboye","above-board"
"ge","above-cited"
"Gẹẹsi","abovedeck"
"getii","above-found"
"gidi","above-given"
"gidigidi","aboveground"
"gíga","abovementioned"
"gige","above-mentioned"
"gigun","above-named"
"gilasi","aboveproof"
"giramu","above-quoted"
"giri","above-reported"
"Giriki","aboves"
"gita","abovesaid"
"Golfu","above-said"
"golifu","abovestairs"
"GOP","above-water"
"grẹy","above-written"
"gross","abow"
"gun","abox"
"gusu","Abp"
"guusu","ABPC"
"Guusu","Abqaiq"
"ha","abr"
"Halloween","abr."
"hallway","Abra"
"han","abracadabra"
"hardware","abrachia"
"hekki","abrachias"
"hey","abradable"
"hi","abradant"
"hip","abradants"
"Hispaniki","abrade"
"HIV","abraded"
"Hoki","abrader"
"homonu","abraders"
"horo","abrades"
"hotẹẹli","abrading"
"huh","Abraham"
"huwa","Abrahamic"
"i","Abrahamidae"
"ibà","Abrahamite"
"ibaje","Abrahamitic"
"ibajọra","Abraham-man"
"ibakan","Abrahams"
"ibakcdun","Abrahamsen"
"ibalẹ","Abrahan"
"ibalokanje","abray"
"ibalopo","abraid"
"ibalopọ","Abram"
"ibamu","Abramis"
"ibanirojọ","Abramo"
"ibanuje","Abrams"
"ibaraenisepo","Abramson"
"ibaraẹnisọrọ","Abran"
"ìbáṣepọ","abranchial"
"ibasọrọ","abranchialism"
"ibatan","abranchian"
"Ibawi","Abranchiata"
"ibebe","abranchiate"
"ibeere","abranchious"
"ìbéèrè","abrasax"
"ibeji","abrase"
"ibere","abrased"
"ibẹrẹ","abraser"
"iberu","abrash"
"ibẹwẹ","abrasing"
"ibewo","abrasiometer"
"ibi","abrasion"
"ibi-afẹde","abrasions"
"ibigbogbo","abrasion's"
"ibikan","abrasive"
"ibile","abrasively"
"ibimọ","abrasiveness"
"ibinu","abrasivenesses"
"ibinujẹ","abrasives"
"ibo","abrastol"
"iboji","abraum"
"ibojì","abraxas"
"iboju","abrazite"
"ibomiiran","abrazitic"
"ibon","abrazo"
"ibọn","abrazos"
"ibora","abreact"
"ibori","abreacted"
"ibowo","abreacting"
"ibọwọ","abreaction"
"ibudo","abreactions"
"ibudó","abreacts"
"ibugbe","abreast"
"ibùgbé","abreed"
"ibujoko","abrege"
"ibukun","abreid"
"ibusun","abrenounce"
"ibuwọlu","abrenunciate"
"icon","abrenunciation"
"ID","abreption"
"ida","abret"
"idà","abreuvoir"
"idaamu","abri"
"idaduro","abrico"
"Idagba","abricock"
"idagbasoke","abricot"
"idahun","abridgable"
"idaji","abridge"
"idajo","abridgeable"
"idajọ","abridged"
"idakẹjẹ","abridgedly"
"idakeji","abridgement"
"idalaba","abridgements"
"ìdálẹ́bi","abridger"
"idalẹjọ","abridgers"
"idamu","abridges"
"idan","abridging"
"idana","abridgment"
"Idanilaraya","abridgments"
"Idanileko","abrim"
"idaniloju","abrin"
"idanimo","abrine"
"idanimọ","abris"
"idankan","abristle"
"idanwo","abroach"
"idaran","abroad"
"idaraya","Abrocoma"
"idari","abrocome"
"idasesile","abrogable"
"idasile","abrogate"
"idasonu","abrogated"
"idẹ","abrogates"
"ìdè","abrogating"
"idena","abrogation"
"ideri","abrogations"
"idẹruba","abrogative"
"iderun","abrogator"
"idi","abrogators"
"idì","Abroma"
"idibo","Abroms"
"idije","Abronia"
"idiju","abrood"
"ìdílé","abrook"
"idilọwọ","abrosia"
"idimu","abrosias"
"idinku","abrotanum"
"Idite","abrotin"
"idiwo","abrotine"
"idiyele","abrupt"
"idogba","abruptedly"
"idogo","abrupter"
"idojukọ","abruptest"
"idojuti","abruptio"
"idoko-owo","abruption"
"idorikodo","abruptiones"
"idoti","abruptly"
"idọti","abruptness"
"idotin","Abrus"
"idu","Abruzzi"
"idunadura","ABS"
"idunnu","abs-"
"idunu","Absa"
"idupẹ","Absalom"
"iduro","absampere"
"Iduro","Absaraka"
"idurosinsin","Absaroka"
"iduroṣinṣin","Absarokee"
"ìdúróṣinṣin","absarokite"
"ifamọ","ABSBH"
"ifamọra","abscam"
"ifarada","abscess"
"ifarahan","abscessed"
"ifaramo","abscesses"
"ifaworanhan","abscessing"
"ifaya","abscession"
"ife","abscessroot"
"ifẹ","abscind"
"ifehinti","abscise"
"ifesi","abscised"
"ifigagbaga","abscises"
"ifihan","abscisin"
"ifijiṣẹ","abscising"
"ìfilọ","abscisins"
"ifilọlẹ","abscision"
"ifipabanilopo","absciss"
"ifipaju","abscissa"
"ifipamọ","abscissae"
"ifiranṣẹ","abscissas"
"ifiṣura","abscissa's"
"ifiweranṣẹ","abscisse"
"ifoju","abscissin"
"ifojusi","abscission"
"ifọkansi","abscissions"
"ifọrọwanilẹnuwo","absconce"
"ifosiwewe","abscond"
"ifọṣọ","absconded"
"ifọwọ","abscondedly"
"ifowosi","abscondence"
"ifowosowopo","absconder"
"ifọwọsowọpọ","absconders"
"ifunni","absconding"
"ifura","absconds"
"iga","absconsa"
"igara","abscoulomb"
"igba","abscound"
"igbadun","Absecon"
"igbagbo","absee"
"igbagbọ","absey"
"igbakeji","abseil"
"igbala","abseiled"
"igbalode","abseiling"
"igbanilaaye","abseils"
"Igbaninimoran","absence"
"igbanu","absences"
"igbaradi","absence's"
"igbasilẹ","absent"
"igbaya","absentation"
"igbega","absented"
"igbehin","absentee"
"igbeja","absenteeism"
"igbejade","absentees"
"igbekale","absentee's"
"igbekalẹ","absenteeship"
"igbekele","absenter"
"igbẹkẹle","absenters"
"igbelaruge","absentia"
"igbelewọn","absenting"
"igbeowosile","absently"
"igberaga","absentment"
"ìgbéraga","absentminded"
"igberiko","absent-minded"
"igbero","absentmindedly"
"igbese","absent-mindedly"
"ìgbésẹ","absentmindedness"
"igbesoke","absent-mindedness"
"igbewọle","absentmindednesses"
"igbeyawo","absentness"
"igbi","absents"
"igbimọ","absfarad"
"igbiyanju","abshenry"
"igbo","Abshier"
"igbogun","Absi"
"igbohunsafefe","absinth"
"igbohunsafẹfẹ","absinthe"
"igbonse","absinthes"
"igbonwo","absinthial"
"igbọran","absinthian"
"igboro","absinthiate"
"igboya","absinthiated"
"ìgboyà","absinthiating"
"igi","absinthic"
"igigirisẹ","absinthiin"
"igo","absinthin"
"igun","absinthine"
"ihamọ","absinthism"
"ihinrere","absinthismic"
"iho","absinthium"
"ihoho","absinthol"
"ija","absinthole"
"ijabọ","absinths"
"ijade","Absyrtus"
"ìjàkadì","absis"
"ijamba","absist"
"Ijamba","absistos"
"ijatil","absit"
"ije","absmho"
