"Kinyarwanda","English"
"angana","abashedness"
"anonymous","abashes"
"anyumya","abashing"
"anyway","abashless"
"APAREYE","abashlessly"
"arab","abashment"
"arabishoboye","abashments"
"ararakara","abasia"
"archive","abasias"
"ariho","abasic"
"ariko","abasing"
"arondera","abasio"
"arrow","abask"
"ashingiyeho","abassi"
"ashinzwe","Abassieh"
"ashishikajwe","Abassin"
"ashishimura","abastard"
"ashyigikira","abastardize"
"ashyushye","abastral"
"aside","abatable"
"asigaye","abatage"
"asshole","Abate"
"Associated","abated"
"atabyemeye","abatement"
"atakaza","abatements"
"atandatu","abater"
"atandukanye","abaters"
"atwite","abates"
"azakira","abatic"
"Babakujeje","abating"
"babe","abatis"
"babinyujije","abatised"
"babiri","abatises"
"babyitabiriye","abatjour"
"badashobora","abatjours"
"bag","abaton"
"bagera","abator"
"bagoreka","abators"
"bahari","ABATS"
"bahengamiye","abattage"
"bahimbawe","abattis"
"baho","abattised"
"bake","abattises"
"bakeneye","abattoir"
"bakuru","abattoirs"
"bamba","abattu"
"bamenyereye","abattue"
"bamurega","Abatua"
"ban","abature"
"band","abaue"
"bang","abave"
"banki","abaxial"
"bar","abaxile"
"baratera","abaze"
"bare","abb"
"barebare","Abba"
"bariyeli","abbacy"
"barwanya","abbacies"
"basaba","abbacomes"
"basanze","Abbadide"
"base","Abbai"
"baseball","abbaye"
"bashatse","abbandono"
"basinziriye","abbas"
"basketball","abbasi"
"bat","Abbasid"
"batanzwe","abbassi"
"batavunze","Abbassid"
"batitaye","Abbasside"
"baturwanya","Abbate"
"batya","abbatial"
"baza","abbatical"
"bazaragwa","abbatie"
"be","Abbe"
"benshi","Abbey"
"bibabaje","abbeys"
"bibaho","abbey's"
"bibi","abbeystead"
"Bibiliya","abbeystede"
"bibiri","abbes"
"bicycle","abbess"
"bidasanzwe","abbesses"
"bidashoboka","abbest"
"bifatika","Abbevilean"
"bigaragara","Abbeville"
"bigaragaza","Abbevillian"
"bigize","Abbi"
"bigoye","Abby"
"bigufi","Abbie"
"bihagije","Abbye"
"bihatira","Abbyville"
"bihenze","abboccato"
"bijijura","abbogada"
"bijyanye","Abbot"
"bikabije","abbotcy"
"bike","abbotcies"
"Bike","abbotnullius"
"bikenewe","abbotric"
"bikomeye","abbots"
"Bikora","abbot's"
"bikorwa","Abbotsen"
"bikurikira","Abbotsford"
"bikurikiranye","abbotship"
"bikwiriye","abbotships"
"bikwiye","Abbotson"
"bimaze","Abbotsun"
"bimwe","Abbott"
"bine","Abbottson"
"binini","Abbottstown"
"binyujijwe","Abboud"
"Binyuze","abbozzo"
"b'inzirakarengane","ABBR"
"birababaje","abbrev"
"biracyaza","abbreviatable"
"biragaragara","abbreviate"
"Biragaragara","abbreviated"
"biragoye","abbreviately"
"Birahambaye","abbreviates"
"Birahishe","abbreviating"
"birambuye","abbreviation"
"Birasa","abbreviations"
"birashimishije","abbreviator"
"birashoboka","abbreviatory"
"Birashoboka","abbreviators"
"biratangaje","abbreviature"
"bireba","abbroachment"
"birebana","ABC"
"Birenga","abcess"
"birenze","abcissa"
"birinda","abcoulomb"
"biro","ABCs"
"biruhije","abd"
"birushiriza","abdal"
"bisa","abdali"
"Bisa","abdaria"
"bisaba","abdat"
"bisabwe","Abdel"
"bisanzuye","Abd-el-Kadir"
"bisanzwe","Abd-el-Krim"
"bishimiye","Abdella"
"bishimwa","Abderhalden"
"bishishikaje","Abderian"
"bishoboka","Abderite"
"bishobora","Abderus"
"bishora","abdest"
"bisi","Abdias"
"bisimbura","abdicable"
"bisobanura","abdicant"
"bisobanutse","abdicate"
"Bisubiseho","abdicated"
"bit","abdicates"
"bita","abdicating"
"bitandukanye","abdication"
"bitangaje","abdications"
"bitanu","abdicative"
"bitatu","abdicator"
"biteganyijwe","Abdiel"
"biteganywa","abditive"
"biteguye","abditory"
"biterwa","abdom"
"bitewe","abdomen"
"bitinze","abdomens"
"Biturutse","abdomen's"
"bitwaje","abdomina"
"bityo","abdominal"
"bivanze","Abdominales"
"bivugwa","abdominalia"
"bivuze","abdominalian"
"bizere","abdominally"
"blog","abdominals"
"blue","abdominoanterior"
"bo","abdominocardiac"
"bombo","abdominocentesis"
"bonsa","abdominocystic"
"bonus","abdominogenital"
"Boom","abdominohysterectomy"
"Borrow","abdominohysterotomy"
"british","abdominoposterior"
"bubiko","abdominoscope"
"buboneka","abdominoscopy"
"buboneye","abdominothoracic"
"buck","abdominous"
"budasanzwe","abdomino-uterotomy"
"Buddy","abdominovaginal"
"bug","abdominovesical"
"bugaragara","Abdon"
"Bugufi","Abdu"
"Buguti","abduce"
"buhanitse","abduced"
"buhanuzi","abducens"
"buhendutse","abducent"
"buhinga","abducentes"
"buhoraho","abduces"
"buhoro","abducing"
"buja","abduct"
"bukabije","abducted"
"bukwi","abducting"
"bullshit","abduction"
"bumira","abductions"
"b'umubiri","abduction's"
"bunch","abductor"
"bunga","abductores"
"bungana","abductors"
"bunoze","abductor's"
"buntu","abducts"
"burambuye","Abdul"
"burambye","Abdul-Aziz"
"Burayi","Abdul-baha"
"burger","Abdulla"
"buri","Abe"
"burigihe","a-be"
"buriri","abeam"
"burundu","abear"
"burushaski","abearance"
"buryarya","Abebi"
"buryo","abecedaire"
"busesuye","abecedary"
"busitani","abecedaria"
"butaka","abecedarian"
"butandukana","abecedarians"
"butandukanye","abecedaries"
"butangaje","abecedarium"
"butayu","abecedarius"
"butaziguye","abed"
"butegetsi","abede"
"butoni","abedge"
"buvumo","Abednego"
"bwagutse","abegge"
"bwana","Abey"
"bwemewe","abeyance"
"Bwendagusa","abeyances"
"bwenge","abeyancy"
"bweruye","abeyancies"
"bw'ibanze","abeyant"
"bwigere","abeigh"
"bwimbitse","ABEL"
"bwira","Abelard"
"bwite","abele"
"bw'izina","abeles"
"bwoko","Abelia"
"bworo","Abelian"
"bworoshye","Abelicea"
"bwose","Abelite"
"bwumutse","Abell"
"bwumvikane","Abelmoschus"
"bw'umwuka","abelmosk"
"by","abelmosks"
"Bya","abelmusk"
"byabaye","Abelonian"
"by'agateganyo","Abelson"
"byahumetswe","abeltree"
"byanditswe","Abencerrages"
"bye","abend"
"byerekeye","abends"
"byibuze","Abenezra"
"by'imari","abenteric"
"byimbitse","Abeokuta"
"byinshi","abepithymia"
"by'inyenyeri","ABEPP"
"byishimo","Abercromby"
"by'iterambere","Abercrombie"
"byiza","Aberdare"
"byombi","aberdavine"
"Byongeye","Aberdeen"
"byoroshye","Aberdeenshire"
"byose","aberdevine"
"by'ubukungu","Aberdonian"
"by'ubwenge","aberduvine"
"by'ukuri","Aberfan"
"byumvikane","Aberglaube"
"by'umwihariko","Aberia"
"byuzuye","Aberystwyth"
"cafe","Abernant"
"c'amavukiro","Abernathy"
"camera","abernethy"
"Canada","Abernon"
"cane","aberr"
"carbohydrate","aberrance"
"castle","aberrancy"
"catabwayo","aberrancies"
"category","aberrant"
"cd","aberrantly"
"ce","aberrants"
"cholesterol","aberrate"
"christmas","aberrated"
"ci","aberrating"
"clip","aberration"
"code","aberrational"
"Cola","aberrations"
"congressional","aberrative"
"congressman","aberrator"
"contact","aberrometer"
"core","aberroscope"
"Coridor","Abert"
"Corps","aberuncate"
"Costimu","aberuncator"
"couple","abesse"
"Coutwari","abessive"
"cover","abet"
"Cowboy","abetment"
"crap","abetments"
"crash","abets"
"creek","abettal"
"cumi","abettals"
"cute","abetted"
"Cyagacyiro","abetter"
"cyane","abetters"
"cyanga","abetting"
"cyangwa","abettor"
"Cyangwa","abettors"
"cyaro","Abeu"
"cyemeje","abevacuation"
"Cyemerewe","abfarad"
"Cyemerwa","abfarads"
"Cyemura","ABFM"
"cyera","Abgatha"
"cyiciro","ABHC"
"cyifuzo","abhenry"
"cy'izabukuru","abhenries"
"Cyizamubuntu","abhenrys"
"cy'ubukoloni","abhinaya"
"Cyugdilo","abhiseka"
"cyumba","abhominable"
"cyumweru","abhor"
"daddy","abhorred"
"Darling","abhorrence"
"dayimoni","abhorrences"
"demokarasi","abhorrency"
"Depite","abhorrent"
"design","abhorrently"
"digital","abhorrer"
"dipolomasi","abhorrers"
"Discover","abhorrible"
"disikuru","abhorring"
"divayi","abhors"
"diyabete","Abhorson"
"dna","ABI"
"doc","aby"
"documentaire","Abia"
"domain","Abiathar"
"dose","Abib"
"Drift","abichite"
"drum","abidal"
"dusangiye","abidance"
"Dutch","abidances"
"EAC","abidden"
"eastern","abide"
"edition","abided"
"ego","abider"
"ejo","abiders"
"Ekini","abides"
"e-mail","abidi"
"emera","abiding"
"Emera","abidingly"
"Emerging","abidingness"
"ending","Abidjan"
"engineering","Abydos"
"english","Abie"
"enjeniyeli","abye"
"enrol","abied"
"enyanjura","abyed"
"episode","abiegh"
"equation","abience"
"Equity","abient"
"estate","Abies"
"et","abyes"
"etc","abietate"
"evolve","abietene"
"expertise","abietic"
"Express","abietin"
"external","Abietineae"
"Extract","abietineous"
"fagitire","abietinic"
"famose","abietite"
"fancy","Abiezer"
"fantastique","Abigael"
"fata","Abigail"
"federasiyo","abigails"
"figure","abigailship"
"filozofiya","Abigale"
"firime","abigeat"
"flash","abigei"
"flip","abigeus"
"flower","Abihu"
"Foster","abying"
"freak","Abijah"
"fresh","Abyla"
"freshman","abilao"
"fuck","Abilene"
"fucking","abiliment"
"fungura","Abilyne"
"Gaa","abilitable"
"gahaze","ability"
"gahunda","abilities"
"gake","ability's"
"gakondo","abilla"
"gallon","abilo"
"garuka","abime"
"Gashyantare","Abimelech"
"gasozi","Abineri"
"gatandatu","Abingdon"
"gatanu","Abinger"
"gatatu","Abington"
"gato","Abinoam"
"gatolika","Abinoem"
"gatuza","abintestate"
"gazi","abiogeneses"
"genda","abiogenesis"
"gene","abiogenesist"
"genetic","abiogenetic"
"Genre","abiogenetical"
"gerageza","abiogenetically"
"Gereranya","abiogeny"
"gereza","abiogenist"
"gice","abiogenous"
"giciriritse","abiology"
"Gicurasi","abiological"
"gihagaze","abiologically"
"gihagije","abioses"
"gihamya","abiosis"
"gihendutse","abiotic"
"gihinika","abiotical"
"gihita","abiotically"
"gihoraho","abiotrophy"
"gihugu","abiotrophic"
"gikari","Abipon"
"gikaze","Abiquiu"
"gikeri","abir"
"gikomeza","abirritant"
"gikundwa","abirritate"
"gipangitse","abirritated"
"gipangu","abirritating"
"gisanzwe","abirritation"
"gishekeje","abirritative"
"gishimishije","abys"
"gishoboka","Abisag"
"gishoboke","Abisha"
"gishobotse","Abishag"
"gishya","Abisia"
"gisirikare","abysm"
"gitaramo","abysmal"
"gitari","abysmally"
"giti","abysms"
"gito","Abyss"
"Gito","abyssa"
"gitombowe","abyssal"
"giturumbuka","abysses"
"gitwicyiriye","Abyssinia"
"goddamn","Abyssinian"
"gop","abyssinians"
"gore","abyssobenthonic"
"gosh","abyssolith"
"grand","abyssopelagic"
"Greek","abyss's"
"guard","abyssus"
"gucapa","abiston"
"Gucebuka","abit"
"guceceka","Abitibi"
"guceka","Abiu"
"Gucila","abiuret"
"Gucira","Abixah"
"gucumbika","abject"
"gucunga","abjectedness"
"gucuruza","abjection"
"Gucya","abjections"
"gucyira","abjective"
"gufasha","abjectly"
"gufata","abjectness"
"Gufata","abjectnesses"
"Gufatama","abjoint"
"gufatanya","abjudge"
"Gufatwa","abjudged"
"Gufota","abjudging"
"gufunga","abjudicate"
"Gufunga","abjudicated"
"gufungura","abjudicating"
"Gufunika","abjudication"
"guha","abjudicator"
"guhaga","abjugate"
"guhagarara","abjunct"
"Guhagarara","abjunction"
"guhagararira","abjunctive"
"guhagarika","abjuration"
"guhakana","abjurations"
"guhakanya","abjuratory"
"guhamagara","abjure"
"guhamba","abjured"
"guhamya","abjurement"
"guhana","abjurer"
"guhanagura","abjurers"
"guhanga","abjures"
"guhangana","abjuring"
"guhangayika","abkar"
"guhanura","abkari"
"guharanira","abkary"
"guhatira","Abkhas"
"guhaza","Abkhasia"
"guhekenya","Abkhasian"
"guherekeze","Abkhaz"
"guhiga","Abkhazia"
"guhiganwa","Abkhazian"
"guhigisha","abl"
"guhimba","abl."
"guhina","ablach"
"Guhinde","ablactate"
"guhinduka","ablactated"
"guhindukira","ablactating"
"guhindura","ablactation"
"guhinga","ablaqueate"
"guhishura","ablare"
"guhishurirwa","A-blast"
"guhita","ablastemic"
"guhitamo","ablastin"
"Guhitamo","ablastous"
"guhobera","ablate"
"guhohoterwa","ablated"
"Guhomba","ablates"
"guhora","ablating"
"guhubuka","ablation"
"guhuha","ablations"
"guhumeka","ablatitious"
"Guhumeka","ablatival"
"guhunga","ablative"
"guhungabanya","ablatively"
"guhura","ablatives"
"guhuza","ablator"
"gukandra","ablaut"
"gukangurira","ablauts"
"gukarisa","ablaze"
"gukata","able"
"Gukata","able-bodied"
"Gukeka","able-bodiedness"
"gukemura","ableeze"
"gukina","ablegate"
"gukinira","ablegates"
"gukira","ablegation"
"gukiza","able-minded"
"gukomanga","able-mindedness"
"gukomera","ablend"
"gukomeza","ableness"
"gukonjesha","ablepharia"
"gukora","ablepharon"
"gukorakora","ablepharous"
"gukorera","Ablepharus"
"gukoresha","ablepsy"
"gukoreshwa","ablepsia"
"gukoroga","ableptical"
"gukosora","ableptically"
"gukubita","abler"
"gukumira","ables"
"gukunda","ablesse"
"gukura","ablest"
"gukuraho","ablet"
"Gukuraho","ablewhackets"
"Gukurikira","ably"
"gukurikirana","ablings"
"gukurura","ablins"
"gukusanya","ablock"
"gukwilakwiza","abloom"
"gukwira","ablow"
"gukwirakwiza","ABLS"
"guma","ablude"
"gumana","abluent"
"guparika","abluents"
"Gupepeze","ablush"
"gupfa","ablute"
"gupika","abluted"
"gupima","ablution"
"gusa","ablutionary"
"gusaba","ablutions"
"gusaka","abluvion"
"gusama","ABM"
"gusana","abmho"
"gusandale","abmhos"
"gusandara","abmodality"
"gusaza","abmodalities"
"guseka","abn"
"Gusererezwa","Abnaki"
"gusesengura","Abnakis"
"gusezerana","abnegate"
"gushaka","abnegated"
"gushakisha","abnegates"
"gushidikanya","abnegating"
"gushigikira","abnegation"
"gushikiriza","abnegations"
"gushikirwa","abnegative"
"gushima","abnegator"
"gushimanjira","abnegators"
"gushimika","Abner"
"gushimira","abnerval"
"gushimisha","abnet"
"Gushinja","abneural"
"gushira","abnormal"
"gushiraho","abnormalcy"
"Gushiraho","abnormalcies"
"gushirano-kashi","abnormalise"
"Gushisha","abnormalised"
"gushishikara","abnormalising"
"Gushishoza","abnormalism"
"Gushoboza","abnormalist"
"gushuha","abnormality"
"gushuka","abnormalities"
"Gushukwa","abnormalize"
"gushushanya","abnormalized"
"gushyingura","abnormalizing"
"gushyira","abnormally"
"gushyiraho","abnormalness"
"gushyishura","abnormals"
"gusiba","abnormity"
"Gusiba","abnormities"
"Gusiga","abnormous"
"gusimbuka","abnumerable"
"gusimbura","Abo"
"gusingira","aboard"
"gusingiza","aboardage"
"gusinzira","Abobra"
"gusobanukirwa","abococket"
"gusobanura","abodah"
"gusohora","abode"
"gusoma","aboded"
"gusomana","abodement"
"gusoza","abodes"
"gusubiramo","abode's"
"gusunika","abody"
"gusura","aboding"
"gusuzuma","abogado"
"guta","abogados"
"gutabara","abohm"
"Gutabara","abohms"
"gutabika","aboideau"
"gutandukana","aboideaus"
"gutandukanya","aboideaux"
"gutanga","aboil"
"gutangaza","aboiteau"
"gutangazwa","aboiteaus"
"gutangira","aboiteaux"
"gutanguza","abolete"
"gutatana","abolish"
"gute","abolishable"
"gutegeka","abolished"
"gutegura","abolisher"
"Gutegura","abolishers"
"Guteguza","abolishes"
"Guteguza-uburyamo","abolishing"
"guteka","abolishment"
"gutekera","abolishments"
"gutekereza","abolishment's"
"gutema","abolition"
"gutemba","abolitionary"
"gutera","abolitionise"
"guteseka","abolitionised"
"guteza","abolitionising"
"gutinda","abolitionism"
"gutinyisha","abolitionist"
"gutinyuka","abolitionists"
"gutira","abolitionize"
"Gutombokera","abolitionized"
"gutondeka","abolitionizing"
"gutongana","abolitions"
"gutonganya","abolla"
"gutora","abollae"
"gutoranya","aboma"
"Gutoza","abomas"
"gutsinda","abomasa"
"gutsindishiriza","abomasal"
"gutsindwa","abomasi"
"gutsya","abomasum"
"gutuma","abomasus"
"Gutumikira","abomasusi"
"gutumira","A-bomb"
"gutunganya","abominability"
"gutungurwa","abominable"
"guturamo","abominableness"
"Guturana","abominably"
"guturika","abominate"
"gutuza","abominated"
"Gutuza","abominates"
"Gutwa","abominating"
"gutwara","abomination"
"gutwika","abominations"
"guverineri","abominator"
"guverinoma","abominators"
"gym","abomine"
"ha","abondance"
"hafi","Abongo"
"hagamijwe","abonne"
"hagarara","abonnement"
"hagati","aboon"
"Hagati","aborad"
"haguruka","aboral"
"hakurya","aborally"
"Halloween","abord"
"hamagara","Aboriginal"
"hamwe","aboriginality"
"Hamwe","aboriginally"
"hano","aboriginals"
"hanyuma","aboriginary"
"hanze","Aborigine"
"harimo","aborigines"
"hasi","aborigine's"
"Hasi","Abor-miri"
"havugwa","Aborn"
"he","aborning"
"heck","a-borning"
"hegitari","aborsement"
"hejuru","aborsive"
"Hejuru","abort"
"-Hejuru","aborted"
"heza","aborter"
"highway","aborters"
"Himba","aborticide"
"hindura","abortient"
"hishimikijwe","abortifacient"
"hit","abortin"
"hitamo","aborting"
"hiyongereyeho","abortion"
"Hmm","abortional"
"hockey","abortionist"
"hongeweko","abortionists"
"hormone","abortions"
"hose","abortion's"
"hoteri","abortive"
"hum","abortively"
"hwaniro","abortiveness"
"Hwejesh'amaso","abortogenic"
"i","aborts"
"ibaba","abortus"
"ibabaza","abortuses"
"ibagirwa","abos"
"ibahasha","abote"
"ibakure","Abott"
"ibanga","abouchement"
"Ibanjirije","aboudikro"
"ibanze","abought"
"ibara","Aboukir"
"ibarabara","aboulia"
"ibaraza","aboulias"
"ibarura","aboulic"
"ibaruramari","abound"
"ibarurishamibare","abounded"
"ibaruwa","abounder"
"ibendera","abounding"
"ibere","aboundingly"
"ibi","abounds"
"ibiboneka","Abourezk"
"ibicuruzwa","about"
"ibidukikije","about-face"
"ibiganiro","about-faced"
"Ibigenderwaho","about-facing"
"ibigori","abouts"
"ibihembo","about-ship"
"ibihingwa","about-shipped"
"Ibihuha","about-shipping"
"Ibijigo","about-sledge"
"Ibikorana","about-turn"
"ibikoresho","above"
"ibikorwa","aboveboard"
"Ibikubiyemo","above-board"
"ibimenyetso","above-cited"
"ibindi","abovedeck"
"Ibinenda","above-found"
"ibinezeza","above-given"
"ibinini","aboveground"
"ibintu","abovementioned"
"ibinure","above-mentioned"
"ibipimo","above-named"
"ibirayi","aboveproof"
"ibirego","above-quoted"
"ibiribwa","above-reported"
"ibiriho","aboves"
"Ibirimbisho","abovesaid"
"ibirimo","above-said"
"ibirindiro","abovestairs"
"ibirori","above-water"
"Ibirungo","above-written"
"ibiryo","abow"
"Ibisa","abox"
"ibisekuruza","Abp"
"ibishingwe","ABPC"
"ibisobanuro","Abqaiq"
"ibisubizo","abr"
"ibitabo","abr."
"ibitambo","Abra"
"Ibitangaza","abracadabra"
"ibitaro","abrachia"
"ibiteganijwe","abrachias"
"ibitekerezo","abradable"
"ibitoki","abradant"
"Ibiyaga","abradants"
"ibiyobyabwenge","abrade"
"ibiza","abraded"
"ibuka","abrader"
"ibumba","abraders"
"ibumoso","abrades"
"iburanisha","abrading"
"iburasirazuba","Abraham"
"iburengerazuba","Abrahamic"
"iburyo","Abrahamidae"
"ibuye","Abrahamite"
"ibyacu","Abrahamitic"
"ibyagezweho","Abraham-man"
"ibyago","Abrahams"
"Ibyago","Abrahamsen"
"ibyamamare","Abrahan"
"Ibyanditswe","abray"
"ibyangiritse","abraid"
"Ibyatanzwe","Abram"
"ibyawe","Abramis"
"ibye","Abramo"
"ibyiringiro","Abrams"
"ibyishimo","Abramson"
"ibyiyumvo","Abran"
"ibyo","abranchial"
"icamwo","abranchialism"
"icapiro","abranchian"
"icara","Abranchiata"
"icizigiro","abranchiate"
"icombo","abranchious"
"icon","abrasax"
"ic'ukuri","abrase"
"icumbi","abrased"
"icumi","abraser"
"Icyabaye","abrash"
"Icyabayeho","abrasing"
"icyaha","abrasiometer"
"Icyaha","abrasion"
"icyamamare","abrasions"
"Icyambaro","abrasion's"
"icyambu","abrasive"
"icyarimwe","abrasively"
"icyatsi","abrasiveness"
"icyayi","abrasivenesses"
"icyemezo","abrasives"
"icyenda","abrastol"
"icyerekezo","abraum"
"icyesipanyoli","abraxas"
"icyicaro","abrazite"
"icyiciro","abrazitic"
"Icyiciro","abrazo"
"icyifuzo","abrazos"
"icyimuri","abreact"
"Icyinjijwe","abreacted"
"icyitegererezo","abreacting"
"icyitonderwa","abreaction"
"Icyiyaga","abreactions"
"icyizere","abreacts"
"icyo","abreast"
"icyongereza","abreed"
"icyubahiro","abrege"
"icyuho","abreid"
"icyuma","abrenounce"
"Icyuma","abrenunciate"
"icyumba","abrenunciation"
"Icyumba","abreption"
"icyumweru","abret"
"idahindagurika","abreuvoir"
"idasanzwe","abri"
"idini","abrico"
"idirishya","abricock"
"idolari","abricot"
"Idosiye","abridgable"
"idubu","abridge"
"iduka","abridgeable"
"ifaranga","abridged"
"Ifaranga","abridgedly"
"ifarasi","abridgement"
"ifeza","abridgements"
"ifishi","abridger"
"ifoto","abridgers"
"ifu","abridges"
"Ifundiko","abridging"
"ifunguro","abridgment"
"Ifuro","abridgments"
"igaragazarikeye","abrim"
"igaraje","abrin"
"Igenamiterere","abrine"
"igenzura","abris"
"igice","abristle"
"igiceri","abroach"
"igiciro","abroad"
"igicu","Abrocoma"
"igicucu","abrocome"
"Igicucu","abrogable"
"Igicuku","abrogate"
"igicurmwe","abrogated"
"igifaransa","abrogates"
"igifuniko","abrogating"
"Igihaha","abrogation"
"igihano","abrogations"
"igihe","abrogative"
"Igihe","abrogator"
"igihembo","abrogators"
"Igihembo","Abroma"
"igihombo","Abroms"
"Igihombo","Abronia"
"igihugu","abrood"
"Igihuha","abrook"
"igihuhusi","abrosia"
"igihumbi","abrosias"
"igika","abrotanum"
"Igikasemu","abrotin"
"igikoko","abrotine"
"igikombe","abrupt"
"igikoni","abruptedly"
"igikoresho","abrupter"
"igikorwa","abruptest"
"Igikorwa","abruptio"
"Igikubo","abruption"
"Igipfunyika","abruptiones"
"igipimo","abruptly"
"Igipimo","abruptness"
"Igipupe","Abrus"
"Igipupi","Abruzzi"
"igisabwa","ABS"
"Igisanzwe","abs-"
"igisasu","Absa"
"igisebe","Absalom"
"igisenge","absampere"
"igishika","Absaraka"
"Igishushani","Absaroka"
"Igishusho","Absarokee"
"Igishyushwanyi","absarokite"
"igisubizo","ABSBH"
"igitabo","abscam"
"igitambaro","abscess"
"igitambo","abscessed"
"Igitanda","abscesses"
"igitangaza","abscessing"
"Igitangaza","abscession"
"igitebo","abscessroot"
"Igitekenezo","abscind"
"igitekerezo","abscise"
"igiteranyo","abscised"
"igitero","abscises"
"igiti","abscisin"
"Igitoki","abscising"
"igitonyanga","abscisins"
"igitsina","abscision"
"igituba","absciss"
"Igitunganye","abscissa"
"igitunguru","abscissae"
"igitutu","abscissas"
"igizwe","abscissa's"
"igomba","abscisse"
"igufwa","abscissin"
"ihagarare","abscission"
"ihagaze","abscissions"
"ihahamuka","absconce"
"ihame","abscond"
"ihangane","absconded"
"ihema","abscondedly"
"ihembe","abscondence"
"ihene","absconder"
"iherezo","absconders"
"iheruka","absconding"
"ihetse","absconds"
"ihinduramiterere","absconsa"
"ihindure","abscoulomb"
"Ihitamo","abscound"
"ihohoterwa","Absecon"
"ihumanya","absee"
"ihumure","absey"
"ihuriro","abseil"
"ihute","abseiled"
"Ihuza","abseiling"
"Ijaketi","abseils"
"ijambo","absence"
"ijana","absences"
"ijisho","absence's"
"ijoro","absent"
"ijosi","absentation"
"ijuru","absented"
"ijwi","absentee"
"ijyanye","absenteeism"
"ikadiri","absentees"
"Ikadiri","absentee's"
"Ikalamu","absenteeship"
"ikamba","absenter"
"ikamyo","absenters"
"ikarita","absentia"
"ikawa","absenting"
"iki","absently"
"ikibabaje","absentment"
"Ikibaho","absentminded"
"ikibanza","absent-minded"
"ikibatsi","absentmindedly"
"ikibazo","absent-mindedly"
"ikibero","absentmindedness"
"ikibi","absent-mindedness"
"ikibindi","absentmindednesses"
"Ikibumbe","absentness"
"ikibuno","absents"
"Ikibyarwa","absfarad"
"Ikigabanywa","abshenry"
"ikiganiro","Abshier"
