"Kazakh","English"
"егжей-тегжейлі","abjuring"
"егіз","abkar"
"егін","abkari"
"ежелгі","abkary"
"екі","Abkhas"
"екінші","Abkhasia"
"екіталай","Abkhasian"
"екпін","Abkhaz"
"ел","Abkhazia"
"елемеу","Abkhazian"
"елес","abl"
"елестету","abl."
"елеулі","ablach"
"еліктіру","ablactate"
"елу","ablactated"
"елші","ablactating"
"елшілік","ablactation"
"емдеу","ablaqueate"
"емен","ablare"
"емес","A-blast"
"емле","ablastemic"
"емтихан","ablastin"
"емхана","ablastous"
"енгізіңіз","ablate"
"енгізу","ablated"
"енді","ablates"
"еңбегі","ablating"
"еңбек","ablation"
"еңіс","ablations"
"епископ","ablatitious"
"ереже","ablatival"
"ерекше","ablative"
"ерекшеленеді","ablatively"
"ерекшелігі","ablatives"
"ерекшелік","ablator"
"ересек","ablaut"
"ереуіл","ablauts"
"ерік","ablaze"
"ерікті","able"
"ерін","able-bodied"
"еркек","able-bodiedness"
"еркін","ableeze"
"ерте","ablegate"
"ертегі","ablegates"
"ертең","ablegation"
"есептегіш","able-minded"
"есептеу","able-mindedness"
"есік","ablend"
"есірткі","ableness"
"ескерткіш","ablepharia"
"ескерту","ablepharon"
"Ескерту","ablepharous"
"ескі","Ablepharus"
"есту","ablepsy"
"ет","ablepsia"
"етік","ableptical"
"еуропалық","ableptically"
"ешкі","abler"
"ешкім","ables"
"ешқашан","ablesse"
"ештеңе","ablest"
"ә","ablet"
"әбден","ablewhackets"
"әдеби","ably"
"әдебиет","ablings"
"әдейі","ablins"
"әдемі","ablock"
"әдепкі","abloom"
"әдет","ablow"
"әдет-ғұрып","ABLS"
"әдетте","ablude"
"әдеттегі","abluent"
"әділ","abluents"
"әділдік","ablush"
"әділетсіз","ablute"
"әдіс","abluted"
"әже","ablution"
"әзіл","ablutionary"
"әзірлеуші","ablutions"
"әзірше","abluvion"
"әйел","ABM"
"әйелі","abmho"
"әйтеуір","abmhos"
"әйтпесе","abmodality"
"әке","abmodalities"
"әкелу","abn"
"әкім","Abnaki"
"әкімші","Abnakis"
"әкімшілік","abnegate"
"әл-ауқат","abnegated"
"әлем","abnegates"
"әлеуметтік","abnegating"
"әлі","abnegation"
"әлсіз","abnegations"
"әлсіздік","abnegative"
"әмбебап","abnegator"
"әмиян","abnegators"
"әнші","Abner"
"әңгіме","abnerval"
"әпке","abnet"
"әрекет","abneural"
"әрең","abnormal"
"әрине","abnormalcy"
"Әрине","abnormalcies"
"әріптес","abnormalise"
"әрқайсысы","abnormalised"
"әрқашан","abnormalising"
"әртіс","abnormalism"
"әртүрлі","abnormalist"
"әртүрлілік","abnormality"
"әсемдік","abnormalities"
"әсер","abnormalize"
"әсері","abnormalized"
"әсерлі","abnormalizing"
"әсіресе","abnormally"
"әскер","abnormalness"
"әскери","abnormals"
"әткеншек","abnormity"
"әуежай","abnormities"
"әулие","abnormous"
"әшкерелеу","abnumerable"
"жабайы","Abo"
"жабдық","aboard"
"жабдықтау","aboardage"
"жабу","Abobra"
"жабық","abococket"
"жаға","abodah"
"жағажай","abode"
"жағалау","aboded"
"жағдай","abodement"
"жағы","abodes"
"жағымды","abode's"
"жағымсыз","abody"
"жады","aboding"
"жаз","abogado"
"жаза","abogados"
"жазалау","abohm"
"жазба","abohms"
"жазу","aboideau"
"жазушы","aboideaus"
"жазық","aboideaux"
"жазылған","aboil"
"жай","aboiteau"
"жайлылық","aboiteaus"
"жақ","aboiteaux"
"жақсарту","abolete"
"жақсартылған","abolish"
"жақсы","abolishable"
"Жақсы","abolished"
"жақсылық","abolisher"
"жақсырақ","abolishers"
"жақтау","abolishes"
"жақын","abolishing"
"Жақын","abolishment"
"жақында","abolishments"
"жалақы","abolishment's"
"жалаңаш","abolition"
"жалау","abolitionary"
"жалбарыну","abolitionise"
"жалған","abolitionised"
"Жалған","abolitionising"
"жалғастырды","abolitionism"
"жалғастыру","abolitionist"
"жалғасуда","abolitionists"
"жалғыз","abolitionize"
"жалғыздық","abolitionized"
"жалдау","abolitionizing"
"жалқау","abolitions"
"жалпы","abolla"
"жалын","abollae"
"жамбас","aboma"
"жан","abomas"
"жанармай","abomasa"
"жанасу","abomasal"
"жанашырлық","abomasi"
"жан-жақты","abomasum"
"жанжал","abomasus"
"жанр","abomasusi"
"жану","A-bomb"
"жануар","abominability"
"жанында","abominable"
"жаңа","abominableness"
"жаңадан","abominably"
"Жаңалау","abominate"
"жаңалықтар","abominated"
"жаңарту","abominates"
"жаңашыл","abominating"
"жаңбыр","abomination"
"жаңғақ","abominations"
"жаңғырық","abominator"
"жаһандық","abominators"
"жапон","abomine"
"жапырақ","abondance"
"жарақат","Abongo"
"жарамды","abonne"
"жарамдылық","abonnement"
"жарату","aboon"
"жаратылыс","aborad"
"жарғанат","aboral"
"жарғы","aborally"
"жариялау","abord"
"жарқыл","Aboriginal"
"жарқын","aboriginality"
"жарнама","aboriginally"
"жартас","aboriginals"
"жартысы","aboriginary"
"жарық","Aborigine"
"жарықшақ","aborigines"
"жарылқау","aborigine's"
"жарылу","Abor-miri"
"жарылуы","Aborn"
"жарылыс","aborning"
"жарыс","a-borning"
"жарысу","aborsement"
"жас","aborsive"
"жасанды","abort"
"жасау","aborted"
"жасаушы","aborter"
"жасөспірім","aborters"
"жастар","aborticide"
"жастық","abortient"
"жасы","abortifacient"
"жасыл","abortin"
"жасыру","aborting"
"жасырын","abortion"
"жасырыну","abortional"
"жаттығу","abortionist"
"жаттықтырушы","abortionists"
"жату","abortions"
"жау","abortion's"
"жауап","abortive"
"жауапкер","abortively"
"жауапкершілік","abortiveness"
"жауапты","abortogenic"
"жауыз","aborts"
"жауынгер","abortus"
"жаяу","abortuses"
"жебе","abos"
"жеделсаты","abote"
"жеке","Abott"
"Жексенбі","abouchement"
"жел","aboudikro"
"желдеткіш","abought"
"желі","Aboukir"
"желіде","aboulia"
"желтоқсан","aboulias"
"жем","aboulic"
"жеміс","abound"
"жемқор","abounded"
"жең","abounder"
"жеңіл","abounding"
"жеңілдету","aboundingly"
"жеңілдігі","abounds"
"жеңілдік","Abourezk"
"жеңілу","about"
"жеңімпаз","about-face"
"жеңіс","about-faced"
"жеңу","about-facing"
"жер","abouts"
"жергілікті","about-ship"
"жержаңғақ","about-shipped"
"жерлеу","about-shipping"
"жертөле","about-sledge"
"жетекші","about-turn"
"Жетесіз","above"
"Жеті","aboveboard"
"жетінші","above-board"
"жетіспеушілік","above-cited"
"жетістік","abovedeck"
"жеткізу","above-found"
"жеткілікті","above-given"
"жету","aboveground"
"жеу","abovementioned"
"жәндік","above-mentioned"
"және","above-named"
"және/немесе","aboveproof"
"жәрдемдесу","above-quoted"
"жиегі","above-reported"
"жиі","aboves"
"жиілігі","abovesaid"
"жинақ","above-said"
"жиналу","abovestairs"
"жинау","above-water"
"жиһаз","above-written"
"жиырма","abow"
"Жібек","abox"
"жіберу","Abp"
"жігерлендірерлік","ABPC"
"жігіт","Abqaiq"
"жіктеу","abr"
"жіп","abr."
"жоба","Abra"
"жоғалған","abracadabra"
"жоғалтады","abrachia"
"жоғалту","abrachias"
"жоғарғы","abradable"
"жоғары","abradant"
"жоғарыда","abradants"
"жойылу","abrade"
"жоқ","abraded"
"жол","abrader"
"жолақ","abraders"
"жолаушы","abrades"
"жолбарыс","abrading"
"жолдас","Abraham"
"жолдасым","Abrahamic"
"жомарт","Abrahamidae"
"жорғалау","Abrahamite"
"жоспар","Abrahamitic"
"жоспарлау","Abraham-man"
"жота","Abrahams"
"жою","Abrahamsen"
"жөндеу","Abrahan"
"журнал","abray"
"журналист","abraid"
"журналистика","Abram"
"жуу","Abramis"
"жүгіру","Abramo"
"жүгіруші","Abrams"
"жүз","Abramson"
"жүзу","Abran"
"жүйелі","abranchial"
"жүйесі","abranchialism"
"жүйке","abranchian"
"жүк","Abranchiata"
"жүкті","abranchiate"
"жүктілік","abranchious"
"жүлде","abrasax"
"жүргізу","abrase"
"жүргізуші","abrased"
"жүрек","abraser"
"жүру","abrash"
"жұбайы","abrasing"
"жұдырық","abrasiometer"
"жұқа","abrasion"
"жұлдыз","abrasions"
"жұлдыру","abrasion's"
"жұма","abrasive"
"жұмбақ","abrasively"
"жұмсақ","abrasiveness"
"жұмсау","abrasivenesses"
"жұмыртқа","abrasives"
"жұмыс","abrastol"
"жұмыссыздық","abraum"
"жұмысшы","abraxas"
"жұп","abrazite"
"жұту","abrazitic"
"жұтып","abrazo"
"жыл","abrazos"
"жылан","abreact"
"жылау","abreacted"
"жылдам","abreacting"
"жылдамдық","abreaction"
"жылдық","abreactions"
"жылжыту","abreacts"
"жылқы","abreast"
"жылтыр","abreed"
"жылу","abrege"
"жылы","abreid"
"жылыну","abrenounce"
"жын","abrenunciate"
"жынды","abrenunciation"
"жыныс","abreption"
"жыныстық","abret"
"жыртқыш","abreuvoir"
"жырту","abri"
"зайырлы","abrico"
"зақымдану","abricock"
"зал","abricot"
"заманауи","abridgable"
"замандас","abridge"
"заң","abridgeable"
"заңгер","abridged"
"заңды","abridgedly"
"заңнама","abridgement"
"заңнамалық","abridgements"
"заңсыз","abridger"
"заряд","abridgers"
"зат","abridges"
"заттаңба","abridging"
"заттар","abridgment"
"зауыт","abridgments"
"зейнетақы","abrim"
"зейнеткер","abrin"
"зерттеу","abrine"
"зерттеуші","abris"
"зертхана","abristle"
"зәйтүн","abroach"
"зиян","abroad"
"зорлау","Abrocoma"
"зорлық-зомбылық","abrocome"
"зымыран","abrogable"
"идеал","abrogate"
"идеология","abrogated"
"идеологиялық","abrogates"
"идея","abrogating"
"иек","abrogation"
"иелену","abrogations"
"иесі","abrogative"
"иә","abrogator"
"Иә","abrogators"
"израиль","Abroma"
"иілу","Abroms"
"иіс","Abronia"
"икемді","abrood"
"икемділік","abrook"
"иллюзия","abrosia"
"иллюстрация","abrosias"
"иммигрант","abrotanum"
"иммиграция","abrotin"
"иммундық","abrotine"
"император","abrupt"
"империя","abruptedly"
"импорт","abrupter"
"импульс","abruptest"
"инвестиция","abruptio"
"инвестициялау","abruption"
"инвестор","abruptiones"
"ингредиент","abruptly"
"индекс","abruptness"
"индукциялау","Abrus"
"индустриялық","Abruzzi"
"ине","ABS"
"инженер","abs-"
"инженерия","Absa"
"инновация","Absalom"
"инспектор","absampere"
"инстинкт","Absaraka"
"институт","Absaroka"
"институционалдық","Absarokee"
"инсульт","absarokite"
"интеграция","ABSBH"
"интеллектуалды","abscam"
"интервал","abscess"
"интерфейс","abscessed"
"интерьер","abscesses"
"инфекция","abscessing"
"инфляция","abscession"
"инфрақұрылым","abscessroot"
"ипотека","abscind"
"ирак","abscise"
"ирандық","abscised"
"ирланд","abscises"
"ирония","abscisin"
"ислам","abscising"
"исламдық","abscisins"
"испан","abscision"
"испандық","absciss"
"ит","abscissa"
"итальян","abscissae"
"итеру","abscissas"
"иық","abscissa's"
"із","abscisse"
"ізбасар","abscissin"
"ізгілік","abscission"
"іздеу","abscissions"
"ілмек","absconce"
"ілу","abscond"
"інжіл","absconded"
"Інжіл","abscondedly"
"іргелі","abscondence"
"ірімшік","absconder"
"іс","absconders"
"ісік","absconding"
"істеу","absconds"
"іш","absconsa"
"ішек","abscoulomb"
"ішінара","abscound"
"ішінде","Absecon"
"ішіне","absee"
"ішкі","absey"
"ішу","abseil"
"кабель","abseiled"
"кабина","abseiling"
"кабинет","abseils"
"кадрлар","absence"
"казино","absences"
"калория","absence's"
"камера","absent"
"кампус","absentation"
"канадалық","absented"
"кандидат","absentee"
"капитал","absenteeism"
"капитализм","absentees"
"капитан","absentee's"
"карта","absenteeship"
"картоп","absenter"
"католик","absenters"
"кафе","absentia"
"кванттық","absenting"
"квест","absently"
"кедей","absentment"
"кедейлік","absentminded"
"кедергі","absent-minded"
"кезбе","absentmindedly"
"кездейсоқ","absent-mindedly"
"кездесу","absentmindedness"
"кезең","absent-mindedness"
"кезінде","absentmindednesses"
"кейбір","absentness"
"кейде","absents"
"кейін","absfarad"
"кейінгі","abshenry"
"кейінірек","Abshier"
"кейіпкер","Absi"
"кейіптеу","absinth"
"кел","absinthe"
"келеді","absinthes"
"келесі","absinthial"
"Келесі","absinthian"
"келешек","absinthiate"
"келісемін","absinthiated"
"келісім","absinthiating"
"келісім-шарт","absinthic"
"келіспеймін","absinthiin"
"келіссөздер","absinthin"
"келу","absinthine"
"келуші","absinthism"
"кеме","absinthismic"
"кемсітушілік","absinthium"
"кемшілік","absinthol"
"кенеп","absinthole"
"кенеттен","absinths"
"кең","Absyrtus"
"кеңейту","absis"
"кеңес","absist"
"кеңестік","absistos"
"кеңесу","absit"
"кеңесші","absmho"
"кеңінен","absohm"
"кеңсе","absoil"
"кепіл","absolent"
"кепілдік","Absolute"
"керек","absolutely"
"керемет","absoluteness"
"кері","absoluter"
"керісінше","absolutes"
"кернеу","absolutest"
"кесе","absolution"
"кескіндеме","absolutions"
"кесте","absolutism"
"кесу","absolutist"
"кету","absolutista"
"кеуде","absolutistic"
