"Maori","English"
"hāmana","abaters"
"hanawiti","abates"
"hāneanea","abatic"
"hanga","abating"
"hangahanga","abatis"
"hanganga","abatised"
"hangarau","abatises"
"Hanuere","abatjour"
"haona","abatjours"
"haora","abaton"
"hāora","abator"
"hapa","abators"
"Hapanihi","ABATS"
"hapori","abattage"
"hapu","abattis"
"haputanga","abattised"
"hara","abattises"
"harakore","abattoir"
"hararei","abattoirs"
"harikoa","abattu"
"hāroto","abattue"
"haruru","Abatua"
"hāte","abature"
"hau","abaue"
"hauā","abave"
"hauātanga","abaxial"
"hauhau","abaxile"
"hauhautanga","abaze"
"haukotia","abb"
"haumanu","Abba"
"haumaru","abbacy"
"haumarutanga","abbacies"
"haumi","abbacomes"
"haunga","Abbadide"
"hāunga","Abbai"
"hauora","abbaye"
"haurangi","abbandono"
"haurua","abbas"
"hautaka","abbasi"
"hautau","Abbasid"
"hauwhā","abbassi"
"hē","Abbassid"
"hei","Abbasside"
"heihei","Abbate"
"heke","abbatial"
"hekenga","abbatical"
"hekere","abbatie"
"hekeretari","Abbe"
"hēneti","Abbey"
"hepanika","abbeys"
"hepohepo","abbey's"
"here","abbeystead"
"herea","abbeystede"
"herekoretanga","abbes"
"herenga","abbess"
"hi","abbesses"
"hiahia","abbest"
"hiakai","Abbevilean"
"hiako","Abbeville"
"hihi","Abbevillian"
"hihiko","Abbi"
"hihiri","Abby"
"hikaka","Abbie"
"hikareti","Abbye"
"hikitia","Abbyville"
"hiko","abboccato"
"hikohiko","abbogada"
"hīkoi","Abbot"
"hiku","abbotcy"
"hina","abbotcies"
"hinengaro","abbotnullius"
"hinga","abbotric"
"hinonga","abbots"
"hinuhinu","abbot's"
"hipi","Abbotsen"
"hiraka","Abbotsford"
"hiranga","abbotship"
"hiri","abbotships"
"Hiriani","Abbotson"
"hiriwa","Abbotsun"
"hiroki","Abbott"
"hītori","Abbottson"
"hiwi","Abbottstown"
"hmm","Abboud"
"hoa","abbozzo"
"hoahoa","ABBR"
"hoahoanga","abbrev"
"hoari","abbreviatable"
"hoariri","abbreviate"
"hoatu","abbreviated"
"hockey","abbreviately"
"hōhā","abbreviates"
"hōhipera","abbreviating"
"hohonu","abbreviation"
"hōhonutanga","abbreviations"
"hoia","abbreviator"
"hōia","abbreviatory"
"hoiho","abbreviators"
"hoki","abbreviature"
"hoko","abbroachment"
"hokohoko","ABC"
"hokonga","abcess"
"holani","abcissa"
"homoni","abcoulomb"
"hongere","ABCs"
"Hōngongoi","abd"
"honi","abdal"
"hono","abdali"
"hononga","abdaria"
"honore","abdat"
"honu","Abdel"
"hope","Abd-el-Kadir"
"hopi","Abd-el-Krim"
"hopu","Abdella"
"hopukina","Abderhalden"
"horahia","Abderian"
"horekau","Abderite"
"hōro","Abderus"
"horoi","abdest"
"horomia","Abdias"
"horopaki","abdicable"
"horopeta","abdicant"
"hōtaka","abdicate"
"hotera","abdicated"
"hou","abdicates"
"houra","abdicating"
"hu","abdication"
"hua","abdications"
"huaketo","abdicative"
"huaki","abdicator"
"huakita","Abdiel"
"huakore","abditive"
"huamata","abditory"
"huanga","abdom"
"huānga","abdomen"
"huanui","abdomens"
"huaora","abdomen's"
"huarahi","abdomina"
"huarere","abdominal"
"huatau","Abdominales"
"huawhenua","abdominalia"
"huh","abdominalian"
"huha","abdominally"
"hū-hā","abdominals"
"hui","abdominoanterior"
"huihui","abdominocardiac"
"huihuinga","abdominocentesis"
"huinga","abdominocystic"
"huka","abdominogenital"
"hukapapa","abdominohysterectomy"
"hukarere","abdominohysterotomy"
"huna","abdominoposterior"
"Hune","abdominoscope"
"hupa","abdominoscopy"
"hūpekepeke","abdominothoracic"
"hurahia","abdominous"
"Hurai","abdomino-uterotomy"
"huri","abdominovaginal"
"hurihanga","abdominovesical"
"hurihuri","Abdon"
"huringa","Abdu"
"huritau","abduce"
"huru","abduced"
"hutu","abducens"
"huuhu","abducent"
"i","abducentes"
"ia","abduces"
"iari","abducing"
"Iharaira","abduct"
"ihirama","abducted"
"Ihirama","abducting"
"ihirangi","abduction"
"ihu","abductions"
"ika","abduction's"
"īmēra","abductor"
"ī-mēra","abductores"
"inahea","abductors"
"inaianei","abductor's"
"inamata","abducts"
"inanahi","Abdul"
"inenga","Abdul-Aziz"
"Ingarangi","Abdul-baha"
"ingoa","Abdulla"
"ingoamuna","Abe"
"Inia","a-be"
"inihi","abeam"
"inihua","abear"
"inoi","abearance"
"inu","Abebi"
"ipad","abecedaire"
"iphone","abecedary"
"ipu","abecedaria"
"ipurangi","abecedarian"
"ira","abecedarians"
"Iraki","abecedaries"
"irana","abecedarium"
"irava","abecedarius"
"irirangi","abed"
"Irish","abede"
"Itariana","abedge"
"iti","Abednego"
"iwa","abegge"
"iwi","Abey"
"jazz","abeyance"
"jet","abeyances"
"ka","abeyancy"
"kaata","abeyancies"
"kaha","abeyant"
"kahore","abeigh"
"kāhua","ABEL"
"kāhui","Abelard"
"kahurangi","abele"
"kai","abeles"
"kaiahuwhenua","Abelia"
"kaiaka","Abelian"
"kaiako","Abelicea"
"kaiawhina","Abelite"
"kaieke","Abell"
"kaihaka","Abelmoschus"
"kaihanga","abelmosk"
"kaihau","abelmosks"
"kaihe","abelmusk"
"kaihoahoa","Abelonian"
"kaihoe","Abelson"
"kaihoko","abeltree"
"kaihokohoko","Abencerrages"
"kaikanikani","abend"
"kaikaranga","abends"
"kaikino","Abenezra"
"kaikiri","abenteric"
"kaikirimana","Abeokuta"
"kaikohi","abepithymia"
"kaikohikohi","ABEPP"
"kaikorero","Abercromby"
"kaimahi","Abercrombie"
"kainga","Aberdare"
"kāinga","aberdavine"
"kaingākau","Aberdeen"
"kainoho","Aberdeenshire"
"kaipakihi","aberdevine"
"kaipānui","Aberdonian"
"kaipara","aberduvine"
"kaipatu","Aberfan"
"kaipeita","Aberglaube"
"kaiporotohe","Aberia"
"kaipōti","Aberystwyth"
"kaipuke","Abernant"
"kaiputaiao","Abernathy"
"kairangahau","abernethy"
"kairiiri","Abernon"
"kairīpoata","aberr"
"kairuruku","aberrance"
"kaitākaro","aberrancy"
"kaitao","aberrancies"
"kaitātari","aberrant"
"kaitautoko","aberrantly"
"kaitiaki","aberrants"
"kaitiora","aberrate"
"kaitirotiro","aberrated"
"kaitohutohu","aberrating"
"kaitoi","aberration"
"kaitono","aberrational"
"kaitōrangapū","aberrations"
"kaituhi","aberrative"
"kaitukino","aberrator"
"kaituku","aberrometer"
"kaitutei","aberroscope"
"kaiuru","Abert"
"kaiurungi","aberuncate"
"kaiwaiata","aberuncator"
"kaiwawao","abesse"
"kaiwhaiwhai","abessive"
"kaiwhakaako","abet"
"kaiwhakaari","abetment"
"kaiwhakaatu","abetments"
"kaiwhakahaere","abets"
"kaiwhakamahi","abettal"
"kaiwhakangungu","abettals"
"kaiwhakaora","abetted"
"kaiwhakapae","abetter"
"kaiwhakaputa","abetters"
"kaiwhakarato","abetting"
"kaiwhakarewa","abettor"
"kaiwhakarongo","abettors"
"kaiwhakataetae","Abeu"
"kaiwhakatuma","abevacuation"
"kaiwhakautu","abfarad"
"kaiwhakawa","abfarads"
"kaiwhakawā","ABFM"
"kaiwhakawhanake","Abgatha"
"kaiwhiu","ABHC"
"kaiwhiwhi","abhenry"
"kakahu","abhenries"
"kākahu","abhenrys"
"kākano","abhinaya"
"kakara","abhiseka"
"kākāriki","abhominable"
"kakau","abhor"
"kaki","abhorred"
"kāmera","abhorrence"
"kamupene","abhorrences"
"Kanaana","abhorrency"
"kanapa","abhorrent"
"kānga","abhorrently"
"kanikani","abhorrer"
"kanohi","abhorrers"
"kanorau","abhorrible"
"kaore","abhorring"
"kapa","abhors"
"kāpata","Abhorson"
"kape","ABI"
"kāpene","aby"
"kapinga","Abia"
"kapiti","Abiathar"
"kapo","Abib"
"kaporeihana","abichite"
"kapu","abidal"
"kapua","abidance"
"kara","abidances"
"karaati","abidden"
"karahipi","abide"
"karaihe","abided"
"karaipiture","abider"
"Karaitiana","abiders"
"karaka","abides"
"karakia","abidi"
"karamu","abiding"
"karanga","abidingly"
"kārani","abidingness"
"karapīpiti","Abidjan"
"karapotia","Abydos"
"karapu","Abie"
"kararehe","abye"
"karati","abied"
"karauna","abyed"
"karekau","abiegh"
"karere","abience"
"karetao","abient"
"kāreti","Abies"
"kāri","abyes"
"karihi","abietate"
"karika","abietene"
"Kariki","abietic"
"karo","abietin"
"katahi","Abietineae"
"katakata","abietineous"
"kati","abietinic"
"katia","abietite"
"katoa","Abiezer"
"Katorika","Abigael"
"kātua","Abigail"
"kau","abigails"
"kauae","abigailship"
"kauhanga","Abigale"
"kauhau","abigeat"
"kauhoe","abigei"
"kaumatua","abigeus"
"kaumātua","Abihu"
"kaunihera","abying"
"kaupapa","Abijah"
"kaupoi","Abyla"
"kauwhata","abilao"
"kauwhau","Abilene"
"kawa","abiliment"
"kāwai","Abilyne"
"kawana","abilitable"
"kawanatanga","ability"
"kāwanatanga","abilities"
"kawe","ability's"
"kaweake","abilla"
"kawemai","abilo"
"kawenga","abime"
"kawhe","Abimelech"
"kē","Abineri"
"keke","Abingdon"
"kēmu","Abinger"
"kerekere","Abington"
"kereme","Abinoam"
"keri","Abinoem"
"kete","abintestate"
"keu","abiogeneses"
"ki","abiogenesis"
"kī","abiogenesist"
"kia","abiogenetic"
"kīanga","abiogenetical"
"kiato","abiogenetically"
"kihi","abiogeny"
"kīhini","abiogenist"
"kiko","abiogenous"
"kikokiko","abiology"
"kikokore","abiological"
"kimi","abiologically"
"kingi","abioses"
"kino","abiosis"
"kiore","abiotic"
"kiri","abiotical"
"kiriata","abiotically"
"Kirihimete","abiotrophy"
"kirihou","abiotrophic"
"kirikaa","Abipon"
"kirikiri","Abiquiu"
"kirimana","abir"
"kirīmi","abirritant"
"kiritaki","abirritate"
"kitara","abirritated"
"kite","abirritating"
"kitea","abirritation"
"kitenga","abirritative"
"koa","abys"
"koati","Abisag"
"koe","Abisha"
"kōeke","Abishag"
"koha","Abisia"
"kohanga","abysm"
"kohatu","abysmal"
"kohi","abysmally"
"kohikohi","abysms"
"kohinga","Abyss"
"kohua","abyssa"
"kohungahunga","abyssal"
"kohuru","abysses"
"koi","Abyssinia"
"koiora","Abyssinian"
"koiwi","abyssinians"
"koki","abyssobenthonic"
"kōkiri","abyssolith"
"kokonga","abyssopelagic"
"kokoru","abyss's"
"koma","abyssus"
"kōmaka","abiston"
"kōmeke","abit"
"komihana","Abitibi"
"kōmihana","Abiu"
"komiti","abiuret"
"komuhumuhu","Abixah"
"komunista","abject"
"kōnae","abjectedness"
"konei","abjection"
"konihi","abjections"
"konohete","abjective"
"konutai","abjectly"
"kooti","abjectness"
"kōpae","abjectnesses"
"kopaki","abjoint"
"kōpaki","abjudge"
"kopere","abjudged"
"kopikopiko","abjudging"
"koraha","abjudicate"
"korakora","abjudicated"
"kore","abjudicating"
"korea","abjudication"
"korenga","abjudicator"
"korero","abjugate"
"kōrero","abjunct"
"korerorero","abjunction"
"kōrerorero","abjunctive"
"koretake","abjuration"
"korokoro","abjurations"
"koromatua","abjuratory"
"koronga","abjure"
"koroni","abjured"
"koroniera","abjurement"
"koropiko","abjurer"
"kororia","abjurers"
"koroua","abjures"
"korowha","abjuring"
"korukoru","abkar"
"kōtaha","abkari"
"kotahi","abkary"
"kotahitanga","Abkhas"
"koti","Abkhasia"
"kotiro","Abkhasian"
"kounga","Abkhaz"
"koura","Abkhazia"
"kōwae","Abkhazian"
"kōwhai","abl"
"kōwhiringa","abl."
"kua","ablach"
"kuaha","ablactate"
"kuare","ablactated"
"kuia","ablactating"
"kuini","ablactation"
"kukū","ablaqueate"
"kukume","ablare"
"kūpapa","A-blast"
"kupenga","ablastemic"
"kupu","ablastin"
"kuputuhi","ablastous"
"kura","ablate"
"kuri","ablated"
"kuru","ablates"
"kurupae","ablating"
"ma","ablation"
"mā","ablations"
"maakete","ablatitious"
"ma'am","ablatival"
"maeneene","ablative"
"maero","ablatively"
"maha","ablatives"
"mahana","ablator"
"mahanga","ablaut"
"māhanga","ablauts"
"maharahara","ablaze"
"māharahara","able"
"maharatanga","able-bodied"
"maharatia","able-bodiedness"
"mahere","ableeze"
"mahi","ablegate"
"mahia","ablegates"
"mahinga","ablegation"
"mahuru","able-minded"
"mai","able-mindedness"
"maia","ablend"
"māia","ableness"
"maihao","ablepharia"
"maimoatanga","ablepharon"
"maioha","ablepharous"
"maitai","Ablepharus"
"maka","ablepsy"
"makariri","ablepsia"
"makawe","ableptical"
"makimaki","ableptically"
"makona","abler"
"mākū","ables"
"makutu","ablesse"
"mama","ablest"
"mamae","ablet"
"mamao","ablewhackets"
"mamaoa","ably"
"mana","ablings"
"manaaki","ablins"
"manaakitanga","ablock"
"manakohanga","abloom"
"mana'o","ablow"
"manapori","ABLS"
"manatārua","ablude"
"manatoko","abluent"
"manawa","abluents"
"manawanui","ablush"
"manawapa","ablute"
"manawataki","abluted"
"Mane","ablution"
"manene","ablutionary"
"manga","ablutions"
"māngai","abluvion"
"mangere","ABM"
"mango","abmho"
"mania","abmhos"
"mano","abmodality"
"manu","abmodalities"
"mānu","abn"
"manuhiri","Abnaki"
"mānukanuka","Abnakis"
"maori","abnegate"
"māoriori","abnegated"
"mapi","abnegates"
"mara","abnegating"
"māra","abnegation"
"marama","abnegations"
"mārama","abnegative"
"maramara","abnegator"
"maramataka","abnegators"
"māramatanga","Abner"
"maranga","abnerval"
"marau","abnet"
"marautanga","abneural"
"marena","abnormal"
"marie","abnormalcy"
"mariko","abnormalcies"
"maringi","abnormalise"
"marino","abnormalised"
"maripi","abnormalising"
"mariuana","abnormalism"
"mārō","abnormalist"
"maroke","abnormality"
"mata","abnormalities"
"matā","abnormalize"
"mataara","abnormalized"
"mātakitaki","abnormalizing"
"mataku","abnormally"
"matamata","abnormalness"
"mātanga","abnormals"
"matapae","abnormity"
"matapaetanga","abnormities"
"matapaki","abnormous"
"matapihi","abnumerable"
"matapo","Abo"
"matapōkeretia","aboard"
"matarohia","aboardage"
"matatau","Abobra"
"matatika","abococket"
"matatini","abodah"
"mātātoa","abode"
"matau","aboded"
"matauranga","abodement"
"mātauranga","abodes"
"matawai","abode's"
"mātāwaka","abody"
"matawhānui","aboding"
"mate","abogado"
"matekai","abogados"
"matemate","abohm"
"materoto","abohms"
"matihiko","aboideau"
"matimati","aboideaus"
"mātiti","aboideaux"
"mātotoru","aboil"
"matou","aboiteau"
"matū","aboiteaus"
"matua","aboiteaux"
"matūriki","abolete"
"mau","abolish"
"mauahara","abolishable"
"mauhere","abolished"
"maui","abolisher"
"maumahara","abolishers"
"maunga","abolishes"
"mauri","abolishing"
"mautohe","abolishment"
"māwhero","abolishments"
"mawhiti","abolishment's"
"me","abolition"
"me/ranei","abolitionary"
"mea","abolitionise"
"mehemea","abolitionised"
"mehiko","abolitionising"
"mehua","abolitionism"
"meka","abolitionist"
"mekameka","abolitionists"
"mema","abolitionize"
"memeha","abolitionized"
"meneti","abolitionizing"
"mēra","abolitions"
"mere","abolla"
"merekara","abollae"
"mētara","aboma"
"mi","abomas"
"miharo","abomasa"
"mīharo","abomasal"
"mihi","abomasi"
"mihini","abomasum"
"miihini","abomasus"
"mimi","abomasusi"
"mimiti","A-bomb"
"minenga","abominability"
"minita","abominable"
"mira","abominableness"
"miraka","abominably"
"miramira","abominate"
"mirimiri","abominated"
"miriona","abominates"
"miro","abominating"
"mirumiru","abomination"
"misioni","abominations"
"mita","abominator"
"mm","abominators"
"mm-hmm","abomine"
"mmm","abondance"
"mo","Abongo"
"mō","abonne"
"moana","abonnement"
"moata","aboon"
"moe","aborad"
"moemoea","aboral"
"moemoeā","aborally"
"moenga","abord"
"moepuku","Aboriginal"
"moheni","aboriginality"
"mohio","aboriginally"
"mōhiotanga","aboriginals"
"mohiotia","aboriginary"
"mohoao","Aborigine"
"moka","aborigines"
"mōkai","aborigine's"
"mokemoke","Abor-miri"
"mokete","Aborn"
"mōkihi","aborning"
"moko","a-borning"
"momo","aborsement"
"monamona","aborsive"
"moni","abort"
"mooni","aborted"
"mōrahi","aborter"
"morare","aborters"
"mōrea","aborticide"
"mōrearea","abortient"
"morehu","abortifacient"
"motini","abortin"
"motu","aborting"
"motuhake","abortion"
"motuka","abortional"
"mowhiti","abortionist"
"mua","abortionists"
"muka","abortions"
"muri","abortion's"
"muru","abortive"
"murua","abortively"
"Muslim","abortiveness"
"mutu","abortogenic"
"mutunga","aborts"
"na","abortus"
"nāianei","abortuses"
"nakahi","abos"
"nako","abote"
"nama","Abott"
"nanakia","abouchement"
"nati","aboudikro"
"nau","abought"
"nēhi","Aboukir"
"neke","aboulia"
"nekehanga","aboulias"
"nerve","aboulic"
"ngā","abound"
"ngahau","abounded"
"ngahere","abounder"
"ngaherehere","abounding"
"ngaio","aboundingly"
"ngakau","abounds"
"ngako","Abourezk"
"nganatanga","about"
"ngangau","about-face"
"ngarara","about-faced"
"ngaro","about-facing"
"ngaronga","abouts"
"ngaru","about-ship"
"ngau","about-shipped"
"ngaungau","about-shipping"
"ngawari","about-sledge"
"ngenge","about-turn"
"ngeru","above"
"ngira","aboveboard"
"ngoikore","above-board"
"ngoikoretanga","above-cited"
"ngokingoki","abovedeck"
"ngongo","above-found"
"ngote","above-given"
"ngutu","aboveground"
"niho","abovementioned"
"nikau","above-mentioned"
"niupepa","above-named"
"no","aboveproof"
"noa","above-quoted"
"noema","above-reported"
"noho","aboves"
"nohoanga","abovesaid"
"nohonga","above-said"
"nui","abovestairs"
"o","above-water"
"oati","above-written"
"ōhanga","abow"
"ohaoha","abox"
"ohorere","Abp"
"okana","ABPC"
"ōkawa","Abqaiq"
"Oketopa","abr"
"oki","abr."
"okioki","Abra"
"okiokinga","abracadabra"
"oko","abrachia"
"okotahi","abrachias"
"Olimpia","abradable"
"omaoma","abradant"
"ona","abradants"
"oneone","abrade"
"onge","abraded"
"ono","abrader"
"ooh","abraders"
"opera","abrades"
"ora","abrading"
"oranga","Abraham"
"ōrau","Abrahamic"
"orbit","Abrahamidae"
"orite","Abrahamite"
"ōrite","Abrahamitic"
"oriwa","Abraham-man"
"orotika","Abrahams"
"ota","Abrahamsen"
"otaota","Abrahan"
"oti","abray"
"otinga","abraid"
"otirā","Abram"
"oumu","Abramis"
"ōwehenga","Abramo"
"pa","Abrams"
"pae","Abramson"
"paearu","Abran"
"paepae","abranchial"
"paerangi","abranchialism"
"paerewa","abranchian"
"paetae","Abranchiata"
"paetaha","abranchiate"
"paetahi","abranchious"
"paetukutuku","abrasax"
"paheke","abrase"
"paheketanga","abrased"
"pahi","abraser"
"pāhihi","abrash"
"pahikara","abrasing"
"pahū","abrasiometer"
"pahua","abrasion"
"pahūtanga","abrasions"
"pai","abrasion's"
"paihere","abrasive"
"paihikara","abrasively"
"paina","abrasiveness"
"painga","abrasivenesses"
"paipa","abrasives"
"paipera","abrastol"
"paitini","abraum"
"pāka","abraxas"
"pakanga","abrazite"
"pakari","abrazitic"
"pakaru","abrazo"
"pakeha","abrazos"
"pakeke","abreact"
"pākete","abreacted"
"paki","abreacting"
"pakia","abreaction"
"pakihi","abreactions"
"pakihiwi","abreacts"
"pākiki","abreast"
"pakimaero","abreed"
"pakipaki","abrege"
"pakipūmeka","abreid"
"pakirehua","abrenounce"
"pakitara","abrenunciate"
"pakiwaituhi","abrenunciation"
"paku","abreption"
"pakupaku","abret"
"Palestinian","abreuvoir"
"pāmahana","abri"
"pāmu","abrico"
"pana","abricock"
"panana","abricot"
"panga","abridgable"
"pānga","abridge"
"pāngarau","abridgeable"
"pango","abridged"
"Paniora","abridgedly"
"panui","abridgement"
"pānuitanga","abridgements"
"paopao","abridger"
"paorooro","abridgers"
"papa","abridges"
"pāpāho","abridging"
"papaki","abridgment"
"pāpaku","abridgments"
"papamuri","abrim"
"papanga","abrin"
"papapātuhi","abrine"
"paparanga","abris"
"paparinga","abristle"
"papatahi","abroach"
"papatipu","abroad"
"pāpori","Abrocoma"
"papua","abrocome"
"papura","abrogable"
"parade","abrogate"
"paraharaha","abrogated"
"paraihe","abrogates"
"paraikete","abrogating"
"Paraire","abrogation"
"parakore","abrogations"
"parakuihi","abrogative"
"parani","abrogator"
"paraoa","abrogators"
"parapara","Abroma"
"pararopi","Abroms"
"paraurehe","Abronia"
"parauri","abrood"
"pārekareka","abrook"
"paremata","abrosia"
"parenga","abrosias"
"parepare","abrotanum"
"pārera","abrotin"
"pari","abrotine"
"parirau","abrupt"
"paru","abruptedly"
"pārūrū","abrupter"
"pata","abruptest"
"patai","abruptio"
"pātai","abruption"
"pātea","abruptiones"
"pātene","abruptly"
"patent","abruptness"
"pati","Abrus"
"patiti","Abruzzi"
"pātītī","ABS"
"patoto","abs-"
"patu","Absa"
"patua","Absalom"
"patuki","absampere"
"patunga","Absaraka"
"pau","Absaroka"
"pauna","Absarokee"
"paunatia","absarokite"
"paura","ABSBH"
"pawhiria","abscam"
"pc","abscess"
"pea","abscessed"
"peeke","abscesses"
"pehanga","abscessing"
"pehea","abscession"
"peihana","abscessroot"
"peisipolo","abscind"
"peita","abscise"
"peka","abscised"
"pekapeka","abscises"
"peke","abscisin"
"pekepeke","abscising"
"pene","abscisins"
"penehīni","abscision"
"penei","absciss"
"penihana","abscissa"
"pepa","abscissae"
"pepi","abscissas"
"Pepuere","abscissa's"
"pere","abscisse"
"perehana","abscissin"
"perehi","abscission"
"perehitini","abscissions"
"pereki","absconce"
"peresideniraa","abscond"
"pereti","absconded"
"peti","abscondedly"
"phi","abscondence"
"pi","absconder"
"pia","absconders"
"piana","absconding"
"pihikete","absconds"
"piira","absconsa"
"pikaunga","abscoulomb"
"piki","abscound"
"pikinga","Absecon"
"pikitanga","absee"
"pikitia","absey"
"piko","abseil"
"pīnati","abseiled"
"pīni","abseiling"
"pipi","abseils"
"pirau","absence"
"pire","absences"
"pirihimana","absence's"
"pirihono","absent"
"pirimia","absentation"
"piriona","absented"
"piripono","absentee"
"piriti","absenteeism"
"piro","absentees"
"pitch","absentee's"
"pitihana","absenteeship"
"piu","absenter"
"pizza","absenters"
"pm","absentia"
"po","absenting"
"poaka","absently"
"poari","absentment"
"poauau","absentminded"
"poha","absent-minded"
"pohehe","absentmindedly"
"poihau","absent-mindedly"
"poitūkohu","absentmindedness"
"poka","absent-mindedness"
"pōkai","absentmindednesses"
"pokanga","absentness"
"pokanoa","absents"
"pokapū","absfarad"
"poke","abshenry"
"poma","Abshier"
"pona","Absi"
"pono","absinth"
"pononga","absinthe"
"pooti","absinthes"
"pop","absinthial"
"popa","absinthian"
"poraka","absinthiate"
"porangi","absinthiated"
"poriro","absinthiating"
"poro","absinthic"
"pōro","absinthiin"
"poropiti","absinthin"
"poroporoaki","absinthine"
"porotiti","absinthism"
"porowhita","absinthismic"
"potae","absinthium"
"pōtae","absinthol"
"poti","absinthole"
"pōtitanga","absinths"
"poto","Absyrtus"
"pou","absis"
"pouaka","absist"
"pouaru","absistos"
"pounamu","absit"
"poupou","absmho"
"poupoutanga","absohm"
"pourewa","absoil"
"pouri","absolent"
"pōwhiri","Absolute"
"powhiriwhiri","absolutely"
"pro","absoluteness"
"pu","absoluter"
"puawai","absolutes"
"puāwaitanga","absolutest"
"puehu","absolution"
"pūhera","absolutions"
"pūhiko","absolutism"
"puhoi","absolutist"
"pūhui","absolutista"
"puka","absolutistic"
"pukaemi","absolutistically"
"pūkaha","absolutists"
"pūkahukahu","absolutive"
"pukapuka","absolutization"
"puke","absolutize"
"pūkenga","absolutory"
"pūkete","absolvable"
"pukoro","absolvatory"
"pūkoro","absolve"
"puku","absolved"
"pukuhohe","absolvent"
"pukumahi","absolver"
"pukuriri","absolvers"
"pūmanawa","absolves"
"pūmau","absolving"
"pūmautanga","absolvitor"
"pūmua","absolvitory"
"puna","absonant"
"pūnaha","absonous"
"punetēpu","absorb"
"punga","absorbability"
"pūngao","absorbable"
"pungarehu","absorbance"
"pūngoi","absorbancy"
"puni","absorbant"
"pūoko","absorbed"
"pupuhi","absorbedly"
"pupuri","absorbedness"
"pūrākau","absorbefacient"
"puranga","absorbency"
"pūranga","absorbencies"
