"Indonesian","English"
"acak","abandum"
"acak-acakan","abanet"
"acala","abanga"
"acan","Abanic"
"acang","abannition"
"acang-acang","Abantes"
"acap","abapical"
"acar","abaptiston"
"acara","abaptistum"
"acaram","Abarambo"
"acat","Abarbarea"
"acau","Abaris"
"acawi","abarthrosis"
"acerang","abarticular"
"aci","abarticulation"
"aci-aci","Abas"
"acik","abase"
"aco","abased"
"aco-acoan","abasedly"
"acu","abasedness"
"acuh","abasement"
"acum","abasements"
"acung","abaser"
"ad","abasers"
"ada","abases"
"adab","Abasgi"
"adad","abash"
"adagio","abashed"
"adagium","abashedly"
"adakala","abashedness"
"adakalanya","abashes"
"adakan","abashing"
"adaks","abashless"
"adaktil","abashlessly"
"adalah","abashment"
"adalat","abashments"
"adam","abasia"
"adan","abasias"
"adang","abasic"
"adang-adang","abasing"
"adap","abasio"
"adaptabel","abask"
"adaptabilitas","abassi"
"adaptasi","Abassieh"
"adaptif","Abassin"
"adaptometer","abastard"
"adaptor","abastardize"
"adapun","abastral"
"adar","abatable"
"adas","abatage"
"adat","Abate"
"adati","abated"
"adegan","abatement"
"adeh","abatements"
"adekuat","abater"
"adem","abaters"
"adempauze","abates"
"adendum","abatic"
"adenoid","abating"
"adenoma","abatis"
"adenosis","abatised"
"adhesi","abatises"
"adhesif","abatjour"
"adi","abatjours"
"adiabatik","abaton"
"adiabatis","abator"
"adiaktinik","abators"
"adib","ABATS"
"adibangkit","abattage"
"adibintang","abattis"
"adiboga","abattised"
"adibusana","abattises"
"adicita","abattoir"
"adidaya","abattoirs"
"adigang","abattu"
"adiguna","abattue"
"adigung","Abatua"
"adik","abature"
"adika","abaue"
"adikara","abave"
"adikarya","abaxial"
"adikodrati","abaxile"
"adikong","abaze"
"adiksi","abb"
"adiktif","Abba"
"adikuasa","abbacy"
"adil","abbacies"
"adiluhung","abbacomes"
"adimarga","Abbadide"
"adinda","Abbai"
"ading","abbaye"
"adipati","abbandono"
"adipenghantar","abbas"
"adiposa","abbasi"
"adipositas","Abbasid"
"adipura","abbassi"
"adiraja","Abbassid"
"adiratna","Abbasside"
"adisi","Abbate"
"adisional","abbatial"
"adisiswa","abbatical"
"aditif","abbatie"
"aditokoh","Abbe"
"adiwangsa","Abbey"
"adiwarna","abbeys"
"adiwidia","abbey's"
"adjektif","abbeystead"
"adjektiva","abbeystede"
"adjektival","abbes"
"adjuvan","abbess"
"administrasi","abbesses"
"administratif","abbest"
"administrator","Abbevilean"
"admiral","Abbeville"
"admisi","Abbevillian"
"admitans","Abbi"
"adnan","Abby"
"adolesens","Abbie"
"adon","Abbye"
"adopsi","Abbyville"
"adoptif","abboccato"
"adpertensi","abbogada"
"adrenal","Abbot"
"adrenalin","abbotcy"
"adrenergik","abbotcies"
"adres","abbotnullius"
"adsorben","abbotric"
"adsorpi","abbots"
"adsorpsi","abbot's"
"adstringen","Abbotsen"
"adu","Abbotsford"
"aduh","abbotship"
"aduhai","abbotships"
"aduk","Abbotson"
"aduksi","Abbotsun"
"aduktor","Abbott"
"adun","Abbottson"
"adveksi","Abbottstown"
"adven","Abboud"
"adventisia","abbozzo"
"adventisius","ABBR"
"adverbia","abbrev"
"adverbial","abbreviatable"
"advertensi","abbreviate"
"advis","abbreviated"
"advokad","abbreviately"
"advokasi","abbreviates"
"advokat","abbreviating"
"aerasi","abbreviation"
"aerator","abbreviations"
"aerob","abbreviator"
"aerobatik","abbreviatory"
"aerobik","abbreviators"
"aerobika","abbreviature"
"aerodinamik","abbroachment"
"aerodinamika","ABC"
"aerofisika","abcess"
"aerofisiologi","abcissa"
"aerofon","abcoulomb"
"aerogram","ABCs"
"aerolit","abd"
"aerologi","abdal"
"aerometer","abdali"
"aeromovel","abdaria"
"aeronautika","abdat"
"aeroplangton","Abdel"
"aeroplankton","Abd-el-Kadir"
"aeroskop","Abd-el-Krim"
"aerosol","Abdella"
"aerostat","Abderhalden"
"aerostatika","Abderian"
"aestetika","Abderite"
"afair","Abderus"
"afal","abdest"
"afasia","Abdias"
"afdal","abdicable"
"afdeling","abdicant"
"afdruk","abdicate"
"afek","abdicated"
"afeksi","abdicates"
"afektif","abdicating"
"aferesis","abdication"
"afiat","abdications"
"afidavit","abdicative"
"afiks","abdicator"
"afiksasi","Abdiel"
"afiliasi","abditive"
"afinitas","abditory"
"afirmasi","abdom"
"afirmatif","abdomen"
"afonia","abdomens"
"aforisme","abdomen's"
"afotik","abdomina"
"afrasia","abdominal"
"afrikat","Abdominales"
"afrit","abdominalia"
"afrodisiak","abdominalian"
"afsun","abdominally"
"afwah","abdominals"
"aga","abdominoanterior"
"agah","abdominocardiac"
"agak","abdominocentesis"
"agak-agih","abdominocystic"
"agal","abdominogenital"
"agalaksia","abdominohysterectomy"
"agam","abdominohysterotomy"
"agama","abdominoposterior"
"agamais","abdominoscope"
"agamawi","abdominoscopy"
"agamen","abdominothoracic"
"agamet","abdominous"
"agami","abdomino-uterotomy"
"agamogenesis","abdominovaginal"
"agan","abdominovesical"
"agape","Abdon"
"agar","Abdu"
"agar-agar","abduce"
"agas","abduced"
"agen","abducens"
"agenda","abducent"
"agens","abducentes"
"agentif","abduces"
"agih","abducing"
"agil","abduct"
"agio","abducted"
"agiria","abducting"
"agitasi","abduction"
"agitatif","abductions"
"agitator","abduction's"
"aglikon","abductor"
"aglomerasi","abductores"
"aglomerat","abductors"
"aglutinasi","abductor's"
"aglutinat","abducts"
"aglutinatif","Abdul"
"aglutinin","Abdul-Aziz"
"agnosia","Abdul-baha"
"agnostik","Abdulla"
"agnostisisme","Abe"
"agogo","a-be"
"agometer","abeam"
"agon","abear"
"agonia","abearance"
"agonis","Abebi"
"agonistik","abecedaire"
"agorafobia","abecedary"
"agradasi","abecedaria"
"agrafia","abecedarian"
"agraria","abecedarians"
"agraris","abecedaries"
"agregasi","abecedarium"
"agregat","abecedarius"
"agregatif","abed"
"agresi","abede"
"agresif","abedge"
"agresivitas","Abednego"
"agresor","abegge"
"agriologi","Abey"
"agripnia","abeyance"
"agrisilvikultur","abeyances"
"agrobis","abeyancy"
"agrobisnis","abeyancies"
"agroekonomi","abeyant"
"agroekosistem","abeigh"
"agrogeologi","ABEL"
"agroikos","Abelard"
"agroindustri","abele"
"agrokimia","abeles"
"agronom","Abelia"
"agronomi","Abelian"
"agrostologi","Abelicea"
"agrowisata","Abelite"
"aguk","Abell"
"agul","Abelmoschus"
"agun","abelmosk"
"agung","abelmosks"
"agus","abelmusk"
"agustus","Abelonian"
"agut","Abelson"
"agut-agut","abeltree"
"ah","Abencerrages"
"ahad","abend"
"ahadiat","abends"
"ahimsa","Abenezra"
"ahistoris","abenteric"
"ahkam","Abeokuta"
"ahlan","abepithymia"
"ahli","ABEPP"
"ahlulbait","Abercromby"
"ahlulkitab","Abercrombie"
"ahlulkubur","Aberdare"
"ahlunujum","aberdavine"
"ahlusuluk","Aberdeen"
"ahlusunah","Aberdeenshire"
"ahmak","aberdevine"
"ahmar","Aberdonian"
"aho","aberduvine"
"ahsan","Aberfan"
"ahwal","Aberglaube"
"ai","Aberia"
"aib","Aberystwyth"
"ain","Abernant"
"ainulbanat","Abernathy"
"ainulyakin","abernethy"
"ainunjariah","Abernon"
"air","aberr"
"aja","aberrance"
"ajab","aberrancy"
"ajaib","aberrancies"
"ajaibkhanah","aberrant"
"ajak","aberrantly"
"ajal","aberrants"
"ajang","aberrate"
"ajar","aberrated"
"ajar-ajar","aberrating"
"ajek","aberration"
"ajektifa","aberrational"
"ajektiva","aberrations"
"ajengan","aberrative"
"aji","aberrator"
"aji-aji","aberrometer"
"ajigineng","aberroscope"
"ajimumpung","Abert"
"ajir","aberuncate"
"ajisaka","aberuncator"
"ajnabi","abesse"
"ajnas","abessive"
"ajojing","abet"
"ajre","abetment"
"aju","abetments"
"ajudan","abets"
"ajufan","abettal"
"ajujah","abettals"
"ajuk","abetted"
"ajun","abetter"
"ajung","abetters"
"ajur","abetting"
"ajuster","abettor"
"akad","abettors"
"akademi","Abeu"
"akademik","abevacuation"
"akademikus","abfarad"
"akademis","abfarads"
"akademisi","ABFM"
"akaid","Abgatha"
"akak","ABHC"
"akal","abhenry"
"akan","abhenries"
"akang","abhenrys"
"akapela","abhinaya"
"akar","abhiseka"
"akas","abhominable"
"akasia","abhor"
"akatalepsia","abhorred"
"akbar","abhorrence"
"akene","abhorrences"
"akeo","abhorrency"
"akh","abhorrent"
"akhbar","abhorrently"
"akhir","abhorrer"
"akhirat","abhorrers"
"akhirulkalam","abhorrible"
"akhlak","abhorring"
"akhlaki","abhors"
"akhwan","Abhorson"
"aki","ABI"
"akibat","aby"
"akidah","Abia"
"akik","Abiathar"
"akikah","Abib"
"akil","abichite"
"aklamasi","abidal"
"aklasia","abidance"
"akli","abidances"
"akliah","abidden"
"aklimasi","abide"
"aklimatisasi","abided"
"akmal","abider"
"akolade","abiders"
"akomodasi","abides"
"akomodatif","abidi"
"akor","abiding"
"akordeon","abidingly"
"akrab","abidingness"
"akrawati","Abidjan"
"akreditasi","Abydos"
"akriflavina","Abie"
"akrilat","abye"
"akrilik","abied"
"akrobat","abyed"
"akrobatik","abiegh"
"akrofobia","abience"
"akromegali","abient"
"akrometer","Abies"
"akromion","abyes"
"akronim","abietate"
"aksa","abietene"
"aksara","abietic"
"aksarawan","abietin"
"aksarawati","Abietineae"
"akseleran","abietineous"
"akselerasi","abietinic"
"akselerator","abietite"
"akselerometer","Abiezer"
"aksen","Abigael"
"aksentologi","Abigail"
"aksentuasi","abigails"
"aksep","abigailship"
"akseptabel","Abigale"
"akseptabilitas","abigeat"
"akseptasi","abigei"
"akseptor","abigeus"
"akses","Abihu"
"aksesibilitas","abying"
"aksesori","Abijah"
"aksi","Abyla"
"aksidental","abilao"
"aksila","Abilene"
"aksiologi","abiliment"
"aksioma","Abilyne"
"aksiomatis","abilitable"
"aksis","ability"
"akson","abilities"
"aksostil","ability's"
"akta","abilla"
"aktentas","abilo"
"aktif","abime"
"akting","Abimelech"
"aktinida","Abineri"
"aktinik","Abingdon"
"aktinisme","Abinger"
"aktinium","Abington"
"aktinokimia","Abinoam"
"aktinolit","Abinoem"
"aktinometer","abintestate"
"aktiva","abiogeneses"
"aktivis","abiogenesis"
"aktivisme","abiogenesist"
"aktivitas","abiogenetic"
"aktor","abiogenetical"
"aktris","abiogenetically"
"aktual","abiogeny"
"aktualisasi","abiogenist"
"aktuaria","abiogenous"
"aktuaris","abiology"
"aku","abiological"
"akua","abiologically"
"akuades","abioses"
"akuaduk","abiosis"
"akuakultur","abiotic"
"akualung","abiotical"
"akuamarin","abiotically"
"akuan","abiotrophy"
"akuarel","abiotrophic"
"akuaris","Abipon"
"akuarium","Abiquiu"
"akuarius","abir"
"akuatik","abirritant"
"akuifer","abirritate"
"akuisisi","abirritated"
"akuk","abirritating"
"akulturasi","abirritation"
"akumulasi","abirritative"
"akumulatif","abys"
"akumulator","Abisag"
"akun","Abisha"
"akuntabel","Abishag"
"akuntabilitas","Abisia"
"akuntan","abysm"
"akuntansi","abysmal"
"akupungtur","abysmally"
"akupungturis","abysms"
"akupunktur","Abyss"
"akur","abyssa"
"akurasi","abyssal"
"akurat","abysses"
"akusatif","Abyssinia"
"akustik","Abyssinian"
"akustika","abyssinians"
"akut","abyssobenthonic"
"akwal","abyssolith"
"al","abyssopelagic"
"ala","abyss's"
"alabangka","abyssus"
"alabio","abiston"
"alaf","abit"
"alah","Abitibi"
"alai","Abiu"
"alai-belai","abiuret"
"alaihisalam","Abixah"
"alaika","abject"
"alaikum","abjectedness"
"alak","abjection"
"alalia","abjections"
"alam","abjective"
"alamah","abjectly"
"alamak","abjectness"
"alamanda","abjectnesses"
"alamas","abjoint"
"alamat","abjudge"
"alamatulhayat","abjudged"
"alami","abjudging"
"alamiah","abjudicate"
"alamin","abjudicated"
"alan-alan","abjudicating"
"alang","abjudication"
"alang-alang","abjudicator"
"alangkah","abjugate"
"alantois","abjunct"
"alap","abjunction"
"alap-alap","abjunctive"
"alarm","abjuration"
"alas","abjurations"
"alat","abjuratory"
"alau","abjure"
"alawar","abjured"
"alazon","abjurement"
"albanat","abjurer"
"albas","abjurers"
"albatros","abjures"
"albedo","abjuring"
"albedometer","abkar"
"albinisme","abkari"
"albino","abkary"
"albinoid","Abkhas"
"albit","Abkhasia"
"albuginea","Abkhasian"
"album","Abkhaz"
"albumen","Abkhazia"
"albumin","Abkhazian"
"albuminoit","abl"
"albuminometer","abl."
"albuminuria","ablach"
"aldehida","ablactate"
"alegori","ablactated"
"alegoris","ablactating"
"aleksandrit","ablactation"
"aleksia","ablaqueate"
"aleksin","ablare"
"alel","A-blast"
"alem","ablastemic"
"alergen","ablastin"
"alergi","ablastous"
"alergis","ablate"
"alf","ablated"
"alfa","ablates"
"alfabet","ablating"
"alfabetis","ablation"
"alfaktorius","ablations"
"alfanumerik","ablatitious"
"alferes","ablatival"
"alga","ablative"
"algilik","ablatively"
"algoid","ablatives"
"algojo","ablator"
"algologi","ablaut"
"algometer","ablauts"
"algoritme","ablaze"
"algrafi","able"
"alhamdulillah","able-bodied"
"alhasil","able-bodiedness"
"ali","ableeze"
"ali-ali","ablegate"
"aliansi","ablegates"
"alias","ablegation"
"aliase","able-minded"
"alibi","able-mindedness"
"alienasi","ablend"
"alif","ableness"
"alifatik","ablepharia"
"alifbata","ablepharon"
"alih","ablepharous"
"alih-alih","Ablepharus"
"alihragam","ablepsy"
"alik","ablepsia"
"alikuot","ableptical"
"alim","ableptically"
"alimbubu","abler"
"alimentasi","ables"
"alimenter","ablesse"
"alimiah","ablest"
"alimiat","ablet"
"alimun","ablewhackets"
"alin","ably"
"alinea","ablings"
"aling","ablins"
"alip","ablock"
"alir","abloom"
"alis","ablow"
"alisiklik","ABLS"
"alit","ablude"
"aliterasi","abluent"
"alizarin","abluents"
"aljabar","ablush"
"aljalil","ablute"
"alkabir","abluted"
"alkadim","ablution"
"alkadir","ablutionary"
"alkah","ablutions"
"alkali","abluvion"
"alkalinitas","ABM"
"alkalis","abmho"
"alkaloid","abmhos"
"alkalometri","abmodality"
"alkamar","abmodalities"
"alkana","abn"
"alkari","Abnaki"
"alkasyaf","Abnakis"
"alkausar","abnegate"
"alkena","abnegated"
"alkil","abnegates"
"alkimia","abnegating"
"alkisah","abnegation"
"alkitab","abnegations"
"alkohol","abnegative"
"alkoholis","abnegator"
"alkoholisasi","abnegators"
"alkoholisme","Abner"
"alkoholometer","abnerval"
"alku","abnet"
"alkuna","abneural"
"alkus","abnormal"
"allah","abnormalcy"
"allahu","abnormalcies"
"allahuma","abnormalise"
"almaktub","abnormalised"
"almalik","abnormalising"
"almalun","abnormalism"
"almamater","abnormalist"
"almanak","abnormality"
"almandin","abnormalities"
"almandina","abnormalize"
"almandit","abnormalized"
"almarhum","abnormalizing"
"almarhumah","abnormally"
"almasih","abnormalness"
"almuazam","abnormals"
"almukhlis","abnormity"
"alobar","abnormities"
"alofon","abnormous"
"alograf","abnumerable"
"aloi","Abo"
"alokasi","aboard"
"alokron","aboardage"
"aloleks","Abobra"
"alomerisme","abococket"
"alomorf","abodah"
"alon","abode"
"alonim","aboded"
"alopati","abodement"
"alopesia","abodes"
"alot","abode's"
"alotropi","abody"
"alpa","aboding"
"alpaka","abogado"
"alperes","abogados"
"alpukah","abohm"
"alquran","abohms"
"altar","aboideau"
"alter","aboideaus"
"alteratif","aboideaux"
"alternasi","aboil"
"alternatif","aboiteau"
"alternator","aboiteaus"
"altimeter","aboiteaux"
"alto","abolete"
"altokumulus","abolish"
"altostratus","abolishable"
"altruis","abolished"
"altruisme","abolisher"
"altruistis","abolishers"
"alu","abolishes"
"alu-alu","abolishing"
"alufiru","abolishment"
"alum","abolishments"
"alumina","abolishment's"
"aluminium","abolition"
"alumni","abolitionary"
"alumnus","abolitionise"
"alun","abolitionised"
"alun-alun","abolitionising"
"alung","abolitionism"
"alup","abolitionist"
"alur","abolitionists"
"alur-alur","abolitionize"
"alusi","abolitionized"
"aluvial","abolitionizing"
"aluvium","abolitions"
"alveolar","abolla"
"alveolum","abollae"
"alveolus","aboma"
"alwah","abomas"
"alwasi","abomasa"
"alwasia","abomasal"
"am","abomasi"
"ama","abomasum"
"amabakdu","abomasus"
"amah","abomasusi"
"amai-amai","A-bomb"
"amal","abominability"
"amalgam","abominable"
"amalgamasi","abominableness"
"amalgamator","abominably"
"amaliah","abominate"
"aman","abominated"
"amanah","abominates"
"amanat","abominating"
"amandel","abomination"
"amandemen","abominations"
"amang","abominator"
"amanitin","abominators"
"amar","abomine"
"amarilis","abondance"
"amat","Abongo"
"amatir","abonne"
"amatirisme","abonnement"
"amatol","aboon"
"ambah","aborad"
"ambah-ambah","aboral"
"ambai","aborally"
"ambai-ambai","abord"
"ambak","Aboriginal"
"ambal","aboriginality"
"ambalang","aboriginally"
"ambalela","aboriginals"
"ambang","aboriginary"
"ambar","Aborigine"
"ambarau","aborigines"
"ambasade","aborigine's"
"ambasador","Abor-miri"
"ambau","Aborn"
"ambeien","aborning"
"ambek","a-borning"
"amben","aborsement"
"amberal","aborsive"
"ambergris","abort"
"amberit","aborted"
"ambet","aborter"
"ambi","aborters"
"ambigu","aborticide"
"ambiguitas","abortient"
"ambil","abortifacient"
"ambilingual","abortin"
"ambin","aborting"
"ambing","abortion"
"ambisi","abortional"
"ambisius","abortionist"
"ambivalen","abortionists"
"ambivalensi","abortions"
"amblas","abortion's"
"amblek","abortive"
"ambles","abortively"
"ambliobia","abortiveness"
"amboi","abortogenic"
"ambreng-ambrengan","aborts"
"ambring","abortus"
"ambrol","abortuses"
"ambruk","abos"
"ambu-ambu","abote"
"ambuh","Abott"
"ambul","abouchement"
"ambulakral","aboudikro"
"ambulans","abought"
"ambulatori","Aboukir"
"ambung","aboulia"
"ambung-ambung","aboulias"
"ambur","aboulic"
"amburadul","abound"
"ambyar","abounded"
"ameba","abounder"
"amebiasis","abounding"
"ameboid","aboundingly"
"amebosit","abounds"
"ameliorasi","Abourezk"
"amelioratif","about"
"amen","about-face"
"amendemen","about-faced"
"amenorea","about-facing"
"amensalisme","abouts"
"amenta","about-ship"
"amerisium","about-shipped"
"amerospora","about-shipping"
"amerta","about-sledge"
"ametabola","about-turn"
"ametis","above"
"ametobola","aboveboard"
"amfetamin","above-board"
"amfiartrosis","above-cited"
"amfibi","abovedeck"
"amfibol","above-found"
"amfibolisme","above-given"
"amfiston","aboveground"
"amfiteater","abovementioned"
"amfoterik","above-mentioned"
"ami","above-named"
"amigdalin","aboveproof"
"amikal","above-quoted"
"amil","above-reported"
"amilase","aboves"
"amilopektin","abovesaid"
"amin","above-said"
"amin-amin","abovestairs"
"amina","above-water"
"aminisasi","above-written"
"amino","abow"
"amir","abox"
"amirulbahar","Abp"
"amirulhaj","ABPC"
"amirulmukminin","Abqaiq"
"amis","abr"
"amit","abr."
"amit-amit","Abra"
"amitosir","abracadabra"
"amko","abrachia"
"ammeter","abrachias"
"amnesia","abradable"
"amnesti","abradant"
"amnion","abradants"
"amniotik","abrade"
"amoi","abraded"
"amonia","abrader"
"amonifikasi","abraders"
"amonit","abrades"
"amonium","abrading"
"amor","Abraham"
"amoral","Abrahamic"
"amorf","Abrahamidae"
"amortisasi","Abrahamite"
"ampai","Abrahamitic"
"ampang","Abraham-man"
"ampas","Abrahams"
"ampat","Abrahamsen"
"ampe","Abrahan"
"ampean","abray"
"ampek","abraid"
"ampel","Abram"
"ampela","Abramis"
"ampelam","Abramo"
"ampelas","Abrams"
"ampere","Abramson"
"amperemeter","Abran"
"amperometri","abranchial"
"ampisilin","abranchialism"
"amplas","abranchian"
"amplifikasi","Abranchiata"
"amplitudo","abranchiate"
"amplop","abranchious"
"ampo","abrasax"
"amprok","abrase"
"amprung","abrased"
"ampu","abraser"
"ampuh","abrash"
"ampuk","abrasing"
"ampul","abrasiometer"
"ampula","abrasion"
"ampun","abrasions"
"amput","abrasion's"
"amputasi","abrasive"
"amra","abrasively"
"amril","abrasiveness"
"amsal","abrasivenesses"
"amtenar","abrasives"
"amuba","abrastol"
"amuh","abraum"
"amuk","abraxas"
"amulet","abrazite"
"amung","abrazitic"
"amunisi","abrazo"
"ana","abrazos"
"anabasis","abreact"
"anabiosis","abreacted"
"anabolisme","abreacting"
"anadrom","abreaction"
"anaerob","abreactions"
"anaerobik","abreacts"
"anafilaksis","abreast"
"anafora","abreed"
"anaforis","abrege"
"anafrodisiak","abreid"
"anaglif","abrenounce"
"anai-anai","abrenunciate"
"anak","abrenunciation"
"anakoluton","abreption"
"anakronisme","abret"
"anakronistis","abreuvoir"
"anakrus","abri"
"anal","abrico"
"analekta","abricock"
"analeptik","abricot"
"analgesik","abridgable"
"analis","abridge"
"analisis","abridgeable"
"analitis","abridged"
"analog","abridgedly"
"analogi","abridgement"
"analseks","abridgements"
"analsit","abridger"
"anamel","abridgers"
"anamnesis","abridges"
"anamorfosis","abridging"
"ananda","abridgment"
"anang","abridgments"
"anani","abrim"
"anapes","abrin"
"anaptiksis","abrine"
"anarki","abris"
"anarkis","abristle"
"anarkisme","abroach"
"anarkistis","abroad"
"anasional","Abrocoma"
"anasir","abrocome"
"anastomosis","abrogable"
"anatase","abrogate"
"anatomi","abrogated"
"anatomis","abrogates"
"anbia","abrogating"
"anca","abrogation"
"ancai","abrogations"
"ancak","abrogative"
"ancak-ancak","abrogator"
"ancala","abrogators"
"ancam","Abroma"
"ancang","Abroms"
"ancar-ancar","Abronia"
"ancoa","abrood"
"ancol","abrook"
"ancuk","abrosia"
"anda","abrosias"
"andai","abrotanum"
"andak","abrotin"
"andaka","abrotine"
"andal","abrupt"
"andalas","abruptedly"
"andalusit","abrupter"
"andam","abruptest"
"andan","abruptio"
"andang","abruption"
"andang-andang","abruptiones"
"andapita","abruptly"
"andar","abruptness"
"andarah","Abrus"
"andeng-andeng","Abruzzi"
"anderak","ABS"
"andesit","abs-"
"andewi","Absa"
"andika","Absalom"
"andiko","absampere"
"andil","Absaraka"
"andilau","Absaroka"
"andok","Absarokee"
"andong","absarokite"
"andragogi","ABSBH"
"andrawina","abscam"
"androgen","abscess"
"androgini","abscessed"
"androgogi","abscesses"
"androlog","abscessing"
"andrologi","abscession"
"anduh","abscessroot"
"andung","abscind"
"andur","abscise"
"aneh","abscised"
"aneka","abscises"
"anekdot","abscisin"
"aneksasi","abscising"
"anemer","abscisins"
"anemia","abscision"
"anemofili","absciss"
"anemograf","abscissa"
"anemogram","abscissae"
"anemometer","abscissas"
"aneroid","abscissa's"
"anestesi","abscisse"
"anestesia","abscissin"
"anestesiolog","abscission"
"anestetis","abscissions"
"aneuploid","absconce"
"aneurisme","abscond"
"anfas","absconded"
"angah","abscondedly"
"angan","abscondence"
"angel","absconder"
"angga","absconders"
"anggai","absconding"
"anggak","absconds"
"anggal","absconsa"
"anggan","abscoulomb"
"anggap","abscound"
"anggar","Absecon"
"anggara","absee"
"anggau","absey"
"anggerka","abseil"
"anggit","abseiled"
"angglap","abseiling"
"anggorokasih","abseils"
"anggota","absence"
"anggrek","absences"
"anggrekwan","absence's"
"angguh","absent"
"angguk","absentation"
"anggul","absented"
"anggun","absentee"
"anggung","absenteeism"
"anggung-anggip","absentees"
"anggur","absentee's"
"anggut","absenteeship"
"anghun","absenter"
"angin","absenters"
"angina","absentia"
"angiogenesis","absenting"
"angiologi","absently"
"angiosperma","absentment"
"angit","absentminded"
"angka","absent-minded"
"angkak","absentmindedly"
"angkal-angkal","absent-mindedly"
"angkara","absentmindedness"
"angkasa","absent-mindedness"
"angkasawan","absentmindednesses"
"angkasawati","absentness"
"angkat","absents"
"angkel","absfarad"
"angker","abshenry"
"angket","Abshier"
"angkin","Absi"
"angkit","absinth"
"angklung","absinthe"
"angkong","absinthes"
"angkring","absinthial"
"angku","absinthian"
"angkuh","absinthiate"
"angkuk","absinthiated"
"angkul-angkul","absinthiating"
"angkup","absinthic"
"angkur","absinthiin"
"angkus","absinthin"
"angkusa","absinthine"
"angkut","absinthism"
"angkut-angkut","absinthismic"
"angler","absinthium"
"anglo","absinthol"
"anglong","absinthole"
"anglung","absinths"
"angon","Absyrtus"
"angop","absis"
"angot","absist"
"angpau","absistos"
"angsa","absit"
"angsana","absmho"
"angsoka","absohm"
"angsu","absoil"
"angsur","absolent"
"angus","Absolute"
"angut","absolutely"
"anhidrosis","absoluteness"
"ani","absoluter"
"ani-ani","absolutes"
"aniaya","absolutest"
"anil","absolution"
"anilina","absolutions"
"animasi","absolutism"
"animis","absolutist"
"animisme","absolutista"
"animo","absolutistic"
"aning-aning","absolutistically"
"anion","absolutists"
"aniridia","absolutive"
"anis","absolutization"
"anisogamet","absolutize"
"anisogami","absolutory"
"anisokoria","absolvable"
"anisotropis","absolvatory"
"anja","absolve"
"anjak","absolved"
"anjal","absolvent"
"anjang","absolver"
"anjang-anjang","absolvers"
"anjangkarya","absolves"
"anjangsana","absolving"
"anjar","absolvitor"
"anjiman","absolvitory"
"anjing","absonant"
"anjing-anjing","absonous"
"anjir","absorb"
"anjlok","absorbability"
"anju","absorbable"
"anjung","absorbance"
"anjur","absorbancy"
"ankilosis","absorbant"
"anoa","absorbed"
"anode","absorbedly"
"anodin","absorbedness"
"anofeles","absorbefacient"
"anoksemia","absorbency"
