"Samoan","English"
"atigi","Abarambo"
"atinae","Abarbarea"
"atina'e","Abaris"
"ato","abarthrosis"
"atoa","abarticular"
"atoatoa","abarticulation"
"atotupe","Abas"
"atua","abase"
"atuatuvale","abased"
"atugaluga","abasedly"
"atulaulau","abasedness"
"atunuu","abasement"
"au","abasements"
"a'u","abaser"
"'au","abasers"
"aū","abases"
"aua","Abasgi"
"auai","abash"
"auala","abashed"
"auauna","abashedly"
"auaunaga","abashedness"
"aufaigaluega","abashes"
"auiliili","abashing"
"auiliiliga","abashless"
"au'ili'iliga","abashlessly"
"Aukuso","abashment"
"aulelei","abashments"
"aumai","abasia"
"aunese","abasias"
"auro","abasic"
"ausa","abasing"
"ausia","abasio"
"autau","abask"
"autu","abassi"
"auupega","Abassieh"
"auvaa","Abassin"
"auvae","abastard"
"ava","abastardize"
"avanoa","abastral"
"avatu","abatable"
"ave","abatage"
"avea","Abate"
"aveese","abated"
"aveeseina","abatement"
"avega","abatements"
"averesi","abater"
"avetaavale","abaters"
"aveta'avale","abates"
"biology","abatic"
"blog","abating"
"boom","abatis"
"bug","abatised"
"burger","abatises"
"cab","abatjour"
"cafe","abatjours"
"carbohydrate","abaton"
"cd","abator"
"ceo","abators"
"cholesterol","ABATS"
"code","abattage"
"cotton","abattis"
"demokalafi","abattised"
"dna","abattises"
"doc","abattoir"
"download","abattoirs"
"dynamics","abattu"
"e","abattue"
"ea","Abatua"
"ee","abature"
"eh","abaue"
"eka","abave"
"ekalesia","abaxial"
"eleele","abaxile"
"elefane","abaze"
"elemene","abb"
"eletise","Abba"
"eli","abbacy"
"emeperoa","abbacies"
"epikopo","abbacomes"
"eria","Abbadide"
"ese","Abbai"
"eseese","abbaye"
"eseesega","abbandono"
"esetete","abbas"
"Europa","abbasi"
"evolusione","Abbasid"
"fa","abbassi"
"fa'a'aisa","Abbassid"
"fa'aali","Abbasside"
"fa'aalia","Abbate"
"fa'aaliali","abbatial"
"faaaliga","abbatical"
"fa'aaliga","abbatie"
"faaaloalo","Abbe"
"fa'aaloalo","Abbey"
"fa'aalu","abbeys"
"fa'aaogaina","abbey's"
"faaauau","abbeystead"
"fa'aauau","abbeystede"
"faaauupegaina","abbes"
"faaeletonika","abbess"
"faaesea","abbesses"
"fa'aeteete","abbest"
"fa'afaigaluega","Abbevilean"
"faafaigofie","Abbeville"
"faafailele","Abbevillian"
"faafanua","Abbi"
"faafeagai","Abby"
"fa'afeagai","Abbie"
"fa'afealofani","Abbye"
"fa'afefe","Abbyville"
"fa'afefea","abboccato"
"fa'afefiloi","abbogada"
"faafeiloai","Abbot"
"fa'afeiloa'i","abbotcy"
"fa'afeso'ota'i","abbotcies"
"faafetai","abbotnullius"
"fa'afetai","abbotric"
"faʻafetai","abbots"
"fa'afetaia'i","abbot's"
"fa'afeusuaiga","Abbotsen"
"fa'afia","Abbotsford"
"faafiafiaga","abbotship"
"faafitauli","abbotships"
"faafitia","Abbotson"
"fa'afoe","Abbotsun"
"faafoliga","Abbott"
"fa'afoliga","Abbottson"
"faafomai","Abbottstown"
"fa'afouga","Abboud"
"fa'afuase'i","abbozzo"
"faagaeetia","ABBR"
"fa'agaioiga","abbrev"
"faagalogalo","abbreviatable"
"fa'a'i","abbreviate"
"faaili","abbreviated"
"fa'ailo","abbreviately"
"faailoa","abbreviates"
"fa'ailoaga","abbreviating"
"faailoga","abbreviation"
"fa'ailoga","abbreviations"
"faailoilo","abbreviator"
"faaipoipo","abbreviatory"
"fa'aipoipo","abbreviators"
"faaipoipoga","abbreviature"
"faaipoipopga","abbroachment"
"faa-Islama","ABC"
"fa'aitiiti","abcess"
"faaitiitia","abcissa"
"fa'aitiitiga","abcoulomb"
"fa'aituau","ABCs"
"faaitulagi","abd"
"faaiuga","abdal"
"fa'ai'uga","abdali"
"faaiuina","abdaria"
"fa'akolone","abdat"
"faalagolago","Abdel"
"fa'alagolago","Abd-el-Kadir"
"faalapotopotoga","Abd-el-Krim"
"fa'alapotopotoga","Abdella"
"faalataina","Abderhalden"
"fa'alatalata","Abderian"
"faalauaitele","Abderite"
"faalauiloa","Abderus"
"fa'alauiloa","abdest"
"faalautele","Abdias"
"fa'alautele","abdicable"
"fa'alauteleina","abdicant"
"fa'alava","abdicate"
"fa'alavelave","abdicated"
"fa'aleaga","abdicates"
"faaleagafesootai","abdicating"
"faaleagaga","abdication"
"fa'aleagaina","abdications"
"fa'aleaogaina","abdicative"
"faalelagona","abdicator"
"faalelalolagi","Abdiel"
"faaleleia","abditive"
"fa'aleleia","abditory"
"faaleoga","abdom"
"faaleoleo","abdomen"
"fa'aletagata","abdomens"
"faaletausaga","abdomen's"
"faaletino","abdomina"
"faaletonu","abdominal"
"fa'aletonu","Abdominales"
"fa'aletulafono","abdominalia"
"fa'alili","abdominalian"
"fa'aliliu","abdominally"
"fa'aliliuga","abdominals"
"fa'alilolilo","abdominoanterior"
"faalogo","abdominocardiac"
"fa'alogo","abdominocentesis"
"fa'aloloa","abdominocystic"
"faalotolotolua","abdominogenital"
"fa'alua","abdominohysterectomy"
"faʻalua","abdominohysterotomy"
"fa'amafanafanaga","abdominoposterior"
"faamagalo","abdominoscope"
"faama'i","abdominoscopy"
"fa'ama'i","abdominothoracic"
"faamalama","abdominous"
"faamalie","abdomino-uterotomy"
"faamalieina","abdominovaginal"
"faamalolo","abdominovesical"
"fa'amalosi","Abdon"
"faamalosia","Abdu"
"fa'amalosia","abduce"
"faamalosiau","abduced"
"faamalositino","abducens"
"faamama","abducent"
"fa'amāmā","abducentes"
"faamamafa","abduces"
"faamanatu","abducing"
"fa'amanatuga","abduct"
"fa'amanino","abducted"
"faamanuia","abducting"
"fa'amanuiaga","abduction"
"faamaoni","abductions"
"fa'amaoni","abduction's"
"faamaonia","abductor"
"fa'amaonia","abductores"
"faamaoniga","abductors"
"fa'amaoniga","abductor's"
"faamaopoopo","abducts"
"faamaoti","Abdul"
"faamasino","Abdul-Aziz"
"fa'amasino","Abdul-baha"
"faamasinoga","Abdulla"
"faamatala","Abe"
"fa'amatala","a-be"
"fa'amatalaga","abeam"
"fa'amata'u","abear"
"faamau","abearance"
"faamaualuga","Abebi"
"fa'amaufa'ailoga","abecedaire"
"faamaumauga","abecedary"
"fa'amaumauga","abecedaria"
"faamavae","abecedarian"
"faamemelo","abecedarians"
"fa'amimigi","abecedaries"
"faamisi","abecedarium"
"faamoega","abecedarius"
"faamoemoe","abed"
"fa'amoemoe","abede"
"fa'amoemoega","abedge"
"faamoemoeina","Abednego"
"faʻamolemole","abegge"
"faamuamua","Abey"
"faanatinati","abeyance"
"fa'anatura","abeyances"
"fa'anaunauga","abeyancy"
"fa'anaunauta'iga","abeyancies"
"faaniukilia","abeyant"
"faanoanoa","abeigh"
"fa'anoanoa","ABEL"
"faʻanoanoa","Abelard"
"faanoanoaga","abele"
"fa'aofi","abeles"
"fa'aoga","Abelia"
"fa'aogatonu","Abelian"
"faaola","Abelicea"
"faaonaponei","Abelite"
"fa'aonaponei","Abell"
"faaopoopo","Abelmoschus"
"fa'aopoopo","abelmosk"
"fa'aopoopoga","abelmosks"
"faaoso","abelmusk"
"fa'aoso","Abelonian"
"fa'aosofia","Abelson"
"fa'aosofiaga","abeltree"
"faapaiaina","Abencerrages"
"faapalepale","abend"
"faapaologa","abends"
"faapea","Abenezra"
"fa'apea","abenteric"
"faapena","Abeokuta"
"fa'apena","abepithymia"
"fa'apipi'i","ABEPP"
"faapitoa","Abercromby"
"fa'apitoa","Abercrombie"
"faapolofesa","Aberdare"
"faapolokiki","aberdavine"
"faapotopoto","Aberdeen"
"fa'apotopotoga","Aberdeenshire"
"faaputuga","aberdevine"
"fa'asa","Aberdonian"
"fa'asā","aberduvine"
"faasaga","Aberfan"
"fa'asagatau","Aberglaube"
"faasaienisi","Aberia"
"faasalaga","Aberystwyth"
"fa'asalaga","Abernant"
"fa'asalaina","Abernathy"
"fa'asalalau","abernethy"
"faʻasalalau","Abernon"
"fa'asalalauga","aberr"
"faasamasamanoa","aberrance"
"faasao","aberrancy"
"fa'asao","aberrancies"
"faasa'oga","aberrant"
"fa'asaoloto","aberrantly"
"fa'asapani","aberrants"
"faasea","aberrate"
"faasee","aberrated"
"fa'ase'e","aberrating"
"faasino","aberration"
"faasinomaga","aberrational"
"faasitepu","aberrations"
"faasoa","aberrative"
"fa'asoa","aberrator"
"faasolitulafono","aberrometer"
"fa'asologa","aberroscope"
"fa'asolopito","Abert"
"fa'ata","aberuncate"
"faataamilo","aberuncator"
"faataapeapeina","abesse"
"faatafunaga","abessive"
"faataga","abet"
"fa'ataga","abetment"
"faatagaga","abetments"
"fa'atagata","abets"
"faataitai","abettal"
"fa'ata'ita'i","abettals"
"faataitaiga","abetted"
"fa'ata'ita'iga","abetter"
"fa'atalanoa","abetters"
"faatalanoaga","abetting"
"faatali","abettor"
"fa'atalitali","abettors"
"faatalitonu","Abeu"
"fa'ata'oto","abevacuation"
"faatapulaa","abfarad"
"fa'atapula'aina","abfarads"
"faatasi","ABFM"
"fa'atasi","Abgatha"
"faʻatasi","ABHC"
"fa'atasiga","abhenry"
"faatatau","abhenries"
"fa'atatau","abhenrys"
"fa'atatauga","abhinaya"
"fa'atau","abhiseka"
"faatauanau","abhominable"
"faatauga","abhor"
"fa'atauga","abhorred"
"faataulaitu","abhorrence"
"fa'ataulāitu","abhorrences"
"fa'atauoloa","abhorrency"
"fa'atauvaga","abhorrent"
"fa'ate'a","abhorrently"
"fa'atekinisi","abhorrer"
"faateleina","abhorrers"
"fa'ateleina","abhorrible"
"faatemokalasi","abhorring"
"faatiga","abhors"
"faatino","Abhorson"
"fa'atino","ABI"
"faatinoga","aby"
"faatoaga","Abia"
"fa'ato'aga","Abiathar"
"faatoesega","Abib"
"faatonu","abichite"
"fa'atonu","abidal"
"faatonuga","abidance"
"fa'atonuga","abidances"
"faatonutonu","abidden"
"faatosina","abide"
"faatosinaga","abided"
"faatuatua","abider"
"faatuatuaina","abiders"
"faatufugaga","abides"
"faatuina","abidi"
"fa'atulafono","abiding"
"faatulaga","abidingly"
"faatulagaga","abidingness"
"fa'atumu","Abidjan"
"fa'atupega","Abydos"
"fa'atupu","Abie"
"fa'atusa","abye"
"faatusatusa","abied"
"faatusatusaga","abyed"
"faatusitala","abiegh"
"fa'auigaga","abience"
"faauma","abient"
"fa'aumatia","Abies"
"faauo","abyes"
"faauoga","abietate"
"fa'aupuga","abietene"
"fa'au'u","abietic"
"fa'au'uga","abietin"
"faavaa","Abietineae"
"faavae","abietineous"
"fa'avae","abietinic"
"fa'avaivai","abietite"
"faavalevalea","Abiezer"
"fa'avalevalea","Abigael"
"faavaomalo","Abigail"
"fa'avasega","abigails"
"fa'avasegaga","abigailship"
"fa'avevela","Abigale"
"fafaga","abigeat"
"fafie","abigei"
"fafine","abigeus"
"fafo","Abihu"
"faga","abying"
"fagafao","Abijah"
"fagota","Abyla"
"fagu","abilao"
"fai","Abilene"
"fa'i","abiliment"
"faia","Abilyne"
"fai'ai","abilitable"
"faia'ina","ability"
"faiaoga","abilities"
"faifaatoaga","ability's"
"faifeau","abilla"
"faife'au","abilo"
"faiga","abime"
"faigapaaga","Abimelech"
"faigata","Abineri"
"faigofie","Abingdon"
"faila","Abinger"
"failauga","Abington"
"failautusi","Abinoam"
"faimamago","Abinoem"
"faimusika","abintestate"
"faioloa","abiogeneses"
"faipule","abiogenesis"
"faitalia","abiogenesist"
"faitau","abiogenetic"
"faitautusi","abiogenetical"
"faitio","abiogenetically"
"faitioga","abiogeny"
"faitotoa","abiogenist"
"faitoto'a","abiogenous"
"faiva","abiology"
"Falani","abiological"
"falaoa","abiologically"
"falaoamata","abioses"
"fale","abiosis"
"faleaiga","abiotic"
"faleaoga","abiotical"
"falegaosimea","abiotically"
"faleie","abiotrophy"
"falelauasiga","abiotrophic"
"falemai","Abipon"
"falema'i","Abiquiu"
"falemataaga","abir"
"faleoloa","abirritant"
"fale'oloa","abirritate"
"falepuipui","abirritated"
"falesa","abirritating"
"falesuesue","abirritation"
"faleta'alo","abirritative"
"faletaavale","abys"
"faletaele","Abisag"
"faletalimalo","Abisha"
"faletele","Abishag"
"faleteuoloa","Abisia"
"faletupe","abysm"
"faletusi","abysmal"
"faleuila","abysmally"
"fana","abysms"
"fanua","Abyss"
"fao","abyssa"
"faomea","abyssal"
"fasefulu","abysses"
"fasi","Abyssinia"
"fasifuaitau","Abyssinian"
"fasilaau","abyssinians"
"fasimea","abyssobenthonic"
"fasimoli","abyssolith"
"fasioti","abyssopelagic"
"fata","abyss's"
"fatafata","abyssus"
"fati","abiston"
"fatu","abit"
"fatufatuga","Abitibi"
"fatuga","Abiu"
"faufautua","abiuret"
"fausaga","Abixah"
"fausia","abject"
"fausiaina","abjectedness"
"fautua","abjection"
"fautuaga","abjections"
"fautuaina","abjective"
"feagai","abjectly"
"feagaiga","abjectness"
"feanu","abjectnesses"
"feavea'i","abjoint"
"fe'avea'i","abjudge"
"fefa'ataua'iga","abjudged"
"fefe","abjudging"
"fefiloi","abjudicate"
"fefinauai","abjudicated"
"fegalegaleai","abjudicating"
"fegalegaleaiga","abjudication"
"feiloai","abjudicator"
"feiloaiga","abjugate"
"felafolafoaiga","abjunct"
"felagolagomai","abjunction"
"felauaiga","abjunctive"
"femalagaiga","abjuration"
"fenumiai","abjurations"
"feoa'i","abjuratory"
"feoaiga","abjure"
"feololo","abjured"
"Fepuari","abjurement"
"fesiitaiga","abjurer"
"fesili","abjurers"
"fesoasoani","abjures"
"fesootai","abjuring"
"fesootaiga","abkar"
"feso'ota'iga","abkari"
"fesuia'i","abkary"
"fesuiaiga","Abkhas"
"fetaui","Abkhasia"
"feteenaiga","Abkhasian"
"feterale","Abkhaz"
"fetolofi","Abkhazia"
"fetu","Abkhazian"
"fetuutuunai","abl"
"fetuutuunaiga","abl."
"feula","ablach"
"feusuaiga","ablactate"
"feutagai","ablactated"
"feutanaiga","ablactating"
"fia'ai","ablactation"
"fiafia","ablaqueate"
"fiafiaga","ablare"
"fiailoa","A-blast"
"fiasili","ablastemic"
"filemu","ablastin"
"fili","ablastous"
"filifili","ablate"
"filifilia","ablated"
"filifiliga","ablates"
"filo","ablating"
"filogia","ablation"
"filosofia","ablations"
"finau","ablatitious"
"finauga","ablatival"
"fisiki","ablative"
"fitafita","ablatively"
"fiti","ablatives"
"fitu","ablator"
"fiu","ablaut"
"fiva","ablauts"
"foafoa","ablaze"
"foafoaga","able"
"foa'i","able-bodied"
"fofo","able-bodiedness"
"fogafale","ableeze"
"fo'i","ablegate"
"fola","ablegates"
"folafola","ablegation"
"folafolaga","able-minded"
"folasaga","able-mindedness"
"folau","ablend"
"folauga","ableness"
"foliga","ablepharia"
"folo","ablepharon"
"foma'i","ablepharous"
"fomu","Ablepharus"
"fono","ablepsy"
"fonotaga","ablepsia"
"fosil","ableptical"
"fou","ableptically"
"fouvale","abler"
"fouvalega","ables"
"franchise","ablesse"
"fua","ablest"
"fu'a","ablet"
"fuā","ablewhackets"
"fuafua","ably"
"fuafuaga","ablings"
"fuaina","ablins"
"fuainumera","ablock"
"fuaiupu","abloom"
"fuamoa","ablow"
"fuck","ABLS"
"fucking","ablude"
"fufulu","abluent"
"fufusi","abluents"
"fuga","ablush"
"fuifui","ablute"
"fusi","abluted"
"fusifusia","ablution"
"fusipa'u","ablutionary"
"fusiua","ablutions"
"gafataulimaina","abluvion"
"gafatia","ABM"
"gagana","abmho"
"gaioiga","abmhos"
"galaxy","abmodality"
"galo","abmodalities"
"galu","abn"
"galue","Abnaki"
"galuega","Abnakis"
"ga'o","abnegate"
"gaogao","abnegated"
"gaoi","abnegates"
"gaoioi","abnegating"
"gaoioiga","abnegation"
"gaosiga","abnegations"
"gasegase","abnegative"
"gata","abnegator"
"gataifale","abnegators"
"gaugau","Abner"
"gaumativa","abnerval"
"gay","abnet"
"gene","abneural"
"gop","abnormal"
"goto","abnormalcy"
"Greek","abnormalcies"
"gugu","abnormalise"
"gutu","abnormalised"
"ha","abnormalising"
"Halloween","abnormalism"
"helikopa","abnormalist"
"hmm","abnormality"
"hockey","abnormalities"
"homone","abnormalize"
"huh","abnormalized"
"i","abnormalizing"
"ia","abnormally"
"i'a","abnormalness"
"i'amea","abnormals"
"Ianuari","abnormity"
"Iapani","abnormities"
"ie","abnormous"
"Igilisi","abnumerable"
"igoa","Abo"
"iina","aboard"
"iinei","aboardage"
"ili","Abobra"
"iloa","abococket"
"iloga","abodah"
"iloilo","abode"
"iloiloga","aboded"
"imeli","abodement"
"iniseti","abodes"
"inisi","abode's"
"inisinia","abody"
"inisitituti","aboding"
"inisiua","abogado"
"initaneti","abogados"
"Initia","abohm"
"inoino","abohms"
"inu","aboideau"
"inupia","aboideaus"
"inventory","aboideaux"
"ioe","aboil"
"ipad","aboiteau"
"iphone","aboiteaus"
"ipu","aboiteaux"
"Irania","abolete"
"iraqi","abolish"
"Isalama","abolishable"
"Isaraelu","abolished"
"isi","abolisher"
"isu","abolishers"
"isumu","abolishes"
"ita","abolishing"
"Italia","abolishment"
"itiiti","abolishments"
"itu","abolishment's"
"ituaiga","abolition"
"itula","abolitionary"
"itulagi","abolitionise"
"itulau","abolitionised"
"itumalo","abolitionising"
"itupa","abolitionism"
"i'uga","abolitionist"
"iugafono","abolitionists"
"Iuli","abolitionize"
"Iuni","abolitionized"
"iunite","abolitionizing"
"iunivesite","abolitions"
"Iutaia","abolla"
"iva","abollae"
"ivi","aboma"
"jazz","abomas"
"jeans","abomasa"
"kalafi","abomasal"
"kalama","abomasi"
"kalapu","abomasum"
"kalave","abomasus"
"kalena","abomasusi"
"kaliki","A-bomb"
"kalone","abominability"
"kalori","abominable"
"kamupani","abominableness"
"Kanata","abominably"
"kanesa","abominate"
"kapeneta","abominated"
"kapeta","abominates"
"kapeteni","abominating"
"kaponi","abomination"
"kapoti","abominations"
"kasegi","abominator"
"kasino","abominators"
"kata","abomine"
"Katoliko","abondance"
"kaupoe","Abongo"
"kegi","abonne"
"keke","abonnement"
"kelope","aboon"
"kemisi","aborad"
"kenera","aboral"
"Kerisiano","aborally"
"Kerisimasi","abord"
"kesi","Aboriginal"
"ki","aboriginality"
"kiki","aboriginally"
"kiliki","aboriginals"
"kilipa","aboriginary"
"kiona","Aborigine"
"kitara","aborigines"
"koale","aborigine's"
"kofe","Abor-miri"
"kola","Aborn"
"Kolea","aborning"
"kolisi","a-borning"
"kolone","aborsement"
"kolonel","aborsive"
"koluma","abort"
"komepiuta","aborted"
"komesina","aborter"
"komisi","aborters"
"komiti","aborticide"
"komunisi","abortient"
"konafesi","abortifacient"
"konaseti","abortin"
"konekarate","aborting"
"konetineta","abortion"
"kopi","abortional"
"kovana","abortionist"
"kuata","abortionists"
"kuka","abortions"
"kuki","abortion's"
"kulimi","abortive"
"la","abortively"
"laa","abortiveness"
"laau","abortogenic"
"lafo","aborts"
"lafoai","abortus"
"lafoa'i","abortuses"
"lafoga","abos"
"lafumanu","abote"
"lagi","Abott"
"lagolago","abouchement"
"lagona","aboudikro"
"laina","abought"
"laisene","Aboukir"
"laiti","aboulia"
"lakapi","aboulias"
"laki","aboulic"
"lala","abound"
"lalafi","abounded"
"lalelei","abounder"
"lalo","abounding"
"lalolagi","aboundingly"
"lamatia","abounds"
"lamolemole","Abourezk"
"lamu","about"
"lana","about-face"
"lanu","about-faced"
"lapata'i","about-facing"
"lapataiga","abouts"
"lapisi","about-ship"
"lapiti","about-shipped"
"lapotopoto","about-shipping"
"Latina","about-sledge"
"latou","about-turn"
"lau","above"
"laufanua","aboveboard"
"lauga","above-board"
"laugutu","above-cited"
"lauiloa","abovedeck"
"laulaau","above-found"
"laulau","above-given"
"laulaufaiva","aboveground"
"laumei","abovementioned"
"laumua","above-mentioned"
"laupapa","above-named"
"laupepa","aboveproof"
"lautele","above-quoted"
"lauti","above-reported"
"lauulu","aboves"
"lava","abovesaid"
"laveai","above-said"
"lavelave","abovestairs"
"lea","above-water"
"leaga","above-written"
"leai","abow"
"lefulefu","abox"
"leiloa","Abp"
"leisa","ABPC"
"leitio","Abqaiq"
"lele","abr"
"lelei","abr."
"lemu","Abra"
"lena","abracadabra"
"lenei","abrachia"
"leo","abrachias"
"leoleo","abradable"
"leoleoga","abradant"
"leona","abradants"
"leotele","abrade"
"lesitala","abraded"
"lesona","abrader"
"lifi","abraders"
"liki","abrades"
"liliu","abrading"
"lilo","Abraham"
"lima","Abrahamic"
"limamatua","Abrahamidae"
"li'o","Abrahamite"
"lipine","Abrahamitic"
"lipoti","Abraham-man"
"lisi","Abrahams"
"litaea","Abrahamsen"
"liua","Abrahan"
"liusuavai","abray"
"lobby","abraid"
"lofituina","Abram"
"logo","Abramis"
"loia","Abramo"
"loka","Abrams"
"lole","Abramson"
"loli","Abran"
"lologa","abranchial"
"lolomi","abranchialism"
"loloto","abranchian"
"lomiga","Abranchiata"
"lomitusi","abranchiate"
"loto","abranchious"
"lotoa","abrasax"
"lotofuatiaifo","abrase"
"lotogatasi","abrased"
"lotoifale","abraser"
"lotomalie","abrash"
"lototele","abrasing"
"lototoa","abrasiometer"
"lotu","abrasion"
"lou","abrasions"
"lo'u","abrasion's"
"lua","abrasive"
"luelue","abrasively"
"luga","abrasiveness"
"lu'i","abrasivenesses"
"lu'itau","abrasives"
"luko","abrastol"
"lulu","abraum"
"luma","abraxas"
"lumanai","abrazite"
"Lusia","abrazitic"
"lutena","abrazo"
"ma","abrazos"
"ma/poo","abreact"
"maa","abreacted"
"maafaamanatu","abreacting"
"ma'ai","abreaction"
"maaleale","abreactions"
"ma'ale'ale","abreacts"
"maasiasi","abreast"
"Mae","abreed"
"maea","abrege"
"mae'a","abreid"
"mae'ae'a","abrenounce"
"mafai","abrenunciate"
"mafanafana","abrenunciation"
"mafatia","abreption"
"mafaufau","abret"
"mafaufauga","abreuvoir"
"mafiafia","abri"
"mafolafola","abrico"
"mafuaaga","abricock"
"mafuaga","abricot"
"mafuie","abridgable"
"mafutaga","abridge"
"mago","abridgeable"
"mai","abridged"
"ma'i","abridgedly"
"maila","abridgement"
"maile","abridgements"
"mailei","abridger"
"maimoaga","abridgers"
"maitaga","abridges"
"maketi","abridging"
"maketiina","abridgment"
"mala","abridgments"
"malae","abrim"
"malaevaalele","abrin"
"malaga","abrine"
"malaia","abris"
"malamalama","abristle"
"malemo","abroach"
"malepe","abroad"
"malepelepe","Abrocoma"
"malie","abrocome"
"malifa","abrogable"
"maliliega","abrogate"
"malo","abrogated"
"malolo","abrogates"
"malologa","abrogating"
"maloloina","abrogation"
"malosi","abrogations"
"malu","abrogative"
"malulu","abrogator"
"malumalu","abrogators"
"malutaga","Abroma"
"mama","Abroms"
"māmā","Abronia"
"mamafa","abrood"
"mamalu","abrook"
"mamanu","abrosia"
"mamao","abrosias"
"mamoe","abrotanum"
"mana","abrotin"
"manaia","abrotine"
"manamea","abrupt"
"manao","abruptedly"
"manaoga","abrupter"
"mana'oga","abruptest"
"manaomia","abruptio"
"mana'omia","abruption"
"manatu","abruptiones"
"manatua","abruptly"
"manatunatu","abruptness"
"manatunatuga","Abrus"
"manava","Abruzzi"
"mānava","ABS"
"manifinifi","abs-"
"manino","Absa"
"manoa","Absalom"
"manogi","absampere"
"manu","Absaraka"
"manu'a","Absaroka"
"manuia","Absarokee"
"manuki","absarokite"
"manulele","ABSBH"
"manumalo","abscam"
"maoae","abscess"
"maosi","abscessed"
"maota","abscesses"
"mapu","abscessing"
"mapuea","abscession"
"mariuana","abscessroot"
"masaa","abscind"
"masaga","abscise"
"masalo","abscised"
"masalomia","abscises"
"masalosalo","abscisin"
"masalosaloga","abscising"
"masani","abscisins"
"masima","abscision"
"masina","absciss"
"masini","abscissa"
"masiofo","abscissae"
"maso","abscissas"
"mata","abscissa's"
"mataalia","abscisse"
"matafaga","abscissin"
"matafaioi","abscission"
"matagā","abscissions"
"matagaluega","absconce"
"matagi","abscond"
"matagofie","absconded"
"matai","abscondedly"
"mata'ina","abscondence"
"mata'itu","absconder"
"mata'ituina","absconders"
"matamata","absconding"
"matamuli","absconds"
"matau","absconsa"
"mataupu","abscoulomb"
"matautia","abscound"
"mata'utia","Absecon"
"matemate","absee"
"matematika","absey"
"Mati","abseil"
"matitiva","abseiled"
"mativa","abseiling"
"matou","abseils"
"matu","absence"
"matua","absences"
"matua'i","absence's"
"mau","absent"
"maua","absentation"
"mauaina","absented"
"maualalo","absentee"
"maualuga","absenteeism"
"mauga","absentees"
"mauoa","absentee's"
"mauoloa","absenteeship"
"mausa","absenter"
"mausalī","absenters"
"mautinoa","absentia"
"mautotogi","absenting"
"mautu","absently"
"mea","absentment"
"meaai","absentminded"
"mea'ai","absent-minded"
"meaalofa","absentmindedly"
"meaaoga","absent-mindedly"
"meafaigaluega","absentmindedness"
"meafaitino","absent-mindedness"
"meafale","absentmindednesses"
"mealilo","absentness"
"meaola","absents"
"meapueata","absfarad"
"measina","abshenry"
"meataalo","Abshier"
"meatotino","Absi"
"mekasini","absinth"
"Mekisiko","absinthe"
"meli","absinthes"
"metotia","absinthial"
