"Swahili","English"
"chanjo","abatises"
"chanya","abatjour"
"chanzo","abatjours"
"chapa","abaton"
"chapisho","abator"
"chati","abators"
"cheche","ABATS"
"Cheka","abattage"
"cheki","abattis"
"chelezo","abattised"
"chembe","abattises"
"chemchemi","abattoir"
"chemsha","abattoirs"
"cheo","abattu"
"cheti","abattue"
"chini","Abatua"
"chip","abature"
"chochote","abaue"
"chokoleti","abave"
"cholesterol","abaxial"
"choma","abaxile"
"chombo","abaze"
"Chonga","abb"
"choo","Abba"
"chujio","abbacy"
"chuki","abbacies"
"chuma","abbacomes"
"chumba","Abbadide"
"chumbani","Abbai"
"chumvi","abbaye"
"chungu","abbandono"
"chuo","abbas"
"chupa","abbasi"
"classic","Abbasid"
"classical","abbassi"
"cream","Abbassid"
"dada","Abbasside"
"dai","Abbate"
"daima","abbatial"
"dakika","abbatical"
"daktari","abbatie"
"dalili","Abbe"
"dampo","Abbey"
"damu","abbeys"
"daraja","abbey's"
"darasa","abbeystead"
"dari","abbeystede"
"darubini","abbes"
"data","abbess"
"dau","abbesses"
"dawa","abbest"
"dawati","Abbevilean"
"dazeni","Abbeville"
"demokrasia","Abbevillian"
"deni","Abbi"
"dereva","Abby"
"Desemba","Abbie"
"dessert","Abbye"
"desturi","Abbyville"
"dhahabu","abboccato"
"dhahania","abbogada"
"dhahiri","Abbot"
"dhaifu","abbotcy"
"dhamana","abbotcies"
"dhambi","abbotnullius"
"dhamira","abbotric"
"dhana","abbots"
"dharura","abbot's"
"dhibiti","Abbotsen"
"dhidi","Abbotsford"
"Dhima","abbotship"
"dhoruba","abbotships"
"dini","Abbotson"
"dirisha","Abbotsun"
"diski","Abbott"
"dna","Abbottson"
"doa","Abbottstown"
"dodoso","Abboud"
"dokezo","abbozzo"
"dola","ABBR"
"dondoo","abbrev"
"doria","abbreviatable"
"dosari","abbreviate"
"drift","abbreviated"
"droo","abbreviately"
"dua","abbreviates"
"dubu","abbreviating"
"dude","abbreviation"
"duka","abbreviations"
"Duka","abbreviator"
"dunia","abbreviatory"
"dutu","abbreviators"
"ego","abbreviature"
"ekari","abbroachment"
"elekeza","ABC"
"eleza","abcess"
"elfu","abcissa"
"elimu","abcoulomb"
"endelea","ABCs"
"endelevu","abd"
"endesha","abdal"
"eneo","abdali"
"eti","abdaria"
"fafanua","abdat"
"fahali","Abdel"
"fahamu","Abd-el-Kadir"
"Fahamu","Abd-el-Krim"
"fahari","Abdella"
"faida","Abderhalden"
"faili","Abderian"
"falsafa","Abderite"
"familia","Abderus"
"fantasia","abdest"
"fanya","Abdias"
"faragha","abdicable"
"faraja","abdicant"
"farasi","abdicate"
"fasihi","abdicated"
"fasta","abdicates"
"favorite","abdicating"
"Februari","abdication"
"fedha","abdications"
"fidia","abdicative"
"fikiri","abdicator"
"fikiria","Abdiel"
"fikra","abditive"
"filamu","abditory"
"fimbo","abdom"
"fisadi","abdomen"
"fizikia","abdomens"
"flash","abdomen's"
"fomu","abdomina"
"fomula","abdominal"
"franchise","Abdominales"
"fremu","abdominalia"
"fuatilia","abdominalian"
"fujo","abdominally"
"fukuza","abdominals"
"fulana","abdominoanterior"
"fulani","abdominocardiac"
"fumbo","abdominocentesis"
"fundi","abdominocystic"
"fundisha","abdominogenital"
"funga","abdominohysterectomy"
"funua","abdominohysterotomy"
"furaha","abdominoposterior"
"furahi","abdominoscope"
"fursa","abdominoscopy"
"futa","abdominothoracic"
"galaksi","abdominous"
"galoni","abdomino-uterotomy"
"ganda","abdominovaginal"
"gari","abdominovesical"
"gazeti","Abdon"
"genge","Abdu"
"gesi","abduce"
"ghafla","abduced"
"ghairi","abducens"
"ghalani","abducent"
"ghali","abducentes"
"gharama","abduces"
"ghasia","abducing"
"ghorofa","abduct"
"ghuba","abducted"
"gia","abducting"
"gitaa","abduction"
"giza","abductions"
"glavu","abduction's"
"gofu","abductor"
"gop","abductores"
"gorofa","abductors"
"gosh","abductor's"
"goti","abducts"
"grafu","Abdul"
"gramu","Abdul-Aziz"
"gundua","Abdul-baha"
"gunia","Abdulla"
"gurudumu","Abe"
"gwaride","a-be"
"ha","abeam"
"habari","abear"
"hadharani","abearance"
"hadithi","Abebi"
"hafifu","abecedaire"
"hai","abecedary"
"haiba","abecedaria"
"haijulikani","abecedarian"
"haiwezekani","abecedarians"
"haiwezi","abecedaries"
"haja","abecedarium"
"haki","abecedarius"
"hakika","abed"
"hakiki","abede"
"hakikisha","abedge"
"hakimiliki","Abednego"
"Hakimu","abegge"
"hakuna","Abey"
"halali","abeyance"
"hali","abeyances"
"halisi","abeyancy"
"halloween","abeyancies"
"hamasisha","abeyant"
"hamsini","abeigh"
"hamu","ABEL"
"handaki","Abelard"
"hang","abele"
"hapa","abeles"
"Hapana","Abelia"
"hapo","Abelian"
"haraka","Abelicea"
"harakati","Abelite"
"hariri","Abell"
"harufu","Abelmoschus"
"harusi","abelmosk"
"hasa","abelmosks"
"hasara","abelmusk"
"hasi","Abelonian"
"hasira","Abelson"
"hata","abeltree"
"hatari","Abencerrages"
"hati","abend"
"hatia","abends"
"hatima","Abenezra"
"hatimaye","abenteric"
"hatua","Abeokuta"
"haya","abepithymia"
"hazina","ABEPP"
"hekalu","Abercromby"
"hekima","Abercrombie"
"hela","Aberdare"
"helikopta","aberdavine"
"hema","Aberdeen"
"hesabu","Aberdeenshire"
"heshima","aberdevine"
"hewa","Aberdonian"
"hifadhi","aberduvine"
"Hifadhi","Aberfan"
"hifadhidata","Aberglaube"
"hii","Aberia"
"hila","Aberystwyth"
"himaya","Abernant"
"himiza","Abernathy"
"hisa","abernethy"
"hisabati","Abernon"
"hisani","aberr"
"hisia","aberrance"
"historia","aberrancy"
"hitaji","aberrancies"
"hitimisho","aberrant"
"Hitimu","aberrantly"
"hivyo","aberrants"
"hiyo","aberrate"
"hizo","aberrated"
"hmm","aberrating"
"hofu","aberration"
"hoja","aberrational"
"homa","aberrations"
"homoni","aberrative"
"hospitali","aberrator"
"hoteli","aberrometer"
"hotuba","aberroscope"
"hubiri","Abert"
"hudhuria","aberuncate"
"huduma","aberuncator"
"huenda","abesse"
"hujambo","abessive"
"hukumu","abet"
"huria","abetment"
"huru","abetments"
"huruma","abets"
"husika","abettal"
"hutegemea","abettals"
"hutumia","abetted"
"huzuni","abetter"
"hypothesis","abetters"
"i","abetting"
"idara","abettor"
"ijayo","abettors"
"Ijumaa","Abeu"
"ikijumuisha","abevacuation"
"ikiwezekana","abfarad"
"ikoni","abfarads"
"ikulu","ABFM"
"iliendelea","Abgatha"
"iliongezeka","ABHC"
"iliyoandikwa","abhenry"
"iliyobaki","abhenries"
"iliyopendekezwa","abhenrys"
"iliyopita","abhinaya"
"imani","abhiseka"
"imara","abhominable"
"imarisha","abhor"
"imba","abhorred"
"imefungwa","abhorrence"
"imezimwa","abhorrences"
"inadaiwa","abhorrency"
"inafaa","abhorrent"
"inahitajika","abhorrently"
"inakadiriwa","abhorrer"
"inaonekana","abhorrers"
"inapaswa","abhorrible"
"inapatikana","abhorring"
"inaripotiwa","abhors"
"inasumbua","Abhorson"
"inatisha","ABI"
"inaweza","aby"
"inawezekana","Abia"
"inayoendelea","Abiathar"
"inayohusu","Abib"
"inayojulikana","abichite"
"inayoonekana","abidal"
"inayoongoza","abidance"
"inayotarajiwa","abidances"
"inayowezekana","abidden"
"inayozunguka","abide"
"inazidi","abided"
"inchi","abider"
"index","abiders"
"Ingång","abides"
"ingawa","abidi"
"ingekuwa","abiding"
"ingia","abidingly"
"ingiza","abidingness"
"ini","Abidjan"
"injili","Abydos"
"injini","Abie"
"insha","abye"
"Inua","abied"
"ipad","abyed"
"ipasavyo","abiegh"
"iphone","abience"
"iraki","abient"
"ishara","Abies"
"ishirini","abyes"
"isipokuwa","abietate"
"isitoshe","abietene"
"isiyoaminika","abietic"
"isiyofaa","abietin"
"israeli","Abietineae"
"itakuwa","abietineous"
"itifaki","abietinic"
"itikadi","abietite"
"jadi","Abiezer"
"jamaa","Abigael"
"jamani","Abigail"
"jambo","abigails"
"jamhuri","abigailship"
"jamii","Abigale"
"jana","abigeat"
"janga","abigei"
"jangwa","abigeus"
"jani","Abihu"
"januari","abying"
"jar","Abijah"
"jaribio","Abyla"
"jaribu","abilao"
"jarida","Abilene"
"jasho","abiliment"
"jasiri","Abilyne"
"jasusi","abilitable"
"jaza","ability"
"jazi","abilities"
"jeans","ability's"
"jela","abilla"
"jenga","abilo"
"jengo","abime"
"jeni","Abimelech"
"jeraha","Abineri"
"jeshi","Abingdon"
"jeuri","Abinger"
"jibini","Abington"
"jibu","Abinoam"
"jicho","Abinoem"
"jifunze","abintestate"
"jikoni","abiogeneses"
"jimbo","abiogenesis"
"jina","abiogenesist"
"jinai","abiogenetic"
"jinamizi","abiogenetical"
"jino","abiogenetically"
"jinsia","abiogeny"
"jioni","abiogenist"
"jirani","abiogenous"
"jitahidi","abiology"
"jitihada","abiological"
"jitu","abiologically"
"jiuzulu","abioses"
"jiwe","abiosis"
"joka","abiotic"
"joto","abiotical"
"jozi","abiotically"
"jua","abiotrophy"
"juhudi","abiotrophic"
"juisi","Abipon"
"jukumu","Abiquiu"
"jukwaa","abir"
"julai","abirritant"
"jumamosi","abirritate"
"jumanne","abirritated"
"Jumapili","abirritating"
"jumatano","abirritation"
"jumatatu","abirritative"
"jumla","abys"
"jumuisha","Abisag"
"jumuiya","Abisha"
"Juni","Abishag"
"juror","Abisia"
"jury","abysm"
"juu","abysmal"
"kabati","abysmally"
"kabidhi","abysms"
"kabila","Abyss"
"kabisa","abyssa"
"kabla","abyssal"
"kabohaidreti","abysses"
"kaboni","Abyssinia"
"kaburi","Abyssinian"
"kadhaa","abyssinians"
"kadi","abyssobenthonic"
"kahawa","abyssolith"
"kahawia","abyssopelagic"
"kaka","abyss's"
"kalamu","abyssus"
"kale","abiston"
"Kalenda","abit"
"kali","Abitibi"
"kalori","Abiu"
"kama","abiuret"
"kamanda","Abixah"
"kamata","abject"
"kamati","abjectedness"
"kamba","abjection"
"kambi","abjections"
"kamera","abjective"
"kamili","abjectly"
"kamilisha","abjectness"
"kamishna","abjectnesses"
"kampeni","abjoint"
"kampuni","abjudge"
"kamwe","abjudged"
"Kanada","abjudging"
"kanali","abjudicate"
"kando","abjudicated"
"kanga","abjudicating"
"kanisa","abjudication"
"kanuni","abjudicator"
"karakana","abjugate"
"karanga","abjunct"
"karani","abjunction"
"karatasi","abjunctive"
"karibu","abjuration"
"karne","abjurations"
"kasa","abjuratory"
"kashfa","abjure"
"kasi","abjured"
"kasino","abjurement"
"kasirika","abjurer"
"kaskazini","abjurers"
"kata","abjures"
"kataza","abjuring"
"kategoria","abkar"
"kati","abkari"
"katiba","abkary"
"katibu","Abkhas"
"katika","Abkhasia"
"katikati","Abkhasian"
"katuni","Abkhaz"
"kauli","Abkhazia"
"kaunta","Abkhazian"
"kavu","abl"
"kawaida","abl."
"kaya","ablach"
"kazi","ablactate"
"kebo","ablactated"
"kejeli","ablactating"
"keki","ablactation"
"kelele","ablaqueate"
"kemia","ablare"
"kemikali","A-blast"
"kengele","ablastemic"
"kesho","ablastin"
"kesi","ablastous"
"kiafya","ablate"
"kiakili","ablated"
"kiapo","ablates"
"kiarabu","ablating"
"kiashirio","ablation"
"kiasi","ablations"
"kiatu","ablatitious"
"kibali","ablatival"
"kibanda","ablative"
"kibao","ablatively"
"kibayolojia","ablatives"
"kibiashara","ablator"
"kibodi","ablaut"
"kiburi","ablauts"
"kichaa","ablaze"
"kichaka","able"
"kichekesho","able-bodied"
"kicheko","able-bodiedness"
"kichocheo","ableeze"
"kichochezi","ablegate"
"kichupo","ablegates"
"kichwa","ablegation"
"kidevu","able-minded"
"kidijitali","able-mindedness"
"kidini","ablend"
"kidiplomasia","ableness"
"kidogo","ablepharia"
"kidokezo","ablepharon"
"kidole","ablepharous"
"kidonge","Ablepharus"
"kidunia","ablepsy"
"kielektroniki","ablepsia"
"kielelezo","ableptical"
"kielimu","ableptically"
"kifaa","abler"
"kifahari","ables"
"kifalme","ablesse"
"kifalsafa","ablest"
"Kifaransa","ablet"
"kifedha","ablewhackets"
"kifo","ably"
"kifua","ablings"
"kifungu","ablins"
"kifuniko","ablock"
"kifupi","abloom"
"kifurushi","ablow"
"kigaidi","ABLS"
"kigeni","ablude"
"kigezo","abluent"
"kigiriki","abluents"
"kihafidhina","ablush"
"kihalisi","ablute"
"kiharusi","abluted"
"kihisia","ablution"
"kihispania","ablutionary"
"Kihispania","ablutions"
"kihistoria","abluvion"
"Kiholanzi","ABM"
"kiingereza","abmho"
"kiingilio","abmhos"
"kiini","abmodality"
"kiirish","abmodalities"
"Kiitaliano","abn"
"kiitikadi","Abnaki"
"kijamii","Abnakis"
"kijana","abnegate"
"kijani","abnegated"
"Kijapani","abnegates"
"kijerumani","abnegating"
"kijeshi","abnegation"
"kijiji","abnegations"
"kijijini","abnegative"
"kijiko","abnegator"
"kijivu","abnegators"
"kikabila","Abner"
"kikaboni","abnerval"
"kikamilifu","abnet"
"kikanda","abneural"
"kikapu","abnormal"
"kikatiba","abnormalcy"
"kikatili","abnormalcies"
"kike","abnormalise"
"kikoa","abnormalised"
"kikombe","abnormalising"
"kikomo","abnormalism"
"kikomunisti","abnormalist"
"Kikorea","abnormality"
"kikosi","abnormalities"
"kikubwa","abnormalize"
"kikundi","abnormalized"
"kikwazo","abnormalizing"
"kila","abnormally"
"Kilatini","abnormalness"
"kilele","abnormals"
"kilima","abnormity"
"kilimo","abnormities"
"kimaadili","abnormous"
"kimaendeleo","abnumerable"
"kimapenzi","Abo"
"kimapokeo","aboard"
"kimataifa","aboardage"
"Kimbia","Abobra"
"kimbunga","abococket"
"kimkakati","abodah"
"kimsingi","abode"
"kimwili","aboded"
"kimya","abodement"
"kina","abodes"
"kinachojulikana","abode's"
"kinadharia","abody"
"kinda","aboding"
"kinga","abogado"
"kingono","abogados"
"kinu","abohm"
"kinyume","abohms"
"kiolesura","aboideau"
"kiongozi","aboideaus"
"kioo","aboideaux"
"kiota","aboil"
"kiotomatiki","aboiteau"
"kipaji","aboiteaus"
"kipande","aboiteaux"
"kipaumbele","abolete"
"kipekee","abolish"
"kipengee","abolishable"
"kipengele","abolished"
"kipenzi","abolisher"
"kipimo","abolishers"
"kipindi","abolishes"
"kipofu","abolishing"
"kirafiki","abolishment"
"kiraka","abolishments"
"kiroho","abolishment's"
"kirumi","abolition"
"Kirusi","abolitionary"
"kisaikolojia","abolitionise"
"kisanii","abolitionised"
"kisasa","abolitionising"
"kisayansi","abolitionism"
"kisheria","abolitionist"
"kisiasa","abolitionists"
"kisigino","abolitionize"
"kisiwa","abolitionized"
"kisu","abolitionizing"
"kisukari","abolitions"
"kisukuku","abolla"
"kitaaluma","abollae"
"kitabia","aboma"
"kitabu","abomas"
"kitaifa","abomasa"
"kitako","abomasal"
"kitambaa","abomasi"
"kitambulisho","abomasum"
"kitanda","abomasus"
"kitanzi","abomasusi"
"kiteknolojia","A-bomb"
"kitendo","abominability"
"kitengo","abominable"
"kiti","abominableness"
"kitivo","abominably"
"kitongoji","abominate"
"kitropiki","abominated"
"kitu","abominates"
"kitufe","abominating"
"kituko","abomination"
"kitunguu","abominations"
"kituo","abominator"
"kiuchumi","abominators"
"kiufundi","abomine"
"kiumbe","abondance"
"kiume","Abongo"
"kiungo","abonne"
"kiutamaduni","abonnement"
"kiutawala","aboon"
"kivinjari","aborad"
"kivuli","aboral"
"kivutio","aborally"
"kiwanda","abord"
"kiwango","Aboriginal"
"kiwanja","aboriginality"
"kiwewe","aboriginally"
"kiwiko","aboriginals"
"kizazi","aboriginary"
"kizingiti","Aborigine"
"kizuizi","aborigines"
"klabu","aborigine's"
"klipu","Abor-miri"
"kocha","Aborn"
"Kodi","aborning"
"kodisha","a-borning"
"kofi","aborsement"
"kofia","aborsive"
"kola","abort"
"koloni","aborted"
"kombora","aborter"
"kompyuta","aborters"
"kona","aborticide"
"konda","abortient"
"kondoo","abortifacient"
"kongamano","abortin"
"koo","aborting"
"kopesha","abortion"
"koroga","abortional"
"kosa","abortionist"
"kote","abortionists"
"koti","abortions"
"kozi","abortion's"
"Krismasi","abortive"
"kuacha","abortively"
"kuadhibu","abortiveness"
"kuagiza","abortogenic"
"kuahidi","aborts"
"kuajiri","abortus"
"kuaminika","abortuses"
"kuamka","abos"
"kuamua","abote"
"kuandaa","Abott"
"kuandamana","abouchement"
"kuandika","aboudikro"
"kuangalia","abought"
"kuangaza","Aboukir"
"kuanguka","aboulia"
"kuanza","aboulias"
"kuanzia","aboulic"
"kuanzisha","abound"
"kuanzishwa","abounded"
"kuashiria","abounder"
"kuathiri","abounding"
"kubadili","aboundingly"
"kubadilika","abounds"
"kubadilisha","Abourezk"
"kubadilishana","about"
"kubaki","about-face"
"kubali","about-faced"
"kubeba","about-facing"
"kubisha","abouts"
"kubishana","about-ship"
"kuboresha","about-shipped"
"kuboreshwa","about-shipping"
"kubuni","about-sledge"
"kubwa","about-turn"
"kuchagua","above"
"kuchambua","aboveboard"
"kuchanganya","above-board"
"kuchanganyikiwa","above-cited"
"kuchangia","abovedeck"
"kuchapisha","above-found"
"kuchekesha","above-given"
"kuchelewa","aboveground"
"kucheza","abovementioned"
"kuchimba","above-mentioned"
"kuchora","above-named"
"kuchukua","aboveproof"
"kuchunguza","above-quoted"
"kudai","above-reported"
"kudanganya","aboves"
"kudhani","abovesaid"
"kudhaniwa","above-said"
"kudhibiti","abovestairs"
"kudhoofisha","above-water"
"kudumisha","above-written"
"kudumu","abow"
"kuelea","abox"
"kuelekea","Abp"
"kuelewa","ABPC"
"kueleza","Abqaiq"
"kuelimisha","abr"
"kuendelea","abr."
"kuendeleza","Abra"
"kuendesha","abracadabra"
"kuenea","abrachia"
"kuepuka","abrachias"
"kuepukika","abradable"
"kufa","abradant"
"kufagia","abradants"
"kufahamu","abrade"
"kufanana","abraded"
"kufanikiwa","abrader"
"kufichua","abraders"
"kufifia","abrades"
"kufika","abrading"
"kufikia","Abraham"
"kufikiri","Abrahamic"
"kufikisha","Abrahamidae"
"kufilisika","Abrahamite"
"kufuata","Abrahamitic"
"kufuatilia","Abraham-man"
"kufuli","Abrahams"
"kufulia","Abrahamsen"
"kufundisha","Abrahan"
"kufungia","abray"
"kufurahia","abraid"
"kufuta","Abram"
"kugawanya","Abramis"
"kugeuka","Abramo"
"kugombea","Abrams"
"kugundua","Abramson"
"kugusa","Abran"
"kuguswa","abranchial"
"kuhakikisha","abranchialism"
"kuhalalisha","abranchian"
"kuhama","Abranchiata"
"kuhamasisha","abranchiate"
"kuhani","abranchious"
"kuharibu","abrasax"
"kuhifadhi","abrase"
"kuhimiza","abrased"
"kuhisi","abraser"
"kuhitimisha","abrash"
"kuhitimu","abrasing"
"kuhusiana","abrasiometer"
"kuhusika","abrasion"
"kuhusisha","abrasions"
"kuhusishwa","abrasion's"
"kuhusu","abrasive"
"kuiba","abrasively"
"kuibuka","abrasiveness"
"kuidhinisha","abrasivenesses"
"kuimarisha","abrasives"
"kuingia","abrastol"
"kuingiliana","abraum"
"kuinua","abraxas"
"kuishi","abrazite"
"kuja","abrazitic"
"kujadili","abrazo"
"kujadiliana","abrazos"
"kujali","abreact"
"kujenga","abreacted"
"kujeruhi","abreacting"
"kujiamini","abreaction"
"kujiandikisha","abreactions"
"kujieleza","abreacts"
"kujifanya","abreast"
"kujificha","abreed"
"kujifunza","abrege"
"kujihami","abreid"
"kujikwaa","abrenounce"
"kujitegemea","abrenunciate"
"kujitenga","abrenunciation"
"kujitia","abreption"
"kujitokeza","abret"
"kujitolea","abreuvoir"
"kujiua","abri"
"kujiunga","abrico"
"kujiviringisha","abricock"
"kujua","abricot"
"kukaa","abridgable"
"kukabiliana","abridge"
"kukamata","abridgeable"
"kukamatwa","abridged"
"kukaribisha","abridgedly"
"kukataa","abridgement"
"kukatiza","abridgements"
"kukera","abridger"
"kuki","abridgers"
"kukimbia","abridges"
"kukimbilia","abridging"
"kukiri","abridgment"
"kukiuka","abridgments"
"kukodisha","abrim"
"kukosa","abrin"
"kukosoa","abrine"
"kuku","abris"
"kukua","abristle"
"kukubali","abroach"
"kukubalika","abroad"
"kukumbatia","Abrocoma"
"kukusanya","abrocome"
"kukusanyika","abrogable"
"kukutana","abrogate"
"kukuza","abrogated"
"kula","abrogates"
"kulaani","abrogating"
"kulala","abrogation"
"kulalamika","abrogations"
"kulazimisha","abrogative"
"kuleta","abrogator"
"kulia","abrogators"
"kuliko","Abroma"
"kulinda","Abroms"
"kulingana","Abronia"
"kulinganisha","abrood"
"kulipa","abrook"
"kulipuka","abrosia"
"kulipwa","abrosias"
"kulungu","abrotanum"
"kumaliza","abrotin"
"kumalizia","abrotine"
"kumbe","abrupt"
"kumbuka","abruptedly"
"Kumbuka","abrupter"
"kumbukumbu","abruptest"
"kumbusha","abruptio"
"kumeza","abruption"
"kumi","abruptiones"
"kumiliki","abruptly"
"kumudu","abruptness"
"kumwagika","Abrus"
"kundi","Abruzzi"
"kunja","ABS"
"kunong'ona","abs-"
"kununua","Absa"
"kunyakua","Absalom"
"kunyonya","absampere"
"kunyoosha","Absaraka"
"kunyumbulika","Absaroka"
"kunywa","Absarokee"
"kuoa","absarokite"
"kuoga","ABSBH"
"kuogelea","abscam"
"kuokoa","abscess"
"kuomba","abscessed"
"kuona","abscesses"
"kuondoa","abscessing"
"kuondoka","abscession"
"kuondolewa","abscessroot"
"kuonekana","abscind"
"kuongeza","abscise"
"kuongezeka","abscised"
"kuongoza","abscises"
"kuonyesha","abscisin"
"kupambana","abscising"
"kupanda","abscisins"
"kupanga","abscision"
"kupanua","absciss"
"kupanuliwa","abscissa"
"kupasuka","abscissae"
"kupata","abscissas"
"kupatikana","abscissa's"
"kupendekeza","abscisse"
"kupendeza","abscissin"
"kupewa","abscission"
"kupigana","abscissions"
"kupika","absconce"
"kupima","abscond"
"kupinga","absconded"
"kupita","abscondedly"
"kupitia","abscondence"
"kupitisha","absconder"
"kupitishwa","absconders"
"kupokea","absconding"
"kupona","absconds"
"kuponda","absconsa"
"kupoteza","abscoulomb"
"kupumua","abscound"
"kupungua","Absecon"
"kupunguza","absee"
"kupuuza","absey"
"kura","abseil"
"kurejesha","abseiled"
"kurekebisha","abseiling"
"kurekodi","abseils"
"kuridhika","absence"
"kuridhisha","absences"
"kuripoti","absence's"
"kurithi","absent"
"kurudi","absentation"
"kurudia","absented"
"kuruhusu","absentee"
"kuruka","absenteeism"
"kusafiri","absentees"
"kusahau","absentee's"
"kusaidia","absenteeship"
"kusaliti","absenter"
"kusambaza","absenters"
"kushambulia","absentia"
"kushangaa","absenting"
"kushangaza","absently"
"kushauriana","absentment"
"kushawishi","absentminded"
"kushawishika","absent-minded"
"kusherehekea","absentmindedly"
"kushinda","absent-mindedly"
"kushindana","absentmindedness"
"kushindwa","absent-mindedness"
"kushiriki","absentmindednesses"
"kushoto","absentness"
"kushtaki","absents"
"kushuka","absfarad"
"kusihi","abshenry"
"kusikia","Abshier"
"kusimama","Absi"
"kusimamisha","absinth"
"kusini","absinthe"
"kusisimua","absinthes"
"kusisitiza","absinthial"
"kusita","absinthian"
"kusitasita","absinthiate"
"kusitisha","absinthiated"
"kusoma","absinthiating"
"kustaafu","absinthic"
"kustahiki","absinthiin"
"kustawi","absinthin"
"kusubiri","absinthine"
"kusudi","absinthism"
"kusudia","absinthismic"
"kusugua","absinthium"
"kutafakari","absinthol"
"kutafsiri","absinthole"
"kutafuta","absinths"
"kutaja","Absyrtus"
"kutaka","absis"
"kutambaa","absist"
"kutambua","absistos"
"kutambuliwa","absit"
"kutania","absmho"
"kutatua","absohm"
"kutawala","absoil"
"kutawanya","absolent"
"kutazama","Absolute"
"kutegemea","absolutely"
"kutegemewa","absoluteness"
"kutekeleza","absoluter"
"kuteleza","absolutes"
"kutembea","absolutest"
"kuteseka","absolution"
"kutetea","absolutions"
"kuteua","absolutism"
"kuthamini","absolutist"
"kuthubutu","absolutista"
"kutibu","absolutistic"
"kutishia","absolutistically"
"kutoa","absolutists"
"kutofautiana","absolutive"
"kutofautisha","absolutization"
