"Malagasy","English"
"antsinjarany","abatement"
"antsipiriany","abatements"
"antsipirihany","abater"
"antso","abaters"
"antsy","abates"
"ANY","abatic"
"aogositra","abating"
"aoka","abatis"
"Aoka","abatised"
"aoriana","abatises"
"aotra","abatjour"
"app","abatjours"
"Aprily","abaton"
"ARA-","abator"
"ara-bakiteny","abators"
"ara-barotra","ABATS"
"ara-batana","abattage"
"Arabo","abattis"
"ara-bola","abattised"
"ara-dalàna","abattises"
"ara-drafitra","abattoir"
"Araho","abattoirs"
"araka","abattu"
"arakaraka","abattue"
"ara-kolontsaina","Abatua"
"ara-nofo","abature"
"ara-pahasalamana","abaue"
"ARA-pANAHY","abave"
"ara-pivavahana","abaxial"
"ara-poko","abaxile"
"ara-politika","abaze"
"ara-potoana","abb"
"ara-tantara","Abba"
"ara-teknika","abbacy"
"ara-toekarena","abbacies"
"ara-tsaina","abbacomes"
"ara-tsosialy","Abbadide"
"architecture","Abbai"
"aretina","abbaye"
"aretin'an-doha","abbandono"
"arintany","abbas"
"ario","abbasi"
"arivo","Abbasid"
"ARO","abbassi"
"Around","Abbassid"
"Arovy","Abbasside"
"artifisialy","Abbate"
"ary/na","abbatial"
"asa","abbatical"
"ASA","abbatie"
"Asabotsy","Abbe"
"asany","Abbey"
"Asao","abbeys"
"ascenseur","abbey's"
"asehonao","abbeystead"
"asidra","abbeystede"
"Assistance","abbes"
"Association","abbess"
"astronoma","abbesses"
"atambatra","abbest"
"aterak'izany","Abbevilean"
"aterineto","Abbeville"
"atidoha","Abbevillian"
"Atitany","Abbi"
"atleta","Abby"
"atody","Abbie"
"Atoseho","Abbye"
"atraka","Abbyville"
"atrikasa","abboccato"
"atsaharo","abbogada"
"Atsimbadiho","Abbot"
"atsimo","abbotcy"
"ATSIMO","abbotcies"
"ATSINANANA","abbotnullius"
"Attorney","abbotric"
"attraction","abbots"
"aty","abbot's"
"avaratra","Abbotsen"
"AVARATRA","Abbotsford"
"Avaratra-andrefana","abbotship"
"Avelao","abbotships"
"avenue","Abbotson"
"avo","Abbotsun"
"avokavoka","Abbott"
"avy","Abbottson"
"aza","Abbottstown"
"Aza","Abboud"
"Azia","abbozzo"
"azy","ABBR"
"-bahoaka","abbrev"
"bakteria","abbreviatable"
"bala","abbreviate"
"balafomanga","abbreviated"
"balaonina","abbreviately"
"bang","abbreviates"
"banga","abbreviating"
"banky","abbreviation"
"BANKY","abbreviations"
"baolina","abbreviator"
"baomba","abbreviatory"
"bara","abbreviators"
"barika","abbreviature"
"barotra","abbroachment"
"-barotra","ABC"
"bary","abcess"
"-BARY","abcissa"
"baskety","abcoulomb"
"basy","ABCs"
"bateria","abd"
"Battle","abdal"
"bazana","abdali"
"be","abdaria"
"Beautiful","abdat"
"Beauty","Abdel"
"Bebe","Abd-el-Kadir"
"bera","Abd-el-Krim"
"betsaka","Abdella"
"bevohoka","Abderhalden"
"bibidia","Abderian"
"bibikely","Abderite"
"biby","Abderus"
"bilaogy","abdest"
"birao","Abdias"
"BIRAO","abdicable"
"biriky","abdicant"
"bisikileta","abdicate"
"bitany","abdicated"
"bitch","abdicates"
"bitro","abdicating"
"bitsika","abdication"
"bodofotsy","abdications"
"bokotra","abdicative"
"boky","abdicator"
"bola","Abdiel"
"boom","abditive"
"boriky","abditory"
"borosy","abdom"
"bozaka","abdomen"
"buck","abdomens"
"bunch","abdomen's"
"bureau","abdomina"
"burger","abdominal"
"cable","Abdominales"
"Calendar","abdominalia"
"cancer","abdominalian"
"cap","abdominally"
"carbohydrate","abdominals"
"casino","abdominoanterior"
"cd","abdominocardiac"
"Centre","abdominocentesis"
"Challenge","abdominocystic"
"championship","abdominogenital"
"Chapter","abdominohysterectomy"
"chef","abdominohysterotomy"
"chip","abdominoposterior"
"clip","abdominoscope"
"colina","abdominoscopy"
"Communication","abdominothoracic"
"construction","abdominous"
"Continuous","abdomino-uterotomy"
"copyright","abdominovaginal"
"corps","abdominovesical"
"Cowboy","Abdon"
"cue","Abdu"
"curve","abduce"
"CV","abduced"
"dabilio","abducens"
"dada","abducent"
"Dada","abducentes"
"-DAHATSORATRA","abduces"
"daka","abducing"
"damba","abduct"
"daty","abducted"
"de","abducting"
"Delivery","abduction"
"demokrasia","abductions"
"DEMOKRATIKAN'I","abduction's"
"Demokraty","abductor"
"demonia","abductores"
"Desambra","abductors"
"Description","abductor's"
"developer","abducts"
"DEVOLY","Abdul"
"dia","Abdul-Aziz"
"diabeta","Abdul-baha"
"Diamond","Abdulla"
"diany","Abe"
"diary","a-be"
"dibera","abeam"
"didim-pitsarana","abear"
"didy","abearance"
"dihy","Abebi"
"diky","abecedaire"
"dimam-polo","abecedary"
"DIMY","abecedaria"
"dingana","abecedarian"
"DINGANA","abecedarians"
"Diniho","abecedaries"
"diplaoma","abecedarium"
"diplaomatika","abecedarius"
"Discount","abed"
"DISO","abede"
"DISTRIKA","abedge"
"dite","Abednego"
"dity","abegge"
"divay","Abey"
"Division","abeyance"
"dobo","abeyances"
"Doctor","abeyancy"
"-dohasaha","abeyancies"
"dokam-barotra","abeyant"
"DOKAMBAROTRA","abeigh"
"dolara","ABEL"
"domain","Abelard"
"dona","abele"
"dondony","abeles"
"Dondrom-belona","Abelia"
"DOWNLOAD","Abelian"
"-doza","Abelicea"
"drafitra","Abelite"
"dragona","Abell"
"Driver","Abelmoschus"
"DRIVOTRA","abelmosk"
"DRONONO","abelmosks"
"Eagle","abelmusk"
"écran","Abelonian"
"eFA","Abelson"
"EFA","abeltree"
"efajoro","Abencerrages"
"Efa-polo","abend"
"EFATRA","abends"
"efitra","Abenezra"
"EFITRA","abenteric"
"efi-trano","Abeokuta"
"EFITRANO","abepithymia"
"efi-tranonao","ABEPP"
"eh","Abercromby"
"eh!","Abercrombie"
"ekena","Aberdare"
"ekipa","aberdavine"
"ela","Aberdeen"
"elanelana","Aberdeenshire"
"elatra","aberdevine"
"elefanta","Aberdonian"
"elektrika","aberduvine"
"elektronika","Aberfan"
"émission","Aberglaube"
"endri-javatra","Aberia"
"endrika","Aberystwyth"
"enin-","Abernant"
"entam-barotra","Abernathy"
"entana","abernethy"
"enti-mody","Abernon"
"Entrepreneur","aberr"
"eny","aberrance"
"Eny","aberrancy"
"ENY","aberrancies"
"eo","aberrant"
"Eoropa","aberrantly"
"era","aberrants"
"Eritrereto","aberrate"
"eritreritra","aberrated"
"Ery","aberrating"
"esory","aberration"
"etika","aberrational"
"etikety","aberrations"
"Eto","aberrative"
"etona","aberrator"
"eveka","aberrometer"
"Executive","aberroscope"
"Experience","Abert"
"express","aberuncate"
"fa","aberuncator"
"Fafao","abesse"
"FAHADIMY","abessive"
"Fahadisoam-panantenana","abet"
"fahadisoana","abetment"
"fahafaham-po","abetments"
"fahafahana","abets"
"FAHAFATESANA","abettal"
"fahafinaretana","abettals"
"FAHAFITO","abetted"
"fahagagana","abetter"
"fahaizana","abetters"
"FAHAIZANA","abetting"
"fahaizany","abettor"
"fahalalam-pomba","abettors"
"FAHALALANA","Abeu"
"fahamarinan-toerana","abevacuation"
"fahamendrehana","abfarad"
"fahampiam","abfarads"
"fahana","ABFM"
"fahan'ny","Abgatha"
"FAHANTRANA","ABHC"
"faharariana","abhenry"
"faharavana","abhenries"
"faharesena","abhenrys"
"Faharesen-dahatra","abhinaya"
"FAHARETANA","abhiseka"
"faharoa","abhominable"
"FAHAROA","abhor"
"FAHASALAMANA","abhorred"
"fahasambarana","abhorrence"
"fahasamihafana","abhorrences"
"fahasarotana","abhorrency"
"fahasembanana","abhorrent"
"fahasimbana","abhorrently"
"fahasoavana","abhorrer"
"fahasosorana","abhorrers"
"fahatarana","abhorrible"
"FAHATELO","abhorring"
"fahatezerana","abhors"
"fahatokiana","Abhorson"
"fahatomombanan'ny","ABI"
"fahatongavana","aby"
"fahatsapana","Abia"
"fahatsiarovana","Abiathar"
"FAHATSIAROVANA","Abib"
"fahatsiarovan-tena","abichite"
"fahavalo","abidal"
"fahavaratra","abidance"
"fahavoazana","abidances"
"fahazarana","abidden"
"fahazavana","abide"
"fahazavan-tsaina","abided"
"fahazoana","abider"
"fahazoan-dalana","abiders"
"fahefana","abides"
"FAHEFATRA","abidi"
"Fahendrena","abiding"
"FAHENDRENA","abidingly"
"FAHENINA","abidingness"
"FAHINY","Abidjan"
"fahiratan-tsaina","Abydos"
"fahitalavitra","Abie"
"fahitana","abye"
"fahombiazana","abied"
"fahombiazany","abyed"
"fahotana","abiegh"
"faka","abience"
"fakan-tsary","abient"
"fako","Abies"
"faktiora","abyes"
"faly","abietate"
"FAMAKIANA","abietene"
"FAMALIANA","abietic"
"famandrihana","abietin"
"famantarana","Abietineae"
"famantaranandro","abietineous"
"famaranana","abietinic"
"famaritana","abietite"
"Famatsiam-bola","Abiezer"
"famatsiana","Abigael"
"FAMBOLENA","Abigail"
"famborahana","abigails"
"famerana","abigailship"
"famerenana","Abigale"
"FAMERENANA","abigeat"
"fametrahana","abigei"
"famihinana","abigeus"
"family","Abihu"
"faminaniana","abying"
"famindram-po","Abijah"
"famindrana","Abyla"
"FAMINTINANA","abilao"
"famoahana","Abilene"
"famokarana","abiliment"
"famolavolana","Abilyne"
"famonjena","abilitable"
"famonoana","ability"
"famonoan-tena","abilities"
"famoriam-bahoaka","ability's"
"famoriam-bola","abilla"
"famoriana","abilo"
"famoronana","abime"
"famotsorana","Abimelech"
"fampahafantarana","Abineri"
"fampahatsiahivana","Abingdon"
"fampakaram-bady","Abinger"
"fampandrosoana","Abington"
"fampianarana","Abinoam"
"FAMPIASAM-BOLA","Abinoem"
"fampiasana","abintestate"
"fampidirana","abiogeneses"
"Fampidiran-dresaka","abiogenesis"
"fampielezam-peo","abiogenesist"
"fampielezan-kevitra","abiogenetic"
"fampifanarahana","abiogenetical"
"fampiharana","abiogenetically"
"fampihenana","abiogeny"
"fampirantiana","abiogenist"
"fampisehoana","abiogenous"
"FAMPISEHOANA","abiology"
"fampitahana","abiological"
"Fampitahoran'ny","abiologically"
"fampitana","abioses"
"FAMPITANDREMANA","abiosis"
"fanadihadiana","abiotic"
"fanadinana","abiotical"
"fanafihana","abiotically"
"fanafodiny","abiotrophy"
"fanafody","abiotrophic"
"fanahiana","Abipon"
"fanahy","Abiquiu"
"fanaintainana","abir"
"fanairana","abirritant"
"fanajana","abirritate"
"fanaka","abirritated"
"fanakianana","abirritating"
"fanalan-jaza","abirritation"
"FANALAVAM","abirritative"
"fanamafisana","abys"
"fanamarihana","Abisag"
"Fanamarihana","Abisha"
"FANAMBADIANA","Abishag"
"fanambarana","Abisia"
"FANAMBARANA","abysm"
"fanamboarana","abysmal"
"fanamiana","abysmally"
"fanampiana","abysms"
"Fanampin'izany","Abyss"
"fanampiny","abyssa"
"fananana","abyssal"
"fananany","abysses"
"fananarana","Abyssinia"
"fanandevozana","Abyssinian"
"fanandramana","abyssinians"
"fananganana","abyssobenthonic"
"fanangonan-tsonia","abyssolith"
"fanantenana","abyssopelagic"
"fanao","abyss's"
"fanaovan-gazety","abyssus"
"FANAPAHAN-KEVITRA","abiston"
"fanaraha-maso","abit"
"Fanaraha-maso","Abitibi"
"FANARAHANA","Abiu"
"fanararaotana","abiuret"
"fanariam","Abixah"
"fanasana","abject"
"fanasan-damba","abjectedness"
"fanatanjahan-tena","abjection"
"fanatanterahana","abjections"
"fanatitra","abjective"
"fanatrehany","abjectly"
"fanatsarana","abjectness"
"fanavahana","abjectnesses"
"fanavakavahana","abjoint"
"FANAVAKAVAHANA","abjudge"
"FANAVAOZANA","abjudged"
"fanavotana","abjudging"
"FANAZARAN-TENA","abjudicate"
"fanazavana","abjudicated"
"fancy","abjudicating"
"fandaharam-pianarana","abjudication"
"fandaharam-potoana","abjudicator"
"FANDAHARAM-POTOANA","abjugate"
"fandaharana","abjunct"
"fandaniana","abjunction"
"fandatsahan-drakitra","abjunctive"
"fandavahana","abjuration"
"fandavana","abjurations"
"fandefasana","abjuratory"
"fandevenana","abjure"
"fandidiana","abjured"
"FANDIDIANA","abjurement"
"FANDIKAN-","abjurer"
"fandikana","abjurers"
"Fandikan-dalàna","abjures"
"fandikan-teny","abjuring"
"fandinihana","abkar"
"fandotoana","abkari"
"fandrahonana","abkary"
"fandraisana","Abkhas"
"fandrarana","Abkhasia"
"fandrefesana","Abkhasian"
"fandresena","Abkhaz"
"fandresen-dahatra","Abkhazia"
"fandriampahalemana","Abkhazian"
"fandriana","abl"
"FANDRIKY","abl."
"FANDRINDRAMPITERAHANA","ablach"
"fandrindràna","ablactate"
"fandroana","ablactated"
"fandrosoana","ablactating"
"FANDROSOANA","ablactation"
"fanehoana","ablaqueate"
"fanehoan-kevitra","ablare"
"fanekena","A-blast"
"fanendasana","ablastemic"
"fanendrena","ablastin"
"fanentanana","ablastous"
"fanesorana","ablate"
"fangatahana","ablated"
"fangejan'ny","ablates"
"fangoraham-po","ablating"
"faniriana","ablation"
"FANIRIAN'NY","ablations"
"fanisam-bahoaka","ablatitious"
"fanitarana","ablatival"
"fanitsiana","ablative"
"FANITSIANA","ablatively"
"fanjaitra","ablatives"
"fanjakana","ablator"
"FANJAKANA","ablaut"
"fanjanahana","ablauts"
"fanjonoana","ablaze"
"fankahalana","able"
"fankalazana","able-bodied"
"FANKASITRAHANAO","able-bodiedness"
"fankatoavana","ableeze"
"fanodinana","ablegate"
"fanoherana","ablegates"
"fanolanana","ablegation"
"fanoloana","able-minded"
"fanoloran-tena","able-mindedness"
"fanombanana","ablend"
"fanombohana","ableness"
"fanomezana","ablepharia"
"FANOMEZANA","ablepharon"
"fanompoam-pivavahana","ablepharous"
"fanompoana","Ablepharus"
"fanondranana","ablepsy"
"Fanondroana","ablepsia"
"fanononana","ableptical"
"fanontana","ableptically"
"fanontaniana","abler"
"fanosotra","ables"
"fanovana","ablesse"
"fanta-daza","ablest"
"Fantaro","ablet"
"Fantasy","ablewhackets"
"fantatra","ably"
"Fantatr'i","ablings"
"fantsika","ablins"
"fantsona","ablock"
"farantsanao","abloom"
"farany","ablow"
"Farany","ABLS"
"FARANY","ablude"
"faratampony","abluent"
"Faratampony","abluents"
"faribolana","ablush"
"FARIHY","ablute"
"FARITANY","abluted"
"Farito","ablution"
"faritra","ablutionary"
"faritry","ablutions"
"fasana","abluvion"
"Fashion","ABM"
"fasika","abmho"
"fatorana","abmhos"
"fe","abmodality"
"federaly","abmodalities"
"fefy","abn"
"feh","Abnaki"
"fehezan-dalàna","Abnakis"
"fehezinao","abnegate"
"fehin-kibo","abnegated"
"feno","abnegates"
"feo","abnegating"
"feon'ny","abnegation"
"fepetra","abnegations"
"fe-potoana","abnegative"
"ferana","abnegator"
"fetra","abnegators"
"fety","Abner"
"FETY","abnerval"
"février","abnet"
"fiadidiana","abneural"
"fiainana","abnormal"
"Fiainana","abnormalcy"
"fialam-boly","abnormalcies"
"fialan-tsasatra","abnormalise"
"fialan-tsiny","abnormalised"
"fialofana","abnormalising"
"fiampangana","abnormalism"
"fianarana","abnormalist"
"fiangonana","abnormality"
"FIANGONANA","abnormalities"
"fiankinan-doha","abnormalize"
"fiantraikany","abnormalized"
"fiantrana","abnormalizing"
"fiantsenana","abnormally"
"fiara","abnormalness"
"fiaraha-miasa","abnormals"
"Fiaraha-miasa","abnormity"
"fiaraha-miory","abnormities"
"fiaraha-mitantana","abnormous"
"fiaraha-monina","abnumerable"
"fiaramanidina","Abo"
"fiaran-dalamby","aboard"
"fiarovana","aboardage"
"fiarovan-doha","Abobra"
"fiatoana","abococket"
"fibodoana","abodah"
"fibre","abode"
"fiderana","aboded"
"fidiram-bola","abodement"
"fidirana","abodes"
"Fidirana","abode's"
"fieken-keloka","abody"
"fientanentanana","aboding"
"Fiezahana","abogado"
"fifadian-kanina","abogados"
"fifaliana","abohm"
"Fifaliana","abohms"
"FIFALIANA","aboideau"
"fifamoivoizana","aboideaus"
"fifampikasohana","aboideaux"
"fifampiraharahana","aboil"
"fifanakalozan","aboiteau"
"fifanakalozan-kevitra","aboiteaus"
"fifanampiana","aboiteaux"
"fifanarahana","abolete"
"fifandirana","abolish"
"Fifandirana","abolishable"
"FIFANDRAISAM-","abolished"
"fifandraisana","abolisher"
"FIFANDRAISANA","abolishers"
"fifandraisany","abolishes"
"fifaninanana","abolishing"
"fifanjevoana","abolishment"
"fifantenana","abolishments"
"fifehezan","abolishment's"
"fifidianana","abolition"
"FIFIDIANANA","abolitionary"
"fifindra-monina","abolitionise"
"Fifindrà-monina","abolitionised"
"fifindran'ny","abolitionising"
"fihaingoana","abolitionism"
"fihainoana","abolitionist"
"fihaonana","abolitionists"
"fihenana","abolitionize"
"fihetseham-po","abolitionized"
"fihetsehana","abolitionizing"
"fihetsika","abolitions"
"fihinanana","abolla"
"fihomehezana","abollae"
"fijaliana","aboma"
"fijanonana","abomas"
"fijeriny","abomasa"
"fijery","abomasal"
"fikambanana","abomasi"
"fikarakarana","abomasum"
"Fikarohana","abomasus"
"fikasana","abomasusi"
"fikirana","A-bomb"
"fikorontanana","abominability"
"filaharana","abominable"
"filanjana","abominableness"
"Filan-kevitra","abominably"
"filazana","abominate"
"filazantsara","abominated"
"filoha","abominates"
"filoham-pirenena","abominating"
"filôzôfia","abomination"
"filozofika","abominations"
"findramam-bola","abominator"
"finiavana","abominators"
"finoana","abomine"
"fiofanana","abondance"
"fiolahana","Abongo"
"fiomanana","abonne"
"fiovam-po","abonnement"
"fiovana","aboon"
"fiovàna","aborad"
"fiovaovana","aboral"
"fipetrahana","aborally"
"fipoahana","abord"
"FIRAFITRA","Aboriginal"
"firaisana","aboriginality"
"firaisan-kina","aboriginally"
"firaka","aboriginals"
"firehana","aboriginary"
"firehan-kevitra","Aborigine"
"firehetam-po","aborigines"
"firenena","aborigine's"
"firodanan'ny","Abor-miri"
"fironana","Aborn"
"fisafoana","aborning"
"fisaka","a-borning"
"fisakafoana","aborsement"
"fisamborana","aborsive"
"fisaorana","abort"
"FISARAHAM-PANAMBADIANA","aborted"
"fisarahana","aborter"
"fisian'ny","aborters"
"FISINTAHANA","aborticide"
"fisondrotana","abortient"
"fisorohana","abortifacient"
"fisotroan-dronono","abortin"
"fisotrony","aborting"
"Fitadiavana","abortion"
"fitafiana","abortional"
"FITAFIANA","abortionist"
"fitahiana","abortionists"
"fitahirizana","abortions"
"fitaka","abortion's"
"fitanana","abortive"
"fitantanam-bola","abortively"
"fitantanan-draharaha","abortiveness"
"fitaovam-piadiana","abortogenic"
"Fitaovam-pitaterana","aborts"
"fitaovana","abortus"
"Fitaovana","abortuses"
"FITAOVANA","abos"
"Fitarainana","abote"
"fitaratra","Abott"
"fitaterana","abouchement"
"fitehirizam-boky","aboudikro"
"fiteny","abought"
"fitetezam-paritra","Aboukir"
"fITIAVANA","aboulia"
"fitifirana","aboulias"
"Fitness","aboulic"
"Fito","abound"
"fitoeran-javatra","abounded"
"fitokana-monina","abounder"
"fitokisana","abounding"
"fitokonana","aboundingly"
"fitomboana","abounds"
"fitondram-panjakana","Abourezk"
"fitondrana","about"
"fitondran-tena","about-face"
"Fitondran-tena","about-faced"
"FITONDRANTENA","about-facing"
"FITONDRAN-TENA","abouts"
"fitongilanana","about-ship"
"fitontonganan'ny","about-shipped"
"fitorevahana","about-shipping"
"fitoriana","about-sledge"
"fitoviana","about-turn"
"fitrandrahana","above"
"fitsaboana","aboveboard"
"FITSABOANA","above-board"
"fitsangantsanganana","above-cited"
"fitsapana","abovedeck"
"Fitsapana","above-found"
"fitsapan-kevitra","above-given"
"fitsarana","aboveground"
"FITSARANA","abovementioned"
"FITSIDIHANA","above-mentioned"
"fitsipika","above-named"
"Fitsipi-pitondran-","aboveproof"
"fivarotana","above-quoted"
"fivavahana","above-reported"
"fivoahana","aboves"
"Fivoahana","abovesaid"
"fivoahan'ny","above-said"
"fivoarana","abovestairs"
"fivontosana","above-water"
"FIVORIAMBE","above-written"
"FIVORIANA","abow"
"fizahan-toetra","abox"
"fizarana","Abp"
"fizaran-tany","ABPC"
"Fizìka","Abqaiq"
"Flash","abr"
"foana","abr."
"fofona","Abra"
"fofonaina","abracadabra"
"fohifohy","abrachia"
"fohy","abrachias"
"foibe","abradable"
"foko","abradant"
"FOLO","abradants"
"fomba","abrade"
"FOMBA","abraded"
"fombafomba","abrader"
"fomban-drazana","abraders"
"Fonenana","abrades"
"fonon-tanana","abrading"
"fonosana","Abraham"
"fonosina","Abrahamic"
"fork","Abrahamidae"
"forum","Abrahamite"
"fôsily","Abrahamitic"
"fotaka","Abraham-man"
"fotoana","Abrahams"
"foto-drafitr'asa","Abrahamsen"
"foto-kevitra","Abrahan"
"fotopampianarana","abray"
"fototarazo","abraid"
"fototra","Abram"
"fotsiny","Abramis"
"fotsy","Abramo"
"Foundation","Abrams"
"franchise","Abramson"
"FRANTSAY","Abran"
"Freedom","abranchial"
"From","abranchialism"
"fromazy","abranchian"
"Funny","Abranchiata"
"Furniture","abranchiate"
"gadona","abranchious"
"gadra","abrasax"
"gaga","abrase"
"galaxy","abrased"
"galeria","abraser"
"galona","abrash"
"gana","abrasing"
"garazy","abrasiometer"
"gazety","abrasion"
"GAZETY","abrasions"
"General","abrasion's"
"genre","abrasive"
"gidro","abrasively"
"gitara","abrasiveness"
"Goat","abrasivenesses"
"goavam-be","abrasives"
"goavana","abrastol"
"golf","abraum"
"Golfa","abraxas"
"Góp","abrazite"
"governora","abrazitic"
"gram","abrazo"
"grama","abrazos"
"grey","abreact"
"GRIKA","abreacted"
"Guardian","abreacting"
"Gym","abreaction"
"ha","abreactions"
"habetsahana","abreacts"
"hadalana","abreast"
"hadihadiana","abreed"
"hafa","abrege"
"HAFA","abreid"
"hafahafa","abrenounce"
"hafahafa","abrenunciate"
"hafainganam-pandeha","abrenunciation"
"hafanam-po","abreption"
"Hafanàm-po","abret"
"hafanana","abreuvoir"
"hAFATRA","abri"
"hahakivy","abrico"
"hahatakatra","abricock"
"hahatsapa","abricot"
"hahavariana","abridgable"
"hahavony","abridge"
"hahazo","abridgeable"
"hahazoana","abridged"
"Haiaina","abridgedly"
"haingana","abridgement"
"Haingankaingana","abridgements"
"haisoratra","abridger"
"haizina","abridgers"
"hajia","abridges"
"haka","abridging"
"hakitroky","abridgment"
"halalinan-tsainy","abridgments"
"halatra","abrim"
"halavan'ny","abrin"
"Halloween","abrine"
"hamadika","abris"
"hamafa","abristle"
"hamantarana","abroach"
"hamantatra","abroad"
"hamaritra","Abrocoma"
"hambom-pon'ny","abrocome"
"hamela","abrogable"
"hametraka","abrogate"
"hametra-pialana","abrogated"
"hamirapiratra","abrogates"
"hamoaka","abrogating"
"hamonoanao","abrogation"
"hampahafantarana","abrogations"
"hampiharihary","abrogative"
"hampihatra","abrogator"
"hampihena","abrogators"
"HAMPITANDREMANA","Abroma"
"hampitaovana","Abroms"
"hampitony","Abronia"
"hampivelarana","abrood"
"hanabe","abrook"
"hanafika","abrosia"
"hanafina","abrosias"
"hanafintohina","abrotanum"
"hanafoana","abrotin"
"hanaiky","abrotine"
"hanaisotra","abrupt"
"hanambady","abruptedly"
"hanambaka","abrupter"
"hanampy","abruptest"
"hanan'anaka","abruptio"
"hanangona","abruption"
"hanaraka","abruptiones"
"hanary","abruptly"
"hanatanteraka","abruptness"
"hanatrarana","Abrus"
"hanatsarana","Abruzzi"
"hanazava","ABS"
"handà","abs-"
"handahatra","Absa"
"handatsaka","Absalom"
"handefitra","absampere"
"handevona","Absaraka"
"handoro","Absaroka"
"handositra","Absarokee"
"handraisana","absarokite"
"handresy","ABSBH"
"handrina","abscam"
"handringana","abscess"
"handrisika","abscessed"
"handroaka","abscesses"
"handroso","abscessing"
"hanendry","abscession"
