"Esperanto","English"
"degeneri","abilo"
"degliti","abime"
"degradi","Abimelech"
"deguti","Abineri"
"dehaki","Abingdon"
"dehiski","Abinger"
"deĵeti","Abington"
"deĵori","Abinoam"
"dekadenci","Abinoem"
"dekalkuli","abintestate"
"dekanti","abiogeneses"
"deklami","abiogenesis"
"deklari","abiogenesist"
"deklinacii","abiogenetic"
"deklini","abiogenetical"
"dekokti","abiogenetically"
"dekonstrui","abiogeny"
"dekoracii","abiogenist"
"dekori","abiogenous"
"dekreti","abiology"
"dekroĉi","abiological"
"delasi","abiologically"
"delegi","abioses"
"delikti","abiosis"
"deliri","abiotic"
"delogi","abiotical"
"deloki","abiotically"
"demandi","abiotrophy"
"dementi","abiotrophic"
"demeti","Abipon"
"demisii","Abiquiu"
"demonstracii","abir"
"demonstri","abirritant"
"demordeti","abirritate"
"demordi","abirritated"
"denaturi","abirritating"
"densi","abirritation"
"denti","abirritative"
"dentizi","abys"
"dentklaki","Abisag"
"denudi","Abisha"
"denunci","Abishag"
"dependi","Abisia"
"depeŝi","abysm"
"depiedbati","abysmal"
"deploji","abysmally"
"deponi","abysms"
"depozicii","Abyss"
"depreni","abyssa"
"deprimi","abyssal"
"depuŝi","abysses"
"deputi","Abyssinia"
"derivi","Abyssinian"
"derompi","abyssinians"
"desavui","abyssobenthonic"
"descendi","abyssolith"
"desegnaĉi","abyssopelagic"
"desegni","abyss's"
"desekci","abyssus"
"designi","abiston"
"desinfekti","abit"
"deŝiri","Abitibi"
"deskui","Abiu"
"desolvi","abiuret"
"deŝovi","Abixah"
"destini","abject"
"desupri","abjectedness"
"deŝuti","abjection"
"detekti","abjections"
"detergi","abjective"
"determini","abjectly"
"detonacii","abjectness"
"detondi","abjectnesses"
"detranĉi","abjoint"
"detrui","abjudge"
"deturni","abjudged"
"devaluti","abjudging"
"devanci","abjudicate"
"deveni","abjudicated"
"deverŝi","abjudicating"
"devii","abjudication"
"deviŝi","abjudicator"
"devi","abjugate"
"devolvi","abjunct"
"deziri","abjunction"
"diafragmi","abjunctive"
"diagnozi","abjuration"
"diamanti","abjurations"
"diboĉi","abjuratory"
"difekti","abjure"
"diferenciali","abjured"
"diferencii","abjurement"
"diferenci","abjurer"
"difini","abjurers"
"difrakti","abjures"
"difuzi","abjuring"
"digestadi","abkar"
"digesti","abkari"
"digi","abkary"
"dikti","Abkhas"
"dilati","Abkhasia"
"diligenti","Abkhasian"
"dilui","Abkhaz"
"dimensii","Abkhazia"
"diminui","Abkhazian"
"diplomi","abl"
"diradi","abl."
"direkti","ablach"
"diri","ablactate"
"disbati","ablactated"
"disbraki","ablactating"
"disbuki","ablactation"
"disbutoni","ablaqueate"
"disciplini","ablare"
"disdividi","A-blast"
"disdoni","ablastemic"
"diseĥi","ablastin"
"diserti","ablastous"
"disetendi","ablate"
"disfaldi","ablated"
"disfali","ablates"
"disflori","ablating"
"disflugi","ablation"
"disflui","ablations"
"disfosi","ablatitious"
"disgambi","ablatival"
"dishaki","ablative"
"disidei","ablatively"
"disintegri","ablatives"
"disipi","ablator"
"disĵeti","ablaut"
"diskarni","ablauts"
"diskreski","ablaze"
"diskruri","able"
"diskuri","able-bodied"
"diskuti","able-bodiedness"
"diskvalifiki","ableeze"
"disligi","ablegate"
"disloki","ablegates"
"dismaĉi","ablegation"
"dismeti","able-minded"
"disocii","able-mindedness"
"disopinii","ablend"
"dispeli","ableness"
"disperdi","ablepharia"
"dispersi","ablepharon"
"dispioĉi","ablepharous"
"dispisti","Ablepharus"
"displanti","ablepsy"
"disponi","ablepsia"
"disporti","ableptical"
"dispozicii","ableptically"
"dispremi","abler"
"disputi","ables"
"disrasti","ablesse"
"dissalti","ablest"
"dissegi","ablet"
"dissekci","ablewhackets"
"dissemi","ably"
"dissendi","ablings"
"disŝiri","ablins"
"dissolvi","ablock"
"disŝteli","abloom"
"disŝuti","ablow"
"distanci","ABLS"
"distili","ablude"
"distingi","abluent"
"distondi","abluents"
"distordi","ablush"
"distranĉi","ablute"
"distribui","abluted"
"distri","ablution"
"disvendi","ablutionary"
"disverŝaĉi","ablutions"
"disverŝi","abluvion"
"disvolvi","ABM"
"diveni","abmho"
"diverĝi","abmhos"
"dividi","abmodality"
"divizori","abmodalities"
"divorci","abn"
"dizerti","Abnaki"
"doganimposti","Abnakis"
"dokumenti","abnegate"
"dolorĝemi","abnegated"
"dolori","abnegates"
"domaĝi","abnegating"
"domini","abnegation"
"donacii","abnegations"
"donaci","abnegative"
"doni","abnegator"
"dorloti","abnegators"
"dormeti","Abner"
"dormi","abnerval"
"dorseniri","abnet"
"doti","abneural"
"dozi","abnormal"
"dragi","abnormalcy"
"drajvi","abnormalcies"
"draŝi","abnormalise"
"dreni","abnormalised"
"dresi","abnormalising"
"dribli","abnormalism"
"drili","abnormalist"
"drinkadi","abnormality"
"drinkegi","abnormalities"
"drinki","abnormalize"
"drinksorbi","abnormalized"
"drivi","abnormalizing"
"drizeli","abnormally"
"drizli","abnormalness"
"drogi","abnormals"
"droni","abnormity"
"dronmorti","abnormities"
"dubeli","abnormous"
"dubi","abnumerable"
"dubli","Abo"
"dueli","aboard"
"dumpi","aboardage"
"dungi","Abobra"
"duondiri","abococket"
"duondormi","abodah"
"duonfermi","abode"
"duonkudri","aboded"
"ebenbati","abodement"
"ebli","abodes"
"edifi","abode's"
"edikti","abody"
"eduki","aboding"
"eferveski","abogado"
"efiki","abogados"
"egali","abohm"
"egalvalori","abohms"
"ekagi","aboideau"
"ekankri","aboideaus"
"ekataki","aboideaux"
"ekatenti","aboil"
"ekaŭdi","aboiteau"
"ekbalanci","aboiteaus"
"ekbalbuteti","aboiteaux"
"ekbatali","abolete"
"ekbati","abolish"
"ekbei","abolishable"
"ekbivaki","abolished"
"ekblekegi","abolisher"
"ekblovi","abolishers"
"ekbrili","abolishes"
"ekbruli","abolishing"
"ekdeziri","abolishment"
"ekdormi","abolishments"
"ekefiki","abolishment's"
"ekesti","abolition"
"ekfajfi","abolitionary"
"ekfali","abolitionise"
"ekflami","abolitionised"
"ekflari","abolitionising"
"ekflori","abolitionism"
"ekflugi","abolitionist"
"ekfrapegi","abolitionists"
"ekfrapi","abolitionize"
"ekfuĝi","abolitionized"
"ekfulmi","abolitionizing"
"ekfunkcii","abolitions"
"ekfuriozi","abolla"
"ekĝemi","abollae"
"ekĝermi","aboma"
"ekgliti","abomas"
"ekgrumbli","abomasa"
"ekhaki","abomasal"
"ekhalti","abomasi"
"ekhavi","abomasum"
"ekhejti","abomasus"
"ekhorori","abomasusi"
"ekimpeti","A-bomb"
"eki","abominability"
"ekintenci","abominable"
"ekipi","abominableness"
"ekiri","abominably"
"ekkampi","abominate"
"ekkanti","abominated"
"ekkapti","abominates"
"ekkiki","abominating"
"ekkoleri","abomination"
"ekkompreni","abominations"
"ekkoni","abominator"
"ekkonscii","abominators"
"ekkontakti","abomine"
"ekkorni","abondance"
"ekkrani","Abongo"
"ekkredi","abonne"
"ekkriegi","abonnement"
"ekkrii","aboon"
"ekkuregi","aborad"
"ekkuri","aboral"
"ekkuŝi","aborally"
"eklabori","abord"
"eklipsi","Aboriginal"
"ekloĝi","aboriginality"
"eklumi","aboriginally"
"ekmalsati","aboriginals"
"ekmanki","aboriginary"
"ekmarŝi","Aborigine"
"ekmediti","aborigines"
"ekmiliti","aborigine's"
"ekminaci","Abor-miri"
"ekmordi","Aborn"
"ekmovi","aborning"
"ekmurmuregi","a-borning"
"ekmurmuri","aborsement"
"eknavigi","aborsive"
"eknesti","abort"
"ekobstini","aborted"
"ekokupi","aborter"
"ekopinii","aborters"
"ekpafi","aborticide"
"ekparoli","abortient"
"ekpartii","abortifacient"
"ekpendoli","abortin"
"ekpensi","aborting"
"ekpiki","abortion"
"ekplaĉi","abortional"
"ekplori","abortionist"
"ekposedi","abortionists"
"ekpreni","abortions"
"ekpusi","abortion's"
"ekpuŝi","abortive"
"ekradiki","abortively"
"ekrapidi","abortiveness"
"ekregi","abortogenic"
"ekribeli","aborts"
"ekrideti","abortus"
"ekridi","abortuses"
"ekrigardi","abos"
"ekrilati","abote"
"ekrimarki","Abott"
"ekrori","abouchement"
"ekrukti","aboudikro"
"ekŝanceli","abought"
"ekscesi","Aboukir"
"ekscii","aboulia"
"eksciti","aboulias"
"eksenti","aboulic"
"eksibli","abound"
"eksidi","abounded"
"eksilenti","abounder"
"ekŝiri","abounding"
"ekskludi","aboundingly"
"ekskluzivi","abounds"
"ekskomuniki","Abourezk"
"ekskorii","about"
"ekskrecii","about-face"
"ekskrementi","about-faced"
"ekskui","about-facing"
"ekskursi","abouts"
"eksnufi","about-ship"
"eksoni","about-shipped"
"eksonori","about-shipping"
"ekspansii","about-sledge"
"ekspasmi","about-turn"
"ekspedi","above"
"ekspekti","aboveboard"
"ekspektori","above-board"
"eksperimenti","above-cited"
"ekspertizi","abovedeck"
"ekspili","above-found"
"ekspiregi","above-given"
"ekspiri","aboveground"
"ekspliki","abovementioned"
"eksplodbrui","above-mentioned"
"eksplodi","above-named"
"ekspluati","aboveproof"
"eksponi","above-quoted"
"eksporti","above-reported"
"ekspozicii","aboves"
"ekŝpruci","abovesaid"
"ekstamfi","above-said"
"ekstari","abovestairs"
"ekstarti","above-water"
"ekstazi","above-written"
"ekstensi","abow"
"ekstermi","abox"
"eksterpoli","Abp"
"ekstradicii","ABPC"
"ekstraktadi","Abqaiq"
"ekstrakti","abr"
"ekstrapoli","abr."
"ekstravaganci","Abra"
"eksturmi","abracadabra"
"eksudi","abrachia"
"ekŝveli","abrachias"
"eksveni","abradable"
"ekŝviti","abradant"
"ektedi","abradants"
"ektendumi","abrade"
"ekteruri","abraded"
"ektimi","abrader"
"ektinti","abraders"
"ektiri","abrades"
"ektondri","abrading"
"ektranĉi","Abraham"
"ektremi","Abrahamic"
"ektrumpeti","Abrahamidae"
"ekturni","Abrahamite"
"ektuŝeti","Abrahamitic"
"ektusi","Abraham-man"
"ektuŝi","Abrahams"
"ekululi","Abrahamsen"
"ekvacii","Abrahan"
"ekvalidi","abray"
"ekveturi","abraid"
"ekvibri","Abram"
"ekvidi","Abramis"
"ekvilibri","Abramo"
"ekvojaĝi","Abrams"
"ekvoki","Abramson"
"ekzalti","Abran"
"ekzameni","abranchial"
"ekzekucii","abranchialism"
"ekzekuti","abranchian"
"ekzekvi","Abranchiata"
"ekzempli","abranchiate"
"ekzerci","abranchious"
"ekzili","abrasax"
"ekzisti","abrase"
"ekzorcadi","abrased"
"ekzorci","abraser"
"ekzumi","abrash"
"elaĉeti","abrasing"
"elani","abrasiometer"
"elaŭdi","abrasion"
"elbalai","abrasions"
"elbalbuti","abrasion's"
"elbati","abrasive"
"elblovi","abrasively"
"elĉarpenti","abrasiveness"
"elĉerpi","abrasivenesses"
"elĉizi","abrasives"
"eldiri","abrastol"
"eldoni","abraum"
"eldorloti","abraxas"
"elekti","abrazite"
"elektrizadi","abrazitic"
"elektrizi","abrazo"
"elektroekzekuti","abrazos"
"elektrokuti","abreact"
"elektrolizi","abreacted"
"elesplori","abreacting"
"elfali","abreaction"
"elfandi","abreactions"
"elfari","abreacts"
"elflari","abreast"
"elflugi","abreed"
"elflui","abrege"
"elforĝi","abreid"
"elfosi","abrenounce"
"elfroti","abrenunciate"
"elfumi","abrenunciation"
"elgliti","abreption"
"elgrategi","abret"
"elgrati","abreuvoir"
"elguti","abri"
"elhaki","abrico"
"elhejti","abricock"
"elimini","abricot"
"eliri","abridgable"
"elizii","abridge"
"elĵetadi","abridgeable"
"elĵeti","abridged"
"elkalkuli","abridgedly"
"elkiki","abridgement"
"elkliki","abridgements"
"elklini","abridger"
"elkonstrui","abridgers"
"elkovi","abridges"
"elkrani","abridging"
"elkreski","abridgment"
"elkrii","abridgments"
"elkuri","abrim"
"ellabori","abrin"
"ellasi","abrine"
"ellerni","abris"
"ellogi","abristle"
"elmezuri","abroach"
"elmigri","abroad"
"elmontri","Abrocoma"
"elmorti","abrocome"
"elmurdi","abrogable"
"elnaĝi","abrogate"
"elnombri","abrogated"
"elokventi","abrogates"
"elpagi","abrogating"
"elpaki","abrogation"
"elpaŝi","abrogations"
"elpeladi","abrogative"
"elpeli","abrogator"
"elpendi","abrogators"
"elpensi","Abroma"
"elpeti","Abroms"
"elplendumi","Abronia"
"elporti","abrood"
"elpostuli","abrook"
"elpremi","abrosia"
"elpreni","abrosias"
"elprofiti","abrotanum"
"elpumpi","abrotin"
"elpuŝi","abrotine"
"elrabi","abrupt"
"elradii","abruptedly"
"elradiki","abrupter"
"elrampi","abruptest"
"elrigardi","abruptio"
"elrodi","abruption"
"elrompi","abruptiones"
"elronĝi","abruptly"
"elŝalti","abruptness"
"elŝarĝi","Abrus"
"elsarki","Abruzzi"
"elsendi","ABS"
"elserĉi","abs-"
"elŝiregi","Absa"
"elŝiri","Absalom"
"elskribi","absampere"
"elskui","Absaraka"
"elsorĉi","Absaroka"
"elŝovi","Absarokee"
"elspezi","absarokite"
"elspioni","ABSBH"
"elspiri","abscam"
"elŝprucadi","abscess"
"elŝpruci","abscessed"
"elsputi","abscesses"
"elstari","abscessing"
"elstreĉi","abscession"
"elstreki","abscessroot"
"elsuĉi","abscind"
"elŝuti","abscise"
"elteni","abscised"
"eltiri","abscises"
"eltondi","abscisin"
"eltordi","abscising"
"eltranĉi","abscisins"
"eltreni","abscision"
"eltrinki","absciss"
"eltrovi","abscissa"
"eltrudi","abscissae"
"elturni","abscissas"
"elui","abscissa's"
"eluji","abscisse"
"eluzi","abscissin"
"elvendi","abscission"
"elvereŝi","abscissions"
"elverŝi","absconce"
"elveturi","abscond"
"elvipi","absconded"
"elviŝi","abscondedly"
"elvoki","abscondence"
"elvolvi","absconder"
"elvomi","absconders"
"emajli","absconding"
"emancipi","absconds"
"emani","absconsa"
"embarasi","abscoulomb"
"embargi","abscound"
"embuski","Absecon"
"emeriti","absee"
"emerituri","absey"
"emfazi","abseil"
"emigri","abseiled"
"emi","abseiling"
"eminenti","abseils"
"emisii","absence"
"emocii","absences"
"emulsii","absence's"
"enbategi","absent"
"enbati","absentation"
"enblovi","absented"
"endi","absentee"
"endormi","absenteeism"
"endosi","absentees"
"energii","absentee's"
"enesti","absenteeship"
"enfali","absenter"
"enfiksi","absenters"
"enfili","absentia"
"enflari","absenting"
"enflosi","absently"
"enflugi","absentment"
"enflui","absentminded"
"enfosi","absent-minded"
"enfroti","absentmindedly"
"engaĝi","absent-mindedly"
"engliti","absentmindedness"
"englui","absent-mindedness"
"englutegi","absentmindednesses"
"engluti","absentness"
"enguti","absents"
