"Sesotho","English"
"bokamorao","abated"
"bokamoso","abatement"
"bokapitale","abatements"
"bokatlase","abater"
"bokella","abaters"
"bokellana","abates"
"bokgabane","abatic"
"bokgoni","abating"
"bokhoba","abatis"
"bokhoni","abatised"
"bokhukhuni","abatises"
"boko","abatjour"
"bokolone","abatjours"
"bokomonisi","abaton"
"bokooa","abator"
"bokreste","abators"
"bokudi","ABATS"
"bolaea","abattage"
"bolaeang","abattis"
"bolaodi","abattised"
"bolaoli","abattises"
"bolela","abattoir"
"bolelele","abattoirs"
"bolella","abattu"
"boleng","abattue"
"bolo","Abatua"
"boloka","abature"
"bolokehileng","abaue"
"bolota","abave"
"bolumeli","abaxial"
"bomenemene","abaxile"
"bomo","abaze"
"bomodimo","abb"
"bona","Abba"
"bonahala","abbacy"
"bonahalang","abbacies"
"bonase","abbacomes"
"bone","Abbadide"
"bong","Abbai"
"bongata","abbaye"
"bongoana","abbandono"
"bongodi","abbas"
"bonnete","abbasi"
"bonngoe","Abbasid"
"bonolo","abbassi"
"bonono","Abbassid"
"bonts'a","Abbasside"
"bontsha","Abbate"
"bonyane","abbatial"
"boom","abbatical"
"boot","abbatie"
"bopa","Abbe"
"bopaki","Abbey"
"bophahamo","abbeys"
"bophara","abbey's"
"bophelo","abbeystead"
"bophelong","abbeystede"
"bophirima","abbes"
"bophirimela","abbess"
"bopresidente","abbesses"
"bora","abbest"
"boralitaba","Abbevilean"
"borang","Abbeville"
"boraro","Abbevillian"
"borashe","Abbi"
"boreledi","Abby"
"borena","Abbie"
"boroa","Abbye"
"boroa-bochabela","Abbyville"
"boroa-bophirima","abboccato"
"borokho","abbogada"
"borui","Abbot"
"bosafeleng","abbotcy"
"bosebeletsi","abbotcies"
"boselamose","abbotnullius"
"boshodu","abbotric"
"bosieo","abbots"
"bosiu","abbot's"
"botala","Abbotsen"
"botebo","Abbotsford"
"boteng","abbotship"
"bothata","abbotships"
"botho","Abbotson"
"botle","Abbotsun"
"botlokotsebe","Abbott"
"botlolo","Abbottson"
"boto","Abbottstown"
"botoro","Abboud"
"botsa","abbozzo"
"botsebi","ABBR"
"botshepehi","abbrev"
"botsitso","abbreviatable"
"botsoa","abbreviate"
"botsoalle","abbreviated"
"botumo","abbreviately"
"Brithani","abbreviates"
"bua","abbreviating"
"bubble","abbreviation"
"buella","abbreviations"
"buisana","abbreviator"
"buka","abbreviatory"
"bula","abbreviators"
"burger","abbreviature"
"busa","abbroachment"
"busang","ABC"
"butle","abcess"
"butle-butle","abcissa"
"butt","abcoulomb"
"Canada","ABCs"
"casino","abd"
"cd","abdal"
"CEO","abdali"
"chaena","abdaria"
"chamber","abdat"
"chankana","Abdel"
"charter/","Abd-el-Kadir"
"chate","Abd-el-Krim"
"che","Abdella"
"chefo","Abderhalden"
"cheka","Abderian"
"chelete","Abderite"
"chesa","Abderus"
"chesang","abdest"
"chesehela","Abdias"
"chip","abdicable"
"chisi","abdicant"
"chitja","abdicate"
"chokolete","abdicated"
"chop","abdicates"
"classic","abdicating"
"classical","abdication"
"congress","abdications"
"congressman","abdicative"
"conservative","abdicator"
"copyright","Abdiel"
"crap","abditive"
"cruise","abditory"
"data","abdom"
"database","abdomen"
"December","abdomens"
"demokrasi","abdomen's"
"depositi","abdomina"
"deske","abdominal"
"diabolose","Abdominales"
"diatleletiki","abdominalia"
"dihlong","abdominalian"
"dijo","abdominally"
"dikahare","abdominals"
"dintlha","abdominoanterior"
"dipehelo","abdominocardiac"
"diplomatic","abdominocentesis"
"disk","abdominocystic"
"ditaba","abdominogenital"
"ditsamaiso","abdominohysterectomy"
"ditsheho","abdominohysterotomy"
"ditshila","abdominoposterior"
"dna","abdominoscope"
"documentary","abdominoscopy"
"dollar","abdominothoracic"
"domain/","abdominous"
"download","abdomino-uterotomy"
"drakone","abdominovaginal"
"dramatic","abdominovesical"
"dula","Abdon"
"dumela","Abdu"
"dumelana","abduce"
"Dutch/","abduced"
"dutla","abducens"
"dynamics","abducent"
"ea","abducentes"
"eba","abduces"
"ebe","abducing"
"ebola","abduct"
"echo","abducted"
"edita","abducting"
"ee","abduction"
"eena","abductions"
"ego","abduction's"
"eh","abductor"
"ehlile","abductores"
"eka","abductors"
"eketsa","abductor's"
"eketseha","abducts"
"eketsoe","Abdul"
"elegantne","Abdul-Aziz"
"elektronike","Abdul-baha"
"element","Abdulla"
"eletsa","Abe"
"ema","a-be"
"Ema","abeam"
"emela","abear"
"emeng","abearance"
"empa","Abebi"
"enfelopo","abecedaire"
"eng","abecedary"
"enjene","abecedaria"
"enngwe","abecedarian"
"ente","abecedarians"
"eo","abecedaries"
"eona","abecedarium"
"esele","abecedarius"
"eseng","abed"
"etc","abede"
"etela","abedge"
"etsa","Abednego"
"etsahala","abegge"
"Etsoa","Abey"
"evangeli","abeyance"
"fa","abeyances"
"fade","abeyancy"
"faele","abeyancies"
"fakalthi","abeyant"
"fake","abeigh"
"fan","ABEL"
"fana","Abelard"
"fancy","abele"
"fantastic","abeles"
"fanyeha","Abelia"
"fapana","Abelian"
"fapaneng","Abelicea"
"fariki","Abelite"
"fatshe","Abell"
"feberu","Abelmoschus"
"fedile","abelmosk"
"feela","abelmosks"
"feheloa","abelmusk"
"fektheri","Abelonian"
"felehetsa","Abelson"
"feletseng","abeltree"
"felisa","Abencerrages"
"felletse","abend"
"fensetere","abends"
"fepa","Abenezra"
"ferekanya","abenteric"
"fereko","Abeokuta"
"feshene","abepithymia"
"feta","ABEPP"
"feteletsa","Abercromby"
"feteletseng","Abercrombie"
"fetileng","Aberdare"
"fetisa","aberdavine"
"feto-fetoha","Aberdeen"
"fetoha","Aberdeenshire"
"fetola","aberdevine"
"fetolela","Aberdonian"
"fiber","aberduvine"
"fiela","Aberfan"
"fihla","Aberglaube"
"fihlella","Aberia"
"filimi","Aberystwyth"
"filosofi","Abernant"
"finyella","Abernathy"
"fisiks","abernethy"
"fodisa","Abernon"
"fofa","aberr"
"fokeha","aberrance"
"fokolang","aberrancy"
"fokotsa","aberrancies"
"fokotseha","aberrant"
"fola","aberrantly"
"folakha","aberrants"
"folete","aberrate"
"foreimi","aberrated"
"foromo","aberrating"
"forum","aberration"
"foufetseng","aberrational"
"franchise","aberrations"
"fumana","aberrative"
"fumaneha","aberrator"
"fumanehile","aberrometer"
"fuoa","aberroscope"
"furalla","Abert"
"galone","aberuncate"
"gop","aberuncator"
"gram","abesse"
"gross","abessive"
"gwanta","abet"
"ha","abetment"
"habeli","abetments"
"habobebe","abets"
"hae","abettal"
"haeba","abettals"
"haha","abetted"
"haholo","abetter"
"haholoholo","abetters"
"haholo-holo","abetting"
"hajoale","abettor"
"halalela","abettors"
"halalelang","Abeu"
"halloween","abevacuation"
"halofo","abfarad"
"hammoho","abfarads"
"hamonate","ABFM"
"hamorao","Abgatha"
"hamore","ABHC"
"hampe","abhenry"
"hana","abhenries"
"hanana","abhenrys"
"hang","abhinaya"
"hangata","abhiseka"
"hanghang","abhominable"
"hantle","abhor"
"hantlentle","abhorred"
"hanyane","abhorrence"
"hanyenyane","abhorrences"
"hanyetsa","abhorrency"
"hanyetsoa","abhorrent"
"hao","abhorrently"
"hape","abhorrer"
"Hape","abhorrers"
"hara","abhorrible"
"hardware","abhorring"
"hasanya","abhors"
"hatisa","Abhorson"
"hatsela","ABI"
"haufi","aby"
"haufinyane","Abia"
"haufi-ufi","Abiathar"
"heck","Abib"
"helikopta","abichite"
"helmete","abidal"
"hempe","abidance"
"hey","abidances"
"hira","abidden"
"hispanic","abide"
"histori","abided"
"historing","abider"
"hlaba","abiders"
"hlabolla","abides"
"hlafuna","abidi"
"hlaha","abiding"
"hlahala","abidingly"
"hlahella","abidingness"
"hlahelletseng","Abidjan"
"hlahisa","Abydos"
"hlahlamanang","Abie"
"hlahloba","abye"
"hlaka","abied"
"hlakile","abyed"
"hlakileng","abiegh"
"hlakisa","abience"
"hlakola","abient"
"Hlakola","Abies"
"hlalefo","abyes"
"hlalosa","abietate"
"hlama","abietene"
"hlano","abietic"
"hlanya","abietin"
"hlapa","Abietineae"
"hlasela","abietineous"
"hlasimolla","abietinic"
"hlatsoetsoa","abietite"
"hlekefetsa","Abiezer"
"hlephileng","Abigael"
"hloa","Abigail"
"hlobolisa","abigails"
"hlobotse","abigailship"
"hloea","Abigale"
"hloekile","abigeat"
"hloekileng","abigei"
"hloela","abigeus"
"hlohlelletsa","Abihu"
"hlohonolofatsa","abying"
"hloka","Abijah"
"hlokahala","Abyla"
"hlokolosi","abilao"
"hlokomela","Abilene"
"Hlokomela","abiliment"
"hlokomoloha","Abilyne"
"hlola","abilitable"
"hloleha","ability"
"hlolla","abilities"
"hlollang","ability's"
"hlolloa","abilla"
"hloloa","abilo"
"hloloheloa","abime"
"hlomella","Abimelech"
"hlometse","Abineri"
"hlomohile","Abingdon"
"hlomphehang","Abinger"
"hlooho","Abington"
"hlopha","Abinoam"
"hlophisa","Abinoem"
"hmm","abintestate"
"ho","abiogeneses"
"hobane","abiogenesis"
"hobaneng","abiogenesist"
"hockey","abiogenetic"
"hodimo","abiogenetical"
"hoeletsa","abiogenetically"
"hohela","abiogeny"
"hohle","abiogenist"
"hoholehile","abiogenous"
"hoka","abiology"
"hokela","abiological"
"hola","abiologically"
"hole","abioses"
"holim'a","abiosis"
"holimo","abiotic"
"holo","abiotical"
"honyela","abiotically"
"hopola","abiotrophy"
"hopotsa","abiotrophic"
"hora","Abipon"
"hore","Abiquiu"
"hormone","abir"
"hosane","abirritant"
"hoseng","abirritate"
"hotele","abirritated"
"huh","abirritating"
"hukung","abirritation"
"hula","abirritative"
"Hula","abys"
"hulanya","Abisag"
"ikamahanya","Abisha"
"ikemetseng","Abishag"
"ikhethang","Abisia"
"ikutloa","abysm"
"ima","abysmal"
"imeile","abysmally"
"inama","abysms"
"indasteri","Abyss"
"index","abyssa"
"Indian","abyssal"
"inehela","abysses"
"inshorense","Abyssinia"
"inthanete","Abyssinian"
"inthaneteng","abyssinians"
"intshi","abyssobenthonic"
"ipad","abyssolith"
"iphapanyetsa","abyssopelagic"
"iphone","abyss's"
"ipolela","abyssus"
"iraki","abiston"
"Iranian","abit"
"irish","Abitibi"
"Iseraele","Abiu"
"islam","abiuret"
"italian","Abixah"
"ithute","abject"
"itlama","abjectedness"
"itloaetsa","abjection"
"itseng","abjections"
"itshepa","abjective"
"itshetleha","abjectly"
"itshetlehile","abjectness"
"itšoara","abjectnesses"
"ja","abjoint"
"January","abjudge"
"jara","abjudged"
"jarete","abjudging"
"jareteng","abjudicate"
"jase","abjudicated"
"jazz","abjudicating"
"jeans","abjudication"
"jela","abjudicator"
"jete","abjugate"
"joala","abjunct"
"joalo","abjunction"
"joang","abjunctive"
"Joang","abjuration"
"June","abjurations"
"junifomo","abjuratory"
"juror","abjure"
"jwale","abjured"
"k’hothone","abjurement"
"ka","abjurer"
"kabelo","abjurers"
"kabo","abjures"
"kaekae","abjuring"
"kahlolo","abkar"
"kaho","abkari"
"kahohle","abkary"
"kajeno","Abkhas"
"kakaretso","Abkhasia"
"kalakuni","Abkhasian"
"kalimo","Abkhaz"
"kamano","Abkhazia"
"kamehla","Abkhazian"
"kamohelo","abl"
"kamora","abl."
"kamore","ablach"
"kampo","ablactate"
"kananelo","ablactated"
"kantle","ablactating"
"kaofela","ablactation"
"kapa","ablaqueate"
"kapele","ablare"
"Kapele","A-blast"
"kapelenyana","ablastemic"
"karabelo","ablastin"
"karabo","ablastous"
"karatjhe","ablate"
"karete","ablated"
"kariki","ablates"
"karohano","ablating"
"karolelano","ablation"
"karolo","ablations"
"karoloana","ablatitious"
"katanela","ablatival"
"katara","ablative"
"katiba","ablatively"
"katleho","ablatives"
"katoliki","ablator"
"katoloso","ablaut"
"katse","ablauts"
"ke","ablaze"
"Keiti","able"
"kelello","able-bodied"
"kelellong","able-bodiedness"
"keletso","ableeze"
"kemiso","ablegate"
"kemolo","ablegates"
"kena","ablegation"
"kenya","able-minded"
"kenyeletsa","able-mindedness"
"kepisi","ablend"
"kerafo","ableness"
"kereke","ablepharia"
"kerese","ablepharon"
"keresemese","ablepharous"
"keriti","Ablepharus"
"ketane","ablepsy"
"keteka","ablepsia"
"ketsahalo","ableptical"
"ketso","ableptically"
"keyboard","abler"
"kgafetsa","ables"
"kgahlamelo","ablesse"
"kgahlang","ablest"
"kgahleho","ablet"
"kgahlisa","ablewhackets"
"kgaitsedi","ably"
"kgama","ablings"
"kganna","ablins"
"kganya","ablock"
"kgaola","abloom"
"kgaotsa","ablow"
"kgaso","ABLS"
"kgathetse","ablude"
"kgefutsa","abluent"
"kgetho","abluents"
"kgethollo","ablush"
"kgetla","ablute"
"kgodisa","abluted"
"kgokelo","ablution"
"kgolo","ablutionary"
"kgonego","ablutions"
"kgoneha","abluvion"
"kgotso","ABM"
"kgotsofalo","abmho"
"kgotsofatsa","abmhos"
"kgotsong","abmodality"
"kgutshoanyane","abmodalities"
"kgutsitse","abn"
"kgwebisano","Abnaki"
"khaba","Abnakis"
"khabareng","abnegate"
"khabinete","abnegated"
"khabohaetereite","abnegates"
"khabone","abnegating"
"khaello","abnegation"
"khahla","abnegations"
"khahlano","abnegative"
"khahleho","abnegator"
"khahlisa","abnegators"
"khakanyo","Abner"
"khalase","abnerval"
"khale","abnet"
"khalefo","abneural"
"khale-khale","abnormal"
"khalendara","abnormalcy"
"khalla","abnormalcies"
"khalori","abnormalise"
"khamera","abnormalised"
"khampani","abnormalising"
"khamphani","abnormalism"
"khamphaseng","abnormalist"
"khang","abnormality"
"khanyetso","abnormalities"
"khaoletsa","abnormalize"
"khaolo","abnormalized"
"k'hapete","abnormalizing"
"kharebe","abnormally"
"kharikhulamo","abnormalness"
"khasa","abnormals"
"khase","abnormity"
"khatello","abnormities"
"Khatholoha","abnormous"
"khatiso","abnumerable"
"khau","Abo"
"khauta","aboard"
"khefi","aboardage"
"Khefutsa","Abobra"
"khemikhale","abococket"
"k'hemistri","abodah"
"khetha","abode"
"khethang","aboded"
"khethehileng","abodement"
"khetho","abodes"
"khetholla","abode's"
"khitla","abody"
"khodisehile","aboding"
"khoebo","abogado"
"khoele","abogados"
"khoeli","abohm"
"khohlano","abohms"
"khoho","aboideau"
"k'holeseterole","aboideaus"
"kholiseho","aboideaux"
"kholomo","aboil"
"khomaretsa","aboiteau"
"khomishenara","aboiteaus"
"khomo","aboiteaux"
"khomphuta","abolete"
"khona","abolish"
"khonahala","abolishable"
"khopisa","abolished"
"khopiso","abolisher"
"khopolo-taba","abolishers"
"khopotso","abolishes"
"khoptjoa","abolishing"
"khosana","abolishment"
"khothaletsa","abolishments"
"khothaletso","abolishment's"
"khothatsa","abolition"
"khothatsang","abolitionary"
"khothatso","abolitionise"
"khoutu","abolitionised"
"khubelu","abolitionising"
"khutla","abolitionism"
"khutsitseng","abolitionist"
"kichineng","abolitionists"
"kit","abolitionize"
"Kleima","abolitionized"
"koae","abolitionizing"
"koala","abolitions"
"koaloa","abolla"
"koatile","abollae"
"kobeha","aboma"
"kobo","abomas"
"koenya","abomasa"
"koetliso","abomasal"
"kofi","abomasi"
"kokoanyana","abomasum"
"kokota","abomasus"
"koleche","abomasusi"
"kolobe","A-bomb"
"kolofo","abominability"
"koloi","abominable"
"kolone","abominableness"
"kolonele","abominably"
"kolotsana","abominate"
"komiti","abominated"
"konkreite","abominates"
"konofole","abominating"
"konopo","abomination"
"konsarete","abominations"
"konteraka","abominator"
"kontinente","abominators"
"kopa","abomine"
"kopana","abondance"
"kopanela","Abongo"
"kopanelo","abonne"
"kopanetsoe","abonnement"
"kopano","aboon"
"kopanya","aborad"
"kopanyelletsa","aboral"
"kopanyo","aborally"
"kopitsa","abord"
"kopo","Aboriginal"
"koranta","aboriginality"
"korea","aboriginally"
"koro","aboriginals"
"korosari","aboriginary"
"kotara","Aborigine"
"kotlo","aborigines"
"kotopo","aborigine's"
"kotsi","Abor-miri"
"Kotsi","Aborn"
"kou","aborning"
"koung","a-borning"
"kristale","aborsement"
"kuku","aborsive"
"kula","abort"
"kulo","aborted"
"kutlo","aborter"
"kutloelo-bohloko","aborters"
"kutloisiso","aborticide"
"kutu","abortient"
"lab","abortifacient"
"label","abortin"
"Labobeli","aborting"
"labohlano","abortion"
"labone","abortional"
"Laboraro","abortionist"
"laboratori","abortionists"
"Laduma","abortions"
"laeborari","abortion's"
"laela","abortive"
"laesense","abortively"
"lahla","abortiveness"
"lahleheloa","abortogenic"
"lahlehileng","aborts"
"lahlela","abortus"
"lane","abortuses"
"laola","abos"
"lapile","abote"
"laptop","Abott"
"laser","abouchement"
"latela","aboudikro"
"latelang","abought"
"latola","Aboukir"
"lay","aboulia"
"le","aboulias"
"le/kapa","aboulic"
"leano","abound"
"lebaka","abounded"
"lebala","abounder"
"lebanta","abounding"
"lebatowa","aboundingly"
"lebella","abounds"
"lebelletsoe","Abourezk"
"lebelo","about"
"lebenkele","about-face"
"lebenkeleng","about-faced"
"lebese","about-facing"
"lebili","abouts"
"lebisa","about-ship"
"lebitla","about-shipped"
"lebitso","about-shipping"
"leboea","about-sledge"
"leboea-bochabela","about-turn"
"leboea-bophirimela","above"
"leboha","aboveboard"
"lebohang","above-board"
"lebokose","above-cited"
"lebone","abovedeck"
"lebopong","above-found"
"lebota","above-given"
"lebotho","aboveground"
"leeme","abovementioned"
"leetong","above-mentioned"
"lefa","above-named"
"lefahla","aboveproof"
"lefapha","above-quoted"
"lefatshe","above-reported"
"lefeella","aboves"
"lefifi","abovesaid"
"lefika","above-said"
"lefokisi","abovestairs"
"lefu","above-water"
"lefutso","above-written"
"leha","abow"
"lehae","abox"
"lehaha","Abp"
"lehalima","ABPC"
"lehare","Abqaiq"
"lehata","abr"
"lehe","abr."
"lehlabathe","Abra"
"lehlabula","abracadabra"
"lehlakore","abrachia"
"lehlaku","abrachias"
"lehloa","abradable"
"lehlohonolo","abradant"
"lehloyo","abradants"
"lehoatata","abrade"
"lehodimong","abraded"
"lehola","abrader"
"leholimo","abraders"
"leholiotsoana","abrades"
"lehong","abrading"
"leihlo","Abraham"
"leino","Abrahamic"
"lejoe","Abrahamidae"
"leka","Abrahamite"
"lekala","Abrahamitic"
"lekana","Abraham-man"
"lekanang","Abrahams"
"lekaneng","Abrahamsen"
"lekanya","Abrahan"
"lekanyetsoa","abray"
"lekgoba","abraid"
"lekhalo","Abram"
"lekhetho","Abramis"
"lekholo","Abramo"
"lekhotla","Abrams"
"lekola","Abramson"
"lekunutu","Abran"
"lekunutung","abranchial"
"lelakabe","abranchialism"
"lelapa","abranchian"
"lelekisa","Abranchiata"
"leleme","abranchiate"
"lelera","abranchious"
"leloala","abrasax"
"lemoha","abrase"
"lemohile","abrased"
"lemosa","abraser"
"lenaka","abrash"
"lenaneo","abrasing"
"lengeloi","abrasiometer"
"lengole","abrasion"
"lengolo","abrasions"
"lengolo-tsoibila","abrasion's"
"lenqosa","abrasive"
"lense","abrasively"
"lentsoe","abrasiveness"
"lenyalo","abrasivenesses"
"leoatle","abrasives"
"leoto","abrastol"
"lepato","abraum"
"lepheo","abraxas"
"lephephe","abrazite"
"lepotlapotla","abrazitic"
"leqaqailana","abrazo"
"leqeba","abrazos"
"leqephe","abreact"
"leqheka","abreacted"
"leqhoa","abreacting"
"leqhubu","abreaction"
"lera","abreactions"
"leraba","abreacts"
"lerama","abreast"
"lerata","abreed"
"lerato","abrege"
"lero","abreid"
"lerole","abrenounce"
"leru","abrenunciate"
"leruarua","abrenunciation"
"leruo","abreption"
"lesaka","abret"
"lesapo","abreuvoir"
"lesea","abri"
"lesela","abrico"
"leseli","abricock"
"leshano","abricot"
"leshodu","abridgable"
"leshome","abridge"
"lesira","abridgeable"
"lesoba","abridged"
"lesoha","abridgedly"
"lesole","abridgement"
"lesupa","abridgements"
"letamo","abridger"
"letata","abridgers"
"lethathamo","abridges"
"letheba","abridging"
"letheka","abridgment"
"letho","abridgments"
"letlalo","abrim"
"letlapa","abrin"
"letlole","abrine"
"letlotlo","abris"
"letoto","abristle"
"letsa","abroach"
"letsatsi","abroad"
"letsete","Abrocoma"
"letsetsoa","abrocome"
"letsha","abrogable"
"letsholo","abrogate"
"letsoai","abrogated"
"letsoalloa","abrogates"
"letsoalo","abrogating"
"letšoao","abrogation"
"letsoapo","abrogations"
"letsoho","abrogative"
"letsopa","abrogator"
"liaparo","abrogators"
"libaktheria","Abroma"
"libilione","Abroms"
"lichelete","Abronia"
"lifti","abrood"
"ligi","abrook"
"lihele","abrosia"
"lihlahisoa","abrosias"
"lihlong","abrotanum"
"lijalo","abrotin"
"lijo-thollo","abrotine"
"likepe","abrupt"
"likhetho","abruptedly"
"likhomo","abrupter"
"lilemo","abruptest"
"linaoa","abruptio"
"lingoliloeng","abruption"
"linku","abruptiones"
"lintho","abruptly"
"lintlha","abruptness"
"liolimpiki","Abrus"
"lipalo","Abruzzi"
"lipalo-palo","ABS"
"lipatlisiso","abs-"
"liphallelo","Absa"
"lipolotiki","Absalom"
"lipolotiking","absampere"
"lisebelisoa","Absaraka"
"litekanyetso","Absaroka"
"litepisi","Absarokee"
"lithethefatsi","absarokite"
"lithuso","ABSBH"
"litlamong","abscam"
"litopo","abscess"
"litšenyehelo","abscessed"
"litšila","abscesses"
"litšoantšo","abscessing"
"lla","abscession"
"lobby","abscessroot"
"log","abscind"
"logic","abscise"
"lokafatsa","abscised"
"lokela","abscises"
"loketseng","abscisin"
"lokhara","abscising"
"lokile","abscisins"
"lokisa","abscision"
"lokisetsa","absciss"
"lokolla","abscissa"
"loma","abscissae"
"loop","abscissas"
"lora","abscissa's"
"lula","abscisse"
"Lumela","abscissin"
"lumelisa","abscission"
"lumella","abscissions"
"mabenkele","absconce"
"mabenyane","abscond"
"mabifi","absconded"
"machaba","abscondedly"
"madi","abscondence"
"madimabe","absconder"
"maele","absconders"
"maemo","absconding"
"mafaratlhatlha","absconds"
"mafolofolo","absconsa"
"mafube","abscoulomb"
"mafura","abscound"
"mafutsana","Absecon"
"mahaeng","absee"
"mahala","absey"
"mahareng","abseil"
"mahetla","abseiled"
"mahlahahlaha","abseiling"
"mahlale","abseils"
"mahlaseli","absence"
"mahlomola","absences"
"mahoashe","absence's"
"maikemisetso","absent"
"maiketsetso","absentation"
"maikutlo","absented"
"maikutlong","absentee"
"mainstream","absenteeism"
"makalla","absentees"
"makasine","absentee's"
"makatsa","absenteeship"
"makatsang","absenter"
"makatsang","absenters"
"makhaola-khang","absentia"
"mak'henike","absenting"
"mala","absently"
"malapeng","absentment"
"malome","absentminded"
"mama","absent-minded"
"mamela","absentmindedly"
"mamella","absent-mindedly"
"mamello","absentmindedness"
"'mampoli","absent-mindedness"
"mananeo","absentmindednesses"
"mang","absentness"
"mangolo","absents"
"Mantaha","absfarad"
"mantlha","abshenry"
"mantsiboea","Abshier"
"mantsoe","Absi"
"manyala","absinth"
"manyolo","absinthe"
"maobane","absinthes"
"'mapa","absinthial"
"maqheku","absinthian"
"marabele","absinthiate"
"marangrang","absinthiated"
"marato","absinthiating"
"mariha","absinthic"
"marulelo","absinthiin"
"masene","absinthin"
"Masepa","absinthine"
"mashala","absinthism"
"maske","absinthismic"
"masoabi","absinthium"
"matekoane","absinthol"
"matha","absinthole"
"mathang","absinths"
"mathata","Absyrtus"
"mathule","absis"
"matla","absist"
"matlafatsa","absistos"
"matlakala","absit"
"matlo","absmho"
"matsapa","absohm"
"matšeliso","absoil"
"matšoafo","absolent"
"matsoalloa","Absolute"
"matšoenyeho","absolutely"
"mebaraka","absoluteness"
"mefuta","absoluter"
"mefuta-futa","absolutes"
"mema","absolutest"
"memo","absolution"
"menahane","absolutions"
"menu","absolutism"
"menyenyetsi","absolutist"
"meputso","absolutista"
"mesarelo","absolutistic"
"mesebetsi","absolutistically"
"mesifa","absolutists"
"metara","absolutive"
"methapo","absolutization"
"metlae","absolutize"
"metsi","absolutory"
"Mexico","absolvable"
"milione","absolvatory"
"misaele","absolve"
"mm","absolved"
"mmadi","absolvent"
"mmala","absolver"
"mmampodi","absolvers"
"mmaraka","absolves"
"mme","absolving"
"mmele","absolvitor"
"mmeleng","absolvitory"
