"Tajik","English"
"афзалиятнок","abarticulation"
"афзалтар","Abas"
"афзоиш","abase"
"афзуд","abased"
"африқоӣ","abasedly"
"африқоӣ-амрикоӣ","abasedness"
"афсона","abasement"
"афсонавӣ","abasements"
"афсурда","abaser"
"афтод","abasers"
"ах","abases"
"ахбор","Abasgi"
"ахлок","abash"
"ахлоқӣ","abashed"
"ахлот","abashedly"
"ахмак","abashedness"
"ахолй","abashes"
"аҳамият","abashing"
"Аҳмақ","abashless"
"аҷиб","abashlessly"
"аҷиб","abashment"
"ашё","abashments"
"ашк","abasia"
"аъзо","abasias"
"аъло","abasic"
"ба","abasing"
"бад","abasio"
"бадан","abask"
"бадбахт","abassi"
"бадей","Abassieh"
"бадеӣ","Abassin"
"баён","abastard"
"базӯр","abastardize"
"байналхалкй","abastral"
"байни","abatable"
"бактерияҳо","abatage"
"бақайдгирӣ","Abate"
"баланд","abated"
"баландй","abatement"
"бале","abatements"
"балки","abater"
"банақшагирӣ","abaters"
"банан","abates"
"банд","abatic"
"бандар","abating"
"банди","abatis"
"банкир","abatised"
"бар","abatises"
"барабан","abatjour"
"баракат","abatjours"
"барвакт","abaton"
"барг","abator"
"баргашт","abators"
"баргаштан","ABATS"
"бардоштан","abattage"
"барзагов","abattis"
"барқ","abattised"
"барқарор","abattises"
"барқароршавӣ","abattoir"
"барнома","abattoirs"
"барномасозӣ","abattu"
"баробар","abattue"
"баробари","Abatua"
"баробарй","abature"
"бародар","abaue"
"барои","abave"
"баромад","abaxial"
"баромадан","abaxile"
"Баромадгоҳ","abaze"
"бароҳат","abb"
"барраси","Abba"
"баррасӣ","abbacy"
"баррел","abbacies"
"бартарй","abbacomes"
"барф","Abbadide"
"бархост","Abbai"
"бархостан","abbaye"
"барҷаста","abbandono"
"баръакс","abbas"
"бас","abbasi"
"баскетбол","Abbasid"
"басомад","abbassi"
"баста","Abbassid"
"бат","Abbasside"
"батарея","Abbate"
"бахс","abbatial"
"бахт","abbatical"
"бахш","abbatie"
"бахшида","Abbe"
"бахшидан","Abbey"
"бахшиш","abbeys"
"баҳор","abbey's"
"баҳр","abbeystead"
"баҳрӣ","abbeystede"
"баҳс","abbes"
"баҳснок","abbess"
"бача","abbesses"
"баъд","abbest"
"баъди","Abbevilean"
"Баъдӣ","Abbeville"
"баъдтар","Abbevillian"
"баъзан","Abbi"
"баъзе","Abby"
"бе","Abbie"
"беақл","Abbye"
"бебарор","Abbyville"
"бевосита","abboccato"
"бегона","abbogada"
"бегуноҳ","Abbot"
"бедор","abbotcy"
"бейсбол","abbotcies"
"бекор","abbotnullius"
"бекорй","abbotric"
"бемисл","abbots"
"бемор","abbot's"
"беморӣ","Abbotsen"
"беморхона","Abbotsford"
"беназир","abbotship"
"бензин","abbotships"
"бениҳоят","Abbotson"
"беном","Abbotsun"
"беохир","Abbott"
"бераҳм","Abbottson"
"берун","Abbottstown"
"беруна","Abboud"
"бесарусомонй","abbozzo"
"бесарусомонӣ","ABBR"
"бетараф","abbrev"
"бетартибӣ","abbreviatable"
"бетон","abbreviate"
"бефоида","abbreviated"
"бехатар","abbreviately"
"бехатарӣ","abbreviates"
"бехбудй","abbreviating"
"бехонумон","abbreviation"
"бехтар","abbreviations"
"беҳтарин","abbreviator"
"беҳтаршавӣ","abbreviatory"
"бечора","abbreviators"
"бештар","abbreviature"
"Бештар","abbroachment"
"бешубҳа","ABC"
"бешумор","abcess"
"биби","abcissa"
"бигзор","abcoulomb"
"бигӯед","ABCs"
"биёбон","abd"
"биёед","abdal"
"бикӯбед","abdali"
"бинед","abdaria"
"бинӣ","abdat"
"биниш","Abdel"
"бино","Abd-el-Kadir"
"бинӯшед","Abd-el-Krim"
"биологй","Abdella"
"биология","Abderhalden"
"биринҷ","Abderian"
"бисёр","Abderite"
"бист","Abderus"
"бисьёр","abdest"
"бихӯред","Abdias"
"бичашед","abdicable"
"блог","abdicant"
"блок","abdicate"
"бо","abdicated"
"боб","abdicates"
"бобо","abdicating"
"боварй","abdication"
"боваринок","abdications"
"боғ","abdicative"
"бодиққат","abdicator"
"боз","Abdiel"
"боздид","abditive"
"боздошт","abditory"
"боздоштан","abdom"
"бозӣ","abdomen"
"бозингар","abdomens"
"бозича","abdomen's"
"бозор","abdomina"
"бозу","abdominal"
"бой","Abdominales"
"боистеъдод","abdominalia"
"боқимонда","abdominalian"
"бол","abdominally"
"болаззат","abdominals"
"болга","abdominoanterior"
"болишт","abdominocardiac"
"боло","abdominocentesis"
"болотар","abdominocystic"
"бомба","abdominogenital"
"бомуваффакият","abdominohysterectomy"
"бонк","abdominohysterotomy"
"бонкдорӣ","abdominoposterior"
"бонус","abdominoscope"
"бори","abdominoscopy"
"борик","abdominothoracic"
"борон","abdominous"
"Боҷ","abdomino-uterotomy"
"бошад","abdominovaginal"
"бошуур","abdominovesical"
"боэътимод","Abdon"
"бояд","Abdu"
"браузер","abduce"
"бренд","abduced"
"бритониёӣ","abducens"
"буг","abducent"
"будан","abducentes"
"буз","abduces"
"бузург","abducing"
"бузургӣ","abduct"
"бузургҷусса","abducted"
"бӯй","abducting"
"булӯр","abduction"
"бум","abductions"
"бумӣ","abduction's"
"бургер","abductor"
"бурд","abductores"
"бурдан","abductors"
"бурида","abductor's"
"буридан","abducts"
"буса","Abdul"
"бут","Abdul-Aziz"
"бутта","Abdul-baha"
"бухгалтерия","Abdulla"
"бӯҳрон","Abe"
"бучет","a-be"
"бюллетень","abeam"
"бюро","abear"
"ва","abearance"
"ва/ё","Abebi"
"вагон","abecedaire"
"вазир","abecedary"
"вазифа","abecedaria"
"вазифадор","abecedarian"
"вазн","abecedarians"
"вазнин","abecedaries"
"вазнинӣ","abecedarium"
"вазорат","abecedarius"
"вазъият","abed"
"вай","abede"
"ваксина","abedge"
"вақт","Abednego"
"вақтхушӣ","abegge"
"вампир","Abey"
"ван","abeyance"
"ванна","abeyances"
"ВАО","abeyancy"
"варақ","abeyancies"
"варам","abeyant"
"варзиш","abeigh"
"варзишгар","ABEL"
"Варзишгоҳ","Abelard"
"варзишӣ","abele"
"вариант","abeles"
"васеъ","Abelia"
"васеъшавӣ","Abelian"
"васиятнома","Abelicea"
"васлаки","Abelite"
"ватан","Abell"
"ватанӣ","Abelmoschus"
"вафодор","abelmosk"
"ваҳшӣ","abelmosks"
"ваъда","abelmusk"
"веб","Abelonian"
"вебсайт","Abelson"
"велосипед","abeltree"
"версия","Abencerrages"
"ветеран","abend"
"видео","abends"
"визуалӣ","Abenezra"
"вилоят","abenteric"
"вино","Abeokuta"
"винт","abepithymia"
"виртуалӣ","ABEPP"
"вирус","Abercromby"
"витамин","Abercrombie"
"вичдон","Aberdare"
"води","aberdavine"
"вой","Aberdeen"
"вокал","Aberdeenshire"
"воқеӣ","aberdevine"
"воқеият","Aberdonian"
"вомбарг","aberduvine"
"воридот","Aberfan"
"вохӯред","Aberglaube"
"вохӯрӣ","Aberia"
"воҳиди","Aberystwyth"
"вояи","Abernant"
"вуруд","Abernathy"
"выставка","abernethy"
"газ","Abernon"
"газад","aberr"
"газета","aberrance"
"газон","aberrancy"
"ғайриқонунӣ","aberrancies"
"ғайриоддӣ","aberrant"
"ғайритиҷоратӣ","aberrantly"
"ғайричашмдошт","aberrants"
"галаба","aberrate"
"галактика","aberrated"
"галерея","aberrating"
"галла","aberration"
"галлон","aberrational"
"галстук","aberrations"
"ғам","aberrative"
"ғамхорӣ","aberrator"
"гандум","aberrometer"
"ганҷ","aberroscope"
"гарав","Abert"
"гаравгон","aberuncate"
"гараж","aberuncator"
"ғараз","abesse"
"ғарб","abessive"
"ғарбӣ","abet"
"гардан","abetment"
"гардиш","abetments"
"гарм","abets"
"гармй","abettal"
"гарчанде","abettals"
"ғафс","abetted"
"гей","abetter"
"ғелонда","abetters"
"ген","abetting"
"генерал","abettor"
"генетикӣ","abettors"
"гениал","Abeu"
"ғизо","abevacuation"
"гил","abfarad"
"гипотеза","abfarads"
"гиранд","ABFM"
"гиранда","Abgatha"
"гиребон","ABHC"
"гирифтан","abhenry"
"гиря","abhenries"
"гитара","abhenrys"
"глобалӣ","abhinaya"
"глобус","abhiseka"
"гов","abhominable"
"ғолиб","abhor"
"голландӣ","abhorred"
"голф","abhorrence"
"гоп","abhorrences"
"ғор","abhorrency"
"гормон","abhorrent"
"гражданй","abhorrently"
"грамм","abhorrer"
"грант","abhorrers"
"график","abhorrible"
"графикӣ","abhorring"
"губернатор","abhors"
"гуворо","Abhorson"
"гудохта","ABI"
"гуё","aby"
"гӯё","Abia"
"Гузар","Abiathar"
"гузаранд","Abib"
"гузаранда","abichite"
"гузаред","abidal"
"гузариш","abidance"
"гузашта","abidances"
"гузориш","abidden"
"гузошта","abide"
"гул","abided"
"гулобӣ","abider"
"гулом","abiders"
"ғуломӣ","abides"
"гулӯ","abidi"
"гумон","abiding"
"гумонбаршуда","abidingly"
"гумшуда","abidingness"
"гунахгор","Abidjan"
"гунг","Abydos"
"гуногун","Abie"
"гуногунранг","abye"
"гуноҳ","abied"
"гурба","abyed"
"гург","abiegh"
"гуреза","abience"
"гурехт","abient"
"гурехтан","Abies"
"гурусна","abyes"
"гуруснагӣ","abietate"
"гурӯҳ","abietene"
"гусфанд","abietic"
"гуфтан","abietin"
"гуфтушунид","Abietineae"
"гӯш","abietineous"
"гӯшае","abietinic"
"гушт","abietite"
"гӯшт","Abiezer"
"даванда","Abigael"
"давидан","Abigail"
"давлат","abigails"
"давра","abigailship"
"даври","Abigale"
"даврон","abigeat"
"дагал","abigei"
"дақиқ","abigeus"
"дақиқа","Abihu"
"дақиқӣ","abying"
"далел","Abijah"
"далер","Abyla"
"далерй","abilao"
"дандон","Abilene"
"дар","abiliment"
"дарахт","Abilyne"
"дараҷа","abilitable"
"дарвоза","ability"
"Дарвоза","abilities"
"дард","ability's"
"дардовар","abilla"
"дарё","abilo"
"дарида","abime"
"дарк","Abimelech"
"дароз","Abineri"
"дарозӣ","Abingdon"
"дарозмуддат","Abinger"
"даромад","Abington"
"Даромадгоҳ","Abinoam"
"дарранда","Abinoem"
"дарс","abintestate"
"дарун","abiogeneses"
"дархост","abiogenesis"
"дасиса","abiogenesist"
"даст","abiogenetic"
"даста","abiogenetical"
"дастгирй","abiogenetically"
"дастгоҳ","abiogeny"
"дастмол","abiogenist"
"дастовард","abiogenous"
"дастпӯшак","abiology"
"дастрас","abiological"
"дастрасӣ","abiologically"
"дастур","abioses"
"дастурдиханда","abiosis"
"дахлдор","abiotic"
"дахонй","abiotical"
"даҳ","abiotically"
"даҳон","abiotrophy"
"даҳсола","abiotrophic"
"даҳҳо","Abipon"
"даҳшат","Abiquiu"
"даҳшатнок","abir"
"даъват","abirritant"
"даъво","abirritate"
"Даъво","abirritated"
"дебют","abirritating"
"дев","abirritation"
"девона","abirritative"
"девор","abys"
"дег","Abisag"
"декабр","Abisha"
"декларация","Abishag"
"демографй","Abisia"
"демократ","abysm"
"демократй","abysmal"
"демократия","abysmally"
"депрессия","abysms"
"депутат","Abyss"
"дер","abyssa"
"детектив","abyssal"
"дехкон","abysses"
"диаграмма","Abyssinia"
"диапазон","Abyssinian"
"диван","abyssinians"
"дигар","abyssobenthonic"
"дидан","abyssolith"
"диккат","abyssopelagic"
"дил","abyss's"
"дилгиркунанда","abyssus"
"дилер","abiston"
"дилпур","abit"
"дилрабоӣ","Abitibi"
"дилсӯзӣ","Abiu"
"дилчасп","abiuret"
"дин","Abixah"
"динамика","abject"
"динамикӣ","abjectedness"
"динӣ","abjection"
"дипломатй","abjections"
"директор","abjective"
"дируз","abjectly"
"диск","abjectness"
"дифоъ","abjectnesses"
"дна","abjoint"
"додан","abjudge"
"доимӣ","abjudged"
"доимо","abjudging"
"доира","abjudicate"
"доираи","abjudicated"
"док","abjudicating"
"доллар","abjudication"
"долон","abjudicator"
"дом","abjugate"
"доман","abjunct"
"домен","abjunction"
"дониш","abjunctive"
"донишомӯз","abjuration"
"донишҷӯ","abjurations"
"доно","abjuratory"
"донор","abjure"
"доранд","abjured"
"дорои","abjurement"
"дору","abjurer"
"дорувори","abjurers"
"дохилӣ","abjures"
"доштан","abjuring"
"драма","abkar"
"драмавӣ","abkari"
"ду","abkary"
"дуб","Abkhas"
"дувоздаҳ","Abkhasia"
"дугона","Abkhasian"
"дуд","Abkhaz"
"дузд","Abkhazia"
"дуздӣ","Abkhazian"
"дуздидан","abl"
"дум","abl."
"дунё","ablach"
"дунявӣ","ablactate"
"дур","ablactated"
"дурахшон","ablactating"
"дурдаст","ablactation"
"дурнамо","ablaqueate"
"дурӯғ","ablare"
"Дурӯғ","A-blast"
"дурӯғгӯй","ablastemic"
"дуруст","ablastin"
"Дуруст","ablastous"
"дуст","ablate"
"дустам","ablated"
"дӯстдошта","ablates"
"дӯстдухтар","ablating"
"дустй","ablation"
"дустона","ablations"
"духтар","ablatitious"
"духтур","ablatival"
"дучанд","ablative"
"душ","ablatively"
"Душанбе","ablatives"
"душвор","ablator"
"душворӣ","ablaut"
"душман","ablauts"
"душманона","ablaze"
"дуюм","able"
"дюйм","able-bodied"
"ё","able-bodiedness"
"ёдгори","ableeze"
"ёдгорй","ablegate"
"ёздаҳ","ablegates"
"ёрдамчи","ablegation"
"ёрдамчй","able-minded"
"Ёрӣ","able-mindedness"
"ёрирасон","ablend"
"ёфт","ableness"
"ёфтан","ablepharia"
"жанр","ablepharon"
"журнал","ablepharous"
"журналист","Ablepharus"
"журналистика","ablepsy"
"жюри","ablepsia"
"забон","ableptical"
"завод","ableptically"
"зад","abler"
"задан","ables"
"зайтун","ablesse"
"заиф","ablest"
"замин","ablet"
"замина","ablewhackets"
"заминларза","ably"
"зан","ablings"
"занг","ablins"
"зангзананда","ablock"
"занҷир","abloom"
"зарар","ablow"
"зарба","ABLS"
"заргарӣ","ablude"
"зард","abluent"
"зарра","abluents"
"зарур","ablush"
"зарурат","ablute"
"зарф","abluted"
"заряд","ablution"
"захира","ablutionary"
"захм","ablutions"
"заҳролуд","abluvion"
"зебо","ABM"
"зебоӣ","abmho"
"зеро","abmhos"
"зидди","abmodality"
"зиёд","abmodalities"
"зиёӣ","abn"
"зикр","Abnaki"
"зимистон","Abnakis"
"зинапоя","abnegate"
"зинда","abnegated"
"зиндагӣ","abnegates"
"зиндамонда","abnegating"
"зиндон","abnegation"
"зироат","abnegations"
"зичии","abnegative"
"зишт","abnegator"
"зодруз","abnegators"
"зону","Abner"
"зуд","abnerval"
"зуд-зуд","abnet"
"зуровар","abneural"
"зӯроварӣ","abnormal"
"ибора","abnormalcy"
"ибтидой","abnormalcies"
"ибтидоӣ","abnormalise"
"ид","abnormalised"
"идеал","abnormalising"
"идеологй","abnormalism"
"идеология","abnormalist"
"идея","abnormality"
"идора","abnormalities"
"идоракунй","abnormalize"
"издивоҷ","abnormalized"
"издиҳом","abnormalizing"
"изтироб","abnormally"
"изхорот","abnormalness"
"иктидор","abnormals"
"иктисодй","abnormity"
"иктисодиёт","abnormities"
"иқлим","abnormous"
"иқтибос","abnumerable"
"иқтисодчӣ","Abo"
"иллюзия","aboard"
"илм","aboardage"
"илмй","Abobra"
"илова","abococket"
"иловагӣ","abodah"
"илоҳӣ","abode"
"илтимос","aboded"
"илҳом","abodement"
"имзо","abodes"
"имкон","abode's"
"имконият","abody"
"имконнопазир","aboding"
"имло","abogado"
"иммунитет","abogados"
"имон","abohm"
"император","abohms"
"империя","aboideau"
"импулс","aboideaus"
"имруз","aboideaux"
"имтиёз","aboil"
"имтихон","aboiteau"
"имшаб","aboiteaus"
"ин","aboiteaux"
"инвентаризатсия","abolete"
"индекс","abolish"
"инженер","abolishable"
"инкишоф","abolished"
"инсон","abolisher"
"инсоният","abolishers"
"инспектор","abolishes"
"инстинкт","abolishing"
"институт","abolishment"
"институтсионалй","abolishments"
"инструктор","abolishment's"
"инсулт","abolition"
"интеграция","abolitionary"
"интернет","abolitionise"
"интерфейс","abolitionised"
"интизом","abolitionising"
"интизор","abolitionism"
"интизорӣ","abolitionist"
"интиқол","abolitionists"
"интиқолдиҳанда","abolitionize"
"интихоб","abolitionized"
"интихобкунанда","abolitionizing"
"интихобот","abolitions"
"интихоботй","abolla"
"инфляция","abollae"
"инфраструктура","aboma"
"инхо","abomas"
"инчунин","abomasa"
"иншо","abomasal"
"иншоот","abomasi"
"инъикос","abomasum"
"ирландӣ","abomasus"
"ироқӣ","abomasusi"
"исбот","A-bomb"
"ислом","abominability"
"исломй","abominable"
"ислохот","abominableness"
"ислоҳ","abominably"
"ислоҳот","abominate"
"испанӣ","abominated"
"Исроил","abominates"
"Ист","abominating"
"истехсолкунанда","abomination"
"истехсолот","abominations"
"истеъдод","abominator"
"истеъмол","abominators"
"истеъмолкунанда","abomine"
"истиклолият","abondance"
"истинод","Abongo"
"истирохат","abonne"
"истироҳат","abonnement"
"истисно","aboon"
"истисноӣ","aborad"
"истифода","aboral"
"истода","aborally"
"итолиёӣ","abord"
"иттифоқ","Aboriginal"
"иттифоқчӣ","aboriginality"
"ифлос","aboriginally"
"ифлосшавӣ","aboriginals"
"ифода","aboriginary"
"ифтихор","Aborigine"
"ихтиёрй","aborigines"
"ихтироъ","aborigine's"
"иҷозат","Abor-miri"
"иҷозатнома","Aborn"
"иҷора","aborning"
"иҷро","a-borning"
"иҷрои","aborsement"
"ичроия","aborsive"
"ичрокунанда","abort"
"ишғол","aborted"
"ишк","aborter"
"ишора","aborters"
"иштирок","aborticide"
"иштирокчй","abortient"
"июл","abortifacient"
"июн","abortin"
"кабел","aborting"
"кабина","abortion"
"кабинет","abortional"
"кабуд","abortionist"
"кабул","abortionists"
"кадрхо","abortions"
"казино","abortion's"
"кай","abortive"
"кайфият","abortively"
"каламуш","abortiveness"
"калид","abortogenic"
"калима","aborts"
"калисо","abortus"
"калон","abortuses"
"калонсол","abos"
"калория","abote"
"кам","Abott"
"камарбанд","abouchement"
"камбизоатӣ","aboudikro"
"камбуди","abought"
"каме","Aboukir"
"камера","aboulia"
"камомад","aboulias"
"кампус","aboulic"
"камтар","abound"
"Камтар","abounded"
"камтарин","abounder"
"канадагӣ","abounding"
"канал","aboundingly"
"канвас","abounds"
"канор","Abourezk"
"капитализм","about"
"капитан","about-face"
"карбогидрат","about-faced"
"карбон","about-facing"
"кариб","abouts"
"карор","about-ship"
"картошка","about-shipped"
"касали","about-shipping"
"касб","about-sledge"
"касбй","about-turn"
"касе","above"
"каср","aboveboard"
"кат","above-board"
"категория","above-cited"
"католикӣ","abovedeck"
"катъй","above-found"
"катъиян","above-given"
"кафе","aboveground"
"кафедра","abovementioned"
"кафида","above-mentioned"
"кафолат","above-named"
"каҷ","aboveproof"
"кашидан","above-quoted"
"Кашидан","above-reported"
"кашф","aboves"
"квантй","abovesaid"
"квартал","above-said"
"квартира","abovestairs"
"ки","above-water"
"кина","above-written"
"киноя","abow"
"кирокаш","abox"
"киса","Abp"
"кислота","ABPC"
"кит","Abqaiq"
"китоб","abr"
"китобхона","abr."
"китф","Abra"
"китъа","abracadabra"
"кифоя","abrachia"
"кишвар","abrachias"
"кишлок","abradable"
"киштй","abradant"
"киштӣ","abradants"
"клавиатура","abrade"
"классикӣ","abraded"
"кластер","abrader"
"клиника","abraders"
"клиникӣ","abrades"
"клип","abrading"
"клуб","Abraham"
"ковбой","Abrahamic"
"коғаз","Abrahamidae"
"код","Abrahamite"
"коинот","Abrahamitic"
"коллективона","Abraham-man"
"коллектор","Abrahams"
"коллеҷ","Abrahamsen"
"колония","Abrahan"
"командир","abray"
"комбинатсияи","abraid"
"комёбй","Abram"
"комедия","Abramis"
"комил","Abramo"
"комилан","Abrams"
"комиссар","Abramson"
"комиссия","Abran"
"комитет","abranchial"
"коммунистй","abranchialism"
"компонент","abranchian"
"компютер","Abranchiata"
"конвенсия","abranchiate"
"конгресс","abranchious"
"конгрессй","abrasax"
"консенсус","abrase"
"консепсия","abrased"
"консервативй","abraser"
"консерт","abrash"
"конституционй","abrasing"
"конституция","abrasiometer"
"конструктор","abrasion"
"контейнер","abrasions"
"контекст","abrasion's"
"континент","abrasive"
"конунгузор","abrasively"
"конунгузорй","abrasiveness"
"конференция","abrasivenesses"
"конфет","abrasives"
"концентрация","abrastol"
"координатор","abraum"
"кор","abraxas"
"корбар","abrazite"
"коргар","abrazitic"
"корд","abrazo"
"кореягӣ","abrazos"
"коркард","abreact"
"коркардкунанда","abreacted"
"корпоративӣ","abreacting"
"корпоратсия","abreaction"
"корпус","abreactions"
"корт","abreacts"
"корфармо","abreast"
"корхона","abreed"
"коса","abrege"
"косаи","abreid"
"костюм","abrenounce"
"котиб","abrenunciate"
"кофӣ","abrenunciation"
"кофта","abreption"
"коҳин","abret"
"кредит","abreuvoir"
"крем","abri"
"круиз","abrico"
"кувва","abricock"
"кӯдак","abricot"
"кӯдакӣ","abridgable"
"кӯза","abridge"
"куки","abridgeable"
"кӯл","abridged"
"кулоҳ","abridgedly"
"куль","abridgement"
"кумак","abridgements"
"кунад","abridger"
"кунҷ","abridgers"
"кунҷкобу","abridges"
"кунҷковӣ","abridging"
"купрук","abridgment"
"кӯр","abridgments"
"курорт","abrim"
"курпа","abrin"
"курс","abrine"
"курсӣ","abris"
"курсии","abristle"
"курта","abroach"
"куртка","abroad"
"кӯтоҳ","Abrocoma"
"кӯҳ","abrocome"
"кӯҳна","abrogable"
"кӯча","abrogate"
"кушиш","abrogated"
"кушода","abrogates"
"кушодан","abrogating"
"куштан","abrogation"
"куштор","abrogations"
"қабат","abrogative"
"қабила","abrogator"
"қабилавӣ","abrogators"
"қабр","Abroma"
"қабул","Abroms"
"қабулкунанда","Abronia"
"қавӣ","abrood"
"қадам","abrook"
"қадимӣ","abrosia"
"қадрдонӣ","abrosias"
"қалам","abrotanum"
"қалбакӣ","abrotin"
"қаллобӣ","abrotine"
"қалмоқ","abrupt"
"қалъа","abruptedly"
"қамчин","abrupter"
"қаноатмандӣ","abruptest"
"қарз","abruptio"
"қарздор","abruption"
"қариб","abruptiones"
"қаср","abruptly"
"қат","abruptness"
"қатор","Abrus"
"қатрон","Abruzzi"
"қафас","ABS"
"қаҳва","abs-"
"қаҳваранг","Absa"
"қаҳрамон","Absalom"
"қимат","absampere"
"қиматбаҳо","Absaraka"
"қисм","Absaroka"
"қисман","Absarokee"
"қисми","absarokite"
"қобилият","ABSBH"
"қодир","abscam"
"қоида","abscess"
"қолин","abscessed"
"қонун","abscesses"
"қонунгузор","abscessing"
"қонунгузорӣ","abscession"
"қонунӣ","abscessroot"
"қотил","abscind"
"қошуқи","abscise"
"қубур","abscised"
"қувват","abscises"
"қулла","abscisin"
"қулф","abscising"
"қум","abscisins"
"қурбонӣ","abscision"
"қуттӣ","absciss"
"лаб","abscissa"
"лаборатория","abscissae"
"лавҳа","abscissas"
"лагерь","abscissa's"
"лағжиш","abscisse"
"лазер","abscissin"
"лаззат","abscission"
"ламс","abscissions"
"лангар","absconce"
"лаҳза","abscond"
"лашкар","absconded"
"лаънат","abscondedly"
"Лаънат","abscondence"
"лейтенант","absconder"
"лекция","absconders"
"лента","absconding"
"лётчик","absconds"
"либералй","absconsa"
"либос","abscoulomb"
"лига","abscound"
"лижаронӣ","Absecon"
"лимӯ","absee"
"линза","absey"
"лифофа","abseil"
"лифт","abseiled"
"лобби","abseiling"
"лоғар","abseils"
"лозим","absence"
"лой","absences"
"лоиҳа","absence's"
"лона","absent"
"лотинӣ","absentation"
"лӯбиё","absented"
"луғат","absentee"
"Лутфан","absenteeism"
"лӯхтак","absentees"
"луч","absentee's"
"люкс","absenteeship"
"љолиб","absenter"
"маблағгузорӣ","absenters"
"маблағи","absentia"
"мавзуъ","absenting"
"мавзӯъ","absently"
"мавқеъ","absentment"
"мавсим","absentminded"
"мавҷ","absent-minded"
"мавҷудият","absentmindedly"
"магар","absent-mindedly"
"мағоза","absentmindedness"
"маданй","absent-mindedness"
"маданият","absentmindednesses"
"мадор","absentness"
"мазза","absents"
"мазмун","absfarad"
"май","abshenry"
"майдон","Abshier"
"майл","Absi"
"маймун","absinth"
"майна","absinthe"
"майор","absinthes"
"максад","absinthial"
"максаднок","absinthian"
"максимум","absinthiate"
"мактаб","absinthiated"
"мактуб","absinthiating"
"мақола","absinthic"
"мақом","absinthiin"
"малика","absinthin"
"ман","absinthine"
"манаҳ","absinthism"
"мандат","absinthismic"
"манзара","absinthium"
"манзил","absinthol"
"манора","absinthole"
"мансубият","absinths"
"мантиқ","Absyrtus"
"мантиқӣ","absis"
"манфӣ","absist"
"манфиатдор","absistos"
"манъ","absit"
"маориф","absmho"
"маош","absohm"
"марг","absoil"
"марговар","absolent"
"мард","Absolute"
"маржа","absolutely"
"марихуана","absoluteness"
"марказ","absoluter"
"марказй","absolutes"
"маркер","absolutest"
"маркетинг","absolution"
"маросим","absolutions"
"марҳила","absolutism"
"марш","absolutist"
"маршрут","absolutista"
"масеҳӣ","absolutistic"
"Масканӣ","absolutistically"
"маслиҳат","absolutists"
