"Hausa","English"
"amsawa","abalienation"
"android","abalone"
"anga","abalones"
"annabi","Abama"
"app","abamp"
"apple","abampere"
"arba'in","abamperes"
"arewa","abamps"
"aro","Abana"
"arziki","aband"
"asali","abandon"
"ashirin","abandonable"
"asibiti","abandoned"
"asiri","abandonedly"
"Asiya","abandonee"
"ass","abandoner"
"asusu","abandoners"
"atomatik","abandoning"
"auduga","abandonment"
"auna","abandonments"
"aunawa","abandons"
"aure","abandum"
"aya","abanet"
"Ayaba","abanga"
"ayyana","Abanic"
"azama","abannition"
"azurfa","Abantes"
"ba","abapical"
"baba","abaptiston"
"babba","abaptistum"
"babban","Abarambo"
"babe","Abarbarea"
"babi","Abaris"
"babu","abarthrosis"
"baby","abarticular"
"bace","abarticulation"
"bad","Abas"
"baiwa","abase"
"baka","abased"
"bakan","abasedly"
"baki","abasedness"
"bako","abasement"
"baƙo","abasements"
"bakwai","abaser"
"bala'i","abasers"
"ball","abases"
"balloon","Abasgi"
"bam","abash"
"bambanci","abashed"
"bambancin","abashedly"
"bambanta","abashedness"
"ban","abashes"
"band","abashing"
"banda","abashless"
"bang","abashlessly"
"bangare","abashment"
"bangaren","abashments"
"bango","abasia"
"banki","abasias"
"banza","abasic"
"bara","abasing"
"barasa","abasio"
"barata","abask"
"barawo","abassi"
"barazana","Abassieh"
"barbashi","Abassin"
"barci","abastard"
"barewa","abastardize"
"barga","abastral"
"bargo","abatable"
"bari","abatage"
"barin","Abate"
"barkono","abated"
"bas","abatement"
"bashi","abatements"
"basira","abater"
"bata","abaters"
"batsa","abates"
"batu","abatic"
"batun","abating"
"baturi","abatis"
"bauta","abatised"
"bawa","abatises"
"bay","abatjour"
"baya","abatjours"
"bayan","abaton"
"bayanai","abator"
"bayani","abators"
"bayanin","ABATS"
"bayarwa","abattage"
"bayyana","abattis"
"bayyananne","abattised"
"bayyanannu","abattises"
"bayyanar","abattoir"
"bayyanawa","abattoirs"
"bayyane","abattu"
"bazara","abattue"
"bazuwar","Abatua"
"bebe","abature"
"bege","abaue"
"bel","abave"
"benci","abaxial"
"bene","abaxile"
"bera","abaze"
"bi","abb"
"bidi'a","Abba"
"bidiyo","abbacy"
"bijimin","abbacies"
"biki","abbacomes"
"bikin","Abbadide"
"biliyan","Abbai"
"billa","abbaye"
"bincika","abbandono"
"bincike","abbas"
"binciken","abbasi"
"bindiga","Abbasid"
"binne","abbassi"
"biri","Abbassid"
"birni","Abbasside"
"Birtaniya","Abbate"
"bisa","abbatial"
"bishara","abbatical"
"Bishop","abbatie"
"bit","Abbe"
"bita","Abbey"
"bitamin","abbeys"
"biya","abbey's"
"biyar","abbeystead"
"biyu","abbeystede"
"blog","abbes"
"blue","abbess"
"bond","abbesses"
"boye","abbest"
"bude","Abbevilean"
"budewa","Abbeville"
"budurwa","Abbevillian"
"buga","Abbi"
"bugawa","Abby"
"bugu","Abbie"
"buhu","Abbye"
"bukata","Abbyville"
"bulala","abboccato"
"bunƙasa","abbogada"
"burge","Abbot"
"burger","abbotcy"
"buri","abbotcies"
"burodi","abbotnullius"
"busa","abbotric"
"bushewa","abbots"
"bututu","abbot's"
"buy","Abbotsen"
"caji","Abbotsford"
"cakuda","abbotship"
"cakulan","abbotships"
"can","Abbotson"
"cancanci","Abbotsun"
"cancanta","Abbott"
"canji","Abbottson"
"canza","Abbottstown"
"canzawa","Abboud"
"carbohydrate","abbozzo"
"carbon","ABBR"
"cat","abbrev"
"category","abbreviatable"
"cd","abbreviate"
"ce","abbreviated"
"cent","abbreviately"
"ceto","abbreviates"
"cewa","abbreviating"
"cholesterol","abbreviation"
"ci","abbreviations"
"Ci","abbreviator"
"cibiyar","abbreviatory"
"cika","abbreviators"
"cikakke","abbreviature"
"cikas","abbroachment"
"ciki","ABC"
"cikin","abcess"
"cimma","abcissa"
"ciniki","abcoulomb"
"cinya","ABCs"
"cinye","abd"
"cinyewa","abdal"
"cire","abdali"
"cirewa","abdaria"
"ciwo","abdat"
"ciyar","Abdel"
"ciyarwa","Abd-el-Kadir"
"ciyawa","Abd-el-Krim"
"cizo","Abdella"
"clip","Abderhalden"
"coci","Abderian"
"code","Abderite"
"corridor","Abderus"
"counter","abdest"
"County","Abdias"
"cover","abdicable"
"cruise","abdicant"
"crystal","abdicate"
"cuku","abdicated"
"cuta","abdicates"
"cutarwa","abdicating"
"da","abdication"
"ɗa","abdications"
"da/ko","abdicative"
"da'a","abdicator"
"da'awar","Abdiel"
"daban","abditive"
"daban-daban","abditory"
"dabara","abdom"
"dabaran","abdomen"
"dabaru","abdomens"
"dabarun","abdomen's"
"dabba","abdomina"
"dabbobi","abdominal"
"dabino","Abdominales"
"dace","abdominalia"
"dacewa","abdominalian"
"daci","abdominally"
"dadi","abdominals"
"daga","abdominoanterior"
"dagawa","abdominocardiac"
"daidai","abdominocentesis"
"daidaita","abdominocystic"
"daidaitawa","abdominogenital"
"daidaito","abdominohysterectomy"
"daina","abdominohysterotomy"
"da'irar","abdominoposterior"
"daji","abdominoscope"
"dakatar","abdominoscopy"
"dakatarwa","abdominothoracic"
"daki-daki","abdominous"
"dakin","abdomino-uterotomy"
"dãko","abdominovaginal"
"dala","abdominovesical"
"dalibi","Abdon"
"dalili","Abdu"
"dalilin","abduce"
"dama","abduced"
"dame","abducens"
"damuwa","abducent"
"dandamali","abducentes"
"dandana","abduces"
"dandano","abducing"
"dangane","abduct"
"danganta","abducted"
"dangantaka","abducting"
"dangi","abduction"
"danna","abductions"
"ɗan'uwa","abduction's"
"ɗan'uwanmu","abductor"
"danye","abductores"
"daraja","abductors"
"darajar","abductor's"
"darasi","abducts"
"dare","Abdul"
"darektan","Abdul-Aziz"
"dari","Abdul-baha"
"dariya","Abdulla"
"daskare","Abe"
"daskarewa","a-be"
"database","abeam"
"datti","abear"
"dattijo","abearance"
"dauka","Abebi"
"ɗauka","abecedaire"
"daukaka","abecedary"
"dauki","abecedaria"
"dauko","abecedarian"
"daular","abecedarians"
"daure","abecedaries"
"dawo","abecedarium"
"daya","abecedarius"
"diary","abed"
"diddige","abede"
"diflomasiyya","abedge"
"digiri","Abednego"
"digo","abegge"
"dijital","Abey"
"dillali","abeyance"
"dimokradiyya","abeyances"
"dimokuradiyya","abeyancy"
"direba","abeyancies"
"Disamba","abeyant"
"diyya","abeigh"
"dna","ABEL"
"dodo","Abelard"
"dodon","abele"
"dogara","abeles"
"dogo","Abelia"
"dogon","Abelian"
"doka","Abelicea"
"doke","Abelite"
"doki","Abell"
"dole","Abelmoschus"
"domin","abelmosk"
"dora","abelmosks"
"dozin","abelmusk"
"duba","Abelonian"
"dubawa","Abelson"
"dubu","abeltree"
"duhu","Abencerrages"
"duka","abend"
"dukan","abends"
"dukiya","Abenezra"
"dumama","abenteric"
"dumi","Abeokuta"
"duniya","abepithymia"
"dunkule","ABEPP"
"dunƙule","Abercromby"
"dutse","Abercrombie"
"edita","Aberdare"
"edition","aberdavine"
"eh","Aberdeen"
"ehh","Aberdeenshire"
"elevator","aberdevine"
"e-mail","Aberdonian"
"episode","aberduvine"
"Fabrairu","Aberfan"
"faci","Aberglaube"
"fada","Aberia"
"fadada","Aberystwyth"
"fadar","Abernant"
"fadi","Abernathy"
"fadin","abernethy"
"fahimta","Abernon"
"faifai","aberr"
"falala","aberrance"
"Falasdinu","aberrancy"
"fallasa","aberrancies"
"falsafa","aberrant"
"fam","aberrantly"
"famfo","aberrants"
"fan","aberrate"
"fanko","aberrated"
"fansa","aberrating"
"fansho","aberration"
"fantasy","aberrational"
"far","aberrations"
"fara","aberrative"
"fara'a","aberrator"
"Faransanci","aberrometer"
"farashi","aberroscope"
"farashin","Abert"
"farauta","aberuncate"
"farauto","aberuncator"
"farawa","abesse"
"farce","abessive"
"fare","abet"
"fareti","abetment"
"farfadowa","abetments"
"farfaganda","abets"
"farfajiya","abettal"
"farfesa","abettals"
"fari","abetted"
"farkawa","abetter"
"farkon","abetters"
"faru","abetting"
"faruwa","abettor"
"fasa","abettors"
"fasaha","Abeu"
"fasahar","abevacuation"
"fasali","abfarad"
"fashe","abfarads"
"fashewa","ABFM"
"fashi","Abgatha"
"fasinja","ABHC"
"fassara","abhenry"
"fassarar","abhenries"
"fasto","abhenrys"
"fata","abhinaya"
"fatalwa","abhiseka"
"fayil","abhominable"
"fenti","abhor"
"fetur","abhorred"
"fice","abhorrence"
"ficewa","abhorrences"
"fifiko","abhorrency"
"fil","abhorrent"
"filastik","abhorrently"
"fili","abhorrer"
"filin","abhorrers"
"fim","abhorrible"
"firam","abhorring"
"firamare","abhors"
"firikwensin","Abhorson"
"firist","ABI"
"fita","aby"
"fitarwa","Abia"
"fitattu","Abiathar"
"fitila","Abib"
"foda","abichite"
"fosta","abidal"
"free","abidance"
"full","abidances"
"fun","abidden"
"fure","abide"
"furodusa","abided"
"furotin","abider"
"fursuna","abiders"
"furta","abides"
"fushi","abidi"
"fuska","abiding"
"fuskantar","abidingly"
"fuskantarwa","abidingness"
"fyade","Abidjan"
"gaba","Abydos"
"gabaɗaya","Abie"
"gaban","abye"
"gabas","abied"
"gabatar","abyed"
"gabatarwa","abiegh"
"gada","abience"
"gadi","abient"
"gado","Abies"
"gafartawa","abyes"
"gaggafa","abietate"
"gaggawa","abietene"
"gaisawa","abietic"
"gajere","abietin"
"gaji","Abietineae"
"galaxy","abietineous"
"galibi","abietinic"
"gallery","abietite"
"gallon","Abiezer"
"gama","Abigael"
"gamayya","Abigail"
"gamsuwa","abigails"
"gane","abigailship"
"ganewa","Abigale"
"ganga","abigeat"
"gangami","abigei"
"gangara","abigeus"
"gani","Abihu"
"ganin","abying"
"gano","Abijah"
"ganowa","Abyla"
"ganuwa","abilao"
"ganye","Abilene"
"garanti","abiliment"
"gareji","Abilyne"
"gargadi","abilitable"
"gargajiya","ability"
"gari","abilities"
"garkuwa","ability's"
"gas","abilla"
"gasa","abilo"
"gasar","abime"
"gashi","Abimelech"
"gaske","Abineri"
"gaskiya","Abingdon"
"gaskiyar","Abinger"
"gata","Abington"
"gauraye","Abinoam"
"gawarwaki","Abinoem"
"gawayi","abintestate"
"gaya","abiogeneses"
"gayyata","abiogenesis"
"gazawa","abiogenesist"
"gefe","abiogenetic"
"gene","abiogenetical"
"gibi","abiogenetically"
"giciye","abiogeny"
"gida","abiogenist"
"gidaje","abiogenous"
"gidan","abiology"
"gigice","abiological"
"gilashin","abiologically"
"gimbiya","abioses"
"gina","abiosis"
"ginawa","abiotic"
"gindi","abiotical"
"gine-gine","abiotically"
"gini","abiotrophy"
"ginshiki","abiotrophic"
"gira","Abipon"
"girgije","Abiquiu"
"girgiza","abir"
"Girkanci","abirritant"
"girke-girke","abirritate"
"girma","abirritated"
"girmamawa","abirritating"
"girman","abirritation"
"gishiri","abirritative"
"giwa","abys"
"giya","Abisag"
"gobe","Abisha"
"godiya","Abishag"
"goga","Abisia"
"golf","abysm"
"goma","abysmal"
"gona","abysmally"
"gop","abysms"
"goshi","Abyss"
"gram","abyssa"
"grid","abyssal"
"gubar","abysses"
"gudanarwa","Abyssinia"
"gudu","Abyssinian"
"guduma","abyssinians"
"gudun","abyssobenthonic"
"gudunmawa","abyssolith"
"guga","abyssopelagic"
"guguwa","abyss's"
"guitar","abyssus"
"gulf","abiston"
"gumi","abit"
"gun","Abitibi"
"gunduma","Abiu"
"gungu","abiuret"
"guntu","Abixah"
"gurbacewa","abject"
"gurguzu","abjectedness"
"Guy","abjection"
"gwada","abjections"
"gwadawa","abjective"
"gwagwarmaya","abjectly"
"gwaji","abjectness"
"gwamna","abjectnesses"
"gwamnati","abjoint"
"gwani","abjudge"
"gwaninta","abjudged"
"gwiwa","abjudging"
"gyada","abjudicate"
"gyara","abjudicated"
"gyarawa","abjudicating"
"ha","abjudication"
"haɓaka","abjudicator"
"haɓakawa","abjugate"
"hada","abjunct"
"hadaddun","abjunction"
"hadari","abjunctive"
"hadarin","abjuration"
"hadaya","abjurations"
"hade","abjuratory"
"hadewa","abjure"
"haɗi","abjured"
"hadiye","abjurement"
"hadu","abjurer"
"haduwa","abjurers"
"hagu","abjures"
"haifar","abjuring"
"haife","abkar"
"haihuwa","abkari"
"haikali","abkary"
"haka","Abkhas"
"haki","Abkhasia"
"hakika","Abkhasian"
"hakkin","Abkhaz"
"hakori","Abkhazia"
"hakuri","Abkhazian"
"haƙuri","abl"
"halaka","abl."
"halarta","ablach"
"halattacce","ablactate"
"hali","ablactated"
"halitta","ablactating"
"hallara","ablactation"
"halloween","ablaqueate"
"hallway","ablare"
"Hamada","A-blast"
"hamsin","ablastemic"
"hana","ablastin"
"hanci","ablastous"
"hanji","ablate"
"hankali","ablated"
"hannu","ablates"
"hanta","ablating"
"hanya","ablation"
"hanyar","ablations"
"har","ablatitious"
"harabar","ablatival"
"harafi","ablative"
"harafin","ablatively"
"haraji","ablatives"
"haramta","ablator"
"harba","ablaut"
"harbi","ablauts"
"hardware","ablaze"
"hargitsi","able"
"hari","able-bodied"
"harka","able-bodiedness"
"harsashi","ableeze"
"harshe","ablegate"
"hasara","ablegates"
"hasashe","ablegation"
"haskakawa","able-minded"
"haske","able-mindedness"
"hasumiya","ablend"
"hatimi","ableness"
"hatsi","ablepharia"
"hau","ablepharon"
"hauka","ablepharous"
"haushi","Ablepharus"
"hawa","ablepsy"
"hawaye","ablepsia"
"haya","ableptical"
"hayaki","ableptically"
"hayaniya","abler"
"hazaka","ables"
"hedkwatar","ablesse"
"helikwafta","ablest"
"hey","ablet"
"hikima","ablewhackets"
"himma","ably"
"hip","ablings"
"hira","ablins"
"Hispanic","ablock"
"hit","abloom"
"hmm","ablow"
"hormone","ABLS"
"horo","ablude"
"hoto","abluent"
"hour","abluents"
"huci","ablush"
"hudu","ablute"
"huhu","abluted"
"hujja","ablution"
"hukuma","ablutionary"
"hukumar","ablutions"
"hukumci","abluvion"
"hukunci","ABM"
"hukunta","abmho"
"hula","abmhos"
"hulɗa","abmodality"
"hunturu","abmodalities"
"huta","abn"
"Huta","Abnaki"
"hutawa","Abnakis"
"hutu","abnegate"
"i","abnegated"
"idan","abnegates"
"ido","abnegating"
"igiya","abnegation"
"ihu","abnegations"
"iko","abnegative"
"ikon","abnegator"
"ilhami","abnegators"
"ilimi","Abner"
"imani","abnerval"
"imel","abnet"
"in","abneural"
"ina","abnormal"
"inci","abnormalcy"
"index","abnormalcies"
"indiya","abnormalise"
"inganci","abnormalised"
"inganta","abnormalising"
"inji","abnormalism"
"injiniya","abnormalist"
"inna","abnormality"
"inshora","abnormalities"
"inspector","abnormalize"
"institute","abnormalized"
"intanet","abnormalizing"
"inuwa","abnormally"
"ipad","abnormalness"
"iphone","abnormals"
"iranian","abnormity"
"Iraqi","abnormities"
"iri","abnormous"
"iri-iri","abnumerable"
"irin","Abo"
"Irish","aboard"
"isa","aboardage"
"isarwa","Abobra"
"isasshe","abococket"
"isasshen","abodah"
"iska","abode"
"isowa","aboded"
"Isra'ila","abodement"
"itace","abodes"
"itãciya","abode's"
"Italiyanci","abody"
"iya","aboding"
"iyaka","abogado"
"iyakance","abogados"
"iyali","abohm"
"iyawa","abohms"
"iyaye","aboideau"
"izini","aboideaus"
"iznin","aboideaux"
"ja","aboil"
"jadawali","aboiteau"
"jaddada","aboiteaus"
"jagora","aboiteaux"
"jagoranci","abolete"
"jahannama","abolish"
"jahilai","abolishable"
"jahilci","abolished"
"jaka","abolisher"
"jakada","abolishers"
"jama'a","abolishes"
"jamhuriya","abolishing"
"jami'a","abolishment"
"jami'in","abolishments"
"jam'iyya","abolishment's"
"jam'iyyar","abolition"
"Jamusanci","abolitionary"
"Janairu","abolitionise"
"jana'izar","abolitionised"
"janar","abolitionising"
"janye","abolitionism"
"japanese","abolitionist"
"jar","abolitionists"
"jaraba","abolitionize"
"jarida","abolitionized"
"jariri","abolitionizing"
"jarrabawa","abolitions"
"jarumi","abolla"
"jaw","abollae"
"jawo","aboma"
"jayayya","abomas"
"jazz","abomasa"
"jeans","abomasal"
"jefa","abomasi"
"jeji","abomasum"
"jemage","abomasus"
"jere","abomasusi"
"jeri","A-bomb"
"jerin","abominability"
"jet","abominable"
"ji","abominableness"
"jigo","abominably"
"jigon","abominate"
"jihar","abominated"
"jijiya","abominates"
"jika","abominating"
"jiki","abomination"
"jima'i","abominations"
"jimla","abominator"
"jimre","abominators"
"jindadi","abomine"
"jingina","abondance"
"jini","Abongo"
"jinkiri","abonne"
"jinsi","abonnement"
"jira","aboon"
"jirgi","aborad"
"jita-jita","aboral"
"jiya","aborally"
"Juma'a","abord"
"juna","Aboriginal"
"jurewa","aboriginality"
"juri","aboriginally"
"juriya","aboriginals"
"juror","aboriginary"
"juya","Aborigine"
"juyayi","aborigines"
"juzu'i","aborigine's"
"ka","Abor-miri"
"kabad","Aborn"
"kabari","aborning"
"kabi","a-borning"
"kabilanci","aborsement"
"kabilar","aborsive"
"kaboyi","abort"
"kadada","aborted"
"kadai","aborter"
"kadaici","aborters"
"kaɗaici","aborticide"
"kadan","abortient"
"Kadan","abortifacient"
"kadari","abortin"
"kaddara","aborting"
"kafa","abortion"
"kafada","abortional"
"kafe","abortionist"
"kafet","abortionists"
"kafin","abortions"
"kaho","abortion's"
"kai","abortive"
"ka'ida","abortively"
"ka'idar","abortiveness"
"kaifi","abortogenic"
"kaina","aborts"
"kaka","abortus"
"kakakin","abortuses"
"kakanni","abos"
"kakar","abote"
"kalanda","Abott"
"kallo","abouchement"
"kalma","aboudikro"
"kalori","abought"
"kalubale","Aboukir"
"kama","aboulia"
"kama-da-wane","aboulias"
"kamanceceniya","aboulic"
"kamar","abound"
"kamara","abounded"
"kamata","abounder"
"kambi","abounding"
"kamfani","aboundingly"
"kammala","abounds"
"ƙamus","Abourezk"
"kan","about"
"kanada","about-face"
"kananan","about-faced"
"kanar","about-facing"
"kandami","abouts"
"kanka","about-ship"
"kankanin","about-shipped"
"kankara","about-shipping"
"kankare","about-sledge"
"kanmu","about-turn"
"kansa","above"
"kansu","aboveboard"
"kanta","above-board"
"kara","above-cited"
"Kara","abovedeck"
"ƙara","above-found"
"ƙarami","above-given"
"karanci","aboveground"
"karanta","abovementioned"
"kararrawa","above-mentioned"
"ƙararrawa","above-named"
"karatu","aboveproof"
"karba","above-quoted"
"karce","above-reported"
"kare","aboves"
"karewa","abovesaid"
"ƙarewa","above-said"
"karfafa","abovestairs"
"ƙarfafa","above-water"
"ƙarfafawa","above-written"
"karfe","abow"
"karfi","abox"
"ƙarfi","Abp"
"ƙarfinsa","ABPC"
"kari","Abqaiq"
"ƙari","abr"
"karimci","abr."
"kariya","Abra"
"karkara","abracadabra"
"karkashin","abrachia"
"karkata","abrachias"
"karkatarwa","abradable"
"karni","abradant"
"karo","abradants"
"karshe","abrade"
"ƙarshe","abraded"
"karshen","abrader"
"karuwa","abraders"
"karya","abrades"
"Karya","abrading"
"karye","Abraham"
"kasa","Abrahamic"
"ƙasa","Abrahamidae"
"kasada","Abrahamite"
"kasalala","Abrahamitic"
"kasance","Abraham-man"
"kasancewa","Abrahams"
"kasar","Abrahamsen"
"ƙasar","Abrahan"
"kasawa","abray"
"kashe","abraid"
"kashi","Abram"
"kasuwa","Abramis"
"kasuwanci","Abramo"
"kasuwar","Abrams"
"katako","Abramson"
"kati","Abran"
"kato","abranchial"
"Katolika","abranchialism"
"katse","abranchian"
"katuwa","Abranchiata"
"kauce","abranchiate"
"ƙaura","abranchious"
"kaushi","abrasax"
"kauye","abrase"
"kawai","abrased"
"kawance","abraser"
"kawo","abrash"
"kawu","abrasing"
"kaya","abrasiometer"
"kayayyaki","abrasion"
"ƙayyade","abrasions"
"kaza","abrasion's"
"keji","abrasive"
"kek","abrasively"
"keke","abrasiveness"
"kera","abrasivenesses"
"kerawa","abrasives"
"kerkeci","abrastol"
"keta","abraum"
"kewayawa","abraxas"
"kewaye","abrazite"
"key","abrazitic"
"keyboard","abrazo"
"ƙi","abrazos"
"kibiya","abreact"
"kicin","abreacted"
"kid","abreacting"
"ƙidaya","abreaction"
"kididdiga","abreactions"
"kifi","abreacts"
"kima","abreast"
"kimanta","abreed"
"kimantawa","abrege"
"ƙimar","abreid"
"kimiyya","abrenounce"
"kira","abrenunciate"
"kiri","abrenunciation"
"Kirista","abreption"
"Kiristanci","abret"
"kirji","abreuvoir"
"ƙirƙira","abri"
"ƙirƙiri","abrico"
"Kirsimeti","abricock"
"kirtani","abricot"
"kisa","abridgable"
"kishi","abridge"
"kishiya","abridgeable"
"kit","abridged"
"kiwo","abridgedly"
"kiyaye","abridgement"
"kiyayewa","abridgements"
"ƙiyayya","abridger"
"ko","abridgers"
"koci","abridges"
"kodadde","abridging"
"kofa","abridgment"
"ƙofa","abridgments"
"kofi","abrim"
"kofin","abrin"
"kogi","abrine"
"kogo","abris"
"ko'ina","abristle"
"ƙoƙari","abroach"
"kokarin","abroad"
"koli","Abrocoma"
"kololuwa","abrocome"
"koma","abrogable"
"komai","abrogate"
"ƙone","abrogated"
"konewa","abrogates"
"korafi","abrogating"
"korau","abrogation"
"kore","abrogations"
"Korean","abrogative"
"kotu","abrogator"
"kowa","abrogators"
"kowane","Abroma"
"koyar","Abroms"
"koyarwa","Abronia"
"koyi","abrood"
"koyo","abrook"
"ku","abrosia"
"kudade","abrosias"
"kudi","abrotanum"
"kudin","abrotin"
"kudu","abrotine"
"ƙuduri","abrupt"
"ƙugiya","abruptedly"
"kujera","abrupter"
"kuka","abruptest"
"kuki","abruptio"
"kula","abruption"
"kulle","abruptiones"
"kullu","abruptly"
"kullum","abruptness"
"kulob","Abrus"
"kuma","Abruzzi"
"kumfa","ABS"
"kunci","abs-"
"kundin","Absa"
"ƙungiya","Absalom"
"kungiyar","absampere"
"kunkuntar","Absaraka"
"kunkuru","Absaroka"
"kunne","Absarokee"
"kunsa","absarokite"
"kunshi","ABSBH"
"ƙunshi","abscam"
"kunshin","abscess"
"ƙuntatawa","abscessed"
"kunya","abscesses"
"kura","abscessing"
"kurkuku","abscession"
"kursiyin","abscessroot"
"kururuwa","abscind"
"kusa","abscise"
"kusan","abscised"
"kusanci","abscises"
"kuskure","abscisin"
"kusurwa","abscising"
"kwafi","abscisins"
"kwai","abscision"
"kwakwalwa","absciss"
"kwalban","abscissa"
"kwalejin","abscissae"
"kwalkwali","abscissas"
"kwalliya","abscissa's"
"kwamanda","abscisse"
"kwamfuta","abscissin"
"kwamishinan","abscission"
"kwamitin","abscissions"
"kwana","absconce"
"kwando","abscond"
"kwangila","absconded"
"kwano","abscondedly"
"kwanta","abscondence"
"kwarara","absconder"
"kware","absconders"
"kwarewa","absconding"
"kwari","absconds"
"kwaro","absconsa"
"kwasfa","abscoulomb"
"kwata","abscound"
"kwata-kwata","Absecon"
"kwatanta","absee"
"kwatsam","absey"
"kwaya","abseil"
"kyaftin","abseiled"
"kyakkyawa","abseiling"
"kyandir","abseils"
"kyau","absence"
"kyauta","absences"
"la'akari","absence's"
"lab","absent"
"labarai","absentation"
"labari","absented"
"labarin","absentee"
"labule","absenteeism"
"lacca","absentees"
"lada","absentee's"
"ladabi","absenteeship"
"lafazi","absenter"
"lafiya","absenters"
"laftanar","absentia"
"Lahadi","absenting"
"laifi","absently"
"laka","absentment"
"lakabi","absentminded"
"lalacewa","absent-minded"
"lallashi","absentmindedly"
"lamarin","absent-mindedly"
"lamba","absentmindedness"
"lambatu","absent-mindedness"
"lambu","absentmindednesses"
"lamiri","absentness"
"lankwasa","absents"
"lantarki","absfarad"
"Laraba","abshenry"
"Larabawa","Abshier"
"lardin","Absi"
"larura","absinth"
"Laser","absinthe"
"lasisi","absinthes"
"Latin","absinthial"
"latsa","absinthian"
"launi","absinthiate"
"lauya","absinthiated"
"lawn","absinthiating"
"Layer","absinthic"
"layi","absinthiin"
"lebe","absinthin"
"lebur","absinthine"
"leko","absinthism"
"lemu","absinthismic"
"likita","absinthium"
"lilo","absinthol"
"line","absinthole"
"lissafi","absinths"
"lissafta","Absyrtus"
"Litinin","absis"
"littafin","absist"
"live","absistos"
"liyafar","absit"
"log","absmho"
"lokaci","absohm"
"lokaci-lokaci","absoil"
"lokacin","absolent"
"low","Absolute"
"lura","absolutely"
"lu'u-lu'u","absoluteness"
"lyrics","absoluter"
"m","absolutes"
"m","absolutest"
"ma'aikaci","absolution"
"ma'aikacin","absolutions"
"ma'aikata","absolutism"
"ma'aikatar","absolutist"
"ma'ana","absolutista"
"ma'anarsa","absolutistic"
"ma'auni","absolutistically"
"maballin","absolutists"
"mabiyi","absolutive"
"mabukaci","absolutization"
"mace","absolutize"
"mace-mace","absolutory"
"maciji","absolvable"
"madadin","absolvatory"
"madam","absolve"
"madara","absolved"
"madauki","absolvent"
"madubi","absolver"
"mafarauci","absolvers"
"mafarki","absolves"
"mafi","absolving"
"mafita","absolvitor"
"magana","absolvitory"
"magance","absonant"
"magani","absonous"
"magatakarda","absorb"
"mahada","absorbability"
"mahalicci","absorbable"
"mahallin","absorbance"
"mahaukaci","absorbancy"
"mahayi","absorbant"
"mahimmanci","absorbed"
"mai","absorbedly"
"maido","absorbedness"
"maigida","absorbefacient"
"mail","absorbency"
"maimaita","absorbencies"
"maimakon","absorbent"
"majalisa","absorbents"
"makaho","absorber"
"makala","absorbers"
"makamashi","absorbing"
"makami","absorbingly"
"makaniki","absorbition"
"makaranta","absorbs"
"maƙaryaci","absorbtion"
"makasudin","absorpt"
"make","absorptance"
"makirci","absorptiometer"
"mako","absorptiometric"
"makogwaro","absorption"
"makoma","absorptional"
"mako-mako","absorptions"
"makwabci","absorption's"
"mala'ika","absorptive"
"malami","absorptively"
"malanta","absorptiveness"
"mall","absorptivity"
"mallaka","absquatulate"
"mallaki","absquatulation"
"mama","abstain"
"mamaki","abstained"
"mamaye","abstainer"
