"Basque","English"
"arakatu","abbas"
"arakatzailea","abbasi"
"arau","Abbasid"
"arautu","abbassi"
"arazoa","Abbassid"
"arazoak","Abbasside"
"arbasoa","Abbate"
"ardiak","abbatial"
"ardoa","abbatical"
"arduratsua","abbatie"
"are","Abbe"
"arena","Abbey"
"arerioa","abbeys"
"aretoa","abbey's"
"argazkia","abbeystead"
"argazkilaria","abbeystede"
"argazkilaritza","abbes"
"argia","abbess"
"argigabea","abbesses"
"argitaletxea","abbest"
"argitalpena","Abbevilean"
"argitaratu","Abbeville"
"argitaratzea","Abbevillian"
"argitu","Abbi"
"argudiatu","Abby"
"argumentua","Abbie"
"ariketa","Abbye"
"arima","Abbyville"
"arina","abboccato"
"arindu","abbogada"
"arinki","Abbot"
"arkitektoa","abbotcy"
"arkitektura","abbotcies"
"arkua","abbotnullius"
"arma","abbotric"
"armada","abbots"
"armairua","abbot's"
"armatua","Abbotsen"
"arnasa","Abbotsford"
"arnasketa","abbotship"
"arraina","abbotships"
"arraio","Abbotson"
"arrakasta","Abbotsun"
"arrakastatsua","Abbott"
"arrakastaz","Abbottson"
"arranoa","Abbottstown"
"arrantza","Abboud"
"arraro","abbozzo"
"arraroa","ABBR"
"arrastatu","abbrev"
"arrastoa","abbreviatable"
"arratoia","abbreviate"
"arratsaldean","abbreviated"
"arratsaldeko","abbreviately"
"arrautza","abbreviates"
"array","abbreviating"
"arraza","abbreviation"
"arrazakeria","abbreviations"
"arrazionala","abbreviator"
"arrazista","abbreviatory"
"arrazoia","abbreviators"
"arrazoizkoa","abbreviature"
"arreba","abbroachment"
"arren","ABC"
"arreta","abcess"
"arretaz","abcissa"
"arriskua","abcoulomb"
"arriskutsua","ABCs"
"arropa","abd"
"arrosa","abdal"
"arrotza","abdali"
"arroza","abdaria"
"arrunta","abdat"
"art","Abdel"
"arte","Abd-el-Kadir"
"artean","Abd-el-Krim"
"artifiziala","Abdella"
"Artikulu","Abderhalden"
"artisautza","Abderian"
"artista","Abderite"
"artistikoa","Abderus"
"artoa","abdest"
"artxiboa","Abdias"
"artzaina","abdicable"
"asaldatu","abdicant"
"asebete","abdicate"
"asegurua","abdicated"
"asiarra","abdicates"
"asistentzia","abdicating"
"askatasuna","abdication"
"askatu","abdications"
"asko","abdicative"
"askotan","abdicator"
"askotarikoa","Abdiel"
"asmakizuna","abditive"
"asmatu","abditory"
"asmoa","abdom"
"aspergarria","abdomen"
"astakeria","abdomens"
"astea","abdomen's"
"asteartea","abdomina"
"asteazkena","abdominal"
"asteburu","Abdominales"
"astelehena","abdominalia"
"astero","abdominalian"
"astindu","abdominally"
"astiro-astiro","abdominals"
"astronomoa","abdominoanterior"
"astun","abdominocardiac"
"astuna","abdominocentesis"
"atala","abdominocystic"
"atalasea","abdominogenital"
"atarian","abdominohysterectomy"
"ataripea","abdominohysterotomy"
"ate","abdominoposterior"
"atea","abdominoscope"
"atera","abdominoscopy"
"aterpea","abdominothoracic"
"atleta","abdominous"
"atletikoa","abdomino-uterotomy"
"atondoa","abdominovaginal"
"atributu","abdominovesical"
"atsedena","Abdon"
"atsegin","Abdu"
"atsegina","abduce"
"atsekabea","abduced"
"atxiki","abducens"
"atxiloketa","abducent"
"atzean","abducentes"
"atzelari","abduces"
"atzera","abducing"
"atzeraldia","abduct"
"atzerapena","abducted"
"atzerrian","abducting"
"atzerritarra","abduction"
"atzetik","abductions"
"atzo","abduction's"
"aua","abductor"
"aukera","abductores"
"aukeratu","abductors"
"aulkia","abductor's"
"aupa","abducts"
"aurka","Abdul"
"aurkari","Abdul-Aziz"
"aurkezpena","Abdul-baha"
"aurkeztu","Abdulla"
"aurkibidea","Abe"
"aurkikuntza","a-be"
"aurkitu","abeam"
"aurkituta","abear"
"aurkitzea","abearance"
"aurpegia","Abebi"
"aurrean","abecedaire"
"aurreikusi","abecedary"
"aurrekoa","abecedaria"
"aurrekontua","abecedarian"
"aurrera","abecedarians"
"aurrerapena","abecedaries"
"aurreratua","abecedarium"
"aurretik","abecedarius"
"aurrezten","abed"
"ausardia","abede"
"ausarta","abedge"
"ausartu","Abednego"
"ausaz","abegge"
"auskalo","Abey"
"autoa","abeyance"
"autobusa","abeyances"
"automatikoa","abeyancy"
"automatikoki","abeyancies"
"autopista","abeyant"
"auzia","abeigh"
"auzitara","ABEL"
"auzitegia","Abelard"
"auzoa","abele"
"azala","abeles"
"azaldu","Abelia"
"azaleko","Abelian"
"azalera","Abelicea"
"azaleratu","Abelite"
"azaleratzen","Abell"
"azalpena","Abelmoschus"
"azaroa","abelmosk"
"azentua","abelmosks"
"azidoa","abelmusk"
"azkar","Abelonian"
"azkarra","Abelson"
"azkarrago","abeltree"
"azkena","Abencerrages"
"azkenaldian","abend"
"azkenean","abends"
"azkenik","Abenezra"
"azota","abenteric"
"azpian","Abeokuta"
"azpiegiturak","abepithymia"
"azterketa","ABEPP"
"aztertu","Abercromby"
"azukrea","Abercrombie"
"babarrun","Aberdare"
"babes","aberdavine"
"babeskopia","Aberdeen"
"babeslea","Aberdeenshire"
"babestu","aberdevine"
"bada","Aberdonian"
"badia","aberduvine"
"badirudi","Aberfan"
"bagoia","Aberglaube"
"bahitu","Aberia"
"bai","Aberystwyth"
"baietz","Abernant"
"baieztatzen","Abernathy"
"baikor","abernethy"
"bailara","Abernon"
"baimena","aberr"
"baimendu","aberrance"
"baina","aberrancy"
"baino","aberrancies"
"bainua","aberrant"
"baizik","aberrantly"
"bakarka","aberrants"
"bakarra","aberrate"
"bakarrekoa","aberrated"
"bakarrik","aberrating"
"bakartia","aberration"
"bakea","aberrational"
"bakeroak","aberrations"
"baketsua","aberrative"
"bakoitia","aberrator"
"bakoitza","aberrometer"
"bakoitzean","aberroscope"
"bakterioak","Abert"
"bala","aberuncate"
"baldar","aberuncator"
"baldintza","abesse"
"balea","abessive"
"baliabidea","abet"
"balioa","abetment"
"baliokidea","abetments"
"baliotsua","abets"
"baliozkoa","abettal"
"baliozkotasuna","abettals"
"baliteke","abetted"
"baloratu","abetter"
"balorazioa","abetters"
"banakakoa","abetting"
"banaketa","abettor"
"banatu","abettors"
"banda","Abeu"
"bandera","abevacuation"
"bankaria","abfarad"
"banku","abfarads"
"bankua","ABFM"
"banpiroa","Abgatha"
"baratxuria","ABHC"
"barazki","abhenry"
"barietatea","abhenries"
"barkamena","abhenrys"
"barkatu","abhinaya"
"barne","abhiseka"
"barnekoa","abhominable"
"barreak","abhor"
"barregarria","abhorred"
"barreiatu","abhorrence"
"barrika","abhorrences"
"barrualdea","abhorrency"
"barruan","abhorrent"
"barrukoa","abhorrently"
"basamortua","abhorrer"
"basatia","abhorrers"
"basatiak","abhorrible"
"baserria","abhorring"
"baserritarra","abhors"
"basoa","Abhorson"
"bat","ABI"
"batasuna","aby"
"bat-batean","Abia"
"batera","Abiathar"
"bateria","Abib"
"batu","abichite"
"Batua","abidal"
"batura","abidance"
"batzordea","abidances"
"batzuetan","abidden"
"batzuk","abide"
"baxua","abided"
"baxuagoa","abider"
"bazkari","abiders"
"bazkaria","abides"
"bazkidetza","abidi"
"baztertu","abiding"
"bear","abidingly"
"beat","abidingness"
"bedeinkapena","Abidjan"
"bedeinkatu","Abydos"
"bederatzi","Abie"
"begi","abye"
"begira","abied"
"begirada","abyed"
"begirale","abiegh"
"begiratu","abience"
"begizta","abient"
"behaketa","Abies"
"behar","abyes"
"beharbada","abietate"
"beharra","abietene"
"beharrezkoak","abietic"
"behartu","abietin"
"behatu","Abietineae"
"behatza","abietineous"
"behean","abietinic"
"behera","abietite"
"behia","Abiezer"
"behin","Abigael"
"beira","Abigail"
"beisbol","abigails"
"beka","abigailship"
"bekaina","Abigale"
"bekatua","abigeat"
"bela","abigei"
"belarra","abigeus"
"belarria","Abihu"
"belauna","abying"
"belaunaldia","Abijah"
"beldur","Abyla"
"beldurgarria","abilao"
"beldurra","Abilene"
"beldurtuta","abiliment"
"beltza","Abilyne"
"benetakoa","abilitable"
"benetan","ability"
"bera","abilities"
"beraiek","ability's"
"berak","abilla"
"berandu","abilo"
"beraz","abime"
"berdea","Abimelech"
"berdin","Abineri"
"berdinak","Abingdon"
"berdin-berdina","Abinger"
"berdintasuna","Abington"
"bere","Abinoam"
"berea","Abinoem"
"berehala","abintestate"
"berehalakoa","abiogeneses"
"bereizi","abiogenesis"
"bereizketa","abiogenesist"
"bereizten","abiogenetic"
"berez","abiogenetical"
"berezia","abiogenetically"
"bereziki","abiogeny"
"bermea","abiogenist"
"beroa","abiogenous"
"berokia","abiology"
"berotzea","abiological"
"berreraiki","abiologically"
"berreskuratu","abioses"
"berreskuratzea","abiosis"
"berretsi","abiotic"
"berria","abiotical"
"berriketan","abiotically"
"berriki","abiotrophy"
"berrikuntza","abiotrophic"
"berrikuspena","Abipon"
"berriro","Abiquiu"
"berritsu","abir"
"berritzailea","abirritant"
"berritzea","abirritate"
"berriz","abirritated"
"berrogei","abirritating"
"bertakoa","abirritation"
"bertaratu","abirritative"
"bertsioa","abys"
"bertsoa","Abisag"
"bertute","Abisha"
"beruna","Abishag"
"besarkada","Abisia"
"besarkatu","abysm"
"besoa","abysmal"
"beste","abysmally"
"bestela","abysms"
"bete","Abyss"
"betea","abyssa"
"betearazi","abyssal"
"betearazpena","abysses"
"betebeharra","Abyssinia"
"beteranoa","Abyssinian"
"betetzea","abyssinians"
"beti","abyssobenthonic"
"betierekoa","abyssolith"
"betiko","abyssopelagic"
"bezeroa","abyss's"
"bi","abyssus"
"biak","abiston"
"biblia","abit"
"bidaia","Abitibi"
"bidaiari","Abiu"
"bidaiatu","abiuret"
"bidali","Abixah"
"bidea","abject"
"bidegabea","abjectedness"
"bidelagun","abjection"
"bideoa","abjections"
"bideragarria","abjective"
"bidesaria","abjectly"
"bidez","abjectness"
"bidezkoa","abjectnesses"
"bigarrena","abjoint"
"biguna","abjudge"
"bihar","abjudged"
"bihotza","abjudging"
"bihurketa","abjudicate"
"bihurritu","abjudicated"
"bihurtu","abjudicating"
"bikaina","abjudication"
"bikia","abjudicator"
"bikoitza","abjugate"
"bikote","abjunct"
"bikotea","abjunction"
"bikotekidea","abjunctive"
"biktima","abjuration"
"bilakaera","abjurations"
"bilaketa","abjuratory"
"bilatu","abjure"
"bildu","abjured"
"bilduma","abjurement"
"bilera","abjurer"
"bilioi","abjurers"
"biltegiratzea","abjures"
"biltzailea","abjuring"
"biltzarra","abkar"
"biltzea","abkari"
"biluzi","abkary"
"biluzik","Abkhas"
"biologia","Abkhasia"
"biologikoa","Abkhasian"
"bira","Abkhaz"
"biraka","Abkhazia"
"biribila","Abkhazian"
"birika","abl"
"birrindu","abl."
"birritan","ablach"
"birtuala","ablactate"
"birtualki","ablactated"
"birus","ablactating"
"bisita","ablactation"
"bisitaria","ablaqueate"
"bistaratzea","ablare"
"bisuala","A-blast"
"bitamina","ablastemic"
"bitartean","ablastin"
"Bitartean","ablastous"
"bitxia","ablate"
"bitxia","ablated"
"bitxiak","ablates"
"bizi","ablating"
"bizia","ablation"
"biziki","ablations"
"bizikleta","ablatitious"
"bizilaguna","ablatival"
"bizimodua","ablative"
"bizioa","ablatively"
"biziraun","ablatives"
"biziraupena","ablator"
"bizirik","ablaut"
"bizitza","ablauts"
"bizkarrekoa","ablaze"
"biztanleria","able"
"Bloga","able-bodied"
"blokeatu","able-bodiedness"
"blokeoa","ableeze"
"boligrafoa","ablegate"
"bolumena","ablegates"
"boluntario","ablegation"
"bonba","able-minded"
"bonbardaketa","able-mindedness"
"bonus","ablend"
"boom","ableness"
"borondatea","ablepharia"
"borroka","ablepharon"
"borrokalaria","ablepharous"
"borrokan","Ablepharus"
"borrokatu","ablepsy"
"bortitza","ablepsia"
"bortxaketa","ableptical"
"bortxatu","ableptically"
"bosgarrena","abler"
"bost","ables"
"bota","ablesse"
"boterea","ablest"
"botikak","ablet"
"botila","ablewhackets"
"botoa","ably"
"botoia","ablings"
"bozeramailea","ablins"
"bozkatu","ablock"
"bozketa","abloom"
"britainiarra","ablow"
"buelta","ABLS"
"bularra","ablude"
"bulegoa","abluent"
"bulkatu","abluents"
"bultza","ablush"
"bultzada","ablute"
"bultzatu","abluted"
"burbuila","ablution"
"burdina","ablutionary"
"burua","ablutions"
"buruko","abluvion"
"bururatu","ABM"
"burutsua","abmho"
"buruz","abmhos"
"buruzagia","abmodality"
"buruzkoa","abmodalities"
"bustia","abn"
"buztina","Abnaki"
"campusa","Abnakis"
"cd","abnegate"
"cookie","abnegated"
"copyrighta","abnegates"
"cowboy","abnegating"
"curriculuma","abnegation"
"dagokio","abnegations"
"daiteke","abnegative"
"damu","abnegator"
"danborra","abnegators"
"dantza","Abner"
"dantzan","abnerval"
"dantzari","abnet"
"data","abneural"
"datozenak","abnormal"
"datuak","abnormalcy"
"datu-basea","abnormalcies"
"dauden","abnormalise"
"de","abnormalised"
"Deabru","abnormalising"
"deabrua","abnormalism"
"debekatu","abnormalist"
"debeku","abnormality"
"debuta","abnormalities"
"dedikatu","abnormalize"
"defendatu","abnormalized"
"defendatzailea","abnormalizing"
"defentsa","abnormally"
"defentsan","abnormalness"
"definitu","abnormals"
"definizioa","abnormity"
"defizita","abnormities"
"deitu","abnormous"
"deiturikoa","abnumerable"
"deitzailea","Abo"
"deklaratu","aboard"
"delikatua","aboardage"
"delitua","Abobra"
"delitugilea","abococket"
"demagun","abodah"
"demandatua","abode"
"demografikoak","aboded"
"demokrata","abodement"
"demokratikoa","abodes"
"demokrazia","abode's"
"dena","abody"
"denbora","aboding"
"denboraldia","abogado"
"denda","abogados"
"denek","abohm"
"dentsitatea","abohms"
"depositua","aboideau"
"depresioa","aboideaus"
"deprimituta","aboideaux"
"desagerrarazi","aboil"
"desagertu","aboiteau"
"desanimatu","aboiteaus"
"desberdinak","aboiteaux"
"desegokia","abolete"
"deseroso","abolish"
"desestaltzen","abolishable"
"desgaituta","abolished"
"deskargatu","abolisher"
"deskontua","abolishers"
"deskribapena","abolishes"
"deskribatzea","abolishing"
"detektatu","abolishment"
"detektibea","abolishments"
"determinazioa","abolishment's"
"diabetesa","abolition"
"diagnostikatu","abolitionary"
"diagnostikoa","abolitionise"
"diamantea","abolitionised"
"diapositiba","abolitionising"
"dibertigarria","abolitionism"
"dibortzioa","abolitionist"
"dibulgazioa","abolitionists"
"dieta","abolitionize"
"Digitala","abolitionized"
"dimentsioa","abolitionizing"
"dimititu","abolitions"
"dinamika","abolla"
"dinamikoa","abollae"
"diplomatikoa","aboma"
"diputatua","abomas"
"dirua","abomasa"
"dirudienez","abomasal"
"diru-laguntza","abomasi"
"diru-sarrerak","abomasum"
"diruzaintza","abomasus"
"diseinatzailea","abomasusi"
"diseinua","A-bomb"
"diskoa","abominability"
"diskriminazioa","abominable"
"diskurtsoa","abominableness"
"distantzia","abominably"
"distira","abominate"
"distiratsua","abominated"
"distraitu","abominates"
"diziplina","abominating"
"dohainik","abomination"
"dohaintza","abominations"
"doikuntza","abominator"
"doinua","abominators"
"dok","abomine"
"doktrina","abondance"
"dokumentala","Abongo"
"dokumentua","abonne"
"dolarra","abonnement"
"domeinua","aboon"
"domina","aborad"
"dorrea","aboral"
"dortoka","aborally"
"dosi","abord"
"dot","Aboriginal"
"dotorea","aboriginality"
"dozena","aboriginally"
"drama","aboriginals"
"dramatikoa","aboriginary"
"droga","Aborigine"
"du","aborigines"
"duela","aborigine's"
"duina","Abor-miri"
"duintasuna","Aborn"
"dutxa","aborning"
"ebaluatu","a-borning"
"ebaluazioa","aborsement"
"ebanjelioa","aborsive"
"ebatzi","abort"
"ebazpena","aborted"
"eboluzionatu","aborter"
"edan","aborters"
"edaten","aborticide"
"ederra","abortient"
"edertasuna","abortifacient"
"editatu","abortin"
"editorea","aborting"
"edizioa","abortion"
"edo","abortional"
"edonoiz","abortionist"
"edonon","abortionists"
"edonor","abortions"
"edonork","abortion's"
"edozein","abortive"
"eduki","abortively"
"edukia","abortiveness"
"edukiera","abortogenic"
"edukiontzia","aborts"
"efektua","abortus"
"egia","abortuses"
"Egia","abos"
"egiaztatu","abote"
"egile","Abott"
"egilea","abouchement"
"egin","aboudikro"
"egingo","abought"
"eginkizuna","Aboukir"
"egitura","aboulia"
"egiturazkoak","aboulias"
"ego","aboulic"
"egoera","abound"
"egoiliarra","abounded"
"egoitza","abounder"
"egokia","abounding"
"egokitu","aboundingly"
"egokitzapena","abounds"
"egon","Abourezk"
"egonkorra","about"
"egonkortasuna","about-face"
"eguerdian","about-faced"
"eguna","about-facing"
"eguneratzea","abouts"
"egunero","about-ship"
"egungoa","about-shipped"
"egunkaria","about-shipping"
"egunsentia","about-sledge"
"eguraldi","about-turn"
"eguraldia","above"
"egurra","aboveboard"
"egurrezkoa","above-board"
"egutegia","above-cited"
"eguzkia","abovedeck"
"eguzki-argia","above-found"
"eguzkitsua","above-given"
"eh","aboveground"
"ehiza","abovementioned"
"Ehiza","above-mentioned"
"ehiztari","above-named"
"ehun","aboveproof"
"ehuna","above-quoted"
"ehunekoa","above-reported"
"ekaina","aboves"
"ekaitza","abovesaid"
"ekarpena","above-said"
"ekarri","abovestairs"
"ekialdea","above-water"
"ekialdekoa","above-written"
"ekimena","abow"
"ekintza","abox"
"ekintzailea","Abp"
"ekipamendua","ABPC"
"ekipatu","Abqaiq"
"ekitatea","abr"
"ekoitzi","abr."
"ekoizlea","Abra"
"ekoizpena","abracadabra"
"ekonomia","abrachia"
"ekonomikoa","abrachias"
"ekonomista","abradable"
"ekosistema","abradant"
"ekuazioa","abradants"
"eleberria","abrade"
"elefantea","abraded"
"elektrikoa","abrader"
"elektrizitatea","abraders"
"elektroniko","abrades"
"elementua","abrading"
"elikadura","Abraham"
"elitea","Abrahamic"
"eliza","Abrahamidae"
"elkarrekiko","Abrahamite"
"elkarrekin","Abrahamitic"
"elkarrekintza","Abraham-man"
"elkarreragin","Abrahams"
"elkarrizketa","Abrahamsen"
"elkartea","Abrahan"
"elkartu","abray"
"elkartuta","abraid"
"elurra","Abram"
"emailea","Abramis"
"emaitza","Abramo"
"emakumea","Abrams"
"emakumezkoa","Abramson"
"eman","Abran"
"emana","abranchial"
"emanaldia","abranchialism"
"emandako","abranchian"
"emankizuna","Abranchiata"
"emaria","abranchiate"
"emaztea","abranchious"
"emaztegaia","abrasax"
"emeki","abrase"
"emozioa","abrased"
"emozionala","abraser"
"emozionalki","abrash"
"enara","abrasing"
"enbaxada","abrasiometer"
"enbaxadore","abrasion"
"enborra","abrasions"
"ene","abrasion's"
"energia","abrasive"
"enfasia","abrasively"
"engranajea","abrasiveness"
"enperadore","abrasivenesses"
"enplegatu","abrasives"
"enplegua","abrastol"
"enpresa","abraum"
"enpresaburua","abraxas"
"entitate","abrazite"
"entrega","abrazitic"
"entregatu","abrazo"
"entrenamendua","abrazos"
"entrenatzailea","abreact"
"entretenimendua","abreacted"
"entsalada","abreacting"
"entzule","abreaction"
"entzumena","abreactions"
"entzun","abreacts"
"epaia","abreast"
"epaiketa","abreed"
"epaile","abrege"
"epaimahaia","abreid"
"epela","abrenounce"
"epemuga","abrenunciate"
"era","abrenunciation"
"erabaki","abreption"
"erabakia","abret"
"erabakigarria","abreuvoir"
"erabat","abri"
"erabilera","abrico"
"erabilgarria","abricock"
"erabilgarritasuna","abricot"
"erabili","abridgable"
"erabiltzailea","abridge"
"erabiltzen","abridgeable"
"eragin","abridged"
"eragina","abridgedly"
"eragingarria","abridgement"
"eraginkorra","abridgements"
"eraginkortasuna","abridger"
"eraginkortasunez","abridgers"
"eragozpena","abridges"
"eraiki","abridging"
"eraikin","abridgment"
"eraikuntza","abridgments"
"erakargarria","abrim"
"erakarpena","abrin"
"erakarri","abrine"
"erakunde","abris"
"erakusketa","abristle"
"erakustaldia","abroach"
"erakutsi","abroad"
"eraldaketa","Abrocoma"
"eraldatu","abrocome"
"eramaile","abrogable"
"eraman","abrogate"
"erantsi","abrogated"
"erantzukizuna","abrogates"
"erantzun","abrogating"
"erantzuna","abrogation"
"eraso","abrogations"
"erasoa","abrogative"
"eratorri","abrogator"
"eratu","abrogators"
"eraztun","Abroma"
"erdia","Abroms"
"erdian","Abronia"
"erdibidean","abrood"
"erdigunea","abrook"
"erdikoa","abrosia"
"eredua","abrosias"
"eremua","abrotanum"
"ergela","abrotin"
"ergelak","abrotine"
"erizaina","abrupt"
"erlatiboa","abruptedly"
"erlatiboki","abrupter"
"erlaxatu","abruptest"
"erlazioa","abruptio"
"erlazionatu","abruption"
"erlazionatuta","abruptiones"
"erlea","abruptly"
"erliebea","abruptness"
"erlijioa","Abrus"
"erlijiosoa","Abruzzi"
"erlojua","ABS"
"ero","abs-"
"eroa","Absa"
"erori","Absalom"
"erosi","absampere"
"erosketak","Absaraka"
"erosle","Absaroka"
"eroso","Absarokee"
"erosotasuna","absarokite"
"erostea","ABSBH"
"erpurua","abscam"
"erradiazioa","abscess"
"erradikala","abscessed"
"errail","abscesses"
"erraldoi","abscessing"
"erraldoia","abscession"
"erraz","abscessroot"
"erraza","abscind"
"erraztasuna","abscise"
"erraztu","abscised"
"erre","abscises"
"erreakzioa","abscisin"
"erreakzionatu","abscising"
"errealista","abscisins"
"errealitatea","abscision"
"errebelazioa","absciss"
"errebote","abscissa"
"erreferentzia","abscissae"
"erreforma","abscissas"
"errefuxiatua","abscissa's"
"erregaia","abscisse"
"errege","abscissin"
"erregea","abscission"
"erregimena","abscissions"
"erregina","absconce"
"erregistratu","abscond"
"erregistroa","absconded"
"erregu","abscondedly"
"erregularra","abscondence"
"erregulatzailea","absconder"
"erregulazioa","absconders"
"erreia","absconding"
"erreinua","absconds"
"erreka","absconsa"
"erreklamazioa","abscoulomb"
"errekurtsoa","abscound"
"errendatu","Absecon"
"errendimendua","absee"
"errenta","absey"
"errepidea","abseil"
"errepikatu","abseiled"
"errepublika","abseiling"
"errepublikanoa","abseils"
"erreserba","absence"
"erresistentzia","absences"
"erreskatea","absence's"
"errespetua","absent"
"erretiratu","absentation"
"erretiratua","absented"
"erretiroa","absentee"
"erretorika","absenteeism"
"erretratatu","absentees"
"erretratua","absentee's"
"erretzen","absenteeship"
"errezeta","absenter"
"erritmoa","absenters"
"errituala","absentia"
"erroa","absenting"
"errolda","absently"
"erromantikoa","absentment"
"erromantzea","absentminded"
"erromatarra","absent-minded"
"erronka","absentmindedly"
"errota","absent-mindedly"
"errua","absentmindedness"
"errudun","absent-mindedness"
"errugabea","absentmindednesses"
"errukia","absentness"
"errusiarra","absents"
"errutina","absfarad"
"ertaina","abshenry"
"ertza","Abshier"
"esaldia","Absi"
"esan","absinth"
"esanahia","absinthe"
"esangura","absinthes"
"esanguratsua","absinthial"
"eseki","absinthian"
"esentzia","absinthiate"
"eseri","absinthiated"
"eserlekua","absinthiating"
"esfera","absinthic"
"esfortzua","absinthiin"
"eskaera","absinthin"
"eskailera","absinthine"
"eskaini","absinthism"
"eskaintza","absinthismic"
"eskakizuna","absinthium"
"eskala","absinthol"
"eskandalua","absinthole"
"eskaneatu","absinths"
"eskaria","Absyrtus"
"eskasia","absis"
