"Vietnamese","English"
"choòng","ablatitious"
"chóp","ablatival"
"chót","ablative"
"chồ","ablatively"
"chỗ","ablatives"
"chộ","ablator"
"chốc","ablaut"
"chồi","ablauts"
"chổi","ablaze"
"chối","able"
"chồm","able-bodied"
"chôn","able-bodiedness"
"chồn","ableeze"
"chốn","ablegate"
"chông","ablegates"
"chồng","ablegation"
"chổng","able-minded"
"chống","able-mindedness"
"chốp","ablend"
"chộp","ableness"
"chốt","ablepharia"
"chột","ablepharon"
"chờ","ablepharous"
"chở","Ablepharus"
"chớ","ablepsy"
"chợ","ablepsia"
"chơi","ableptical"
"chờm","ableptically"
"chớm","abler"
"chơn","ables"
"chờn","ablesse"
"chợn","ablest"
"chớp","ablet"
"chợp","ablewhackets"
"chợt","ably"
"chu","ablings"
"chù","ablins"
"chủ","ablock"
"chú","abloom"
"chua","ablow"
"chùa","ABLS"
"chúa","ablude"
"chuẩn","abluent"
"chúc","abluents"
"chục","ablush"
"chui","ablute"
"chùi","abluted"
"chũi","ablution"
"chúi","ablutionary"
"chum","ablutions"
"chùm","abluvion"
"chũm","ABM"
"chúm","abmho"
"chụm","abmhos"
"chun","abmodality"
"chùn","abmodalities"
"chủn","abn"
"chung","Abnaki"
"chùng","Abnakis"
"chủng","abnegate"
"chúng","abnegated"
"chuốc","abnegates"
"chuộc","abnegating"
"chuôi","abnegation"
"chuồi","abnegations"
"chuỗi","abnegative"
"chuối","abnegator"
"chuội","abnegators"
"chuôm","Abner"
"chuồn","abnerval"
"chuông","abnet"
"chuồng","abneural"
"chuộng","abnormal"
"chuốt","abnormalcy"
"chuột","abnormalcies"
"chụp","abnormalise"
"chút","abnormalised"
"chụt","abnormalising"
"chùy","abnormalism"
"chuyên","abnormalist"
"chuyền","abnormality"
"chuyển","abnormalities"
"chuyến","abnormalize"
"chuyện","abnormalized"
"chừ","abnormalizing"
"chữ","abnormally"
"chứ","abnormalness"
"chưa","abnormals"
"chừa","abnormity"
"chửa","abnormities"
"chữa","abnormous"
"chứa","abnumerable"
"chức","Abo"
"chực","aboard"
"chửi","aboardage"
"chưn","Abobra"
"chưng","abococket"
"chừng","abodah"
"chửng","abode"
"chững","aboded"
"chứng","abodement"
"chước","abodes"
"chưởi","abode's"
"chườm","abody"
"chương","aboding"
"chưởng","abogado"
"chướng","abogados"
"chượp","abohm"
"co","abohms"
"cò","aboideau"
"cỏ","aboideaus"
"có","aboideaux"
"cọ","aboil"
"cóc","aboiteau"
"cọc","aboiteaus"
"coi","aboiteaux"
"còi","abolete"
"cõi","abolish"
"cói","abolishable"
"com-lê","abolished"
"com-măng-ca","abolisher"
"com-pa","abolishers"
"còm","abolishes"
"con","abolishing"
"còn","abolishment"
"cọn","abolishments"
"cong","abolishment's"
"còng","abolition"
"cỏng","abolitionary"
"cõng","abolitionise"
"cóng","abolitionised"
"cọng","abolitionising"
"cóp","abolitionism"
"cọp","abolitionist"
"cót","abolitionists"
"cọt","abolitionize"
"cô","abolitionized"
"cổ","abolitionizing"
"cỗ","abolitions"
"cố","abolla"
"cộ","abollae"
"cốc","aboma"
"cốc-tay","abomas"
"cộc","abomasa"
"côi","abomasal"
"cổi","abomasi"
"cỗi","abomasum"
"cối","abomasus"
"cội","abomasusi"
"côm","A-bomb"
"cốm","abominability"
"cộm","abominable"
"côn","abominableness"
"cồn","abominably"
"cốn","abominate"
"công","abominated"
"công-bát","abominates"
"công-te-nơ","abominating"
"công-tơ","abomination"
"công-xôn","abominations"
"cồng","abominator"
"cổng","abominators"
"cống","abomine"
"cộng","abondance"
"cốp","Abongo"
"cốp-pha","abonne"
"cộp","abonnement"
"cốt","aboon"
"cột","aborad"
"cơ","aboral"
"cờ","aborally"
"cờ-lê","abord"
"cờ-rếp","Aboriginal"
"cỡ","aboriginality"
"cớ","aboriginally"
"cơi","aboriginals"
"cời","aboriginary"
"cởi","Aborigine"
"cỡi","aborigines"
"cơm","aborigine's"
"cớm","Abor-miri"
"cơn","Aborn"
"cỡn","aborning"
"cợn","a-borning"
"cợt","aborsement"
"cu","aborsive"
"cu-li","abort"
"cu-lông","aborted"
"cù","aborter"
"củ","aborters"
"cũ","aborticide"
"cú","abortient"
"cụ","abortifacient"
"cua","abortin"
"cua-roa","aborting"
"của","abortion"
"cúa","abortional"
"cúc","abortionist"
"cục","abortionists"
"cùi","abortions"
"cùi-dìa","abortion's"
"củi","abortive"
"cũi","abortively"
"cúi","abortiveness"
"cùm","abortogenic"
"cúm","aborts"
"cụm","abortus"
"cùn","abortuses"
"củn","abos"
"cung","abote"
"cùng","Abott"
"củng","abouchement"
"cũng","aboudikro"
"cúng","abought"
"cụng","Aboukir"
"cuốc","aboulia"
"cuộc","aboulias"
"cuối","aboulic"
"cuội","abound"
"cuỗm","abounded"
"cuốn","abounder"
"cuộn","abounding"
"cuồng","aboundingly"
"cuống","abounds"
"cuộng","Abourezk"
"cúp","about"
"cụp","about-face"
"cút","about-faced"
"cụt","about-facing"
"cừ","abouts"
"cử","about-ship"
"cữ","about-shipped"
"cứ","about-shipping"
"cự","about-sledge"
"cưa","about-turn"
"cửa","above"
"cứa","aboveboard"
"cựa","above-board"
"cực","above-cited"
"cửi","abovedeck"
"cưng","above-found"
"cửng","above-given"
"cứng","aboveground"
"cước","abovementioned"
"cười","above-mentioned"
"cưỡi","above-named"
"cưới","aboveproof"
"cườm","above-quoted"
"cương","above-reported"
"cường","aboves"
"cưỡng","abovesaid"
"cướp","above-said"
"cứt","abovestairs"
"cưu","above-water"
"cừu","above-written"
"cửu","abow"
"cữu","abox"
"cứu","Abp"
"cựu","ABPC"
"da","Abqaiq"
"dà","abr"
"dã","abr."
"dá","Abra"
"dạ","abracadabra"
"dác","abrachia"
"dai","abrachias"
"dải","abradable"
"dãi","abradant"
"dái","abradants"
"dại","abrade"
"dam","abraded"
"dám","abrader"
"dạm","abraders"
"dàn","abrades"
"dán","abrading"
"dạn","Abraham"
"dang","Abrahamic"
"dáng","Abrahamidae"
"dạng","Abrahamite"
"danh","Abrahamitic"
"dành","Abraham-man"
"dao","Abrahams"
"dào","Abrahamsen"
"dạo","Abrahan"
"dát","abray"
"dàu","abraid"
"day","Abram"
"dày","Abramis"
"dảy","Abramo"
"dãy","Abrams"
"dạy","Abramson"
"dăm","Abran"
"dằm","abranchial"
"dặm","abranchialism"
"dăn","abranchian"
"dằn","Abranchiata"
"dặn","abranchiate"
"dăng","abranchious"
"dẳng","abrasax"
"dặng","abrase"
"dắt","abrased"
"dặt","abraser"
"dâm","abrash"
"dầm","abrasing"
"dậm","abrasiometer"
"dân","abrasion"
"dần","abrasions"
"dẫn","abrasion's"
"dấn","abrasive"
"dận","abrasively"
"dâng","abrasiveness"
"dấp","abrasivenesses"
"dập","abrasives"
"dâu","abrastol"
"dầu","abraum"
"dẫu","abraxas"
"dấu","abrazite"
"dậu","abrazitic"
"dây","abrazo"
"dẫy","abrazos"
"dấy","abreact"
"dậy","abreacted"
"de","abreacting"
"de","abreaction"
"dè","abreactions"
"dẻ","abreacts"
"dẽ","abreast"
"dé","abreed"
"deo","abrege"
"dẻo","abreid"
"dép","abrenounce"
"dẹp","abrenunciate"
"dẹt","abrenunciation"
"dê","abreption"
"dể","abret"
"dễ","abreuvoir"
"dế","abri"
"dện","abrico"
"dềnh","abricock"
"dệt","abricot"
"di","abridgable"
"dì","abridge"
"dị","abridgeable"
"dĩa","abridged"
"dích","abridgedly"
"dịch","abridgement"
"diếc","abridgements"
"diệc","abridger"
"diêm","abridgers"
"diềm","abridges"
"diễn","abridging"
"diện","abridgment"
"diếp","abridgments"
"diệp","abrim"
"diệt","abrin"
"diều","abrine"
"diễu","abris"
"diệu","abristle"
"dim","abroach"
"dìm","abroad"
"dím","Abrocoma"
"dinh","abrocome"
"dinh-tê","abrogable"
"dính","abrogate"
"díp","abrogated"
"dịp","abrogates"
"dìu","abrogating"
"díu","abrogation"
"dịu","abrogations"
"do","abrogative"
"dò","abrogator"
"dó","abrogators"
"doa","Abroma"
"dóa","Abroms"
"dọa","Abronia"
"doãi","abrood"
"doan","abrook"
"doãng","abrosia"
"doành","abrosias"
"dóc","abrotanum"
"dọc","abrotin"
"dõi","abrotine"
"dọi","abrupt"
"dom","abruptedly"
"dòm","abrupter"
"dỏm","abruptest"
"dóm","abruptio"
"don","abruption"
"dón","abruptiones"
"dọn","abruptly"
"dong","abruptness"
"dòng","Abrus"
"dỏng","Abruzzi"
"dõng","ABS"
"dọng","abs-"
"dọp","Absa"
"dót","Absalom"
"dô","absampere"
"dô-kề","Absaraka"
"dỗ","Absaroka"
"dốc","Absarokee"
"dôi","absarokite"
"dồi","ABSBH"
"dỗi","abscam"
"dối","abscess"
"dội","abscessed"
"dồn","abscesses"
"dông","abscessing"
"dộng","abscession"
"dốt","abscessroot"
"dột","abscind"
"dơ","abscise"
"dở","abscised"
"dỡ","abscises"
"dơi","abscisin"
"dời","abscising"
"dởm","abscisins"
"dớp","abscision"
"du","absciss"
"dù","abscissa"
"dụ","abscissae"
"dùa","abscissas"
"duềnh","abscissa's"
"dùi","abscisse"
"dũi","abscissin"
"dúi","abscission"
"dúm","abscissions"
"dụm","absconce"
"dun","abscond"
"dùn","absconded"
"dún","abscondedly"
"dung","abscondence"
"dùng","absconder"
"dúng","absconders"
"duốc","absconding"
"duỗi","absconds"
"duy","absconsa"
"duyên","abscoulomb"
"duyệt","abscound"
"dư","Absecon"
"dừ","absee"
"dử","absey"
"dữ","abseil"
"dứ","abseiled"
"dự","abseiling"
"dưa","abseils"
"dừa","absence"
"dứa","absences"
"dựa","absence's"
"dức","absent"
"dưng","absentation"
"dừng","absented"
"dửng","absentee"
"dựng","absenteeism"
"dược","absentees"
"dưới","absentee's"
"dương","absenteeship"
"dường","absenter"
"dưỡng","absenters"
"dướng","absentia"
"dượng","absenting"
"dượt","absently"
"dứt","absentment"
"đa","absentminded"
"đà","absent-minded"
"đả","absentmindedly"
"đã","absent-mindedly"
"đá","absentmindedness"
"đạc","absent-mindedness"
"đách","absentmindednesses"
"đai","absentness"
"đài","absents"
"đái","absfarad"
"đại","abshenry"
"đam","Abshier"
"đàm","Absi"
"đảm","absinth"
"đám","absinthe"
"đạm","absinthes"
"đan","absinthial"
"đàn","absinthian"
"đản","absinthiate"
"đạn","absinthiated"
"đang","absinthiating"
"đàng","absinthic"
"đảng","absinthiin"
"đáng","absinthin"
"đanh","absinthine"
"đành","absinthism"
"đánh","absinthismic"
"đao","absinthium"
"đào","absinthol"
"đảo","absinthole"
"đáo","absinths"
"đạo","Absyrtus"
"đáp","absis"
"đạp","absist"
"đạt","absistos"
"đau","absit"
"đay","absmho"
"đày","absohm"
"đãy","absoil"
"đáy","absolent"
"đặc","Absolute"
"đăm","absolutely"
"đằm","absoluteness"
"đẵm","absoluter"
"đắm","absolutes"
"đằn","absolutest"
"đẵn","absolution"
"đăng","absolutions"
"đăng-ten","absolutism"
"đằng","absolutist"
"đẵng","absolutista"
"đắng","absolutistic"
"đặng","absolutistically"
"đắp","absolutists"
"đắt","absolutive"
"đặt","absolutization"
"đâm","absolutize"
"đầm","absolutory"
"đẫm","absolvable"
"đấm","absolvatory"
"đậm","absolve"
"đần","absolved"
"đấng","absolvent"
"đập","absolver"
"đất","absolvers"
"đâu","absolves"
"đầu","absolving"
"đẩu","absolvitor"
"đấu","absolvitory"
"đậu","absonant"
"đây","absonous"
"đầy","absorb"
"đẩy","absorbability"
"đẫy","absorbable"
"đấy","absorbance"
"đậy","absorbancy"
"đe","absorbant"
"đem","absorbed"
"đen","absorbedly"
"đèn","absorbedness"
"đẹn","absorbefacient"
"đeo","absorbency"
"đèo","absorbencies"
"đẽo","absorbent"
"đéo","absorbents"
"đẹp","absorber"
"đét","absorbers"
"đẹt","absorbing"
"đê","absorbingly"
"đề","absorbition"
"để","absorbs"
"đễ","absorbtion"
"đế","absorpt"
"đệ","absorptance"
"đếch","absorptiometer"
"đêm","absorptiometric"
"đếm","absorption"
"đệm","absorptional"
"đền","absorptions"
"đến","absorption's"
"đệp","absorptive"
"đều","absorptively"
"đểu","absorptiveness"
"đi","absorptivity"
"đì","absquatulate"
"đĩ","absquatulation"
"đìa","abstain"
"đỉa","abstained"
"đĩa","abstainer"
"đía","abstainers"
"địa","abstaining"
"đích","abstainment"
"địch","abstains"
"điếc","abstemious"
"điểm","abstemiously"
"điếm","abstemiousness"
"điên","abstention"
"điền","abstentionism"
"điển","abstentionist"
"điện","abstentions"
"điệp","abstentious"
"điều","absterge"
"điếu","absterged"
"điệu","abstergent"
"đinh","absterges"
"đình","absterging"
"đỉnh","absterse"
"đĩnh","abstersion"
"đính","abstersive"
"định","abstersiveness"
"đít","abstertion"
"địt","abstinence"
"địu","abstinences"
"đo","abstinency"
"đò","abstinent"
"đỏ","abstinential"
"đõ","abstinently"
"đó","abstort"
"đọ","abstr"
"đoá","abstract"
"đọa","abstractable"
"đoài","abstracted"
"đoái","abstractedly"
"đoan","abstractedness"
"đoàn","abstracter"
"đoản","abstracters"
"đoán","abstractest"
"đoạn","abstracting"
"đoàng","abstraction"
"đoảng","abstractional"
"đoành","abstractionism"
"đoạt","abstractionist"
"đóc","abstractionists"
"đọc","abstractions"
"đoi","abstraction's"
"đòi","abstractitious"
"đỏi","abstractive"
"đói","abstractively"
"đọi","abstractiveness"
