"Nepali","English"
"खोपडी","abmodalities"
"खोल","abn"
"खोल्नुहोस्","Abnaki"
"गठन","Abnakis"
"गठबन्धन","abnegate"
"गडबड","abnegated"
"गणतन्त्र","abnegates"
"गणना","abnegating"
"गणित","abnegation"
"गति","abnegations"
"गतिविधि","abnegative"
"गतिशील","abnegator"
"गतिशीलता","abnegators"
"गधा","Abner"
"गन्तव्य","abnerval"
"गन्ध","abnet"
"गभर्नर","abneural"
"गम्भीर","abnormal"
"गरिब","abnormalcy"
"गरिबी","abnormalcies"
"गर्नु","abnormalise"
"गर्नुपर्छ","abnormalised"
"गर्भपतन","abnormalising"
"गर्भवती","abnormalism"
"गर्भाधान","abnormalist"
"गर्भावस्था","abnormality"
"गर्मी","abnormalities"
"गर्व","abnormalize"
"गलत","abnormalized"
"गलियारे","abnormalizing"
"गल्ती","abnormally"
"गल्ली","abnormalness"
"गवाही","abnormals"
"गस्ती","abnormity"
"गहना","abnormities"
"गहिराई","abnormous"
"गहिरो","abnumerable"
"गहुँ","Abo"
"गाँजा","aboard"
"गाइड","aboardage"
"गाई","Abobra"
"गाईवस्तु","abococket"
"गाउँ","abodah"
"गाउनुहोस्","abode"
"गाडी","aboded"
"गाड्नु","abodement"
"गायक","abodes"
"गायब","abode's"
"गार्ड","abody"
"गाल","aboding"
"गाह्रो","abogado"
"गितार","abogados"
"गियर","abohm"
"गिरफ्तार","abohms"
"गिरोह","aboideau"
"गिलास","aboideaus"
"गीत","aboideaux"
"गुँड","aboil"
"गुच्छा","aboiteau"
"गुजर्नु","aboiteaus"
"गुणस्तर","aboiteaux"
"गुनासो","abolete"
"गुफा","abolish"
"गुरुत्वाकर्षण","abolishable"
"गुलाफ","abolished"
"गुलाबी","abolisher"
"गूंगा","abolishers"
"गृहकार्य","abolishes"
"गेट","abolishing"
"गोपनीयता","abolishment"
"गोप्य","abolishments"
"गोरु","abolishment's"
"गोला","abolition"
"गोलाकार","abolitionary"
"गोली","abolitionise"
"गोलो","abolitionised"
"गोल्फ","abolitionising"
"ग्यारेज","abolitionism"
"ग्यारेन्टी","abolitionist"
"ग्यालन","abolitionists"
"ग्यालेरी","abolitionize"
"ग्यास","abolitionized"
"ग्रह","abolitionizing"
"ग्रहण","abolitions"
"ग्राफ","abolla"
"ग्राफिक","abollae"
"ग्राम","aboma"
"ग्रामीण","abomas"
"ग्राहक","abomasa"
"ग्रिड","abomasal"
"ग्रीक","abomasi"
"ग्रेड","abomasum"
"ग्लोब","abomasus"
"घटक","abomasusi"
"घटना","A-bomb"
"घटाउनु","abominability"
"घटाउने","abominable"
"घट्नु","abominableness"
"घडी","abominably"
"घण्टा","abominate"
"घण्टी","abominated"
"घनत्व","abominates"
"घनिष्ठ","abominating"
"घमाइलो","abomination"
"घर","abominations"
"घरपरिवार","abominator"
"घरबारविहीन","abominators"
"घरेलु","abomine"
"घाँटी","abondance"
"घाँस","Abongo"
"घाउ","abonne"
"घाटा","abonnement"
"घातक","aboon"
"घिसाउनु","aborad"
"घुँडा","aboral"
"घुमाउनुहोस्","aborally"
"घुम्न","abord"
"घुसाउनुहोस्","Aboriginal"
"घृणा","aboriginality"
"घोटाला","aboriginally"
"घोडा","aboriginals"
"घोषणा","aboriginary"
"चकलेट","Aborigine"
"चक्कु","aborigines"
"चक्र","aborigine's"
"चटनी","Abor-miri"
"चट्टान","Aborn"
"चढ्नु","aborning"
"चन्द्रमा","a-borning"
"चपाउनु","aborsement"
"चमक","aborsive"
"चमत्कार","abort"
"चम्मच","aborted"
"चयन","aborter"
"चर","aborters"
"चरण","aborticide"
"चरम","abortient"
"चरा","abortifacient"
"चरित्र","abortin"
"चर्को","aborting"
"चर्च","abortion"
"चलचित्र","abortional"
"चलाख","abortionist"
"चलिरहेको","abortionists"
"चल्नु","abortions"
"चाँडै","abortion's"
"चाँदी","abortive"
"चामल","abortively"
"चार","abortiveness"
"चार्ज","abortogenic"
"चार्ट","aborts"
"चार्टर","abortus"
"चाल","abortuses"
"चालक","abos"
"चालीस","abote"
"चाहन्छ","Abott"
"चाहे","abouchement"
"चिकित्सक","aboudikro"
"चिकित्सा","abought"
"चिच्याउनु","Aboukir"
"चिच्याउने","aboulia"
"चित्र","aboulias"
"चित्रकला","aboulic"
"चित्रकार","abound"
"चित्रण","abounded"
"चिन","abounder"
"चिनियाँ","abounding"
"चिनी","aboundingly"
"चिन्ता","abounds"
"चिन्तित","Abourezk"
"चिन्ह","about"
"चिप","about-face"
"चिया","about-faced"
"चिल्लो","about-facing"
"चिसो","abouts"
"चिहान","about-ship"
"चीज","about-shipped"
"चीर","about-shipping"
"चील","about-sledge"
"चुनाव","about-turn"
"चुनावी","above"
"चुनौती","aboveboard"
"चुनौतीपूर्ण","above-board"
"चुपचाप","above-cited"
"चुम्बन","abovedeck"
"चुरोट","above-found"
"चुलो","above-given"
"चुस्नु","aboveground"
"चुहावट","abovementioned"
"चेतना","above-mentioned"
"चेतावनी","above-named"
"चेन","aboveproof"
"चोट","above-quoted"
"चोर","above-reported"
"चोरी","aboves"
"चौडा","abovesaid"
"चौथाई","above-said"
"चौथो","abovestairs"
"च्यानल","above-water"
"च्याम्पियन","above-written"
"च्याम्पियनशिप","abow"
"छ","abox"
"छडी","Abp"
"छत","ABPC"
"छनौट","Abqaiq"
"छलफल","abr"
"छलांग","abr."
"छवि","Abra"
"छाती","abracadabra"
"छात्रवृत्ति","abrachia"
"छान्नुहोस्","abrachias"
"छाप","abradable"
"छाप्नुहोस्","abradant"
"छाया","abradants"
"छाला","abrade"
"छिटो","abraded"
"छिट्टै","abrader"
"छिमेक","abraders"
"छिमेकी","abrades"
"छुट","abrading"
"छुटकारा","Abraham"
"छुट्टी","Abrahamic"
"छुट्याउन","Abrahamidae"
"छेउमा","Abrahamite"
"छैटौं","Abrahamitic"
"छैन","Abraham-man"
"छोटकरीमा","Abrahams"
"छोटो","Abrahamsen"
"छोड","Abrahan"
"छोड्नुहोस्","abray"
"छोरा","abraid"
"छोरी","Abram"
"जंगल","Abramis"
"जंगली","Abramo"
"जग","Abrams"
"जगाउनु","Abramson"
"जङ्गल","Abran"
"जटिल","abranchial"
"जटिलता","abranchialism"
"जडान","abranchian"
"जडीबुटी","Abranchiata"
"जताततै","abranchiate"
"जनगणना","abranchious"
"जनजाति","abrasax"
"जनवरी","abrase"
"जनसंख्या","abrased"
"जनसांख्यिकीय","abraser"
"जनादेश","abrash"
"जनावर","abrasing"
"जन्म","abrasiometer"
"जन्मदिन","abrasion"
"जन्मेको","abrasions"
"जबकि","abrasion's"
"जबडा","abrasive"
"जमीन","abrasively"
"जमेको","abrasiveness"
"जम्प","abrasivenesses"
"जम्मा","abrasives"
"जरा","abrastol"
"जरिवाना","abraum"
"जर्नल","abraxas"
"जर्मन","abrazite"
"जलवायु","abrazitic"
"जलाउनु","abrazo"
"जल्दै","abrazos"
"जवान","abreact"
"जवाफ","abreacted"
"जवाफदेहिता","abreacting"
"जसको","abreaction"
"जस्तै","abreactions"
"जहाज","abreacts"
"जांघ","abreast"
"जांच","abreed"
"जागरूकता","abrege"
"जागा","abreid"
"जाडो","abrenounce"
"जात","abrenunciate"
"जातिवाद","abrenunciation"
"जातिवादी","abreption"
"जातीय","abret"
"जादुई","abreuvoir"
"जादू","abri"
"जानकारी","abrico"
"जानाजानी","abricock"
"जानुहोस्","abricot"
"जान्नुहुन्छ","abridgable"
"जापानी","abridge"
"जार","abridgeable"
"जाल","abridged"
"जासूस","abridgedly"
"जिज्ञासा","abridgement"
"जिज्ञासु","abridgements"
"जित","abridger"
"जिब्रो","abridgers"
"जिम","abridges"
"जिम्मेवार","abridging"
"जिम्मेवारी","abridgment"
"जिल्ला","abridgments"
"जीउ","abrim"
"जीत","abrin"
"जीन","abrine"
"जीन्स","abris"
"जीव","abristle"
"जीवन","abroach"
"जीवनशैली","abroad"
"जीवविज्ञान","Abrocoma"
"जीवाश्म","abrocome"
"जीवित","abrogable"
"जुत्ता","abrogate"
"जुन","abrogated"
"जुनियर","abrogates"
"जुम्ल्याहा","abrogating"
"जुलाई","abrogation"
"जुलुस","abrogations"
"जूरी","abrogative"
"जेट","abrogator"
"जेठो","abrogators"
"जेल","Abroma"
"जैतून","Abroms"
"जैविक","Abronia"
"जोखिम","abrood"
"जोखिमपूर्ण","abrook"
"जोगिन","abrosia"
"जोड","abrosias"
"जोडी","abrotanum"
"जोड्नुहोस्","abrotin"
"जोश","abrotine"
