"Luxembourgish","English"
"Ärmlech","abashedness"
"arrangéieren","abashes"
"Arrangement","abashing"
"Array","abashless"
"Arrivée","abashlessly"
"Arsch","abashment"
"Artikel","abashments"
"artistesch","abasia"
"Äschen","abasias"
"Aschränkung","abasic"
"aschreiwen","abasing"
"Aschreiwung","abasio"
"asetzen","abask"
"asiatesch","abassi"
"Asiicht","Abassieh"
"Aspekt","Abassin"
"ass","abastard"
"Assemblée","abastardize"
"Assistent","abastral"
"Associatioun","abatable"
"assoziéiert","abatage"
"astellen","Abate"
"Astellung","abated"
"Astronom","abatement"
"athletesch","abatements"
"Atmosphär","abater"
"attackéieren","abaters"
"Attraktioun","abates"
"attraktiv","abatic"
"Attribut","abating"
"Auer","abatis"
"Aufgab","abatised"
"August","abatises"
"aus","abatjour"
"Ausbildung","abatjours"
"Ausbléck","abaton"
"ausbreeden","abator"
"ausdrécken","abators"
"Ausdrock","ABATS"
"auserneen","abattage"
"ausféieren","abattis"
"Ausféierung","abattised"
"ausfëllen","abattises"
"Ausgaben","abattoir"
"Ausgang","abattoirs"
"ausgefalene","abattu"
"Ausgesinn","abattue"
"ausgezeechent","Abatua"
"ausgoen","abature"
"aushalen","abaue"
"ausklappen","abave"
"auslännesch","abaxial"
"ausléisen","abaxile"
"ausmaachen","abaze"
"Ausmooss","abb"
"Ausnam","Abba"
"ausrechnen","abbacy"
"ausriichten","abbacies"
"ausschaffen","abbacomes"
"ausschléissen","Abbadide"
"Ausschreiwung","Abbai"
"ausser","abbaye"
"ausserdeem","abbandono"
"aussergewéinlech","abbas"
"ausserhalb","abbasi"
"Ausso","Abbasid"
"ausstelle","abbassi"
"ausstellen","Abbassid"
"Ausstellung","Abbasside"
"austauschen","Abbate"
"Auswee","abbatial"
"Auswiel","abbatical"
"auswielen","abbatie"
"Auszeechnung","Abbe"
"Auteur","Abbey"
"auto","abbeys"
"Autobunn","abbey's"
"automatesch","abbeystead"
"autoriséieren","abbeystede"
"Autoritéit","abbes"
"avenue","abbess"
"averstanen","abbesses"
"awer","abbest"
"Awunner","Abbevilean"
"Backupsatellit","Abbeville"
"bad","Abbevillian"
"bäidroen","Abbi"
"Bäitrag","Abby"
"baken","Abbie"
"Bakterien","Abbye"
"bal","Abbyville"
"ball","abboccato"
"ballon","abbogada"
"Bam","Abbot"
"banana","abbotcy"
"band","abbotcies"
"Band","abbotnullius"
"bank","abbotric"
"bänk","abbots"
"Bankgeheimnis","abbot's"
"bannen","Abbotsen"
"bannent","Abbotsford"
"bannenzeg","abbotship"
"Banquier","abbotships"
"bar","Abbotson"
"Barmhäerzegkeet","Abbotsun"
"barrel","Abbott"
"Barrière","Abbottson"
"baseball","Abbottstown"
"Basis","Abboud"
"Basketball","abbozzo"
"bastard","ABBR"
"bat","abbrev"
"Batterie","abbreviatable"
"Bau","abbreviate"
"Bauch","abbreviated"
"bauen","abbreviately"
"Bauer","abbreviates"
"Bauerenhaff","abbreviating"
"baussecht","abbreviation"
"baussenzegen","abbreviations"
"beaflossen","abbreviator"
"beam","abbreviatory"
"beandrocken","abbreviators"
"beandrockend","abbreviature"
"beäntwert","abbroachment"
"beast","ABC"
"bedaueren","abcess"
"bedeitend","abcissa"
"bedeitendst","abcoulomb"
"Bedeitung","ABCs"
"Bedreiwer","abd"
"Bedruch","abdal"
"bee","abdali"
"Been","abdaria"
"befestegt","abdat"
"befreien","Abdel"
"beg","Abd-el-Kadir"
"begeeschteren","Abd-el-Krim"
"Begeeschterung","Abdella"
"begéinen","Abderhalden"
"begleeden","Abderian"
"Begleeder","Abderite"
"Begrëff","Abderus"
"Begrëffer","abdest"
"begréisst","Abdias"
"Begrenzung","abdicable"
"Begriefnes","abdicant"
"begruewen","abdicate"
"behaapt","abdicated"
"behaapten","abdicates"
"behalen","abdicating"
"behandelen","abdication"
"Behandlung","abdications"
"behënnert","abdicative"
"Behënnerung","abdicator"
"behuelen","Abdiel"
"béien","abditive"
"Béier","abditory"
"béis","abdom"
"Beispill","abdomen"
"bekämpfen","abdomens"
"bekannt","abdomen's"
"bekennen","abdomina"
"Belaaschtung","abdominal"
"Belästegung","Abdominales"
"beleidegen","abdominalia"
"beleidegt","abdominalian"
"beléifte","abdominally"
"bell","abdominals"
"bëlleg","abdominoanterior"
"Belounung","abdominocardiac"
"bemierken","abdominocentesis"
"bemierkenswäert","abdominocystic"
"bemierkung","abdominogenital"
"benotzen","abdominohysterectomy"
"Benotzer","abdominohysterotomy"
"Benotzerdefinéiert","abdominoposterior"
"benotzt","abdominoscope"
"Benotzung","abdominoscopy"
"Benzin","abdominothoracic"
"beobachten","abdominous"
"beonrouegend","abdomino-uterotomy"
"bequem","abdominovaginal"
"Beräich","abdominovesical"
"Berechnung","Abdon"
"berechtegen","Abdu"
"berechtegt","abduce"
"beréieren","abduced"
"Berichterstattung","abducens"
"beroden","abducent"
"Beroder","abducentes"
"Berodung","abduces"
"Beruff","abducing"
"berufflech","abduct"
"berühmt","abducted"
"bësch","abducting"
"Bësch","abduction"
"beschäftegen","abductions"
"beschäftegt","abduction's"
"Beschäftegung","abductor"
"bescheiden","abductores"
"beschëllegt","abductors"
"Bëschof","abductor's"
"beschränken","abducts"
"beschreiwen","Abdul"
"Beschreiwung","Abdul-Aziz"
"beschte","Abdul-baha"
"beschwéieren","Abdulla"
"Besëtz","Abe"
"besetzen","a-be"
"besëtzen","abeam"
"Besëtzer","abear"
"Besetzung","abearance"
"besicht","Abebi"
"besonnesch","abecedaire"
"bëss","abecedary"
"bëssen","abecedaria"
"besser","abecedarian"
"bestätegen","abecedarians"
"bestehend","abecedaries"
"bestellen","abecedarium"
"bestëmmen","abecedarius"
"bestëmmt","abed"
"Bestëmmung","abede"
"bestinn","abedge"
"bestrofen","Abednego"
"bestueden","abegge"
"bestuet","Abey"
"Besuergnëss","abeyance"
"besuergt","abeyances"
"Betrachter","abeyancy"
"Betrag","abeyancies"
"betreffend","abeyant"
"betruecht","abeigh"
"Bett","ABEL"
"Bevëlkerung","Abelard"
"bewaacht","abele"
"bewäerten","abeles"
"Bewäertung","Abelia"
"bewaffnet","Abelian"
"Bewegung","Abelicea"
"Beweis","Abelite"
"beweisen","Abell"
"Beweiser","Abelmoschus"
"bewonneren","abelmosk"
"bewosst","abelmosks"
"Bewosstsinn","abelmusk"
"bezéien","Abelonian"
"bezuelbar","Abelson"
"bezuelen","abeltree"
"Bezuelen","Abencerrages"
"bias","abend"
"Bibel","abends"
"Bibliothéik","Abenezra"
"bidd","abenteric"
"bidden","Abeokuta"
"bier","abepithymia"
"Bierg","ABEPP"
"Bierger","Abercromby"
"biergerlech","Abercrombie"
"biet","Aberdare"
"Biischt","aberdavine"
"Bijouen","Aberdeen"
"Bild","Aberdeenshire"
"Billioun","aberdevine"
"binden","Aberdonian"
"biologesch","aberduvine"
"biologie","Aberfan"
"bis","Aberglaube"
"bitter","Aberia"
"blann","Aberystwyth"
"blass","Abernant"
"Blat","Abernathy"
"blatt","abernethy"
"Bléck","Abernon"
"bleiwen","aberr"
"blénken","aberrance"
"bless","aberrancy"
"Blëtz","aberrancies"
"blitz","aberrant"
"blo","aberrantly"
"blockéieren","aberrants"
"Blödsinn","aberrate"
"blog","aberrated"
"blosen","aberrating"
"bluddeg","aberration"
"Blummen","aberrational"
"blutt","aberrations"
"Blutt","aberrative"
"boer","aberrator"
"bohren","aberrometer"
"bomb","aberroscope"
"Bombardement","Abert"
"Bomi","aberuncate"
"bomm","aberuncator"
"Bond","abesse"
"Bonus","abessive"
"boost","abet"
"boot","abetment"
"Boot","abetments"
"Botter","abets"
"Boun","abettal"
"branch","abettals"
"brauch","abetted"
"Braut","abetter"
"brave","abetters"
"Bréck","abetting"
"breet","abettor"
"Bréif","abettors"
"bréngen","Abeu"
"brennen","abevacuation"
"Brennstoff","abfarad"
"briechen","abfarads"
"briss","ABFM"
"britesch","Abgatha"
"brong","ABHC"
"Broscht","abhenry"
"Brout","abhenries"
"Browser","abhenrys"
"Brudder","abhinaya"
"brutal","abhiseka"
"brutto","abhominable"
"Bubble","abhor"
"Buch","abhorred"
"Bucht","abhorrence"
"buck","abhorrences"
"Budget","abhorrency"
"Buedem","abhorrent"
"Buedzëmmer","abhorrently"
"Buergermeeschter","abhorrer"
"burger","abhorrers"
"Büro","abhorrible"
"bus","abhorring"
"Busch","abhors"
"Buttek","Abhorson"
"cab","ABI"
"Cabinet","aby"
"Cadeau","Abia"
"cafe","Abiathar"
"Camion","Abib"
"camp","abichite"
"Campagne","abidal"
"campus","abidance"
"carrier","abidances"
"Carrière","abidden"
"Cartoon","abide"
"Casino","abided"
"cd","abider"
"Cent","abiders"
"CEO","abides"
"Certificat","abidi"
"Chamber","abiding"
"Champion","abidingly"
"Championnat","abidingness"
"Chance","Abidjan"
"chaos","Abydos"
"Charakter","Abie"
"charakteriséieren","abye"
"charakteristesch","abied"
"charge","abyed"
"charme","abiegh"
"Charta","abience"
"chatten","abient"
"Chauffeur","Abies"
"Chef","abyes"
"chemesch","abietate"
"Chimie","abietene"
"Chineesesch","abietic"
"chip","abietin"
"Chirurg","Abietineae"
"Chirurgie","abietineous"
"Choix","abietinic"
"Cholesterin","abietite"
"Chômage","Abiezer"
"chop","Abigael"
"Chrëschtdag","Abigail"
"Chrëschtentum","abigails"
"chrëschtlech","abigailship"
"chronesch","Abigale"
"Chronik","abigeat"
"Circuit","abigei"
"clever","abigeus"
"Client","Abihu"
"clip","abying"
"club","Abijah"
"Code","Abyla"
"Colonel","abilao"
"Comité","Abilene"
"commerce","abiliment"
"Communautéit","Abilyne"
"Comptabilitéit","abilitable"
"Computer","ability"
"Concert","abilities"
"Conclusioun","ability's"
"Concours","abilla"
"confirméieren","abilo"
"Confort","abime"
"Conseil","Abimelech"
"conseiller","Abineri"
"Conservatioun","Abingdon"
"Container","Abinger"
"Contributeur","Abington"
"cool","Abinoam"
"cop","Abinoem"
"Copyright","abintestate"
"Corporate","abiogeneses"
"corporation","abiogenesis"
"Corps","abiogenesist"
"couch","abiogenetic"
"counter","abiogenetical"
"Coupe","abiogenetically"
"Courage","abiogeny"
"Course","abiogenist"
"cowboy","abiogenous"
"Crash","abiology"
"Creek","abiological"
"Crème","abiologically"
"crew","abioses"
"Critèren","abiosis"
"crop","abiotic"
"Cruise","abiotical"
"Daach","abiotically"
"dacks","abiotrophy"
"daddy","abiotrophic"
"Dag","Abipon"
"däischter","Abiquiu"
"Däischtert","abir"
"Däitsch","abirritant"
"Däiwel","abirritate"
"Dall","abirritated"
"Damp","abirritating"
"dankbar","abirritation"
"dann","abirritative"
"danz","abys"
"danzen","Abisag"
"Dänzer","Abisha"
"dat","Abishag"
"Datebank","Abisia"
"daten","abysm"
"Daumen","abysmal"
"dausend","abysmally"
"d'doséieren","abysms"
"deal","Abyss"
"debattéieren","abyssa"
"debut","abyssal"
"dech","abysses"
"deck","Abyssinia"
"décke","Abyssinian"
"decken","abyssinians"
"decouragéieren","abyssobenthonic"
"deeg","abyssolith"
"deeglech","abyssopelagic"
"deel","abyss's"
"deelen","abyssus"
"deelweis","abiston"
"deem","abit"
"deet","Abitibi"
"Default","Abiu"
"defensiv","abiuret"
"definéieren","Abixah"
"Definitioun","abject"
"definitiv","abjectedness"
"Defizit","abjection"
"déi","abjections"
"déidlech","abjective"
"deier","abjectly"
"Déier","abjectness"
"déif","abjectnesses"
"Déif","abjoint"
"déifgräifend","abjudge"
"Déifstall","abjudged"
"Déift","abjudging"
"Deklaratioun","abjudicate"
"delikat","abjudicated"
"Demande","abjudicating"
"demissionéieren","abjudication"
"demographesch","abjudicator"
"demokratesch","abjugate"
"Demokratie","abjunct"
"demon","abjunction"
"demonstréieren","abjunctive"
"den","abjuration"
"déngen","abjurations"
"denken","abjuratory"
"dënn","abjure"
"Dënschdeg","abjured"
"Départ","abjurement"
"Departement","abjurer"
"Depot","abjurers"
"Depressioun","abjures"
"depriméiert","abjuring"
"dës","abkar"
"Dësch","abkari"
"Design","abkary"
"Designer","Abkhas"
"Dessert","Abkhasia"
"dëst","Abkhasian"
"Destinatioun","Abkhaz"
"Detail","Abkhazia"
"detailléiert","Abkhazian"
"Detektiv","abl"
"Determinatioun","abl."
"Dezember","ablach"
"Diabetis","ablactate"
"Diagnos","ablactated"
"diagnostizéieren","ablactating"
"diagramm","ablactation"
"Dialog","ablaqueate"
"diamant","ablare"
"diät","A-blast"
"Dicht","ablastemic"
"Dier","ablastin"
"digital","ablastous"
"Dignitéit","ablate"
"Dimensioun","ablated"
"diplomatesch","ablates"
"direkt","ablating"
"Direkter","ablation"
"Discours","ablations"
"Diskriminatioun","ablatitious"
"Diskussioun","ablatival"
"diskutéieren","ablative"
"Disponibilitéit","ablatively"
"Distanz","ablatives"
"Disziplin","ablator"
"divers","ablaut"
"Diversitéit","ablauts"
"Divisioun","ablaze"
"dna","able"
"do","able-bodied"
"dobäi","able-bodiedness"
"dobäizemaachen","ableeze"
"doc","ablegate"
"dofir","ablegates"
"dogéint","ablegation"
"doheem","able-minded"
"Dokter","able-mindedness"
"Doktrin","ablend"
"Dokument","ableness"
"Dokumentarfilm","ablepharia"
"Dollar","ablepharon"
"Domain","ablepharous"
"domatter","Ablepharus"
"dominant","ablepsy"
"dominéieren","ablepsia"
"domm","ableptical"
"Don","ableptically"
"Donneschdeg","abler"
"dorënner","ables"
"Dosen","ablesse"
"dossier","ablest"
"Doud","ablet"
"dout","ablewhackets"
"draach","ably"
"dräi","ablings"
"drain","ablins"
"drama","ablock"
"dramatesch","abloom"
"drängen","ablow"
"dréchen","ABLS"
"Dreck","ablude"
"dreckeg","abluent"
"drécken","abluents"
"dréckt","ablush"
"dreemen","ablute"
"dreift","abluted"
"dréinen","ablution"
"drénken","ablutionary"
"drënner","ablutions"
"drësseg","abluvion"
"drëtten","ABM"
"Drock","abmho"
"droen","abmhos"
"Drogen","abmodality"
"Drohung","abmodalities"
"drop","abn"
"Drot","Abnaki"
"du","Abnakis"
"dude","abnegate"
"duebel","abnegated"
"Duechter","abnegates"
"duerch","abnegating"
"Duercherneen","abnegation"
"Duerchféierung","abnegations"
"Duerchmusterung","abnegative"
"duerchschnëttlech","abnegator"
"duerchzesetzen","abnegators"
"Duerf","Abner"
"duerno","abnerval"
"dugend","abnet"
"dump","abneural"
"duschen","abnormal"
"dynamesch","abnormalcy"
"Dynamik","abnormalcies"
"Eagle","abnormalise"
"ech","abnormalised"
"Echantillon","abnormalising"
"Echec","abnormalism"
"echo","abnormalist"
"echt","abnormality"
"Eck","abnormalities"
"Economist","abnormalize"
"Écran","abnormalized"
"Editioun","abnormalizing"
"educéieren","abnormally"
"Eegekapital","abnormalness"
"eegen","abnormals"
"eelef","abnormity"
"Eelefmeter","abnormities"
"eeler","abnormous"
"Eemer","abnumerable"
"eemol","Abo"
"eemolegen","aboard"
"een","aboardage"
"Eenheet","Abobra"
"eenheetlech","abococket"
"eent","abodah"
"eenzegaarteg","abode"
"eenzel","aboded"
"Eenzelhandel","abodement"
"eescht","abodes"
"Effekt","abode's"
"effektiv","abody"
"ëffentlech","aboding"
"Efficacitéit","abogado"
"effikass","abogados"
"Effizienz","abohm"
"Efforten","abohms"
"egal","aboideau"
"ehc","aboideaus"
"Ehepartner","aboideaux"
"ei","aboil"
"eich","aboiteau"
"eidel","aboiteaus"
"Éier","aboiteaux"
"éierlech","abolete"
"eigentlech","abolish"
"einfach","abolishable"
"einsam","abolished"
"eis","abolisher"
"Eis","abolishers"
"éischten","abolishes"
"éischter","abolishing"
"Eisebunn","abolishment"
"Eisen","abolishments"
"éiwegt","abolishment's"
"elefant","abolition"
"elegant","abolitionary"
"elektresch","abolitionise"
"elektronesch","abolitionised"
"element","abolitionising"
"elementar","abolitionism"
"eleng","abolitionist"
"eliminéieren","abolitionists"
"elite","abolitionize"
"ellen","abolitionized"
"elo","abolitionizing"
"Elterendeel","abolitions"
"e-mail","abolla"
"Email","abollae"
"ëmbréngen","aboma"
"ëmfaassen","abomas"
"Ëmfang","abomasa"
"Ëmfro","abomasal"
"ëmgedréint","abomasi"
"Emgéigend","abomasum"
"ëmginn","abomasus"
"Emissioun","abomasusi"
"ëmklammen","A-bomb"
"Ëmlafbunn","abominability"
"ëmmer","abominable"
"emotional","abominableness"
"Emotiounen","abominably"
"Empfang","abominate"
"Empfänger","abominated"
"Empfindlechkeet","abominates"
"Employé","abominating"
"ëmsetzen","abomination"
"Ëmsetzung","abominations"
"Ëmstänn","abominator"
"Ëmwelt","abominators"
"ëmweltfrëndlech","abomine"
"encouragéieren","abondance"
"endlech","Abongo"
"endlos","abonne"
"Energie","abonnement"
"engagéieren","aboon"
"Engagement","aborad"
"engel","aboral"
"Englesch","aborally"
"enk","abord"
"Enn","Aboriginal"
"ënnen","aboriginality"
"ënnendrënner","aboriginally"
"ënner","aboriginals"
"ënnerbrach","aboriginary"
"Ënnerdaach","Aborigine"
"Ënnergang","aborigines"
"ënnergruewen","aborigine's"
"ënnerhalen","Abor-miri"
"Ënnerhalt","Aborn"
"Ënnerhalung","aborning"
"ënnerhuelen","a-borning"
"ënnerleien","aborsement"
"ënnerscheed","aborsive"
"Ënnerscheed","abort"
"ënnerscheeden","aborted"
"Ënnerschrëft","aborter"
"ënnersichen","aborters"
"ënnersicht","aborticide"
"ënnerstëtzen","abortient"
"ënnersträichen","abortifacient"
"ënnert","abortin"
"ënnerzegoen","aborting"
"ënneschten","abortion"
"enorm","abortional"
"Enquête","abortionist"
"Enquêteur","abortionists"
"Enseignant","abortions"
"ent","abortion's"
"entdecken","abortive"
"Entdeckung","abortively"
"enthalen","abortiveness"
"Entitéit","abortogenic"
"entlaaschten","aborts"
"entloossen","abortus"
"Entrée","abortuses"
"Entrepreneur","abos"
"Entreprise","abote"
"entscheeden","Abott"
"entscheedend","abouchement"
"Entscheedung","aboudikro"
"entschëllegen","abought"
"entschëllegt","Aboukir"
"entstanen","aboulia"
"entstinn","aboulias"
"enttäuscht","aboulic"
"Enttäuschung","abound"
"entwéckelen","abounded"
"Entwéckler","abounder"
"Entwécklung","abounding"
"Entwécklungslänner","aboundingly"
"entweder","abounds"
"entworf","Abourezk"
"Enveloppe","about"
"Epicerie","about-face"
"Episod","about-faced"
"eppes","about-facing"
"Equatioun","abouts"
"Equipe","about-ship"
"equipéieren","about-shipped"
"Equipement","about-shipping"
"eraus","about-sledge"
"erausginn","about-turn"
"erauskommen","above"
"erauszefuerderen","aboveboard"
"Erdnuss","above-board"
"erdrenken","above-cited"
"erëm","abovedeck"
"erënneren","above-found"
"Erënnerung","above-given"
"erfaassen","aboveground"
"Erfahrung","abovementioned"
"erfannen","above-mentioned"
"erfëllen","above-named"
"Erfindung","aboveproof"
"Erfolleg","above-quoted"
"erfollegräich","above-reported"
"erhalen","aboves"
"erhéicht","abovesaid"
"erhéijen","above-said"
"Erhéijung","abovestairs"
"Erhuelung","above-water"
"erkannt","above-written"
"erkennen","abow"
"erklären","abox"
"Erklärung","Abp"
"Erlaabnis","ABPC"
"erlaabt","Abqaiq"
"erlaben","abr"
"Erliefnes","abr."
"erlieft","Abra"
"erliichteren","abracadabra"
"Erliichterung","abrachia"
"Ernährung","abrachias"
"ernennen","abradable"
"ernimmen","abradant"
"erof","abradants"
"erofgoen","abrade"
"eroflueden","abraded"
"erop","abrader"
"erreechen","abraders"
"Ersatz","abrades"
"ersetzen","abrading"
"erstaunlech","Abraham"
"erwaarden","Abrahamic"
"Erwaardung","Abrahamidae"
"erwaart","Abrahamite"
"erwecht","Abrahamitic"
"erweideren","Abraham-man"
"Erwiermung","Abrahams"
"erwuessener","Abrahamsen"
"Erzéier","Abrahan"
"Erzéiungsberechtegten","abray"
"esou","abraid"
"Essay","Abram"
"Essenz","Abramis"
"Esslöffel","Abramo"
"ëstlech","Abrams"
"et","Abramson"
"etabléieren","Abran"
"Etablissement","abranchial"
"Etapp","abranchialism"
"etc","abranchian"
"ethesch","Abranchiata"
"Ethik","abranchiate"
"ethnesch","abranchious"
"europäesch","abrasax"
"Evaluatioun","abrase"
"Evangelium","abrased"
"Event","abraser"
"eventuell","abrash"
"evident","abrasing"
"Evolutioun","abrasiometer"
"ewech","abrasion"
"ewechzehuelen","abrasions"
"Examen","abrasion's"
"excellent","abrasive"
"exekutiv","abrasively"
"existéieren","abrasiveness"
"Existenz","abrasivenesses"
"exklusiv","abrasives"
"Expansioun","abrastol"
"experimentéieren","abraum"
"experimentell","abraxas"
"expert","abrazite"
"Expertise","abrazitic"
"explizit","abrazo"
"explodéieren","abrazos"
"exploitéieren","abreact"
"Exploratioun","abreacted"
"Explosioun","abreacting"
"exportéieren","abreaction"
"extensiv","abreactions"
"extern","abreacts"
"extra","abreast"
"extrahéieren","abreed"
"extrem","abrege"
"exzessiv","abreid"
"faalen","abrenounce"
"Faarf","abrenunciate"
"Fabréck","abrenunciation"
"Fabrikatioun","abreption"
"Fachhéichschoul","abret"
"Fäegkeet","abreuvoir"
"fäerdeg","abri"
"Faillite","abrico"
"fair","abricock"
"Faktor","abricot"
"Fakultéit","abridgable"
"falen","abridge"
"Fall","abridgeable"
"falsch","abridged"
"Falsch","abridgedly"
"Famill","abridgement"
"fan","abridgements"
"Fändel","abridger"
"fangen","abridgers"
"Fanger","abridges"
"fannen","abridging"
"Fantasie","abridgment"
"fantastesch","abridgments"
"Faser","abrim"
"faszinéierend","abrin"
"Faubourgen","abrine"
"faul","abris"
"fauscht","abristle"
"favoriséiert","abroach"
"Februar","abroad"
"feck","Abrocoma"
"federalen","abrocome"
"Feedback","abrogable"
"feelen","abrogate"
"Feeler","abrogated"
"Feier","abrogates"
"feieren","abrogating"
"féieren","abrogation"
"féiert","abrogations"
"Féierung","abrogative"
"Feind","abrogator"
"feindlech","abrogators"
"Féiwer","Abroma"
"Feld","Abroms"
"fëmmen","Abronia"
"fënnef","abrood"
"fënneften","abrook"
"Fënster","abrosia"
"Fernbedienung","abrosias"
"Fësch","abrotanum"
"Fëscherei","abrotin"
"fest","abrotine"
"Festival","abrupt"
"fett","abruptedly"
"Fichier","abrupter"
"fidderen","abruptest"
"Figur","abruptio"
"Fiktioun","abruption"
"fillen","abruptiones"
"film","abruptly"
"filter","abruptness"
"final","Abrus"
"finanzéieren","Abruzzi"
"Finanzéierung","ABS"
"finanziell","abs-"
"fir","Absa"
"Firma","Absalom"
"firwat","absampere"
"fit","Absaraka"
"fitness","Absaroka"
"fixen","Absarokee"
"flaach","absarokite"
"Flaam","ABSBH"
"Fläsch","abscam"
"flécken","abscess"
"Fleesch","abscessed"
"fléien","abscesses"
"fléissen","abscessing"
"flësseg","abscession"
"flexibel","abscessroot"
"Flexibilitéit","abscind"
"Fligel","abscise"
"Fliger","abscised"
"flipp","abscises"
"Floss","abscisin"
"flott","abscising"
"Fluch","abscisins"
"Fluchgesellschaft","abscision"
"flüchten","absciss"
"Flüchtling","abscissa"
"Flughafen","abscissae"
"fofzeg","abscissas"
"fofzéng","abscissa's"
"folgende","abscisse"
"folk","abscissin"
"Fondatioun","abscission"
"Fonds","abscissions"
"fonkelen","absconce"
"Fonktioun","abscond"
"fonnt","absconded"
"Footage","abscondedly"
"förderen","abscondence"
"Form","absconder"
"format","absconders"
"Formatioun","absconding"
"Formel","absconds"
"formell","absconsa"
"Forschett","abscoulomb"
"fortgeschratt","abscound"
"Fortschrëtter","Absecon"
"Forum","absee"
"fossille","absey"
"Foto","abseil"
"Fotograf","abseiled"
"Fotografie","abseiling"
"Fourniture","abseils"
"Fouss","absence"
"fräi","absences"
"Fräiheet","absence's"
"Fräisetzung","absent"
"fräiwëlleg","absentation"
"Fraktioun","absented"
"franchise","absentee"
"Franséisch","absenteeism"
"frau","absentees"
"freak","absentee's"
"Freed","absenteeship"
"fréi","absenter"
"Freideg","absenters"
"fréier","absentia"
"Fréijoer","absenting"
"Frënd","absently"
"Frëndin","absentment"
"frëndlech","absentminded"
"Frëndschaft","absent-minded"
"Frequenz","absentmindedly"
"frësch","absent-mindedly"
"freshman","absentmindedness"
"Fridden","absent-mindedness"
"friddlech","absentmindednesses"
"Friemen","absentness"
"Fro","absents"
"froen","absfarad"
"frou","abshenry"
"Frühstück","Abshier"
"Frustratioun","Absi"
"fuddelen","absinth"
"Fuedem","absinthe"
"Fuerderung","absinthes"
"fueren","absinthial"
"Fuerscher","absinthian"
"Fuerschung","absinthiate"
"fundamental","absinthiated"
