"Catalan","English"
"amenaçar","abating"
"americà","abatis"
"amfitrió","abatised"
"amic","abatises"
"amigable","abatjour"
"amistat","abatjours"
"amor","abaton"
"amorós","abator"
"ample","abators"
"àmpliament","ABATS"
"ampolla","abattage"
"amunt","abattis"
"anàlisi","abattised"
"analista","abattises"
"analitzar","abattoir"
"anar","abattoirs"
"àncora","abattu"
"Android","abattue"
"ànec","Abatua"
"anell","abature"
"àngel","abaue"
"angle","abave"
"anglès","abaxial"
"ànima","abaxile"
"animal","abaze"
"animar","abb"
"aniversari","Abba"
"anomenada","abbacy"
"anònim","abbacies"
"ansietat","abbacomes"
"ansiós","Abbadide"
"anterior","Abbai"
"antic","abbaye"
"antiga","abbandono"
"anual","abbas"
"anualment","abbasi"
"anunci","Abbasid"
"anunciar","abbassi"
"apagat","Abbassid"
"aparcament","Abbasside"
"apareixer","Abbate"
"aparença","abbatial"
"aparent","abbatical"
"aparentment","abbatie"
"apartament","Abbe"
"apassionat","Abbey"
"apel·lació","abbeys"
"aplec","abbey's"
"aplicació","abbeystead"
"aplicar","abbeystede"
"aposta","abbes"
"apreciació","abbess"
"apreciar","abbesses"
"aprendre","abbest"
"aprenent","Abbevilean"
"aprenentatge","Abbeville"
"apretar","Abbevillian"
"aprofitar","Abbi"
"apropiat","Abby"
"aprovació","Abbie"
"aprovar","Abbye"
"aproximadament","Abbyville"
"aptitud","abboccato"
"aquells","abbogada"
"aquests","Abbot"
"aquí","abbotcy"
"ara","abbotcies"
"àrab","abbotnullius"
"arbre","abbotric"
"arc","abbots"
"arena","abbot's"
"argila","Abbotsen"
"argument","Abbotsford"
"argumentar","abbotship"
"arma","abbotships"
"armari","Abbotson"
"armat","Abbotsun"
"arquitecte","Abbott"
"arquitectura","Abbottson"
"arranjament","Abbottstown"
"arranjar","Abboud"
"arreglar","abbozzo"
"arrel","ABBR"
"arrencada","abbrev"
"arrencador","abbreviatable"
"arreu","abbreviate"
"arribada","abbreviated"
"arribant","abbreviately"
"arribar","abbreviates"
"arriscat","abbreviating"
"arròs","abbreviation"
"arrossegar","abbreviations"
"art","abbreviator"
"artesania","abbreviatory"
"article","abbreviators"
"artificial","abbreviature"
"artista","abbroachment"
"artística","ABC"
"Arxiu","abcess"
"ascensor","abcissa"
"asiàtic","abcoulomb"
"aspecte","ABCs"
"aspre","abd"
"assaig","abdal"
"assalt","abdali"
"assassí","abdaria"
"assassinat","abdat"
"assegurança","Abdel"
"assegurar","Abd-el-Kadir"
"assentament","Abd-el-Krim"
"assenteix","Abdella"
"assequible","Abderhalden"
"assessorament","Abderian"
"assetjament","Abderite"
"assignar","Abderus"
"assignatura","abdest"
"assistència","Abdias"
"assistent","abdicable"
"assistir","abdicant"
"associació","abdicate"
"Associació","abdicated"
"associat","abdicates"
"associats","abdicating"
"assolellat","abdication"
"assoliment","abdications"
"assumir","abdicative"
"assumpte","abdicator"
"astrònom","Abdiel"
"atac","abditive"
"atenció","abditory"
"aterratge","abdom"
"atleta","abdomen"
"atlètic","abdomens"
"atmosfera","abdomen's"
"atracció","abdomina"
"atractiu","abdominal"
"atreure","Abdominales"
"atrevir-se","abdominalia"
"atribut","abdominalian"
"atur","abdominally"
"Atura","abdominals"
"aturar","abdominoanterior"
"audició","abdominocardiac"
"augmentant","abdominocentesis"
"augmentar","abdominocystic"
"augmentat","abdominogenital"
"aula","abdominohysterectomy"
"autobús","abdominohysterotomy"
"autòcton","abdominoposterior"
"automàtic","abdominoscope"
"automàticament","abdominoscopy"
"autor","abdominothoracic"
"autoritat","abdominous"
"autoritzar","abdomino-uterotomy"
"avalar","abdominovaginal"
"avaluació","abdominovesical"
"avaluar","Abdon"
"avançar","Abdu"
"avançat","abduce"
"avantatge","abduced"
"avantpassat","abducens"
"aventura","abducent"
"aventurar","abducentes"
"avergonyit","abduces"
"avi","abducing"
"àvia","abduct"
"aviat","abducted"
"avinguda","abducting"
"avió","abduction"
"avions","abductions"
"avís","abduction's"
"avisar","abductor"
"avorrit","abductores"
"avui","abductors"
"bacteris","abductor's"
"badia","abducts"
"baix","Abdul"
"baixar","Abdul-Aziz"
"bala","Abdul-baha"
"balena","Abdulla"
"ballant","Abe"
"ballarina","a-be"
"banc","abeam"
"bancària","abear"
"banda","abearance"
"bandera","Abebi"
"banquer","abecedaire"
"bany","abecedary"
"banya","abecedaria"
"bar","abecedarian"
"barat","abecedarians"
"barbeta","abecedaries"
"barreja","abecedarium"
"barrejar","abecedarius"
"barrejat","abed"
"barrera","abede"
"barret","abedge"
"barri","Abednego"
"barril","abegge"
"base","Abey"
"bàsic","abeyance"
"bàsicament","abeyances"
"bàsquet","abeyancy"
"bastant","abeyancies"
"bastard","abeyant"
"batalla","abeigh"
"batre","ABEL"
"bé","Abelard"
"beca","abele"
"beisbol","abeles"
"bellesa","Abelia"
"benedicció","Abelian"
"benefici","Abelicea"
"beneficiós","Abelite"
"beneir","Abell"
"benestar","Abelmoschus"
"Benvingut","abelmosk"
"bessó","abelmosks"
"bèstia","abelmusk"
"beure","Abelonian"
"bevent","Abelson"
"bíblia","abeltree"
"biblioteca","Abencerrages"
"bicicleta","abend"
"biga","abends"
"bilió","Abenezra"
"biologia","abenteric"
"biològic","Abeokuta"
"bisbe","abepithymia"
"bistec","ABEPP"
"bit","Abercromby"
"bitllet","Abercrombie"
"blanc","Aberdare"
"blat","aberdavine"
"blau","Aberdeen"
"bloc","Aberdeenshire"
"bo","aberdevine"
"boca","Aberdonian"
"boig","aberduvine"
"bol","Aberfan"
"bolígraf","Aberglaube"
"bomba","Aberia"
"bombardeig","Aberystwyth"
"bombolla","Abernant"
"bondat","Abernathy"
"bonic","abernethy"
"bonificació","Abernon"
"boom","aberr"
"boquejar","aberrance"
"borratxo","aberrancy"
"bosc","aberrancies"
"bossa","aberrant"
"botiga","aberrantly"
"botó","aberrants"
"braç","aberrate"
"branca","aberrated"
"Brea","aberrating"
"breu","aberration"
"breument","aberrational"
"brillant","aberrations"
"brillar","aberrative"
"brisa","aberrator"
"britànic","aberrometer"
"broma","aberroscope"
"bruixa","Abert"
"brut","aberuncate"
"brutal","aberuncator"
"brutícia","abesse"
"bucle","abessive"
"budell","abet"
"bufetada","abetment"
"bugaderia","abetments"
"buit","abets"
"bullir","abettal"
"buscar","abettals"
"butxaca","abetted"
"ca","abetter"
"cabell","abetters"
"cabina","abetting"
"cable","abettor"
"cabra","abettors"
"caçador","Abeu"
"caçar","abevacuation"
"cacauet","abfarad"
"cacera","abfarads"
"cada","ABFM"
"cadascun","Abgatha"
"cadena","ABHC"
"cadira","abhenry"
"cafè","abhenries"
"Caixa","abhenrys"
"calaix","abhinaya"
"càlcul","abhiseka"
"calcular","abhominable"
"calendari","abhor"
"calent","abhorred"
"càlid","abhorrence"
"calma","abhorrences"
"calor","abhorrency"
"caloria","abhorrent"
"cama","abhorrently"
"cambra","abhorrer"
"càmera","abhorrers"
"Camí","abhorrible"
"caminant","abhorring"
"caminar","abhors"
"camió","Abhorson"
"camisa","ABI"
"camp","aby"
"campament","Abia"
"campanya","Abiathar"
"campió","Abib"
"campionat","abichite"
"campus","abidal"
"canadenc","abidance"
"canal","abidances"
"càncer","abidden"
"cançó","abide"
"candidat","abided"
"canell","abider"
"canonada","abiders"
"cansat","abides"
"cantant","abidi"
"cantar","abiding"
"càntir","abidingly"
"cantonada","abidingness"
"canvi","Abidjan"
"canviant","Abydos"
"cap","Abie"
"capa","abye"
"capaç","abied"
"capacitat","abyed"
"capità","abiegh"
"capital","abience"
"capitalisme","abient"
"capítol","Abies"
"captura","abyes"
"car","abietate"
"cara","abietene"
"característica","abietic"
"caracteritzar","abietin"
"caramels","Abietineae"
"carbó","abietineous"
"carboni","abietinic"
"carena","abietite"
"cargol","Abiezer"
"caritat","Abigael"
"carn","Abigail"
"càrrega","abigails"
"carregar","abigailship"
"carrer","Abigale"
"carrera","abigeat"
"carreró","abigei"
"carretera","abigeus"
"carril","Abihu"
"carro","abying"
"carta","Abijah"
"cartell","Abyla"
"cartera","abilao"
"casa","Abilene"
"casament","abiliment"
"casar-se","Abilyne"
"casat","abilitable"
"casc","ability"
"casino","abilities"
"castell","ability's"
"càstig","abilla"
"castigar","abilo"
"casual","abime"
"categoria","Abimelech"
"catifa","Abineri"
"catòlica","Abingdon"
"caure","Abinger"
"causa","Abington"
"cavall","Abinoam"
"cavar","Abinoem"
"cd","abintestate"
"ceba","abiogeneses"
"cec","abiogenesis"
"cel","abiogenesist"
"cel·la","abiogenetic"
"celebració","abiogenetical"
"celebrar","abiogenetically"
"celebritat","abiogeny"
"cella","abiogenist"
"cendra","abiogenous"
"cens","abiology"
"cent","abiological"
"central","abiologically"
"centre","abioses"
"CEO","abiosis"
"cep","abiotic"
"cerca","abiotical"
"cercavila","abiotically"
"cercle","abiotrophy"
"cerimònia","abiotrophic"
"cert","Abipon"
"certificat","Abiquiu"
"cervell","abir"
"cervesa","abirritant"
"cérvol","abirritate"
"cessar","abirritated"
"Chaos","abirritating"
"cicle","abirritation"
"ciència","abirritative"
"científic","abys"
"cigarret","Abisag"
"cim","Abisha"
"cinc","Abishag"
"cinquanta","Abisia"
"cinquè","abysm"
"cinta","abysmal"
"cinturó","abysmally"
"circuit","abysms"
"circumstància","Abyss"
"cirurgia","abyssa"
"cirurgià","abyssal"
"cistella","abysses"
"cita","Abyssinia"
"citar","Abyssinian"
"ciutadà","abyssinians"
"ciutadania","abyssobenthonic"
"ciutat","abyssolith"
"cívic","abyssopelagic"
"civil","abyss's"
"civilització","abyssus"
"clar","abiston"
"clarament","abit"
"classe","Abitibi"
"clàssic","Abiu"
"clàssica","abiuret"
"classificació","Abixah"
"classificar","abject"
"clau","abjectedness"
"clàusula","abjection"
"client","abjections"
"clima","abjective"
"clínica","abjectly"
"clip","abjectness"
"closca","abjectnesses"
"club","abjoint"
"clúster","abjudge"
"coalició","abjudged"
"coberta","abjudging"
"cobertura","abjudicate"
"codi","abjudicated"
"coet","abjudicating"
"cognitiu","abjudication"
"coixí","abjudicator"
"coixinet","abjugate"
"col·laboració","abjunct"
"col·laborador","abjunction"
"col·lapse","abjunctive"
"col·leccionista","abjuration"
"col·lectiu","abjurations"
"col·lega","abjuratory"
"col·locació","abjure"
"colar","abjured"
"colesterol","abjurement"
"coll","abjurer"
"colla","abjurers"
"colònia","abjures"
"colonial","abjuring"
"color","abkar"
"colpejar","abkari"
"columna","abkary"
"columnista","Abkhas"
"colze","Abkhasia"
"com","Abkhasian"
"comandament","Abkhaz"
"comandant","Abkhazia"
"combat","Abkhazian"
"combinació","abl"
"combinar","abl."
"combinats","ablach"
"combustible","ablactate"
"comèdia","ablactated"
"començament","ablactating"
"començant","ablactation"
"començar","ablaqueate"
"comentar","ablare"
"comentari","A-blast"
"comentaris","ablastemic"
"comerç","ablastin"
"comercial","ablastous"
"comerciant","ablate"
"còmic","ablated"
"comissari","ablates"
"comissió","ablating"
"comitè","ablation"
"còmode","ablations"
"comoditat","ablatitious"
"company","ablatival"
"comparació","ablative"
"comparar","ablatively"
"Compartir","ablatives"
"compartit","ablator"
"compassió","ablaut"
"compensació","ablauts"
"competició","ablaze"
"competidor","able"
"competir","able-bodied"
"competitiu","able-bodiedness"
"completa","ableeze"
"completament","ablegate"
"complex","ablegates"
"complexitat","ablegation"
"complicat","able-minded"
"compliment","able-mindedness"
"complir","ablend"
"compondre","ableness"
"component","ablepharia"
"comportament","ablepharon"
"comportar-se","ablepharous"
"composició","Ablepharus"
"compost","ablepsy"
"compra","ablepsia"
"comprador","ableptical"
"comprar","ableptically"
"comprèn","abler"
"comprensió","ables"
"compres","ablesse"
"comprometre's","ablest"
"compromís","ablet"
"comprovar","ablewhackets"
"comptabilitat","ably"
"comptador","ablings"
"comptar","ablins"
"compte","ablock"
"comtat","abloom"
"comú","ablow"
"comunament","ABLS"
"comunicació","ablude"
"comunicar-se","abluent"
"comunista","abluents"
"comunitat","ablush"
"concebre","ablute"
"concentració","abluted"
"concentrar","ablution"
"concepció","ablutionary"
"concepte","ablutions"
"concert","abluvion"
"concloure","ABM"
"conclusió","abmho"
"concretament","abmhos"
"concurs","abmodality"
"condemnar","abmodalities"
"condemnat","abn"
"condició","Abnaki"
"conducta","Abnakis"
"conductor","abnegate"
"conductuals","abnegated"
"conduir","abnegates"
"conegut","abnegating"
"coneixement","abnegation"
"conferència","abnegations"
"Conferència","abnegative"
"confessar","abnegator"
"confiança","abnegators"
"confiar","Abner"
"confiat","abnerval"
"configuració","abnet"
"confirmar","abneural"
"conflicte","abnormal"
"confondre","abnormalcy"
"confusió","abnormalcies"
"congelar","abnormalise"
"congelat","abnormalised"
"congrés","abnormalising"
"congressista","abnormalism"
"congressual","abnormalist"
"conill","abnormality"
"cònjuge","abnormalities"
"conjunt","abnormalize"
"conjurar","abnormalized"
"connectar","abnormalizing"
"connexió","abnormally"
"consciència","abnormalness"
"conscient","abnormals"
"consecutives","abnormity"
"consell","abnormities"
"Consell","abnormous"
"conseller","abnumerable"
"consens","Abo"
"consentiment","aboard"
"conseqüència","aboardage"
"conseqüentment","Abobra"
"conservació","abococket"
"conservador","abodah"
"considerable","abode"
"consideració","aboded"
"considerar","abodement"
"consistent","abodes"
"consistir","abode's"
"conspiració","abody"
"constant","aboding"
"constantment","abogado"
"constitució","abogados"
"constitucional","abohm"
"constituir","abohms"
"construcció","aboideau"
"construir","aboideaus"
"consultar","aboideaux"
"consultor","aboil"
"consum","aboiteau"
"consumidor","aboiteaus"
"consumir","aboiteaux"
"contacte","abolete"
"conte","abolish"
"contemporani","abolishable"
"contenidor","abolished"
"contenir","abolisher"
"content","abolishers"
"context","abolishes"
"continent","abolishing"
"contingut","abolishment"
"contínua","abolishments"
"continuant","abolishment's"
"continuar","abolition"
"contra","abolitionary"
"contractar","abolitionise"
"contracte","abolitionised"
"contractista","abolitionising"
"contrapartida","abolitionism"
"contrari","abolitionist"
"contrast","abolitionists"
"contribució","abolitionize"
"contribuent","abolitionized"
"contribuir","abolitionizing"
"control","abolitions"
"convèncer","abolla"
"Convenció","abollae"
"convencional","aboma"
"convençut","abomas"
"conversa","abomasa"
"conversió","abomasal"
"convertir","abomasi"
"convicció","abomasum"
"convidar","abomasus"
"convidat","abomasusi"
"convincent","A-bomb"
"cooperació","abominability"
"cooperar","abominable"
"coordinador","abominableness"
"cop","abominably"
"còpia","abominate"
"copyright","abominated"
"cor","abominates"
"coratge","abominating"
"corba","abomination"
"corbata","abominations"
"corda","abominator"
"cordó","abominators"
"coreà","abomine"
"corona","abondance"
"coronel","Abongo"
"corporació","abonne"
"corporatiu","abonnement"
"correcció","aboon"
"correctament","aborad"
"correcte","aboral"
"corredor","aborally"
"correlació","abord"
"corrent","Aboriginal"
"correr","aboriginality"
"corresponsal","aboriginally"
"correu","aboriginals"
"corrupció","aboriginary"
"corruptes","Aborigine"
"cort","aborigines"
"cortesia","aborigine's"
"cortina","Abor-miri"
"cos","Aborn"
"cosa","aborning"
"coses","a-borning"
"cosí","aborsement"
"cost","aborsive"
"Costa","abort"
"costaners","aborted"
"costat","aborter"
"costerut","aborters"
"costum","aborticide"
"cotó","abortient"
"cotxe","abortifacient"
"cova","abortin"
"crack","aborting"
"crani","abortion"
"creació","abortional"
"creador","abortionist"
"crear","abortionists"
"creatiu","abortions"
"creativitat","abortion's"
"credibilitat","abortive"
"crèdit","abortively"
"creença","abortiveness"
"creient","abortogenic"
"creixement","aborts"
"creixent","abortus"
"créixer","abortuses"
"crema","abos"
"cremant","abote"
"cremar","Abott"
"creu","abouchement"
"creuer","aboudikro"
"creure","abought"
"criatura","Aboukir"
"cridar","aboulia"
"crim","aboulias"
"criminal","aboulic"
"crisi","abound"
"cristall","abounded"
"cristià","abounder"
"cristianisme","abounding"
"criteris","aboundingly"
"crític","abounds"
"crítica","Abourezk"
"criticar","about"
"crònica","about-face"
"crua","about-faced"
"crucial","about-facing"
"cruel","abouts"
"cua","about-ship"
"cubell","about-shipped"
"cuina","about-shipping"
"cuinar","about-sledge"
"cuir","about-turn"
"cuixa","above"
"cul","aboveboard"
"cullerada","above-board"
"culleradeta","above-cited"
"culpa","abovedeck"
"culpabilitat","above-found"
"culpable","above-given"
"cultiu","aboveground"
"cultura","abovementioned"
"cultural","above-mentioned"
"cura","above-named"
"curar","aboveproof"
"curiós","above-quoted"
"curiositat","above-reported"
"currículum","aboves"
"curs","abovesaid"
"curt","above-said"
"custòdia","abovestairs"
"D'acord","above-water"
"dades","above-written"
"dansa","abow"
"dany","abox"
"darrer","Abp"
"darrerament","ABPC"
"darrere","Abqaiq"
"data","abr"
"daurat","abr."
"davant","Abra"
"de","abracadabra"
"deambular","abrachia"
"debat","abrachias"
"debilitat","abradable"
"debut","abradant"
"dècada","abradants"
"decebut","abrade"
"decent","abraded"
"decepció","abrader"
"decidir","abraders"
"decisió","abrades"
"declaració","abrading"
"declarar","Abraham"
"declivi","Abrahamic"
"dedicar","Abrahamidae"
"defecte","Abrahamite"
"defensa","Abrahamitic"
"defensar","Abraham-man"
"defensiu","Abrahams"
"defensor","Abrahamsen"
"dèficit","Abrahan"
"definició","abray"
"definir","abraid"
"definitiva","Abram"
"definitivament","Abramis"
"degut","Abramo"
"deixar","Abrams"
"deliberadament","Abramson"
"delicat","Abran"
"deliciós","abranchial"
"delinqüent","abranchialism"
"demà","abranchian"
"demanda","Abranchiata"
"demandar","abranchiate"
"democràcia","abranchious"
"demòcrata","abrasax"
"democràtic","abrase"
"demogràfics","abrased"
"demostració","abraser"
"demostrar","abrash"
"dempeus","abrasing"
"densitat","abrasiometer"
"dent","abrasion"
"departament","abrasions"
"dependent","abrasion's"
"depenen","abrasive"
"depenent","abrasively"
"depredador","abrasiveness"
"depressió","abrasivenesses"
"deprimit","abrasives"
"deriva","abrastol"
"derivar","abraum"
"derrota","abraxas"
"desafiament","abrazite"
"desafiant","abrazitic"
"desagradable","abrazo"
"desanimar","abrazos"
"desaparegut","abreact"
"desaparèixer","abreacted"
"desastre","abreacting"
"descans","abreaction"
"descarregar","abreactions"
"descobriment","abreacts"
"descobrir","abreast"
"descompte","abreed"
"desconegut","abrege"
"descripció","abreid"
"descriure","abrenounce"
"desembre","abrenunciate"
"desenvolupador","abrenunciation"
"desenvolupament","abreption"
"desenvolupar","abret"
"desert","abreuvoir"
"desesperada","abri"
"desesperadament","abrico"
"desgast","abricock"
"desguàs","abricot"
"desig","abridgable"
"desitjar","abridge"
"desordre","abridgeable"
"despert","abridged"
"despertar","abridgedly"
"despesa","abridgement"
"desplegar","abridgements"
"després","abridger"
"destacat","abridgers"
"destapar","abridges"
"destí","abridging"
"destinació","abridgment"
"destinatari","abridgments"
"destrucció","abrim"
"destruir","abrin"
"detall","abrine"
"detallat","abris"
"detectar","abristle"
"detectiu","abroach"
"determinació","abroad"
"determinar","Abrocoma"
"deu","abrocome"
"Déu","abrogable"
"deure","abrogate"
"deures","abrogated"
"deute","abrogates"
"d'hora","abrogating"
"dia","abrogation"
"diabetis","abrogations"
"diable","abrogative"
"diagnòstic","abrogator"
"diagnosticar","abrogators"
"diàleg","Abroma"
"diamant","Abroms"
"diari","Abronia"
"diàriament","abrood"
"dibuix","abrook"
"dieta","abrosia"
"difereixen","abrosias"
"diferència","abrotanum"
"diferent","abrotin"
"diferents","abrotine"
"difícil","abrupt"
"dificultat","abruptedly"
"digital","abrupter"
"digne","abruptest"
"dignitat","abruptio"
"dijous","abruption"
"dilluns","abruptiones"
"dimarts","abruptly"
"dimecres","abruptness"
"dimensió","Abrus"
"dimitir","Abruzzi"
"dimoni","ABS"
"dinàmic","abs-"
"dinàmiques","Absa"
"dinar","Absalom"
"diners","absampere"
"dins","Absaraka"
"diplomàtic","Absaroka"
"dipòsit","Absarokee"
"diputat","absarokite"
"dir","ABSBH"
"direcció","abscam"
"directament","abscess"
"directe","abscessed"
"director","abscesses"
"dirigir","abscessing"
"disc","abscession"
"discapacitat","abscessroot"
"disciplina","abscind"
"discrepar","abscise"
"discriminació","abscised"
"disculpar-se","abscises"
"disculpes","abscisin"
"discurs","abscising"
"discussió","abscisins"
"discutir","abscision"
"disminuir","absciss"
"disparador","abscissa"
"disparant","abscissae"
"disparar","abscissas"
"dispersió","abscissa's"
"disponibilitat","abscisse"
"disponible","abscissin"
"disposat","abscission"
"disposició","abscissions"
"dispositiu","absconce"
"disputa","abscond"
"dissabte","absconded"
"disseny","abscondedly"
"dissenyador","abscondence"
"distància","absconder"
"distinció","absconders"
"distingir","absconding"
"distintes","absconds"
"distreure","absconsa"
"distribució","abscoulomb"
"distribuïdor","abscound"
"districte","Absecon"
"disturbis","absee"
"dit","absey"
"diumenge","abseil"
"divendres","abseiled"
"diversa","abseiling"
"diversió","abseils"
"diversitat","absence"
"diversos","absences"
"divertit","absence's"
"dividir","absent"
"divina","absentation"
"divisió","absented"
"divorci","absentee"
"divulgació","absenteeism"
"doble","absentees"
"doblegar","absentee's"
"doc","absenteeship"
"doctrina","absenter"
"document","absenters"
"documental","absentia"
"dol","absenting"
"dòlar","absently"
"dolça","absentment"
"dolent","absentminded"
"dolor","absent-minded"
"dolorós","absentmindedly"
"domèstic","absent-mindedly"
"dominant","absentmindedness"
"dominar","absent-mindedness"
"domini","absentmindednesses"
"dona","absentness"
"donació","absents"
"donant","absfarad"
"donar","abshenry"
"donat","Abshier"
"dormir","Absi"
"dormitori","absinth"
"dos","absinthe"
"dosi","absinthes"
"dossier","absinthial"
"dotat","absinthian"
"dotze","absinthiate"
"dotzena","absinthiated"
"drac","absinthiating"
"drama","absinthic"
"dramàtica","absinthiin"
"dramàticament","absinthin"
"dret","absinthine"
"droga","absinthism"
"dubtar","absinthismic"
"dubte","absinthium"
"dur","absinthol"
"durant","absinthole"
"dutxa","absinths"
"eco","Absyrtus"
"economia","absis"
"econòmica","absist"
"economista","absistos"
"ecosistema","absit"
"edat","absmho"
"edició","absohm"
"edifici","absoil"
"editar","absolent"
"editor","Absolute"
"educació","absolutely"
"educador","absoluteness"
"educar","absoluter"
"educativa","absolutes"
"efecte","absolutest"
"efectiu","absolution"
"efectivitat","absolutions"
"eficaçment","absolutism"
"eficiència","absolutist"
"eficient","absolutista"
"ego","absolutistic"
"eh","absolutistically"
"eina","absolutists"
"el","absolutive"
"elecció","absolutization"
"electoral","absolutize"
"elèctrica","absolutory"
"electricitat","absolvable"
"electrònica","absolvatory"
"elefant","absolve"
"elegant","absolved"
"elegible","absolvent"
"elegit","absolver"
"element","absolvers"
"elemental","absolves"
"eliminació","absolving"
"eliminar","absolvitor"
"eliminatòria","absolvitory"
"elit","absonant"
"ell","absonous"
"ella","absorb"
"ells","absorbability"
"elogis","absorbable"
"embaràs","absorbance"
"embarassada","absorbancy"
"embolic","absorbant"
"embolicar","absorbed"
"emergència","absorbedly"
"emergents","absorbedness"
"èmfasi","absorbefacient"
"emfatitzar","absorbency"
"emissió","absorbencies"
"emmagatzematge","absorbent"
"emoció","absorbents"
"emocional","absorber"
"emocionalment","absorbers"
"emocionant","absorbing"
"emocionar","absorbingly"
"emocionat","absorbition"
"empassar","absorbs"
"empènyer","absorbtion"
"emperador","absorpt"
"empleat","absorptance"
"emprar","absorptiometer"
"emprendre","absorptiometric"
"empresa","absorption"
"empresari","absorptional"
"en","absorptions"
"encaixar","absorption's"
"encant","absorptive"
"encantador","absorptively"
"encara","absorptiveness"
"encàrrec","absorptivity"
"encongir","absquatulate"
"encoratjador","absquatulation"
"endavant","abstain"
"endevina","abstained"
"enemic","abstainer"
"energia","abstainers"
"enfadat","abstaining"
"enfocament","abstainment"
"enfornar","abstains"
"enfortir","abstemious"
"enfrontar-se","abstemiously"
"enganyar","abstemiousness"
"enginyer","abstention"
"enginyeria","abstentionism"
"engranatge","abstentionist"
"enllaç","abstentions"
"enlloc","abstentious"
"enmig","absterge"
"enorme","absterged"
"enquesta","abstergent"
"enquestat","absterges"
"ensenyament","absterging"
"ensenyar","absterse"
"ensopegar","abstersion"
"entendre","abstersive"
"enterrar","abstersiveness"
"entitat","abstertion"
"entrada","abstinence"
"entrar","abstinences"
"entre","abstinency"
