"Xhosa","English"
"ecaweni","abatement"
"edandathekile","abatements"
"edge","abater"
"edolophini","abaters"
"edumileyo","abates"
"efanayo","abatic"
"efanelekileyo","abating"
"efunekayo","abatis"
"egameni","abatised"
"ego","abatises"
"egudileyo","abatjour"
"eh","abatjours"
"eKhanada","abaton"
"ekhaya","abator"
"ekhethekileyo","abators"
"ekhokelayo","ABATS"
"ekhoyo","abattage"
"ekhubekisayo","abattis"
"ekhuselayo","abattised"
"ekhuthazayo","abattises"
"ekrwada","abattoir"
"ekugqibeleni","abattoirs"
"ekuhlaleni","abattu"
"ekuqaleni","abattue"
"Ekuqaleni","Abatua"
"elawulayo","abature"
"elebhu","abaue"
"elektroniki","abave"
"elele","abaxial"
"elidlulileyo","abaxile"
"elula","abaze"
"elungileyo","abb"
"elunxwemeni","Abba"
"elwandle","abbacy"
"emangalisayo","abbacies"
"emantla","abbacomes"
"emaphandleni","Abbadide"
"emazantsi","Abbai"
"embi","abbaye"
"embindini","abbandono"
"emfutshane","abbas"
"emi","abbasi"
"emini","Abbasid"
"emkhosini","abbassi"
"empuma","Abbassid"
"emqolombeni","Abbasside"
"emva","Abbate"
"emxinwa","abbatial"
"enamandla","abbatical"
"encinci","abbatie"
"endilisekileyo","Abbe"
"eneenkcukacha","Abbey"
"enenkqubela","abbeys"
"enentsingiselo","abbey's"
"engabonakaliyo","abbeystead"
"engafanelekanga","abbeystede"
"engakholelekiyo","abbes"
"engalindelekanga","abbess"
"engalunganga","abbesses"
"engaqhelekanga","abbest"
"engaqhelekanga","Abbevilean"
"engaqondakaliyo","Abbeville"
"engaziwa","Abbevillian"
"engcwabeni","Abbi"
"engcwele","Abby"
"engekho","Abbie"
"engenamsebenzi","Abbye"
"engenanto","Abbyville"
"engenasiphelo","abboccato"
"engundoqo","abbogada"
"enjalo","Abbot"
"enkosi","abbotcy"
"enkulu","abbotcies"
"enobuchule","abbotnullius"
"enomtsalane","abbotric"
"enoxolo","abbots"
"entlango","abbot's"
"entle","Abbotsen"
"entolongweni","Abbotsford"
"entsha","abbotship"
"entshona","abbotships"
"entsonkothileyo","Abbotson"
"enye","Abbotsun"
"epasejini","Abbott"
"ephathekayo","Abbottson"
"ephathwayo","Abbottstown"
"ephawulekayo","Abboud"
"ephazamisayo","abbozzo"
"epheleleyo","ABBR"
"ephila","abbrev"
"ephilayo","abbreviatable"
"eqaqambileyo","abbreviate"
"eqhelekileyo","abbreviated"
"eqinile","abbreviately"
"eqinileyo","abbreviates"
"esebenzayo","abbreviating"
"eseleyo","abbreviation"
"esempilweni","abbreviations"
"esemthethweni","abbreviator"
"esetyenzisiweyo","abbreviatory"
"esibhedlele","abbreviators"
"esidlangalaleni","abbreviature"
"esifubeni","abbroachment"
"esisiseko","ABC"
"esofeni","abcess"
"esweni","abcissa"
"ethambileyo","abcoulomb"
"ethandekayo","ABCs"
"ethandwayo","abd"
"ethe-ethe","abdal"
"ethembekileyo","abdali"
"ethembisayo","abdaria"
"ethile","abdat"
"EtiMnga","Abdel"
"evelayo","Abd-el-Kadir"
"ewe","Abd-el-Krim"
"Ewe","Abdella"
"exhobile","Abderhalden"
"eyadlulayo","Abderian"
"eyahlukileyo","Abderite"
"eyakho","Abderus"
"eyamkelekileyo","abdest"
"eyaziwayo","Abdias"
"eyedwa","abdicable"
"EyeDwarha","abdicant"
"EyeKhala","abdicate"
"eyemali","abdicated"
"EyeNkanga","abdicates"
"EyeThupha","abdicating"
"eyodwa","abdication"
"Eyokuhla","abdications"
"EyoKwindla","abdicative"
"EyoMdumba","abdicator"
"EyoMqungu","Abdiel"
"EyoMsintsi","abditive"
"eyona","abditory"
"eyongezelelweyo","abdom"
"eyoyikekayo","abdomen"
"eyunivesithi","abdomens"
"ezahlukeneyo","abdomen's"
"ezayo","abdomina"
"ezehlabathi","abdominal"
"ezemali","Abdominales"
"ezemfundo","abdominalia"
"ezemidlalo","abdominalian"
"ezenkcubeko","abdominally"
"ezentlalo","abdominals"
"ezenzululwazi","abdominoanterior"
"ezi","abdominocardiac"
"ezifanayo","abdominocentesis"
"ezifihlakeleyo","abdominocystic"
"ezihlekisayo","abdominogenital"
"ezimbalwa","abdominohysterectomy"
"ezine","abdominohysterotomy"
"ezinempembelelo","abdominoposterior"
"ezingapheliyo","abdominoscope"
"ezingenakubalwa","abdominoscopy"
"ezingqongileyo","abdominothoracic"
"ezininzi","abdominous"
"ezinobundlobongela","abdomino-uterotomy"
"ezinokubakho","abdominovaginal"
"ezinxulumene","abdominovesical"
"ezinzile","Abdon"
"eziphilayo","Abdu"
"ezixabisekileyo","abduce"
"ezizenzekelayo","abduced"
"ezizimeleyo","abducens"
"ezolile","abducent"
"ezolimo","abducentes"
"ezomthetho","abduces"
"ezongezelelweyo","abducing"
"ezonyango","abduct"
"ezopolitiko","abducted"
"ezoqoqosho","abducting"
"ezulwini","abduction"
"fa","abductions"
"fade","abduction's"
"faka","abductor"
"fake","abductores"
"fancy","abductors"
"fane","abductor's"
"faneleka","abducts"
"federal","Abdul"
"fezekisa","Abdul-Aziz"
"fihla","Abdul-baha"
"fika","Abdulla"
"flash","Abe"
"flat","a-be"
"flip","abeam"
"fumana","abear"
"funa","abearance"
"funda","Abebi"
"fundisa","abecedaire"
"funga","abecedary"
"galela","abecedaria"
"gay","abecedarian"
"gcina","abecedarians"
"gcinayo","abecedaries"
"gcwalisa","abecedarium"
"ginya","abecedarius"
"gmba","abed"
"goba","abede"
"gop","abedge"
"gosh","Abednego"
"gqabhuka","abegge"
"gqiba","Abey"
"gqithisa","abeyance"
"grogrisa","abeyances"
"gross","abeyancy"
"gunyazisa","abeyancies"
"guquka","abeyant"
"guqula","abeigh"
"guqulela","ABEL"
"gweba","Abelard"
"gxeka","abele"
"gxininisa","abeles"
"gxotha","Abelia"
"gxuma","Abelian"
"halloween","Abelicea"
"hamba","Abelite"
"hambisa","Abell"
"hang","Abelmoschus"
"hardware","abelmosk"
"hayi","abelmosks"
"heck","abelmusk"
"hip","Abelonian"
"hit","Abelson"
"hlafuna","abeltree"
"hlala","Abencerrages"
"hlalutya","abend"
"hlamba","abends"
"hlanganisana","Abenezra"
"hlasela","abenteric"
"hlawula","Abeokuta"
"hlaziya","abepithymia"
"hleka","ABEPP"
"hlekisa","Abercromby"
"hlela","Abercrombie"
"Hlikihla","Aberdare"
"hlola","aberdavine"
"hlukana","Aberdeen"
"hlupha","Aberdeenshire"
"hlutha","aberdevine"
"hmm","Aberdonian"
"hook","aberduvine"
"hug","Aberfan"
"i","Aberglaube"
"iacre","Aberia"
"iakhademi","Aberystwyth"
"iakhawunti","Abernant"
"ialam","Abernathy"
"iankile","abernethy"
"iarhente","Abernon"
"i-asethi","aberr"
"iasidi","aberrance"
"ibakala","aberrancy"
"ibala","aberrancies"
"ibali","aberrant"
"ibanjwa","aberrantly"
"ibaseball","aberrants"
"ibe","aberrate"
"ibele","aberrated"
"ibha","aberrating"
"ibhakethi","aberration"
"ibhalansi","aberrational"
"ibhaliwe","aberrations"
"ibhaluni","aberrative"
"ibhanana","aberrator"
"ibhanki","aberrometer"
"ibhanti","aberroscope"
"ibhasi","Abert"
"ibhaso","aberuncate"
"ibhatyi","aberuncator"
"ibhayibhile","abesse"
"ibhayisekile","abessive"
"ibhayoloji","abet"
"ibhedi","abetment"
"ibhega","abetments"
"ibhegi","abets"
"ibhere","abettal"
"ibhetri","abettals"
"ibheyi","abetted"
"ibhiliyoni","abetter"
"ibhinqa","abetters"
"ibhiya","abetting"
"ibhlokhi","abettor"
"ibhodi","abettors"
"ibhokhwe","Abeu"
"ibhokisi","abevacuation"
"ibhola","abfarad"
"ibhombu","abfarads"
"ibhonasi","ABFM"
"ibhondi","Abgatha"
"ibhotile","ABHC"
"ibhotolo","abhenry"
"ibhotwe","abhenries"
"ibhulorho","abhenrys"
"ibhulukhwe","abhinaya"
"ibhunga","abhiseka"
"ibhuthi","abhominable"
"ibinzana","abhor"
"ibrashi","abhorred"
"ibuyiselo","abhorrence"
"icala","abhorrences"
"icandelo","abhorrency"
"icarbohydrate","abhorrent"
"iCawe","abhorrently"
"icebiso","abhorrer"
"icephe","abhorrers"
"icetywayo","abhorrible"
"ichanekile","abhorring"
"ichaphaza","abhors"
"ichaphazela","Abhorson"
"ichibi","ABI"
"ichitheka","aby"
"icimile","Abia"
"icocekile","Abiathar"
"icuba","Abib"
"icwecwe","abichite"
"idabi","abidal"
"idada","abidance"
"idangatye","abidances"
"idatabase","abidden"
"idatha","abide"
"idayari","abided"
"idayimani","abider"
"idemokhrasi","abiders"
"idemon","abides"
"idesika","abidi"
"idijithali","abiding"
"idilesi","abidingly"
"idini","abidingness"
"idiphozithi","Abidjan"
"idiplomatic","Abydos"
"idiski","Abie"
"idola","abye"
"idolo","abied"
"idolophu","abyed"
"idrama","abiegh"
"idrowa","abience"
"idyasi","abient"
"i-echo","Abies"
"i-engile","abyes"
"ifakhalthi","abietate"
"ifama","abietene"
"ifashoni","abietic"
"ifayibha","abietin"
"ifayile","Abietineae"
"ifenitshala","abietineous"
"ifestile","abietinic"
"ifihliwe","abietite"
"ifilimu","Abiezer"
"ifilosofi","Abigael"
"ifiva","Abigail"
"iflegi","abigails"
"ifolokhwe","abigailship"
"ifomathi","Abigale"
"ifomu","abigeat"
"ifomula","abigei"
"ifosili","abigeus"
"ifoto","Abihu"
"ifowuni","abying"
"ifranchise","Abijah"
"ifunyenwe","Abyla"
"igadi","abilao"
"igalani","Abilene"
"igalari","abiliment"
"igalelo","Abilyne"
"igalikhi","abilitable"
"igalufa","ability"
"igama","abilities"
"igaraji","ability's"
"igatya","abilla"
"igazi","abilo"
"igcisa","abime"
"igesi","Abimelech"
"iglasi","Abineri"
"iglavu","Abingdon"
"iglowubhu","Abinger"
"igolide","Abington"
"igophe","Abinoam"
"igorha","Abinoem"
"igosa","abintestate"
"igqabi","abiogeneses"
"igqala","abiogenesis"
"igqibelele","abiogenesist"
"igqwetha","abiogenetic"
"igqwirha","abiogenetical"
"igrafu","abiogenetically"
"igram","abiogeny"
"igridi","abiogenist"
"igrosari","abiogenous"
"igubu","abiology"
"igumbi","abiological"
"igunya","abiologically"
"igxalaba","abioses"
"ihagu","abiosis"
"ihashe","abiotic"
"ihempe","abiotical"
"ihlabathi","abiotically"
"ihlathi","abiotrophy"
"ihlazo","abiotrophic"
"ihlobo","Abipon"
"ihlwempu","Abiquiu"
"ihoki","abir"
"iholide","abirritant"
"iholo","abirritate"
"ihomoni","abirritated"
"ihotele","abirritating"
"iigusha","abirritation"
"iijini","abirritative"
"iikhrayitheriya","abys"
"i-imeyile","Abisag"
"iimpahla","Abisha"
"iimpundu","Abishag"
"iindaba","Abisia"
"iindleko","abysm"
"iingcebiso","abysmal"
"iinkcukacha","abysmally"
"iinkomo","abysms"
"iinkqubo","Abyss"
"iinkuni","abyssa"
"i-inshurensi","abyssal"
"iintengiso","abysses"
"iintlobo","Abyssinia"
"iintlungu","Abyssinian"
"iintsholongwane","abyssinians"
"iinwele","abyssobenthonic"
"iinyembezi","abyssolith"
"iiOlimpiki","abyssopelagic"
"iitriliyoni","abyss's"
"ijelo","abyssus"
"ijenali","abiston"
"ijethi","abit"
"Ijim","Abitibi"
"ijoni","Abiu"
"ijusi","abiuret"
"ikaka","Abixah"
"ikarikuni","abject"
"ikati","abjectedness"
"ikawusi","abjection"
"ikepusi","abjections"
"ikeyiki","abjective"
"ikhabhathi","abjectly"
"ikhabhinethi","abjectness"
"ikhabhoni","abjectnesses"
"ikhadi","abjoint"
"ikhaka","abjudge"
"ikhalenda","abjudged"
"ikhalori","abjudging"
"ikhamera","abjudicate"
"ikhandlela","abjudicated"
"ikhaphethi","abjudicating"
"ikharityhulamu","abjudication"
"ikhathuni","abjudicator"
"ikhava","abjugate"
"ikhebhu","abjunct"
"ikhefi","abjunction"
"ikhefu","abjunctive"
"ikheji","abjuration"
"ikhemikhali","abjurations"
"ikhemistri","abjuratory"
"ikhephu","abjure"
"ikhibhodi","abjured"
"ikhithi","abjurement"
"ikhitshi","abjurer"
"ikhoboka","abjurers"
"ikhola","abjures"
"ikholam","abjuring"
"Ikholoneli","abkar"
"ikholwa","abkari"
"ikhomishini","abkary"
"ikhompawundi","Abkhas"
"ikhompyutha","Abkhasia"
"ikhongolose","Abkhasian"
"ikhonkco","Abkhaz"
"ikhonkrithi","Abkhazia"
"ikhowudi","Abkhazian"
"ikhredithi","abl"
"ikhulu","abl."
"ikhuselekile","ablach"
"ikhusi","ablactate"
"iklabhu","ablactated"
"iklasi","ablactating"
"ikliniki","ablactation"
"ikliphu","ablaqueate"
"ikoloni","ablare"
"ikomishini","A-blast"
"ikomiti","ablastemic"
"ikomkhulu","ablastin"
"ikona","ablastous"
"ikonsathi","ablate"
"ikopi","ablated"
"ikota","ablates"
"ikrele","ablating"
"ikristale","ablation"
"ilabhoratri","ablations"
"ilahlekile","ablatitious"
"ilahleko","ablatival"
"ilali","ablative"
"ilamuni","ablatively"
"ilanga","ablatives"
"ilaphu","ablator"
"ilayini","ablaut"
"ilayisenisi","ablauts"
"ilekese","ablaze"
"ilensi","able"
"ileta","able-bodied"
"ileyibhile","able-bodiedness"
"ilifa","ableeze"
"ilifti","ablegate"
"ilifu","ablegates"
"ilishwa","ablegation"
"iliso","able-minded"
"ilithambeka","able-mindedness"
"ilitye","ablend"
"ilivo","ableness"
"iliwa","ablepharia"
"iliza","ablepharon"
"ilizwe","ablepharous"
"ilizwekazi","Ablepharus"
"ilizwi","ablepsy"
"ilori","ablepsia"
"ilulwane","ableptical"
"ilungelo","ableptically"
"ilungile","abler"
"ilungiselelo","ables"
"ilungisiwe","ablesse"
"ilungu","ablest"
"iluphu","ablet"
"imali","ablewhackets"
"imali-mboleko","ably"
"Imall","ablings"
"imanzi","ablins"
"imarike","ablock"
"imaski","abloom"
"imathematika","ablow"
"imayile","ABLS"
"imbacu","ablude"
"imbaleki","abluent"
"Imbaleki","abluents"
"imbali","ablush"
"imbangi","ablute"
"imbasa","abluted"
"imbeko","ablution"
"imbewu","ablutionary"
"imbi","ablutions"
"imbiza","abluvion"
"imbonakalo","ABM"
"imbonakalo-mhlaba","abmho"
"imbongi","abmhos"
"imbono","abmodality"
"imbotyi","abmodalities"
"imbumbulu","abn"
"imbuyekezo","Abnaki"
"imdaka","Abnakis"
"imeko","abnegate"
"imela","abnegated"
"imenyu","abnegates"
"imephu","abnegating"
"imeyile","abnegation"
"imfazwe","abnegations"
"imfihlelo","abnegative"
"imfihlo","abnegator"
"imfumba","abnegators"
"imfundiso","Abner"
"imfundo","abnerval"
"imfuneko","abnet"
"imfuno","abneural"
"imibongo","abnormal"
"imifuno","abnormalcy"
"imigaqo","abnormalcies"
"imiphunga","abnormalise"
"imitha","abnormalised"
"imithambo-luvo","abnormalising"
"imizimba","abnormalism"
"imnandi","abnormalist"
"imo","abnormality"
"imodeli","abnormalities"
"imolekyuli","abnormalize"
"imoto","abnormalized"
"imozulu","abnormalizing"
"impahla","abnormally"
"impama","abnormalness"
"impazamo","abnormals"
"impelaveki","abnormity"
"impembelelo","abnormities"
"impendulo","abnormous"
"impepho","abnumerable"
"impikiswano","Abo"
"impilo","aboard"
"impompo","aboardage"
"impucuko","Abobra"
"impuku","abococket"
"impumelelo","abodah"
"impumlo","abode"
"impundu","aboded"
"imuvi","abodement"
"imvakalelo","abodes"
"imvelaphi","abode's"
"imveliso","abody"
"imvula","aboding"
"imvulophu","abogado"
"imvume","abogados"
"imvumelwano","abohm"
"imvumi","abohms"
"imyuziyam","aboideau"
"inaliti","aboideaus"
"inamba","aboideaux"
"inani","aboil"
"incakuba","aboiteau"
"incasa","aboiteaus"
"inceba","aboiteaux"
"incoko","abolete"
"incopho","abolish"
"incwadi","abolishable"
"indala","abolished"
"indaleko","abolisher"
"indalo","abolishers"
"indawo","abolishes"
"indebe","abolishing"
"indibaniselwano","abolishment"
"indibano","abolishments"
"indima","abolishment's"
"indlala","abolition"
"indlebe","abolitionary"
"indlela","abolitionise"
"indlovu","abolitionised"
"indlu","abolitionising"
"indlwana","abolitionism"
"indlwane","abolitionist"
"indoda","abolitionists"
"Indongomane","abolitionize"
"induli","abolitionized"
"inene","abolitionizing"
"inenekazi","abolitions"
"inethiwekhi","abolla"
"inetyhefu","abollae"
"ingaba","aboma"
"ingalo","abomas"
"ingayiyo","abomasa"
"ingca","abomasal"
"ingcaciso","abomasi"
"ingcali","abomasum"
"ingcamango","abomasus"
"ingcambu","abomasusi"
"ingcaphephe","A-bomb"
"ingcebiso","abominability"
"ingcuka","abominable"
"ingelosi","abominableness"
"ingeniso","abominably"
"ingobozi","abominate"
"ingoma","abominated"
"ingonyama","abominates"
"ingozi","abominating"
"Ingozi","abomination"
"ingqalelo","abominations"
"ingqayi","abominator"
"ingqekembe","abominators"
"ingqeqesho","abomine"
"ingqesho","abondance"
"ingqibelelo","Abongo"
"ingqina","abonne"
"ingqiniba","abonnement"
"ingqiqo","aboon"
"ingqokelela","aborad"
"ingqolowa","aboral"
"ingqondi","aborally"
"ingqondo","abord"
"ingqukuva","Aboriginal"
"ingqungquthela","aboriginality"
"ingubo","aboriginally"
"inguqu","aboriginals"
"inguqulelo","aboriginary"
"ingwe","Aborigine"
"ingxabano","aborigines"
"ingxaki","aborigine's"
"ingxelo","Abor-miri"
"ingxolo","Aborn"
"ingxowa","aborning"
"ingxowa-mali","a-borning"
"ingxoxo","aborsement"
"inikwe","aborsive"
"ininzi","abort"
"inja","aborted"
"Inja","aborter"
"injineli","aborters"
"injini","aborticide"
"injongo","abortient"
"inkalo","abortifacient"
"inkampani","abortin"
"inkampu","aborting"
"inkangeleko","abortion"
"inkanyamba","abortional"
"inkathalo","abortionist"
"inkawu","abortionists"
"inkcaso","abortions"
"inkcazelo","abortion's"
"inkcitho","abortive"
"inkcubeko","abortively"
"inkohlakalo","abortiveness"
"inkohliso","abortogenic"
"inkokeli","aborts"
"inkolelo","abortus"
"inkomfa","abortuses"
"inkomo","abos"
"inkonzo","abote"
"inkosana","Abott"
"inkosi","abouchement"
"inkqubela","aboudikro"
"inkqubo","abought"
"inkukhu","Aboukir"
"inkulu","aboulia"
"inkululeko","aboulias"
"inkumbulo","aboulic"
"inkundla","abound"
"inkunkuma","abounded"
"inkunzi","abounder"
"inkuthazo","abounding"
"inkwenkwe","aboundingly"
"inkwenkwezi","abounds"
"inkxalabo","Abourezk"
"inkxaso","about"
"inkxaso-mali","about-face"
"inomtsalane","about-faced"
"inoveli","about-facing"
"inqaba","abouts"
"inqaku","about-ship"
"Inqaku","about-shipped"
"inqanaba","about-shipping"
"inqanawa","about-sledge"
"inqindi","about-turn"
"inqununu","above"
"inqwelo","aboveboard"
"inqwelomoya","above-board"
"inqwelo-ntaka","above-cited"
"intaba","abovedeck"
"intaka","above-found"
"intambo","above-given"
"intamo","aboveground"
"intanda-bulumko","abovementioned"
"intando","above-mentioned"
"intandokazi","above-named"
"intanethi","aboveproof"
"intatheli","above-quoted"
"intelekelelo","above-reported"
"intengiselwano","aboves"
"intengiso","abovesaid"
"intente","above-said"
"intetho","abovestairs"
"intlalontle","above-water"
"intlama","above-written"
"intlambo","abow"
"intlanganiso","abox"
"intlantsi","Abp"
"intlanzi","ABPC"
"intlawulo","Abqaiq"
"intle","abr"
"intlekele","abr."
"intliziyo","Abra"
"intloko","abracadabra"
"intlola","abrachia"
"intlonipho","abrachias"
"into","abradable"
"intomba","abradant"
"intombazana","abradants"
"intombi","abrade"
"intonga","abraded"
"Intoni","abrader"
"intsangu","abraders"
"intsebenziswano","abrades"
"intshabalalo","abrading"
"intshatsheli","Abraham"
"intshayelelo","Abrahamic"
"intshi","Abrahamidae"
"intsholongwane","Abrahamite"
"intshukumo","Abrahamitic"
"intsikelelo","Abraham-man"
"intsilelo","Abrahams"
"intsimbi","Abrahamsen"
"intsimi","Abrahan"
"intsingiselo","abray"
"intsomi","abraid"
"intsonkothile","Abram"
"intuthuzelo","Abramis"
"intwasahlobo","Abramo"
"intyatyambo","Abrams"
"inxaki","Abramson"
"inxalenye","Abran"
"inxeba","abranchial"
"inyama","abranchialism"
"inyamakazi","abranchian"
"inyanga","Abranchiata"
"inyaniso","abranchiate"
"inyathelo","abranchious"
"inyikima","abrasax"
"inyoka","abrase"
"inyosi","abrased"
"inzondo","abraser"
"inzululwazi","abrash"
"inzuzo","abrasing"
"iofisi","abrasiometer"
"ioksijini","abrasion"
"ioli","abrasions"
"i-olympic","abrasion's"
"iopera","abrasive"
"i-orbit","abrasively"
"iounce","abrasiveness"
"i-oveni","abrasivenesses"
"ipad","abrasives"
"ipakethe","abrastol"
"ipaki","abraum"
"ipalamente","abraxas"
"ipali","abrazite"
"ipani","abrazitic"
"ipaseji","abrazo"
"ipateni","abrazos"
"ipatent","abreact"
"ipayi","abreacted"
"ipayina","abreacting"
"ipelepele","abreaction"
"ipesenti","abreactions"
"ipetroli","abreacts"
"ipeyinti","abreast"
"Iphaneli","abreed"
"ipharamitha","abrege"
"iphazili","abreid"
"iphedi","abrenounce"
"iphenyane","abrenunciate"
"iphepha","abrenunciation"
"iphephancwadi","abreption"
"iphephandaba","abret"
"iphiko","abreuvoir"
"iphini","abri"
"iphondo","abrico"
"iphone","abricock"
"iphuculwe","abricot"
"iphulo","abridgable"
"iphupha","abridge"
"i-physics","abridgeable"
"ipilisi","abridged"
"ipiyano","abridgedly"
"ipizza","abridgement"
"iplanethi","abridgements"
"iplastiki","abridger"
"ipleyiti","abridgers"
"ipokotho","abridges"
"ipolisa","abridging"
"iponti","abridgment"
"iposti","abridgments"
"ipotfoliyo","abrim"
"ipowusta","abrin"
"iprimiyamu","abrine"
"iprofayile","abris"
"iprojekthi","abristle"
"Ipropaganda","abroach"
"iprosesa","abroad"
"iprotheni","Abrocoma"
"iprotocol","abrocome"
"iqabane","abrogable"
"iqakala","abrogate"
"iqamza","abrogated"
"iqanda","abrogates"
"iqebengwana","abrogating"
"iqela","abrogation"
"iqhawe","abrogations"
"iqhekeza","abrogative"
"iqhezu","abrogator"
"iqhina","abrogators"
"iqhinga","Abroma"
"iqhosha","Abroms"
"iqinile","Abronia"
"iqokobhe","abrood"
"iqonga","abrook"
"iquantum","abrosia"
"irada","abrosias"
"irali","abrotanum"
"iraqi","abrotin"
"irayisi","abrotine"
"irekhodi","abrupt"
"iresiphi","abruptedly"
"irhafu","abrupter"
"irhamncwa","abruptest"
"irhetoric","abruptio"
"irhuluneli","abruption"
"Iriphabliki","abruptiones"
"Irish","abruptly"
"irobhothi","abruptness"
"irookie","Abrus"
"isabelo","Abruzzi"
"isabhokhwe","ABS"
"isahluko","abs-"
"isahlulo","Absa"
"isajini","Absalom"
"isakhelo","absampere"
"isakhiwo","Absaraka"
"isakhono","Absaroka"
"isaladi","Absarokee"
"isalathisi","absarokite"
"isalathiso","ABSBH"
"isampuli","abscam"
"isandi","abscess"
"isandla","abscessed"
"isando","abscesses"
"Isango","abscessing"
"isangqa","abscession"
"isangweji","abscessroot"
"isanti","abscind"
"isantya","abscise"
"isaphulelo","abscised"
"isaqhwithi","abscises"
"isasazekile","abscisin"
"isathelayithi","abscising"
"isatifikethi","abscisins"
"isazela","abscision"
"isazinzulu","absciss"
"isazisi","abscissa"
"isaziso","abscissae"
"i-scholarship","abscissas"
"isebe","abscissa's"
"isebenza","abscisse"
"isela","abscissin"
"iseli","abscission"
"isengqiqweni","abscissions"
"isenti","absconce"
"isenzeko","abscond"
"isenzo","absconded"
"isepha","abscondedly"
"iseshoni","abscondence"
"iseti","absconder"
"iseyile","absconders"
"ishawa","absconding"
"ishedi","absconds"
"ishedyuli","absconsa"
"ishelufu","abscoulomb"
"ishishini","abscound"
"ishiya","Absecon"
"isibane","absee"
"isibhakabhaka","absey"
"isibhalo","abseil"
"isibhengezo","abseiled"
"isibheno","abseiling"
"Isibhozo","abseils"
"isibindi","absence"
"isibini","absences"
"Isibini","absence's"
