"Telugu","English"
"అనువర్తనం","abarticulation"
"అనువాదం","Abas"
"అనువైన","abase"
"అనుసంధానం","abased"
"అనుసరణ","abasedly"
"అనుసరించండి","abasedness"
"అనుసరించడం","abasement"
"అనేక","abasements"
"అన్ని","abaser"
"అన్యాయం","abasers"
"అన్వయించు","abases"
"అన్వేషణ","Abasgi"
"అన్వేషించండి","abash"
"అపరాధం","abashed"
"అపరాధి","abashedly"
"అపరిచితుడు","abashedness"
"అపారమైన","abashes"
"అపార్ట్మెంట్","abashing"
"అపురూపమైన","abashless"
"అపూర్వమైన","abashlessly"
"అప్గ్రేడ్","abashment"
"అప్పగింత","abashments"
"అప్పిచ్చు","abasia"
"అప్పు","abasias"
"అప్పుడప్పుడు","abasic"
"అప్పుడు","abasing"
"అప్లికేషన్","abasio"
"అబద్ధం","abask"
"అబద్ధాలకోరు","abassi"
"అబ్బా","Abassieh"
"అబ్బాయి","Abassin"
"అభిజ్ఞా","abastard"
"అభినందించడానికి","abastardize"
"అభినందిస్తున్నాము","abastral"
"అభిప్రాయం","abatable"
"అభిమాని","abatage"
"అభిరుచి","Abate"
"అభివృద్ధి","abated"
"అభ్యంతరం","abatement"
"అభ్యర్థన","abatements"
"అభ్యర్థి","abater"
"అభ్యసించేవాడు","abaters"
"అభ్యాసకుడు","abates"
"అమరిక","abatic"
"అమలు","abating"
"అమాయక","abatis"
"అమెరికన్","abatised"
"అమ్మ","abatises"
"అమ్మకం","abatjour"
"అమ్మకాలు","abatjours"
"అమ్మమ్మ","abaton"
"అమ్మాయి","abator"
"అమ్ముతారు","abators"
"అమ్మో","ABATS"
"అయితే","abattage"
"అయినప్పటికీ","abattis"
"అయిష్టంగా","abattised"
"అయ్యో","abattises"
"అరంగేట్రం","abattoir"
"అరచేతి","abattoirs"
"అరటిపండు","abattu"
"అరణ్యం","abattue"
"అరబ్","Abatua"
"అరవడం","abature"
"అరుదుగా","abaue"
"అరుదైన","abave"
"అరుపు","abaxial"
"అరుస్తారు","abaxile"
"అరెస్టు","abaze"
"అర్థం","abb"
"అర్థవంతమైన","Abba"
"అర్ధంలేనిది","abbacy"
"అర్ధరాత్రి","abbacies"
"అర్హత","abbacomes"
"అర్హులు","Abbadide"
"అల","Abbai"
"అలంకరణ","abbaye"
"అలవాటు","abbandono"
"అలసిన","abbas"
"అలాగే","abbasi"
"అలారం","Abbasid"
"అల్పాహారం","abbassi"
"అల్లరి","Abbassid"
"అల్లర్లు","Abbasside"
"అవకాశం","Abbate"
"అవగాహన","abbatial"
"అవమానం","abbatical"
"అవయవం","abbatie"
"అవసరం","Abbe"
"అవసరమైన","Abbey"
"అవార్డు","abbeys"
"అవినీతి","abbey's"
"అవినీతిపరుడు","abbeystead"
"అవివేకి","abbeystede"
"అవుట్పుట్","abbes"
"అవుట్లెట్","abbess"
"అవుతాయి","abbesses"
"అవును","abbest"
"అవెన్యూ","Abbevilean"
"అసంభవం","Abbeville"
"అసమానత","Abbevillian"
"అసలు","Abbi"
"అసలైన","Abby"
"అసహజ","Abbie"
"అసాధారణ","Abbye"
"అసాధారణమైన","Abbyville"
"అసాధ్యం","abboccato"
"అసెంబ్లీ","abbogada"
"అసౌకర్యంగా","Abbot"
"అస్తిత్వం","abbotcy"
"అస్పష్టంగా","abbotcies"
"అహంకారం","abbotnullius"
"ఆ","abbotric"
"ఆంగ్ల","abbots"
"ఆండ్రాయిడ్","abbot's"
"ఆంత్రము","Abbotsen"
"ఆందోళన","Abbotsford"
"ఆకట్టుకుంటారు","abbotship"
"ఆకట్టుకునే","abbotships"
"ఆకర్షణ","Abbotson"
"ఆకర్షణీయమైన","Abbotsun"
"ఆకర్షిస్తాయి","Abbott"
"ఆకలి","Abbottson"
"ఆకలితో","Abbottstown"
"ఆకస్మికంగా","Abboud"
"ఆకారం","abbozzo"
"ఆకాశం","ABBR"
"ఆకు","abbrev"
"ఆకుపచ్చ","abbreviatable"
"ఆక్రమిస్తాయి","abbreviate"
"ఆక్సిజన్","abbreviated"
"ఆగస్టు","abbreviately"
"ఆగ్నేయం","abbreviates"
"ఆచరణాత్మకంగా","abbreviating"
"ఆచరణాత్మకమైనది","abbreviation"
"ఆచారం","abbreviations"
"ఆట","abbreviator"
"ఆటగాడు","abbreviatory"
"ఆటోమేటిక్","abbreviators"
"ఆడండి","abbreviature"
"ఆత్మ","abbroachment"
"ఆత్మవిశ్వాసం","ABC"
"ఆత్మహత్య","abcess"
"ఆత్రుత","abcissa"
"ఆత్రుతగా","abcoulomb"
"ఆదర్శవంతమైనది","ABCs"
"ఆదాయం","abd"
"ఆదివారం","abdal"
"ఆదేశం","abdali"
"ఆధారంగా","abdaria"
"ఆధారపడతారు","abdat"
"ఆధారపడి","Abdel"
"ఆధారపడిన","Abd-el-Kadir"
"ఆధిపత్యం","Abd-el-Krim"
"ఆధునిక","Abdella"
"ఆధ్యాత్మికం","Abderhalden"
"ఆనందం","Abderian"
"ఆనందించండి","Abderite"
"ఆన్లైన్","Abderus"
"ఆపండి","abdest"
"ఆపరేటర్","Abdias"
"ఆపరేటింగ్","abdicable"
"ఆపరేషన్","abdicant"
"ఆపిల్","abdicate"
"ఆఫర్","abdicated"
"ఆఫ్","abdicates"
"ఆఫ్రికన్","abdicating"
"ఆమె","abdication"
"ఆమెది","abdications"
"ఆమోదం","abdicative"
"ఆమోదయోగ్యమైనది","abdicator"
"ఆమోదించడానికి","Abdiel"
"ఆమోదించు","abditive"
"ఆమ్లము","abditory"
"ఆయుధం","abdom"
"ఆరవది","abdomen"
"ఆరు","abdomens"
"ఆరోగ్యం","abdomen's"
"ఆరోగ్యకరమైన","abdomina"
"ఆరోపణ","abdominal"
"ఆరోపించారు","Abdominales"
"ఆర్కైవ్","abdominalia"
"ఆర్డర్","abdominalian"
"ఆర్థిక","abdominally"
"ఆర్థికవేత్త","abdominals"
"ఆర్థికశాస్త్రం","abdominoanterior"
"ఆలస్యం","abdominocardiac"
"ఆలివ్","abdominocentesis"
"ఆలోచన","abdominocystic"
"ఆలోచిస్తున్నాను","abdominogenital"
"ఆల్ఫా","abdominohysterectomy"
"ఆల్బమ్","abdominohysterotomy"
"ఆవరణ","abdominoposterior"
"ఆవిరి","abdominoscope"
"ఆవిష్కరణ","abdominoscopy"
"ఆవు","abdominothoracic"
"ఆవేశం","abdominous"
"ఆశయం","abdomino-uterotomy"
"ఆశాజనకంగా","abdominovaginal"
"ఆశావాద","abdominovesical"
"ఆశించవచ్చు","Abdon"
"ఆశిస్తున్నాము","Abdu"
"ఆశీర్వాదం","abduce"
"ఆశ్చర్యం","abduced"
"ఆశ్చర్యకరం","abducens"
"ఆశ్చర్యకరంగా","abducent"
"ఆశ్చర్యపోయాడు","abducentes"
"ఆశ్రయం","abduces"
"ఆసక్తి","abducing"
"ఆసక్తికరమైన","abduct"
"ఆసక్తిగా","abducted"
"ఆసియా","abducting"
"ఆసుపత్రి","abduction"
"ఆస్తి","abductions"
"ఆహారం","abduction's"
"ఆహారపు","abductor"
"ఆహ్","abductores"
"ఆహ్లాదకరమైన","abductors"
"ఆహ్వానం","abductor's"
"ఆహ్వానించండి","abducts"
"ఇంకా","Abdul"
"ఇంజనీరింగ్","Abdul-Aziz"
"ఇంజనీర్","Abdul-baha"
"ఇంజిన్","Abdulla"
"ఇంటర్ఫేస్","Abe"
"ఇంటర్వ్యూ","a-be"
"ఇంటిగ్రేట్","abeam"
"ఇంధనం","abear"
"ఇకపై","abearance"
"ఇక్కడ","Abebi"
"ఇచ్చిన","abecedaire"
"ఇజ్రాయెల్","abecedary"
"ఇటాలియన్","abecedaria"
"ఇటీవల","abecedarian"
"ఇటీవలి","abecedarians"
"ఇటుక","abecedaries"
"ఇతర","abecedarium"
"ఇది","abecedarius"
"ఇనుము","abed"
"ఇన్పుట్","abede"
"ఇన్స్టాల్","abedge"
"ఇన్స్టిట్యూట్","Abednego"
"ఇన్స్పెక్టర్","abegge"
"ఇప్పటికీ","Abey"
"ఇప్పటికే","abeyance"
"ఇప్పుడు","abeyances"
"ఇబ్బంది","abeyancy"
"ఇబ్బందికరమైన","abeyancies"
"ఇబ్బందిపడ్డాడు","abeyant"
"ఇమెయిల్","abeigh"
"ఇ-మెయిల్","ABEL"
"ఇరవై","Abelard"
"ఇరాకీ","abele"
"ఇరానియన్","abeles"
"ఇరుకైన","Abelia"
"ఇలాంటి","Abelian"
"ఇల్లు","Abelicea"
"ఇవి","Abelite"
"ఇష్టం","Abell"
"ఇష్టపడతారు","Abelmoschus"
"ఇష్టమైన","abelmosk"
"ఇసుక","abelmosks"
"ఇస్తాయి","abelmusk"
"ఇస్లాం","Abelonian"
"ఇస్లామిక్","Abelson"
"ఈక్విటీ","abeltree"
"ఈరాత్రి","Abencerrages"
"ఈర్ష్య","abend"
"ఈలోగా","abends"
"ఈశాన్య","Abenezra"
"ఉంచు","abenteric"
"ఉంటుంది","Abeokuta"
"ఉంటే","abepithymia"
"ఉండటం","ABEPP"
"ఉండవచ్చు","Abercromby"
"ఉండాలి","Abercrombie"
"ఉండు","Aberdare"
"ఉక్కు","aberdavine"
"ఉచిత","Aberdeen"
"ఉచ్చు","Aberdeenshire"
"ఉడకబెట్టండి","aberdevine"
"ఉడికించాలి","Aberdonian"
"ఉత్తమమైనది","aberduvine"
"ఉత్తరం","Aberfan"
"ఉత్తరాది","Aberglaube"
"ఉత్తీర్ణత","Aberia"
"ఉత్తేజకరమైన","Aberystwyth"
"ఉత్తేజపరచు","Abernant"
"ఉత్పత్తి","Abernathy"
"ఉత్పన్నం","abernethy"
"ఉత్పాదక","Abernon"
"ఉత్పాదకత","aberr"
"ఉత్సాహం","aberrance"
"ఉత్సాహంగా","aberrancy"
"ఉత్సుకత","aberrancies"
"ఉదయం","aberrant"
"ఉదహరించండి","aberrantly"
"ఉదారంగా","aberrants"
"ఉదారవాద","aberrate"
"ఉదాహరణ","aberrated"
"ఉద్గారము","aberrating"
"ఉద్ఘాటన","aberration"
"ఉద్దీపన","aberrational"
"ఉద్దేశం","aberrations"
"ఉద్దేశపూర్వకంగా","aberrative"
"ఉద్దేశ్యము","aberrator"
"ఉద్భవిస్తాయి","aberrometer"
"ఉద్భవిస్తున్నది","aberroscope"
"ఉద్యమం","Abert"
"ఉద్యోగం","aberuncate"
"ఉద్యోగి","aberuncator"
"ఉద్రిక్తత","abesse"
"ఉనికి","abessive"
"ఉనికిని","abet"
"ఉన్నతమైన","abetment"
"ఉన్నతవర్గం","abetments"
"ఉన్నప్పటికీ","abets"
"ఉపగ్రహ","abettal"
"ఉపదేశించండి","abettals"
"ఉపన్యాసం","abetted"
"ఉపయోగకరమైన","abetter"
"ఉపయోగించబడిన","abetters"
"ఉపయోగించుకోండి","abetting"
"ఉపరితల","abettor"
"ఉపవాక్య","abettors"
"ఉపశమనం","Abeu"
"ఉపసంహరించుకోండి","abevacuation"
"ఉపాధి","abfarad"
"ఉపాయం","abfarads"
"ఉమ్మడి","ABFM"
"ఉమ్మి","Abgatha"
"ఉల్లంఘన","ABHC"
"ఉల్లంఘించండి","abhenry"
"ఉల్లాసమైన","abhenries"
"ఉల్లిపాయ","abhenrys"
"ఉష్ణమండల","abhinaya"
"ఉష్ణోగ్రత","abhiseka"
"ఉహ్-హుహ్","abhominable"
"ఊ","abhor"
"ఊదా","abhorred"
"ఊపందుకుంటున్నది","abhorrence"
"ఊపిరి","abhorrences"
"ఊపిరితిత్తుల","abhorrency"
"ఊహ","abhorrent"
"ఊహాగానాలు","abhorrently"
"ఊహించని","abhorrer"
"ఊహించబడింది","abhorrers"
"ఊహించుకోండి","abhorrible"
"ఊహిస్తారు","abhorring"
"ఋణం","abhors"
"ఎంచుకోండి","Abhorson"
"ఎంటర్","ABI"
"ఎండ","aby"
"ఎందుకంటే","Abia"
"ఎందుకు","Abiathar"
"ఎంపిక","Abib"
"ఎకరం","abichite"
"ఎక్కడ","abidal"
"ఎక్కడం","abidance"
"ఎక్కడైనా","abidances"
"ఎక్కడో","abidden"
"ఎక్కువగా","abide"
"ఎక్స్ప్రెస్","abided"
"ఎగుమతి","abider"
"ఎగురు","abiders"
"ఎగువ","abides"
"ఎజెండా","abidi"
"ఎడారి","abiding"
"ఎడిషన్","abidingly"
"ఎత్తండి","abidingness"
"ఎత్తు","Abidjan"
"ఎదురుగా","Abydos"
"ఎదురుచూడాలి","Abie"
"ఎద్దు","abye"
"ఎనిమిదవది","abied"
"ఎనిమిది","abyed"
"ఎన్కౌంటర్","abiegh"
"ఎన్నికల","abience"
"ఎన్నికలో","abient"
"ఎన్నుకోబడతారు","Abies"
"ఎపిసోడ్","abyes"
"ఎప్పటికీ","abietate"
"ఎప్పుడు","abietene"
"ఎప్పుడూ","abietic"
"ఎప్పుడైనా","abietin"
"ఎముక","Abietineae"
"ఎరుపు","abietineous"
"ఎలక్ట్రానిక్","abietinic"
"ఎలా","abietite"
"ఎలాగోలా","Abiezer"
"ఎలివేటర్","Abigael"
"ఎలుక","Abigail"
"ఎలుగుబంటి","abigails"
"ఎల్లప్పుడూ","abigailship"
"ఎవరిది","Abigale"
"ఎవరిని","abigeat"
"ఎవరూ","abigei"
"ఎవరైనా","abigeus"
"ఎవరైనా","Abihu"
"ఎస్టేట్","abying"
"ఏకం","Abijah"
"ఏకకాలంలో","Abyla"
"ఏకమయ్యారు","abilao"
"ఏకరీతి","Abilene"
"ఏకాగ్రత","abiliment"
"ఏకాభిప్రాయం","Abilyne"
"ఏకీభవించలేదు","abilitable"
"ఏకైక","ability"
"ఏకైక","abilities"
"ఏజెంట్","ability's"
"ఏజెన్సీ","abilla"
"ఏటా","abilo"
"ఏడవ","abime"
"ఏడు","Abimelech"
"ఏడుస్తారు","Abineri"
"ఏది","Abingdon"
"ఏదైనా","Abinger"
"ఏదో","Abington"
"ఏనుగు","Abinoam"
"ఏప్రిల్","Abinoem"
"ఏమి","abintestate"
"ఏమిలేదు","abiogeneses"
"ఏమైనప్పటికీ","abiogenesis"
"ఏర్పాటు","abiogenesist"
"ఏర్పాట్లు","abiogenetic"
"ఐక్యత","abiogenetical"
"ఐదవ","abiogenetically"
"ఐదు","abiogeny"
"ఐప్యాడ్","abiogenist"
"ఐరిష్","abiogenous"
"ఒంటరి","abiology"
"ఒంటరిగా","abiological"
"ఒంటి","abiologically"
"ఒకటి","abioses"
"ఒకసారి","abiosis"
"ఒకేలా","abiotic"
"ఒడి","abiotical"
"ఒడ్డు","abiotically"
"ఒత్తిడి","abiotrophy"
"ఒపేరా","abiotrophic"
"ఒప్పందం","Abipon"
"ఒప్పించండి","Abiquiu"
"ఒప్పించింది","abir"
"ఒప్పుకుంటారు","abirritant"
"ఒలింపిక్","abirritate"
"ఒలింపిక్స్","abirritated"
"ఓక్","abirritating"
"ఓటమి","abirritation"
"ఓటరు","abirritative"
"ఓటింగ్","abys"
"ఓటు","Abisag"
"ఓడ","Abisha"
"ఓడరేవు","Abishag"
"ఓడిపోయినవాడు","Abisia"
"ఓహ్","abysm"
"ఔన్స్","abysmal"
"కంచె","abysmally"
"కంటైనర్","abysms"
"కంటే","Abyss"
"కండరము","abyssa"
"కంపెనీ","abyssal"
"కంప్యూటర్","abysses"
"కక్ష్య","Abyssinia"
"కచేరీ","Abyssinian"
"కట్","abyssinians"
"కట్టడం","abyssobenthonic"
"కట్టు","abyssolith"
"కట్టుబడి","abyssopelagic"
"కట్టుబాటు","abyss's"
"కఠినమైన","abyssus"
"కఠినమైన","abiston"
"కడగడం","abit"
"కడుపు","Abitibi"
"కణం","Abiu"
"కణజాలం","abiuret"
"కణితి","Abixah"
"కత్తి","abject"
"కథ","abjectedness"
"కథనం","abjection"
"కదలిక","abjections"
"కదిలించు","abjective"
"కనాతి","abjectly"
"కనిపించే","abjectness"
"కనిపిస్తాయి","abjectnesses"
"కనిపెట్టు","abjoint"
"కనిష్ట","abjudge"
"కనీస","abjudged"
"కనీసం","abjudging"
"కనుగొనండి","abjudicate"
"కనుగొనడం","abjudicated"
"కనుగొన్నారు","abjudicating"
"కనుబొమ్మ","abjudication"
"కనెక్షన్","abjudicator"
"కన్నీరు","abjugate"
"కన్ను","abjunct"
"కన్వెన్షన్","abjunction"
"కప్పు","abjunctive"
"కమాండర్","abjuration"
"కమిటీ","abjurations"
"కమిషన్","abjuratory"
"కమీషనర్","abjure"
"కమ్యూనికేషన్","abjured"
"కమ్యూనిస్టు","abjurement"
"కరస్పాండెంట్","abjurer"
"కరుగుతాయి","abjurers"
"కరుణ","abjures"
"కరెన్సీ","abjuring"
"కర్మ","abkar"
"కర్మాగారం","abkari"
"కర్ర","abkary"
"కల","Abkhas"
"కలత","Abkhasia"
"కలపండి","Abkhasian"
"కలపాలి","Abkhaz"
"కలయిక","Abkhazia"
"కలవరపెడుతోంది","Abkhazian"
"కలిగి","abl"
"కలిపి","abl."
"కలిసి","ablach"
"కలుపు","ablactate"
"కలుసుకోవడం","ablactated"
"కలెక్టర్","ablactating"
"కళ","ablactation"
"కళాకారుడు","ablaqueate"
"కళాత్మకమైనది","ablare"
"కళాశాల","A-blast"
"కవచ","ablastemic"
"కవచం","ablastin"
"కవరేజ్","ablastous"
"కవర్","ablate"
"కవాతు","ablated"
"కవి","ablates"
"కవిత్వం","ablating"
"కష్టం","ablation"
"కస్టమర్","ablations"
"కాంక్రీటు","ablatitious"
"కాంగ్రెస్","ablatival"
"కాంట్రాక్టర్","ablative"
"కాండం","ablatively"
"కాంతి","ablatives"
"కాకుండా","ablator"
"కాగితం","ablaut"
"కాడ","ablauts"
"కాథలిక్","ablaze"
"కాదు","able"
"కాని","able-bodied"
"కాన్వాస్","able-bodiedness"
"కాపలా","ableeze"
"కాపీ","ablegate"
"కాపీరైట్","ablegates"
"కాఫీ","ablegation"
"కాబట్టి","able-minded"
"కారకం","able-mindedness"
"కారణం","ablend"
"కారిడార్","ableness"
"కారు","ablepharia"
"కార్టూన్","ablepharon"
"కార్డు","ablepharous"
"కార్పెట్","Ablepharus"
"కార్పొరేట్","ablepsy"
"కార్పొరేషన్","ablepsia"
"కార్ప్స్","ableptical"
"కార్బన్","ableptically"
"కార్బోహైడ్రేట్","abler"
"కార్మికుడు","ables"
"కార్యకర్త","ablesse"
"కార్యక్రమం","ablest"
"కార్యదర్శి","ablet"
"కార్యనిర్వాహకుడు","ablewhackets"
"కార్యాచరణ","ably"
"కార్యాలయం","ablings"
"కాలం","ablins"
"కాలనీ","ablock"
"కాలమ్","abloom"
"కాలర్","ablow"
"కాలిబాట","ABLS"
"కాలు","ablude"
"కాలుష్యం","abluent"
"కాలేదు","abluents"
"కాలేయం","ablush"
"కాల్చండి","ablute"
"కాల్చారు","abluted"
"కావాలి","ablution"
"కాస్త","ablutionary"
"కింద","ablutions"
"కిటికీ","abluvion"
"కిట్","ABM"
"కిరణం","abmho"
"కిరాణా","abmhos"
"కిరాయి","abmodality"
"కిరీటం","abmodalities"
"కీ","abn"
"కీటకం","Abnaki"
"కీబోర్డ్","Abnakis"
"కీర్తి","abnegate"
"కీలకమైన","abnegated"
"కు","abnegates"
"కుండ","abnegating"
"కుందేలు","abnegation"
"కుంభకోణం","abnegations"
"కుకీ","abnegative"
"కుక్క","abnegator"
"కుటుంబం","abnegators"
"కుట్ర","Abner"
"కుడి","abnerval"
"కుడుచు","abnet"
"కుదరదు","abneural"
"కుదించు","abnormal"
"కుదుపు","abnormalcy"
"కుప్ప","abnormalcies"
"కుర్చీ","abnormalise"
"కూజా","abnormalised"
"కూటమి","abnormalising"
"కూడా","abnormalism"
"కూతురు","abnormalist"
"కూరగాయల","abnormality"
"కూర్చోండి","abnormalities"
"కూర్పు","abnormalize"
"కూలిపోతుంది","abnormalized"
"కృతజ్ఞతతో","abnormalizing"
"కృత్రిమ","abnormally"
"కృషి","abnormalness"
"కెనడియన్","abnormals"
"కెప్టెన్","abnormity"
"కెమెరా","abnormities"
"కేంద్ర","abnormous"
"కేంద్రం","abnumerable"
"కేక్","Abo"
"కేటాయించవచ్చు","aboard"
"కేఫ్","aboardage"
"కేబుల్","Abobra"
"కేవలం","abococket"
"కేసు","abodah"
"కొండ","abode"
"కొంతవరకు","aboded"
"కొట్టారు","abodement"
"కొట్టు","abodes"
"కొట్టుట","abode's"
"కొడుకు","abody"
"కొత్త","aboding"
"కొత్తగా","abogado"
"కొత్తవాడు","abogados"
"కొద్దిగా","abohm"
"కొనసాగండి","abohms"
"కొనసాగించు","aboideau"
"కొనసాగింది","aboideaus"
"కొనసాగుతుంది","aboideaux"
"కొనసాగుతున్న","aboil"
"కొనసాగుతోంది","aboiteau"
"కొనుగోలు","aboiteaus"
"కొనుగోలుదారు","aboiteaux"
"కొన్ని","abolete"
"కొన్నిసార్లు","abolish"
"కొమ్ము","abolishable"
"కొరకు","abolished"
"కొరత","abolisher"
"కొరియన్","abolishers"
"కొరుకు","abolishes"
"కొలత","abolishing"
"కొలను","abolishment"
"కొలెస్ట్రాల్","abolishments"
"కొవ్వొత్తి","abolishment's"
"కోట","abolition"
"కోటు","abolitionary"
"కోట్","abolitionise"
"కోడ్","abolitionised"
"కోణం","abolitionising"
"కోతి","abolitionism"
"కోపం","abolitionist"
"కోరండి","abolitionists"
"కోరిక","abolitionize"
"కోరుకుంటారు","abolitionized"
"కోర్","abolitionizing"
"కోర్టు","abolitions"
"కోర్సు","abolla"
"కోలుకుంటారు","abollae"
"కోల్పోతారు","aboma"
"కోల్పోయిన","abomas"
"కోసం","abomasa"
"కౌంటర్","abomasal"
"కౌంటీ","abomasi"
"కౌగిలించుకుంటారు","abomasum"
"కౌగిలింత","abomasus"
"కౌన్సిల్","abomasusi"
"కౌన్సెలింగ్","A-bomb"
"కౌబాయ్","abominability"
"కౌమారదశ","abominable"
"క్యాంపస్","abominableness"
"క్యాచ్","abominably"
"క్యాన్సర్","abominate"
"క్యాబిన్","abominated"
"క్యారియర్","abominates"
"క్యాలరీ","abominating"
"క్యాలెండర్","abomination"
"క్యాసినో","abominations"
"క్యూ","abominator"
"క్రమం","abominators"
"క్రమంగా","abomine"
"క్రమబద్ధీకరించు","abondance"
"క్రమశిక్షణ","Abongo"
"క్రాఫ్ట్","abonne"
"క్రాల్","abonnement"
"క్రాష్","aboon"
"క్రాస్","aborad"
"క్రింద","aboral"
"క్రిందికి","aborally"
"క్రితం","abord"
"క్రిస్టల్","Aboriginal"
"క్రిస్మస్","aboriginality"
"క్రీక్","aboriginally"
"క్రీడ","aboriginals"
"క్రీడాకారుడు","aboriginary"
"క్రీమ్","Aborigine"
"క్రూయిజ్","aborigines"
"క్రూరమైన","aborigine's"
"క్రూరమైన","Abor-miri"
"క్రెడిట్","Aborn"
"క్రైస్తవుడు","aborning"
"క్లబ్","a-borning"
"క్లయింట్","aborsement"
"క్లస్టర్","aborsive"
"క్లాసికల్","abort"
"క్లాసిక్","aborted"
"క్లినిక్","aborter"
"క్లిప్","aborters"
"క్లిష్టమైన","aborticide"
"క్లిష్టమైన","abortient"
"క్లుప్తంగా","abortifacient"
"క్లూ","abortin"
"క్వాంటం","aborting"
"క్షణం","abortion"
"క్షమాపణ","abortional"
"క్షమించండి","abortionist"
"క్షమించు","abortionists"
"క్షిపణి","abortions"
"క్షేమం","abortion's"
"ఖండం","abortive"
"ఖండించండి","abortively"
"ఖచ్చితంగా","abortiveness"
"ఖచ్చితత్వం","abortogenic"
"ఖచ్చితమైన","aborts"
"ఖజానా","abortus"
"ఖరీదు","abortuses"
"ఖరీదైన","abos"
"ఖర్చు","abote"
"ఖాతా","Abott"
"ఖాళీ","abouchement"
"ఖైదీ","aboudikro"
"గంజాయి","abought"
"గంట","Aboukir"
"గందరగోళం","aboulia"
"గజిబిజి","aboulias"
"గట్టి","aboulic"
"గట్టిగా","abound"
"గడియారం","abounded"
"గడువు","abounder"
"గడ్డం","abounding"
"గడ్డి","aboundingly"
"గడ్డిబీడు","abounds"
"గణనీయంగా","Abourezk"
