"Sundanese","English"
"cahayaan","abedge"
"cai","Abednego"
"cair","abegge"
"cakrawala","Abey"
"calakan","abeyance"
"calon","abeyances"
"campur","abeyancy"
"campuran","abeyancies"
"candak","abeyant"
"cangcaya","abeigh"
"canggih","ABEL"
"cangkang","Abelard"
"cangkir","abele"
"cap","abeles"
"capé","Abelia"
"cara","Abelian"
"cariosan","Abelicea"
"carita","Abelite"
"carogé","Abell"
"Catetan","Abelmoschus"
"cau","abelmosk"
"cd","abelmosks"
"cék","abelmusk"
"cekap","Abelonian"
"cekelan","Abelson"
"cemerlang","abeltree"
"cent","Abencerrages"
"CEO","abend"
"cerah","abends"
"cerai","Abenezra"
"ceramah","abenteric"
"cet","Abeokuta"
"ceuli","abepithymia"
"ceurik","ABEPP"
"chip","Abercromby"
"cicing","Abercrombie"
"cikikik","Aberdare"
"cilaka","aberdavine"
"cimata","Aberdeen"
"cina","Aberdeenshire"
"cinta","aberdevine"
"cinyusu","Aberdonian"
"ciptaan","aberduvine"
"ciri","Aberfan"
"coba","Aberglaube"
"coklat","Aberia"
"condong","Aberystwyth"
"conto","Abernant"
"cookie","Abernathy"
"coretan","abernethy"
"counter","Abernon"
"cucian","aberr"
"curang","aberrance"
"curiga","aberrancy"
"cutatan","aberrancies"
"CV","aberrant"
"dada","aberrantly"
"Dadah","aberrants"
"daék","aberrate"
"Daérah","aberrated"
"dagang","aberrating"
"daging","aberration"
"dahan","aberrational"
"dahar","aberrations"
"dahsyat","aberrative"
"dalapan","aberrator"
"dalil","aberrometer"
"dampak","aberroscope"
"dana","Abert"
"daptar","aberuncate"
"dapur","aberuncator"
"darat","abesse"
"darurat","abessive"
"dasar","abet"
"dasarna","abetment"
"dasawarsa","abetments"
"dasi","abets"
"data","abettal"
"datang","abettals"
"datar","abetted"
"daun","abetter"
"deal","abetters"
"dealer","abetting"
"dear","abettor"
"debat","abettors"
"debut","Abeu"
"dédéngéan","abevacuation"
"deet","abfarad"
"dek","abfarads"
"deklarasi","ABFM"
"demi","Abgatha"
"démo","ABHC"
"demografi","abhenry"
"démokrasi","abhenries"
"demokratis","abhenrys"
"dendam","abhinaya"
"denok","abhiseka"
"dénsitas","abhominable"
"departemén","abhor"
"depresi","abhorred"
"desainer","abhorrence"
"Désémber","abhorrences"
"dessert","abhorrency"
"detektif","abhorrent"
"detil","abhorrently"
"deui","abhorrer"
"deukeut","abhorrers"
"dewa","abhorrible"
"déwan","abhorring"
"di","abhors"
"diabetes","Abhorson"
"diagnosis","ABI"
"diajar","aby"
"diajukeun","Abia"
"diaksés","Abiathar"
"dialog","Abib"
"dianggo","abichite"
"diari","abidal"
"dibagikeun","abidance"
"dibekelan","abidances"
"dibereskeun","abidden"
"dibikeun","abide"
"dibuktikeun","abided"
"diet","abider"
"digabungkeun","abiders"
"digawé","abides"
"digital","abidi"
"diharepkeun","abiding"
"dilahirkeun","abidingly"
"dilawan","abidingness"
"dimana","Abidjan"
"dimana-mana","Abydos"
"dimensi","Abie"
"dimimitian","abye"
"dinamika","abied"
"dinamis","abyed"
"dinten","abiegh"
"dipaké","abience"
"dipan","abient"
"diperkirakeun","Abies"
"diperlukeun","abyes"
"diperpanjang","abietate"
"dipikanyaho","abietene"
"diplomatik","abietic"
"diréktur","abietin"
"dirina","Abietineae"
"disadiakeun","abietineous"
"disangka","abietinic"
"disebutna","abietite"
"disiplin","Abiezer"
"disk","Abigael"
"diskon","Abigail"
"diskriminasi","abigails"
"diskusi","abigailship"
"distribusi","Abigale"
"disumputkeun","abigeat"
"ditambahkeun","abigei"
"ditangtoskeun","abigeus"
"ditembak","Abihu"
"ditengah","abying"
"ditewak","Abijah"
"ditinggalkeun","Abyla"
"ditulis","abilao"
"dituluykeun","Abilene"
"ditumpurkeun","abiliment"
"diturunkeun","Abilyne"
"ditutup","abilitable"
"diuk","ability"
"diurutkeun","abilities"
"diwangun","ability's"
"dna","abilla"
"dok","abilo"
"dokter","abime"
"doktrin","Abimelech"
"dokumén","Abineri"
"dokumenter","Abingdon"
"dollar","Abinger"
"domain","Abington"
"domba","Abinoam"
"domestik","Abinoem"
"dominan","abintestate"
"dompet","abiogeneses"
"donatur","abiogenesis"
"dongéng","abiogenesist"
"dosa","abiogenetic"
"dosis","abiogenetical"
"download","abiogenetically"
"draf","abiogeny"
"drama","abiogenist"
"dramatis","abiogenous"
"dua","abiology"
"duanana","abiological"
"duit","abiologically"
"duka","abioses"
"dulur","abiosis"
"dunungan","abiotic"
"dunya","abiotical"
"duta","abiotically"
"earn","abiotrophy"
"écéran","abiotrophic"
"écés","Abipon"
"édisi","Abiquiu"
"éféktif","abir"
"éféktivitas","abirritant"
"efisien","abirritate"
"efisiensi","abirritated"
"ego","abirritating"
"eh","abirritation"
"ek","abirritative"
"ekonom","abys"
"ékonomi","Abisag"
"ékosistem","Abisha"
"eksekutif","Abishag"
"ekslusif","Abisia"
"ékspansi","abysm"
"ékspérimén","abysmal"
"eksplisit","abysmally"
"éksplorasi","abysms"
"ékspor","Abyss"
"éksprési","abyssa"
"éksténsif","abyssal"
"ekstrim","abysses"
"elegan","Abyssinia"
"eleh","Abyssinian"
"éléhan","abyssinians"
"éléktronik","abyssobenthonic"
"élit","abyssolith"
"élmuwan","abyssopelagic"
"em","abyss's"
"ema","abyssus"
"e-mail","abiston"
"emas","abit"
"embe","Abitibi"
"ember","Abiu"
"émisi","abiuret"
"émosional","Abixah"
"emper","abject"
"éndah","abjectedness"
"endog","abjection"
"engapan","abjections"
"engap-engapan","abjective"
"engke","abjectly"
"engké","abjectness"
"enteng","abjectnesses"
"éntitas","abjoint"
"enya","abjudge"
"episode","abjudged"
"éra","abjudging"
"Éropa","abjudicate"
"és","abjudicated"
"estate","abjudicating"
"et","abjudication"
"éta","abjudicator"
"etika","abjugate"
"étnis","abjunct"
"euh","abjunction"
"eunteung","abjunctive"
"eureun","abjuration"
"Eureun","abjurations"
"eusi","abjuratory"
"eusian","abjure"
"euweuh","abjured"
"évaluasi","abjurement"
"évolusi","abjurer"
"extension","abjurers"
"faktor","abjures"
"fakultas","abjuring"
"fancy","abkar"
"fase","abkari"
"fasilitas","abkary"
"féderal","Abkhas"
"fenomena","Abkhasia"
"festival","Abkhasian"
"fiksimini","Abkhaz"
"filosofis","Abkhazia"
"filsafat","Abkhazian"
"fisik","abl"
"fiskal","abl."
"fitur","ablach"
"fléksibel","ablactate"
"fokus","ablactated"
"formal","ablactating"
"formasi","ablactation"
"formatna","ablaqueate"
"forum","ablare"
"fosil","A-blast"
"fotografer","ablastemic"
"fotografi","ablastin"
"fraksi","ablastous"
"frékuénsi","ablate"
"fungsi","ablated"
"fungsional","ablates"
"gabung","ablating"
"gabungan","ablation"
"gado","ablations"
"gaduh","ablatitious"
"gagah","ablatival"
"gagal","ablative"
"gagang","ablatively"
"gagasan","ablatives"
"gaib","ablator"
"gajah","ablaut"
"gajih","ablauts"
"galaksi","ablaze"
"galeri","able"
"galon","able-bodied"
"galur","able-bodiedness"
"gambar","ableeze"
"gampil","ablegate"
"gancang","ablegates"
"ganda","ablegation"
"gandum","able-minded"
"gang","able-mindedness"
"gangguan","ablend"
"ganja","ableness"
"ganjil","ablepharia"
"gantar","ablepharon"
"ganteng","ablepharous"
"garasi","Ablepharus"
"garéja","ablepsy"
"garing","ablepsia"
"garis","ableptical"
"garpu","ableptically"
"garuda","abler"
"gas","ables"
"gaul","ablesse"
"gawe","ablest"
"gawir","ablet"
"gaya","ablewhackets"
"gedena","ably"
"gejala","ablings"
"gelandang","ablins"
"gelap","ablock"
"gelar","abloom"
"gelembung","ablow"
"gelo","ABLS"
"gélo","ablude"
"gelung","abluent"
"gelut","abluents"
"gembleng","ablush"
"gén","ablute"
"génder","abluted"
"genep","ablution"
"generasi","ablutionary"
"genetik","ablutions"
"geng","abluvion"
"genius","ABM"
"genre","abmho"
"gentleman","abmhos"
"gently","abmodality"
"gerak","abmodalities"
"gerakan","abn"
"Gerbang","Abnaki"
"gerbong","Abnakis"
"gering","abnegate"
"getih","abnegated"
"getihan","abnegates"
"geulis","abnegating"
"geura-giru","abnegation"
"geus","abnegations"
"geuwat","abnegative"
"giat","abnegator"
"gigireun","abnegators"
"gitar","Abner"
"gizi","abnerval"
"global","abnet"
"globe","abneural"
"golep","abnormal"
"gop","abnormalcy"
"goréng","abnormalcies"
"gosip","abnormalise"
"grafik","abnormalised"
"gram","abnormalising"
"gravitasi","abnormalism"
"grid","abnormalist"
"grup","abnormality"
"gubernur","abnormalities"
"gugatan","abnormalize"
"gugupay","abnormalized"
"guha","abnormalizing"
"gula","abnormally"
"gumantung","abnormalness"
"gumbira","abnormals"
"gunana","abnormity"
"gunung","abnormities"
"guru","abnormous"
"gurun","abnumerable"
"gusti","Abo"
"ha","aboard"
"habitat","aboardage"
"hadé","Abobra"
"hadiah","abococket"
"hadir","abodah"
"hajatan","abode"
"hakékatna","aboded"
"hakim","abodement"
"hal","abodes"
"Halah","abode's"
"halangan","abody"
"halis","aboding"
"Halo","abogado"
"halus","abogados"
"hamba","abohm"
"hampang","abohms"
"hampura","aboideau"
"handap","aboideaus"
"handapeun","aboideaux"
"haneut","aboil"
"hanjakal","aboiteau"
"hanjakalna","aboiteaus"
"hanjelu","aboiteaux"
"hantu","abolete"
"hapunten","abolish"
"haram","abolishable"
"hardware","abolished"
"harepan","abolisher"
"hareup","abolishers"
"haréwos","abolishes"
"hargaan","abolishing"
"hariwang","abolishment"
"harti","abolishments"
"hartina","abolishment's"
"hartosna","abolition"
"has","abolitionary"
"haseup","abolitionise"
"Hasil","abolitionised"
"hasilna","abolitionising"
"hate","abolitionism"
"haté","abolitionist"
"hatena","abolitionists"
"hateup","abolitionize"
"hawa","abolitionized"
"hayam","abolitionizing"
"hayang","abolitions"
"hayu","abolla"
"hébat","abollae"
"heck","aboma"
"hehehehe","abomas"
"hejo","abomasa"
"helikopter","abomasal"
"helm","abomasi"
"henteu","abomasum"
"henteuna","abomasus"
"heran","abomasusi"
"hese","A-bomb"
"heubeul","abominability"
"heueuh","abominable"
"heuh","abominableness"
"heureut","abominably"
"hi","abominate"
"hibah","abominated"
"hiber","abominates"
"hiburan","abominating"
"hideung","abomination"
"hiji","abominations"
"hijian","abominator"
"hiji-hijina","abominators"
"hikmah","abomine"
"hip","abondance"
"hipotésis","Abongo"
"hipotik","abonne"
"hipu","abonnement"
"hirup","aboon"
"hispanik","aborad"
"hiu","aboral"
"hmm","aborally"
"hoki","abord"
"homo","Aboriginal"
"hordeng","aboriginality"
"horéam","aboriginally"
"hormat","aboriginals"
"hormon","aboriginary"
"host","Aborigine"
"hotél","aborigines"
"hubungan","aborigine's"
"hudang","Abor-miri"
"hujan","Aborn"
"hukum","aborning"
"hukuman","a-borning"
"humor","aborsement"
"huntu","aborsive"
"husus","abort"
"hutang","aborted"
"idéal","aborter"
"idéntifikasi","aborters"
"ideologi","aborticide"
"ideologis","abortient"
"idin","abortifacient"
"ieu","abortin"
"Ieuh","aborting"
"iklan","abortion"
"iklas","abortional"
"iklim","abortionist"
"ikon","abortionists"
"ilaharna","abortions"
"ilahi","abortion's"
"ilham","abortive"
"ilmiah","abortively"
"ilusi","abortiveness"
"ilustrasi","abortogenic"
"imah","aborts"
"imam","abortus"
"iman","abortuses"
"imigrasi","abos"
"implengan","abote"
"implikasi","Abott"
"impor","abouchement"
"impressive","aboudikro"
"imut","abought"
"inci","Aboukir"
"indéks","aboulia"
"india","aboulias"
"indikasi","aboulic"
"indikator","abound"
"indit","abounded"
"individu","abounder"
"indung","abounding"
"industri","aboundingly"
"inféksi","abounds"
"inflasi","Abourezk"
"infrastruktur","about"
"ingetan","about-face"
"Inggris","about-faced"
"inisiatif","about-facing"
"injeuman","abouts"
"injil","about-ship"
"inohong","about-shipped"
"inovasi","about-shipping"
"inovatif","about-sledge"
"inpo","about-turn"
"inpormasi","above"
"insentif","aboveboard"
"insinyur","above-board"
"inspektur","above-cited"
"instan","abovedeck"
"institusional","above-found"
"institut","above-given"
"instruksional","aboveground"
"instruktur","abovementioned"
"Instrumén","above-mentioned"
"integrasi","above-named"
"integritas","aboveproof"
"intelektual","above-quoted"
"inten","above-reported"
"interaksi","aboves"
"interior","abovesaid"
"internal","above-said"
"internasional","abovestairs"
"internét","above-water"
"interpretasi","above-written"
"interval","abow"
"inti","abox"
"intim","Abp"
"invasi","ABPC"
"invent","Abqaiq"
"inventaris","abr"
"investasi","abr."
"investor","Abra"
"ipad","abracadabra"
"iphone","abrachia"
"ipis","abrachias"
"iraha","abradable"
"irak","abradant"
"iran","abradants"
"ironi","abrade"
"irung","abraded"
"isin","abrader"
"islam","abraders"
"islami","abrades"
"isolasi","abrading"
"Israél","Abraham"
"istilah","Abrahamic"
"istirahat","Abrahamidae"
"isuk","Abrahamite"
"isukan","Abrahamitic"
"isyarat","Abraham-man"
"italia","Abrahams"
"iteuk","Abrahamsen"
"itungan","Abrahan"
"iwal","abray"
"jaba","abraid"
"jadi","Abram"
"jadwal","Abramis"
"jagong","Abramo"
"jahat","Abrams"
"jajan","Abramson"
"jakét","Abran"
"jaksa","abranchial"
"jalan","abranchialism"
"jalma","abranchian"
"jalu","Abranchiata"
"jalur","abranchiate"
"jam","abranchious"
"jaman","abrasax"
"jamban","abrase"
"jaminan","abrased"
"jamu","abraser"
"jandela","abrash"
"jangjang","abrasing"
"jangji","abrasiometer"
"jangkar","abrasion"
"jangkung","abrasions"
"jangkungna","abrasion's"
"janten","abrasive"
"Januari","abrasively"
"jarak","abrasiveness"
"jarang","abrasivenesses"
"jaring","abrasives"
"jaringan","abrastol"
"jarum","abraum"
"jas","abraxas"
"jauh","abrazite"
"jazz","abrazitic"
"jeans","abrazo"
"jejer","abrazos"
"jelas","abreact"
"jelema","abreacted"
"jempé","abreacting"
"jempol","abreaction"
"jenis","abreactions"
"jéntré","abreacts"
"jepang","abreast"
"jepret","abreed"
"jerman","abrege"
"jero","abreid"
"jerona","abrenounce"
"jet","abrenunciate"
"jeung","abrenunciation"
"jeung/atawa","abreption"
"jieunan","abret"
"jigana","abreuvoir"
"jisim","abri"
"jiwa","abrico"
"jsb","abricock"
"jualan","abricot"
"juara","abridgable"
"judgment","abridge"
"judul","abridgeable"
"jujur","abridged"
"jukut","abridgedly"
"juli","abridgement"
"Jumaah","abridgements"
"jumlah","abridger"
"Juni","abridgers"
"jurang","abridges"
"juri","abridging"
"jurig","abridgment"
"jurnal","abridgments"
"jurnalistik","abrim"
"juru","abrin"
"jus","abrine"
"jutaan","abris"
"ka","abristle"
"kaadilan","abroach"
"kaahlian","abroad"
"kaamanan","Abrocoma"
"kaanggotaan","abrocome"
"kaasup","abrogable"
"kaayaan","abrogate"
"kabagjaan","abrogated"
"kabayang","abrogates"
"kabebasan","abrogating"
"kabel","abrogation"
"kabetot","abrogations"
"kabeungharan","abrogative"
"kabiasaan","abrogator"
"kabina-bina","abrogators"
"kabinét","Abroma"
"kabingungan","Abroms"
"kabodoan","Abronia"
"kabogoh","abrood"
"kabudayaan","abrook"
"kabugaran","abrosia"
"kabuka","abrosias"
"kabungahan","abrotanum"
"kabupaten","abrotin"
"kabur","abrotine"
"kabutuhan","abrupt"
"kaca","abruptedly"
"kacamatan","abrupter"
"kacanduan","abruptest"
"kacang","abruptio"
"kacangan","abruption"
"kacaritakeun","abruptiones"
"kacau","abruptly"
"kacenderungan","abruptness"
"kacida","Abrus"
"kacilakaan","Abruzzi"
"kacindekan","ABS"
"kacurigaan","abs-"
"kadaharan","Absa"
"kadalapan","Absalom"
"kadali","absampere"
"kadatangan","Absaraka"
"kadeudeuh","Absaroka"
"kado","Absarokee"
"kadua","absarokite"
"kaduhung","ABSBH"
"kadutaan","abscam"
"kafé","abscess"
"kagagalan","abscessed"
"kagenep","abscesses"
"kageulisan","abscessing"
"kagiatan","abscession"
"kagok","abscessroot"
"kahadean","abscind"
"kahadéan","abscise"
"kahadiran","abscised"
"kahareup","abscises"
"kahariwang","abscisin"
"kahayang","abscising"
"kahiji","abscisins"
"kahoyong","abscision"
"kai","absciss"
"kaisar","abscissa"
"kajadian","abscissae"
"kajahatan","abscissas"
"kajuaraan","abscissa's"
"kakaisaran","abscisse"
"kakandungan","abscissin"
"kakasih","abscission"
"kakeunaan","abscissions"
"kakristenan","absconce"
"kaku","abscond"
"kakuatan","absconded"
"kakurangan","abscondedly"
"kalahiran","abscondence"
"kalakuan","absconder"
"kalakuanana","absconders"
"kalam","absconding"
"kalangkang","absconds"
"kalapa","absconsa"
"kalaparan","abscoulomb"
"kalawan","abscound"
"kalem","Absecon"
"kalemahan","absee"
"kalénder","absey"
"kalenturan","abseil"
"kaler","abseiled"
"kalér","abseiling"
"kalér-wétaneun","abseils"
"kaleuleuwihi","absence"
"kalibet","absences"
"kalima","absence's"
"kalimah","absent"
"kalinci","absentation"
"kaliru","absented"
"kaliwat","absentee"
"kalkun","absenteeism"
"kalori","absentees"
"kaluar","absentee's"
"Kaluar","absenteeship"
"kaluaran","absenter"
"kalulusan","absenters"
"kalungguhan","absentia"
"kamajuan","absenting"
"kamampuhan","absently"
"kamandang","absentment"
"kamanunggalan","absentminded"
"kamanusaan","absent-minded"
"kamar","absentmindedly"
"kamari","absent-mindedly"
"kaméra","absentmindedness"
"kamerdikaan","absent-mindedness"
"kamiskinan","absentmindednesses"
"kampanyeu","absentness"
"kampung","absents"
"kampus","absfarad"
"kamulyaan","abshenry"
"kamungkinan","Abshier"
"kana","Absi"
"Kanada","absinth"
"kancing","absinthe"
"kandang","absinthes"
"kandaraan","absinthial"
"kandel","absinthian"
"Kanjut","absinthiate"
"kanker","absinthiated"
"kantong","absinthiating"
"kantor","absinthic"
"kantos","absinthiin"
"kanvas","absinthin"
"kanyamanan","absinthine"
"kanyataan","absinthism"
"kanyataanana","absinthismic"
"kaopat","absinthium"
"kaos","absinthol"
"kapal","absinthole"
"kapamilikan","absinths"
"kapamimpinan","Absyrtus"
"kapanggih","absis"
"kapas","absist"
"kapasitas","absistos"
"kapentingan","absit"
"kapercayaan","absmho"
"kapersidenan","absohm"
"kaping","absoil"
"kapitalisme","absolent"
"kapribadian","Absolute"
"kaptén","absolutely"
"kapuasan","absoluteness"
"kaputusan","absoluter"
"karagaman","absolutes"
"karaharjaan","absolutest"
"karajaan","absolution"
"karajinan","absolutions"
"karaketan","absolutism"
"karakter","absolutist"
"karangan","absolutista"
"karanjang","absolutistic"
"karapihan","absolutistically"
"karasa","absolutists"
"karaton","absolutive"
"karbohidrat","absolutization"
"karbon","absolutize"
"karep","absolutory"
"karesep","absolvable"
"kareueus","absolvatory"
"karir","absolve"
"karpét","absolved"
"kartu","absolvent"
"kartun","absolver"
"karuhun","absolvers"
"karuksakan","absolves"
"karung","absolving"
"karunya","absolvitor"
"karusuhan","absolvitory"
"kasabaran","absonant"
"kasadaran","absonous"
"kasadiaan","absorb"
"kasaimbangan","absorbability"
"kasaksian","absorbable"
"kasalahan","absorbance"
"kasangka","absorbancy"
"kasar","absorbant"
"kasarna","absorbed"
"kasatiaan","absorbedly"
"kaséhatan","absorbedness"
"kasempetan","absorbefacient"
"kasimpulan","absorbency"
"kasino","absorbencies"
"kasual","absorbent"
"kasuksésan","absorbents"
"kasulitan","absorber"
"kasus","absorbers"
"kasusah","absorbing"
"katarima","absorbingly"
"kategori","absorbition"
"katerangan","absorbs"
"kateupastian","absorbtion"
"katilu","absorpt"
"katingali","absorptance"
"katingalina","absorptiometer"
"katolik","absorptiometric"
"katujuh","absorption"
"kauangan","absorptional"
"kaulinan","absorptions"
"kauntungan","absorption's"
"Kauntungannana","absorptive"
"kawajiban","absorptively"
"kawani","absorptiveness"
"kawarganagaraan","absorptivity"
"kawasa","absquatulate"
"kawates","absquatulation"
