"Irish","English"
"bhuel","abdominovesical"
"bhunú","Abdon"
"bia","Abdu"
"bialann","abduce"
"bileog","abduced"
"bille","abducens"
"billiún","abducent"
"bind","abducentes"
"Bíobla","abduces"
"bioráin","abducing"
"bite","abduct"
"bitheolaíocht","abducted"
"biúró","abducting"
"blaincéad","abduction"
"blas","abductions"
"blasta","abduction's"
"bláth","abductor"
"bleachtaireachta","abductores"
"bleed","abductors"
"bliantúil","abductor's"
"bloc","abducts"
"blog","Abdul"
"bó","Abdul-Aziz"
"bocht","Abdul-baha"
"bochtaineacht","Abdulla"
"bodhraigh","Abe"
"bog","a-be"
"bogadh","abeam"
"bogearraí","abear"
"boil","abearance"
"boilg","Abebi"
"boilsciú","abecedaire"
"boladh","abecedary"
"bolg","abecedaria"
"bolscaireacht","abecedarian"
"bónas","abecedarians"
"bonn","abecedaries"
"bonneagar","abecedarium"
"bord","abecedarius"
"borgaire","abed"
"borradh","abede"
"bosca","abedge"
"Boss","Abednego"
"bóthar","abegge"
"botún","Abey"
"Bow","abeyance"
"brabhsálaí","abeyances"
"brabús","abeyancy"
"bradach","abeyancies"
"bradán","abeyant"
"braisle","abeigh"
"braiteoir","ABEL"
"branda","Abelard"
"bratach","abele"
"breá","abeles"
"bréag","Abelia"
"bréagach","Abelian"
"bréagadóir","Abelicea"
"bréagán","Abelite"
"Breataine","Abell"
"breathe","Abelmoschus"
"breathnóireacht","abelmosk"
"breathnú","abelmosks"
"Breeze","abelmusk"
"breise","Abelonian"
"breithe","Abelson"
"Breitheamh","abeltree"
"breithiúnach","Abencerrages"
"breithiúnas","abend"
"Breithlá","abends"
"breithniú","Abenezra"
"breosla","abenteric"
"brí","Abeokuta"
"briathartha","abepithymia"
"bríce","ABEPP"
"bricfeasta","Abercromby"
"brídeog","Abercrombie"
"briseadh","Aberdare"
"briste","aberdavine"
"bród","Aberdeen"
"bróg","Aberdeenshire"
"brónach","aberdevine"
"bronntanas","Aberdonian"
"brú","aberduvine"
"bruachbhaile","Aberfan"
"brúidiúil","Aberglaube"
"bruscar","Aberia"
"bua","Aberystwyth"
"buachaill","Abernant"
"buaic","Abernathy"
"Buail","abernethy"
"buaiteoir","Abernon"
"buama","aberr"
"buan","aberrance"
"buartha","aberrancy"
"buck","aberrancies"
"bug","aberrant"
"buí","aberrantly"
"buicéad","aberrants"
"buidéal","aberrate"
"buile","aberrated"
"buille","aberrating"
"buíoch","aberration"
"buíochas","aberrational"
"buiséad","aberrations"
"bullet","aberrative"
"bun","aberrator"
"bunachar","aberrometer"
"bunaidh","aberroscope"
"bunaithe","Abert"
"bunaitheoir","aberuncate"
"bunch","aberuncator"
"bunrang","abesse"
"bunreacht","abessive"
"bunreachtúla","abet"
"bunúsach","abetment"
"bunúsacha","abetments"
"bus","abets"
"Butt","abettal"
"cábáin","abettals"
"cabhlach","abetted"
"Cabhrach","abetter"
"cabhrú","abetters"
"cábla","abetting"
"cac","abettor"
"cacamas","abettors"
"Cad","Abeu"
"cadás","abevacuation"
"cage","abfarad"
"caibidil","abfarads"
"caidéil","ABFM"
"caidreamh","Abgatha"
"caife","ABHC"
"cailín","abhenry"
"cáilíocht","abhenries"
"cáiliúil","abhenrys"
"cailleach","abhinaya"
"caillte","abhiseka"
"caillteanas","abhominable"
"cáineadh","abhor"
"cainéal","abhorred"
"cainníocht","abhorrence"
"cainteoir","abhorrences"
"caipitil","abhorrency"
"cairde","abhorrent"
"cairdeas","abhorrently"
"cairdiúil","abhorrer"
"cairpéad","abhorrers"
"cairt","abhorrible"
"cáis","abhorring"
"caisleán","abhors"
"caite","Abhorson"
"caiteachas","ABI"
"caith","aby"
"caitheadh","Abia"
"caitheamh","Abiathar"
"caithfidh","Abib"
"cáithnín","abichite"
"Caitliceach","abidal"
"calaois","abidance"
"calma","abidances"
"calorie","abidden"
"campa","abide"
"campas","abided"
"cánach","abider"
"candy","abiders"
"caoga","abides"
"caoin","abidi"
"caol","abiding"
"caolchúiseach","abidingly"
"caomhnóir","abidingness"
"caomhnú","Abidjan"
"caorach","Abydos"
"cap","Abie"
"capall","abye"
"capitalism","abied"
"captaen","abyed"
"cara","abiegh"
"carachtar","abience"
"Carbaihiodráit","abient"
"carbhat","Abies"
"carbóin","abyes"
"carn","abietate"
"carr","abietene"
"carraig","abietic"
"carraigeacha","abietin"
"cart","Abietineae"
"cárta","abietineous"
"carthanas","abietinic"
"cartlann","abietite"
"cartún","Abiezer"
"carve","Abigael"
"cas","Abigail"
"cás","abigails"
"casadh","abigailship"
"casta","Abigale"
"castacht","abigeat"
"casúr","abigei"
"cat","abigeus"
"cath","Abihu"
"Cathain","abying"
"cathaoir","Abijah"
"cathartha","Abyla"
"cd","abilao"
"cé","Abilene"
"ceacht","abiliment"
"ceachtar","Abilyne"
"cead","abilitable"
"céad","ability"
"ceadú","abilities"
"ceadúnas","ability's"
"ceallraí","abilla"
"cealú","abilo"
"ceamara","abime"
"ceangal","Abimelech"
"ceanglófar","Abineri"
"ceann","Abingdon"
"céanna","Abinger"
"ceannaí","Abington"
"ceannaire","Abinoam"
"ceannaireacht","Abinoem"
"ceannaitheoir","abintestate"
"ceannasach","abiogeneses"
"ceanncheathrú","abiogenesis"
"ceannlíne","abiogenesist"
"ceap","abiogenetic"
"ceapachán","abiogenetical"
"ceapaire","abiogenetically"
"ceaptha","abiogeny"
"ceardaíocht","abiogenist"
"ceardlann","abiogenous"
"cearnach","abiology"
"ceart","abiological"
"ceartú","abiologically"
"ceasaíneo","abioses"
"céatadán","abiosis"
"ceathar","abiotic"
"ceathrar","abiotical"
"ceathrú","abiotically"
"céile","abiotrophy"
"ceiliúradh","abiotrophic"
"céim","Abipon"
"céime","Abiquiu"
"céimí","abir"
"ceimic","abirritant"
"ceimiceacha","abirritate"
"céimnithe","abirritated"
"ceint","abirritating"
"ceist","abirritation"
"celebrity","abirritative"
"cent","abys"
"ceoil","Abisag"
"Ceol","Abisha"
"ceolchoirm","Abishag"
"ceoldráma","Abisia"
"ceoltóir","abysm"
"chaighdeánach","abysmal"
"-cháil","abysmally"
"chailleadh","abysms"
"chailleann","Abyss"
"cháineadh","abyssa"
"chairt","abyssal"
"chaitheamh","abysses"
"chanbhás","Abyssinia"
"chandamach","Abyssinian"
"chaomhnú","abyssinians"
"chara","abyssobenthonic"
"characterize","abyssolith"
"charm","abyssopelagic"
"chase","abyss's"
"chatagóir","abyssus"
"chathair","abiston"
"chathaoirleach","abit"
"cheadú","Abitibi"
"Cheanada","Abiu"
"cheangal","abiuret"
"cheannach","Abixah"
"cheat","abject"
"cheer","abjectedness"
"cheist","abjection"
"cheistneoir","abjections"
"chew","abjective"
"chiallaíonn","abjectly"
"chíche","abjectness"
"chinneadh","abjectnesses"
"chiontaíonn","abjoint"
"chiontóir","abjudge"
"chladach","abjudged"
"chleachtóir","abjudging"
"Chliste","abjudicate"
"chloisteáil","abjudicated"
"chlúdach","abjudicating"
"chodladh","abjudication"
"choigeartú","abjudicator"
"choinbhinsiún","abjugate"
"choinneáil","abjunct"
"chóir","abjunction"
"chóireáil","abjunctive"
"choisteoir","abjuration"
"chomaoin","abjurations"
"-chomhábhar","abjuratory"
"chomhdháil","abjure"
"chomhlachú","abjured"
"chomhtháthú","abjurement"
"chompánach","abjurer"
"Chonaic","abjurers"
"chonspóid","abjures"
"chop","abjuring"
"chos","abkar"
"chosaint","abkari"
"chósta","abkary"
"chothú","Abkhas"
"christian","Abkhasia"
"chroí","Abkhasian"
"chruthú","Abkhaz"
"chuairteoir","Abkhazia"
"chuckle","Abkhazian"
"chuid","abl"
"chúirt","abl."
"chúis","ablach"
"chulaith","ablactate"
"chultúrtha","ablactated"
"chum","ablactating"
"chumadh","ablactation"
"chumasú","ablaqueate"
"chun","ablare"
"chur","A-blast"
"chúrsa","ablastemic"
"chustaiméirí","ablastin"
"ciall","ablastous"
"ciallmhar","ablate"
"ciaptha","ablated"
"cibé","ablates"
"cic","ablating"
"cigire","ablation"
"cill","ablations"
"cine","ablatitious"
"cineál","ablatival"
"cineálta","ablative"
"ciníoch","ablatively"
"ciníocha","ablatives"
"ciníochas","ablator"
"cinn","ablaut"
"cinneadh","ablauts"
"cinniúint","ablaze"
"cinnte","able"
"cínte","able-bodied"
"cion","able-bodiedness"
"ciontacht","ableeze"
"ciontú","ablegate"
"ciorcad","ablegates"
"ciorcal","ablegation"
"cíos","able-minded"
"círéib","able-mindedness"
"ciseal","ablend"
"ciseán","ableness"
"cispheil","ablepharia"
"ciste","ablepharon"
"cisteáin","ablepharous"
"cistin","Ablepharus"
"cite","ablepsy"
"cith","ablepsia"
"ciúin","ableptical"
"claíomh","ableptically"
"cláir","abler"
"claochlú","ables"
"claonadh","ablesse"
"claontacht","ablest"
"clár","ablet"
"clárú","ablewhackets"
"clasaiceach","ably"
"clásal","ablings"
"cleachtadh","ablins"
"cleamhnas","ablock"
"cléireach","abloom"
"cliant","ablow"
"cliceáil","ABLS"
"clinic","ablude"
"cliniciúla","abluent"
"cliste","abluents"
"cloch","ablush"
"clog","ablute"
"clogad","abluted"
"cloí","ablution"
"clós","ablutionary"
"closet","ablutions"
"cluaisín","abluvion"
"cluas","ABM"
"club","abmho"
"clúdach","abmhos"
"cluiche","abmodality"
"cnag","abmodalities"
"cnaipe","abn"
"cnámh","Abnaki"
"cneasaigh","Abnakis"
"cnó","abnegate"
"cnoc","abnegated"
"cobhsaí","abnegates"
"cobhsaíocht","abnegating"
"cócaire","abnegation"
"cócaireacht","abnegations"
"cód","abnegative"
"codán","abnegator"
"codladh","abnegators"
"cófra","Abner"
"cogadh","abnerval"
"cógais","abnet"
"cogar","abneural"
"cógas","abnormal"
"cognaíocha","abnormalcy"
"coibhéiseach","abnormalcies"
"coigeartú","abnormalise"
"coiléar","abnormalised"
"coilíneacht","abnormalising"
"coimeád","abnormalism"
"coimeádach","abnormalist"
"coimeádán","abnormality"
"cóimheas","abnormalities"
"coimhlint","abnormalize"
"coimisinéir","abnormalized"
"coimisiún","abnormalizing"
"coincheap","abnormally"
"coincréit","abnormalness"
"coinín","abnormals"
"coinneal","abnormity"
"coinsias","abnormities"
"cóip","abnormous"
"cóipcheart","abnumerable"
"coireacht","Abo"
"cóireáil","aboard"
"coiriúil","aboardage"
"coirneal","Abobra"
"cóisir","abococket"
"coiste","abodah"
"cóiste","abode"
"coitianta","aboded"
"Coláiste","abodement"
"colaistéaról","abodes"
"colonial","abode's"
"colscartha","abody"
"colún","aboding"
"colúnaí","abogado"
"comhad","abogados"
"comhaimseartha","abohm"
"comh-aireachta","abohms"
"comhaireamh","aboideau"
"comhairle","aboideaus"
"comhairleoir","aboideaux"
"comhairleoireacht","aboil"
"Comhairleoirí","aboiteau"
"comhaontú","aboiteaus"
"comhar","aboiteaux"
"Comhar","abolete"
"comharsa","abolish"
"comharsanacht","abolishable"
"comhartha","abolished"
"comhbhá","abolisher"
"comhbhrón","abolishers"
"comhcheilg","abolishes"
"comhchoiteann","abolishing"
"comhdháil","abolishment"
"comhdhéanamh","abolishments"
"comhdhéanta","abolishment's"
"comhdhearcadh","abolition"
"comhéadan","abolitionary"
"comhfhiosach","abolitionise"
"comhfhreagraí","abolitionised"
"comhghaoil","abolitionising"
"comhghleacaí","abolitionism"
"comhionann","abolitionist"
"comhionannas","abolitionists"
"comhlach","abolitionize"
"Comhlachas","abolitionized"
"comhlacht","abolitionizing"
"comhlán","abolitions"
"comhlíonadh","abolla"
"comhoibriú","abollae"
"comhordaitheoir","aboma"
"comhpháirte","abomas"
"comhpháirteach","abomasa"
"comhpháirtíocht","abomasal"
"comhrá","abomasi"
"comhrac","abomasum"
"comhraic","abomasus"
"comhréiteach","abomasusi"
"comhrialtas","A-bomb"
"comhshaoil","abominability"
"comhsheasmhach","abominable"
"comhshó","abominableness"
"comhtháthú","abominably"
"comhthéacs","abominate"
"Comic","abominated"
"commander","abominates"
"comóradh","abominating"
"comórtas","abomination"
"compord","abominations"
"compordach","abominator"
"cónaidhme","abominators"
"conaire","abomine"
"cónaithe","abondance"
"conas","Abongo"
"conceive","abonne"
"conception","abonnement"
"confront","aboon"
"congressional","aborad"
"congressman","aboral"
"conradh","aborally"
"Conradh","abord"
"conraitheoir","Aboriginal"
"conspóideach","aboriginality"
"contae","aboriginally"
"contend","aboriginals"
"contrapháirt","aboriginary"
"contúirt","Aborigine"
"contúirteach","aborigines"
"contúirteacha","aborigine's"
"cop","Abor-miri"
"córas","Aborn"
"corcra","aborning"
"corda","a-borning"
"coróin","aborsement"
"corparáid","aborsive"
"corparáideach","abort"
"corps","aborted"
"corr","aborter"
"corrlach","aborters"
"cos","aborticide"
"cosaint","abortient"
"cosán","abortifacient"
"cosanta","abortin"
"cosantóir","aborting"
"cosc","abortion"
"cósta","abortional"
"costas","abortionist"
"cosúil","abortionists"
"cosúlacht","abortions"
"cóta","abortion's"
"cothabháil","abortive"
"cothaithe","abortively"
"cothrom","abortiveness"
"cothromaíocht","abortogenic"
"Cothromas","aborts"
"cothromóid","abortus"
"couch","abortuses"
"cowboy","abos"
"crack","abote"
"craic","Abott"
"craiceann","abouchement"
"crann","aboudikro"
"craobhchomórtais","abought"
"craoladh","Aboukir"
"crapadh","aboulia"
"crawl","aboulias"
"cré","aboulic"
"creachadóir","abound"
"créachta","abounded"
"creat","abounder"
"creature","abounding"
"creek","aboundingly"
"creideamh","abounds"
"Creideamh","Abourezk"
"creidim","about"
"creidimh","about-face"
"creidmheas","about-faced"
"creidmheasa","about-facing"
"críoch","abouts"
"críochnaigh","about-ship"
"críochnúil","about-shipped"
"crios","about-shipping"
"criostail","about-sledge"
"críostaíocht","about-turn"
"critéir","above"
"criticiúil","aboveboard"
"criú","above-board"
"cróga","above-cited"
"croí","abovedeck"
"croinic","above-found"
"croith","above-given"
"crua","aboveground"
"cruach","abovementioned"
"cruachta","above-mentioned"
"crua-earraí","above-named"
"crúca","aboveproof"
"cruinn","above-quoted"
"cruinne","above-reported"
"cruinneas","aboves"
"cruinniú","abovesaid"
"cruithneacht","above-said"
"crush","abovestairs"
"cruth","above-water"
"cruthaigh","above-written"
"cruthaitheach","abow"
"cruthaitheacht","abox"
"cruthaitheoir","Abp"
"cruthúnas","ABPC"
"cuaille","Abqaiq"
"cuain","abr"
"cuairt","abr."
"Cuan","Abra"
"cuar","abracadabra"
"cuardaigh","abrachia"
"CUE","abrachias"
"cuí","abradable"
"cuid","abradant"
"cuideachta","abradants"
"cúig","abrade"
"cúige","abraded"
"cúigiú","abrader"
"cuimhne","abraders"
"cuimhneacháin","abrades"
"cuimhnigh","abrading"
"cuimilt","Abraham"
"cuimsitheach","Abrahamic"
"cúinne","Abrahamidae"
"cuir","Abrahamite"
"cuireadh","Abrahamitic"
"cúirtéis","Abraham-man"
"cúis","Abrahams"
"cúiseamh","Abrahamsen"
"cúisigh","Abrahan"
"cúiteamh","abray"
"cúlchiste","abraid"
"cúlra","Abram"
"cúltaca","Abramis"
"cultúr","Abramo"
"cúlú","Abrams"
"cuma","Abramson"
"cumaisc","Abran"
"cumannach","abranchial"
"cumarsáid","abranchialism"
"cumas","abranchian"
"cumasach","Abranchiata"
"cumhacht","abranchiate"
"cumhachtach","abranchious"
"cúnamh","abrasax"
"cuntar","abrase"
"cuntas","abrased"
"cuntasacht","abraser"
"cuntasaíocht","abrash"
"cúntóir","abrasing"
"cupán","abrasiometer"
"cúpla","abrasion"
"cur","abrasions"
"curaclam","abrasion's"
"curadh","abrasive"
"cúram","abrasively"
"cúramach","abrasiveness"
"cúrsáil","abrasivenesses"
"cuspóir","abrasives"
"cúthail","abrastol"
"dá","abraum"
"dabht","abraxas"
"daichead","abrazite"
"daidí","abrazitic"
"dáileadh","abrazo"
"dáileog","abrazos"
"daingean","abreact"
"dair","abreacted"
"dáiríre","abreacting"
"dall","abreaction"
"dalta","abreactions"
"damáiste","abreacts"
"dámh","abreast"
"dámhachtain","abreed"
"damhsa","abrege"
"dán","abreid"
"dána","abrenounce"
"daoine","abrenunciate"
"daonáireamh","abrenunciation"
"daonlathach","abreption"
"daonlathas","abret"
"daonnacht","abreuvoir"
"daonra","abri"
"daor","abrico"
"dara","abricock"
"dare","abricot"
"dáta","abridgable"
"dath","abridge"
"dathúil","abridgeable"
"de","abridged"
"dea-bhail","abridgedly"
"deacair","abridgement"
"deacracht","abridgements"
"déag","abridger"
"déagóir","abridgers"
"dealbh","abridges"
"dealbhóireacht","abridging"
"dealer","abridgment"
"deamhan","abridgments"
"Déan","abrim"
"déanach","abrin"
"deannach","abrine"
"déantóir","abris"
"déantúsaíochta","abristle"
"dearadh","abroach"
"dearbhú","abroad"
"dearcadh","Abrocoma"
"Déardaoin","abrocome"
"dearfach","abrogable"
"dearg","abrogate"
"dearmad","abrogated"
"deartháir","abrogates"
"dearthóir","abrogating"
"deas","abrogation"
"deasc","abrogations"
"deasghnáth","abrogative"
"deatach","abrogator"
"dedicate","abrogators"
"Deem","Abroma"
"defeat","Abroms"
"deic","Abronia"
"deich","abrood"
"deighleog","abrook"
"déileáil","abrosia"
"déimeagrafacha","abrosias"
"deimhniú","abrotanum"
"déine","abrotin"
"deireadh","abrotine"
"deirfiúr","abrupt"
"deiridh","abruptedly"
"D'éirigh","abrupter"
"deis","abruptest"
"Democrat","abruptio"
"deoch","abruption"
"deonachán","abruptiones"
"deonaigh","abruptly"
"deontas","abruptness"
"deontóir","Abrus"
"descend","Abruzzi"
"d'fhéadfadh","ABS"
"dháileadh","abs-"
"dhaingniú","Absa"
"dhéanamh","Absalom"
"dhearbhú","absampere"
"dheisiú","Absaraka"
"dhímholadh","Absaroka"
"dhíol","Absarokee"
"dhíorthú","absarokite"
"dhiúltú","ABSBH"
"dhó","abscam"
"dhorn","abscess"
"dhroim","abscessed"
"dhúiseacht","abscesses"
"dhúnadh","abscessing"
"Dia","abscession"
"diabhal","abscessroot"
"diaga","abscind"
"diagacht","abscise"
"diagnóis","abscised"
"diaibéiteas","abscises"
"dialann","abscisin"
"Diamond","abscising"
"dian","abscisins"
"diana","abscision"
"dídeanaí","absciss"
"difear","abscissa"
"dífhostaíocht","abscissae"
"dífhostú","abscissas"
"difríocht","abscissa's"
"difriúil","abscisse"
"digiteach","abscissin"
"dílis","abscission"
"dílseacht","abscissions"
"dinimic","absconce"
"dinimiciúil","abscond"
"dínit","absconded"
"dinnéar","abscondedly"
"díobháil","abscondence"
"díobhála","absconder"
"díograis","absconders"
"díol","absconding"
"díolacháin","absconds"
"díoltas","absconsa"
"díoltóir","abscoulomb"
"díomá","abscound"
"díon","Absecon"
"diosca","absee"
"dioscúrsa","absey"
"díospóid","abseil"
"díospóireacht","abseiled"
"díreach","abseiling"
"díriú","abseils"
"DIRT","absence"
"discover","absences"
"diúltach","absence's"
"diúltú","absent"
"diúracán","absentation"
"dlí","absented"
"Dlí","absentee"
"dlínse","absenteeism"
"dlíodóir","absentees"
"dlisteanacha","absentee's"
"dlite","absenteeship"
"dliteanas","absenter"
"dlús","absenters"
"dlúth","absentia"
"DNA","absenting"
"do","absently"
"dó","absentment"
"doc","absentminded"
"dócha","absent-minded"
"dochar","absentmindedly"
"dóchas","absent-mindedly"
"dóchasach","absentmindedness"
"dochreidte","absent-mindedness"
"dochtúir","absentmindednesses"
"dóchúlacht","absentness"
"dodhéanta","absents"
"dofheicthe","absfarad"
"doiciméad","abshenry"
"doiléir","Abshier"
"doimhneacht","Absi"
"Doirt","absinth"
"doirteadh","absinthe"
"doirteal","absinthes"
"dola","absinthial"
"dólás","absinthian"
"doll","absinthiate"
"dollar","absinthiated"
"domain","absinthiating"
"domhain","absinthic"
"domhan","absinthiin"
"domhanda","absinthin"
"domhantarraingt","absinthine"
"donn","absinthism"
"doras","absinthismic"
"dorcha","absinthium"
"dorchadas","absinthol"
"dosaen","absinthole"
"dosheachanta","absinths"
"Downtown","Absyrtus"
"draein","absis"
"dragan","absist"
"draíochta","absistos"
"drámaíocht","absit"
"drámatúil","absmho"
"dramhaíl","absohm"
"dréacht","absoil"
"dreasachta","absolent"
"droch","Absolute"
"drochamhras","absolutely"
"drochbhéasach","absoluteness"
"drogall","absoluter"
"droichead","absolutes"
"dromchla","absolutest"
"drown","absolution"
"druga","absolutions"
"druil","absolutism"
