"Finnish","English"
"ahtaalle","aberroscope"
"ahtaasti","Abert"
"ahtauma","aberuncate"
"ahtaus","aberuncator"
"ahtausliike","abesse"
"ahtaustyö","abessive"
"ahtauttaa","abet"
"ahtautua","abetment"
"ahtautuma","abetments"
"ahteri","abets"
"Ahti","abettal"
"ahti","abettals"
"ahtisaarna","abetted"
"ahtoilma","abetter"
"ahtojää","abetters"
"ahtopaine","abetting"
"ahtoutua","abettor"
"ahven","abettors"
"ahvenheinä","Abeu"
"ahvenruoho","abevacuation"
"ahvenvita","abfarad"
"ai","abfarads"
"aidanne","ABFM"
"aidanrako","Abgatha"
"aidanseiväs","ABHC"
"aidanvieri","abhenry"
"aidas","abhenries"
"aidaskääpä","abhenrys"
"aidata","abhinaya"
"aidoittaa","abhiseka"
"aidosti","abhominable"
"AIDS","abhor"
"aie","abhorred"
"aiemmin","abhorrence"
"aiempi","abhorrences"
"aiennus","abhorrency"
"aientaa","abhorrent"
"aiepöytäkirja","abhorrently"
"aiesopimus","abhorrer"
"aihe","abhorrers"
"aiheellinen","abhorrible"
"aiheellisesti","abhorring"
"aiheellistaa","abhors"
"aiheellistua","Abhorson"
"aiheellisuus","ABI"
"aiheenmukainen","aby"
"aiheenvalinta","Abia"
"aiheeton","Abiathar"
"aiheettomasti","Abib"
"aiheettomuus","abichite"
"aihelma","abidal"
"aihepiiri","abidance"
"aihetodiste","abidances"
"aiheuttaa","abidden"
"aiheuttaja","abide"
"aiheutua","abided"
"aiheutus","abider"
"aihio","abiders"
"aijai","abides"
"aika","abidi"
"aikaansaada","abiding"
"aikaansaamaton","abidingly"
"aikaansaamattomuus","abidingness"
"aikaansaannos","Abidjan"
"aikaansaanti","Abydos"
"aikaansaapa","Abie"
"aikaansaava","abye"
"aikaero","abied"
"aikaerorasitus","abyed"
"aikaihminen","abiegh"
"aikailla","abience"
"aikailu","abient"
"aikainen","Abies"
"aikaisemmin","abyes"
"aikaisin","abietate"
"aikaisintaan","abietene"
"aikaistaa","abietic"
"aikaistua","abietin"
"aikaistus","Abietineae"
"aikaisuus","abietineous"
"aikajakso","abietinic"
"aikajärjestys","abietite"
"aikakauppa","Abiezer"
"aikakausi","Abigael"
"aikakausjulkaisu","Abigail"
"aikakauskirja","abigails"
"aikakauslehdistö","abigailship"
"aikakauslehti","Abigale"
"aikakirja","abigeat"
"aikakone","abigei"
"aikakysymys","abigeus"
"aikakytkin","Abihu"
"aikalainen","abying"
"aikalaukaisin","Abijah"
"aikalisä","Abyla"
"aikalukko","abilao"
"aikaluokka","Abilene"
"aikamatka","abiliment"
"aikamatkailu","Abilyne"
"aikamatkustus","abilitable"
"aikamerkki","ability"
"aikamies","abilities"
"aikamiespoika","ability's"
"aikamiina","abilla"
"aikamitta","abilo"
"aikamoinen","abime"
"aikamuoto","Abimelech"
"aikamäärä","Abineri"
"aikanaan","Abingdon"
"aikansa","Abinger"
"aikapalkka","Abington"
"aikapalkkainen","Abinoam"
"aikapalkkaus","Abinoem"
"aikapeli","abintestate"
"aikapommi","abiogeneses"
"aikapula","abiogenesis"
"aikarahtaus","abiogenesist"
"aikarajoitus","abiogenetic"
"aikasytytin","abiogenetical"
"aikasytytteinen","abiogenetically"
"aikasytytyksinen","abiogeny"
"aikasytytys","abiogenist"
"aikataulu","abiogenous"
"aikatauluttaa","abiology"
"aikatiedotus","abiological"
"aikaurakka","abiologically"
"aikauttaa","abioses"
"aikautus","abiosis"
"aikavalotus","abiotic"
"aikavaraus","abiotical"
"aikaveloitus","abiotically"
"aikavyöhyke","abiotrophy"
"aikaväli","abiotrophic"
"aikayksikkö","Abipon"
"aikido","Abiquiu"
"aikoa","abir"
"aikoinaan","abirritant"
"aikojaan","abirritate"
"aikomus","abirritated"
"aikuinen","abirritating"
"aikuisikä","abirritation"
"aikuiskaste","abirritative"
"aikuiskasvatus","abys"
"aikuiskoulutus","Abisag"
"aikuisopetus","Abisha"
"aikuisopiskelija","Abishag"
"aikuistua","Abisia"
"aikuisuus","abysm"
"ailahdella","abysmal"
"ailahdus","abysmally"
"ailahtaa","abysms"
"ailahtelu","Abyss"
"ailakki","abyssa"
"aimo","abyssal"
"aina","abysses"
"ainainen","Abyssinia"
"ainaiseksi","Abyssinian"
"ainaisjäsen","abyssinians"
"ainaisvakuutus","abyssobenthonic"
"ainakaan","abyssolith"
"ainakin","abyssopelagic"
"ainavihanta","abyss's"
"aine","abyssus"
"aineellinen","abiston"
"aineellistaa","abit"
"aineellistua","Abitibi"
"aineellistuma","Abiu"
"aineellisuus","abiuret"
"aineenkirjoittaja","Abixah"
"aineenkoetus","abject"
"aineenopettaja","abjectedness"
"aineenvaihdunta","abjection"
"aineenvaihduntahäiriö","abjections"
"aineeton","abjective"
"aineettomuus","abjectly"
"ainehiukkanen","abjectness"
"aineistaa","abjectnesses"
"aineisto","abjoint"
"aineistokoe","abjudge"
"aineistua","abjudged"
"aineistuma","abjudging"
"ainejakoinen","abjudicate"
"ainejärjestö","abjudicated"
"ainekirjoitus","abjudicating"
"ainekoostumus","abjudication"
"aineksenkeruu","abjudicator"
"aineluokka","abjugate"
"aineluokkajärjestelmä","abjunct"
"ainemäärä","abjunction"
"aineopinnot","abjunctive"
"aineosa","abjuration"
"aines","abjurations"
"ainesana","abjuratory"
"aineseos","abjure"
"aineskokoelma","abjured"
"ainesosa","abjurement"
"ainespuu","abjurer"
"aineyhdistelmä","abjurers"
"ainiaaksi","abjures"
"ainiaan","abjuring"
"ainiaksi","abkar"
"ainian","abkari"
"aino","abkary"
"ainoa","Abkhas"
"ainoalaatuinen","Abkhasia"
"ainoalaatuisuus","Abkhasian"
"ainoastaan","Abkhaz"
"ainoiskappale","Abkhazia"
"ainokainen","Abkhazian"
"ainu","abl"
"ainut","abl."
"ainutkertainen","ablach"
"ainutkertaisuus","ablactate"
"ainutlaatuinen","ablactated"
"ainutlaatuisuus","ablactating"
"aioli","ablactation"
"airedalenterrieri","ablaqueate"
"airo","ablare"
"aironlapa","A-blast"
"aironveto","ablastemic"
"airopari","ablastin"
"airut","ablastous"
"aisa","ablate"
"aisakello","ablated"
"aisankannattaja","ablates"
"aisapari","ablating"
"aisata","ablation"
"aisaus","ablations"
"aisti","ablatitious"
"aistia","ablatival"
"aistienvarainen","ablative"
"aistiharha","ablatively"
"aistihavainto","ablatives"
"aistikas","ablator"
"aistikkaasti","ablaut"
"aistikkuus","ablauts"
"aistillinen","ablaze"
"aistillisesti","able"
"aistillisuus","able-bodied"
"aistimaailma","able-bodiedness"
"aistimus","ableeze"
"aistin","ablegate"
"aistinelin","ablegates"
"aistinsolu","ablegation"
"aistivaikutelma","able-minded"
"aistivammainen","able-mindedness"
"aita","ablend"
"aitajuoksija","ableness"
"aitajuoksu","ablepharia"
"aitapensas","ablepharon"
"aitaus","ablepharous"
"aitio","Ablepharus"
"aitiopaikka","ablepsy"
"aito","ablepsia"
"aitoa","ableptical"
"aitoamaryllis","ableptically"
"aitoperäinen","abler"
"aitosuomalainen","ables"
"aitosuomalaisuus","ablesse"
"aitosyöpä","ablest"
"aitotumallinen","ablet"
"aitous","ablewhackets"
"aitovieri","ably"
"aitta","ablings"
"aituri","ablins"
"aivan","ablock"
"aivastaa","abloom"
"aivastella","ablow"
"aivastus","ABLS"
"aivastuttaa","ablude"
"aivina","abluent"
"aivipisto","abluents"
"aivo","ablush"
"aivoaine","ablute"
"aivofilmi","abluted"
"aivohalvaus","ablution"
"aivohermo","ablutionary"
"aivoinvalidi","ablutions"
"aivoitus","abluvion"
"aivojenpesu","ABM"
"aivokalvo","abmho"
"aivokalvontulehdus","abmhos"
"aivokammio","abmodality"
"aivokapasiteetti","abmodalities"
"aivokasvain","abn"
"aivokirurgi","Abnaki"
"aivokuolema","Abnakis"
"aivokuollut","abnegate"
"aivokuori","abnegated"
"aivokurkiainen","abnegates"
"aivokuume","abnegating"
"aivokuva","abnegation"
"aivokuvaus","abnegations"
"aivokäyrä","abnegative"
"aivoleikkaus","abnegator"
"aivolisäke","abnegators"
"aivopaine","Abner"
"aivopestä","abnerval"
"aivopesu","abnet"
"aivopuolisko","abneural"
"aivoriihi","abnormal"
"aivorunko","abnormalcy"
"aivosairaus","abnormalcies"
"aivosolu","abnormalise"
"aivosto","abnormalised"
"aivosyntyinen","abnormalising"
"aivosähkökäyrä","abnormalism"
"aivot","abnormalist"
"aivotoiminta","abnormality"
"aivotrusti","abnormalities"
"aivotulehdus","abnormalize"
"aivotyö","abnormalized"
"aivotärähdys","abnormalizing"
"aivovamma","abnormally"
"aivovammainen","abnormalness"
"aivovaurio","abnormals"
"aivovauriolapsi","abnormity"
"aivoverenkierto","abnormities"
"aivoverenvuoto","abnormous"
"aivoveritulppa","abnumerable"
"aivovienti","Abo"
"aivovoimistelu","aboard"
"aivovuoto","aboardage"
"ajaa","Abobra"
"ajaantua","abococket"
"ajaja","abodah"
"ajallaan","abode"
"ajallinen","aboded"
"ajallisesti","abodement"
"ajallisuus","abodes"
"ajanhaaskaus","abode's"
"ajanhukka","abody"
"ajanjako","aboding"
"ajanjakso","abogado"
"ajankohta","abogados"
"ajankohtainen","abohm"
"ajankohtaisohjelma","abohms"
"ajankohtaistaa","aboideau"
"ajankohtaistua","aboideaus"
"ajankohtaisuus","aboideaux"
"ajankulu","aboil"
"ajankuluke","aboiteau"
"ajankuva","aboiteaus"
"ajankuvaus","aboiteaux"
"ajanlasku","abolete"
"ajanmittaus","abolish"
"ajanmukainen","abolishable"
"ajanmukaisesti","abolished"
"ajanmukaistaa","abolisher"
"ajanmukaistua","abolishers"
"ajanmukaisuus","abolishes"
"ajanmääritys","abolishing"
"ajanottaja","abolishment"
"ajanotto","abolishments"
"ajanpuute","abolishment's"
"ajansäästö","abolition"
"ajantasainen","abolitionary"
"ajantasaistaa","abolitionise"
"ajantasaistus","abolitionised"
"ajantasaisuus","abolitionising"
"ajantasajärjestelmä","abolitionism"
"ajantasakäsittely","abolitionist"
"ajantilaus","abolitionists"
"ajantuhlaus","abolitionize"
"ajanvaraus","abolitionized"
"ajanviete","abolitionizing"
"ajanvieteautomaatti","abolitions"
"ajanvietekirja","abolla"
"ajanvietelehti","abollae"
"ajanvieteohjelma","aboma"
"ajanvietepeli","abomas"
"ajanvietteellinen","abomasa"
"ajanvietto","abomasal"
"ajassa","abomasi"
"ajassaan","abomasum"
"ajastaa","abomasus"
"ajastaika","abomasusi"
"ajastin","A-bomb"
"ajastus","abominability"
"ajatella","abominable"
"ajatelma","abominableness"
"ajatollah","abominably"
"ajaton","abominate"
"ajattaa","abominated"
"ajattelematon","abominates"
"ajattelemattomasti","abominating"
"ajattelemattomuus","abomination"
"ajattelija","abominations"
"ajattelu","abominator"
"ajattelukyky","abominators"
"ajattelukykyinen","abomine"
"ajattelutapa","abondance"
"ajatteluttaa","Abongo"
"ajattelutyö","abonne"
"ajattomasti","abonnement"
"ajattomuus","aboon"
"ajatuksekas","aborad"
"ajatuksellinen","aboral"
"ajatuksellisesti","aborally"
"ajatuksenjuoksu","abord"
"ajatuksenkulku","Aboriginal"
"ajatuksenriento","aboriginality"
"ajatuksensiirto","aboriginally"
"ajatuksenvapaus","aboriginals"
"ajatukseton","aboriginary"
"ajatuksettomasti","Aborigine"
"ajatuksettomuus","aborigines"
"ajatus","aborigine's"
"ajatusharha","Abor-miri"
"ajatuskatko","Aborn"
"ajatusketju","aborning"
"ajatuskoe","a-borning"
"ajatuskupla","aborsement"
"ajatusmaailma","aborsive"
"ajatusrakennelma","abort"
"ajatussisällys","aborted"
"ajatussisältö","aborter"
"ajatussuunta","aborters"
"ajatustapa","aborticide"
"ajatustenlukija","abortient"
"ajatustenluku","abortifacient"
"ajatustensiirto","abortin"
"ajatustenvaihto","aborting"
"ajatustoiminta","abortion"
"ajatustyö","abortional"
"ajatusviiva","abortionist"
"ajatusvirhe","abortionists"
"ajatusvoimistelu","abortions"
"ajatusyhteys","abortion's"
"ajautua","abortive"
"ajelehtia","abortively"
"ajella","abortiveness"
"ajelu","abortogenic"
"ajeluttaa","aborts"
"ajettavuus","abortus"
"ajettua","abortuses"
"ajettuma","abos"
"ajetuksissa","abote"
"ajo","Abott"
"ajoaika","abouchement"
"ajoankkuri","aboudikro"
"ajoharjoittelu","abought"
"ajoharjoittelurata","Aboukir"
"ajoissa","aboulia"
"ajoittaa","aboulias"
"ajoittain","aboulic"
"ajoittainen","abound"
"ajoittaisuus","abounded"
"ajoittua","abounder"
"ajoitus","abounding"
"ajojahti","aboundingly"
"ajojää","abounds"
"ajokaista","Abourezk"
"ajokas","about"
"ajokeli","about-face"
"ajokelpoinen","about-faced"
"ajokielto","about-facing"
"ajokilometri","abouts"
"ajokki","about-ship"
"ajokoe","about-shipped"
"ajokoira","about-shipping"
"ajokoirametsästys","about-sledge"
"ajokortti","about-turn"
"ajokunto","above"
"ajokuntoinen","aboveboard"
"ajolinja","above-board"
"ajolähtö","above-cited"
"ajomatka","abovedeck"
"ajomestari","above-found"
"ajometsästys","above-given"
"ajomies","aboveground"
"ajomiina","abovementioned"
"ajonestin","above-mentioned"
"ajonestolaite","above-named"
"ajoneuvo","aboveproof"
"ajoneuvoyhdistelmä","above-quoted"
"ajonopeus","above-reported"
"ajopeli","aboves"
"ajopiirturi","abovesaid"
"ajoporo","above-said"
"ajopuu","abovestairs"
"ajopuuteoria","above-water"
"ajopyynti","above-written"
"ajopäiväkirja","abow"
"ajorata","abox"
"ajos","Abp"
"ajosuunta","ABPC"
"ajotaito","Abqaiq"
"ajotekniikka","abr"
"ajotie","abr."
"ajotietokone","Abra"
"ajotilanne","abracadabra"
"ajoturvallisuus","abrachia"
"ajoura","abrachias"
"ajovalot","abradable"
"ajoverkko","abradant"
"ajoviima","abradants"
"ajuri","abrade"
"ajuruoho","abraded"
"akaatti","abrader"
"akallinen","abraders"
"akana","abrades"
"akankaali","abrading"
"akansieni","Abraham"
"akantti","Abrahamic"
"akanvirta","Abrahamidae"
"akasia","Abrahamite"
"akateemikko","Abrahamitic"
"akateeminen","Abraham-man"
"akateemisesti","Abrahams"
"akateemisuus","Abrahamsen"
"akatemia","Abrahan"
"akileija","abray"
"akilleenkantapää","abraid"
"akillesjänne","Abram"
"akka","Abramis"
"akkainlehti","Abramo"
"akkamainen","Abrams"
"akkamaisesti","Abramson"
"akkamaisuus","Abran"
"akkautua","abranchial"
"akkavalta","abranchialism"
"akklimatisaatio","abranchian"
"akklimatisoida","Abranchiata"
"akklimatisointi","abranchiate"
"akklimatisoitua","abranchious"
"akkommodaatio","abrasax"
"akkommodaatiokyky","abrase"
"akkreditoida","abrased"
"akkreditointi","abraser"
"akku","abrash"
"akkukäyttöinen","abrasing"
"akkulaturi","abrasiometer"
"akkumulaattori","abrasion"
"akkuna","abrasions"
"akkusatiivi","abrasion's"
"akkutoiminen","abrasive"
"akne","abrasively"
"akoittua","abrasiveness"
"akordi","abrasivenesses"
"akrobaatti","abrasives"
"akrobatia","abrastol"
"akronyymi","abraum"
"akryylimaalaus","abraxas"
"akryylimuovi","abrazite"
"akryyliväri","abrazitic"
"akseli","abrazo"
"akselikuormitus","abrazos"
"akselintappi","abreact"
"akselipaino","abreacted"
"akselisto","abreacting"
"akseliteho","abreaction"
"akselivallat","abreactions"
"akseliväli","abreacts"
"aksentti","abreast"
"aksenttimerkki","abreed"
"akseptantti","abrege"
"akseptata","abreid"
"akseptaus","abrenounce"
"aksepti","abrenunciate"
"akseptoida","abrenunciation"
"akseptointi","abreption"
"aksiaalinen","abret"
"aksiaalisesti","abreuvoir"
"aksiaalisuus","abri"
"aksiomaattinen","abrico"
"aksiomaattisesti","abricock"
"aksiomaattisuus","abricot"
"aksiomi","abridgable"
"aksiooma","abridge"
"akti","abridgeable"
"aktiivat","abridged"
"aktiivi","abridgedly"
"aktiivihiili","abridgement"
"aktiivihiilisuodatin","abridgements"
