"Malayalam","English"
"അതും","abadengo"
"അതുകൊണ്ടു","abadia"
"അതുപോലെ","Abadite"
"അതുല്യമായ","abaff"
"അതുവഴി","abaft"
"അതെ","Abagael"
"അതേ","Abagail"
"അതേസമയം","Abagtha"
"അത്","abay"
"അത്തരം","abayah"
"അത്താഴം","Abailard"
"അത്ഭുതം","abaisance"
"അത്ഭുതകരമായ","abaised"
"അത്ഭുതപൂർവമായ്","abaiser"
"അത്ഭുതവും","abaisse"
"അത്യന്തം","abaissed"
"അത്യാവശ്യമാണ്","abaka"
"അത്ലറ്റിക്","Abakan"
"അഥവാ","abakas"
"അദൃശ്യമായ","Abakumov"
"അധിക","abalation"
"അധികം","abalienate"
"അധികമായി","abalienated"
"അധികാരം","abalienating"
"അധികാരപരിധി","abalienation"
"അധികാരപ്പെടുത്തുക","abalone"
"അധിനിവേശം","abalones"
"അധ്യക്ഷസ്ഥാനം","Abama"
"അധ്യാപകൻ","abamp"
"അധ്യായം","abampere"
"അധ്വാനം","abamperes"
"അനന്തമായ","abamps"
"അനന്തരഫലം","Abana"
"അനന്തരാവകാശം","aband"
"അനലിസ്റ്റ്","abandon"
"അനായാസം","abandonable"
"അനിവാര്യമായ","abandoned"
"അനിശ്ചിതത്വം","abandonedly"
"അനുകമ്പ","abandonee"
"അനുകൂലം","abandoner"
"അനുഗ്രഹം","abandoners"
"അനുഗ്രഹിക്കുക","abandoning"
"അനുചിതമായ","abandonment"
"അനുനയിപ്പിക്കുക","abandonments"
"അനുപാതം","abandons"
"അനുഭവം","abandum"
"അനുഭവിച്ചിട്ടുണ്ട്","abanet"
"അനുമതി","abanga"
"അനുമാനം","Abanic"
"അനുമാനിക്കാം","abannition"
"അനുമാനിക്കുക","Abantes"
"അനുയായി","abapical"
"അനുയോജ്യം","abaptiston"
"അനുയോജ്യമായ","abaptistum"
"അനുവദിക്കുക","Abarambo"
"അനുസരിക്കുക","Abarbarea"
"അന്തരീക്ഷം","Abaris"
"അന്തർലീനമായ","abarthrosis"
"അന്തസ്സ്","abarticular"
"അന്താരാഷ്ട്ര","abarticulation"
"അന്തേവാസി","Abas"
"അന്ധകാരം","abase"
"അന്ധൻ","abased"
"അന്യഗ്രഹജീവി","abasedly"
"അന്യായമായ","abasedness"
"അന്വേഷകൻ","abasement"
"അന്വേഷണം","abasements"
"അന്വേഷിക്കുക","abaser"
"അപകടം","abasers"
"അപകടകരമായ","abases"
"അപമര്യാദയായ","Abasgi"
"അപരിചിതൻ","abash"
"അപലപിക്കുന്നു","abashed"
"അപായം","abashedly"
"അപൂർവ്വം","abashedness"
"അപൂർവ്വമായി","abashes"
"അപേക്ഷ","abashing"
"അപ്പം","abashless"
"അപ്പാർട്ട്മെന്റ്","abashlessly"
"അപ്പീൽ","abashment"
"അപ്പുറം","abashments"
"അപ്രതീക്ഷിതമായ","abasia"
"അപ്രത്യക്ഷമാകുന്നു","abasias"
"അപ്ലിക്കേഷൻ","abasic"
"അപ്സെറ്റ്","abasing"
"അഭയം","abasio"
"അഭയാർത്ഥി","abask"
"അഭാവം","abassi"
"അഭിനന്ദനം","Abassieh"
"അഭിനന്ദിക്കുന്നു","Abassin"
"അഭിനിവേശം","abastard"
"അഭിപ്രായം","abastardize"
"അഭിഭാഷകൻ","abastral"
"അഭിമാനിക്കുന്നു","abatable"
"അഭിമുഖം","abatage"
"അഭിലാഷം","Abate"
"അഭിവൃദ്ധിപ്പെടുത്തുക","abated"
"അഭ്യർത്ഥന","abatement"
"അഭ്യസിപ്പിക്കുന്നത്","abatements"
"അമർത്തുക","abater"
"അമിതമായ","abaters"
"അമൂർത്തമായ","abates"
"അമേരിക്കൻ","abatic"
"അമ്പത്","abating"
"അമ്പ്","abatis"
"അമ്മ","abatised"
"അമ്മായി","abatises"
"അമ്മാവൻ","abatjour"
"അമ്മൂമ്മ","abatjours"
"അയക്കുക","abaton"
"അയഞ്ഞ","abator"
"അയൽക്കാരൻ","abators"
"അയൽപ്പക്കം","ABATS"
"അരങ്ങേറ്റം","abattage"
"അരങ്ങ്","abattis"
"അരി","abattised"
"അരികിൽ","abattises"
"അരുവി","abattoir"
"അർത്ഥം","abattoirs"
"അർത്ഥമാക്കുന്നത്","abattu"
"അർത്ഥവത്തായ","abattue"
"അർദ്ധരാത്രി","Abatua"
"അർപ്പിക്കുക","abature"
"അർഹതയുള്ള","abaue"
"അർഹിക്കുന്നു","abave"
"അറ","abaxial"
"അറബ്","abaxile"
"അറസ്റ്റ്","abaze"
"അറിഞ്ഞിരിക്കുക","abb"
"അറിയപ്പെടുന്നത്","Abba"
"അറിയാം","abbacy"
"അറിയിക്കുക","abbacies"
"അറിവില്ലാത്തവൻ","abbacomes"
"അറിവില്ലായ്മ","Abbadide"
"അറിവ്","Abbai"
"അറേ","abbaye"
"അറ്റം","abbandono"
"അറ്റാച്ചുചെയ്യുക","abbas"
"അലക്കൽ","abbasi"
"അലഞ്ഞുതിരിയുക","Abbasid"
"അലമാര","abbassi"
"അലറുക","Abbassid"
"അലാറം","Abbasside"
"അല്പം","Abbate"
"അല്ല","abbatial"
"അല്ലാതെ","abbatical"
"അല്ലാത്തപക്ഷം","abbatie"
"അല്ലെങ്കിൽ","Abbe"
"അളവ്","Abbey"
"അഴിമതി","abbeys"
"അഴിമതിക്കാരൻ","abbey's"
"അഴുക്കായ","abbeystead"
"അഴുക്ക്","abbeystede"
"അവകാശം","abbes"
"അവക്തമായ","abbess"
"അവഗണിക്കുക","abbesses"
"അവതരണം","abbest"
"അവതാരകൻ","Abbevilean"
"അവധി","Abbeville"
"അവധിക്കാലം","Abbevillian"
"അവൻ","Abbi"
"അവനെ","Abby"
"അവന്യൂ","Abbie"
"അവന്റെ","Abbye"
"അവബോധം","Abbyville"
"അവയവം","abboccato"
"അവരുടെ","abbogada"
"അവരെ","Abbot"
"അവർ","abbotcy"
"അവലോകനം","abbotcies"
"അവൾ","abbotnullius"
"അവളുടെ","abbotric"
"അവശേഷിക്കുന്നു","abbots"
"അവസരം","abbot's"
"അവസരത്തിൽ","Abbotsen"
"അവസാനത്തെ","Abbotsford"
"അവസാനിക്കുന്നു","abbotship"
"അവസ്ഥ","abbotships"
"അവാർഡ്","Abbotson"
"അവിടെ","Abbotsun"
"അവിശ്വസനീയം","Abbott"
"അവിശ്വസനീയമാംവിധം","Abbottson"
"അവിശ്വസനീയമായ","Abbottstown"
"അശുദ്ധമാക്കല്","Abboud"
"അസംബന്ധം","abbozzo"
"അസംബ്ലി","ABBR"
"അസംസ്കൃത","abbrev"
"അസാധാരണമായ","abbreviatable"
"അസാധ്യം","abbreviate"
"അസുഖം","abbreviated"
"അസുഖകരമായ","abbreviately"
"അസൂയയുള്ള","abbreviates"
"അസോസിയേറ്റ്","abbreviating"
"അസോസിയേഷൻ","abbreviation"
"അസ്തിത്വം","abbreviations"
"അസ്ഥി","abbreviator"
"അഹംഭാവം","abbreviatory"
"ആ","abbreviators"
"ആംഗ്യം","abbreviature"
"ആകർഷകമായ","abbroachment"
"ആകർഷണം","ABC"
"ആകർഷണീയമായ","abcess"
"ആകർഷിക്കുക","abcissa"
"ആകാംക്ഷയോടെ","abcoulomb"
"ആകാശം","ABCs"
"ആകൃതി","abd"
"ആകെ","abdal"
"ആക്കം","abdali"
"ആക്രമണം","abdaria"
"ആക്രമണാത്മക","abdat"
"ആക്രമിക്കുക","Abdel"
"ആക്രോശിക്കുക","Abd-el-Kadir"
"ആഖ്യാതാവ്","Abd-el-Krim"
"ആഖ്യാനം","Abdella"
"ആഗിരണം","Abderhalden"
"ആഗോള","Abderian"
"ആഗ്രഹം","Abderite"
"ആഗ്രഹിക്കുക","Abderus"
"ആഗ്രഹിക്കുന്നു","abdest"
"ആഘാതം","Abdias"
"ആഘോഷിക്കാൻ","abdicable"
"ആഘോഷം","abdicant"
"ആങ്കർ","abdicate"
"ആചാരം","abdicated"
"ആടുകൾ","abdicates"
"ആട്","abdicating"
"ആട്രിബ്യൂട്ട്","abdication"
"ആൺ","abdications"
"ആൺകുട്ടി","abdicative"
"ആണയിടുക","abdicator"
"ആണവ","Abdiel"
"ആണി","abditive"
"ആണ്ക്കുട്ടിയായിരുന്നെങ്കില്","abditory"
"ആത്മവിശ്വാസം","abdom"
"ആത്മഹത്യ","abdomen"
"ആത്മാവ്","abdomens"
"ആത്മീയം","abdomen's"
"ആത്യന്തികമായ","abdomina"
"ആത്യന്തികമായി","abdominal"
"ആദിവാസി","Abdominales"
"ആദ്യം","abdominalia"
"ആധുനികമായ","abdominalian"
"ആൻഡ്രോയിഡ്","abdominally"
"ആന","abdominals"
"ആനന്ദം","abdominoanterior"
"ആന്തരികം","abdominocardiac"
"ആപ്പിൾ","abdominocentesis"
"ആഫ്രിക്കൻ","abdominocystic"
"ആഭരണങ്ങൾ","abdominogenital"
"ആഭ്യന്തര","abdominohysterectomy"
"ആമാശയം","abdominohysterotomy"
"ആമുഖം","abdominoposterior"
"ആയിട്ടും","abdominoscope"
"ആയിത്തീരുന്നു","abdominoscopy"
"ആയിരം","abdominothoracic"
"ആയിരിക്കും","abdominous"
"ആയുധം","abdomino-uterotomy"
"ആരംഭിക്കുക","abdominovaginal"
"ആരംഭിക്കുന്നു","abdominovesical"
"ആരാ","Abdon"
"ആരായാലും","Abdu"
"ആരും","abduce"
"ആരുടെ","abduced"
"ആരെ","abducens"
"ആരെങ്കിലും","abducent"
"ആരോഗ്യം","abducentes"
"ആരോഗ്യമുള്ള","abduces"
"ആരോപണം","abducing"
"ആരോപിച്ചു","abduct"
"ആർഐപി","abducted"
"ആർക്കിടെക്റ്റ്","abducting"
"ആർക്കും","abduction"
"ആർക്കൈവ്","abductions"
"ആർദ്ര","abduction's"
"ആറാമത്","abductor"
"ആറ്","abductores"
"ആൽഫ","abductors"
"ആൽബം","abductor's"
"ആലിംഗനം","abducts"
"ആളുകൾ","Abdul"
"ആഴം","Abdul-Aziz"
"ആഴത്തിൽ","Abdul-baha"
"ആഴമുള്ള","Abdulla"
"ആഴ്ച","Abe"
"ആവർത്തിച്ച്","a-be"
"ആവശ്യം","abeam"
"ആവശ്യപ്പെടുന്നു","abear"
"ആവശ്യമാണ്","abearance"
"ആവശ്യമായ","Abebi"
"ആവാസവ്യവസ്ഥ","abecedaire"
"ആവിഷ്കാരം","abecedary"
"ആവൃത്തി","abecedaria"
"ആവേശം","abecedarian"
"ആവേശകരമായ","abecedarians"
"ആവേശഭരിതനായി","abecedaries"
"ആശങ്ക","abecedarium"
"ആശങ്കപ്പെട്ടു","abecedarius"
"ആശയം","abed"
"ആശയക്കുഴപ്പം","abede"
"ആശയക്കുഴപ്പത്തിലാക്കുക","abedge"
"ആശയപരമായ","Abednego"
"ആശയവിനിമയം","abegge"
"ആശുപത്രി","Abey"
"ആശ്ചര്യം","abeyance"
"ആശ്ചര്യപ്പെടുത്തുന്നു","abeyances"
"ആശ്ചര്യപ്പെട്ടു","abeyancy"
"ആശ്രയം","abeyancies"
"ആശ്രയിക്കുന്നു","abeyant"
"ആശ്രയിച്ചിരിക്കുന്നു","abeigh"
"ആശ്രിത","ABEL"
"ആശ്വാസം","Abelard"
"ആസക്തി","abele"
"ആസിഡ്","abeles"
"ആസൂത്രണം","Abelia"
"ആസ്തി","Abelian"
"ആസ്ഥാനം","Abelicea"
"ആസ്വദിക്കൂ","Abelite"
"ആസ്ഹോൾ","Abell"
"ആഹ്","Abelmoschus"
"ഇംഗ്ലീഷ്","abelmosk"
"ഇക്വിറ്റി","abelmosks"
"ഇഞ്ച്","abelmusk"
"ഇടത്തരം","Abelonian"
"ഇടത്തെ","Abelson"
"ഇടനാഴി","abeltree"
"ഇടപഴകുക","Abencerrages"
"ഇടപാട്","abend"
"ഇടപെടൽ","abends"
"ഇടപെടാൻ","Abenezra"
"ഇടപെടുക","abenteric"
"ഇടയിൽ","Abeokuta"
"ഇടയ്ക്കിടെ","abepithymia"
"ഇടറുക","ABEPP"
"ഇടവഴി","Abercromby"
"ഇടവേള","Abercrombie"
"ഇടിവ്","Aberdare"
"ഇടുങ്ങിയ","aberdavine"
"ഇടുപ്പ്","Aberdeen"
"ഇട്ടു","Aberdeenshire"
"ഇണ","aberdevine"
"ഇണയെ","Aberdonian"
"ഇതിനകം","aberduvine"
"ഇതിഹാസം","Aberfan"
"ഇൻ","Aberglaube"
"ഇൻപുട്ട്","Aberia"
"ഇൻവെന്ററി","Aberystwyth"
"ഇൻഷുറൻസ്","Abernant"
"ഇൻസ്ട്രക്ടർ","Abernathy"
"ഇൻസ്പെക്ടർ","abernethy"
"ഇൻസ്റ്റലേഷൻ","Abernon"
"ഇൻസ്റ്റിറ്റ്യൂട്ട്","aberr"
"ഇനം","aberrance"
"ഇനി","aberrancy"
"ഇനിയും","aberrancies"
"ഇന്ത്യൻ","aberrant"
"ഇന്ദ്രിയം","aberrantly"
"ഇന്ധനം","aberrants"
"ഇന്നലെ","aberrate"
"ഇന്ന്","aberrated"
"ഇന്റർനെറ്റ്","aberrating"
"ഇന്റർഫേസ്","aberration"
"ഇന്റീരിയർ","aberrational"
"ഇപ്പോൾ","aberrations"
"ഇമെയിൽ","aberrative"
"ഇ-മെയിൽ","aberrator"
"ഇര","aberrometer"
"ഇരട്ട","aberroscope"
"ഇരട്ടി","Abert"
"ഇരിക്കുക","aberuncate"
"ഇരിപ്പിടം","aberuncator"
"ഇരുണ്ട്","abesse"
"ഇരുപത്","abessive"
"ഇരുമ്പ്","abet"
"ഇറക്കുമതി","abetment"
"ഇറാഖി","abetments"
"ഇറാനിയൻ","abets"
"ഇറുകിയ","abettal"
"ഇറ്റാലിയൻ","abettals"
"ഇല","abetted"
"ഇലക്ട്രിക്","abetter"
"ഇലക്ട്രിക്കൽ","abetters"
"ഇലക്ട്രോണിക്","abetting"
"ഇല്ല","abettor"
"ഇല്ലാതാക്കുക","abettors"
"ഇല്ലാതെയാക്കുവാൻ","Abeu"
"ഇളക്കുക","abevacuation"
"ഇളമുറയായ","abfarad"
"ഇഴയുക","abfarads"
"ഇവ","ABFM"
"ഇവിടെ","Abgatha"
"ഇഷ്ടിക","ABHC"
"ഇഷ്യൂ","abhenry"
"ഇസ്രായേൽ","abhenries"
"ഇസ്ലാം","abhenrys"
"ഇസ്ലാമിക","abhinaya"
"ഈ","abhiseka"
"ഈടാക്കുക","abhominable"
"ഈന്തപ്പന","abhor"
"ഈയിടെയായി","abhorred"
"ഉം","abhorrence"
"ഉചിതമായ","abhorrences"
"ഉച്ച","abhorrency"
"ഉച്ചകഴിഞ്ഞ്","abhorrent"
"ഉച്ചകോടി","abhorrently"
"ഉച്ചത്തിൽ","abhorrer"
"ഉച്ചഭക്ഷണം","abhorrers"
"ഉച്ചാരണം","abhorrible"
"ഉടൻ","abhorring"
"ഉടനീളം","abhors"
"ഉടനെ","Abhorson"
"ഉടമ","ABI"
"ഉടമസ്ഥാവകാശം","aby"
"ഉടമ്പടി","Abia"
"ഉടുപ്പു","Abiathar"
"ഉണരുക","Abib"
"ഉണ്ടാക്കുക","abichite"
"ഉണ്ടായിരുന്നിട്ടും","abidal"
"ഉണ്ട്","abidance"
"ഉത്കണ്ഠ","abidances"
"ഉത്കണ്ഠാജനകമായ","abidden"
"ഉത്തരം","abide"
"ഉത്തരവാദിത്തം","abided"
"ഉത്തരവാദിയായ","abider"
"ഉത്തേജനം","abiders"
"ഉത്തേജിപ്പിക്കുക","abides"
"ഉത്പാദകമായ","abidi"
"ഉത്പാദനം","abiding"
"ഉത്പാദനക്ഷമത","abidingly"
"ഉത്ഭവം","abidingness"
"ഉത്സവം","Abidjan"
"ഉദാരമനസ്കൻ","Abydos"
"ഉദാഹരണം","Abie"
"ഉദിക്കുക","abye"
"ഉദ്ദേശം","abied"
"ഉദ്ദേശത്തോടെ","abyed"
"ഉദ്ദേശിക്കുന്നത്","abiegh"
"ഉദ്ദേശ്യം","abience"
"ഉദ്ധരണി","abient"
"ഉദ്ധരിക്കുക","Abies"
"ഉദ്യോഗസ്ഥൻ","abyes"
"ഉദ്യോഗസ്ഥർ","abietate"
"ഉദ്വമനം","abietene"
"ഉന്നംതെറ്റുക","abietic"
"ഉപകരണം","abietin"
"ഉപകരണങ്ങൾ","Abietineae"
"ഉപഗ്രഹം","abietineous"
"ഉപദേശം","abietinic"
"ഉപദേശകൻ","abietite"
"ഉപദേശിക്കുക","Abiezer"
"ഉപദേഷ്ടാവ്","Abigael"
"ഉപന്യാസം","Abigail"
"ഉപഭോക്താവ്","abigails"
"ഉപഭോഗം","abigailship"
"ഉപയോക്താവ്","Abigale"
"ഉപയോഗം","abigeat"
"ഉപയോഗപ്പെടുത്തുക","abigei"
"ഉപയോഗപ്രദമായ","abigeus"
"ഉപയോഗശൂന്യമായ","Abihu"
"ഉപയോഗിക്കുക","abying"
"ഉപയോഗിച്ചു","Abijah"
"ഉപരിതലം","Abyla"
"ഉപസംഹാരം","abilao"
"ഉപേക്ഷിക്കുക","Abilene"
"ഉപ്പ്","abiliment"
"ഉമ്മരപ്പടി","Abilyne"
"ഉയരം","abilitable"
"ഉയരമുള്ള","ability"
"ഉയരുക","abilities"
"ഉയർത്തുക","ability's"
"ഉയർന്ന","abilla"
"ഉയർന്നു","abilo"
"ഉയർന്നുവരുന്നത്","abime"
"ഉരുകുക","Abimelech"
"ഉരുക്ക്","Abineri"
"ഉരുത്തിരിഞ്ഞു","Abingdon"
"ഉരുളക്കിഴങ്ങ്","Abinger"
"ഉരുളുക","Abington"
"ഉരുളുന്നു","Abinoam"
"ഉറക്കം","Abinoem"
"ഉറങ്ങുന്നു","abintestate"
"ഉറച്ച","abiogeneses"
"ഉറച്ചു","abiogenesis"
"ഉറപ്പാക്കുക","abiogenesist"
"ഉറപ്പാണ്","abiogenetic"
"ഉറപ്പിക്കുക","abiogenetical"
"ഉറപ്പുതരുന്നു","abiogenetically"
"ഉറവിടം","abiogeny"
"ഉൽപ്പന്നം","abiogenist"
"ഉൽപ്പാദിപ്പിക്കുക","abiogenous"
"ഉൾക്കടൽ","abiology"
"ഉൾക്കാഴ്ച","abiological"
"ഉൾക്കൊള്ളുന്നു","abiologically"
"ഉൾപ്പെടുന്നു","abioses"
"ഉൾപ്പെടെ","abiosis"
"ഉൾപ്പെട്ടിരിക്കുന്നു","abiotic"
"ഉള്ളടക്കം","abiotical"
"ഉള്ളത്","abiotically"
"ഉള്ളി","abiotrophy"
"ഉള്ളിൽ","abiotrophic"
"ഉഷ്ണമേഖലയിലുള്ള","Abipon"
"ഊഞ്ഞാലാടുക","Abiquiu"
"ഊതുക","abir"
"ഊന്നിപ്പറയല്","abirritant"
"ഊമ","abirritate"
"ഊമ്പി","abirritated"
"ഊർജ്ജം","abirritating"
"ഊഹക്കച്ചവടം","abirritation"
"ഊഹിക്കുക","abirritative"
"ഊഹൂ","abys"
"ഋജുവായത്","Abisag"
"എ","Abisha"
"എംബസി","Abishag"
"എക്സിക്യൂട്ടീവ്","Abisia"
"എക്സ്ക്ലൂസീവ്","abysm"
"എക്സ്ട്രാക്റ്റ്","abysmal"
"എങ്കിൽ","abysmally"
"എങ്കിലും","abysms"
"എങ്ങനെ","Abyss"
"എങ്ങനെയെങ്കിലും","abyssa"
"എഞ്ചിൻ","abyssal"
"എഞ്ചിനീയർ","abysses"
"എഞ്ചിനീയറിംഗ്","Abyssinia"
"എടുക്കുക","Abyssinian"
"എട്ടാമത്തേത്","abyssinians"
"എട്ട്","abyssobenthonic"
"എഡിറ്റർ","abyssolith"
"എണ്ണ","abyssopelagic"
"എണ്ണമറ്റ","abyss's"
"എണ്ണുക","abyssus"
"എതിരായി","abiston"
"എതിരാളി","abit"
"എതിർക്കുക","Abitibi"
"എതിർത്ത","Abiu"
"എതിർപ്പ്","abiuret"
"എതിർവശത്ത്","Abixah"
"എതൃകക്ഷി","abject"
"എത്തിക്കുക","abjectedness"
"എത്തിച്ചേരുക","abjection"
"എത്തിച്ചേരുന്നു","abjections"
"എന്തായാലും","abjective"
"എന്തും","abjectly"
"എന്തുകൊണ്ട്","abjectness"
"എന്തുതന്നെയായാലും","abjectnesses"
"എന്തോ","abjoint"
"എന്ത്","abjudge"
"എന്നെ","abjudged"
"എന്നെങ്കിലും","abjudging"
"എന്നേക്കും","abjudicate"
"എന്ന്","abjudicated"
"എന്റർപ്രൈസ്","abjudicating"
"എന്റേത്","abjudication"
"എപ്പിസോഡ്","abjudicator"
"എപ്പോൾ","abjugate"
"എപ്പോഴും","abjunct"
"എപ്പോഴെങ്കിലും","abjunction"
"എയർലൈൻ","abjunctive"
"എറിയുക","abjuration"
"എലി","abjurations"
"എലിവേറ്റർ","abjuratory"
"എല്ലാം","abjure"
"എല്ലായിടത്തും","abjured"
"എല്ലാവരും","abjurement"
"എളിമയുള്ള","abjurer"
"എളുപ്പത്തിൽ","abjurers"
"എളുപ്പമാണ്","abjures"
"എഴുതിയത്","abjuring"
"എഴുതുക","abkar"
"എഴുത്തു","abkari"
"എഴുത്തുകാരൻ","abkary"
"എഴുന്നേൽക്കുക","Abkhas"
"എവിടെ","Abkhasia"
"എവിടെയായിരുന്നാലും","Abkhasian"
"എവിടെയും","Abkhaz"
"എവിടെയോ","Abkhazia"
"എസ്കേപ്പ്","Abkhazian"
"എസ്റ്റേറ്റ്","abl"
"ഏകദേശം","abl."
"ഏകാഗ്രത","ablach"
"ഏകാന്ത","ablactate"
"ഏകാന്തമായ","ablactated"
"ഏകോപിപ്പിക്കുക","ablactating"
"ഏക്കർ","ablactation"
"ഏജൻസി","ablaqueate"
"ഏജന്റ്","ablare"
"ഏതാണ്ട്","A-blast"
"ഏതുസമയത്തും","ablastemic"
"ഏതെങ്കിലും","ablastin"
"ഏതോഒരാള്","ablastous"
"ഏത്","ablate"
"ഏപ്രിൽ","ablated"
"ഏറ്റവും","ablates"
"ഏറ്റുപറയുക","ablating"
"ഏറ്റുമുട്ടൽ","ablation"
"ഏറ്റെടുക്കുക","ablations"
"ഏഴാമത്തേത്","ablatitious"
"ഏഴ്","ablatival"
"ഏഷ്യൻ","ablative"
"ഐ","ablatively"
"ഐക്കൺ","ablatives"
"ഐക്യം","ablator"
"ഐക്യപ്പെട്ടു","ablaut"
"ഐഡന്റിറ്റി","ablauts"
"ഐപാഡ്","ablaze"
"ഐഫോൺ","able"
"ഐറിഷ്","able-bodied"
"ഐസൊലേഷൻ","able-bodiedness"
"ഐസ്","ableeze"
"ഒക്ടോബർ","ablegate"
"ഒടുവിൽ","ablegates"
"ഒത്തുകൂടൽ","ablegation"
"ഒന്നിക്കുക","able-minded"
"ഒന്നിലധികം","able-mindedness"
"ഒന്നുകിൽ","ablend"
"ഒന്നുമില്ല","ableness"
"ഒന്ന്","ablepharia"
"ഒപ്പം","ablepharon"
"ഒമ്പത്","ablepharous"
"ഒരിക്കലും","Ablepharus"
"ഒരിക്കല്","ablepsy"
"ഒരിടത്തുമില്ല","ablepsia"
"ഒരുപക്ഷേ","ableptical"
"ഒരുപോലെ","ableptically"
"ഒരുമിച്ച്","abler"
"ഒരുവിധം","ables"
"ഒരേപോലെ","ablesse"
"ഒരേസമയം","ablest"
"ഒറിജിനൽ","ablet"
"ഒറ്റപ്പെടുത്തുക","ablewhackets"
"ഒറ്റയ്ക്ക്","ably"
"ഒറ്റിക്കൊടുക്കുക","ablings"
"ഒലിവ്","ablins"
"ഒളിച്ചുനടക്കുക","ablock"
"ഒളിമ്പിക്","abloom"
"ഒളിമ്പിക്സ്","ablow"
"ഒഴികെ","ABLS"
"ഒഴിക്കുക","ablude"
"ഒഴിവാക്കൽ","abluent"
"ഒഴിവാക്കുക","abluents"
"ഒഴുക്ക്","ablush"
"ഓ","ablute"
"ഓക്ക്","abluted"
"ഓക്സിജൻ","ablution"
"ഓഗസ്റ്റ്","ablutionary"
"ഓടിപ്പോകുക","ablutions"
"ഓടുക","abluvion"
"ഓട്ടക്കാരൻ","ABM"
"ഓട്ടോമാറ്റിക്","abmho"
"ഓട്ടോമാറ്റിയ്ക്കായി","abmhos"
"ഓട്ടോ","abmodality"
"ഓൺ","abmodalities"
"ഓൺലൈൻ","abn"
"ഓപ്പറ","Abnaki"
"ഓപ്പറേറ്റർ","Abnakis"
"ഓപ്പറേഷൻ","abnegate"
"ഓപ്ഷൻ","abnegated"
"ഓഫർ","abnegates"
"ഓഫീസ്","abnegating"
"ഓഫ്","abnegation"
"ഓരോ","abnegations"
"ഓരോന്നും","abnegative"
"ഓർക്കുക","abnegator"
"ഓർഡർ","abnegators"
"ഓർമ്മ","Abner"
"ഓർമ്മപ്പെടുത്തൽ","abnerval"
"ഓർമ്മിപ്പിക്കുക","abnet"
"ഓറഞ്ച്","abneural"
"ഓറിയന്റേഷൻ","abnormal"
"ഓഹരി","abnormalcy"
"ഔട്ട്ഡോർ","abnormalcies"
"ഔട്ട്പുട്ട്","abnormalise"
"ഔട്ട്ലെറ്റ്","abnormalised"
"ഔൺസ്","abnormalising"
"ഔദ്യോഗികമായി","abnormalism"
"ഔപചാരികമായ","abnormalist"
"കൗൺസിൽ","abnormality"
"കൗൺസിലിംഗ്","abnormalities"
"കൗണ്ടർ","abnormalize"
"കൗണ്ടി","abnormalized"
"കൗതുകകരമായ","abnormalizing"
"കൗതുകദൃശം","abnormally"
"കൗബോയ്","abnormalness"
