"Turkmen","English"
"dabarasy","abietin"
"däbi","Abietineae"
"daddy","abietineous"
"däde","abietinic"
"dag","abietite"
"dakyň","Abiezer"
"däl","Abigael"
"däli","Abigail"
"däliz","abigails"
"dan","abigailship"
"däne","Abigale"
"danışma","abigeat"
"dar","abigei"
"dargat","abigeus"
"dartgynlylyk","Abihu"
"dartyş","abying"
"daş","Abijah"
"daşamak","Abyla"
"daşarda","abilao"
"daşarky","Abilene"
"daşary","abiliment"
"daşaýjy","Abilyne"
"daş-töweregi","abilitable"
"daşynda","ability"
"datçik","abilities"
"dawa","ability's"
"daýhan","abilla"
"daýy","abilo"
"daýza","abime"
"defisit","Abimelech"
"degirmen","Abineri"
"degişli","Abingdon"
"degişlidir","Abinger"
"degişliligi","Abington"
"degişlilikde","Abinoam"
"degişme","Abinoem"
"degmek","abintestate"
"dekabr","abiogeneses"
"dekada","abiogenesis"
"delillendir","abiogenesist"
"demir","abiogenetic"
"demirgazyk","abiogenetical"
"Demirgazyk-günbatar","abiogenetically"
"demirgazyk-gündogar","abiogeny"
"demografiki","abiogenist"
"demokrat","abiogenous"
"demokratik","abiology"
"demokratiýa","abiological"
"demonstrasiýa","abiologically"
"deňagramlylygy","abioses"
"deňdeş","abiosis"
"deňdir","abiotic"
"deňeşdiriň","abiotical"
"deňeşdirmek","abiotically"
"denge","abiotrophy"
"deňiz","abiotrophic"
"denklem","Abipon"
"deňleşdirmek","Abiquiu"
"deňlik","abir"
"depe","abirritant"
"depgini","abirritate"
"deprek","abirritated"
"deprem","abirritating"
"depressiýa","abirritation"
"der","abirritative"
"dereje","abys"
"derejede","Abisag"
"derejesi","Abisha"
"deri","Abishag"
"derman","Abisia"
"derňäň","abysm"
"derňemek","abysmal"
"derňew","abysmally"
"derňewi","abysms"
"derrew","Abyss"
"derwezesi","abyssa"
"derýa","abyssal"
"desert","abysses"
"deşik","Abyssinia"
"dessine","Abyssinian"
"dessur","abyssinians"
"diagnoz","abyssobenthonic"
"diagramma","abyssolith"
"dik","abyssopelagic"
"dikeldiş","abyss's"
"dikeltmek","abyssus"
"dil","abiston"
"dilden","abit"
"dildüwşük","Abitibi"
"diler","Abiu"
"dili","abiuret"
"dilim","Abixah"
"din","abject"
"dinamik","abjectedness"
"diňe","abjection"
"Diňe","abjections"
"dini","abjective"
"diňi","abjectly"
"diňle","abjectness"
"diňlemek","abjectnesses"
"diňleýji","abjoint"
"diplomatik","abjudge"
"diri","abjudged"
"diş","abjudging"
"disk","abjudicate"
"diskriminasiýa","abjudicated"
"dişlemek","abjudicating"
"dişli","abjudication"
"diwar","abjudicator"
"diyet","abjugate"
"diýilýär","abjunct"
"diýiň","abjunction"
"diýmek","abjunctive"
"diýmekdir","abjuration"
"dizaýn","abjurations"
"dizaýner","abjuratory"
"DNK","abjure"
"doc","abjured"
"doga","abjurement"
"dogan","abjurer"
"dogluş","abjurers"
"dogruçyl","abjures"
"dogry","abjuring"
"doguldy","abkar"
"dökül","abkari"
"dokuma","abkary"
"dokuz","Abkhas"
"dolamak","Abkhasia"
"dolandyrmak","Abkhasian"
"dolandyryjy","Abkhaz"
"dolandyryş","Abkhazia"
"dolanmak","Abkhazian"
"doldur","abl"
"dollar","abl."
"dolulygyna","ablach"
"doly","ablactate"
"domen","ablactated"
"doňdurmak","ablactating"
"doňduryldy","ablactation"
"donor","ablaqueate"
"dönüklik","ablare"
"doňuz","A-blast"
"dördünji","ablastemic"
"dörediji","ablastin"
"döredijilik","ablastous"
"döredijilikli","ablate"
"döretmek","ablated"
"dört","ablates"
"döş","ablating"
"dost","ablation"
"dostluk","ablations"
"dostlukly","ablatitious"
"döw","ablatival"
"dowamly","ablative"
"döwmek","ablatively"
"download","ablatives"
"döwrebap","ablator"
"döwüldi","ablaut"
"döwür","ablauts"
"dowzah","ablaze"
"dozasy","able"
"drama","able-bodied"
"dramatiki","able-bodiedness"
"dress","ableeze"
"drift","ablegate"
"dub","ablegates"
"dude","ablegation"
"düıpgöter","able-minded"
"dükan","able-mindedness"
"dünýä","ablend"
"dünýägaraýyş","ableness"
"dünýewi","ablepharia"
"dur","ablepharon"
"dürli","ablepharous"
"dürli-dürli","Ablepharus"
"dürlüligi","ablepsy"
"durmak","ablepsia"
"durmuş","ableptical"
"durnukly","ableptically"
"Durnukly","abler"
"durnuklylygy","ables"
"duş","ablesse"
"düşek","ablest"
"Duşenbe","ablet"
"duşmak","ablewhackets"
"duşman","ably"
"duşmançylykly","ablings"
"düşmek","ablins"
"düşnüksiz","ablock"
"düşün","abloom"
"düşündir","ablow"
"düşündiriş","ABLS"
"düşündirmek","ablude"
"düşünje","abluent"
"düşünmek","abluents"
"duşuşmak","ablush"
"Duşuşyk","ablute"
"düwme","abluted"
"düwmesi","ablution"
"düýbünde","ablutionary"
"düýbünden","ablutions"
"duýdansyz","abluvion"
"duýdurmak","ABM"
"duýduryş","abmho"
"duýgudaşlyk","abmhos"
"duýgur","abmodality"
"duýgurlygy","abmodalities"
"duýgy","abn"
"duýmak","Abnaki"
"düýn","Abnakis"
"düýpli","abnegate"
"duýulýar","abnegated"
"duýuş","abnegates"
"duz","abnegating"
"duzak","abnegation"
"düzediş","abnegations"
"düzgün","abnegative"
"düzgünleşdirmek","abnegator"
"düzgünnama","abnegators"
"düzme","Abner"
"düzmek","abnerval"
"düzümi","abnet"
"dykyzlygy","abneural"
"dymdy","abnormal"
"dyrmaşmak","abnormalcy"
"dyrnaçaklamak","abnormalcies"
"dyrnak","abnormalise"
"dýuým","abnormalised"
"dyz","abnormalising"
"edara","abnormalism"
"edebi","abnormalist"
"edebiýaty","abnormality"
"eder","abnormalities"
"ederdi","abnormalize"
"eger","abnormalized"
"egilmek","abnormalizing"
"egin","abnormally"
"ego","abnormalness"
"egrilik","abnormals"
"eh","abnormity"
"eje","abnormities"
"ejesi","abnormous"
"ejir","abnumerable"
"ejiz","Abo"
"ekerançylyk","aboard"
"ekin","aboardage"
"ekizler","Abobra"
"ekologiýa","abococket"
"ekosistema","abodah"
"ekrany","abode"
"eksperimental","aboded"
"eksport","abodement"
"ekwiwalent","abodes"
"ekzamen","abode's"
"elbetde","abody"
"Elbetde","aboding"
"elektrik","abogado"
"elektron","abogados"
"element","abohm"
"elhenç","abohms"
"elhençlik","aboideau"
"eli","aboideaus"
"elita","aboideaux"
"elli","aboil"
"ellik","aboiteau"
"elmydama","aboiteaus"
"elýeterli","aboiteaux"
"elýeterliligi","abolete"
"embrace","abolish"
"emedeklemek","abolishable"
"emele","abolished"
"emeli","abolisher"
"emin","abolishers"
"eminler","abolishes"
"emläk","abolishing"
"emma","abolishment"
"emosional","abolishments"
"endik","abolishment's"
"ene-atasy","abolition"
"eňek","abolitionary"
"energiýa","abolitionise"
"enesi","abolitionised"
"enigma","abolitionising"
"enjam","abolitionism"
"enjamlar","abolitionist"
"enjamlaşdyrmak","abolitionists"
"eňňit","abolitionize"
"entek","abolitionized"
"ep-esli","abolitionizing"
"eplemek","abolitions"
"e-poçta","abolla"
"erbet","abollae"
"eremeli","aboma"
"erkek","abomas"
"erteki","abomasa"
"ertir","abomasal"
"ertirlik","abomasi"
"esas","abomasum"
"esasan","abomasus"
"esaslandyryjy","abomasusi"
"esasly","A-bomb"
"esasy","abominability"
"Esasy","abominable"
"eşek","abominableness"
"esger","abominably"
"eşidiň","abominate"
"eşik","abominated"
"eşikler","abominates"
"esrar","abominating"
"et","abomination"
"etika","abominations"
"etiki","abominator"
"etmeli","abominators"
"etmelidir","abomine"
"etnik","abondance"
"etrap","Abongo"
"ewolýusiýa","abonne"
"eýeleýär","abonnement"
"eýesi","aboon"
"eýýäm","aborad"
"ezizim","aboral"
"ezmek","aborally"
"faktor","abord"
"fakultet","Aboriginal"
"fantastika","aboriginality"
"fantaziýa","aboriginally"
"faýl","aboriginals"
"federal","aboriginary"
"ferma","Aborigine"
"festiwal","aborigines"
"fewral","aborigine's"
"film","Abor-miri"
"filosofiki","Aborn"
"fitnes","aborning"
"fix","a-borning"
"fizika","aborsement"
"fiziki","aborsive"
"fleşka","abort"
"flip","aborted"
"floty","aborter"
"fon","aborters"
"fond","aborticide"
"forma","abortient"
"formaty","abortifacient"
"formula","abortin"
"forum","aborting"
"fotosurat","abortion"
"fraksiýa","abortional"
"franchise","abortionist"
"fransuz","abortionists"
"fuck","abortions"
"fucking","abortion's"
"funksiýasy","abortive"
"funt","abortively"
"futbol","abortiveness"
"gabanjaňlyk","abortogenic"
"gabygy","aborts"
"gabyk","abortus"
"gaç","abortuses"
"gaçmak","abos"
"gaçybatalga","abote"
"gadymy","Abott"
"gadyr","abouchement"
"gahar","aboudikro"
"gaharlandy","abought"
"gaharly","Aboukir"
"gahryman","aboulia"
"gal","aboulias"
"gala","aboulic"
"galaktika","abound"
"galan","abounded"
"galereýa","abounder"
"galkan","abounding"
"gallon","aboundingly"
"galp","abounds"
"galplyk","Abourezk"
"galstuk","about"
"galyň","about-face"
"galyndylar","about-faced"
"gamçy","about-facing"
"gämi","abouts"
"gan","about-ship"
"ganat","about-shipped"
"ganhor","about-shipping"
"ganjyk","about-sledge"
"ganly","about-turn"
"gap","above"
"gapagy","aboveboard"
"gapak","above-board"
"gapdalynda","above-cited"
"gapjygy","abovedeck"
"gaplamak","above-found"
"gaplaň","above-given"
"gapy","aboveground"
"gar","abovementioned"
"gara","above-mentioned"
"garaage","above-named"
"garakçy","aboveproof"
"garalama","above-quoted"
"garalawçy","above-reported"
"garamazdan","aboves"
"garaňky","abovesaid"
"garaňkylyk","above-said"
"garanyňda","abovestairs"
"garaşmak","above-water"
"garaşsyz","above-written"
"garaşsyzlyk","abow"
"garaşylmadyk","abox"
"garaşylýar","Abp"
"garaşyň","ABPC"
"garawul","Abqaiq"
"garaýyş","abr"
"garmaly","abr."
"garrylar","Abra"
"garşy","abracadabra"
"garşydaş","abrachia"
"garşylyk","abrachias"
"garyn","abradable"
"garyndaş","abradant"
"garyndy","abradants"
"garyp","abrade"
"garyplyk","abraded"
"garyşdyrmak","abrader"
"garyşyk","abraders"
"gaş","abrades"
"gatlak","abrading"
"gatnaşdy","Abraham"
"gatnaşmak","Abrahamic"
"gatnaşygy","Abrahamidae"
"gatnaşyjy","Abrahamite"
"gatnaşyklary","Abrahamitic"
"gatnaw","Abraham-man"
"gaty","Abrahams"
"gaýa","Abrahamsen"
"gaýduwsyzlyk","Abrahan"
"gaýnatmaly","abray"
"gaýtadan","abraid"
"gaýta-gaýta","Abram"
"gaýtala","Abramis"
"gaýybana","Abramo"
"gaýyk","Abrams"
"gaz","Abramson"
"gazanmak","Abran"
"gaze","abranchial"
"gazet","abranchialism"
"gazna","abranchian"
"gaznasy","Abranchiata"
"gazon","abranchiate"
"geçelge","abranchious"
"geçi","abrasax"
"geçiň","abrase"
"geçiriji","abrased"
"geçirmek","abraser"
"geçiş","abrash"
"geçmek","abrasing"
"geçmiş","abrasiometer"
"geçýär","abrasion"
"gel","abrasions"
"gelejek","abrasion's"
"geleşik","abrasive"
"gelgit","abrasively"
"gelin","abrasiveness"
"geljegi","abrasivenesses"
"gelmegi","abrasives"
"gelýär","abrastol"
"gen","abraum"
"geň","abraxas"
"geň","abrazite"
"geňeş","abrazitic"
"geňeşçisi","abrazo"
"genetiki","abrazos"
"geologiýa","abreact"
"gepleşik","abreacted"
"gepleşikleri","abreacting"
"gerimi","abreaction"
"getir","abreactions"
"geý","abreacts"
"geýim","abreast"
"geýmek","abreed"
"gezelenç","abrege"
"giç","abreid"
"gije","abrenounce"
"gijikdirmek","abrenunciate"
"giň","abrenunciation"
"giňden","abreption"
"giňdir","abret"
"giňeltmek","abreuvoir"
"gipoteza","abri"
"gir","abrico"
"girdeji","abricock"
"girelge","abricot"
"girew","abridgable"
"giriş","abridge"
"git","abridgeable"
"gitara","abridged"
"gizle","abridgedly"
"gizlemek","abridgement"
"gizlenen","abridgements"
"gizlin","abridger"
"gizlinlik","abridgers"
"global","abridges"
"göçürme","abridging"
"gödek","abridgment"
"gök","abridgments"
"gol","abrim"
"golaýynda","abrin"
"goldamak","abrine"
"goldaw","abris"
"goldawçy","abristle"
"goldaýar","abroach"
"golf","abroad"
"gollanma","Abrocoma"
"gollanmany","abrocome"
"göni","abrogable"
"goňşy","abrogate"
"gönüden-göni","abrogated"
"goňur","abrogates"
"gonuş","abrogating"
"gop","abrogation"
"görä","abrogations"
"gorag","abrogative"
"goragçy","abrogator"
"goramak","abrogators"
"goranmak","Abroma"
"goraýjy","Abroms"
"göreş","Abronia"
"gorizont","abrood"
"gorkdy","abrook"
"görkeziji","abrosia"
"Görkezijiler","abrosias"
"görkezme","abrotanum"
"görkezmek","abrotin"
"görkezmesi","abrotine"
"gorkunç","abrupt"
"gorkup","abruptedly"
"gorkuz","abrupter"
"gorky","abruptest"
"görlüp-eşidilmedik","abruptio"
"görmegeý","abruption"
"görmek","abruptiones"
"gormony","abruptly"
"görnükli","abruptness"
"görnüş","Abrus"
"görnüşi","Abruzzi"
"görnüşleri","ABS"
"görnüşli","abs-"
"görünýär","Absa"
"görüş","Absalom"
"goş","absampere"
"goşa","Absaraka"
"goşant","Absaroka"
"goşgy","Absarokee"
"Goşma","absarokite"
"goşmaça","ABSBH"
"goşmak","abscam"
"goşul","abscess"
"goşuldy","abscessed"
"goşun","abscesses"
"göterim","abscessing"
"göterimi","abscession"
"götermek","abscessroot"
"gowak","abscind"
"göwher","abscise"
"göwreli","abscised"
"göwrelilik","abscises"
"gowşak","abscisin"
"gowşaklyk","abscising"
"gowşurmak","abscisins"
"gowulaşdy","abscision"
"gowulaşdyrmak","absciss"
"gowulyk","abscissa"
"göwünsiz","abscissae"
"gowy","abscissas"
"goý","abscissa's"
"goýalyň","abscisse"
"goýbermek","abscissin"
"goýmak","abscission"
"goýmasy","abscissions"
"goýum","absconce"
"goýunlar","abscond"
"goýy","absconded"
"göz","abscondedly"
"gözegçi","abscondence"
"gözegçilik","absconder"
"Gözegçilik","absconders"
"gözellik","absconding"
"gözenek","absconds"
"gozgalaňçy","absconsa"
"gözleg","abscoulomb"
"gözlegçi","abscound"
"gözlemek","Absecon"
"grafik","absee"
"grafiki","absey"
"gram","abseil"
"grant","abseiled"
"grek","abseiling"
"gudrat","abseils"
"gujak","absence"
"gujakla","absences"
"gul","absence's"
"gül","absent"
"gulak","absentation"
"gulçulyk","absented"
"gülgüne","absentee"
"gülki","absenteeism"
"gülkünç","absentees"
"gülledi","absentee's"
"gullugy","absenteeship"
"gülmek","absenter"
"gulplamak","absenters"
"gum","absentia"
"gümürtik","absenting"
"gün","absently"
"günä","absentment"
"günäkär","absentminded"
"günäkärlemek","absent-minded"
"günäkärlenýän","absentmindedly"
"günbatar","absent-mindedly"
"gündeligi","absentmindedness"
"gündelik","absent-mindedness"
"gündogar","absentmindednesses"
"güneşli","absentness"
"günorta","absents"
"günorta-günbatar","absfarad"
"günorta-gündogar","abshenry"
"günortan","Abshier"
"günortanlyk","Absi"
"gural","absinth"
"gurallar","absinthe"
"gurama","absinthes"
"guramasy","absinthial"
"gurbanlyk","absinthian"
"gurjak","absinthiate"
"gürle","absinthiated"
"gürleş","absinthiating"
"gürleşmek","absinthic"
"gurluş","absinthiin"
"gurluşy","absinthin"
"gurluşyk","absinthine"
"gurmak","absinthism"
"gurnama","absinthismic"
"gurnamak","absinthium"
"gurşawy","absinthol"
"gurşun","absinthole"
"gurultaý","absinths"
"gury","Absyrtus"
"guş","absis"
"guşak","absist"
"gutapjyk","absistos"
"gutar","absit"
"gutardy","absmho"
"gutardyş","absohm"
