"Kurdish","English"
"belakirin","abracadabra"
"lihevhatin","abrachia"
"cîkon","abrachias"
"neafirandiye","abradable"
"pembo","abradant"
"zayî","abradants"
"binavkirin","abrade"
"quart","abraded"
"neh","abrader"
"qemyon","abraders"
"deng","abrades"
"serrast","abrading"
"tesadûf","Abraham"
"civandin","Abrahamic"
"dikan","Abrahamidae"
"dirêjkirin","Abrahamite"
"avêtin","Abrahamitic"
"birq","Abraham-man"
"mal","Abrahams"
"ling","Abrahamsen"
"molecule","Abrahan"
"neqandin","abray"
"qelp","abraid"
"gewr","Abram"
"dûbare","Abramis"
"xwestin","Abramo"
"fireh","Abrams"
"amadekirin","Abramson"
"xwê","Abran"
"poz","abranchial"
"pircar","abranchialism"
"hêrs","abranchian"
"maf","Abranchiata"
"qite","abranchiate"
