"Javanese","English"
"balai","abatjours"
"balapan","abaton"
"bal-balan","abator"
"bali","abators"
"balok","ABATS"
"balon","abattage"
"balung","abattis"
"ban","abattised"
"band","abattises"
"bandara","abattoir"
"bandha","abattoirs"
"banding","abattu"
"bang","abattue"
"banget","Abatua"
"bangga","abature"
"bangkekan","abaue"
"bangkrut","abave"
"bangku","abaxial"
"bangsa","abaxile"
"bangunan","abaze"
"banjir","abb"
"banjur","Abba"
"bank","abbacy"
"banking","abbacies"
"bankir","abbacomes"
"bantahan","Abbadide"
"bantal","Abbai"
"banter","abbaye"
"bantheng","abbandono"
"bantuan","abbas"
"banyu","abbasi"
"bapak","Abbasid"
"bar","abbassi"
"barang","Abbassid"
"bareng","Abbasside"
"baris","Abbate"
"basa","abbatial"
"baseball","abbatical"
"basket","abbatie"
"bat","Abbe"
"bata","Abbey"
"baterei","abbeys"
"batesan","abbey's"
"bathi","abbeystead"
"bathuk","abbeystede"
"batin","abbes"
"bawana","abbess"
"bawang","abbesses"
"bayi","abbest"
"beasiswa","Abbevilean"
"beban","Abbeville"
"bebarengan","Abbevillian"
"bebasan","Abbi"
"bebaya","Abby"
"bebek","Abbie"
"bebener","Abbye"
"beboyo","Abbyville"
"becik","abboccato"
"beda","abbogada"
"beda-beda","Abbot"
"béda-béda","abbotcy"
"bedhah","abbotcies"
"bedhil","abbotnullius"
"begja","abbotric"
"bek","abbots"
"beku","abbot's"
"bel","Abbotsen"
"benang","Abbotsford"
"bener","abbotship"
"Bener","abbotships"
"bengkel","Abbotson"
"bengok-bengok","Abbotsun"
"bensin","Abbott"
"beracun","Abbottson"
"beras","Abbottstown"
"berkah","Abboud"
"berkas","abbozzo"
"berkembang","ABBR"
"bersenjata","abbrev"
"berturut-turut","abbreviatable"
"beton","abbreviate"
"bias","abbreviated"
"biasa","abbreviately"
"biasane","abbreviates"
"biasanipun","abbreviating"
"biaya","abbreviation"
"bilai","abbreviations"
"bingung","abbreviator"
"biologi","abbreviatory"
"bir","abbreviators"
"biro","abbreviature"
"biru","abbroachment"
"bis","ABC"
"bisa","abcess"
"bisik-bisik","abcissa"
"bisnis","abcoulomb"
"biyen","ABCs"
"blanja","abd"
"bledosan","abdal"
"bledug","abdali"
"blog","abdaria"
"blumbang","abdat"
"bobot","Abdel"
"bocah","Abd-el-Kadir"
"bocahe","Abd-el-Krim"
"bocor","Abdella"
"bodho","Abderhalden"
"bojo","Abderian"
"bojomu","Abderite"
"bokong","Abderus"
"bola-bali","abdest"
"bolongan","Abdias"
"bom","abdicable"
"boneka","abdicant"
"bongkahan","abdicate"
"bonus","abdicated"
"boom","abdicates"
"boot","abdicating"
"bos","abdication"
"boten","abdications"
"botol","abdicative"
"browser","abdicator"
"bubar","Abdiel"
"budaya","abditive"
"budhal","abditory"
"bug","abdom"
"bukit","abdomen"
"bukti","abdomens"
"buku","abdomen's"
"bumi","abdomina"
"bunder","abdominal"
"bungah","Abdominales"
"buntut","abdominalia"
"burger","abdominalian"
"buruh","abdominally"
"busana","abdominals"
"butuh","abdominoanterior"
"buyar","abdominocardiac"
"bye","abdominocentesis"
"cabang","abdominocystic"
"cacad","abdominogenital"
"cacat","abdominohysterectomy"
"cadangan","abdominohysterotomy"
"cahya","abdominoposterior"
"cakrawala","abdominoscope"
"calon","abdominoscopy"
"campuran","abdominothoracic"
"candhi","abdominous"
"canggih","abdomino-uterotomy"
"cangkang","abdominovaginal"
"cangkir","abdominovesical"
"cara","Abdon"
"carane","Abdu"
"cat","abduce"
"cathetan","abduced"
"cd","abducens"
"cedhak","abducent"
"cekak","abducentes"
"cekap","abduces"
"cemburu","abducing"
"cemlorot","abduct"
"cenderung","abducted"
"ceo","abducting"
"cepet","abduction"
"cepet-cepet","abductions"
"ceramah","abduction's"
"cetha","abductor"
"cethek","abductores"
"chatting","abductors"
"chip","abductor's"
"cilaka","abducts"
"cilik","Abdul"
"cipta","Abdul-Aziz"
"ciri","Abdul-baha"
"ciyut","Abdulla"
"cocog","Abe"
"cocok","a-be"
"coklat","abeam"
"cokotan","abear"
"contone","abearance"
"cookie","Abebi"
"corak","abecedaire"
"counter","abecedary"
"crita","abecedaria"
"cuaca","abecedarian"
"cukup","abecedarians"
"cuplikan","abecedaries"
"curam","abecedarium"
"curiga","abecedarius"
"dadakan","abed"
"dadi","abede"
"dagang","abedge"
"daging","Abednego"
"dagu","abegge"
"dalan","Abey"
"dana","abeyance"
"dandan","abeyances"
"dandanan","abeyancy"
"dangu","abeyancies"
"darurat","abeyant"
"dasawarsa","abeigh"
"dasi","ABEL"
"data","Abelard"
"database","abele"
"dawa","abeles"
"daya","Abelia"
"deadline","Abelian"
"dear","Abelicea"
"debat","Abelite"
"debut","Abell"
"defensif","Abelmoschus"
"definisi","abelmosk"
"defisit","abelmosks"
"dek","abelmusk"
"demografi","Abelonian"
"demokrasi","Abelson"
"demokrat","abeltree"
"demokratis","Abencerrages"
"demonstrasi","abend"
"dene","abends"
"dening","Abenezra"
"departemen","abenteric"
"depresi","Abeokuta"
"desa","abepithymia"
"desain","ABEPP"
"desainer","Abercromby"
"desember","Abercrombie"
"detektif","Aberdare"
"dewa","aberdavine"
"dewan","Aberdeen"
"dhadha","Aberdeenshire"
"dhaharan","aberdevine"
"dhampar","Aberdonian"
"dhaptar","aberduvine"
"dharat","Aberfan"
"dhasar","Aberglaube"
"dhateng","Aberia"
"dhawuh","Aberystwyth"
"dhengkul","Abernant"
"dhewe","Abernathy"
"dheweke","abernethy"
"dhisik","Abernon"
"dhokter","aberr"
"dhuwit","aberrance"
"dhuwur","aberrancy"
"diabetes","aberrancies"
"diagnosa","aberrant"
"diakoni","aberrantly"
"diakses","aberrants"
"dialog","aberrate"
"dianggo","aberrated"
"diarani","aberrating"
"diary","aberration"
"dibagi","aberrational"
"dibutuhake","aberrations"
"dicokot","aberrative"
"didhelikake","aberrator"
"diet","aberrometer"
"digabungake","aberroscope"
"digandhengake","Abert"
"digital","aberuncate"
"digunakake","aberuncator"
"dijupuk","abesse"
"dikenal","abessive"
"dina","abet"
"dinamika","abetment"
"dinamis","abetments"
"dinuga","abets"
"dipan","abettal"
"dipatèni","abettals"
"dipercaya","abetted"
"diplomatik","abetter"
"dirasakake","abetters"
"direktur","abetting"
"diselidiki","abettor"
"disiplin","abettors"
"disk","Abeu"
"diskon","abevacuation"
"diskriminasi","abfarad"
"diskusi","abfarads"
"distribusi","ABFM"
"disualekno","Abgatha"
"ditahan","ABHC"
"ditambahake","abhenry"
"ditambahi","abhenries"
"ditrima","abhenrys"
"ditulis","abhinaya"
"ditutup","abhiseka"
"divisi","abhominable"
"diwasa","abhor"
"diwenehi","abhorred"
"dna","abhorrence"
"dodolan","abhorrences"
"dok","abhorrency"
"dokter","abhorrent"
"dokumen","abhorrently"
"dokumenter","abhorrer"
"dolanan","abhorrers"
"dolar","abhorrible"
"domain","abhorring"
"domestik","abhors"
"dominan","Abhorson"
"dompet","ABI"
"dongeng","aby"
"donor","Abia"
"donya","Abiathar"
"dosa","Abib"
"dosis","abichite"
"download","abidal"
"drama","abidance"
"dramatically","abidances"
"dramatis","abidden"
"driji","abide"
"drum","abided"
"duka","abider"
"dumadakan","abiders"
"dumadi","abides"
"durjana","abidi"
"durung","abiding"
"duta","abidingly"
"duwe","abidingness"
"duweke","Abidjan"
"eceran","Abydos"
"edan","Abie"
"edisi","abye"
"editor","abied"
"efek","abyed"
"efektif","abiegh"
"efektifitas","abience"
"efisien","abient"
"efisiensi","Abies"
"ego","abyes"
"eh","abietate"
"ekonomi","abietene"
"ekosistem","abietic"
"eksekusi","abietin"
"eksekutif","Abietineae"
"eksklusif","abietineous"
"ekspansi","abietinic"
"eksperimen","abietite"
"eksperimental","Abiezer"
"eksplisit","Abigael"
"eksplorasi","Abigail"
"ekspres","abigails"
"ekspresi","abigailship"
"ekstensi","Abigale"
"ekstensif","abigeat"
"ekstra","abigei"
"ekstrak","abigeus"
"ekuitas","Abihu"
"elang","abying"
"elegan","Abijah"
"elek","Abyla"
"elektronik","abilao"
"eling","Abilene"
"éling","abiliment"
"elinga","Abilyne"
"elit","abilitable"
"email","ability"
"e-mail","abilities"
"emas","ability's"
"ember","abilla"
"emisi","abilo"
"emosi","abime"
"emphasis","Abimelech"
"enak","Abineri"
"endhog","Abingdon"
"enem","Abinger"
"energi","Abington"
"enggal","Abinoam"
"enom","Abinoem"
"entheng","abintestate"
"entitas","abiogeneses"
"entuk","abiogenesis"
"episode","abiogenesist"
"eropah","abiogenetic"
"es","abiogenetical"
"estate","abiogenetically"
"esuk","abiogeny"
"et","abiogenist"
"etika","abiogenous"
"etnis","abiology"
"evaluasi","abiological"
"évolusi","abiologically"
"ewu","abioses"
"faktor","abiosis"
"fakultas","abiotic"
"fantasi","abiotical"
"fase","abiotically"
"fasilitas","abiotrophy"
"favorit","abiotrophic"
"februari","Abipon"
"federal","Abiquiu"
"fenomena","abir"
"festival","abirritant"
"fiksi","abirritate"
"filosofi","abirritated"
"filosofis","abirritating"
"finansial","abirritation"
"fisik","abirritative"
"fisika","abys"
"fiskal","Abisag"
"fitness","Abisha"
"fitur","Abishag"
"fleksibel","Abisia"
"flip","abysm"
"fokus","abysmal"
"formal","abysmally"
"format","abysms"
"forum","Abyss"
"fosil","abyssa"
"foto","abyssal"
"fotografi","abysses"
"frekuensi","Abyssinia"
"frustasi","Abyssinian"
"full-time","abyssinians"
"fungsi","abyssobenthonic"
"fungsional","abyssolith"
"gabungan","abyssopelagic"
"gabungke","abyss's"
"gagal","abyssus"
"gagang","abiston"
"gagasan","abit"
"gaib","Abitibi"
"gain","Abiu"
"gajah","abiuret"
"gaji","Abixah"
"galaksi","abject"
"galeri","abjectedness"
"galon","abjection"
"galur","abjections"
"gambar","abjective"
"game","abjectly"
"gampang","abjectness"
"gandhewa","abjectnesses"
"gandum","abjoint"
"gang","abjudge"
"gangguan","abjudged"
"gangsal","abjudging"
"ganja","abjudicate"
"ganjaran","abjudicated"
"ganteng","abjudicating"
"ganti","abjudication"
"gapura","abjudicator"
"garasi","abjugate"
"garing","abjunct"
"garpu","abjunction"
"gas","abjunctive"
"gathukane","abjuration"
"gati","abjurations"
"gawan","abjuratory"
"gawe","abjure"
"gawean","abjured"
"gaweyan","abjurement"
"gay","abjurer"
"gaya","abjurers"
"gedhang","abjures"
"gedhe","abjuring"
"gedhene","abkar"
"gegaman","abkari"
"gegandhengan","abkary"
"geger","Abkhas"
"geguritan","Abkhasia"
"gejala","Abkhasian"
"gelar","Abkhaz"
"gelem","Abkhazia"
"gelembung","Abkhazian"
"gelut","abl"
"gen","abl."
"gender","ablach"
"gendéra","ablactate"
"gendhakan","ablactated"
"gendheng","ablactating"
"generasi","ablactation"
"genetik","ablaqueate"
"geng","ablare"
"genggeman","A-blast"
"geni","ablastemic"
"genre","ablastin"
"gerbong","ablastous"
"geser","ablate"
"gething","ablated"
"gethuk","ablates"
"getih","ablating"
"getihen","ablation"
"getun","ablations"
"gilingan","ablatitious"
"giliran","ablatival"
"gim","ablative"
"gitaran","ablatively"
"glepung","ablatives"
"global","ablator"
"globe","ablaut"
"goblok","ablauts"
"godhok","ablaze"
"godhong","able"
"gol","able-bodied"
"golek","able-bodiedness"
"golf","ableeze"
"gop","ablegate"
"gosip","ablegates"
"goyangake","ablegation"
"grafik","able-minded"
"grafis","able-mindedness"
"gram","ablend"
"grapyak","ableness"
"gratis","ablepharia"
"gravitasi","ablepharon"
"grobag","ablepharous"
"grumbul","Ablepharus"
"gubernur","ablepsy"
"gugatan","ablepsia"
"gugup","ableptical"
"guilty","ableptically"
"gula","abler"
"gulu","ables"
"gumantung","ablesse"
"gumun","ablest"
"gundhul","ablet"
"gunggung","ablewhackets"
"gunung","ably"
"gunungan","ablings"
"guru","ablins"
"gusti","ablock"
"guwa","abloom"
"guyon","ablow"
"ha","ABLS"
"habitat","ablude"
"hadiah","abluent"
"hakim","abluents"
"halloween","ablush"
"halo","ablute"
"hardware","abluted"
"hawa","ablution"
"heeh","ablutionary"
"hektar","ablutions"
"helikopter","abluvion"
"helm","ABM"
"hey","abmho"
"hi","abmhos"
"hiburan","abmodality"
"hipotek","abmodalities"
"hipotesis","abn"
"hispanik","Abnaki"
"hmm","Abnakis"
"hoki","abnegate"
"hormon","abnegated"
"hotel","abnegates"
"hubungane","abnegating"
"huh","abnegation"
"hukum","abnegations"
"humor","abnegative"
"i","abnegator"
"ibu","abnegators"
"identifikasi","Abner"
"identik","abnerval"
"identitas","abnet"
"ideologi","abneural"
"ideologis","abnormal"
"idin","abnormalcy"
"ijin","abnormalcies"
"ijo","abnormalise"
"ikatan","abnormalised"
"iki","abnormalising"
"iklim","abnormalism"
"iku","abnormalist"
"ilang","abnormality"
"ilat","abnormalities"
"ilegal","abnormalize"
"ilmiah","abnormalized"
"ilmuwan","abnormalizing"
"ilustrasi","abnormally"
"imajinasi","abnormalness"
"imam","abnormals"
"iman","abnormity"
"imbangan","abnormities"
"imbuhan","abnormous"
"imigran","abnumerable"
"imigrasi","Abo"
"impact","aboard"
"implementasine","aboardage"
"implikasi","Abobra"
"imut","abococket"
"inch","abodah"
"indeks","abode"
"indikasi","aboded"
"indikator","abodement"
"individu","abodes"
"industri","abode's"
"infeksi","abody"
"inflasi","aboding"
"info","abogado"
"informasi","abogados"
"ing","abohm"
"inggris","abohms"
"Inggris","aboideau"
"inisiatif","aboideaus"
"Injil","aboideaux"
"inovasi","aboil"
"inovatif","aboiteau"
"insentif","aboiteaus"
"insinyur","aboiteaux"
"inspektur","abolete"
"inspirasi","abolish"
"instalasi","abolishable"
"institusi","abolished"
"institusional","abolisher"
"institute","abolishers"
"instruksi","abolishes"
"instruksional","abolishing"
"instruktur","abolishment"
"instrumen","abolishments"
"integrasi","abolishment's"
"integritas","abolition"
"intelektual","abolitionary"
"intelijen","abolitionise"
"inten","abolitionised"
"intensitas","abolitionising"
"interaksi","abolitionism"
"internal","abolitionist"
"internasional","abolitionists"
"internet","abolitionize"
"interpretasi","abolitionized"
"interval","abolitionizing"
"inti","abolitions"
"intim","abolla"
"intine","abollae"
"invasi","aboma"
"inventarisasi","abomas"
"investasi","abomasa"
"investor","abomasal"
"ipad","abomasi"
"iphone","abomasum"
"irak","abomasus"
"irama","abomasusi"
"iran","A-bomb"
"ireng","abominability"
"irisan","abominable"
"irlandia","abominableness"
"ironi","abominably"
"irung","abominate"
"isi","abominated"
"isih","abominates"
"isin","abominating"
"islam","abomination"
"islami","abominations"
"isolasi","abominator"
"israèl","abominators"
"istilahe","abomine"
"isyarat","abondance"
"item","Abongo"
"iwak","abonne"
"iyub-iyub","abonnement"
"izin","aboon"
"jadwal","aborad"
"jagung","aboral"
"jajan","aborally"
"jaket","abord"
"jaksa","Aboriginal"
"jalaran","aboriginality"
"jalur","aboriginally"
"jam","aboriginals"
"jaman","aboriginary"
"jamban","Aborigine"
"jambon","aborigines"
"jamu","aborigine's"
"jancok","Abor-miri"
"jangkah","Aborn"
"jangkar","aborning"
"jangkep","a-borning"
"jangkoan","aborsement"
"janji","aborsive"
"janjian","abort"
"januari","aborted"
"jar","aborter"
"jaran","aborters"
"jaring","aborticide"
"jaringan","abortient"
"jarum","abortifacient"
"jawata","abortin"
"jazz","aborting"
"jeblugan","abortion"
"jebule","abortional"
"jedhing","abortionist"
"jejak","abortionists"
"jejere","abortions"
"jembar","abortion's"
"jembatan","abortive"
"jempol","abortively"
"jendhela","abortiveness"
"jeneng","abortogenic"
"jenis","aborts"
"jenius","abortus"
"jepret","abortuses"
"jepun","abos"
"jerman","abote"
"jero","Abott"
"jet","abouchement"
"jinis","aboudikro"
"jins","abought"
"jodho","Aboukir"
"jotosan","aboulia"
"juara","aboulias"
"judhul","aboulic"
"jujur","abound"
"juli","abounded"
"jumat","abounder"
"jumlah","abounding"
"juni","aboundingly"
"junior","abounds"
"juragan","Abourezk"
"jurang","about"
"juri","about-face"
"jurit","about-faced"
"jurnal","about-facing"
"jurnalistik","abouts"
"jus","about-ship"
"jw","about-shipped"
"kaadilan","about-shipping"
"kab","about-sledge"
"kabar","about-turn"
"kabaripun","above"
"kabecikan","aboveboard"
"kabeh","above-board"
"kabin","above-cited"
"kabinèt","abovedeck"
"kabisan","above-found"
"kabungahan","above-given"
"kabupaten","aboveground"
"kabutuhan","abovementioned"
"kaca","above-mentioned"
"kacang","above-named"
"kacepetan","aboveproof"
"kacilakan","above-quoted"
"kadhangkala","above-reported"
"kadhemen","aboves"
"kadohan","abovesaid"
"kaendahan","above-said"
"kaget","abovestairs"
"kagungan","above-water"
"kagungane","above-written"
"kahanan","abow"
"kain","abox"
"kaisar","Abp"
"kajaba","ABPC"
"kakehan","Abqaiq"
"kaku","abr"
"kalah","abr."
"kalbu","Abra"
"kalebu","abracadabra"
"kalem","abrachia"
"kali","abrachias"
"kalkun","abradable"
"kalori","abradant"
"kaluputan","abradants"
"kamanunggalan","abrade"
"kamanungsan","abraded"
"kamar","abrader"
"kamardikan","abraders"
"kamenangan","abrades"
"kamera","abrading"
"kampanye","Abraham"
"kampus","Abrahamic"
"kamulyan","Abrahamidae"
"kamungkinan","Abrahamite"
"Kanada","Abrahamitic"
"kanca","Abraham-man"
"kandel","Abrahams"
"kandhang","Abrahamsen"
"kang","Abrahan"
"kangelan","abray"
"kangen","abraid"
"kanggo","Abram"
"kanker","Abramis"
"kanthi","Abramo"
"kanthong","Abrams"
"kantor","Abramson"
"kanvas","Abran"
"kaos","abranchial"
"kap","abranchialism"
"kapabilitas","abranchian"
"kapadhetan","Abranchiata"
"kapal","abranchiate"
"kapas","abranchious"
"kapasitas","abrasax"
"kapentingan","abrase"
"kapercayan","abrased"
"kapindho","abraser"
"kapisah","abrash"
"kapitalisme","abrasing"
"kapitu","abrasiometer"
"kapitunan","abrasion"
"kapten","abrasions"
"kaputusan","abrasion's"
"karajan","abrasive"
"karangan","abrasively"
"karbohidrat","abrasiveness"
"karbon","abrasivenesses"
"karep","abrasives"
"karir","abrastol"
"karo","abraum"
"karpet","abraxas"
"kartun","abrazite"
"karung","abrazitic"
"karusakan","abrazo"
"kasangsaran","abrazos"
"kasar","abreact"
"kasedhiya","abreacted"
"kasedhiyan","abreacting"
"kasempatan","abreaction"
"kasenengan","abreactions"
"kasengsem","abreacts"
"kasetyan","abreast"
"kasil","abreed"
"kasino","abrege"
"kasugihan","abreid"
"kasunyatan","abrenounce"
"kasur","abrenunciate"
"kasus","abrenunciation"
"kasusahan","abreption"
"kategori","abret"
"katelu","abreuvoir"
"kathah","abri"
"katolik","abrico"
"katon","abricock"
"katrangan","abricot"
"kauntungan","abridgable"
"kautaman","abridge"
"kawat","abridgeable"
"kawentar","abridged"
"kawicaksanan","abridgedly"
"kawruh","abridgement"
"kaya","abridgements"
"kayu","abridger"
"keahlian","abridgers"
"keamanan","abridges"
"kebak","abridging"
"kecamatan","abridgment"
"kedadeyan","abridgments"
"kedutaan","abrim"
"kegiatan","abrin"
"kejem","abrine"
"keju","abris"
"kejut","abristle"
"kekacauan","abroach"
"kekacoan","abroad"
"kekaisaran","Abrocoma"
"kekarepan","abrocome"
"kekasih","abrogable"
"kekebalan","abrogate"
"kekirangan","abrogated"
"kekristenan","abrogates"
"kekurangan","abrogating"
"kekuwatan","abrogation"
"kelakon","abrogations"
"kelangan","abrogative"
"kelas","abrogator"
"kelet","abrogators"
"keluhan","Abroma"
"keluwen","Abroms"
"keluwesan","Abronia"
"kemah","abrood"
"kemajuan","abrook"
"kembang","abrosia"
"kembar","abrosias"
"kemitraan","abrotanum"
"kemul","abrotin"
"kenceng","abrotine"
"kendala","abrupt"
"kendaraan","abruptedly"
"kendi","abrupter"
"kene","abruptest"
"kenek","abruptio"
"kentang","abruption"
"kepemilikan","abruptiones"
"kepemimpinan","abruptly"
"kepinginan","abruptness"
"kepresidenan","Abrus"
"kepuasan","Abruzzi"
"kepungkur","ABS"
"keragaman","abs-"
"kerah","Absa"
"kerangka","Absalom"
"kerep","absampere"
"kerja","Absaraka"
"kerjasama","Absaroka"
"kertas","Absarokee"
"kertu","absarokite"
"kerumitan","ABSBH"
"kerusuhan","abscam"
"kesadaran","abscess"
"kesalahan","abscessed"
"kesan","abscesses"
"kesandhung","abscessing"
"kesatuan","abscession"
"kesed","abscessroot"
"kesehatan","abscind"
"kesejahteraan","abscise"
"kesel","abscised"
"kesempatan","abscises"
"kesenengan","abscisin"
"kesetaraan","abscising"
"kesimpulan","abscisins"
"kesusastraan","abscision"
"kesusu","absciss"
"ketagihan","abscissa"
"ketemu","abscissae"
"kethek","abscissas"
"ketok","abscissa's"
"ketoke","abscisse"
"ketrampilan","abscissin"
"ketua","abscission"
"keuangan","abscissions"
"kewajiban","absconce"
"kewan","abscond"
"kewarganegaraan","absconded"
"keyboard","abscondedly"
"khas","abscondence"
"khayalan","absconder"
"khusus","absconders"
"khususe","absconding"
"kiasan","absconds"
"kidang","absconsa"
"kidul","abscoulomb"
"kidul-kulon","abscound"
"kikuk","Absecon"
"kilat","absee"
"kimia","absey"
"kinasih","abseil"
"kinerja","abseiled"
"kira-kira","abseiling"
"kirim","abseils"
"kit","absence"
"kita","absences"
"klambi","absence's"
"klasik","absent"
"klausa","absentation"
"klelep","absented"
"klien","absentee"
"klik","absenteeism"
"klinik","absentees"
"klinis","absentee's"
"klip","absenteeship"
"klompok","absenter"
"klub","absenters"
"kluster","absentia"
"kluwarga","absenting"
"koalisi","absently"
"koboi","absentment"
"kobong","absentminded"
"kode","absent-minded"
"kognitif","absentmindedly"
"kok","absent-mindedly"
"koki","absentmindedness"
"kolaborasi","absent-mindedness"
"kolega","absentmindednesses"
"koleksi","absentness"
"kolektif","absents"
"kolektor","absfarad"
"kolesterol","abshenry"
"kolom","Abshier"
"kolonel","Absi"
"koloni","absinth"
"kolonial","absinthe"
"kolumnis","absinthes"
"komandhan","absinthial"
"kombinasi","absinthian"
"komedi","absinthiate"
"komentar","absinthiated"
"komersial","absinthiating"
"komik","absinthic"
"komisaris","absinthiin"
"komisi","absinthin"
"komoditas","absinthine"
"kompetisi","absinthism"
"kompetitif","absinthismic"
"kompleks","absinthium"
"komponen","absinthol"
"komposisi","absinthole"
"kompromi","absinths"
"komputer","Absyrtus"
"komunikasi","absis"
"komunis","absist"
"konco","absistos"
"konferensi","absit"
"konfirmasi","absmho"
"konflik","absohm"
"kongres","absoil"
"konsensus","absolent"
"konsentrasi","Absolute"
"konsep","absolutely"
"konsepsi","absoluteness"
"konser","absoluter"
"konservasi","absolutes"
"konservatif","absolutest"
"konsisten","absolution"
"konspirasi","absolutions"
"konstitusi","absolutism"
"konstitusional","absolutist"
"konstruksi","absolutista"
"konsultan","absolutistic"
"konsultasi","absolutistically"
"konsumen","absolutists"
"konsumsi","absolutive"
"kontak","absolutization"
"konteks","absolutize"
"kontemporer","absolutory"
"kontes","absolvable"
"kontrak","absolvatory"
"kontraktor","absolve"
"kontras","absolved"
"kontribusi","absolvent"
"kontributor","absolver"
"kontrol","absolvers"
"kontrovèrsi","absolves"
"kontrovèrsial","absolving"
"konvènsi","absolvitor"
"konvensional","absolvitory"
"konversi","absonant"
"konyol","absonous"
"koordinator","absorb"
"kopi","absorbability"
"koran","absorbable"
"korban","absorbance"
"koreksi","absorbancy"
"koresponden","absorbant"
"koridor","absorbed"
"korps","absorbedly"
"korupsi","absorbedness"
"kosakata","absorbefacient"
"kosok","absorbency"
"kosong","absorbencies"
"kostum","absorbent"
"kothak","absorbents"
"kowe","absorber"
"kranjang","absorbers"
"kraton","absorbing"
"kreatif","absorbingly"
"kreatifitas","absorbition"
"kredibilitas","absorbs"
"kredit","absorbtion"
"krim","absorpt"
"kringet","absorptance"
"krisis","absorptiometer"
"kristal","absorptiometric"
"kristen","absorption"
"kritéria","absorptional"
"kritik","absorptions"
"kritikus","absorption's"
"kritis","absorptive"
"kronis","absorptively"
"krungu","absorptiveness"
"kualitas","absorptivity"
"kuantum","absquatulate"
"kuburan","absquatulation"
"kucing","abstain"
"kuciwa","abstained"
"kuciwane","abstainer"
"kudu","abstainers"
"kudune","abstaining"
